time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,-3.86959,3.74925,0.320872,-3.68133,3.90053,0.521581,-4.15302,1.86,0.598971,-4.09119,1.16857,0.923728,0,-4.11997,1.86,0.0620944,-4.06192,1.02878,0.128227,0,-3.51951,1.86,0.751505,-3.16207,1.09822,1.16034,0,-4.24008,1.86,0.498242,-4.2211,1.14805,0.779994,0,-3.80811,1.86,0.775259,-3.59072,1.1163,1.19122,0,-3.39685,1.86,0.28673,-2.99433,1.15498,0.471966,0,-3.67088,1.86,0.818665,-3.39577,1.18554,1.23695,0,-3.22881,1.86,0.800073,-2.75998,1.18404,1.21061,0,-3.20635,1.86,0.18025,-2.69522,1.09159,0.312505,0,-3.50833,1.86,0.598566,-3.14812,1.11203,0.931454,0,-4.25017,1.86,0.829313,-4.23698,1.14224,1.2639,0,-3.67611,1.86,0.316325,-3.37862,0.94466,0.514467,0,-3.72302,1.86,0.46415,-3.45516,0.985239,0.742673,0,-4.00489,1.86,0.710094,-3.88213,1.09676,1.09921,0,-3.8849,1.86,0.466507,-3.70445,1.04709,0.741542,0,-3.74575,1.86,0.181187,-3.49661,1.08238,0.313217,0,-3.72822,1.86,0.635293,-3.46745,1.04215,0.997292,0,-3.33282,1.86,0.709027,-2.91064,1.18792,1.0789,0,-3.90298,1.86,0.0766894,-3.73135,1.07102,0.155873,0,-3.29272,1.86,0.369861,-2.79694,1.00412,0.596686,0,-3.38604,1.86,0.0675328,-2.94688,1.03095,0.136786,0,-3.31136,1.86,0.578417,-2.84461,1.06874,0.907615,0,-3.53244,1.86,0.442033,-3.17879,1.08447,0.702181,0,-3.23473,1.86,0.0288382,-2.74959,1.12779,0.0929817,0,-3.53507,1.86,0.191121,-3.1656,0.987836,0.321542,0,-4.05958,1.86,0.501817,-3.96839,1.04604,0.794974,0,-3.83143,1.86,0.322413,-3.62234,0.979712,0.523964,0,-3.90219,1.86,0.605273,-3.72974,1.09538,0.943858,0,-3.58856,1.86,0.0320957,-3.26238,1.08411,0.0910853,0,-4.01574,1.86,0.359819,-3.90955,0.950542,0.582396,0,-3.3795,1.86,0.84058,-2.95006,1.08152,1.29705,0,-4.1267,1.86,0.287129,-4.0688,1.05346,0.470731,0,
0.033334,-3.89689,3.74852,0.321207,-3.69659,3.90029,0.521962,-4.15302,1.86,0.598971,-4.06757,1.26248,0.911171,0,-4.11997,1.86,0.0620944,-4.03569,1.14348,0.141517,0,-3.51951,1.86,0.751505,-3.17086,1.19567,1.13913,0,-4.24008,1.86,0.498242,-4.19364,1.24402,0.773329,0,-3.80811,1.86,0.775259,-3.58537,1.22501,1.16563,0,-3.39685,1.86,0.28673,-3.00483,1.21306,0.468821,0,-3.67088,1.86,0.818665,-3.39684,1.28074,1.21507,0,-3.22881,1.86,0.800073,-2.78348,1.29099,1.18422,0,-3.20635,1.86,0.18025,-2.71246,1.16221,0.317566,0,-3.50833,1.86,0.598566,-3.15643,1.1985,0.917589,0,-4.25017,1.86,0.829313,-4.20214,1.25414,1.2311,0,-3.67611,1.86,0.316325,-3.37946,1.07374,0.515017,0,-3.72302,1.86,0.46415,-3.45398,1.11224,0.735962,0,-4.00489,1.86,0.710094,-3.8683,1.17487,1.08197,0,-3.8849,1.86,0.466507,-3.69719,1.12644,0.738868,0,-3.74575,1.86,0.181187,-3.49414,1.20377,0.321591,0,-3.72822,1.86,0.635293,-3.46557,1.14145,0.980555,0,-3.33282,1.86,0.709027,-2.92218,1.24818,1.06686,0,-3.90298,1.86,0.0766894,-3.7248,1.15172,0.161437,0,-3.29272,1.86,0.369861,-2.80624,1.05594,0.593219,0,-3.38604,1.86,0.0675328,-2.9597,1.12216,0.148618,0,-3.31136,1.86,0.578417,-2.86292,1.16366,0.899801,0,-3.53244,1.86,0.442033,-3.19231,1.22163,0.693256,0,-3.23473,1.86,0.0288382,-2.7638,1.18066,0.102891,0,-3.53507,1.86,0.191121,-3.17328,1.07978,0.330182,0,-4.05958,1.86,0.501817,-3.9472,1.15511,0.787229,0,-3.83143,1.86,0.322413,-3.61467,1.07543,0.523646,0,-3.90219,1.86,0.605273,-3.71999,1.1882,0.928732,0,-3.58856,1.86,0.0320957,-3.27264,1.24648,0.116047,0,-4.01574,1.86,0.359819,-3.89124,1.0463,0.577832,0,-3.3795,1.86,0.84058,-2.96185,1.15943,1.27642,0,-4.1267,1.86,0.287129,-4.04206,1.16906,0.472261,0,
0.0666681,-3.90848,3.7482,0.321097,-3.70821,3.90014,0.522253,-4.15302,1.86,0.598971,-4.04546,1.34269,0.897125,0,-4.11997,1.86,0.0620944,-4.00766,1.25978,0.155932,0,-3.51951,1.86,0.751505,-3.17332,1.24445,1.12632,0,-4.24008,1.86,0.498242,-4.17795,1.29136,0.766284,0,-3.80811,1.86,0.775259,-3.57925,1.29362,1.14897,0,-3.39685,1.86,0.28673,-3.01072,1.27835,0.471745,0,-3.67088,1.86,0.818665,-3.39518,1.35745,1.19504,0,-3.22881,1.86,0.800073,-2.79254,1.33472,1.17219,0,-3.20635,1.86,0.18025,-2.72473,1.22639,0.322082,0,-3.50833,1.86,0.598566,-3.15901,1.25091,0.910672,0,-4.25017,1.86,0.829313,-4.18417,1.30979,1.21788,0,-3.67611,1.86,0.316325,-3.37885,1.15685,0.515079,0,-3.72302,1.86,0.46415,-3.45226,1.16887,0.726306,0,-4.00489,1.86,0.710094,-3.86108,1.20707,1.0735,0,-3.8849,1.86,0.466507,-3.68651,1.19969,0.730952,0,-3.74575,1.86,0.181187,-3.49038,1.29279,0.326323,0,-3.72822,1.86,0.635293,-3.46245,1.19862,0.969906,0,-3.33282,1.86,0.709027,-2.93017,1.31316,1.05328,0,-3.90298,1.86,0.0766894,-3.70511,1.31821,0.177186,0,-3.29272,1.86,0.369861,-2.81131,1.10036,0.592334,0,-3.38604,1.86,0.0675328,-2.97586,1.24158,0.167372,0,-3.31136,1.86,0.578417,-2.87004,1.21125,0.892343,0,-3.53244,1.86,0.442033,-3.19715,1.28835,0.68786,0,-3.23473,1.86,0.0288382,-2.77163,1.2323,0.109622,0,-3.53507,1.86,0.191121,-3.17613,1.14697,0.33387,0,-4.05958,1.86,0.501817,-3.93017,1.23651,0.771225,0,-3.83143,1.86,0.322413,-3.60881,1.12932,0.520962,0,-3.90219,1.86,0.605273,-3.70975,1.25855,0.918906,0,-3.58856,1.86,0.0320957,-3.27741,1.33508,0.128415,0,-4.01574,1.86,0.359819,-3.87588,1.12133,0.577348,0,-3.3795,1.86,0.84058,-2.96834,1.22009,1.25854,0,-4.1267,1.86,0.287129,-4.02277,1.24647,0.470565,0,
0.100002,-3.93655,3.74737,0.321447,-3.71891,3.89998,0.52252,-4.15302,1.86,0.598971,-4.0317,1.38663,0.89198,0,-4.11997,1.86,0.0620944,-3.98989,1.32874,0.167093,0,-3.51951,1.86,0.751505,-3.17364,1.30521,1.11408,0,-4.24008,1.86,0.498242,-4.15617,1.34893,0.762599,0,-3.80811,1.86,0.775259,-3.57154,1.35679,1.13574,0,-3.39685,1.86,0.28673,-3.01374,1.32397,0.471879,0,-3.67088,1.86,0.818665,-3.39237,1.40056,1.18345,0,-3.22881,1.86,0.800073,-2.80267,1.40114,1.1568,0,-3.20635,1.86,0.18025,-2.73147,1.27008,0.324157,0,-3.50833,1.86,0.598566,-3.15863,1.29374,0.905109,0,-4.25017,1.86,0.829313,-4.167,1.35394,1.20885,0,-3.67611,1.86,0.316325,-3.37608,1.23344,0.515425,0,-3.72302,1.86,0.46415,-3.44651,1.23878,0.720412,0,-4.00489,1.86,0.710094,-3.8459,1.26299,1.06367,0,-3.8849,1.86,0.466507,-3.67682,1.25875,0.728037,0,-3.74575,1.86,0.181187,-3.48583,1.3545,0.334349,0,-3.72822,1.86,0.635293,-3.45704,1.25144,0.962812,0,-3.33282,1.86,0.709027,-2.93485,1.36073,1.04443,0,-3.90298,1.86,0.0766894,-3.69854,1.37118,0.186047,0,-3.29272,1.86,0.369861,-2.8152,1.14537,0.590946,0,-3.38604,1.86,0.0675328,-2.98554,1.31633,0.176119,0,-3.31136,1.86,0.578417,-2.87536,1.26468,0.886892,0,-3.53244,1.86,0.442033,-3.19887,1.35697,0.684234,0,-3.23473,1.86,0.0288382,-2.77842,1.28235,0.119535,0,-3.53507,1.86,0.191121,-3.17631,1.19688,0.339978,0,-4.05958,1.86,0.501817,-3.91741,1.28794,0.76294,0,-3.83143,1.86,0.322413,-3.60347,1.15373,0.524219,0,-3.90219,1.86,0.605273,-3.69856,1.3261,0.905766,0,-3.58856,1.86,0.0320957,-3.27907,1.41851,0.142005,0,-4.01574,1.86,0.359819,-3.85912,1.19723,0.573363,0,-3.3795,1.86,0.84058,-2.97175,1.26934,1.24478,0,-4.1267,1.86,0.287129,-4.01342,1.27652,0.468589,0,
0.133336,-3.93655,3.74737,0.321447,-3.74654,3.89952,0.523208,-4.15302,1.86,0.598971,-4.02595,1.46195,0.88327,0,-4.11997,1.86,0.0620944,-3.98806,1.39713,0.179425,0,-3.51951,1.86,0.751505,-3.19312,1.37811,1.09992,0,-4.24008,1.86,0.498242,-4.1494,1.41681,0.758578,0,-3.80811,1.86,0.775259,-3.57889,1.46637,1.10898,0,-3.39685,1.86,0.28673,-3.0361,1.39038,0.474338,0,-3.67088,1.86,0.818665,-3.40536,1.45095,1.17203,0,-3.22881,1.86,0.800073,-2.82288,1.42755,1.14956,0,-3.20635,1.86,0.18025,-2.76153,1.34269,0.326215,0,-3.50833,1.86,0.598566,-3.1764,1.35215,0.89942,0,-4.25017,1.86,0.829313,-4.15767,1.42711,1.19261,0,-3.67611,1.86,0.316325,-3.39053,1.30178,0.517342,0,-3.72302,1.86,0.46415,-3.45906,1.32867,0.718754,0,-4.00489,1.86,0.710094,-3.84813,1.3259,1.05177,0,-3.8849,1.86,0.466507,-3.67932,1.37293,0.722035,0,-3.74575,1.86,0.181187,-3.4975,1.41837,0.340017,0,-3.72822,1.86,0.635293,-3.46858,1.31585,0.955,0,-3.33282,1.86,0.709027,-2.96019,1.43172,1.02995,0,-3.90298,1.86,0.0766894,-3.70083,1.47566,0.199789,0,-3.29272,1.86,0.369861,-2.84511,1.23475,0.590692,0,-3.38604,1.86,0.0675328,-3.01102,1.38972,0.18843,0,-3.31136,1.86,0.578417,-2.90026,1.32919,0.878117,0,-3.53244,1.86,0.442033,-3.21816,1.42403,0.682478,0,-3.23473,1.86,0.0288382,-2.80864,1.36053,0.129855,0,-3.53507,1.86,0.191121,-3.19148,1.2219,0.342364,0,-4.05958,1.86,0.501817,-3.91672,1.35511,0.758671,0,-3.83143,1.86,0.322413,-3.61255,1.18652,0.526053,0,-3.90219,1.86,0.605273,-3.70878,1.35875,0.900568,0,-3.58856,1.86,0.0320957,-3.29751,1.49036,0.15404,0,-4.01574,1.86,0.359819,-3.85492,1.3057,0.57205,0,-3.3795,1.86,0.84058,-2.99552,1.34278,1.22751,0,-4.1267,1.86,0.287129,-4.01591,1.31555,0.470495,0,
0.16667,-3.96525,3.74657,0.321783,-3.76192,3.89924,0.523591,-4.15302,1.86,0.598971,-4.01516,1.51645,0.873907,0,-4.11997,1.86,0.0620944,-3.97485,1.46632,0.188754,0,-3.51951,1.86,0.751505,-3.19956,1.42639,1.08967,0,-4.24008,1.86,0.498242,-4.13573,1.47084,0.753423,0,-3.80811,1.86,0.775259,-3.5814,1.49198,1.10438,0,-3.39685,1.86,0.28673,-3.04629,1.44425,0.477302,0,-3.67088,1.86,0.818665,-3.40719,1.48748,1.16399,0,-3.22881,1.86,0.800073,-2.83748,1.49065,1.13795,0,-3.20635,1.86,0.18025,-2.78241,1.41767,0.329284,0,-3.50833,1.86,0.598566,-3.18285,1.40375,0.893471,0,-4.25017,1.86,0.829313,-4.14775,1.46777,1.18153,0,-3.67611,1.86,0.316325,-3.39435,1.3975,0.516362,0,-3.72302,1.86,0.46415,-3.46106,1.38571,0.712075,0,-4.00489,1.86,0.710094,-3.84098,1.37925,1.0407,0,-3.8849,1.86,0.466507,-3.6776,1.42826,0.717606,0,-3.74575,1.86,0.181187,-3.4981,1.47422,0.3444,0,-3.72822,1.86,0.635293,-3.46947,1.36379,0.947799,0,-3.33282,1.86,0.709027,-2.97198,1.4846,1.02076,0,-3.90298,1.86,0.0766894,-3.69798,1.53637,0.20878,0,-3.29272,1.86,0.369861,-2.86397,1.31343,0.590919,0,-3.38604,1.86,0.0675328,-3.0245,1.45858,0.199213,0,-3.31136,1.86,0.578417,-2.91284,1.38329,0.875408,0,-3.53244,1.86,0.442033,-3.22455,1.47503,0.6778,0,-3.23473,1.86,0.0288382,-2.83273,1.45226,0.145717,0,-3.53507,1.86,0.191121,-3.19419,1.25903,0.344562,0,-4.05958,1.86,0.501817,-3.90928,1.40415,0.754927,0,-3.83143,1.86,0.322413,-3.60751,1.25597,0.526234,0,-3.90219,1.86,0.605273,-3.70513,1.39623,0.894014,0,-3.58856,1.86,0.0320957,-3.30327,1.54692,0.164289,0,-4.01574,1.86,0.359819,-3.84559,1.3847,0.569832,0,-3.3795,1.86,0.84058,-3.01059,1.42346,1.20681,0,-4.1267,1.86,0.287129,-3.99929,1.39179,0.470938,0,
0.200004,-3.96525,3.74657,0.321783,-3.77441,3.8991,0.523904,-4.15302,1.86,0.598971,-4.00422,1.55989,0.869774,0,-4.11997,1.86,0.0620944,-3.9636,1.51715,0.197276,0,-3.51951,1.86,0.751505,-3.2034,1.48092,1.07869,0,-4.24008,1.86,0.498242,-4.12351,1.51134,0.752034,0,-3.80811,1.86,0.775259,-3.57633,1.54254,1.0929,0,-3.39685,1.86,0.28673,-3.05641,1.51333,0.479948,0,-3.67088,1.86,0.818665,-3.4061,1.53643,1.14989,0,-3.22881,1.86,0.800073,-2.85039,1.54778,1.12317,0,-3.20635,1.86,0.18025,-2.79671,1.47512,0.33731,0,-3.50833,1.86,0.598566,-3.18693,1.45498,0.888293,0,-4.25017,1.86,0.829313,-4.13451,1.51067,1.17472,0,-3.67611,1.86,0.316325,-3.39582,1.43839,0.518861,0,-3.72302,1.86,0.46415,-3.46027,1.46182,0.710714,0,-4.00489,1.86,0.710094,-3.83625,1.40597,1.03849,0,-3.8849,1.86,0.466507,-3.6712,1.49011,0.714276,0,-3.74575,1.86,0.181187,-3.49655,1.51646,0.349256,0,-3.72822,1.86,0.635293,-3.46746,1.42185,0.939647,0,-3.33282,1.86,0.709027,-2.98007,1.53341,1.01189,0,-3.90298,1.86,0.0766894,-3.6932,1.57844,0.215065,0,-3.29272,1.86,0.369861,-2.8749,1.36665,0.589364,0,-3.38604,1.86,0.0675328,-3.02923,1.48847,0.203133,0,-3.31136,1.86,0.578417,-2.91967,1.42421,0.867998,0,-3.53244,1.86,0.442033,-3.22813,1.52435,0.677872,0,-3.23473,1.86,0.0288382,-2.84388,1.49647,0.153691,0,-3.53507,1.86,0.191121,-3.19841,1.33086,0.351573,0,-4.05958,1.86,0.501817,-3.89966,1.44953,0.752323,0,-3.83143,1.86,0.322413,-3.60297,1.31596,0.526903,0,-3.90219,1.86,0.605273,-3.69837,1.44421,0.889371,0,-3.58856,1.86,0.0320957,-3.30674,1.60867,0.174756,0,-4.01574,1.86,0.359819,-3.83792,1.43265,0.569691,0,-3.3795,1.86,0.84058,-3.01787,1.46756,1.19537,0,-4.1267,1.86,0.287129,-3.98492,1.45723,0.475528,0,
0.233338,-3.99353,3.74571,0.32211,-3.7899,3.89887,0.524291,-4.15302,1.86,0.598971,-3.99537,1.60435,0.861353,0,-4.11997,1.86,0.0620944,-3.95502,1.56623,0.20388,0,-3.51951,1.86,0.751505,-3.20875,1.51707,1.07044,0,-4.24008,1.86,0.498242,-4.11896,1.53282,0.74657,0,-3.80811,1.86,0.775259,-3.5774,1.56099,1.08719,0,-3.39685,1.86,0.28673,-3.06505,1.55142,0.480398,0,-3.67088,1.86,0.818665,-3.40901,1.58884,1.13472,0,-3.22881,1.86,0.800073,-2.85539,1.55578,1.11967,0,-3.20635,1.86,0.18025,-2.8077,1.51043,0.338208,0,-3.50833,1.86,0.598566,-3.19221,1.49033,0.881225,0,-4.25017,1.86,0.829313,-4.12625,1.54228,1.16162,0,-3.67611,1.86,0.316325,-3.39839,1.49398,0.519395,0,-3.72302,1.86,0.46415,-3.46342,1.50775,0.700942,0,-4.00489,1.86,0.710094,-3.83023,1.44534,1.02912,0,-3.8849,1.86,0.466507,-3.66916,1.53906,0.709567,0,-3.74575,1.86,0.181187,-3.49735,1.56455,0.350734,0,-3.72822,1.86,0.635293,-3.4702,1.42858,0.936721,0,-3.33282,1.86,0.709027,-2.99001,1.57666,1.00169,0,-3.90298,1.86,0.0766894,-3.68924,1.63855,0.222505,0,-3.29272,1.86,0.369861,-2.88613,1.41153,0.585929,0,-3.38604,1.86,0.0675328,-3.03421,1.51308,0.204785,0,-3.31136,1.86,0.578417,-2.92646,1.45152,0.86349,0,-3.53244,1.86,0.442033,-3.23258,1.55387,0.675059,0,-3.23473,1.86,0.0288382,-2.85261,1.52536,0.153683,0,-3.53507,1.86,0.191121,-3.20466,1.37371,0.352531,0,-4.05958,1.86,0.501817,-3.89356,1.49061,0.747536,0,-3.83143,1.86,0.322413,-3.59977,1.41819,0.524832,0,-3.90219,1.86,0.605273,-3.69627,1.48029,0.883927,0,-3.58856,1.86,0.0320957,-3.31134,1.6421,0.178971,0,-4.01574,1.86,0.359819,-3.82866,1.51052,0.562722,0,-3.3795,1.86,0.84058,-3.02749,1.51635,1.17952,0,-4.1267,1.86,0.287129,-3.98043,1.4885,0.475582,0,
0.266672,-3.99353,3.74571,0.32211,-3.80231,3.89863,0.524599,-4.15302,1.86,0.598971,-3.98462,1.64518,0.855129,0,-4.11997,1.86,0.0620944,-3.94512,1.60849,0.207521,0,-3.51951,1.86,0.751505,-3.20949,1.54186,1.0618,0,-4.24008,1.86,0.498242,-4.10455,1.57442,0.743264,0,-3.80811,1.86,0.775259,-3.57207,1.62213,1.07139,0,-3.39685,1.86,0.28673,-3.06702,1.57137,0.476784,0,-3.67088,1.86,0.818665,-3.40885,1.63125,1.12448,0,-3.22881,1.86,0.800073,-2.85833,1.5818,1.11021,0,-3.20635,1.86,0.18025,-2.81849,1.56023,0.339785,0,-3.50833,1.86,0.598566,-3.19622,1.544,0.870552,0,-4.25017,1.86,0.829313,-4.11528,1.57271,1.15262,0,-3.67611,1.86,0.316325,-3.39853,1.54114,0.519521,0,-3.72302,1.86,0.46415,-3.46209,1.55847,0.69585,0,-4.00489,1.86,0.710094,-3.81588,1.53454,1.00906,0,-3.8849,1.86,0.466507,-3.66444,1.57923,0.706251,0,-3.74575,1.86,0.181187,-3.49555,1.60743,0.353523,0,-3.72822,1.86,0.635293,-3.46632,1.46014,0.928911,0,-3.33282,1.86,0.709027,-2.99542,1.61219,0.992641,0,-3.90298,1.86,0.0766894,-3.68231,1.72145,0.23235,0,-3.29272,1.86,0.369861,-2.89373,1.45558,0.584399,0,-3.38604,1.86,0.0675328,-3.03597,1.53858,0.206345,0,-3.31136,1.86,0.578417,-2.93018,1.48221,0.857371,0,-3.53244,1.86,0.442033,-3.23216,1.57204,0.674772,0,-3.23473,1.86,0.0288382,-2.85564,1.54832,0.160191,0,-3.53507,1.86,0.191121,-3.20739,1.42373,0.3557,0,-4.05958,1.86,0.501817,-3.88617,1.52198,0.74363,0,-3.83143,1.86,0.322413,-3.59771,1.46315,0.52651,0,-3.90219,1.86,0.605273,-3.68941,1.53177,0.874612,0,-3.58856,1.86,0.0320957,-3.31342,1.69375,0.184769,0,-4.01574,1.86,0.359819,-3.82396,1.54943,0.556559,0,-3.3795,1.86,0.84058,-3.03387,1.56025,1.16484,0,-4.1267,1.86,0.287129,-3.97214,1.51648,0.475136,0,
0.300007,-4.02018,3.74487,0.322398,-3.8289,3.89813,0.52526,-4.15302,1.86,0.598971,-3.98666,1.69346,0.85008,0,-4.11997,1.86,0.0620944,-3.94235,1.69053,0.219228,0,-3.51951,1.86,0.751505,-3.22873,1.61072,1.04719,0,-4.24008,1.86,0.498242,-4.09793,1.64782,0.737049,0,-3.80811,1.86,0.775259,-3.58339,1.69217,1.05527,0,-3.39685,1.86,0.28673,-3.08752,1.62575,0.477684,0,-3.67088,1.86,0.818665,-3.42479,1.70703,1.10761,0,-3.22881,1.86,0.800073,-2.87525,1.6046,1.10614,0,-3.20635,1.86,0.18025,-2.84448,1.61051,0.343039,0,-3.50833,1.86,0.598566,-3.2166,1.60674,0.861463,0,-4.25017,1.86,0.829313,-4.10837,1.64182,1.13289,0,-3.67611,1.86,0.316325,-3.413,1.58985,0.517308,0,-3.72302,1.86,0.46415,-3.4757,1.61687,0.695877,0,-4.00489,1.86,0.710094,-3.81987,1.61196,0.993277,0,-3.8849,1.86,0.466507,-3.67192,1.65787,0.698801,0,-3.74575,1.86,0.181187,-3.5081,1.66086,0.358773,0,-3.72822,1.86,0.635293,-3.47827,1.52445,0.920526,0,-3.33282,1.86,0.709027,-3.01218,1.63603,0.989615,0,-3.90298,1.86,0.0766894,-3.69291,1.76562,0.239451,0,-3.29272,1.86,0.369861,-2.91998,1.51816,0.583829,0,-3.38604,1.86,0.0675328,-3.0646,1.62804,0.221542,0,-3.31136,1.86,0.578417,-2.95404,1.53983,0.848707,0,-3.53244,1.86,0.442033,-3.25006,1.63345,0.670114,0,-3.23473,1.86,0.0288382,-2.87916,1.59824,0.168342,0,-3.53507,1.86,0.191121,-3.22658,1.48786,0.361904,0,-4.05958,1.86,0.501817,-3.88933,1.57314,0.73819,0,-3.83143,1.86,0.322413,-3.60701,1.53564,0.527386,0,-3.90219,1.86,0.605273,-3.69856,1.57256,0.867731,0,-3.58856,1.86,0.0320957,-3.32852,1.72229,0.19102,0,-4.01574,1.86,0.359819,-3.82933,1.59249,0.558499,0,-3.3795,1.86,0.84058,-3.05484,1.60903,1.15248,0,-4.1267,1.86,0.287129,-3.97308,1.56962,0.473879,0,
