time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,
0,-7.07264,3.2369,0.355388,-6.88179,3.52217,0.592134,-5.68809,1.86,0.764748,-4.67554,1.32811,1.24444,0,-5.66236,1.86,0.591601,-4.69476,1.38691,0.958447,0,-6.16,1.79076,0.499145,-5.269,0.96661,0.846176,0,-6.09529,1.86,0.716271,-5.17884,1.12306,1.22094,0,-5.88714,1.86,0.561639,-4.83234,1.14184,0.948692,0,-6.16,0.782454,1.01534,-5.83642,0.710772,1.34806,0,-6.16,1.83737,0.188735,-5.2378,1.00113,0.291935,0,-5.23023,1.86,0.800973,-4.35872,1.63659,1.20234,0,-5.43797,1.86,0.0434673,-4.50392,1.51928,0.138401,0,-6.16,0.692945,0.769604,-5.81488,0.548221,1.07636,0,-5.73581,1.86,0.13651,-4.71244,1.28781,0.23695,0,-5.77695,1.86,0.38479,-4.74712,1.25372,0.640575,0,-5.88787,1.86,0.723168,-4.91158,1.23248,1.20373,0,-6.16,0.873122,0.33345,-5.76267,0.623633,0.565233,0,-5.98523,1.86,0.332354,-4.98365,1.11871,0.551927,0,-5.4214,1.86,0.893301,-4.49211,1.52952,1.3706,0,-6.16,0.954336,0.517895,-5.76968,0.740747,0.790157,0,-5.65492,1.86,0.263573,-4.62105,1.32653,0.445724,0,-5.57211,1.86,0.408585,-4.59575,1.4245,0.673178,0,-6.05093,1.86,0.493804,-5.08014,1.09421,0.836211,0,-5.47494,1.86,0.710957,-4.53171,1.49688,1.11514,0,-5.43913,1.86,0.523458,-4.4904,1.50645,0.838181,0,-6.16,0.578911,0.00493732,-5.87619,0.593463,0.205989,0,-5.91108,1.86,0.0803182,-4.97559,1.2626,0.140729,0,-5.40722,1.86,0.287577,-4.55103,1.5952,0.497233,0,-5.92754,1.86,0.83066,-5.07049,1.34423,1.34391,0,-5.84278,1.86,0.253006,-4.84823,1.24549,0.422847,0,-6.16,1.75307,0.296658,-5.33371,1.00522,0.492514,0,-6.16,1.6106,0.111661,-5.44971,0.970258,0.209688,0,-6.16,0.361214,0.469698,-5.93349,0.534155,0.710909,0,-6.01943,1.86,0.189206,-5.04059,1.11512,0.301621,0,-6.0345,1.86,0.600482,-5.046,1.08735,1.02554,0,-6.16,1.54571,0.597445,-5.47754,0.920006,0.964576,0,-6.16,1.2319,0.0987818,-5.59595,0.697309,0.230599,0,
0.0333341,-7.08524,3.21837,0.357151,-6.8937,3.51352,0.592192,-5.68809,1.86,0.764748,-4.69178,1.35001,1.23934,0,-5.66236,1.86,0.591601,-4.7065,1.39955,0.957676,0,-6.16,1.79076,0.499145,-5.30507,1.0387,0.840219,0,-6.09529,1.86,0.716271,-5.21023,1.17943,1.2072,0,-5.88714,1.86,0.561639,-4.85791,1.18003,0.945294,0,-6.16,0.782454,1.01534,-5.84173,0.73057,1.34507,0,-6.16,1.83737,0.188735,-5.27313,1.06862,0.298674,0,-5.23023,1.86,0.800973,-4.36367,1.64093,1.20106,0,-5.43797,1.86,0.0434673,-4.51947,1.5349,0.143827,0,-6.16,0.692945,0.769604,-5.81844,0.565159,1.07442,0,-5.73581,1.86,0.13651,-4.74359,1.3293,0.243864,0,-5.77695,1.86,0.38479,-4.77058,1.28499,0.640521,0,-5.88787,1.86,0.723168,-4.93443,1.26568,1.19516,0,-6.16,0.873122,0.33345,-5.76998,0.650969,0.566537,0,-5.98523,1.86,0.332354,-5.01561,1.17072,0.551614,0,-5.4214,1.86,0.893301,-4.50939,1.55125,1.35931,0,-6.16,0.954336,0.517895,-5.78179,0.784031,0.789214,0,-5.65492,1.86,0.263573,-4.63621,1.34388,0.445555,0,-5.57211,1.86,0.408585,-4.62512,1.45723,0.674415,0,-6.05093,1.86,0.493804,-5.10092,1.127,0.827891,0,-5.47494,1.86,0.710957,-4.54341,1.51014,1.11135,0,-5.43913,1.86,0.523458,-4.52721,1.54683,0.837931,0,-6.16,0.578911,0.00493732,-5.88077,0.612982,0.210569,0,-5.91108,1.86,0.0803182,-5.00495,1.3044,0.148133,0,-5.40722,1.86,0.287577,-4.57472,1.61714,0.498251,0,-5.92754,1.86,0.83066,-5.09068,1.37281,1.33357,0,-5.84278,1.86,0.253006,-4.87629,1.28407,0.422726,0,-6.16,1.75307,0.296658,-5.37613,1.09057,0.496926,0,-6.16,1.6106,0.111661,-5.48402,1.04664,0.220865,0,-6.16,0.361214,0.469698,-5.93536,0.547364,0.708591,0,-6.01943,1.86,0.189206,-5.08041,1.18044,0.308925,0,-6.0345,1.86,0.600482,-5.076,1.13783,1.01932,0,-6.16,1.54571,0.597445,-5.5049,0.984904,0.955619,0,-6.16,1.2319,0.0987818,-5.60815,0.73915,0.235476,0,
0.0666681,-7.0846,3.20987,0.358625,-6.90239,3.50702,0.592229,-5.68809,1.86,0.764748,-4.72203,1.38688,1.22789,0,-5.66236,1.86,0.591601,-4.73205,1.43042,0.951183,0,-6.16,1.79076,0.499145,-5.35023,1.1238,0.832357,0,-6.09529,1.86,0.716271,-5.24748,1.24171,1.19254,0,-5.88714,1.86,0.561639,-4.90439,1.24465,0.94047,0,-6.16,0.782454,1.01534,-5.85139,0.765094,1.33857,0,-6.16,1.83737,0.188735,-5.31669,1.14791,0.308396,0,-5.23023,1.86,0.800973,-4.37603,1.65143,1.19521,0,-5.43797,1.86,0.0434673,-4.53555,1.54956,0.146985,0,-6.16,0.692945,0.769604,-5.82605,0.592173,1.0699,0,-5.73581,1.86,0.13651,-4.77214,1.36229,0.248527,0,-5.77695,1.86,0.38479,-4.80567,1.32957,0.639556,0,-5.88787,1.86,0.723168,-4.96982,1.31556,1.18266,0,-6.16,0.873122,0.33345,-5.78028,0.683107,0.567904,0,-5.98523,1.86,0.332354,-5.04999,1.22098,0.554216,0,-5.4214,1.86,0.893301,-4.53281,1.57389,1.34957,0,-6.16,0.954336,0.517895,-5.79481,0.821846,0.788426,0,-5.65492,1.86,0.263573,-4.65319,1.3616,0.443912,0,-5.57211,1.86,0.408585,-4.64059,1.47054,0.669984,0,-6.05093,1.86,0.493804,-5.14467,1.20018,0.823429,0,-5.47494,1.86,0.710957,-4.57213,1.54091,1.10215,0,-5.43913,1.86,0.523458,-4.53768,1.55123,0.831961,0,-6.16,0.578911,0.00493732,-5.88766,0.635893,0.213376,0,-5.91108,1.86,0.0803182,-5.03268,1.34203,0.155337,0,-5.40722,1.86,0.287577,-4.59542,1.63567,0.500818,0,-5.92754,1.86,0.83066,-5.12025,1.41611,1.31756,0,-5.84278,1.86,0.253006,-4.91063,1.3291,0.428153,0,-6.16,1.75307,0.296658,-5.41902,1.17185,0.50043,0,-6.16,1.6106,0.111661,-5.52066,1.12412,0.232508,0,-6.16,0.361214,0.469698,-5.94244,0.576755,0.710762,0,-6.01943,1.86,0.189206,-5.11998,1.24009,0.315784,0,-6.0345,1.86,0.600482,-5.11672,1.20235,1.00456,0,-6.16,1.54571,0.597445,-5.5397,1.06327,0.945666,0,-6.16,1.2319,0.0987818,-5.62626,0.78852,0.242515,0,
0.100002,-7.0846,3.20987,0.358625,-6.91009,3.50113,0.592257,-5.68809,1.86,0.764748,-4.73727,1.39377,1.22159,0,-5.66236,1.86,0.591601,-4.76754,1.46458,0.939861,0,-6.16,1.79076,0.499145,-5.39374,1.19515,0.821075,0,-6.09529,1.86,0.716271,-5.28251,1.2916,1.17514,0,-5.88714,1.86,0.561639,-4.94185,1.2871,0.929359,0,-6.16,0.782454,1.01534,-5.8626,0.786439,1.32905,0,-6.16,1.83737,0.188735,-5.36209,1.22082,0.313508,0,-5.23023,1.86,0.800973,-4.37823,1.64085,1.1923,0,-5.43797,1.86,0.0434673,-4.5633,1.57096,0.145953,0,-6.16,0.692945,0.769604,-5.84002,0.62897,1.0635,0,-5.73581,1.86,0.13651,-4.80025,1.38807,0.248012,0,-5.77695,1.86,0.38479,-4.84028,1.36414,0.633055,0,-5.88787,1.86,0.723168,-5.00415,1.35412,1.16633,0,-6.16,0.873122,0.33345,-5.7958,0.719178,0.564074,0,-5.98523,1.86,0.332354,-5.08872,1.27102,0.550885,0,-5.4214,1.86,0.893301,-4.5415,1.57152,1.34564,0,-6.16,0.954336,0.517895,-5.81124,0.860162,0.781348,0,-5.65492,1.86,0.263573,-4.68459,1.39235,0.443741,0,-5.57211,1.86,0.408585,-4.64718,1.46524,0.66518,0,-6.05093,1.86,0.493804,-5.19098,1.26555,0.816365,0,-5.47494,1.86,0.710957,-4.5837,1.54113,1.09665,0,-5.43913,1.86,0.523458,-4.54179,1.54493,0.829803,0,-6.16,0.578911,0.00493732,-5.90039,0.661969,0.210473,0,-5.91108,1.86,0.0803182,-5.0661,1.38155,0.158485,0,-5.40722,1.86,0.287577,-4.63324,1.6667,0.493773,0,-5.92754,1.86,0.83066,-5.1491,1.44967,1.30188,0,-5.84278,1.86,0.253006,-4.94878,1.37124,0.424903,0,-6.16,1.75307,0.296658,-5.45875,1.23817,0.499323,0,-6.16,1.6106,0.111661,-5.56049,1.19904,0.239956,0,-6.16,0.361214,0.469698,-5.9526,0.58169,0.704,0,-6.01943,1.86,0.189206,-5.18968,1.34059,0.32278,0,-6.0345,1.86,0.600482,-5.15798,1.25853,0.99232,0,-6.16,1.54571,0.597445,-5.57313,1.12693,0.933536,0,-6.16,1.2319,0.0987818,-5.64977,0.838804,0.243552,0,
0.133336,-7.09547,3.19079,0.360456,-6.92991,3.48555,0.59232,-5.68809,1.86,0.764748,-4.76042,1.44208,1.21032,0,-5.66236,1.86,0.591601,-4.80389,1.5239,0.931064,0,-6.16,1.79076,0.499145,-5.43524,1.29163,0.811558,0,-6.09529,1.86,0.716271,-5.31777,1.36845,1.15604,0,-5.88714,1.86,0.561639,-4.97681,1.35362,0.918762,0,-6.16,0.782454,1.01534,-5.86165,0.83102,1.31789,0,-6.16,1.83737,0.188735,-5.40355,1.31394,0.322444,0,-5.23023,1.86,0.800973,-4.39722,1.67957,1.18431,0,-5.43797,1.86,0.0434673,-4.59334,1.61969,0.156047,0,-6.16,0.692945,0.769604,-5.83773,0.671093,1.05525,0,-5.73581,1.86,0.13651,-4.84634,1.46438,0.257308,0,-5.77695,1.86,0.38479,-4.8787,1.43138,0.632055,0,-5.88787,1.86,0.723168,-5.03565,1.41533,1.15253,0,-6.16,0.873122,0.33345,-5.79966,0.77944,0.565365,0,-5.98523,1.86,0.332354,-5.13069,1.35254,0.553134,0,-5.4214,1.86,0.893301,-4.56097,1.61094,1.33484,0,-6.16,0.954336,0.517895,-5.81683,0.91742,0.775829,0,-5.65492,1.86,0.263573,-4.72013,1.4527,0.446468,0,-5.57211,1.86,0.408585,-4.65182,1.49004,0.664933,0,-6.05093,1.86,0.493804,-5.22738,1.34036,0.807991,0,-5.47494,1.86,0.710957,-4.6112,1.59013,1.08803,0,-5.43913,1.86,0.523458,-4.55228,1.57521,0.825846,0,-6.16,0.578911,0.00493732,-5.90867,0.757833,0.2223,0,-5.91108,1.86,0.0803182,-5.10226,1.45019,0.1703,0,-5.40722,1.86,0.287577,-4.64721,1.69436,0.496215,0,-5.92754,1.86,0.83066,-5.18227,1.51319,1.28168,0,-5.84278,1.86,0.253006,-4.99082,1.44423,0.42704,0,-6.16,1.75307,0.296658,-5.50014,1.33588,0.50101,0,-6.16,1.6106,0.111661,-5.59758,1.2973,0.25264,0,-6.16,0.361214,0.469698,-5.95035,0.648539,0.699944,0,-6.01943,1.86,0.189206,-5.24528,1.43893,0.333617,0,-6.0345,1.86,0.600482,-5.19292,1.32834,0.973734,0,-6.16,1.54571,0.597445,-5.60202,1.21378,0.921463,0,-6.16,1.2319,0.0987818,-5.66226,0.907128,0.248254,0,
0.16667,-7.09387,3.1818,0.362016,-6.94115,3.47638,0.592346,-5.68809,1.86,0.764748,-4.79201,1.48016,1.20124,0,-5.66236,1.86,0.591601,-4.86411,1.5927,0.926144,0,-6.16,1.79076,0.499145,-5.48075,1.37244,0.806437,0,-6.09529,1.86,0.716271,-5.36452,1.44402,1.1384,0,-5.88714,1.86,0.561639,-5.01475,1.40469,0.911968,0,-6.16,0.782454,1.01534,-5.87447,0.877458,1.30991,0,-6.16,1.83737,0.188735,-5.44372,1.38289,0.331805,0,-5.23023,1.86,0.800973,-4.4186,1.69947,1.17852,0,-5.43797,1.86,0.0434673,-4.619,1.645,0.161419,0,-6.16,0.692945,0.769604,-5.84853,0.712908,1.05289,0,-5.73581,1.86,0.13651,-4.87271,1.49362,0.262277,0,-5.77695,1.86,0.38479,-4.91101,1.4704,0.632342,0,-5.88787,1.86,0.723168,-5.07265,1.46555,1.14028,0,-6.16,0.873122,0.33345,-5.81544,0.831888,0.569869,0,-5.98523,1.86,0.332354,-5.17146,1.41078,0.555083,0,-5.4214,1.86,0.893301,-4.57943,1.62944,1.32911,0,-6.16,0.954336,0.517895,-5.83025,0.959661,0.77431,0,-5.65492,1.86,0.263573,-4.75237,1.48906,0.448868,0,-5.57211,1.86,0.408585,-4.67495,1.51817,0.664694,0,-6.05093,1.86,0.493804,-5.27072,1.40711,0.804141,0,-5.47494,1.86,0.710957,-4.63821,1.6178,1.08214,0,-5.43913,1.86,0.523458,-4.57386,1.59875,0.824339,0,-6.16,0.578911,0.00493732,-5.92366,0.810854,0.232113,0,-5.91108,1.86,0.0803182,-5.13738,1.49764,0.180898,0,-5.40722,1.86,0.287577,-4.66214,1.70923,0.495475,0,-5.92754,1.86,0.83066,-5.22136,1.56759,1.26403,0,-5.84278,1.86,0.253006,-5.02599,1.48874,0.434037,0,-6.16,1.75307,0.296658,-5.53641,1.40104,0.503931,0,-6.16,1.6106,0.111661,-5.63183,1.36533,0.263518,0,-6.16,0.361214,0.469698,-5.96107,0.69372,0.7016,0,-6.01943,1.86,0.189206,-5.28265,1.49161,0.339331,0,-6.0345,1.86,0.600482,-5.24465,1.40822,0.968025,0,-6.16,1.54571,0.597445,-5.63897,1.29218,0.913495,0,-6.16,1.2319,0.0987818,-5.69532,0.998509,0.264319,0,
0.200004,-7.10445,3.1611,0.363952,-6.93758,3.47933,0.592339,-5.68809,1.86,0.764748,-4.817,1.4784,1.19428,0,-5.66236,1.86,0.591601,-4.89542,1.59867,0.923115,0,-6.16,1.79076,0.499145,-5.51751,1.40633,0.799962,0,-6.09529,1.86,0.716271,-5.39313,1.4589,1.13075,0,-5.88714,1.86,0.561639,-5.04939,1.42072,0.908001,0,-6.16,0.782454,1.01534,-5.89717,0.879986,1.30612,0,-6.16,1.83737,0.188735,-5.48211,1.41868,0.334949,0,-5.23023,1.86,0.800973,-4.42473,1.66987,1.17654,0,-5.43797,1.86,0.0434673,-4.64103,1.63797,0.161604,0,-6.16,0.692945,0.769604,-5.87492,0.725715,1.04642,0,-5.73581,1.86,0.13651,-4.89784,1.49406,0.263036,0,-5.77695,1.86,0.38479,-4.94007,1.4763,0.629542,0,-5.88787,1.86,0.723168,-5.09887,1.47069,1.13446,0,-6.16,0.873122,0.33345,-5.84155,0.844278,0.569431,0,-5.98523,1.86,0.332354,-5.21108,1.43829,0.552623,0,-5.4214,1.86,0.893301,-4.58935,1.60747,1.32753,0,-6.16,0.954336,0.517895,-5.85488,0.974497,0.772167,0,-5.65492,1.86,0.263573,-4.77803,1.48709,0.448945,0,-5.57211,1.86,0.408585,-4.69403,1.50735,0.662955,0,-6.05093,1.86,0.493804,-5.30265,1.4239,0.796045,0,-5.47494,1.86,0.710957,-4.65274,1.60043,1.07673,0,-5.43913,1.86,0.523458,-4.58939,1.58332,0.823558,0,-6.16,0.578911,0.00493732,-5.94936,0.821356,0.232242,0,-5.91108,1.86,0.0803182,-5.16771,1.5105,0.183914,0,-5.40722,1.86,0.287577,-4.68411,1.70502,0.493832,0,-5.92754,1.86,0.83066,-5.24277,1.56897,1.26235,0,-5.84278,1.86,0.253006,-5.0568,1.49952,0.432812,0,-6.16,1.75307,0.296658,-5.57436,1.44095,0.50403,0,-6.16,1.6106,0.111661,-5.66766,1.4054,0.268213,0,-6.16,0.361214,0.469698,-5.98753,0.706985,0.698582,0,-6.01943,1.86,0.189206,-5.32067,1.52111,0.342806,0,-6.0345,1.86,0.600482,-5.2786,1.42789,0.958556,0,-6.16,1.54571,0.597445,-5.67172,1.32533,0.905394,0,-6.16,1.2319,0.0987818,-5.73794,1.0587,0.271975,0,
0.233338,-7.10445,3.1611,0.363952,-6.95802,3.46236,0.592378,-5.68809,1.86,0.764748,-4.85636,1.54553,1.17681,0,-5.66236,1.86,0.591601,-4.9271,1.65224,0.913326,0,-6.16,1.79076,0.499145,-5.55437,1.49113,0.792236,0,-6.09529,1.86,0.716271,-5.42231,1.52496,1.11594,0,-5.88714,1.86,0.561639,-5.08772,1.49178,0.900111,0,-6.16,0.782454,1.01534,-5.89603,0.929383,1.29568,0,-6.16,1.83737,0.188735,-5.51639,1.49659,0.342877,0,-5.23023,1.86,0.800973,-4.44503,1.71226,1.16915,0,-5.43797,1.86,0.0434673,-4.66137,1.67789,0.166533,0,-6.16,0.692945,0.769604,-5.8769,0.793508,1.03768,0,-5.73581,1.86,0.13651,-4.94131,1.56711,0.272945,0,-5.77695,1.86,0.38479,-4.96849,1.53126,0.629802,0,-5.88787,1.86,0.723168,-5.13243,1.53579,1.12074,0,-6.16,0.873122,0.33345,-5.8437,0.899778,0.574346,0,-5.98523,1.86,0.332354,-5.28698,1.56445,0.555248,0,-5.4214,1.86,0.893301,-4.61633,1.65672,1.31138,0,-6.16,0.954336,0.517895,-5.85806,1.02717,0.769658,0,-5.65492,1.86,0.263573,-4.80405,1.53747,0.449152,0,-5.57211,1.86,0.408585,-4.74565,1.58551,0.656903,0,-6.05093,1.86,0.493804,-5.33364,1.49092,0.788312,0,-5.47494,1.86,0.710957,-4.66855,1.63756,1.07012,0,-5.43913,1.86,0.523458,-4.63785,1.65412,0.813737,0,-6.16,0.578911,0.00493732,-5.94448,0.860149,0.237542,0,-5.91108,1.86,0.0803182,-5.19461,1.56491,0.189512,0,-5.40722,1.86,0.287577,-4.71109,1.7496,0.493674,0,-5.92754,1.86,0.83066,-5.27503,1.63217,1.24254,0,-5.84278,1.86,0.253006,-5.095,1.56771,0.436307,0,-6.16,1.75307,0.296658,-5.60752,1.51949,0.507719,0,-6.16,1.6106,0.111661,-5.69637,1.48301,0.280017,0,-6.16,0.361214,0.469698,-5.98065,0.743428,0.699964,0,-6.01943,1.86,0.189206,-5.35354,1.58592,0.35247,0,-6.0345,1.86,0.600482,-5.31466,1.50168,0.946963,0,-6.16,1.54571,0.597445,-5.6959,1.39886,0.894529,0,-6.16,1.2319,0.0987818,-5.75004,1.11936,0.278867,0,
0.266672,-7.11393,3.14033,0.365914,-6.96919,3.4527,0.592389,-5.68809,1.86,0.764748,-4.91606,1.61215,1.15431,0,-5.66236,1.86,0.591601,-4.96302,1.69162,0.907038,0,-6.16,1.79076,0.499145,-5.60588,1.57799,0.782976,0,-6.09529,1.86,0.716271,-5.4765,1.60851,1.09281,0,-5.88714,1.86,0.561639,-5.14797,1.56919,0.887967,0,-6.16,0.782454,1.01534,-5.91321,0.990226,1.27916,0,-6.16,1.83737,0.188735,-5.56505,1.57671,0.352783,0,-5.23023,1.86,0.800973,-4.48495,1.74804,1.15363,0,-5.43797,1.86,0.0434673,-4.70179,1.71863,0.173137,0,-6.16,0.692945,0.769604,-5.89246,0.84758,1.02764,0,-5.73581,1.86,0.13651,-4.9847,1.61609,0.278553,0,-5.77695,1.86,0.38479,-5.0174,1.59029,0.628511,0,-5.88787,1.86,0.723168,-5.18233,1.6001,1.10135,0,-6.16,0.873122,0.33345,-5.86623,0.973636,0.574797,0,-5.98523,1.86,0.332354,-5.34628,1.64179,0.554568,0,-5.4214,1.86,0.893301,-4.65836,1.69868,1.29815,0,-6.16,0.954336,0.517895,-5.87807,1.08864,0.765152,0,-5.65492,1.86,0.263573,-4.86085,1.60163,0.454688,0,-5.57211,1.86,0.408585,-4.80462,1.64628,0.653972,0,-6.05093,1.86,0.493804,-5.38849,1.57171,0.77816,0,-5.47494,1.86,0.710957,-4.69648,1.66591,1.05987,0,-5.43913,1.86,0.523458,-4.67968,1.68956,0.800164,0,-6.16,0.578911,0.00493732,-5.95654,0.90797,0.242564,0,-5.91108,1.86,0.0803182,-5.23902,1.62423,0.202418,0,-5.40722,1.86,0.287577,-4.74535,1.78239,0.493427,0,-5.92754,1.86,0.83066,-5.31516,1.68525,1.22503,0,-5.84278,1.86,0.253006,-5.13611,1.61811,0.440596,0,-6.16,1.75307,0.296658,-5.65773,1.60652,0.511617,0,-6.16,1.6106,0.111661,-5.73754,1.56154,0.290702,0,-6.16,0.361214,0.469698,-5.99778,0.820321,0.691904,0,-6.01943,1.86,0.189206,-5.39833,1.64914,0.357262,0,-6.0345,1.86,0.600482,-5.36944,1.58082,0.932424,0,-6.16,1.54571,0.597445,-5.73831,1.48458,0.883905,0,-6.16,1.2319,0.0987818,-5.79628,1.23637,0.292522,0,
0.300007,-7.11393,3.14033,0.365914,-6.97786,3.44532,0.5924,-5.68809,1.86,0.764748,-4.95784,1.65217,1.14156,0,-5.66236,1.86,0.591601,-4.99136,1.71713,0.899605,0,-6.16,1.79076,0.499145,-5.64922,1.64345,0.772925,0,-6.09529,1.86,0.716271,-5.51245,1.65571,1.07771,0,-5.88714,1.86,0.561639,-5.18916,1.61212,0.873414,0,-6.16,0.782454,1.01534,-5.93124,1.03728,1.2643,0,-6.16,1.83737,0.188735,-5.61195,1.6466,0.358373,0,-5.23023,1.86,0.800973,-4.51304,1.76733,1.14787,0,-5.43797,1.86,0.0434673,-4.74738,1.75731,0.178272,0,-6.16,0.692945,0.769604,-5.91002,0.895017,1.0175,0,-5.73581,1.86,0.13651,-5.01978,1.65046,0.281811,0,-5.77695,1.86,0.38479,-5.06095,1.63489,0.62258,0,-5.88787,1.86,0.723168,-5.22119,1.64344,1.08722,0,-6.16,0.873122,0.33345,-5.88615,1.02053,0.571575,0,-5.98523,1.86,0.332354,-5.39335,1.69891,0.552484,0,-5.4214,1.86,0.893301,-4.69427,1.72691,1.28117,0,-6.16,0.954336,0.517895,-5.89806,1.13575,0.758813,0,-5.65492,1.86,0.263573,-4.901,1.63781,0.452136,0,-5.57211,1.86,0.408585,-4.85396,1.69035,0.647614,0,-6.05093,1.86,0.493804,-5.44182,1.64303,0.773861,0,-5.47494,1.86,0.710957,-4.74767,1.71357,1.04811,0,-5.43913,1.86,0.523458,-4.71122,1.71399,0.793522,0,-6.16,0.578911,0.00493732,-5.97253,0.950741,0.244376,0,-5.91108,1.86,0.0803182,-5.28565,1.67916,0.210349,0,-5.40722,1.86,0.287577,-4.77466,1.80484,0.491882,0,-5.92754,1.86,0.83066,-5.35032,1.72653,1.20824,0,-5.84278,1.86,0.253006,-5.17066,1.6551,0.446379,0,-6.16,1.75307,0.296658,-5.70166,1.67495,0.511473,0,-6.16,1.6106,0.111661,-5.77734,1.62997,0.29856,0,-6.16,0.361214,0.469698,-6.01627,0.873317,0.685969,0,-6.01943,1.86,0.189206,-5.43687,1.69752,0.36157,0,-6.0345,1.86,0.600482,-5.40979,1.63168,0.920914,0,-6.16,1.54571,0.597445,-5.7806,1.55976,0.866631,0,-6.16,1.2319,0.0987818,-5.82628,1.29605,0.298539,0,
