time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,7.40597,-2.33434,0.155842,7.9538,-3.64367,0.0129236,6.16,-0.956206,0.604875,6.02829,-1.51393,0.706851,0,6.16,-1.06199,0.745883,6.0612,-1.711,0.909179,0,6.16,-1.24381,0.493568,5.83501,-1.78921,0.58723,0,6.16,-1.67339,0.615388,5.60652,-2.39852,0.87866,0,6.16,-0.433242,0.75407,6.38081,-1.24362,0.768159,0,6.16,-1.47212,0.528993,5.70531,-2.08771,0.686314,0,6.16,-0.59013,0.604776,6.24089,-1.24582,0.630096,0,6.16,-1.12128,0.204008,5.85268,-1.59805,0.0941471,0,6.16,-1.25368,0.339812,5.77362,-1.75276,0.33483,0,6.16,-1.49103,0.400822,5.5767,-2.03477,0.480304,0,6.16,-0.93801,0.302962,6.00405,-1.45864,0.243143,0,6.16,-1.39196,0.248857,5.69848,-1.93789,0.18129,0,6.16,-1.52372,0.676679,5.84607,-2.2724,0.893988,0,6.16,-0.941682,0.445253,5.98508,-1.44319,0.470211,0,6.16,-1.60054,0.485272,5.6116,-2.26426,0.632191,0,6.16,-1.52593,0.203407,5.57503,-2.10028,0.103733,0,6.16,-1.59202,0.288931,5.70269,-2.30252,0.253376,0,6.16,-1.6625,0.376759,5.54359,-2.34406,0.440266,0,6.16,-1.6025,0.0464083,5.51702,-2.2124,-0.201098,0,6.16,-0.959645,0.0999991,5.90293,-1.38093,-0.0789933,0,6.16,-1.28622,0.181179,5.69997,-1.74774,0.0587548,0,6.16,-1.31088,0.598417,5.73201,-1.81865,0.802113,0,6.16,-1.12192,0.423281,5.91362,-1.65844,0.450832,0,
0.0333341,7.41753,-2.31101,0.15565,7.96842,-3.62181,0.0131704,6.16,-0.956206,0.604875,6.06886,-1.56681,0.686496,0,6.16,-1.06199,0.745883,6.09796,-1.75236,0.886559,0,6.16,-1.24381,0.493568,5.90629,-1.86029,0.564638,0,6.16,-1.67339,0.615388,5.70428,-2.45731,0.843952,0,6.16,-0.433242,0.75407,6.38879,-1.25176,0.752697,0,6.16,-1.47212,0.528993,5.77219,-2.13801,0.665089,0,6.16,-0.59013,0.604776,6.25752,-1.2729,0.614598,0,6.16,-1.12128,0.204008,5.91146,-1.66461,0.0889792,0,6.16,-1.25368,0.339812,5.84936,-1.82756,0.318894,0,6.16,-1.49103,0.400822,5.6756,-2.11205,0.457816,0,6.16,-0.93801,0.302962,6.05757,-1.52788,0.227261,0,6.16,-1.39196,0.248857,5.77828,-2.00713,0.16761,0,6.16,-1.52372,0.676679,5.91584,-2.32136,0.86412,0,6.16,-0.941682,0.445253,6.0299,-1.50334,0.455438,0,6.16,-1.60054,0.485272,5.72073,-2.33598,0.601472,0,6.16,-1.52593,0.203407,5.72823,-2.2136,0.0964419,0,6.16,-1.59202,0.288931,5.8081,-2.37293,0.239887,0,6.16,-1.6625,0.376759,5.67722,-2.42624,0.415694,0,6.16,-1.6025,0.0464083,5.70035,-2.3362,-0.189838,0,6.16,-0.959645,0.0999991,5.96046,-1.45823,-0.082523,0,6.16,-1.28622,0.181179,5.77971,-1.82486,0.048967,0,6.16,-1.31088,0.598417,5.80401,-1.88978,0.772157,0,6.16,-1.12192,0.423281,5.97694,-1.7295,0.432161,0,
0.0666681,7.42142,-2.30244,0.155347,7.97674,-3.60913,0.0133177,6.16,-0.956206,0.604875,6.13344,-1.65225,0.6671,0,6.16,-1.06199,0.745883,6.1679,-1.83868,0.854709,0,6.16,-1.24381,0.493568,5.99857,-1.95395,0.542818,0,6.16,-1.67339,0.615388,5.82408,-2.53268,0.795624,0,6.16,-0.433242,0.75407,6.42038,-1.31714,0.744159,0,6.16,-1.47212,0.528993,5.90832,-2.24823,0.627415,0,6.16,-0.59013,0.604776,6.30318,-1.35311,0.606879,0,6.16,-1.12128,0.204008,5.98916,-1.75347,0.0896714,0,6.16,-1.25368,0.339812,5.93482,-1.91353,0.311257,0,6.16,-1.49103,0.400822,5.80398,-2.21223,0.436051,0,6.16,-0.93801,0.302962,6.13449,-1.63065,0.218587,0,6.16,-1.39196,0.248857,5.87264,-2.09006,0.166888,0,6.16,-1.52372,0.676679,6.01124,-2.39485,0.821245,0,6.16,-0.941682,0.445253,6.09867,-1.59444,0.444093,0,6.16,-1.60054,0.485272,5.85813,-2.42947,0.566979,0,6.16,-1.52593,0.203407,5.90398,-2.34108,0.0929751,0,6.16,-1.59202,0.288931,5.92732,-2.45442,0.229226,0,6.16,-1.6625,0.376759,5.83757,-2.52496,0.390372,0,6.16,-1.6025,0.0464083,5.894,-2.46258,-0.166671,0,6.16,-0.959645,0.0999991,6.01379,-1.5277,-0.0758142,0,6.16,-1.28622,0.181179,5.88218,-1.92453,0.0554124,0,6.16,-1.31088,0.598417,5.92518,-2.00542,0.732065,0,6.16,-1.12192,0.423281,6.06698,-1.83179,0.415393,0,
0.100002,7.43276,-2.2789,0.155247,7.97374,-3.61369,0.013265,6.16,-0.956206,0.604875,6.17878,-1.71096,0.645674,0,6.16,-1.06199,0.745883,6.21309,-1.89394,0.828893,0,6.16,-1.24381,0.493568,6.03129,-1.98623,0.530357,0,6.16,-1.67339,0.615388,5.90098,-2.58265,0.762588,0,6.16,-0.433242,0.75407,6.44049,-1.35062,0.731898,0,6.16,-1.47212,0.528993,5.98055,-2.30615,0.596449,0,6.16,-0.59013,0.604776,6.33064,-1.39598,0.593556,0,6.16,-1.12128,0.204008,6.04896,-1.82096,0.083323,0,6.16,-1.25368,0.339812,6.00271,-1.98266,0.298092,0,6.16,-1.49103,0.400822,5.91362,-2.29834,0.408334,0,6.16,-0.93801,0.302962,6.17981,-1.68756,0.210644,0,6.16,-1.39196,0.248857,5.94128,-2.15149,0.158936,0,6.16,-1.52372,0.676679,6.07183,-2.44407,0.79486,0,6.16,-0.941682,0.445253,6.14181,-1.64957,0.43006,0,6.16,-1.60054,0.485272,5.94998,-2.49376,0.537595,0,6.16,-1.52593,0.203407,6.0003,-2.41266,0.0864504,0,6.16,-1.59202,0.288931,6.0148,-2.51725,0.217526,0,6.16,-1.6625,0.376759,5.936,-2.58766,0.368279,0,6.16,-1.6025,0.0464083,6.00374,-2.53657,-0.159358,0,6.16,-0.959645,0.0999991,6.06653,-1.5952,-0.0771734,0,6.16,-1.28622,0.181179,5.96328,-2.0035,0.0494002,0,6.16,-1.31088,0.598417,6.00705,-2.08308,0.699072,0,6.16,-1.12192,0.423281,6.12363,-1.89549,0.40005,0,
0.133336,7.43276,-2.2789,0.155247,7.98837,-3.59115,0.0135308,6.16,-0.956206,0.604875,6.21414,-1.75476,0.626265,0,6.16,-1.06199,0.745883,6.25002,-1.93534,0.806034,0,6.16,-1.24381,0.493568,6.06599,-2.02028,0.516688,0,6.16,-1.67339,0.615388,5.96547,-2.61826,0.735985,0,6.16,-0.433242,0.75407,6.4486,-1.36808,0.722739,0,6.16,-1.47212,0.528993,6.03457,-2.34489,0.577565,0,6.16,-0.59013,0.604776,6.34593,-1.42336,0.582722,0,6.16,-1.12128,0.204008,6.10639,-1.88127,0.0733046,0,6.16,-1.25368,0.339812,6.05484,-2.0313,0.286727,0,6.16,-1.49103,0.400822,6.00205,-2.36144,0.389874,0,6.16,-0.93801,0.302962,6.21227,-1.72817,0.203438,0,6.16,-1.39196,0.248857,6.01478,-2.21173,0.14968,0,6.16,-1.52372,0.676679,6.12964,-2.48321,0.766774,0,6.16,-0.941682,0.445253,6.17748,-1.69294,0.412007,0,6.16,-1.60054,0.485272,6.02388,-2.53857,0.514804,0,6.16,-1.52593,0.203407,6.05076,-2.44377,0.0815246,0,6.16,-1.59202,0.288931,6.08291,-2.55786,0.206409,0,6.16,-1.6625,0.376759,6.00808,-2.62493,0.347288,0,6.16,-1.6025,0.0464083,6.09695,-2.59211,-0.15378,0,6.16,-0.959645,0.0999991,6.10725,-1.64592,-0.0797378,0,6.16,-1.28622,0.181179,6.02717,-2.0612,0.0453412,0,6.16,-1.31088,0.598417,6.06986,-2.13813,0.672434,0,6.16,-1.12192,0.423281,6.1655,-1.93927,0.387084,0,
0.16667,7.44336,-2.25602,0.155164,7.99639,-3.57852,0.0136841,6.16,-0.956206,0.604875,6.24435,-1.79309,0.614818,0,6.16,-1.06199,0.745883,6.26944,-1.95652,0.79655,0,6.16,-1.24381,0.493568,6.11022,-2.06497,0.502961,0,6.16,-1.67339,0.615388,6.0181,-2.64943,0.715935,0,6.16,-0.433242,0.75407,6.45606,-1.38189,0.717769,0,6.16,-1.47212,0.528993,6.07848,-2.37842,0.562291,0,6.16,-0.59013,0.604776,6.35984,-1.4468,0.577392,0,6.16,-1.12128,0.204008,6.148,-1.9258,0.0704391,0,6.16,-1.25368,0.339812,6.1048,-2.07969,0.278827,0,6.16,-1.49103,0.400822,6.06191,-2.40464,0.378754,0,6.16,-0.93801,0.302962,6.23555,-1.75748,0.200811,0,6.16,-1.39196,0.248857,6.05312,-2.2422,0.149569,0,6.16,-1.52372,0.676679,6.17189,-2.5133,0.748662,0,6.16,-0.941682,0.445253,6.20379,-1.72664,0.404818,0,6.16,-1.60054,0.485272,6.0842,-2.57732,0.498545,0,6.16,-1.52593,0.203407,6.08295,-2.46602,0.0787348,0,6.16,-1.59202,0.288931,6.1305,-2.58834,0.201321,0,6.16,-1.6625,0.376759,6.05993,-2.65553,0.337589,0,6.16,-1.6025,0.0464083,6.14771,-2.62275,-0.149589,0,6.16,-0.959645,0.0999991,6.13943,-1.68626,-0.0781839,0,6.16,-1.28622,0.181179,6.0817,-2.11158,0.0439018,0,6.16,-1.31088,0.598417,6.10196,-2.16577,0.660291,0,6.16,-1.12192,0.423281,6.20075,-1.97766,0.379264,0,
0.200004,7.44721,-2.24701,0.15496,8.00206,-3.56934,0.0137997,6.16,-0.956206,0.604875,6.28654,-1.84768,0.59705,0,6.16,-1.06199,0.745883,6.30377,-1.99916,0.776703,0,6.16,-1.24381,0.493568,6.17572,-2.13,0.482824,0,6.16,-1.67339,0.615388,6.08334,-2.68914,0.689149,0,6.16,-0.433242,0.75407,6.47198,-1.41466,0.70641,0,6.16,-1.47212,0.528993,6.1444,-2.43052,0.541257,0,6.16,-0.59013,0.604776,6.38679,-1.49395,0.562276,0,6.16,-1.12128,0.204008,6.20534,-1.98906,0.0666897,0,6.16,-1.25368,0.339812,6.16209,-2.13521,0.267457,0,6.16,-1.49103,0.400822,6.13738,-2.46088,0.359775,0,6.16,-0.93801,0.302962,6.27989,-1.81576,0.192141,0,6.16,-1.39196,0.248857,6.13585,-2.31254,0.138579,0,6.16,-1.52372,0.676679,6.22531,-2.55334,0.723855,0,6.16,-0.941682,0.445253,6.24116,-1.77619,0.395438,0,6.16,-1.60054,0.485272,6.15379,-2.6231,0.47888,0,6.16,-1.52593,0.203407,6.14191,-2.51003,0.0750227,0,6.16,-1.59202,0.288931,6.20895,-2.64069,0.19208,0,6.16,-1.6625,0.376759,6.13078,-2.69853,0.3226,0,6.16,-1.6025,0.0464083,6.19314,-2.65259,-0.146289,0,6.16,-0.959645,0.0999991,6.19179,-1.75317,-0.0771555,0,6.16,-1.28622,0.181179,6.14618,-2.17172,0.0405082,0,6.16,-1.31088,0.598417,6.1559,-2.21712,0.637812,0,6.16,-1.12192,0.423281,6.25402,-2.03701,0.366528,0,
0.233338,7.4579,-2.22327,0.154919,8.00745,-3.56053,0.013912,6.16,-0.956206,0.604875,6.36268,-1.93786,0.576895,0,6.16,-1.06199,0.745883,6.37735,-2.08086,0.747748,0,6.16,-1.24381,0.493568,6.26229,-2.20974,0.46588,0,6.16,-1.67339,0.615388,6.19604,-2.75309,0.652122,0,6.16,-0.433242,0.75407,6.51646,-1.49106,0.693243,0,6.16,-1.47212,0.528993,6.25436,-2.51078,0.513441,0,6.16,-0.59013,0.604776,6.44215,-1.57787,0.552924,0,6.16,-1.12128,0.204008,6.28514,-2.07134,0.0708452,0,6.16,-1.25368,0.339812,6.24958,-2.21559,0.260886,0,6.16,-1.49103,0.400822,6.24415,-2.53604,0.344756,0,6.16,-0.93801,0.302962,6.35501,-1.90664,0.189362,0,6.16,-1.39196,0.248857,6.25763,-2.40806,0.136803,0,6.16,-1.52372,0.676679,6.29787,-2.60432,0.695582,0,6.16,-0.941682,0.445253,6.30618,-1.85501,0.386533,0,6.16,-1.60054,0.485272,6.26716,-2.69272,0.455107,0,6.16,-1.52593,0.203407,6.22889,-2.56953,0.0769821,0,6.16,-1.59202,0.288931,6.32253,-2.7108,0.183514,0,6.16,-1.6625,0.376759,6.23348,-2.75652,0.311288,0,6.16,-1.6025,0.0464083,6.29417,-2.7151,-0.131838,0,6.16,-0.959645,0.0999991,6.2697,-1.84492,-0.065314,0,6.16,-1.28622,0.181179,6.21578,-2.23169,0.0488699,0,6.16,-1.31088,0.598417,6.25825,-2.30598,0.608195,0,6.16,-1.12192,0.423281,6.34547,-2.13091,0.353226,0,
0.266672,7.4579,-2.22327,0.154919,8.02112,-3.53818,0.014197,6.16,-0.956206,0.604875,6.39447,-1.97253,0.564268,0,6.16,-1.06199,0.745883,6.41287,-2.11574,0.731564,0,6.16,-1.24381,0.493568,6.3029,-2.24321,0.455745,0,6.16,-1.67339,0.615388,6.25819,-2.7824,0.631252,0,6.16,-0.433242,0.75407,6.52986,-1.51497,0.684661,0,6.16,-1.47212,0.528993,6.31302,-2.54755,0.49858,0,6.16,-0.59013,0.604776,6.45926,-1.60458,0.544085,0,6.16,-1.12128,0.204008,6.33139,-2.11582,0.0691104,0,6.16,-1.25368,0.339812,6.31003,-2.26688,0.25318,0,6.16,-1.49103,0.400822,6.30109,-2.5706,0.335173,0,6.16,-0.93801,0.302962,6.3856,-1.93945,0.187991,0,6.16,-1.39196,0.248857,6.30128,-2.43544,0.137638,0,6.16,-1.52372,0.676679,6.33769,-2.62671,0.681579,0,6.16,-0.941682,0.445253,6.34567,-1.90141,0.376389,0,6.16,-1.60054,0.485272,6.32701,-2.72369,0.439238,0,6.16,-1.52593,0.203407,6.29622,-2.61032,0.0754219,0,6.16,-1.59202,0.288931,6.37414,-2.73616,0.179052,0,6.16,-1.6625,0.376759,6.29861,-2.78787,0.300321,0,6.16,-1.6025,0.0464083,6.35863,-2.74826,-0.126488,0,6.16,-0.959645,0.0999991,6.30977,-1.8904,-0.0640456,0,6.16,-1.28622,0.181179,6.25153,-2.25931,0.0516441,0,6.16,-1.31088,0.598417,6.30699,-2.34322,0.59112,0,6.16,-1.12192,0.423281,6.39496,-2.17714,0.343378,0,
0.300007,7.4579,-2.22327,0.154919,8.02872,-3.52545,0.0143636,6.16,-0.956206,0.604875,6.42355,-2.0065,0.552002,0,6.16,-1.06199,0.745883,6.45147,-2.15725,0.712948,0,6.16,-1.24381,0.493568,6.3427,-2.27932,0.444027,0,6.16,-1.67339,0.615388,6.29323,-2.80009,0.619381,0,6.16,-0.433242,0.75407,6.53607,-1.52411,0.677418,0,6.16,-1.47212,0.528993,6.34265,-2.56708,0.489383,0,6.16,-0.59013,0.604776,6.47481,-1.62863,0.538199,0,6.16,-1.12128,0.204008,6.36447,-2.14822,0.067165,0,6.16,-1.25368,0.339812,6.3526,-2.30347,0.246781,0,6.16,-1.49103,0.400822,6.34268,-2.59805,0.327608,0,6.16,-0.93801,0.302962,6.40143,-1.95664,0.187529,0,6.16,-1.39196,0.248857,6.32942,-2.45681,0.134467,0,6.16,-1.52372,0.676679,6.37259,-2.64982,0.66554,0,6.16,-0.941682,0.445253,6.37247,-1.93202,0.367903,0,6.16,-1.60054,0.485272,6.37228,-2.74947,0.425533,0,6.16,-1.52593,0.203407,6.34789,-2.64283,0.0720395,0,6.16,-1.59202,0.288931,6.41061,-2.75706,0.174578,0,6.16,-1.6625,0.376759,6.33418,-2.80532,0.290003,0,6.16,-1.6025,0.0464083,6.38849,-2.76405,-0.125221,0,6.16,-0.959645,0.0999991,6.34793,-1.93443,-0.0620759,0,6.16,-1.28622,0.181179,6.28913,-2.29262,0.0499737,0,6.16,-1.31088,0.598417,6.35502,-2.38328,0.573923,0,6.16,-1.12192,0.423281,6.42383,-2.20475,0.335717,0,
