time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,-2.19761,3.58601,0.303645,-1.9976,3.37474,0.508285,-1.86068,1.86,0.546356,-1.4335,0.48498,0.914641,0,-1.70601,1.86,0.625577,-1.18157,0.509585,1.04269,0,-1.86722,1.86,0.398993,-1.44,0.461679,0.669208,0,-2.03404,1.86,0.650918,-1.72074,0.453228,1.09609,0,-1.87377,1.86,0.261877,-1.43773,0.390684,0.436074,0,-2.46076,1.86,0.634335,-2.42629,0.562972,1.047,0,-2.64626,1.86,0.416157,-2.76459,0.424065,0.700628,0,-1.81628,1.86,0.15663,-1.32905,0.348648,0.250535,0,-1.87105,1.86,0.724011,-1.46219,0.544762,1.19752,0,-1.95903,1.86,0.13852,-1.58499,0.389549,0.222698,0,-1.74081,1.86,0.771843,-1.24839,0.543787,1.27621,0,-2.1859,1.86,0.720035,-1.97739,0.395272,1.22706,0,-2.42721,1.86,0.764047,-2.38448,0.466444,1.28405,0,-1.74602,1.86,0.303062,-1.22214,0.410836,0.507284,0,-2.592,1.86,0.619567,-2.67949,0.390521,1.0545,0,-1.73433,1.86,0.446571,-1.20678,0.428393,0.752263,0,-2.6554,1.86,0.0802435,-2.7724,0.453561,0.130192,0,-2.05335,1.86,0.470852,-1.75344,0.453253,0.791303,0,-2.45865,1.86,0.489233,-2.44765,0.399012,0.828247,0,-1.85888,1.86,0.0267428,-1.4276,0.470197,0.0423143,0,-2.44197,1.86,0.365805,-2.41779,0.406805,0.615172,0,-2.31601,1.86,0.687769,-2.19795,0.45419,1.15825,0,-2.09438,1.86,0.28838,-1.81974,0.400803,0.481983,0,-2.16873,1.86,0.590463,-1.94745,0.376714,1.00648,0,-2.18787,1.86,0.203093,-1.98104,0.437915,0.337196,0,-2.49996,1.86,0.086925,-2.51821,0.402816,0.135129,0,-2.75461,1.86,0.284115,-2.92922,0.487914,0.475621,0,-2.58275,1.86,0.764352,-2.62312,0.571455,1.25654,0,-2.34757,1.86,0.559584,-2.25115,0.456423,0.941023,0,-2.3352,1.86,0.431085,-2.23406,0.408534,0.727295,0,
0.033334,-2.22612,3.58481,0.303939,-2.01312,3.37399,0.508654,-1.86068,1.86,0.546356,-1.44359,0.575711,0.899756,0,-1.70601,1.86,0.625577,-1.19668,0.586331,1.02728,0,-1.86722,1.86,0.398993,-1.45042,0.556062,0.65976,0,-2.03404,1.86,0.650918,-1.72203,0.536943,1.07816,0,-1.87377,1.86,0.261877,-1.44708,0.481498,0.435551,0,-2.46076,1.86,0.634335,-2.41112,0.633344,1.02954,0,-2.64626,1.86,0.416157,-2.72823,0.527607,0.694977,0,-1.81628,1.86,0.15663,-1.34134,0.449713,0.257537,0,-1.87105,1.86,0.724011,-1.4723,0.655404,1.17067,0,-1.95903,1.86,0.13852,-1.58995,0.491082,0.23368,0,-1.74081,1.86,0.771843,-1.2622,0.620958,1.25424,0,-2.1859,1.86,0.720035,-1.9702,0.477312,1.2072,0,-2.42721,1.86,0.764047,-2.37387,0.511092,1.2711,0,-1.74602,1.86,0.303062,-1.2327,0.476984,0.505615,0,-2.592,1.86,0.619567,-2.65239,0.464597,1.04013,0,-1.73433,1.86,0.446571,-1.22237,0.519903,0.743488,0,-2.6554,1.86,0.0802435,-2.74514,0.528273,0.139626,0,-2.05335,1.86,0.470852,-1.75281,0.585959,0.775543,0,-2.45865,1.86,0.489233,-2.42006,0.507825,0.813712,0,-1.85888,1.86,0.0267428,-1.43699,0.557721,0.054027,0,-2.44197,1.86,0.365805,-2.39657,0.496454,0.610741,0,-2.31601,1.86,0.687769,-2.18582,0.5358,1.14102,0,-2.09438,1.86,0.28838,-1.81752,0.493776,0.48262,0,-2.16873,1.86,0.590463,-1.94473,0.435231,0.989271,0,-2.18787,1.86,0.203093,-1.974,0.534853,0.342639,0,-2.49996,1.86,0.086925,-2.4973,0.472435,0.142557,0,-2.75461,1.86,0.284115,-2.89566,0.56673,0.475326,0,-2.58275,1.86,0.764352,-2.60438,0.632028,1.23705,0,-2.34757,1.86,0.559584,-2.23682,0.534889,0.929279,0,-2.3352,1.86,0.431085,-2.21785,0.504854,0.719003,0,
0.0666681,-2.22612,3.58481,0.303939,-2.02558,3.37327,0.508947,-1.86068,1.86,0.546356,-1.44806,0.665261,0.885144,0,-1.70601,1.86,0.625577,-1.20662,0.668122,1.01008,0,-1.86722,1.86,0.398993,-1.45493,0.647997,0.652609,0,-2.03404,1.86,0.650918,-1.71713,0.63172,1.058,0,-1.87377,1.86,0.261877,-1.45214,0.587765,0.436219,0,-2.46076,1.86,0.634335,-2.38312,0.723932,1.01012,0,-2.64626,1.86,0.416157,-2.69657,0.603782,0.685854,0,-1.81628,1.86,0.15663,-1.35112,0.562553,0.263343,0,-1.87105,1.86,0.724011,-1.47741,0.748013,1.14616,0,-1.95903,1.86,0.13852,-1.59071,0.590378,0.236909,0,-1.74081,1.86,0.771843,-1.27033,0.701285,1.23064,0,-2.1859,1.86,0.720035,-1.95682,0.569814,1.1837,0,-2.42721,1.86,0.764047,-2.34644,0.598353,1.24655,0,-1.74602,1.86,0.303062,-1.23891,0.550311,0.503017,0,-2.592,1.86,0.619567,-2.61894,0.54846,1.02253,0,-1.73433,1.86,0.446571,-1.22923,0.582818,0.73393,0,-2.6554,1.86,0.0802435,-2.71891,0.585193,0.147442,0,-2.05335,1.86,0.470852,-1.74903,0.689611,0.765153,0,-2.45865,1.86,0.489233,-2.38724,0.62484,0.799904,0,-1.85888,1.86,0.0267428,-1.44117,0.646468,0.0658444,0,-2.44197,1.86,0.365805,-2.36733,0.599962,0.604717,0,-2.31601,1.86,0.687769,-2.16596,0.625834,1.11778,0,-2.09438,1.86,0.28838,-1.80931,0.616225,0.480344,0,-2.16873,1.86,0.590463,-1.92967,0.548751,0.967992,0,-2.18787,1.86,0.203093,-1.96167,0.628415,0.345767,0,-2.49996,1.86,0.086925,-2.46577,0.567246,0.152093,0,-2.75461,1.86,0.284115,-2.87202,0.612225,0.472506,0,-2.58275,1.86,0.764352,-2.56333,0.739671,1.20515,0,-2.34757,1.86,0.559584,-2.21682,0.616829,0.914888,0,-2.3352,1.86,0.431085,-2.19623,0.605105,0.708366,0,
0.100002,-2.25435,3.58373,0.304213,-2.05337,3.3719,0.509608,-1.86068,1.86,0.546356,-1.47543,0.738382,0.874083,0,-1.70601,1.86,0.625577,-1.23897,0.735448,0.996534,0,-1.86722,1.86,0.398993,-1.48398,0.739221,0.646978,0,-2.03404,1.86,0.650918,-1.73734,0.72394,1.03865,0,-1.87377,1.86,0.261877,-1.48072,0.671063,0.437193,0,-2.46076,1.86,0.634335,-2.38334,0.80289,0.995566,0,-2.64626,1.86,0.416157,-2.68738,0.683508,0.680182,0,-1.81628,1.86,0.15663,-1.38112,0.634652,0.270681,0,-1.87105,1.86,0.724011,-1.50288,0.802459,1.1312,0,-1.95903,1.86,0.13852,-1.61545,0.690927,0.248696,0,-1.74081,1.86,0.771843,-1.30089,0.767224,1.21165,0,-2.1859,1.86,0.720035,-1.96749,0.679197,1.15468,0,-2.42721,1.86,0.764047,-2.35535,0.648566,1.22919,0,-1.74602,1.86,0.303062,-1.2766,0.660612,0.502725,0,-2.592,1.86,0.619567,-2.61295,0.627022,1.00863,0,-1.73433,1.86,0.446571,-1.26426,0.677279,0.725344,0,-2.6554,1.86,0.0802435,-2.70822,0.664824,0.157875,0,-2.05335,1.86,0.470852,-1.76918,0.745659,0.76088,0,-2.45865,1.86,0.489233,-2.38816,0.706694,0.79254,0,-1.85888,1.86,0.0267428,-1.47,0.734863,0.0815942,0,-2.44197,1.86,0.365805,-2.36539,0.696801,0.598808,0,-2.31601,1.86,0.687769,-2.17014,0.722974,1.10007,0,-2.09438,1.86,0.28838,-1.82726,0.72008,0.482613,0,-2.16873,1.86,0.590463,-1.94282,0.648933,0.950925,0,-2.18787,1.86,0.203093,-1.97092,0.762755,0.356744,0,-2.49996,1.86,0.086925,-2.45481,0.683983,0.165534,0,-2.75461,1.86,0.284115,-2.85674,0.689756,0.472824,0,-2.58275,1.86,0.764352,-2.55798,0.819994,1.18445,0,-2.34757,1.86,0.559584,-2.22344,0.688707,0.90367,0,-2.3352,1.86,0.431085,-2.20299,0.683968,0.702031,0,
0.133336,-2.25435,3.58373,0.304213,-2.06883,3.37121,0.509978,-1.86068,1.86,0.546356,-1.4828,0.79608,0.866011,0,-1.70601,1.86,0.625577,-1.25068,0.790658,0.9844,0,-1.86722,1.86,0.398993,-1.49177,0.795548,0.644881,0,-2.03404,1.86,0.650918,-1.74011,0.795899,1.02099,0,-1.87377,1.86,0.261877,-1.49158,0.764673,0.439604,0,-2.46076,1.86,0.634335,-2.37287,0.853405,0.983297,0,-2.64626,1.86,0.416157,-2.66113,0.761747,0.672252,0,-1.81628,1.86,0.15663,-1.39315,0.719223,0.278184,0,-1.87105,1.86,0.724011,-1.5106,0.876285,1.11645,0,-1.95903,1.86,0.13852,-1.62292,0.787343,0.255791,0,-1.74081,1.86,0.771843,-1.30905,0.80765,1.20072,0,-2.1859,1.86,0.720035,-1.96515,0.740252,1.13907,0,-2.42721,1.86,0.764047,-2.34709,0.68669,1.21852,0,-1.74602,1.86,0.303062,-1.29051,0.727901,0.503108,0,-2.592,1.86,0.619567,-2.59182,0.696392,0.992617,0,-1.73433,1.86,0.446571,-1.28288,0.772438,0.719484,0,-2.6554,1.86,0.0802435,-2.67897,0.750658,0.165012,0,-2.05335,1.86,0.470852,-1.77038,0.846225,0.745947,0,-2.45865,1.86,0.489233,-2.37213,0.781049,0.78086,0,-1.85888,1.86,0.0267428,-1.48104,0.820663,0.094326,0,-2.44197,1.86,0.365805,-2.35275,0.761772,0.594672,0,-2.31601,1.86,0.687769,-2.16339,0.779699,1.08429,0,-2.09438,1.86,0.28838,-1.82839,0.782969,0.480345,0,-2.16873,1.86,0.590463,-1.93971,0.723686,0.937775,0,-2.18787,1.86,0.203093,-1.96779,0.847647,0.36065,0,-2.49996,1.86,0.086925,-2.4213,0.826578,0.182424,0,-2.75461,1.86,0.284115,-2.83212,0.75273,0.468917,0,-2.58275,1.86,0.764352,-2.5416,0.877576,1.16428,0,-2.34757,1.86,0.559584,-2.21158,0.76516,0.887827,0,-2.3352,1.86,0.431085,-2.19446,0.744575,0.695717,0,
0.16667,-2.28131,3.58286,0.304469,-2.08025,3.37073,0.510253,-1.86068,1.86,0.546356,-1.48735,0.878451,0.859812,0,-1.70601,1.86,0.625577,-1.25912,0.860161,0.977844,0,-1.86722,1.86,0.398993,-1.49701,0.886056,0.64435,0,-2.03404,1.86,0.650918,-1.73729,0.889588,1.00664,0,-1.87377,1.86,0.261877,-1.49697,0.844044,0.447514,0,-2.46076,1.86,0.634335,-2.35188,0.921362,0.97459,0,-2.64626,1.86,0.416157,-2.62744,0.849828,0.674994,0,-1.81628,1.86,0.15663,-1.40174,0.805499,0.292023,0,-1.87105,1.86,0.724011,-1.51262,0.93234,1.1064,0,-1.95903,1.86,0.13852,-1.62283,0.841649,0.264925,0,-1.74081,1.86,0.771843,-1.31678,0.884964,1.18606,0,-2.1859,1.86,0.720035,-1.95495,0.818805,1.12643,0,-2.42721,1.86,0.764047,-2.31973,0.786268,1.19832,0,-1.74602,1.86,0.303062,-1.30588,0.83778,0.508966,0,-2.592,1.86,0.619567,-2.56566,0.767087,0.986884,0,-1.73433,1.86,0.446571,-1.29524,0.857895,0.716936,0,-2.6554,1.86,0.0802435,-2.64809,0.826515,0.181014,0,-2.05335,1.86,0.470852,-1.76919,0.935926,0.747931,0,-2.45865,1.86,0.489233,-2.35335,0.844285,0.778471,0,-1.85888,1.86,0.0267428,-1.48654,0.898524,0.112061,0,-2.44197,1.86,0.365805,-2.32779,0.855406,0.597562,0,-2.31601,1.86,0.687769,-2.14375,0.884258,1.06743,0,-2.09438,1.86,0.28838,-1.82254,0.880166,0.487402,0,-2.16873,1.86,0.590463,-1.93111,0.803423,0.931999,0,-2.18787,1.86,0.203093,-1.95752,0.951148,0.370767,0,-2.49996,1.86,0.086925,-2.39305,0.933094,0.201017,0,-2.75461,1.86,0.284115,-2.7921,0.836227,0.475213,0,-2.58275,1.86,0.764352,-2.52709,0.913312,1.16214,0,-2.34757,1.86,0.559584,-2.19646,0.831877,0.884228,0,-2.3352,1.86,0.431085,-2.17872,0.81433,0.695983,0,
0.200004,-2.2929,3.58266,0.304291,-2.09097,3.37034,0.510513,-1.86068,1.86,0.546356,-1.48782,0.932099,0.850392,0,-1.70601,1.86,0.625577,-1.2622,0.908067,0.967096,0,-1.86722,1.86,0.398993,-1.49811,0.942948,0.639298,0,-2.03404,1.86,0.650918,-1.7331,0.934417,0.995817,0,-1.87377,1.86,0.261877,-1.49566,0.884792,0.448023,0,-2.46076,1.86,0.634335,-2.33686,0.963537,0.970062,0,-2.64626,1.86,0.416157,-2.60658,0.894224,0.670915,0,-1.81628,1.86,0.15663,-1.40698,0.88376,0.296077,0,-1.87105,1.86,0.724011,-1.51066,0.974358,1.0937,0,-1.95903,1.86,0.13852,-1.61792,0.854693,0.26505,0,-1.74081,1.86,0.771843,-1.3185,0.928318,1.17344,0,-2.1859,1.86,0.720035,-1.94532,0.870441,1.11203,0,-2.42721,1.86,0.764047,-2.30382,0.835852,1.18397,0,-1.74602,1.86,0.303062,-1.31241,0.901436,0.507354,0,-2.592,1.86,0.619567,-2.55345,0.787804,0.981746,0,-1.73433,1.86,0.446571,-1.29957,0.911909,0.710532,0,-2.6554,1.86,0.0802435,-2.63131,0.858265,0.184,0,-2.05335,1.86,0.470852,-1.76432,0.964422,0.744471,0,-2.45865,1.86,0.489233,-2.3362,0.891537,0.77141,0,-1.85888,1.86,0.0267428,-1.48619,0.944979,0.118244,0,-2.44197,1.86,0.365805,-2.31723,0.882718,0.592082,0,-2.31601,1.86,0.687769,-2.13372,0.921496,1.05866,0,-2.09438,1.86,0.28838,-1.81719,0.914936,0.485343,0,-2.16873,1.86,0.590463,-1.92288,0.844048,0.925146,0,-2.18787,1.86,0.203093,-1.95053,0.98932,0.373018,0,-2.49996,1.86,0.086925,-2.38089,0.964781,0.203692,0,-2.75461,1.86,0.284115,-2.76366,0.891497,0.474766,0,-2.58275,1.86,0.764352,-2.51445,0.930916,1.15628,0,-2.34757,1.86,0.559584,-2.1845,0.867325,0.878111,0,-2.3352,1.86,0.431085,-2.15711,0.921717,0.681499,0,
0.233338,-2.3207,3.58182,0.304567,-2.1065,3.36981,0.510891,-1.86068,1.86,0.546356,-1.49446,0.975426,0.843415,0,-1.70601,1.86,0.625577,-1.26986,0.938171,0.958837,0,-1.86722,1.86,0.398993,-1.50567,0.993925,0.636488,0,-2.03404,1.86,0.650918,-1.73529,0.986924,0.985485,0,-1.87377,1.86,0.261877,-1.50226,0.937013,0.448302,0,-2.46076,1.86,0.634335,-2.32872,1.00462,0.964653,0,-2.64626,1.86,0.416157,-2.58611,0.958019,0.668326,0,-1.81628,1.86,0.15663,-1.41936,0.951396,0.303368,0,-1.87105,1.86,0.724011,-1.51781,1.03001,1.0817,0,-1.95903,1.86,0.13852,-1.62019,0.903651,0.271435,0,-1.74081,1.86,0.771843,-1.32766,0.971097,1.16746,0,-2.1859,1.86,0.720035,-1.94436,0.914551,1.10662,0,-2.42721,1.86,0.764047,-2.29032,0.905432,1.16591,0,-1.74602,1.86,0.303062,-1.32642,0.967151,0.509035,0,-2.592,1.86,0.619567,-2.53628,0.841236,0.972765,0,-1.73433,1.86,0.446571,-1.3148,0.983986,0.704355,0,-2.6554,1.86,0.0802435,-2.60251,0.943154,0.195585,0,-2.05335,1.86,0.470852,-1.76528,1.01267,0.737128,0,-2.45865,1.86,0.489233,-2.31533,0.998761,0.754065,0,-1.85888,1.86,0.0267428,-1.49474,1.00582,0.129622,0,-2.44197,1.86,0.365805,-2.30542,0.938843,0.594337,0,-2.31601,1.86,0.687769,-2.12685,0.977102,1.04942,0,-2.09438,1.86,0.28838,-1.8173,0.980194,0.488492,0,-2.16873,1.86,0.590463,-1.91931,0.931765,0.913284,0,-2.18787,1.86,0.203093,-1.94818,1.04379,0.378544,0,-2.49996,1.86,0.086925,-2.3678,1.02086,0.215026,0,-2.75461,1.86,0.284115,-2.73638,0.962744,0.477304,0,-2.58275,1.86,0.764352,-2.48493,1.02999,1.13237,0,-2.34757,1.86,0.559584,-2.1764,0.924479,0.874205,0,-2.3352,1.86,0.431085,-2.15066,0.98875,0.67672,0,
0.266672,-2.3207,3.58182,0.304567,-2.11874,3.36924,0.511183,-1.86068,1.86,0.546356,-1.50055,1.05209,0.835126,0,-1.70601,1.86,0.625577,-1.29183,1.05872,0.941551,0,-1.86722,1.86,0.398993,-1.51281,1.0751,0.634453,0,-2.03404,1.86,0.650918,-1.73386,1.04357,0.978261,0,-1.87377,1.86,0.261877,-1.51292,1.04479,0.451208,0,-2.46076,1.86,0.634335,-2.30479,1.10012,0.94744,0,-2.64626,1.86,0.416157,-2.55363,1.0499,0.660924,0,-1.81628,1.86,0.15663,-1.43206,1.04759,0.310294,0,-1.87105,1.86,0.724011,-1.52034,1.07866,1.06906,0,-1.95903,1.86,0.13852,-1.62203,0.978698,0.280087,0,-1.74081,1.86,0.771843,-1.33933,1.05286,1.14851,0,-2.1859,1.86,0.720035,-1.93793,0.954122,1.09794,0,-2.42721,1.86,0.764047,-2.27214,0.98237,1.14515,0,-1.74602,1.86,0.303062,-1.33996,1.05096,0.509654,0,-2.592,1.86,0.619567,-2.50485,0.935768,0.952475,0,-1.73433,1.86,0.446571,-1.3296,1.06946,0.699747,0,-2.6554,1.86,0.0802435,-2.5643,1.05522,0.209768,0,-2.05335,1.86,0.470852,-1.76578,1.12336,0.724666,0,-2.45865,1.86,0.489233,-2.28913,1.12591,0.745033,0,-1.85888,1.86,0.0267428,-1.50295,1.08922,0.14344,0,-2.44197,1.86,0.365805,-2.28115,1.04761,0.591883,0,-2.31601,1.86,0.687769,-2.11315,1.06032,1.03288,0,-2.09438,1.86,0.28838,-1.81517,1.07109,0.491524,0,-2.16873,1.86,0.590463,-1.91395,1.01356,0.902102,0,-2.18787,1.86,0.203093,-1.94151,1.11212,0.381315,0,-2.49996,1.86,0.086925,-2.3443,1.10991,0.227521,0,-2.75461,1.86,0.284115,-2.70237,1.04274,0.477252,0,-2.58275,1.86,0.764352,-2.46336,1.09897,1.1137,0,-2.34757,1.86,0.559584,-2.15736,1.0358,0.855856,0,-2.3352,1.86,0.431085,-2.131,1.12969,0.666917,0,
0.300007,-2.34888,3.5812,0.304808,-2.14655,3.36838,0.511863,-1.86068,1.86,0.546356,-1.52716,1.10423,0.828679,0,-1.70601,1.86,0.625577,-1.33108,1.1384,0.926528,0,-1.86722,1.86,0.398993,-1.53981,1.12921,0.632527,0,-2.03404,1.86,0.650918,-1.75434,1.09675,0.967628,0,-1.87377,1.86,0.261877,-1.54051,1.09757,0.45242,0,-2.46076,1.86,0.634335,-2.30762,1.18576,0.931957,0,-2.64626,1.86,0.416157,-2.56013,1.09275,0.65772,0,-1.81628,1.86,0.15663,-1.46315,1.11156,0.314488,0,-1.87105,1.86,0.724011,-1.54831,1.15105,1.05333,0,-1.95903,1.86,0.13852,-1.64644,1.03956,0.286344,0,-1.74081,1.86,0.771843,-1.37396,1.12662,1.12709,0,-2.1859,1.86,0.720035,-1.95247,1.01585,1.08306,0,-2.42721,1.86,0.764047,-2.2762,1.06451,1.12448,0,-1.74602,1.86,0.303062,-1.37248,1.1124,0.50887,0,-2.592,1.86,0.619567,-2.50398,1.01064,0.942996,0,-1.73433,1.86,0.446571,-1.3616,1.12666,0.694021,0,-2.6554,1.86,0.0802435,-2.56242,1.12643,0.222493,0,-2.05335,1.86,0.470852,-1.78813,1.17199,0.725712,0,-2.45865,1.86,0.489233,-2.30557,1.14984,0.739014,0,-1.85888,1.86,0.0267428,-1.52848,1.13077,0.149888,0,-2.44197,1.86,0.365805,-2.28915,1.11218,0.589163,0,-2.31601,1.86,0.687769,-2.12566,1.11932,1.0222,0,-2.09438,1.86,0.28838,-1.83594,1.14496,0.491606,0,-2.16873,1.86,0.590463,-1.931,1.08474,0.891261,0,-2.18787,1.86,0.203093,-1.95793,1.17257,0.385104,0,-2.49996,1.86,0.086925,-2.35223,1.16263,0.236048,0,-2.75461,1.86,0.284115,-2.70739,1.08127,0.478267,0,-2.58275,1.86,0.764352,-2.46642,1.15624,1.10054,0,-2.34757,1.86,0.559584,-2.1695,1.09746,0.850285,0,-2.3352,1.86,0.431085,-2.14391,1.19589,0.662629,0,
