time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,p35wx,p35wy,p35wz,p35wHatx,p35wHaty,p35wHatz,converged35,
0,-4.83217,3.36063,0.322636,-4.70174,3.18825,0.646257,-4.30022,1.86,0.587353,-3.89574,0.914531,1.04735,0,-4.75811,1.86,0.7279,-4.58796,0.882813,1.26887,0,-4.52651,1.86,0.739355,-4.24092,0.925903,1.2745,0,-4.47966,1.86,0.599541,-4.14773,0.829848,1.08144,0,-4.32738,1.86,0.342438,-3.92723,0.885826,0.676639,0,-4.90667,1.86,0.69457,-4.81927,0.820997,1.23298,0,-4.94512,1.86,0.526667,-4.87895,0.833988,0.96635,0,-5.23699,1.86,0.694166,-5.33408,0.844228,1.2266,0,-4.29852,1.86,0.708281,-3.91224,0.968163,1.21679,0,-4.6992,1.86,0.627088,-4.50393,0.955789,1.09918,0,-4.6937,1.86,0.303739,-4.48663,0.85698,0.616899,0,-4.6619,1.86,0.455452,-4.44293,0.907282,0.848137,0,-4.45711,1.86,0.220672,-4.10231,0.789881,0.483294,0,-4.31931,1.86,0.465622,-3.90504,0.857116,0.868377,0,-4.8788,1.86,0.399245,-4.77543,0.816816,0.767321,0,-4.83234,1.86,0.563078,-4.70201,0.848718,1.02111,0,-4.92866,1.86,0.12523,-4.85293,0.837074,0.336961,0,-4.48893,1.86,0.0948372,-4.16968,0.862076,0.293138,0,-4.59706,1.86,0.578672,-4.35312,0.963085,1.02591,0,-4.47464,1.86,0.391113,-4.17256,0.967162,0.747609,0,-4.8856,1.86,0.233584,-4.78825,0.758565,0.502071,0,-5.27078,1.86,0.305074,-5.39389,0.820187,0.618542,0,-5.28517,1.86,0.457679,-5.41304,0.83196,0.858301,0,-5.11423,1.86,0.129562,-5.14862,0.810768,0.340364,0,-4.65626,1.86,0.750452,-4.43132,0.881347,1.30393,0,-4.63162,1.86,0.224842,-4.39163,0.867835,0.495038,0,-4.34338,1.86,0.102176,-3.92477,0.802869,0.295816,0,-5.0383,1.86,0.332,-5.03018,0.797178,0.661176,0,-4.68587,1.86,0.106846,-4.47715,0.884585,0.31499,0,-4.41608,1.86,0.695319,-4.05565,0.858104,1.22495,0,-4.58439,1.86,0.320312,-4.31479,0.844769,0.642628,0,-4.81362,1.86,0.31375,-4.6723,0.805836,0.632148,0,-4.99587,1.86,0.219804,-4.96068,0.81461,0.4836,0,-4.43369,1.86,0.489999,-4.05707,0.760493,0.917021,0,-4.55377,1.86,0.464693,-4.27541,0.890223,0.863799,0,-4.80232,1.86,0.120626,-4.65712,0.94459,0.344221,0,
0.0333341,-4.86034,3.35936,0.323118,-4.71703,3.18714,0.646785,-4.30022,1.86,0.587353,-3.92543,1.02143,1.02911,0,-4.75811,1.86,0.7279,-4.58726,0.971799,1.23979,0,-4.52651,1.86,0.739355,-4.25539,1.03056,1.24608,0,-4.47966,1.86,0.599541,-4.16599,0.943104,1.06119,0,-4.32738,1.86,0.342438,-3.94806,0.962454,0.677579,0,-4.90667,1.86,0.69457,-4.80596,0.923458,1.2062,0,-4.94512,1.86,0.526667,-4.86618,0.926584,0.951251,0,-5.23699,1.86,0.694166,-5.29906,0.942575,1.20211,0,-4.29852,1.86,0.708281,-3.93794,1.06004,1.19093,0,-4.6992,1.86,0.627088,-4.50866,1.09945,1.06988,0,-4.6937,1.86,0.303739,-4.49041,0.983974,0.619016,0,-4.6619,1.86,0.455452,-4.4491,1.02699,0.837047,0,-4.45711,1.86,0.220672,-4.13405,0.971484,0.495798,0,-4.31931,1.86,0.465622,-3.93327,0.964419,0.858741,0,-4.8788,1.86,0.399245,-4.76364,0.939788,0.761602,0,-4.83234,1.86,0.563078,-4.69077,1.02385,0.997333,0,-4.92866,1.86,0.12523,-4.83581,0.970663,0.354155,0,-4.48893,1.86,0.0948372,-4.20115,1.05887,0.319833,0,-4.59706,1.86,0.578672,-4.36438,1.07869,1.00604,0,-4.47464,1.86,0.391113,-4.1949,1.096,0.741474,0,-4.8856,1.86,0.233584,-4.77546,0.891981,0.509686,0,-5.27078,1.86,0.305074,-5.3549,0.924287,0.619451,0,-5.28517,1.86,0.457679,-5.39319,0.88421,0.852213,0,-5.11423,1.86,0.129562,-5.12015,0.919829,0.354848,0,-4.65626,1.86,0.750452,-4.43642,0.986441,1.27388,0,-4.63162,1.86,0.224842,-4.40462,1.05548,0.505427,0,-4.34338,1.86,0.102176,-3.95343,0.922454,0.313768,0,-5.0383,1.86,0.332,-5.00637,0.912173,0.660992,0,-4.68587,1.86,0.106846,-4.48234,1.04036,0.336444,0,-4.41608,1.86,0.695319,-4.073,0.943208,1.2061,0,-4.58439,1.86,0.320312,-4.32732,0.964933,0.642563,0,-4.81362,1.86,0.31375,-4.66471,0.951636,0.631878,0,-4.99587,1.86,0.219804,-4.94083,0.931022,0.491292,0,-4.43369,1.86,0.489999,-4.07279,0.843505,0.905373,0,-4.55377,1.86,0.464693,-4.29306,1.03121,0.850221,0,-4.80232,1.86,0.120626,-4.65234,1.07576,0.360785,0,
0.0666681,-4.86034,3.35936,0.323118,-4.72995,3.1864,0.647236,-4.30022,1.86,0.587353,-3.93839,1.07132,1.02165,0,-4.75811,1.86,0.7279,-4.58295,1.06084,1.21769,0,-4.52651,1.86,0.739355,-4.2648,1.115,1.22432,0,-4.47966,1.86,0.599541,-4.17671,1.01754,1.04802,0,-4.32738,1.86,0.342438,-3.95832,1.00886,0.677902,0,-4.90667,1.86,0.69457,-4.79885,0.974474,1.19532,0,-4.94512,1.86,0.526667,-4.85768,0.976273,0.946044,0,-5.23699,1.86,0.694166,-5.28189,0.98981,1.19203,0,-4.29852,1.86,0.708281,-3.9492,1.10515,1.18071,0,-4.6992,1.86,0.627088,-4.50995,1.14887,1.06126,0,-4.6937,1.86,0.303739,-4.49151,1.06565,0.620557,0,-4.6619,1.86,0.455452,-4.45144,1.09075,0.835044,0,-4.45711,1.86,0.220672,-4.15101,1.06387,0.503387,0,-4.31931,1.86,0.465622,-3.94203,0.996044,0.852561,0,-4.8788,1.86,0.399245,-4.75641,1.00502,0.758883,0,-4.83234,1.86,0.563078,-4.69042,1.05443,0.990994,0,-4.92866,1.86,0.12523,-4.82532,1.04492,0.365186,0,-4.48893,1.86,0.0948372,-4.20976,1.10213,0.327985,0,-4.59706,1.86,0.578672,-4.36803,1.12528,0.997983,0,-4.47464,1.86,0.391113,-4.20256,1.14158,0.739704,0,-4.8856,1.86,0.233584,-4.77021,0.942596,0.511112,0,-5.27078,1.86,0.305074,-5.3319,0.983397,0.621488,0,-5.28517,1.86,0.457679,-5.36851,0.940853,0.850015,0,-5.11423,1.86,0.129562,-5.10771,0.965407,0.361264,0,-4.65626,1.86,0.750452,-4.43804,1.02244,1.2604,0,-4.63162,1.86,0.224842,-4.41324,1.17491,0.513592,0,-4.34338,1.86,0.102176,-3.98129,1.04039,0.330931,0,-5.0383,1.86,0.332,-4.99584,0.960526,0.661341,0,-4.68587,1.86,0.106846,-4.48448,1.10879,0.346183,0,-4.41608,1.86,0.695319,-4.08076,0.989188,1.19606,0,-4.58439,1.86,0.320312,-4.33186,1.0108,0.638817,0,-4.81362,1.86,0.31375,-4.6605,1.02392,0.634492,0,-4.99587,1.86,0.219804,-4.93825,0.951324,0.494445,0,-4.43369,1.86,0.489999,-4.08302,0.909741,0.900306,0,-4.55377,1.86,0.464693,-4.29902,1.07991,0.849632,0,-4.80232,1.86,0.120626,-4.6501,1.1222,0.368399,0,
0.100002,-4.88658,3.35813,0.323526,-4.75619,3.18462,0.648146,-4.30022,1.86,0.587353,-3.9667,1.12759,1.01105,0,-4.75811,1.86,0.7279,-4.59641,1.103,1.20531,0,-4.52651,1.86,0.739355,-4.28748,1.18226,1.20507,0,-4.47966,1.86,0.599541,-4.20122,1.08569,1.03631,0,-4.32738,1.86,0.342438,-3.99225,1.09286,0.677614,0,-4.90667,1.86,0.69457,-4.79744,1.08816,1.16849,0,-4.94512,1.86,0.526667,-4.8513,1.10633,0.929832,0,-5.23699,1.86,0.694166,-5.26529,1.07053,1.17069,0,-4.29852,1.86,0.708281,-3.97385,1.14784,1.16958,0,-4.6992,1.86,0.627088,-4.52401,1.22416,1.04644,0,-4.6937,1.86,0.303739,-4.50707,1.13967,0.622484,0,-4.6619,1.86,0.455452,-4.46779,1.16416,0.828646,0,-4.45711,1.86,0.220672,-4.18059,1.14928,0.508115,0,-4.31931,1.86,0.465622,-3.97399,1.07347,0.844609,0,-4.8788,1.86,0.399245,-4.76193,1.08035,0.753726,0,-4.83234,1.86,0.563078,-4.69534,1.15259,0.976837,0,-4.92866,1.86,0.12523,-4.82745,1.13015,0.374435,0,-4.48893,1.86,0.0948372,-4.2324,1.16669,0.338184,0,-4.59706,1.86,0.578672,-4.38473,1.16969,0.990575,0,-4.47464,1.86,0.391113,-4.22724,1.21385,0.735892,0,-4.8856,1.86,0.233584,-4.77264,1.03642,0.516187,0,-5.27078,1.86,0.305074,-5.31603,1.05994,0.621064,0,-5.28517,1.86,0.457679,-5.34941,1.02227,0.840832,0,-5.11423,1.86,0.129562,-5.09562,1.05743,0.37172,0,-4.65626,1.86,0.750452,-4.45274,1.08413,1.2415,0,-4.63162,1.86,0.224842,-4.43357,1.25131,0.517584,0,-4.34338,1.86,0.102176,-4.02309,1.14673,0.346079,0,-5.0383,1.86,0.332,-4.97965,1.09923,0.658701,0,-4.68587,1.86,0.106846,-4.5006,1.2011,0.359759,0,-4.41608,1.86,0.695319,-4.10438,1.04537,1.18132,0,-4.58439,1.86,0.320312,-4.35174,1.08819,0.637021,0,-4.81362,1.86,0.31375,-4.66992,1.09456,0.634406,0,-4.99587,1.86,0.219804,-4.94049,1.00041,0.497279,0,-4.43369,1.86,0.489999,-4.1101,0.983243,0.890666,0,-4.55377,1.86,0.464693,-4.31782,1.13023,0.847652,0,-4.80232,1.86,0.120626,-4.65897,1.19704,0.378046,0,
0.133336,-4.8967,3.3578,0.323477,-4.77153,3.1836,0.648679,-4.30022,1.86,0.587353,-3.97896,1.16857,1.003,0,-4.75811,1.86,0.7279,-4.59771,1.12642,1.19383,0,-4.52651,1.86,0.739355,-4.29568,1.23373,1.18929,0,-4.47966,1.86,0.599541,-4.21105,1.13833,1.025,0,-4.32738,1.86,0.342438,-4.0116,1.16099,0.674983,0,-4.90667,1.86,0.69457,-4.79344,1.14646,1.14953,0,-4.94512,1.86,0.526667,-4.84743,1.15545,0.922327,0,-5.23699,1.86,0.694166,-5.24737,1.12666,1.15458,0,-4.29852,1.86,0.708281,-3.99374,1.21991,1.1502,0,-4.6992,1.86,0.627088,-4.52669,1.26694,1.03632,0,-4.6937,1.86,0.303739,-4.50986,1.16055,0.624606,0,-4.6619,1.86,0.455452,-4.47162,1.21328,0.823455,0,-4.45711,1.86,0.220672,-4.19294,1.20624,0.510032,0,-4.31931,1.86,0.465622,-3.99312,1.14023,0.836661,0,-4.8788,1.86,0.399245,-4.7566,1.15283,0.747016,0,-4.83234,1.86,0.563078,-4.69184,1.24259,0.961523,0,-4.92866,1.86,0.12523,-4.82077,1.19723,0.38103,0,-4.48893,1.86,0.0948372,-4.24271,1.22425,0.346096,0,-4.59706,1.86,0.578672,-4.39081,1.23349,0.977733,0,-4.47464,1.86,0.391113,-4.23724,1.26273,0.731513,0,-4.8856,1.86,0.233584,-4.7623,1.16766,0.521484,0,-5.27078,1.86,0.305074,-5.28981,1.13468,0.62297,0,-5.28517,1.86,0.457679,-5.32665,1.08654,0.83201,0,-5.11423,1.86,0.129562,-5.07864,1.13206,0.378259,0,-4.65626,1.86,0.750452,-4.45674,1.15034,1.22081,0,-4.63162,1.86,0.224842,-4.4375,1.27736,0.519124,0,-4.34338,1.86,0.102176,-4.03906,1.19948,0.352443,0,-5.0383,1.86,0.332,-4.96397,1.1944,0.6559,0,-4.68587,1.86,0.106846,-4.50607,1.28581,0.368369,0,-4.41608,1.86,0.695319,-4.12183,1.12918,1.15831,0,-4.58439,1.86,0.320312,-4.3602,1.15982,0.635741,0,-4.81362,1.86,0.31375,-4.66719,1.17128,0.633978,0,-4.99587,1.86,0.219804,-4.92727,1.07689,0.499271,0,-4.43369,1.86,0.489999,-4.12951,1.07854,0.879877,0,-4.55377,1.86,0.464693,-4.32524,1.19047,0.840032,0,-4.80232,1.86,0.120626,-4.65718,1.27092,0.389278,0,
0.16667,-4.92343,3.35652,0.323897,-4.76652,3.18395,0.648505,-4.30022,1.86,0.587353,-3.9645,1.19809,0.998802,0,-4.75811,1.86,0.7279,-4.57364,1.16462,1.18597,0,-4.52651,1.86,0.739355,-4.27804,1.26386,1.1819,0,-4.47966,1.86,0.599541,-4.19473,1.17271,1.01965,0,-4.32738,1.86,0.342438,-3.99845,1.19294,0.674687,0,-4.90667,1.86,0.69457,-4.7677,1.18422,1.14136,0,-4.94512,1.86,0.526667,-4.81735,1.21579,0.912849,0,-5.23699,1.86,0.694166,-5.21778,1.15184,1.1458,0,-4.29852,1.86,0.708281,-3.97988,1.24608,1.14581,0,-4.6992,1.86,0.627088,-4.50563,1.29316,1.0312,0,-4.6937,1.86,0.303739,-4.48867,1.16606,0.62792,0,-4.6619,1.86,0.455452,-4.45119,1.21664,0.821181,0,-4.45711,1.86,0.220672,-4.17616,1.23231,0.512926,0,-4.31931,1.86,0.465622,-3.97999,1.17235,0.835288,0,-4.8788,1.86,0.399245,-4.73306,1.18209,0.747716,0,-4.83234,1.86,0.563078,-4.67062,1.26649,0.954706,0,-4.92866,1.86,0.12523,-4.79205,1.259,0.387758,0,-4.48893,1.86,0.0948372,-4.22608,1.25472,0.350371,0,-4.59706,1.86,0.578672,-4.37209,1.26035,0.974077,0,-4.47464,1.86,0.391113,-4.22018,1.29067,0.731635,0,-4.8856,1.86,0.233584,-4.73777,1.22284,0.528116,0,-5.27078,1.86,0.305074,-5.25667,1.1705,0.626709,0,-5.28517,1.86,0.457679,-5.3001,1.1029,0.831444,0,-5.11423,1.86,0.129562,-5.04812,1.16985,0.383636,0,-4.65626,1.86,0.750452,-4.43746,1.19367,1.20897,0,-4.63162,1.86,0.224842,-4.41653,1.29015,0.52236,0,-4.34338,1.86,0.102176,-4.03027,1.25221,0.360899,0,-5.0383,1.86,0.332,-4.93493,1.23924,0.656263,0,-4.68587,1.86,0.106846,-4.48686,1.32242,0.375372,0,-4.41608,1.86,0.695319,-4.10649,1.15554,1.15221,0,-4.58439,1.86,0.320312,-4.34427,1.2139,0.638193,0,-4.81362,1.86,0.31375,-4.64433,1.21358,0.634831,0,-4.99587,1.86,0.219804,-4.89482,1.14171,0.504382,0,-4.43369,1.86,0.489999,-4.11596,1.11503,0.876494,0,-4.55377,1.86,0.464693,-4.30755,1.22207,0.837055,0,-4.80232,1.86,0.120626,-4.63589,1.29743,0.395599,0,
0.200004,-4.93403,3.35606,0.323831,-4.79302,3.18215,0.649424,-4.30022,1.86,0.587353,-3.98595,1.22775,0.993739,0,-4.75811,1.86,0.7279,-4.58608,1.21781,1.17362,0,-4.52651,1.86,0.739355,-4.29314,1.27461,1.17877,0,-4.47966,1.86,0.599541,-4.2154,1.21717,1.01159,0,-4.32738,1.86,0.342438,-4.022,1.23198,0.673992,0,-4.90667,1.86,0.69457,-4.77443,1.24623,1.12976,0,-4.94512,1.86,0.526667,-4.82632,1.25401,0.908031,0,-5.23699,1.86,0.694166,-5.21637,1.19303,1.1396,0,-4.29852,1.86,0.708281,-4.00502,1.28975,1.13359,0,-4.6992,1.86,0.627088,-4.51979,1.3365,1.02392,0,-4.6937,1.86,0.303739,-4.50205,1.20323,0.632599,0,-4.6619,1.86,0.455452,-4.46411,1.23639,0.819983,0,-4.45711,1.86,0.220672,-4.19374,1.25618,0.514859,0,-4.31931,1.86,0.465622,-3.99885,1.19189,0.835148,0,-4.8788,1.86,0.399245,-4.74287,1.21683,0.747697,0,-4.83234,1.86,0.563078,-4.68118,1.30312,0.949738,0,-4.92866,1.86,0.12523,-4.80158,1.29679,0.393995,0,-4.48893,1.86,0.0948372,-4.24388,1.2822,0.355781,0,-4.59706,1.86,0.578672,-4.39062,1.31835,0.96588,0,-4.47464,1.86,0.391113,-4.23693,1.30734,0.727594,0,-4.8856,1.86,0.233584,-4.74962,1.24637,0.529748,0,-5.27078,1.86,0.305074,-5.25186,1.22053,0.630655,0,-5.28517,1.86,0.457679,-5.29348,1.15229,0.829951,0,-5.11423,1.86,0.129562,-5.05088,1.21088,0.391513,0,-4.65626,1.86,0.750452,-4.45351,1.2421,1.19683,0,-4.63162,1.86,0.224842,-4.43054,1.31151,0.523492,0,-4.34338,1.86,0.102176,-4.05748,1.30233,0.367244,0,-5.0383,1.86,0.332,-4.94203,1.27211,0.657161,0,-4.68587,1.86,0.106846,-4.50134,1.34646,0.379342,0,-4.41608,1.86,0.695319,-4.12771,1.19672,1.14241,0,-4.58439,1.86,0.320312,-4.36696,1.29223,0.640063,0,-4.81362,1.86,0.31375,-4.65609,1.25287,0.636823,0,-4.99587,1.86,0.219804,-4.90021,1.19311,0.509061,0,-4.43369,1.86,0.489999,-4.1342,1.13583,0.870972,0,-4.55377,1.86,0.464693,-4.32375,1.24558,0.834815,0,-4.80232,1.86,0.120626,-4.64671,1.35794,0.401293,0,
0.233338,-4.93403,3.35606,0.323831,-4.80321,3.18142,0.649777,-4.30022,1.86,0.587353,-3.9877,1.24618,0.991064,0,-4.75811,1.86,0.7279,-4.58297,1.25768,1.16356,0,-4.52651,1.86,0.739355,-4.29083,1.28891,1.17496,0,-4.47966,1.86,0.599541,-4.21658,1.24066,1.00643,0,-4.32738,1.86,0.342438,-4.02993,1.27349,0.672484,0,-4.90667,1.86,0.69457,-4.76798,1.28464,1.12019,0,-4.94512,1.86,0.526667,-4.81982,1.27997,0.905739,0,-5.23699,1.86,0.694166,-5.20669,1.21311,1.13251,0,-4.29852,1.86,0.708281,-4.00739,1.30782,1.12906,0,-4.6992,1.86,0.627088,-4.51745,1.35461,1.02015,0,-4.6937,1.86,0.303739,-4.49968,1.23862,0.629949,0,-4.6619,1.86,0.455452,-4.46139,1.25837,0.817049,0,-4.45711,1.86,0.220672,-4.19598,1.28838,0.516809,0,-4.31931,1.86,0.465622,-4.0065,1.23605,0.830793,0,-4.8788,1.86,0.399245,-4.73677,1.24834,0.745214,0,-4.83234,1.86,0.563078,-4.67676,1.32616,0.947187,0,-4.92866,1.86,0.12523,-4.79671,1.31542,0.39359,0,-4.48893,1.86,0.0948372,-4.24917,1.33462,0.363018,0,-4.59706,1.86,0.578672,-4.38962,1.33042,0.962146,0,-4.47464,1.86,0.391113,-4.23399,1.31064,0.726538,0,-4.8856,1.86,0.233584,-4.74201,1.28963,0.531765,0,-5.27078,1.86,0.305074,-5.23934,1.24825,0.629336,0,-5.28517,1.86,0.457679,-5.28414,1.17122,0.826558,0,-5.11423,1.86,0.129562,-5.0291,1.29009,0.399826,0,-4.65626,1.86,0.750452,-4.45182,1.25895,1.19253,0,-4.63162,1.86,0.224842,-4.42979,1.35053,0.525031,0,-4.34338,1.86,0.102176,-4.06164,1.32605,0.375291,0,-5.0383,1.86,0.332,-4.93248,1.3046,0.657718,0,-4.68587,1.86,0.106846,-4.49858,1.36501,0.384113,0,-4.41608,1.86,0.695319,-4.13124,1.22853,1.13367,0,-4.58439,1.86,0.320312,-4.36877,1.32523,0.64071,0,-4.81362,1.86,0.31375,-4.65134,1.29201,0.636816,0,-4.99587,1.86,0.219804,-4.89045,1.23619,0.510406,0,-4.43369,1.86,0.489999,-4.1377,1.17523,0.8676,0,-4.55377,1.86,0.464693,-4.32397,1.27839,0.831459,0,-4.80232,1.86,0.120626,-4.64282,1.43409,0.414612,0,
0.266672,-4.96058,3.35453,0.324267,-4.82971,3.17939,0.650691,-4.30022,1.86,0.587353,-4.0144,1.29988,0.981081,0,-4.75811,1.86,0.7279,-4.59545,1.33219,1.14372,0,-4.52651,1.86,0.739355,-4.30903,1.33757,1.1616,0,-4.47966,1.86,0.599541,-4.2417,1.31372,0.992443,0,-4.32738,1.86,0.342438,-4.06256,1.3448,0.67042,0,-4.90667,1.86,0.69457,-4.7739,1.35133,1.10305,0,-4.94512,1.86,0.526667,-4.82246,1.35963,0.893113,0,-5.23699,1.86,0.694166,-5.20012,1.26553,1.11894,0,-4.29852,1.86,0.708281,-4.03,1.34754,1.12039,0,-4.6992,1.86,0.627088,-4.52963,1.37599,1.01496,0,-4.6937,1.86,0.303739,-4.51569,1.31613,0.629464,0,-4.6619,1.86,0.455452,-4.47769,1.32847,0.811071,0,-4.45711,1.86,0.220672,-4.22339,1.36315,0.521996,0,-4.31931,1.86,0.465622,-4.03583,1.29587,0.824024,0,-4.8788,1.86,0.399245,-4.74326,1.32358,0.741614,0,-4.83234,1.86,0.563078,-4.68685,1.35819,0.939506,0,-4.92866,1.86,0.12523,-4.80298,1.36123,0.399219,0,-4.48893,1.86,0.0948372,-4.27595,1.4089,0.373591,0,-4.59706,1.86,0.578672,-4.40442,1.36675,0.957139,0,-4.47464,1.86,0.391113,-4.25553,1.36876,0.722965,0,-4.8856,1.86,0.233584,-4.74837,1.37801,0.537017,0,-5.27078,1.86,0.305074,-5.22195,1.33349,0.629762,0,-5.28517,1.86,0.457679,-5.26956,1.24134,0.820214,0,-5.11423,1.86,0.129562,-5.02091,1.38843,0.412126,0,-4.65626,1.86,0.750452,-4.46475,1.2897,1.18354,0,-4.63162,1.86,0.224842,-4.44736,1.40718,0.528471,0,-4.34338,1.86,0.102176,-4.08815,1.38135,0.382951,0,-5.0383,1.86,0.332,-4.93265,1.37048,0.656949,0,-4.68587,1.86,0.106846,-4.5153,1.44549,0.394082,0,-4.41608,1.86,0.695319,-4.1566,1.29003,1.1179,0,-4.58439,1.86,0.320312,-4.38618,1.37008,0.639101,0,-4.81362,1.86,0.31375,-4.66191,1.36423,0.635508,0,-4.99587,1.86,0.219804,-4.89168,1.30758,0.516381,0,-4.43369,1.86,0.489999,-4.16245,1.23586,0.861183,0,-4.55377,1.86,0.464693,-4.34321,1.33208,0.825841,0,-4.80232,1.86,0.120626,-4.65555,1.46205,0.418685,0,
0.300007,-4.97167,3.35399,0.324215,-4.84027,3.17859,0.651056,-4.30022,1.86,0.587353,-4.02427,1.34351,0.973875,0,-4.75811,1.86,0.7279,-4.59338,1.36648,1.13468,0,-4.52651,1.86,0.739355,-4.31345,1.38576,1.14955,0,-4.47966,1.86,0.599541,-4.24939,1.3661,0.983313,0,-4.32738,1.86,0.342438,-4.07141,1.38431,0.671731,0,-4.90667,1.86,0.69457,-4.76827,1.38741,1.09529,0,-4.94512,1.86,0.526667,-4.81693,1.38971,0.888786,0,-5.23699,1.86,0.694166,-5.17013,1.35643,1.10104,0,-4.29852,1.86,0.708281,-4.03732,1.38448,1.11125,0,-4.6992,1.86,0.627088,-4.52726,1.41415,1.00898,0,-4.6937,1.86,0.303739,-4.51627,1.36742,0.632257,0,-4.6619,1.86,0.455452,-4.47833,1.37108,0.807824,0,-4.45711,1.86,0.220672,-4.23171,1.41316,0.526676,0,-4.31931,1.86,0.465622,-4.04666,1.3424,0.817728,0,-4.8788,1.86,0.399245,-4.738,1.36822,0.739853,0,-4.83234,1.86,0.563078,-4.68119,1.43667,0.92839,0,-4.92866,1.86,0.12523,-4.79425,1.4196,0.409827,0,-4.48893,1.86,0.0948372,-4.28154,1.45053,0.380419,0,-4.59706,1.86,0.578672,-4.40722,1.42063,0.947349,0,-4.47464,1.86,0.391113,-4.26594,1.43452,0.723163,0,-4.8856,1.86,0.233584,-4.7433,1.43215,0.544319,0,-5.27078,1.86,0.305074,-5.20193,1.3888,0.631995,0,-5.28517,1.86,0.457679,-5.2442,1.30866,0.816537,0,-5.11423,1.86,0.129562,-5.00751,1.44242,0.420216,0,-4.65626,1.86,0.750452,-4.46359,1.32843,1.17495,0,-4.63162,1.86,0.224842,-4.44891,1.45139,0.532475,0,-4.34338,1.86,0.102176,-4.09655,1.42172,0.389919,0,-5.0383,1.86,0.332,-4.92124,1.42407,0.658361,0,-4.68587,1.86,0.106846,-4.51761,1.50629,0.403874,0,-4.41608,1.86,0.695319,-4.16229,1.32598,1.10637,0,-4.58439,1.86,0.320312,-4.38969,1.42255,0.64123,0,-4.81362,1.86,0.31375,-4.65863,1.40188,0.636873,0,-4.99587,1.86,0.219804,-4.88212,1.35687,0.52091,0,-4.43369,1.86,0.489999,-4.17024,1.28505,0.856303,0,-4.55377,1.86,0.464693,-4.34816,1.38654,0.821724,0,-4.80232,1.86,0.120626,-4.65134,1.4928,0.42436,0,
