time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,
0,5.49725,-3.37584,0.199189,6.55753,-3.11786,0.0563334,6.04007,-1.86,0.112277,7.42128,-0.705831,-0.0819618,0,5.40886,-1.86,0.335131,6.41502,-0.673851,0.275515,0,5.31721,-1.86,0.191181,6.26634,-0.666059,0.0433811,0,5.4785,-1.86,0.435052,6.52723,-0.668347,0.437476,0,5.64358,-1.86,0.422628,6.79182,-0.69091,0.414073,0,5.01303,-1.86,0.410683,5.83149,-0.844995,0.373451,0,5.57651,-1.86,0.661378,6.68048,-0.766463,0.773289,0,5.83505,-1.86,0.633475,7.08719,-0.741087,0.737277,0,5.29951,-1.86,0.691507,6.25419,-0.792459,0.811584,0,5.16134,-1.86,0.403312,6.01924,-0.688682,0.383448,0,4.90994,-1.86,0.49253,5.65565,-0.790091,0.506797,0,5.43219,-1.86,0.711555,6.45639,-0.761064,0.85295,0,5.35314,-1.86,0.0622874,6.32151,-0.635105,-0.167893,0,5.58399,-1.86,0.294922,6.69891,-0.647418,0.212355,0,5.02487,-1.86,0.238478,5.81989,-0.750808,0.117686,0,5.47635,-1.86,0.0988461,6.52274,-0.593559,-0.110765,0,5.29665,-1.86,0.460012,6.23243,-0.661262,0.479028,0,4.87692,-1.86,0.104867,5.6115,-0.806101,-0.0875131,0,5.12793,-1.86,0.557442,5.98392,-0.763472,0.612769,0,4.99664,-1.86,0.713918,5.80078,-0.82641,0.834435,0,5.17443,-1.86,0.666348,6.08794,-0.912817,0.735895,0,5.30264,-1.86,0.580828,6.24585,-0.690062,0.667575,0,5.15628,-1.86,0.125212,6.02373,-0.744731,-0.0594815,0,5.61511,-1.86,0.0943223,6.75095,-0.630208,-0.115763,0,
0.0333341,5.52515,-3.37477,0.198852,6.55257,-3.11827,0.056435,6.04007,-1.86,0.112277,7.37108,-0.777375,-0.0796025,0,5.40886,-1.86,0.335131,6.39614,-0.782035,0.263978,0,5.31721,-1.86,0.191181,6.25378,-0.780271,0.0428102,0,5.4785,-1.86,0.435052,6.50259,-0.783436,0.418561,0,5.64358,-1.86,0.422628,6.75895,-0.782945,0.399674,0,5.01303,-1.86,0.410683,5.83287,-0.921539,0.36345,0,5.57651,-1.86,0.661378,6.65167,-0.858846,0.744672,0,5.83505,-1.86,0.633475,7.03931,-0.837758,0.706247,0,5.29951,-1.86,0.691507,6.24303,-0.902241,0.775872,0,5.16134,-1.86,0.403312,6.02041,-0.818582,0.361281,0,4.90994,-1.86,0.49253,5.66902,-0.89437,0.49062,0,5.43219,-1.86,0.711555,6.43609,-0.844328,0.824905,0,5.35314,-1.86,0.0622874,6.30573,-0.73893,-0.15506,0,5.58399,-1.86,0.294922,6.66811,-0.750216,0.205671,0,5.02487,-1.86,0.238478,5.82721,-0.861838,0.116598,0,5.47635,-1.86,0.0988461,6.49754,-0.713506,-0.105025,0,5.29665,-1.86,0.460012,6.22149,-0.786276,0.45855,0,4.87692,-1.86,0.104867,5.61891,-0.88449,-0.0852382,0,5.12793,-1.86,0.557442,5.97747,-0.835488,0.595788,0,4.99664,-1.86,0.713918,5.80474,-0.915406,0.799985,0,5.17443,-1.86,0.666348,6.07856,-0.95836,0.72436,0,5.30264,-1.86,0.580828,6.23276,-0.779736,0.645996,0,5.15628,-1.86,0.125212,6.0234,-0.85939,-0.0550907,0,5.61511,-1.86,0.0943223,6.71708,-0.735245,-0.109848,0,
0.0666682,5.52515,-3.37477,0.198852,6.58019,-3.11596,0.0558689,6.04007,-1.86,0.112277,7.36852,-0.808105,-0.0772221,0,5.40886,-1.86,0.335131,6.40691,-0.856068,0.25724,0,5.31721,-1.86,0.191181,6.26915,-0.849141,0.0422588,0,5.4785,-1.86,0.435052,6.51138,-0.841907,0.408473,0,5.64358,-1.86,0.422628,6.75887,-0.848764,0.389801,0,5.01303,-1.86,0.410683,5.85727,-0.975249,0.356537,0,5.57651,-1.86,0.661378,6.65476,-0.923768,0.724606,0,5.83505,-1.86,0.633475,7.0358,-0.888223,0.687701,0,5.29951,-1.86,0.691507,6.25891,-0.970632,0.754475,0,5.16134,-1.86,0.403312,6.04354,-0.889781,0.350755,0,4.90994,-1.86,0.49253,5.70321,-0.967386,0.477731,0,5.43219,-1.86,0.711555,6.44793,-0.871616,0.812143,0,5.35314,-1.86,0.0622874,6.31899,-0.79965,-0.15191,0,5.58399,-1.86,0.294922,6.67034,-0.82122,0.201047,0,5.02487,-1.86,0.238478,5.8534,-0.91991,0.112269,0,5.47635,-1.86,0.0988461,6.50496,-0.790667,-0.0999253,0,5.29665,-1.86,0.460012,6.23916,-0.878818,0.440679,0,4.87692,-1.86,0.104867,5.64939,-0.941695,-0.08575,0,5.12793,-1.86,0.557442,5.99837,-0.895532,0.58139,0,4.99664,-1.86,0.713918,5.82847,-0.962611,0.783613,0,5.17443,-1.86,0.666348,6.09531,-1.00435,0.711782,0,5.30264,-1.86,0.580828,6.24727,-0.830474,0.633954,0,5.15628,-1.86,0.125212,6.04486,-0.918845,-0.0522818,0,5.61511,-1.86,0.0943223,6.71916,-0.798439,-0.104702,0,
0.100002,5.55189,-3.37363,0.198533,6.59557,-3.11467,0.0555539,6.04007,-1.86,0.112277,7.35295,-0.841552,-0.0722855,0,5.40886,-1.86,0.335131,6.40702,-0.914092,0.253788,0,5.31721,-1.86,0.191181,6.27245,-0.905309,0.0442863,0,5.4785,-1.86,0.435052,6.50745,-0.909671,0.399947,0,5.64358,-1.86,0.422628,6.74811,-0.918317,0.384827,0,5.01303,-1.86,0.410683,5.86766,-1.01685,0.351589,0,5.57651,-1.86,0.661378,6.64789,-0.981917,0.707871,0,5.83505,-1.86,0.633475,7.01424,-0.959446,0.672648,0,5.29951,-1.86,0.691507,6.26286,-1.03146,0.734234,0,5.16134,-1.86,0.403312,6.05583,-0.970492,0.340554,0,4.90994,-1.86,0.49253,5.7229,-1.03017,0.465615,0,5.43219,-1.86,0.711555,6.44538,-0.916937,0.799551,0,5.35314,-1.86,0.0622874,6.32066,-0.870586,-0.143605,0,5.58399,-1.86,0.294922,6.66771,-0.85655,0.203442,0,5.02487,-1.86,0.238478,5.86417,-0.963679,0.11361,0,5.47635,-1.86,0.0988461,6.50301,-0.842999,-0.0939225,0,5.29665,-1.86,0.460012,6.24397,-0.932821,0.430432,0,4.87692,-1.86,0.104867,5.66421,-0.987119,-0.0824177,0,5.12793,-1.86,0.557442,6.00909,-0.959268,0.568144,0,4.99664,-1.86,0.713918,5.84036,-1.01226,0.767725,0,5.17443,-1.86,0.666348,6.10078,-1.04457,0.699101,0,5.30264,-1.86,0.580828,6.24983,-0.8706,0.626155,0,5.15628,-1.86,0.125212,6.0541,-0.977643,-0.0469658,0,5.61511,-1.86,0.0943223,6.71161,-0.851571,-0.0993466,0,
0.133336,5.56263,-3.37315,0.198143,6.60667,-3.11365,0.0553287,6.04007,-1.86,0.112277,7.34055,-0.861766,-0.069851,0,5.40886,-1.86,0.335131,6.4036,-0.969106,0.252956,0,5.31721,-1.86,0.191181,6.27214,-0.959457,0.0486366,0,5.4785,-1.86,0.435052,6.49989,-0.991464,0.389545,0,5.64358,-1.86,0.422628,6.7366,-0.970933,0.379036,0,5.01303,-1.86,0.410683,5.8737,-1.05404,0.351937,0,5.57651,-1.86,0.661378,6.63953,-1.02719,0.697388,0,5.83505,-1.86,0.633475,7.00267,-0.994411,0.667255,0,5.29951,-1.86,0.691507,6.26259,-1.07134,0.725349,0,5.16134,-1.86,0.403312,6.06178,-1.02601,0.33639,0,4.90994,-1.86,0.49253,5.73313,-1.07153,0.462584,0,5.43219,-1.86,0.711555,6.44069,-0.958041,0.789172,0,5.35314,-1.86,0.0622874,6.31937,-0.936288,-0.135853,0,5.58399,-1.86,0.294922,6.66342,-0.870671,0.205508,0,5.02487,-1.86,0.238478,5.86952,-0.999874,0.116691,0,5.47635,-1.86,0.0988461,6.49678,-0.89358,-0.0880776,0,5.29665,-1.86,0.460012,6.24539,-1.00694,0.422818,0,4.87692,-1.86,0.104867,5.67482,-1.0309,-0.0756127,0,5.12793,-1.86,0.557442,6.01479,-1.00802,0.561569,0,4.99664,-1.86,0.713918,5.85022,-1.06572,0.755698,0,5.17443,-1.86,0.666348,6.10184,-1.07423,0.694738,0,5.30264,-1.86,0.580828,6.24789,-0.904465,0.619303,0,5.15628,-1.86,0.125212,6.06087,-1.03945,-0.0393155,0,5.61511,-1.86,0.0943223,6.7009,-0.899855,-0.0951234,0,
0.16667,5.56263,-3.37315,0.198143,6.61678,-3.11273,0.055124,6.04007,-1.86,0.112277,7.31374,-0.912666,-0.063058,0,5.40886,-1.86,0.335131,6.40027,-1.04553,0.246963,0,5.31721,-1.86,0.191181,6.27213,-1.01429,0.0498688,0,5.4785,-1.86,0.435052,6.4932,-1.09336,0.373005,0,5.64358,-1.86,0.422628,6.71947,-1.06507,0.369614,0,5.01303,-1.86,0.410683,5.88482,-1.11565,0.344134,0,5.57651,-1.86,0.661378,6.62655,-1.11104,0.673991,0,5.83505,-1.86,0.633475,6.98587,-1.04086,0.657262,0,5.29951,-1.86,0.691507,6.26222,-1.11144,0.716088,0,5.16134,-1.86,0.403312,6.068,-1.08043,0.333605,0,4.90994,-1.86,0.49253,5.75008,-1.13809,0.451177,0,5.43219,-1.86,0.711555,6.43539,-1.01914,0.770419,0,5.35314,-1.86,0.0622874,6.31998,-1.02512,-0.125262,0,5.58399,-1.86,0.294922,6.65023,-0.939213,0.204351,0,5.02487,-1.86,0.238478,5.88469,-1.07859,0.116939,0,5.47635,-1.86,0.0988461,6.49021,-0.962591,-0.0819336,0,5.29665,-1.86,0.460012,6.24868,-1.08196,0.412926,0,4.87692,-1.86,0.104867,5.6903,-1.08827,-0.0703316,0,5.12793,-1.86,0.557442,6.02451,-1.08346,0.545377,0,4.99664,-1.86,0.713918,5.86012,-1.11757,0.739596,0,5.17443,-1.86,0.666348,6.10893,-1.15237,0.673899,0,5.30264,-1.86,0.580828,6.24796,-0.97233,0.604799,0,5.15628,-1.86,0.125212,6.0647,-1.08002,-0.036864,0,5.61511,-1.86,0.0943223,6.69136,-0.945418,-0.0945874,0,
0.200004,5.58873,-3.3718,0.197855,6.64288,-3.11028,0.0545968,6.04007,-1.86,0.112277,7.28723,-0.995986,-0.0548297,0,5.40886,-1.86,0.335131,6.4135,-1.1692,0.238306,0,5.31721,-1.86,0.191181,6.28913,-1.1067,0.0537061,0,5.4785,-1.86,0.435052,6.50202,-1.21612,0.357075,0,5.64358,-1.86,0.422628,6.7136,-1.19481,0.353775,0,5.01303,-1.86,0.410683,5.92269,-1.21904,0.330563,0,5.57651,-1.86,0.661378,6.62606,-1.23884,0.637837,0,5.83505,-1.86,0.633475,6.97343,-1.13107,0.640277,0,5.29951,-1.86,0.691507,6.28043,-1.21854,0.682052,0,5.16134,-1.86,0.403312,6.09727,-1.18868,0.321647,0,4.90994,-1.86,0.49253,5.78565,-1.2137,0.439013,0,5.43219,-1.86,0.711555,6.44502,-1.14581,0.730098,0,5.35314,-1.86,0.0622874,6.3372,-1.13613,-0.11284,0,5.58399,-1.86,0.294922,6.65362,-1.00505,0.203048,0,5.02487,-1.86,0.238478,5.92082,-1.17569,0.115393,0,5.47635,-1.86,0.0988461,6.49744,-1.06723,-0.0723323,0,5.29665,-1.86,0.460012,6.26818,-1.17971,0.397388,0,4.87692,-1.86,0.104867,5.73931,-1.19862,-0.061178,0,5.12793,-1.86,0.557442,6.06122,-1.21465,0.511235,0,4.99664,-1.86,0.713918,5.89563,-1.21102,0.71187,0,5.17443,-1.86,0.666348,6.13224,-1.22772,0.653585,0,5.30264,-1.86,0.580828,6.26758,-1.08879,0.577932,0,5.15628,-1.86,0.125212,6.08919,-1.16306,-0.0295951,0,5.61511,-1.86,0.0943223,6.68823,-1.04404,-0.0840665,0,
0.233338,5.59999,-3.37125,0.197441,6.65325,-3.1093,0.0543871,6.04007,-1.86,0.112277,7.25622,-1.06278,-0.0526481,0,5.40886,-1.86,0.335131,6.41324,-1.24623,0.231283,0,5.31721,-1.86,0.191181,6.29341,-1.19653,0.0532821,0,5.4785,-1.86,0.435052,6.49862,-1.27828,0.347429,0,5.64358,-1.86,0.422628,6.70422,-1.24983,0.344775,0,5.01303,-1.86,0.410683,5.93223,-1.26301,0.325192,0,5.57651,-1.86,0.661378,6.61972,-1.28669,0.621936,0,5.83505,-1.86,0.633475,6.95953,-1.16962,0.628579,0,5.29951,-1.86,0.691507,6.28239,-1.26846,0.665171,0,5.16134,-1.86,0.403312,6.10444,-1.24172,0.315209,0,4.90994,-1.86,0.49253,5.79989,-1.26647,0.429133,0,5.43219,-1.86,0.711555,6.4431,-1.20182,0.71193,0,5.35314,-1.86,0.0622874,6.339,-1.20845,-0.106437,0,5.58399,-1.86,0.294922,6.64279,-1.07153,0.197909,0,5.02487,-1.86,0.238478,5.94327,-1.26921,0.112493,0,5.47635,-1.86,0.0988461,6.49315,-1.16381,-0.0633189,0,5.29665,-1.86,0.460012,6.27365,-1.26405,0.38278,0,4.87692,-1.86,0.104867,5.76039,-1.26236,-0.0537307,0,5.12793,-1.86,0.557442,6.07192,-1.27637,0.498049,0,4.99664,-1.86,0.713918,5.91328,-1.28469,0.686993,0,5.17443,-1.86,0.666348,6.13511,-1.26434,0.643625,0,5.30264,-1.86,0.580828,6.27029,-1.14879,0.562749,0,5.15628,-1.86,0.125212,6.09644,-1.22044,-0.0262681,0,5.61511,-1.86,0.0943223,6.67552,-1.12917,-0.079619,0,
0.266672,5.62672,-3.37,0.197131,6.67984,-3.10694,0.0538464,6.04007,-1.86,0.112277,7.25442,-1.09439,-0.0515823,0,5.40886,-1.86,0.335131,6.4267,-1.29306,0.225301,0,5.31721,-1.86,0.191181,6.30877,-1.22903,0.0524305,0,5.4785,-1.86,0.435052,6.50979,-1.31561,0.342017,0,5.64358,-1.86,0.422628,6.71123,-1.28379,0.339855,0,5.01303,-1.86,0.410683,5.95975,-1.32192,0.314653,0,5.57651,-1.86,0.661378,6.62732,-1.32882,0.609136,0,5.83505,-1.86,0.633475,6.95864,-1.21216,0.617055,0,5.29951,-1.86,0.691507,6.29649,-1.29468,0.657952,0,5.16134,-1.86,0.403312,6.11991,-1.26191,0.311128,0,4.90994,-1.86,0.49253,5.81831,-1.28545,0.424274,0,5.43219,-1.86,0.711555,6.45461,-1.25205,0.694316,0,5.35314,-1.86,0.0622874,6.35286,-1.23656,-0.104855,0,5.58399,-1.86,0.294922,6.64939,-1.12215,0.194889,0,5.02487,-1.86,0.238478,5.96767,-1.30977,0.106734,0,5.47635,-1.86,0.0988461,6.50488,-1.20992,-0.0599645,0,5.29665,-1.86,0.460012,6.28896,-1.29084,0.377482,0,4.87692,-1.86,0.104867,5.7792,-1.28058,-0.0555422,0,5.12793,-1.86,0.557442,6.09041,-1.30733,0.487525,0,4.99664,-1.86,0.713918,5.94069,-1.33699,0.665896,0,5.17443,-1.86,0.666348,6.15921,-1.33865,0.614127,0,5.30264,-1.86,0.580828,6.28952,-1.23196,0.540329,0,5.15628,-1.86,0.125212,6.11348,-1.2491,-0.0265515,0,5.61511,-1.86,0.0943223,6.68353,-1.16593,-0.0772493,0,
0.300007,5.63806,-3.36943,0.196705,6.69522,-3.10556,0.0535336,6.04007,-1.86,0.112277,7.25531,-1.09732,-0.0536106,0,5.40886,-1.86,0.335131,6.42887,-1.30358,0.222313,0,5.31721,-1.86,0.191181,6.31171,-1.24698,0.0490649,0,5.4785,-1.86,0.435052,6.51114,-1.32269,0.338902,0,5.64358,-1.86,0.422628,6.71175,-1.29093,0.335431,0,5.01303,-1.86,0.410683,5.96559,-1.33446,0.31243,0,5.57651,-1.86,0.661378,6.62922,-1.32989,0.605458,0,5.83505,-1.86,0.633475,6.95693,-1.22387,0.6095,0,5.29951,-1.86,0.691507,6.29992,-1.32482,0.646201,0,5.16134,-1.86,0.403312,6.12217,-1.2693,0.308733,0,4.90994,-1.86,0.49253,5.82508,-1.30269,0.417389,0,5.43219,-1.86,0.711555,6.4567,-1.26884,0.684436,0,5.35314,-1.86,0.0622874,6.35576,-1.27043,-0.102249,0,5.58399,-1.86,0.294922,6.6503,-1.13437,0.190446,0,5.02487,-1.86,0.238478,5.97137,-1.31504,0.104256,0,5.47635,-1.86,0.0988461,6.50795,-1.20025,-0.0638538,0,5.29665,-1.86,0.460012,6.29163,-1.30705,0.372045,0,4.87692,-1.86,0.104867,5.78312,-1.28935,-0.0561028,0,5.12793,-1.86,0.557442,6.09309,-1.30944,0.483574,0,4.99664,-1.86,0.713918,5.94148,-1.3262,0.668963,0,5.17443,-1.86,0.666348,6.16808,-1.37235,0.600523,0,5.30264,-1.86,0.580828,6.29363,-1.24159,0.535668,0,5.15628,-1.86,0.125212,6.11648,-1.25884,-0.0274874,0,5.61511,-1.86,0.0943223,6.68356,-1.17954,-0.0790833,0,
