time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,7.52252,-1.95122,0.153776,8.56709,-1.63185,0.053569,6.16,-1.41175,0.538974,6.25534,-0.716542,0.70713,0,6.16,-1.37841,0.639139,6.30087,-0.679115,0.860857,0,6.16,-1.0193,0.663747,6.48712,-0.209219,0.832075,0,6.16,-1.51746,0.410857,6.19601,-0.877009,0.500949,0,6.16,-1.13508,0.389044,6.37673,-0.319837,0.431784,0,5.69133,-1.86,0.739731,6.20355,-1.51411,0.809872,0,6.16,-1.03642,0.534939,6.45575,-0.214286,0.644217,0,6.16,-1.41804,0.192533,6.18343,-0.699084,0.121373,0,6.16,-1.28481,0.404913,6.2864,-0.516353,0.473944,0,6.16,-1.69601,0.567657,6.22509,-1.19318,0.764984,0,6.16,-1.54967,0.203498,6.22204,-0.940742,0.139146,0,6.16,-1.15083,0.601856,6.43901,-0.381752,0.753414,0,6.16,-1.16184,0.242136,6.35193,-0.348488,0.197224,0,5.85411,-1.86,0.530512,6.18113,-1.5014,0.592336,0,6.16,-1.09949,0.12863,6.48739,-0.331795,0.0151872,0,6.12386,-1.86,0.247648,6.20409,-1.47774,0.212165,0,6.16,-1.69808,0.236016,6.15643,-1.18398,0.199074,0,6.16,-1.43606,0.320877,6.35328,-0.794818,0.325075,0,6.16,-1.48938,0.645414,6.32912,-0.873267,0.8611,0,6.16,-1.72412,0.373286,6.16802,-1.23198,0.440076,0,6.16,-1.53103,0.53716,6.25703,-0.919451,0.703576,0,5.98989,-1.86,0.396211,6.16888,-1.48911,0.432925,0,6.16,-1.62789,0.487717,6.24969,-1.08192,0.621546,0,6.16,-1.60713,0.611723,6.2789,-1.05399,0.822642,0,6.16,-1.29616,0.101899,6.31462,-0.54893,-0.0321918,0,6.16,-1.80574,0.0937061,6.22631,-1.38193,-0.0496297,0,6.16,-1.39962,0.424801,6.27379,-0.703437,0.509744,0,6.16,-1.65845,0.135852,6.23974,-1.13176,0.0229538,0,6.16,-1.76523,0.472242,6.23348,-1.3133,0.599015,0,6.16,-1.24569,0.641209,6.37941,-0.499035,0.836204,0,6.16,-1.00194,0.424181,6.43295,-0.144969,0.477113,0,
0.0333341,7.52252,-1.95122,0.153776,8.57029,-1.60521,0.0542727,6.16,-1.41175,0.538974,6.32957,-0.753176,0.687969,0,6.16,-1.37841,0.639139,6.37463,-0.717813,0.835538,0,6.16,-1.0193,0.663747,6.51762,-0.236846,0.821778,0,6.16,-1.51746,0.410857,6.29659,-0.917644,0.484144,0,6.16,-1.13508,0.389044,6.42551,-0.356799,0.423902,0,5.69133,-1.86,0.739731,6.31338,-1.5269,0.777656,0,6.16,-1.03642,0.534939,6.4922,-0.246374,0.634877,0,6.16,-1.41804,0.192533,6.2686,-0.741307,0.120352,0,6.16,-1.28481,0.404913,6.35445,-0.558546,0.462196,0,6.16,-1.69601,0.567657,6.32111,-1.2186,0.737899,0,6.16,-1.54967,0.203498,6.31849,-0.975948,0.139178,0,6.16,-1.15083,0.601856,6.48221,-0.413683,0.73992,0,6.16,-1.16184,0.242136,6.40771,-0.38938,0.195734,0,5.85411,-1.86,0.530512,6.30894,-1.5165,0.566911,0,6.16,-1.09949,0.12863,6.53377,-0.366884,0.017593,0,6.12386,-1.86,0.247648,6.34045,-1.49409,0.205985,0,6.16,-1.69808,0.236016,6.26076,-1.21052,0.195899,0,6.16,-1.43606,0.320877,6.42149,-0.824354,0.318678,0,6.16,-1.48938,0.645414,6.3977,-0.901515,0.838339,0,6.16,-1.72412,0.373286,6.31728,-1.26733,0.418549,0,6.16,-1.53103,0.53716,6.39258,-0.972524,0.667288,0,5.98989,-1.86,0.396211,6.30158,-1.50486,0.41601,0,6.16,-1.62789,0.487717,6.36673,-1.11784,0.595399,0,6.16,-1.60713,0.611723,6.34004,-1.07296,0.805143,0,6.16,-1.29616,0.101899,6.3976,-0.597885,-0.02647,0,6.16,-1.80574,0.0937061,6.36367,-1.40382,-0.0386555,0,6.16,-1.39962,0.424801,6.33697,-0.733472,0.502837,0,6.16,-1.65845,0.135852,6.37188,-1.16732,0.0267516,0,6.16,-1.76523,0.472242,6.35365,-1.33662,0.572921,0,6.16,-1.24569,0.641209,6.43572,-0.535362,0.817804,0,6.16,-1.00194,0.424181,6.4665,-0.17719,0.470874,0,
0.0666681,7.52636,-1.9247,0.153712,8.57191,-1.59034,0.0546691,6.16,-1.41175,0.538974,6.42253,-0.798465,0.661534,0,6.16,-1.37841,0.639139,6.45793,-0.76074,0.805137,0,6.16,-1.0193,0.663747,6.56588,-0.27823,0.802521,0,6.16,-1.51746,0.410857,6.39422,-0.955758,0.46586,0,6.16,-1.13508,0.389044,6.49287,-0.405498,0.413041,0,5.69133,-1.86,0.739731,6.43008,-1.54028,0.738183,0,6.16,-1.03642,0.534939,6.54018,-0.285838,0.621289,0,6.16,-1.41804,0.192533,6.37154,-0.790081,0.117106,0,6.16,-1.28481,0.404913,6.44271,-0.61056,0.443926,0,6.16,-1.69601,0.567657,6.42613,-1.24568,0.705756,0,6.16,-1.54967,0.203498,6.42598,-1.01532,0.134178,0,6.16,-1.15083,0.601856,6.54133,-0.456148,0.720553,0,6.16,-1.16184,0.242136,6.47648,-0.43716,0.191107,0,5.85411,-1.86,0.530512,6.42989,-1.53012,0.539029,0,6.16,-1.09949,0.12863,6.59375,-0.411852,0.0192561,0,6.12386,-1.86,0.247648,6.47893,-1.51042,0.194724,0,6.16,-1.69808,0.236016,6.39591,-1.24441,0.187343,0,6.16,-1.43606,0.320877,6.49568,-0.858819,0.30924,0,6.16,-1.48938,0.645414,6.46131,-0.928649,0.815128,0,6.16,-1.72412,0.373286,6.44132,-1.29446,0.398084,0,6.16,-1.53103,0.53716,6.49342,-1.00945,0.638296,0,5.98989,-1.86,0.396211,6.43354,-1.52014,0.392295,0,6.16,-1.62789,0.487717,6.47653,-1.15077,0.567923,0,6.16,-1.60713,0.611723,6.44326,-1.10823,0.770163,0,6.16,-1.29616,0.101899,6.47467,-0.641396,-0.0221671,0,6.16,-1.80574,0.0937061,6.47654,-1.42173,-0.033996,0,6.16,-1.39962,0.424801,6.44355,-0.787312,0.477771,0,6.16,-1.65845,0.135852,6.48363,-1.19745,0.0275329,0,6.16,-1.76523,0.472242,6.48355,-1.36211,0.541957,0,6.16,-1.24569,0.641209,6.50337,-0.57812,0.792745,0,6.16,-1.00194,0.424181,6.5149,-0.218367,0.4625,0,
0.100002,7.52636,-1.9247,0.153712,8.57334,-1.57827,0.0549881,6.16,-1.41175,0.538974,6.49373,-0.830376,0.644639,0,6.16,-1.37841,0.639139,6.53876,-0.799936,0.779413,0,6.16,-1.0193,0.663747,6.61614,-0.317231,0.787005,0,6.16,-1.51746,0.410857,6.48594,-0.990119,0.450216,0,6.16,-1.13508,0.389044,6.5467,-0.441074,0.407672,0,5.69133,-1.86,0.739731,6.53362,-1.55049,0.707363,0,6.16,-1.03642,0.534939,6.59503,-0.32693,0.611681,0,6.16,-1.41804,0.192533,6.4511,-0.825449,0.117024,0,6.16,-1.28481,0.404913,6.50145,-0.642266,0.436006,0,6.16,-1.69601,0.567657,6.52609,-1.2697,0.676784,0,6.16,-1.54967,0.203498,6.50693,-1.04309,0.13209,0,6.16,-1.15083,0.601856,6.5929,-0.490226,0.706547,0,6.16,-1.16184,0.242136,6.53215,-0.473121,0.190938,0,5.85411,-1.86,0.530512,6.5343,-1.5406,0.515745,0,6.16,-1.09949,0.12863,6.6441,-0.447293,0.0221808,0,6.12386,-1.86,0.247648,6.55898,-1.51824,0.190644,0,6.16,-1.69808,0.236016,6.45812,-1.25743,0.184738,0,6.16,-1.43606,0.320877,6.56414,-0.888716,0.304467,0,6.16,-1.48938,0.645414,6.55196,-0.966236,0.784727,0,6.16,-1.72412,0.373286,6.54875,-1.31703,0.381917,0,6.16,-1.53103,0.53716,6.59731,-1.04714,0.610662,0,5.98989,-1.86,0.396211,6.53798,-1.53064,0.377825,0,6.16,-1.62789,0.487717,6.55562,-1.17305,0.550566,0,6.16,-1.60713,0.611723,6.50891,-1.12779,0.75002,0,6.16,-1.29616,0.101899,6.549,-0.682275,-0.0173767,0,6.16,-1.80574,0.0937061,6.57992,-1.43726,-0.0266813,0,6.16,-1.39962,0.424801,6.5143,-0.819174,0.466632,0,6.16,-1.65845,0.135852,6.57386,-1.22094,0.030192,0,6.16,-1.76523,0.472242,6.59068,-1.38131,0.518006,0,6.16,-1.24569,0.641209,6.56781,-0.615235,0.775562,0,6.16,-1.00194,0.424181,6.55515,-0.249067,0.458584,0,
0.133336,7.52986,-1.89881,0.153626,8.57611,-1.55201,0.0556905,6.16,-1.41175,0.538974,6.57762,-0.86662,0.620374,0,6.16,-1.37841,0.639139,6.58878,-0.8212,0.760039,0,6.16,-1.0193,0.663747,6.64283,-0.337772,0.772976,0,6.16,-1.51746,0.410857,6.53357,-1.00399,0.439367,0,6.16,-1.13508,0.389044,6.61119,-0.484876,0.395032,0,5.69133,-1.86,0.739731,6.58312,-1.55042,0.690977,0,6.16,-1.03642,0.534939,6.63224,-0.355071,0.59998,0,6.16,-1.41804,0.192533,6.51697,-0.852306,0.116967,0,6.16,-1.28481,0.404913,6.55486,-0.670056,0.428736,0,6.16,-1.69601,0.567657,6.60273,-1.2836,0.652519,0,6.16,-1.54967,0.203498,6.59819,-1.07127,0.12895,0,6.16,-1.15083,0.601856,6.62323,-0.508777,0.696551,0,6.16,-1.16184,0.242136,6.58674,-0.508376,0.184858,0,5.85411,-1.86,0.530512,6.59849,-1.54195,0.505266,0,6.16,-1.09949,0.12863,6.67774,-0.46951,0.0234314,0,6.12386,-1.86,0.247648,6.62719,-1.52155,0.186029,0,6.16,-1.69808,0.236016,6.56788,-1.28029,0.176695,0,6.16,-1.43606,0.320877,6.62041,-0.910345,0.29723,0,6.16,-1.48938,0.645414,6.59331,-0.978546,0.76844,0,6.16,-1.72412,0.373286,6.61512,-1.32618,0.372169,0,6.16,-1.53103,0.53716,6.66582,-1.06716,0.591001,0,5.98989,-1.86,0.396211,6.6272,-1.53526,0.363633,0,6.16,-1.62789,0.487717,6.61919,-1.18755,0.534696,0,6.16,-1.60713,0.611723,6.56382,-1.14177,0.730753,0,6.16,-1.29616,0.101899,6.61562,-0.716096,-0.0149141,0,6.16,-1.80574,0.0937061,6.677,-1.44689,-0.0220957,0,6.16,-1.39962,0.424801,6.54872,-0.831358,0.462377,0,6.16,-1.65845,0.135852,6.64203,-1.23434,0.0311996,0,6.16,-1.76523,0.472242,6.67193,-1.39108,0.499632,0,6.16,-1.24569,0.641209,6.60726,-0.637145,0.75689,0,6.16,-1.00194,0.424181,6.56291,-0.254074,0.452987,0,
0.16667,7.53079,-1.88892,0.153275,8.57757,-1.53683,0.0560995,6.16,-1.41175,0.538974,6.64864,-0.897103,0.596713,0,6.16,-1.37841,0.639139,6.65463,-0.852764,0.733281,0,6.16,-1.0193,0.663747,6.69005,-0.37569,0.754109,0,6.16,-1.51746,0.410857,6.62998,-1.03929,0.420667,0,6.16,-1.13508,0.389044,6.66175,-0.517678,0.384188,0,5.69133,-1.86,0.739731,6.68295,-1.55934,0.656859,0,6.16,-1.03642,0.534939,6.6844,-0.395257,0.584178,0,6.16,-1.41804,0.192533,6.60342,-0.889766,0.111435,0,6.16,-1.28481,0.404913,6.62676,-0.709695,0.412907,0,6.16,-1.69601,0.567657,6.68515,-1.30133,0.625299,0,6.16,-1.54967,0.203498,6.67819,-1.09647,0.124095,0,6.16,-1.15083,0.601856,6.68228,-0.549431,0.673246,0,6.16,-1.16184,0.242136,6.65041,-0.549173,0.17918,0,5.85411,-1.86,0.530512,6.69291,-1.55013,0.480282,0,6.16,-1.09949,0.12863,6.71466,-0.495134,0.0208208,0,6.12386,-1.86,0.247648,6.70824,-1.52872,0.177724,0,6.16,-1.69808,0.236016,6.67039,-1.30096,0.169167,0,6.16,-1.43606,0.320877,6.69035,-0.939885,0.286919,0,6.16,-1.48938,0.645414,6.67604,-1.01148,0.736348,0,6.16,-1.72412,0.373286,6.69934,-1.3423,0.354295,0,6.16,-1.53103,0.53716,6.74626,-1.09447,0.567368,0,5.98989,-1.86,0.396211,6.7071,-1.5411,0.347359,0,6.16,-1.62789,0.487717,6.70812,-1.21167,0.511129,0,6.16,-1.60713,0.611723,6.65404,-1.16872,0.697771,0,6.16,-1.29616,0.101899,6.66874,-0.743477,-0.0138162,0,6.16,-1.80574,0.0937061,6.7493,-1.45462,-0.0247787,0,6.16,-1.39962,0.424801,6.61239,-0.861756,0.447005,0,6.16,-1.65845,0.135852,6.74158,-1.25829,0.0301133,0,6.16,-1.76523,0.472242,6.76054,-1.40505,0.477958,0,6.16,-1.24569,0.641209,6.67046,-0.674751,0.731373,0,6.16,-1.00194,0.424181,6.62258,-0.304743,0.439325,0,
0.200004,7.53079,-1.88892,0.153275,8.57708,-1.5422,0.0559541,6.16,-1.41175,0.538974,6.72877,-0.938281,0.573882,0,6.16,-1.37841,0.639139,6.72091,-0.889612,0.711474,0,6.16,-1.0193,0.663747,6.73033,-0.408988,0.743288,0,6.16,-1.51746,0.410857,6.70947,-1.07303,0.40615,0,6.16,-1.13508,0.389044,6.7091,-0.55345,0.375579,0,5.69133,-1.86,0.739731,6.7598,-1.57202,0.631998,0,6.16,-1.03642,0.534939,6.72184,-0.42622,0.571899,0,6.16,-1.41804,0.192533,6.67911,-0.927655,0.108528,0,6.16,-1.28481,0.404913,6.70403,-0.756289,0.397146,0,6.16,-1.69601,0.567657,6.74848,-1.32198,0.607236,0,6.16,-1.54967,0.203498,6.74224,-1.12391,0.121243,0,6.16,-1.15083,0.601856,6.72623,-0.582,0.660779,0,6.16,-1.16184,0.242136,6.73453,-0.607189,0.172057,0,5.85411,-1.86,0.530512,6.76731,-1.56291,0.461948,0,6.16,-1.09949,0.12863,6.76263,-0.533731,0.0217788,0,6.12386,-1.86,0.247648,6.79577,-1.54368,0.169507,0,6.16,-1.69808,0.236016,6.73954,-1.32202,0.166041,0,6.16,-1.43606,0.320877,6.7446,-0.968674,0.282133,0,6.16,-1.48938,0.645414,6.74318,-1.04304,0.713062,0,6.16,-1.72412,0.373286,6.7569,-1.36037,0.34514,0,6.16,-1.53103,0.53716,6.79957,-1.11922,0.551906,0,5.98989,-1.86,0.396211,6.76711,-1.55338,0.33685,0,6.16,-1.62789,0.487717,6.76065,-1.23221,0.497979,0,6.16,-1.60713,0.611723,6.72554,-1.19556,0.675569,0,6.16,-1.29616,0.101899,6.72574,-0.779514,-0.012965,0,6.16,-1.80574,0.0937061,6.81265,-1.47087,-0.0211705,0,6.16,-1.39962,0.424801,6.66984,-0.893304,0.436987,0,6.16,-1.65845,0.135852,6.80393,-1.28001,0.0308923,0,6.16,-1.76523,0.472242,6.82485,-1.42263,0.463608,0,6.16,-1.24569,0.641209,6.72899,-0.713265,0.713047,0,6.16,-1.00194,0.424181,6.66406,-0.338252,0.434682,0,
0.233338,7.53079,-1.88892,0.153275,8.5785,-1.52742,0.0563525,6.16,-1.41175,0.538974,6.75615,-0.947902,0.566196,0,6.16,-1.37841,0.639139,6.7551,-0.904078,0.698087,0,6.16,-1.0193,0.663747,6.75309,-0.426276,0.732601,0,6.16,-1.51746,0.410857,6.7566,-1.08788,0.395716,0,6.16,-1.13508,0.389044,6.73846,-0.572089,0.370182,0,5.69133,-1.86,0.739731,6.79878,-1.57323,0.618243,0,6.16,-1.03642,0.534939,6.74348,-0.441954,0.564385,0,6.16,-1.41804,0.192533,6.72773,-0.946921,0.106839,0,6.16,-1.28481,0.404913,6.74214,-0.774765,0.388883,0,6.16,-1.69601,0.567657,6.78055,-1.32753,0.596813,0,6.16,-1.54967,0.203498,6.78829,-1.13765,0.120199,0,6.16,-1.15083,0.601856,6.75572,-0.600832,0.649944,0,6.16,-1.16184,0.242136,6.77697,-0.631714,0.16783,0,5.85411,-1.86,0.530512,6.81394,-1.56505,0.450993,0,6.16,-1.09949,0.12863,6.78967,-0.551355,0.0222284,0,6.12386,-1.86,0.247648,6.85155,-1.54658,0.164844,0,6.16,-1.69808,0.236016,6.78875,-1.33106,0.162187,0,6.16,-1.43606,0.320877,6.77301,-0.97932,0.276539,0,6.16,-1.48938,0.645414,6.77937,-1.0553,0.699178,0,6.16,-1.72412,0.373286,6.80557,-1.36864,0.335965,0,6.16,-1.53103,0.53716,6.83641,-1.13072,0.540583,0,5.98989,-1.86,0.396211,6.81235,-1.55605,0.329542,0,6.16,-1.62789,0.487717,6.79507,-1.24038,0.488168,0,6.16,-1.60713,0.611723,6.77414,-1.20815,0.659316,0,6.16,-1.29616,0.101899,6.75053,-0.790881,-0.0134367,0,6.16,-1.80574,0.0937061,6.85845,-1.47534,-0.0210714,0,6.16,-1.39962,0.424801,6.71326,-0.911966,0.426726,0,6.16,-1.65845,0.135852,6.83546,-1.28613,0.030874,0,6.16,-1.76523,0.472242,6.86307,-1.42738,0.454605,0,6.16,-1.24569,0.641209,6.75722,-0.728089,0.702413,0,6.16,-1.00194,0.424181,6.70069,-0.367235,0.424704,0,
0.266672,7.5368,-1.84298,0.153496,8.58138,-1.49643,0.0571899,6.16,-1.41175,0.538974,6.78942,-0.956229,0.560141,0,6.16,-1.37841,0.639139,6.78933,-0.91366,0.688886,0,6.16,-1.0193,0.663747,6.77929,-0.442909,0.724874,0,6.16,-1.51746,0.410857,6.80619,-1.0981,0.388478,0,6.16,-1.13508,0.389044,6.76987,-0.58834,0.367817,0,5.69133,-1.86,0.739731,6.85383,-1.57001,0.605058,0,6.16,-1.03642,0.534939,6.77752,-0.463699,0.559314,0,6.16,-1.41804,0.192533,6.77451,-0.960211,0.10794,0,6.16,-1.28481,0.404913,6.77697,-0.787691,0.385121,0,6.16,-1.69601,0.567657,6.81793,-1.3287,0.587652,0,6.16,-1.54967,0.203498,6.84095,-1.14712,0.12062,0,6.16,-1.15083,0.601856,6.79308,-0.620568,0.639513,0,6.16,-1.16184,0.242136,6.79075,-0.633807,0.172516,0,5.85411,-1.86,0.530512,6.86911,-1.56157,0.441599,0,6.16,-1.09949,0.12863,6.81198,-0.562359,0.0257601,0,6.12386,-1.86,0.247648,6.89617,-1.54214,0.165173,0,6.16,-1.69808,0.236016,6.84083,-1.33422,0.160679,0,6.16,-1.43606,0.320877,6.80765,-0.987494,0.275524,0,6.16,-1.48938,0.645414,6.82693,-1.06638,0.684861,0,6.16,-1.72412,0.373286,6.85916,-1.37069,0.331922,0,6.16,-1.53103,0.53716,6.86042,-1.13122,0.537296,0,5.98989,-1.86,0.396211,6.86906,-1.55284,0.324115,0,6.16,-1.62789,0.487717,6.83436,-1.24367,0.481897,0,6.16,-1.60713,0.611723,6.81811,-1.21344,0.643737,0,6.16,-1.29616,0.101899,6.75858,-0.788495,-0.00666779,0,6.16,-1.80574,0.0937061,6.89804,-1.47224,-0.0152327,0,6.16,-1.39962,0.424801,6.7533,-0.923411,0.421897,0,6.16,-1.65845,0.135852,6.88608,-1.29076,0.034361,0,6.16,-1.76523,0.472242,6.91192,-1.42703,0.447147,0,6.16,-1.24569,0.641209,6.79452,-0.742843,0.694788,0,6.16,-1.00194,0.424181,6.72679,-0.383698,0.423077,0,
0.300007,7.53969,-1.81607,0.153484,8.58257,-1.48126,0.0576049,6.16,-1.41175,0.538974,6.84744,-0.979668,0.544871,0,6.16,-1.37841,0.639139,6.835,-0.933335,0.673479,0,6.16,-1.0193,0.663747,6.81465,-0.468797,0.712329,0,6.16,-1.51746,0.410857,6.84622,-1.10996,0.382304,0,6.16,-1.13508,0.389044,6.81721,-0.617879,0.360984,0,5.69133,-1.86,0.739731,6.90851,-1.5719,0.588033,0,6.16,-1.03642,0.534939,6.79783,-0.47753,0.552318,0,6.16,-1.41804,0.192533,6.81709,-0.976332,0.107566,0,6.16,-1.28481,0.404913,6.82749,-0.812989,0.376327,0,6.16,-1.69601,0.567657,6.86974,-1.33818,0.573067,0,6.16,-1.54967,0.203498,6.87402,-1.15575,0.118759,0,6.16,-1.15083,0.601856,6.82614,-0.639802,0.630968,0,6.16,-1.16184,0.242136,6.81882,-0.651432,0.171937,0,5.85411,-1.86,0.530512,6.92361,-1.5634,0.430748,0,6.16,-1.09949,0.12863,6.82894,-0.572956,0.0268481,0,6.12386,-1.86,0.247648,6.95107,-1.54477,0.161966,0,6.16,-1.69808,0.236016,6.91021,-1.34558,0.15975,0,6.16,-1.43606,0.320877,6.84733,-1.00245,0.271792,0,6.16,-1.48938,0.645414,6.85034,-1.07324,0.677225,0,6.16,-1.72412,0.373286,6.9181,-1.37929,0.323547,0,6.16,-1.53103,0.53716,6.90632,-1.1456,0.525414,0,5.98989,-1.86,0.396211,6.92334,-1.55482,0.316783,0,6.16,-1.62789,0.487717,6.89431,-1.25742,0.468928,0,6.16,-1.60713,0.611723,6.87219,-1.22621,0.630232,0,6.16,-1.29616,0.101899,6.78528,-0.802741,-0.00383855,0,6.16,-1.80574,0.0937061,6.95082,-1.47691,-0.0109084,0,6.16,-1.39962,0.424801,6.80493,-0.944547,0.412697,0,6.16,-1.65845,0.135852,6.92782,-1.29848,0.0366522,0,6.16,-1.76523,0.472242,6.96279,-1.43279,0.436851,0,6.16,-1.24569,0.641209,6.83605,-0.76475,0.681698,0,6.16,-1.00194,0.424181,6.75238,-0.40258,0.418446,0,
