time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,6.38888,3.19878,0.205709,6.43694,3.20309,0.25004,5.77371,1.86,0.32113,5.4687,1.09596,0.431704,0,5.57068,1.86,0.304727,5.20844,1.19297,0.398712,0,5.5942,1.86,0.455374,5.21578,1.14584,0.633689,0,5.13466,1.86,0.0496149,4.7201,1.37051,0.0363719,0,5.64951,1.86,0.57671,5.30412,1.15191,0.818459,0,5.91729,1.86,0.606465,5.70603,1.12813,0.871167,0,5.60052,1.86,0.198909,5.25834,1.20164,0.239874,0,5.93448,1.86,0.506217,5.70126,1.03562,0.736557,0,5.44805,1.86,0.240591,5.03956,1.21466,0.301849,0,5.47579,1.86,0.0636843,5.13774,1.29821,0.0479615,0,6.09184,1.86,0.269775,5.93827,0.955584,0.357593,0,5.73863,1.86,0.466676,5.41435,1.09771,0.660439,0,6.04592,1.86,0.410447,5.8709,0.993529,0.587946,0,5.81163,1.86,0.150426,5.59078,1.24066,0.169005,0,5.6096,1.86,0.0553445,5.23784,1.14307,0.0186705,0,5.76673,1.86,0.609782,5.4606,1.10215,0.884149,0,5.02315,1.86,0.195933,4.57717,1.38002,0.236728,0,5.92626,1.86,0.104344,5.71412,1.11133,0.0916648,0,5.45509,1.86,0.386682,5.07152,1.24548,0.514664,0,5.85163,1.86,0.0149543,5.58433,1.07847,-0.052683,0,5.32142,1.86,0.0505852,4.91676,1.29652,0.0291269,0,5.73092,1.86,0.019171,5.42322,1.14044,-0.0373572,0,
0.0333341,6.38888,3.19878,0.205709,6.42717,3.20608,0.250355,5.77371,1.86,0.32113,5.54289,1.23282,0.419516,0,5.57068,1.86,0.304727,5.28683,1.30336,0.388539,0,5.5942,1.86,0.455374,5.294,1.25799,0.610677,0,5.13466,1.86,0.0496149,4.77122,1.41667,0.0416012,0,5.64951,1.86,0.57671,5.3609,1.23947,0.796335,0,5.91729,1.86,0.606465,5.77008,1.27815,0.823474,0,5.60052,1.86,0.198909,5.33167,1.30867,0.239919,0,5.93448,1.86,0.506217,5.77148,1.20385,0.695747,0,5.44805,1.86,0.240591,5.11884,1.31092,0.300366,0,5.47579,1.86,0.0636843,5.20442,1.38278,0.0566912,0,6.09184,1.86,0.269775,5.98919,1.13173,0.348453,0,5.73863,1.86,0.466676,5.50049,1.24682,0.627646,0,6.04592,1.86,0.410447,5.92477,1.15901,0.559496,0,5.81163,1.86,0.150426,5.65229,1.36246,0.17321,0,5.6096,1.86,0.0553445,5.2971,1.22895,0.0280033,0,5.76673,1.86,0.609782,5.53027,1.22762,0.842786,0,5.02315,1.86,0.195933,4.63789,1.42951,0.236116,0,5.92626,1.86,0.104344,5.77143,1.24934,0.101171,0,5.45509,1.86,0.386682,5.15214,1.34416,0.502369,0,5.85163,1.86,0.0149543,5.65386,1.22378,-0.0350896,0,5.32142,1.86,0.0505852,4.98925,1.37294,0.0397325,0,5.73092,1.86,0.019171,5.50505,1.28177,-0.0145378,0,
0.0666681,6.36221,3.20699,0.206125,6.40123,3.21413,0.251195,5.77371,1.86,0.32113,5.57487,1.29685,0.415052,0,5.57068,1.86,0.304727,5.32394,1.35783,0.384182,0,5.5942,1.86,0.455374,5.32708,1.30806,0.599609,0,5.13466,1.86,0.0496149,4.79478,1.4355,0.0426463,0,5.64951,1.86,0.57671,5.38716,1.28142,0.784503,0,5.91729,1.86,0.606465,5.79613,1.34786,0.802382,0,5.60052,1.86,0.198909,5.36396,1.35859,0.238827,0,5.93448,1.86,0.506217,5.79324,1.26612,0.680936,0,5.44805,1.86,0.240591,5.15152,1.35193,0.297367,0,5.47579,1.86,0.0636843,5.23163,1.41877,0.0598131,0,6.09184,1.86,0.269775,6.00779,1.20909,0.342339,0,5.73863,1.86,0.466676,5.53053,1.30514,0.616074,0,6.04592,1.86,0.410447,5.94871,1.24287,0.546768,0,5.81163,1.86,0.150426,5.68353,1.4305,0.174846,0,5.6096,1.86,0.0553445,5.34868,1.30468,0.0355048,0,5.76673,1.86,0.609782,5.5527,1.27345,0.828154,0,5.02315,1.86,0.195933,4.6559,1.44187,0.235494,0,5.92626,1.86,0.104344,5.79541,1.31448,0.105272,0,5.45509,1.86,0.386682,5.16171,1.36048,0.494927,0,5.85163,1.86,0.0149543,5.68375,1.29253,-0.0255213,0,5.32142,1.86,0.0505852,5.02147,1.40715,0.0432268,0,5.73092,1.86,0.019171,5.52519,1.32351,-0.00570291,0,
0.100002,6.36221,3.20699,0.206125,6.38676,3.21845,0.251658,5.77371,1.86,0.32113,5.60747,1.35906,0.407599,0,5.57068,1.86,0.304727,5.35354,1.401,0.380873,0,5.5942,1.86,0.455374,5.36031,1.35685,0.589485,0,5.13466,1.86,0.0496149,4.82211,1.45973,0.0455115,0,5.64951,1.86,0.57671,5.4185,1.32966,0.77136,0,5.91729,1.86,0.606465,5.81849,1.40291,0.78627,0,5.60052,1.86,0.198909,5.39782,1.40895,0.23902,0,5.93448,1.86,0.506217,5.81928,1.33074,0.666036,0,5.44805,1.86,0.240591,5.1825,1.39091,0.293454,0,5.47579,1.86,0.0636843,5.26564,1.46198,0.0633585,0,6.09184,1.86,0.269775,6.03176,1.29575,0.338849,0,5.73863,1.86,0.466676,5.56693,1.37023,0.60215,0,6.04592,1.86,0.410447,5.97204,1.31914,0.534508,0,5.81163,1.86,0.150426,5.69701,1.46058,0.176423,0,5.6096,1.86,0.0553445,5.39044,1.36889,0.0426902,0,5.76673,1.86,0.609782,5.58755,1.33644,0.808587,0,5.02315,1.86,0.195933,4.67751,1.45908,0.235874,0,5.92626,1.86,0.104344,5.82155,1.37916,0.111153,0,5.45509,1.86,0.386682,5.18616,1.38889,0.490737,0,5.85163,1.86,0.0149543,5.71325,1.3568,-0.0175478,0,5.32142,1.86,0.0505852,5.07719,1.46778,0.0465855,0,5.73092,1.86,0.019171,5.56109,1.38555,0.00103825,0,
0.133336,6.33545,3.21487,0.206526,6.37547,3.22176,0.252018,5.77371,1.86,0.32113,5.64298,1.42651,0.401222,0,5.57068,1.86,0.304727,5.38837,1.4509,0.380935,0,5.5942,1.86,0.455374,5.40101,1.41634,0.577618,0,5.13466,1.86,0.0496149,4.85283,1.48752,0.0487,0,5.64951,1.86,0.57671,5.45702,1.3894,0.754943,0,5.91729,1.86,0.606465,5.84308,1.4612,0.767099,0,5.60052,1.86,0.198909,5.43178,1.45954,0.238457,0,5.93448,1.86,0.506217,5.85282,1.41487,0.644576,0,5.44805,1.86,0.240591,5.22422,1.44196,0.293588,0,5.47579,1.86,0.0636843,5.29957,1.50539,0.0681897,0,6.09184,1.86,0.269775,6.05761,1.39221,0.333704,0,5.73863,1.86,0.466676,5.60252,1.43468,0.588559,0,6.04592,1.86,0.410447,5.99666,1.39905,0.521519,0,5.81163,1.86,0.150426,5.7309,1.52632,0.178166,0,5.6096,1.86,0.0553445,5.42469,1.42152,0.0476302,0,5.76673,1.86,0.609782,5.62313,1.40258,0.787559,0,5.02315,1.86,0.195933,4.71358,1.48815,0.235535,0,5.92626,1.86,0.104344,5.85523,1.46383,0.1136,0,5.45509,1.86,0.386682,5.23518,1.44842,0.483872,0,5.85163,1.86,0.0149543,5.74865,1.43283,-0.00450429,0,5.32142,1.86,0.0505852,5.12046,1.5169,0.0510373,0,5.73092,1.86,0.019171,5.59454,1.44533,0.0089778,0,
0.16667,6.30896,3.22229,0.206913,6.36106,3.22586,0.252474,5.77371,1.86,0.32113,5.66629,1.47453,0.3969,0,5.57068,1.86,0.304727,5.41937,1.49727,0.377229,0,5.5942,1.86,0.455374,5.42661,1.45684,0.569711,0,5.13466,1.86,0.0496149,4.86365,1.49894,0.0508017,0,5.64951,1.86,0.57671,5.4833,1.43337,0.742438,0,5.91729,1.86,0.606465,5.86042,1.50676,0.753367,0,5.60052,1.86,0.198909,5.45784,1.50061,0.238348,0,5.93448,1.86,0.506217,5.87197,1.4689,0.632444,0,5.44805,1.86,0.240591,5.25075,1.47714,0.292566,0,5.47579,1.86,0.0636843,5.31981,1.53324,0.0715246,0,6.09184,1.86,0.269775,6.07064,1.44943,0.330127,0,5.73863,1.86,0.466676,5.62335,1.47564,0.580418,0,6.04592,1.86,0.410447,6.01286,1.45866,0.510694,0,5.81163,1.86,0.150426,5.749,1.56698,0.180154,0,5.6096,1.86,0.0553445,5.45877,1.47508,0.0539874,0,5.76673,1.86,0.609782,5.63565,1.43001,0.779164,0,5.02315,1.86,0.195933,4.73571,1.5075,0.236025,0,5.92626,1.86,0.104344,5.8729,1.51352,0.117621,0,5.45509,1.86,0.386682,5.27173,1.49679,0.4769,0,5.85163,1.86,0.0149543,5.76919,1.48257,-7.65026e-05,0,5.32142,1.86,0.0505852,5.14419,1.54507,0.0543683,0,5.73092,1.86,0.019171,5.63115,1.5145,0.0161096,0,
0.200004,6.30896,3.22229,0.206913,6.34956,3.22904,0.252834,5.77371,1.86,0.32113,5.69141,1.52404,0.39188,0,5.57068,1.86,0.304727,5.44373,1.5339,0.37337,0,5.5942,1.86,0.455374,5.45589,1.50112,0.560371,0,5.13466,1.86,0.0496149,4.8828,1.51596,0.0527235,0,5.64951,1.86,0.57671,5.51212,1.48043,0.724842,0,5.91729,1.86,0.606465,5.88078,1.55766,0.736096,0,5.60052,1.86,0.198909,5.48287,1.53913,0.238258,0,5.93448,1.86,0.506217,5.89312,1.52451,0.619544,0,5.44805,1.86,0.240591,5.27858,1.51272,0.290929,0,5.47579,1.86,0.0636843,5.34956,1.57185,0.0744958,0,6.09184,1.86,0.269775,6.08591,1.50951,0.325879,0,5.73863,1.86,0.466676,5.64806,1.5211,0.570919,0,6.04592,1.86,0.410447,6.02824,1.51156,0.502624,0,5.81163,1.86,0.150426,5.76115,1.59267,0.1798,0,5.6096,1.86,0.0553445,5.48572,1.51812,0.057765,0,5.76673,1.86,0.609782,5.66164,1.47775,0.76317,0,5.02315,1.86,0.195933,4.76015,1.52849,0.234374,0,5.92626,1.86,0.104344,5.89138,1.56113,0.122407,0,5.45509,1.86,0.386682,5.29933,1.53331,0.472678,0,5.85163,1.86,0.0149543,5.79408,1.53822,0.00815049,0,5.32142,1.86,0.0505852,5.16031,1.56368,0.0562145,0,5.73092,1.86,0.019171,5.65081,1.55271,0.0211737,0,
0.233338,6.282,3.22954,0.207292,6.33511,3.23291,0.253284,5.77371,1.86,0.32113,5.70635,1.55672,0.390857,0,5.57068,1.86,0.304727,5.46558,1.56809,0.37324,0,5.5942,1.86,0.455374,5.4756,1.53362,0.556909,0,5.13466,1.86,0.0496149,4.89786,1.53047,0.0581383,0,5.64951,1.86,0.57671,5.53769,1.5242,0.714069,0,5.91729,1.86,0.606465,5.89434,1.59595,0.72653,0,5.60052,1.86,0.198909,5.49888,1.56576,0.24023,0,5.93448,1.86,0.506217,5.90662,1.56468,0.612655,0,5.44805,1.86,0.240591,5.299,1.54046,0.29262,0,5.47579,1.86,0.0636843,5.36753,1.59759,0.0805618,0,6.09184,1.86,0.269775,6.09602,1.55567,0.325512,0,5.73863,1.86,0.466676,5.66367,1.55301,0.566143,0,6.04592,1.86,0.410447,6.04007,1.55723,0.496763,0,5.81163,1.86,0.150426,5.77372,1.62034,0.183399,0,5.6096,1.86,0.0553445,5.51189,1.56094,0.0650054,0,5.76673,1.86,0.609782,5.69809,1.55173,0.742266,0,5.02315,1.86,0.195933,4.77498,1.54174,0.236291,0,5.92626,1.86,0.104344,5.90555,1.60179,0.125843,0,5.45509,1.86,0.386682,5.32606,1.56992,0.471377,0,5.85163,1.86,0.0149543,5.80918,1.57617,0.0154079,0,5.32142,1.86,0.0505852,5.17403,1.5796,0.0615799,0,5.73092,1.86,0.019171,5.66684,1.58429,0.0276102,0,
0.266672,6.282,3.22954,0.207292,6.32349,3.23605,0.253646,5.77371,1.86,0.32113,5.71856,1.5826,0.391252,0,5.57068,1.86,0.304727,5.47903,1.58971,0.372454,0,5.5942,1.86,0.455374,5.49073,1.55838,0.554208,0,5.13466,1.86,0.0496149,4.90487,1.53855,0.0596777,0,5.64951,1.86,0.57671,5.55261,1.55093,0.708044,0,5.91729,1.86,0.606465,5.90658,1.62866,0.717338,0,5.60052,1.86,0.198909,5.51268,1.588,0.241481,0,5.93448,1.86,0.506217,5.91619,1.59178,0.60708,0,5.44805,1.86,0.240591,5.3136,1.56071,0.293785,0,5.47579,1.86,0.0636843,5.37468,1.60846,0.0814515,0,6.09184,1.86,0.269775,6.10231,1.58346,0.324268,0,5.73863,1.86,0.466676,5.67568,1.57681,0.563089,0,6.04592,1.86,0.410447,6.04799,1.58723,0.492433,0,5.81163,1.86,0.150426,5.78827,1.65166,0.18535,0,5.6096,1.86,0.0553445,5.5225,1.57993,0.0679899,0,5.76673,1.86,0.609782,5.71579,1.59093,0.731926,0,5.02315,1.86,0.195933,4.78862,1.55523,0.240705,0,5.92626,1.86,0.104344,5.91217,1.62096,0.127923,0,5.45509,1.86,0.386682,5.33589,1.58488,0.470158,0,5.85163,1.86,0.0149543,5.81957,1.60128,0.0195529,0,5.32142,1.86,0.0505852,5.17005,1.57875,0.0650849,0,5.73092,1.86,0.019171,5.68198,1.61341,0.0318282,0,
0.300007,6.25618,3.23602,0.207618,6.29821,3.24238,0.254418,5.77371,1.86,0.32113,5.73531,1.62393,0.387309,0,5.57068,1.86,0.304727,5.4872,1.60597,0.370201,0,5.5942,1.86,0.455374,5.51218,1.59576,0.54589,0,5.13466,1.86,0.0496149,4.92502,1.55466,0.0624502,0,5.64951,1.86,0.57671,5.5682,1.58161,0.698831,0,5.91729,1.86,0.606465,5.92044,1.67796,0.701256,0,5.60052,1.86,0.198909,5.53144,1.62191,0.240789,0,5.93448,1.86,0.506217,5.92697,1.63291,0.5959,0,5.44805,1.86,0.240591,5.33389,1.58938,0.28964,0,5.47579,1.86,0.0636843,5.39156,1.63297,0.0851566,0,6.09184,1.86,0.269775,6.10826,1.62543,0.32156,0,5.73863,1.86,0.466676,5.69602,1.62255,0.552566,0,6.04592,1.86,0.410447,6.05556,1.63005,0.48569,0,5.81163,1.86,0.150426,5.8005,1.68797,0.185936,0,5.6096,1.86,0.0553445,5.54241,1.61583,0.0715303,0,5.76673,1.86,0.609782,5.7333,1.63457,0.717587,0,5.02315,1.86,0.195933,4.80805,1.56878,0.238518,0,5.92626,1.86,0.104344,5.92077,1.65451,0.130399,0,5.45509,1.86,0.386682,5.35742,1.61487,0.463308,0,5.85163,1.86,0.0149543,5.83071,1.63636,0.0231835,0,5.32142,1.86,0.0505852,5.19713,1.60741,0.0660464,0,5.73092,1.86,0.019171,5.6908,1.63728,0.0351468,0,
