time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,2.45343,3.36637,0.260505,2.54174,3.29858,0.342221,1.89219,1.86,0.392308,1.6956,1.02753,0.540931,0,2.42713,1.86,0.426313,2.50053,0.93811,0.602041,0,2.43291,1.86,0.558914,2.51043,1.00011,0.797544,0,2.25116,1.86,0.62053,2.2357,1.01948,0.88693,0,2.79576,1.86,0.618224,3.03923,1.10947,0.86207,0,2.65876,1.86,0.347121,2.85485,1.00146,0.474305,0,2.87233,1.86,0.148473,3.18674,0.979183,0.169721,0,2.10436,1.86,0.54284,2.01836,1.03999,0.765544,0,2.8789,1.86,0.495088,3.19235,0.995089,0.700937,0,2.56546,1.86,0.0982805,2.71745,0.93596,0.0877836,0,1.99269,1.86,0.0568294,1.8462,1.02458,0.0347525,0,2.61496,1.86,0.588747,2.78653,1.01572,0.839661,0,1.94906,1.86,0.270312,1.76232,0.97075,0.357376,0,2.43341,1.86,0.231785,2.51128,1.00674,0.298525,0,2.90601,1.86,0.613893,3.20782,1.08159,0.862317,0,2.08374,1.86,0.360443,1.97991,1.0093,0.494099,0,2.00072,1.86,0.505987,1.85992,1.02985,0.71194,0,2.30725,1.86,0.383945,2.32051,1.01896,0.529025,0,2.29319,1.86,0.168671,2.2834,0.870044,0.194167,0,2.72807,1.86,0.519903,2.97232,0.936888,0.748906,0,2.61415,1.86,0.216848,2.79618,0.913742,0.273104,0,2.32374,1.86,0.272471,2.33618,0.911124,0.361185,0,2.93069,1.86,0.289008,3.29558,0.919244,0.387242,0,2.79347,1.86,0.0608702,3.07612,0.931328,0.0284946,0,2.81052,1.86,0.290666,3.07224,1.06071,0.387027,0,2.23304,1.86,0.0518304,2.1978,0.947731,0.0165608,0,2.73224,1.86,0.173336,2.98342,0.912298,0.204133,0,2.76698,1.86,0.421841,3.03469,0.930363,0.595862,0,2.93598,1.86,0.0440719,3.27483,1.01009,0.0134121,0,2.67866,1.86,0.0640396,2.89125,0.960966,0.0373408,0,2.15907,1.86,0.126237,2.09401,1.00738,0.137997,0,1.96304,1.86,0.164143,1.84487,1.15798,0.205286,0,2.52114,1.86,0.294733,2.64691,0.959026,0.39538,0,
0.033334,2.42639,3.36555,0.261023,2.52656,3.29779,0.342544,1.89219,1.86,0.392308,1.72955,1.09761,0.535436,0,2.42713,1.86,0.426313,2.50862,1.0238,0.591113,0,2.43291,1.86,0.558914,2.51803,1.07877,0.781097,0,2.25116,1.86,0.62053,2.25191,1.09239,0.868667,0,2.79576,1.86,0.618224,3.02778,1.18364,0.844655,0,2.65876,1.86,0.347121,2.84957,1.08876,0.46996,0,2.87233,1.86,0.148473,3.16836,1.0753,0.175849,0,2.10436,1.86,0.54284,2.04303,1.11609,0.751194,0,2.8789,1.86,0.495088,3.17484,1.08368,0.687041,0,2.56546,1.86,0.0982805,2.71789,1.03172,0.0978952,0,1.99269,1.86,0.0568294,1.87339,1.09663,0.0448573,0,2.61496,1.86,0.588747,2.78292,1.08857,0.822701,0,1.94906,1.86,0.270312,1.79711,1.05006,0.352476,0,2.43341,1.86,0.231785,2.51427,1.05831,0.297814,0,2.90601,1.86,0.613893,3.18728,1.17244,0.839484,0,2.08374,1.86,0.360443,2.02065,1.12799,0.485396,0,2.00072,1.86,0.505987,1.89163,1.10969,0.698056,0,2.30725,1.86,0.383945,2.33549,1.10579,0.522471,0,2.29319,1.86,0.168671,2.30944,1.00908,0.202732,0,2.72807,1.86,0.519903,2.96524,1.00965,0.736586,0,2.61415,1.86,0.216848,2.79343,1.01107,0.275751,0,2.32374,1.86,0.272471,2.3546,1.021,0.360123,0,2.93069,1.86,0.289008,3.27081,1.0233,0.384131,0,2.79347,1.86,0.0608702,3.06387,1.01915,0.0408811,0,2.81052,1.86,0.290666,3.05839,1.14657,0.385958,0,2.23304,1.86,0.0518304,2.21806,1.03552,0.0285105,0,2.73224,1.86,0.173336,2.97848,0.965482,0.207238,0,2.76698,1.86,0.421841,3.02724,1.00004,0.587459,0,2.93598,1.86,0.0440719,3.253,1.10404,0.028005,0,2.67866,1.86,0.0640396,2.88497,1.04833,0.0477263,0,2.15907,1.86,0.126237,2.1216,1.11032,0.148153,0,1.96304,1.86,0.164143,1.86351,1.20402,0.208626,0,2.52114,1.86,0.294733,2.64921,1.05508,0.393871,0,
0.0666681,2.4153,3.36527,0.260909,2.51512,3.29725,0.34279,1.89219,1.86,0.392308,1.75944,1.15532,0.529512,0,2.42713,1.86,0.426313,2.51871,1.10121,0.581728,0,2.43291,1.86,0.558914,2.52768,1.15234,0.767231,0,2.25116,1.86,0.62053,2.26966,1.16061,0.853106,0,2.79576,1.86,0.618224,3.0199,1.25866,0.826113,0,2.65876,1.86,0.347121,2.84582,1.19449,0.461103,0,2.87233,1.86,0.148473,3.15444,1.15923,0.181895,0,2.10436,1.86,0.54284,2.05922,1.16091,0.737904,0,2.8789,1.86,0.495088,3.16094,1.16715,0.672912,0,2.56546,1.86,0.0982805,2.72063,1.12093,0.107252,0,1.99269,1.86,0.0568294,1.91348,1.18992,0.0570202,0,2.61496,1.86,0.588747,2.78396,1.16696,0.805552,0,1.94906,1.86,0.270312,1.83905,1.14179,0.350727,0,2.43341,1.86,0.231785,2.52832,1.16962,0.302604,0,2.90601,1.86,0.613893,3.17612,1.2352,0.824572,0,2.08374,1.86,0.360443,2.04467,1.19729,0.481097,0,2.00072,1.86,0.505987,1.91995,1.17602,0.689452,0,2.30725,1.86,0.383945,2.35144,1.18227,0.515569,0,2.29319,1.86,0.168671,2.32116,1.06837,0.206756,0,2.72807,1.86,0.519903,2.95985,1.09608,0.720752,0,2.61415,1.86,0.216848,2.79344,1.09334,0.277137,0,2.32374,1.86,0.272471,2.37164,1.11305,0.359205,0,2.93069,1.86,0.289008,3.25166,1.1161,0.382992,0,2.79347,1.86,0.0608702,3.052,1.12111,0.053121,0,2.81052,1.86,0.290666,3.05036,1.21409,0.384414,0,2.23304,1.86,0.0518304,2.23935,1.11763,0.0395997,0,2.73224,1.86,0.173336,2.97711,1.01272,0.208966,0,2.76698,1.86,0.421841,3.01754,1.10393,0.575915,0,2.93598,1.86,0.0440719,3.23174,1.20512,0.0400827,0,2.67866,1.86,0.0640396,2.88173,1.13345,0.0586018,0,2.15907,1.86,0.126237,2.14318,1.18135,0.155748,0,1.96304,1.86,0.164143,1.88872,1.2557,0.210971,0,2.52114,1.86,0.294733,2.65412,1.13331,0.391003,0,
0.100002,2.4153,3.36527,0.260909,2.50453,3.29673,0.343017,1.89219,1.86,0.392308,1.79252,1.21674,0.525424,0,2.42713,1.86,0.426313,2.52896,1.17016,0.575579,0,2.43291,1.86,0.558914,2.53765,1.22741,0.757448,0,2.25116,1.86,0.62053,2.28211,1.20143,0.844095,0,2.79576,1.86,0.618224,3.01837,1.29166,0.819752,0,2.65876,1.86,0.347121,2.84445,1.26344,0.457782,0,2.87233,1.86,0.148473,3.1458,1.22085,0.188572,0,2.10436,1.86,0.54284,2.0836,1.22168,0.728243,0,2.8789,1.86,0.495088,3.14751,1.25229,0.660675,0,2.56546,1.86,0.0982805,2.7241,1.19418,0.116433,0,1.99269,1.86,0.0568294,1.93307,1.23272,0.064444,0,2.61496,1.86,0.588747,2.7849,1.25775,0.787496,0,1.94906,1.86,0.270312,1.86648,1.19928,0.352542,0,2.43341,1.86,0.231785,2.53614,1.22838,0.303511,0,2.90601,1.86,0.613893,3.16555,1.30442,0.809596,0,2.08374,1.86,0.360443,2.06911,1.26054,0.478632,0,2.00072,1.86,0.505987,1.94154,1.22203,0.683275,0,2.30725,1.86,0.383945,2.36554,1.24254,0.51118,0,2.29319,1.86,0.168671,2.33706,1.13054,0.211851,0,2.72807,1.86,0.519903,2.95253,1.19978,0.70274,0,2.61415,1.86,0.216848,2.79494,1.16458,0.280567,0,2.32374,1.86,0.272471,2.38791,1.19419,0.360625,0,2.93069,1.86,0.289008,3.23842,1.18753,0.381182,0,2.79347,1.86,0.0608702,3.04527,1.18808,0.06254,0,2.81052,1.86,0.290666,3.0453,1.27149,0.382167,0,2.23304,1.86,0.0518304,2.26128,1.19915,0.0521205,0,2.73224,1.86,0.173336,2.97615,1.07154,0.21377,0,2.76698,1.86,0.421841,3.00326,1.23163,0.562921,0,2.93598,1.86,0.0440719,3.21502,1.28619,0.0565535,0,2.67866,1.86,0.0640396,2.88014,1.20441,0.0691634,0,2.15907,1.86,0.126237,2.16056,1.23068,0.159881,0,1.96304,1.86,0.164143,1.91261,1.30297,0.212527,0,2.52114,1.86,0.294733,2.65994,1.20345,0.390738,0,
0.133336,2.38758,3.3645,0.261474,2.47689,3.29547,0.343612,1.89219,1.86,0.392308,1.79676,1.25557,0.52365,0,2.42713,1.86,0.426313,2.52059,1.23076,0.569083,0,2.43291,1.86,0.558914,2.52776,1.27434,0.748169,0,2.25116,1.86,0.62053,2.27825,1.24341,0.834902,0,2.79576,1.86,0.618224,2.99722,1.34915,0.805596,0,2.65876,1.86,0.347121,2.82633,1.32565,0.455568,0,2.87233,1.86,0.148473,3.12544,1.25254,0.189701,0,2.10436,1.86,0.54284,2.0784,1.24952,0.723965,0,2.8789,1.86,0.495088,3.12651,1.28163,0.655539,0,2.56546,1.86,0.0982805,2.70985,1.23698,0.120557,0,1.99269,1.86,0.0568294,1.93345,1.26655,0.0706857,0,2.61496,1.86,0.588747,2.76831,1.3063,0.779823,0,1.94906,1.86,0.270312,1.87984,1.26288,0.354484,0,2.43341,1.86,0.231785,2.52746,1.28688,0.306953,0,2.90601,1.86,0.613893,3.14618,1.32537,0.803777,0,2.08374,1.86,0.360443,2.06733,1.29759,0.476,0,2.00072,1.86,0.505987,1.93967,1.251,0.677992,0,2.30725,1.86,0.383945,2.36254,1.30508,0.506205,0,2.29319,1.86,0.168671,2.33623,1.20095,0.215945,0,2.72807,1.86,0.519903,2.93065,1.26209,0.69464,0,2.61415,1.86,0.216848,2.77907,1.22001,0.283131,0,2.32374,1.86,0.272471,2.38163,1.24477,0.360397,0,2.93069,1.86,0.289008,3.21808,1.21028,0.378654,0,2.79347,1.86,0.0608702,3.02094,1.25769,0.0724392,0,2.81052,1.86,0.290666,3.02696,1.29858,0.382924,0,2.23304,1.86,0.0518304,2.25796,1.24874,0.0592389,0,2.73224,1.86,0.173336,2.95732,1.12212,0.216113,0,2.76698,1.86,0.421841,2.98107,1.27815,0.559319,0,2.93598,1.86,0.0440719,3.19345,1.31424,0.0584452,0,2.67866,1.86,0.0640396,2.86339,1.22798,0.0762744,0,2.15907,1.86,0.126237,2.15644,1.26415,0.163817,0,1.96304,1.86,0.164143,1.90967,1.32814,0.215823,0,2.52114,1.86,0.294733,2.64678,1.23955,0.390967,0,
0.16667,2.36045,3.36367,0.26196,2.46155,3.29479,0.343942,1.89219,1.86,0.392308,1.81034,1.28678,0.520132,0,2.42713,1.86,0.426313,2.52235,1.2701,0.564743,0,2.43291,1.86,0.558914,2.52892,1.30297,0.741707,0,2.25116,1.86,0.62053,2.28498,1.27988,0.824005,0,2.79576,1.86,0.618224,2.99043,1.38139,0.795864,0,2.65876,1.86,0.347121,2.82092,1.37729,0.451177,0,2.87233,1.86,0.148473,3.11885,1.28194,0.190372,0,2.10436,1.86,0.54284,2.08906,1.28453,0.715927,0,2.8789,1.86,0.495088,3.1196,1.31324,0.651372,0,2.56546,1.86,0.0982805,2.70858,1.28955,0.125401,0,1.99269,1.86,0.0568294,1.95588,1.32628,0.0765499,0,2.61496,1.86,0.588747,2.76614,1.32851,0.773396,0,1.94906,1.86,0.270312,1.89694,1.30844,0.352751,0,2.43341,1.86,0.231785,2.53102,1.35278,0.306804,0,2.90601,1.86,0.613893,3.13885,1.35812,0.79508,0,2.08374,1.86,0.360443,2.07801,1.33361,0.472055,0,2.00072,1.86,0.505987,1.95066,1.28059,0.672399,0,2.30725,1.86,0.383945,2.3699,1.36087,0.500943,0,2.29319,1.86,0.168671,2.34362,1.25443,0.218206,0,2.72807,1.86,0.519903,2.92564,1.28908,0.691887,0,2.61415,1.86,0.216848,2.77621,1.25806,0.284179,0,2.32374,1.86,0.272471,2.38589,1.28086,0.360047,0,2.93069,1.86,0.289008,3.21155,1.23668,0.376649,0,2.79347,1.86,0.0608702,3.01654,1.26869,0.0744032,0,2.81052,1.86,0.290666,3.02269,1.32138,0.381717,0,2.23304,1.86,0.0518304,2.26681,1.29511,0.0655721,0,2.73224,1.86,0.173336,2.95063,1.17374,0.219327,0,2.76698,1.86,0.421841,2.97533,1.30696,0.552035,0,2.93598,1.86,0.0440719,3.18634,1.34137,0.0608348,0,2.67866,1.86,0.0640396,2.86078,1.26065,0.0811477,0,2.15907,1.86,0.126237,2.16219,1.28833,0.166628,0,1.96304,1.86,0.164143,1.92295,1.36135,0.216511,0,2.52114,1.86,0.294733,2.64691,1.2779,0.387835,0,
0.200004,2.36045,3.36367,0.26196,2.44993,3.29416,0.34419,1.89219,1.86,0.392308,1.83174,1.32555,0.515134,0,2.42713,1.86,0.426313,2.52927,1.31417,0.559085,0,2.43291,1.86,0.558914,2.53525,1.33764,0.731891,0,2.25116,1.86,0.62053,2.29447,1.30958,0.816101,0,2.79576,1.86,0.618224,2.99121,1.39834,0.792571,0,2.65876,1.86,0.347121,2.82159,1.40123,0.447327,0,2.87233,1.86,0.148473,3.11444,1.32167,0.19101,0,2.10436,1.86,0.54284,2.10302,1.31868,0.709666,0,2.8789,1.86,0.495088,3.11217,1.36373,0.639233,0,2.56546,1.86,0.0982805,2.71083,1.33281,0.128484,0,1.99269,1.86,0.0568294,1.9699,1.35749,0.079084,0,2.61496,1.86,0.588747,2.76618,1.40464,0.753222,0,1.94906,1.86,0.270312,1.92211,1.36282,0.351741,0,2.43341,1.86,0.231785,2.53478,1.3771,0.304486,0,2.90601,1.86,0.613893,3.13059,1.41004,0.781137,0,2.08374,1.86,0.360443,2.09005,1.36131,0.469347,0,2.00072,1.86,0.505987,1.96961,1.32052,0.664301,0,2.30725,1.86,0.383945,2.37862,1.40104,0.494744,0,2.29319,1.86,0.168671,2.35268,1.29252,0.218229,0,2.72807,1.86,0.519903,2.9255,1.32271,0.682152,0,2.61415,1.86,0.216848,2.77663,1.31761,0.282122,0,2.32374,1.86,0.272471,2.39744,1.33873,0.355871,0,2.93069,1.86,0.289008,3.20629,1.27508,0.373665,0,2.79347,1.86,0.0608702,3.00831,1.34836,0.0821676,0,2.81052,1.86,0.290666,3.02066,1.35799,0.379717,0,2.23304,1.86,0.0518304,2.27944,1.34165,0.0697303,0,2.73224,1.86,0.173336,2.94451,1.24894,0.220788,0,2.76698,1.86,0.421841,2.97366,1.34595,0.547137,0,2.93598,1.86,0.0440719,3.18005,1.38305,0.0651772,0,2.67866,1.86,0.0640396,2.86069,1.30762,0.0855007,0,2.15907,1.86,0.126237,2.17612,1.32728,0.166345,0,1.96304,1.86,0.164143,1.94068,1.39652,0.218779,0,2.52114,1.86,0.294733,2.65123,1.33755,0.388917,0,
0.233338,2.34955,3.36339,0.261773,2.43964,3.29365,0.34441,1.89219,1.86,0.392308,1.86174,1.38503,0.512465,0,2.42713,1.86,0.426313,2.5375,1.37985,0.551096,0,2.43291,1.86,0.558914,2.54379,1.40427,0.718554,0,2.25116,1.86,0.62053,2.31311,1.38553,0.799265,0,2.79576,1.86,0.618224,2.98728,1.45267,0.779601,0,2.65876,1.86,0.347121,2.82025,1.46804,0.442637,0,2.87233,1.86,0.148473,3.10705,1.37498,0.193481,0,2.10436,1.86,0.54284,2.1314,1.4035,0.693493,0,2.8789,1.86,0.495088,3.10543,1.41161,0.632156,0,2.56546,1.86,0.0982805,2.71282,1.40472,0.136084,0,1.99269,1.86,0.0568294,1.99331,1.40864,0.087806,0,2.61496,1.86,0.588747,2.76464,1.47716,0.738056,0,1.94906,1.86,0.270312,1.96338,1.46301,0.354824,0,2.43341,1.86,0.231785,2.54306,1.43416,0.306097,0,2.90601,1.86,0.613893,3.11753,1.47932,0.765803,0,2.08374,1.86,0.360443,2.11968,1.44744,0.463776,0,2.00072,1.86,0.505987,1.99597,1.38232,0.655471,0,2.30725,1.86,0.383945,2.3919,1.46603,0.491302,0,2.29319,1.86,0.168671,2.36759,1.3618,0.222305,0,2.72807,1.86,0.519903,2.91798,1.41021,0.665245,0,2.61415,1.86,0.216848,2.77602,1.38769,0.284765,0,2.32374,1.86,0.272471,2.40926,1.40122,0.356642,0,2.93069,1.86,0.289008,3.19377,1.34206,0.372523,0,2.79347,1.86,0.0608702,3.00435,1.38741,0.0857167,0,2.81052,1.86,0.290666,3.01058,1.43496,0.376262,0,2.23304,1.86,0.0518304,2.29693,1.41187,0.0806366,0,2.73224,1.86,0.173336,2.93353,1.34971,0.22575,0,2.76698,1.86,0.421841,2.96584,1.42153,0.538958,0,2.93598,1.86,0.0440719,3.16905,1.44051,0.0706946,0,2.67866,1.86,0.0640396,2.85903,1.36629,0.0928549,0,2.15907,1.86,0.126237,2.20129,1.41341,0.174907,0,1.96304,1.86,0.164143,1.972,1.46819,0.227609,0,2.52114,1.86,0.294733,2.65455,1.41613,0.386889,0,
0.266672,2.32122,3.36262,0.262315,2.41154,3.29241,0.345016,1.89219,1.86,0.392308,1.8561,1.40554,0.508679,0,2.42713,1.86,0.426313,2.52451,1.40724,0.547655,0,2.43291,1.86,0.558914,2.5306,1.43236,0.71115,0,2.25116,1.86,0.62053,2.3015,1.40441,0.79293,0,2.79576,1.86,0.618224,2.96818,1.4763,0.770935,0,2.65876,1.86,0.347121,2.8034,1.48664,0.43991,0,2.87233,1.86,0.148473,3.08817,1.39365,0.193871,0,2.10436,1.86,0.54284,2.12026,1.41872,0.689891,0,2.8789,1.86,0.495088,3.08232,1.44767,0.623184,0,2.56546,1.86,0.0982805,2.6968,1.43474,0.137679,0,1.99269,1.86,0.0568294,1.98798,1.4338,0.0892298,0,2.61496,1.86,0.588747,2.74864,1.486,0.734265,0,1.94906,1.86,0.270312,1.96369,1.50504,0.352513,0,2.43341,1.86,0.231785,2.5303,1.46354,0.306372,0,2.90601,1.86,0.613893,3.10031,1.48528,0.763205,0,2.08374,1.86,0.360443,2.10967,1.46578,0.462601,0,2.00072,1.86,0.505987,1.98992,1.40611,0.649819,0,2.30725,1.86,0.383945,2.38206,1.50289,0.4852,0,2.29319,1.86,0.168671,2.35793,1.39618,0.223376,0,2.72807,1.86,0.519903,2.89844,1.43624,0.658127,0,2.61415,1.86,0.216848,2.75911,1.41724,0.283912,0,2.32374,1.86,0.272471,2.39811,1.42761,0.35605,0,2.93069,1.86,0.289008,3.17494,1.35506,0.371187,0,2.79347,1.86,0.0608702,2.98752,1.40263,0.0867512,0,2.81052,1.86,0.290666,2.98856,1.47062,0.374709,0,2.23304,1.86,0.0518304,2.28752,1.44102,0.0830294,0,2.73224,1.86,0.173336,2.91118,1.39658,0.228173,0,2.76698,1.86,0.421841,2.94032,1.48298,0.532173,0,2.93598,1.86,0.0440719,3.15144,1.45059,0.0741453,0,2.67866,1.86,0.0640396,2.84134,1.39707,0.0957962,0,2.15907,1.86,0.126237,2.19518,1.45262,0.176072,0,1.96304,1.86,0.164143,1.96611,1.49305,0.224632,0,2.52114,1.86,0.294733,2.63863,1.42643,0.382771,0,
0.300007,2.32122,3.36262,0.262315,2.39592,3.29173,0.345353,1.89219,1.86,0.392308,1.87067,1.44081,0.506198,0,2.42713,1.86,0.426313,2.52546,1.44164,0.543244,0,2.43291,1.86,0.558914,2.53092,1.45533,0.707258,0,2.25116,1.86,0.62053,2.30625,1.43375,0.786591,0,2.79576,1.86,0.618224,2.96052,1.5125,0.760319,0,2.65876,1.86,0.347121,2.79688,1.54236,0.436855,0,2.87233,1.86,0.148473,3.07909,1.43186,0.197484,0,2.10436,1.86,0.54284,2.12857,1.44963,0.683504,0,2.8789,1.86,0.495088,3.07609,1.46911,0.623955,0,2.56546,1.86,0.0982805,2.69454,1.46929,0.14212,0,1.99269,1.86,0.0568294,2.00605,1.48783,0.0971085,0,2.61496,1.86,0.588747,2.7476,1.49962,0.732997,0,1.94906,1.86,0.270312,1.98389,1.56477,0.350897,0,2.43341,1.86,0.231785,2.53103,1.50991,0.304676,0,2.90601,1.86,0.613893,3.09707,1.4956,0.757838,0,2.08374,1.86,0.360443,2.11531,1.4873,0.461936,0,2.00072,1.86,0.505987,1.99924,1.43464,0.644511,0,2.30725,1.86,0.383945,2.38203,1.51291,0.486658,0,2.29319,1.86,0.168671,2.36286,1.43895,0.227139,0,2.72807,1.86,0.519903,2.89338,1.4673,0.653502,0,2.61415,1.86,0.216848,2.75532,1.45757,0.285142,0,2.32374,1.86,0.272471,2.40131,1.46158,0.355128,0,2.93069,1.86,0.289008,3.1665,1.38663,0.369284,0,2.79347,1.86,0.0608702,2.98034,1.44121,0.0920277,0,2.81052,1.86,0.290666,2.9744,1.53422,0.373314,0,2.23304,1.86,0.0518304,2.29082,1.46451,0.0856434,0,2.73224,1.86,0.173336,2.90255,1.4437,0.229617,0,2.76698,1.86,0.421841,2.93218,1.51702,0.527597,0,2.93598,1.86,0.0440719,3.1424,1.48416,0.078291,0,2.67866,1.86,0.0640396,2.83171,1.46804,0.102051,0,2.15907,1.86,0.126237,2.20228,1.48839,0.179931,0,1.96304,1.86,0.164143,1.98059,1.53371,0.229298,0,2.52114,1.86,0.294733,2.63815,1.46048,0.380684,0,
