time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,
0,5.17261,-3.29532,0.207256,6.09126,-3.12147,0.0648803,5.36917,-1.86,0.193248,6.41563,-0.752716,0.0417626,0,4.84377,-1.86,0.644728,5.55762,-0.792325,0.774782,0,5.6788,-1.86,0.437854,6.91302,-0.791347,0.439238,0,5.51787,-1.86,0.445555,6.67093,-0.711605,0.464979,0,4.84451,-1.86,0.442846,5.53945,-0.707501,0.461104,0,4.72105,-1.86,0.18861,5.35489,-0.780873,0.0344739,0,4.68319,-1.86,0.467284,5.30118,-0.804431,0.484645,0,5.48276,-1.86,0.609095,6.59154,-0.806241,0.713065,0,5.33863,-1.86,0.471669,6.37189,-0.695309,0.511826,0,5.02014,-1.86,0.407613,5.8341,-0.700622,0.402808,0,4.95772,-1.86,0.497858,5.74163,-0.786232,0.537685,0,5.26194,-1.86,0.668721,6.23742,-0.772908,0.819959,0,5.51436,-1.86,0.11222,6.67169,-0.683685,-0.0965323,0,4.92262,-1.86,0.102231,5.67697,-0.742869,-0.109166,0,5.18234,-1.86,0.409484,6.10756,-0.715719,0.403836,0,5.33855,-1.86,0.582523,6.36611,-0.744013,0.686472,0,5.06836,-1.86,0.251048,5.91592,-0.707411,0.138535,0,5.39358,-1.86,0.0780604,6.47968,-0.598478,-0.162219,0,5.02561,-1.86,0.112768,5.84417,-0.708972,-0.0939355,0,4.77443,-1.86,0.564268,5.45264,-0.819449,0.63747,0,5.46472,-1.86,0.237674,6.58091,-0.715499,0.115869,0,5.65202,-1.86,0.107875,6.89308,-0.72086,-0.101337,0,5.00232,-1.86,0.653709,5.8159,-0.800681,0.786758,0,5.61228,-1.86,0.503734,6.82064,-0.74037,0.556719,0,5.09189,-1.86,0.487694,5.9564,-0.723593,0.533387,0,4.71915,-1.86,0.698416,5.38938,-0.899851,0.825109,0,5.11209,-1.86,0.706755,5.99057,-0.733582,0.89588,0,5.25164,-1.86,0.293568,6.22155,-0.755193,0.207175,0,5.57882,-1.86,0.270291,6.76016,-0.757951,0.168679,0,5.73804,-1.86,0.665492,6.98696,-0.847764,0.790779,0,4.93768,-1.86,0.314303,5.69937,-0.727223,0.243445,0,5.74693,-1.86,0.541284,7.02695,-0.783018,0.609087,0,4.80809,-1.86,0.0915292,5.46283,-0.647023,-0.134629,0,5.60954,-1.86,0.369337,6.83323,-0.68407,0.34012,0,5.39176,-1.86,0.677823,6.45255,-0.75516,0.840672,0,
0.0333341,5.18276,-3.295,0.20657,6.10131,-3.12079,0.0646709,5.36917,-1.86,0.193248,6.39254,-0.838228,0.040388,0,4.84377,-1.86,0.644728,5.5619,-0.85655,0.754278,0,5.6788,-1.86,0.437854,6.88934,-0.837618,0.431279,0,5.51787,-1.86,0.445555,6.62916,-0.822129,0.446025,0,4.84451,-1.86,0.442846,5.54811,-0.798874,0.446783,0,4.72105,-1.86,0.18861,5.37368,-0.880899,0.0303705,0,4.68319,-1.86,0.467284,5.31711,-0.885791,0.471096,0,5.48276,-1.86,0.609095,6.55752,-0.901914,0.684302,0,5.33863,-1.86,0.471669,6.34949,-0.779972,0.496035,0,5.02014,-1.86,0.407613,5.83242,-0.79567,0.389041,0,4.95772,-1.86,0.497858,5.74425,-0.885997,0.517897,0,5.26194,-1.86,0.668721,6.2197,-0.861389,0.792046,0,5.51436,-1.86,0.11222,6.63503,-0.780114,-0.0898367,0,4.92262,-1.86,0.102231,5.68291,-0.843644,-0.102425,0,5.18234,-1.86,0.409484,6.09294,-0.847351,0.390587,0,5.33855,-1.86,0.582523,6.34366,-0.832431,0.663846,0,5.06836,-1.86,0.251048,5.91143,-0.821694,0.134335,0,5.39358,-1.86,0.0780604,6.45184,-0.695292,-0.155643,0,5.02561,-1.86,0.112768,5.84287,-0.811576,-0.0846323,0,4.77443,-1.86,0.564268,5.46407,-0.899959,0.617822,0,5.46472,-1.86,0.237674,6.5496,-0.810037,0.114137,0,5.65202,-1.86,0.107875,6.86145,-0.781413,-0.0994311,0,5.00232,-1.86,0.653709,5.81452,-0.894093,0.756805,0,5.61228,-1.86,0.503734,6.80224,-0.774195,0.547369,0,5.09189,-1.86,0.487694,5.94961,-0.823763,0.514234,0,4.71915,-1.86,0.698416,5.39846,-0.958869,0.805946,0,5.11209,-1.86,0.706755,5.98108,-0.83429,0.860724,0,5.25164,-1.86,0.293568,6.20677,-0.839961,0.204108,0,5.57882,-1.86,0.270291,6.73044,-0.825809,0.164333,0,5.73804,-1.86,0.665492,6.95808,-0.894799,0.774684,0,4.93768,-1.86,0.314303,5.70404,-0.832419,0.231037,0,5.74693,-1.86,0.541284,6.98188,-0.86066,0.594057,0,4.80809,-1.86,0.0915292,5.47722,-0.76072,-0.125228,0,5.60954,-1.86,0.369337,6.79337,-0.769816,0.332294,0,5.39176,-1.86,0.677823,6.438,-0.799861,0.825293,0,
0.0666681,5.20968,-3.29377,0.205988,6.12844,-3.11884,0.0641087,5.36917,-1.86,0.193248,6.36443,-1.02825,0.0440358,0,4.84377,-1.86,0.644728,5.58778,-0.963392,0.721,0,5.6788,-1.86,0.437854,6.85258,-0.939091,0.414919,0,5.51787,-1.86,0.445555,6.59183,-0.975732,0.420256,0,4.84451,-1.86,0.442846,5.58676,-0.976081,0.416691,0,4.72105,-1.86,0.18861,5.42352,-1.04083,0.0366034,0,4.68319,-1.86,0.467284,5.35629,-0.995932,0.451911,0,5.48276,-1.86,0.609095,6.53179,-1.02685,0.65048,0,5.33863,-1.86,0.471669,6.32964,-0.941303,0.465401,0,5.02014,-1.86,0.407613,5.84895,-0.950291,0.366822,0,4.95772,-1.86,0.497858,5.76742,-1.03554,0.487537,0,5.26194,-1.86,0.668721,6.21336,-0.986683,0.753142,0,5.51436,-1.86,0.11222,6.60184,-0.919081,-0.080578,0,4.92262,-1.86,0.102231,5.70935,-0.990054,-0.0909223,0,5.18234,-1.86,0.409484,6.09607,-0.968123,0.376045,0,5.33855,-1.86,0.582523,6.33836,-0.915401,0.639943,0,5.06836,-1.86,0.251048,5.92381,-0.976654,0.130424,0,5.39358,-1.86,0.0780604,6.42693,-0.850976,-0.14216,0,5.02561,-1.86,0.112768,5.85802,-0.940468,-0.0771001,0,4.77443,-1.86,0.564268,5.50841,-1.06563,0.580878,0,5.46472,-1.86,0.237674,6.5353,-0.899608,0.113869,0,5.65202,-1.86,0.107875,6.82044,-0.899852,-0.0902226,0,5.00232,-1.86,0.653709,5.83048,-1.00529,0.722197,0,5.61228,-1.86,0.503734,6.78058,-0.848317,0.530365,0,5.09189,-1.86,0.487694,5.95882,-0.951644,0.489965,0,4.71915,-1.86,0.698416,5.43107,-1.05662,0.774849,0,5.11209,-1.86,0.706755,5.98711,-1.02376,0.794757,0,5.25164,-1.86,0.293568,6.19697,-1.00948,0.197188,0,5.57882,-1.86,0.270291,6.69576,-0.946923,0.159095,0,5.73804,-1.86,0.665492,6.92682,-0.975224,0.747228,0,4.93768,-1.86,0.314303,5.73152,-1.00187,0.218627,0,5.74693,-1.86,0.541284,6.9343,-0.977243,0.567315,0,4.80809,-1.86,0.0915292,5.51797,-0.922612,-0.111912,0,5.60954,-1.86,0.369337,6.76659,-0.864632,0.321716,0,5.39176,-1.86,0.677823,6.42468,-0.893021,0.793803,0,
0.100002,5.20968,-3.29377,0.205988,6.14352,-3.11772,0.0637971,5.36917,-1.86,0.193248,6.34232,-1.15992,0.0468432,0,4.84377,-1.86,0.644728,5.61039,-1.09476,0.686147,0,5.6788,-1.86,0.437854,6.80831,-1.04481,0.399674,0,5.51787,-1.86,0.445555,6.55918,-1.09163,0.402695,0,4.84451,-1.86,0.442846,5.61188,-1.10771,0.398524,0,4.72105,-1.86,0.18861,5.45115,-1.1404,0.03986,0,4.68319,-1.86,0.467284,5.38986,-1.11479,0.433494,0,5.48276,-1.86,0.609095,6.50149,-1.14198,0.620678,0,5.33863,-1.86,0.471669,6.30885,-1.07486,0.441811,0,5.02014,-1.86,0.407613,5.85702,-1.073,0.350233,0,4.95772,-1.86,0.497858,5.78008,-1.14947,0.466798,0,5.26194,-1.86,0.668721,6.20407,-1.07531,0.726612,0,5.51436,-1.86,0.11222,6.56523,-1.04696,-0.0705549,0,4.92262,-1.86,0.102231,5.72665,-1.12122,-0.0805132,0,5.18234,-1.86,0.409484,6.08895,-1.10236,0.358319,0,5.33855,-1.86,0.582523,6.31792,-1.02939,0.610527,0,5.06836,-1.86,0.251048,5.92845,-1.11234,0.123623,0,5.39358,-1.86,0.0780604,6.39907,-0.991157,-0.127764,0,5.02561,-1.86,0.112768,5.86548,-1.07043,-0.0663185,0,4.77443,-1.86,0.564268,5.5334,-1.16925,0.558084,0,5.46472,-1.86,0.237674,6.51016,-0.99536,0.114521,0,5.65202,-1.86,0.107875,6.77615,-1.01232,-0.0807729,0,5.00232,-1.86,0.653709,5.83874,-1.11908,0.693016,0,5.61228,-1.86,0.503734,6.73518,-0.967458,0.509657,0,5.09189,-1.86,0.487694,5.96039,-1.08995,0.466071,0,4.71915,-1.86,0.698416,5.46096,-1.17478,0.738211,0,5.11209,-1.86,0.706755,5.9884,-1.14823,0.75421,0,5.25164,-1.86,0.293568,6.18304,-1.16006,0.186357,0,5.57882,-1.86,0.270291,6.65575,-1.06559,0.155577,0,5.73804,-1.86,0.665492,6.88347,-1.06713,0.719805,0,4.93768,-1.86,0.314303,5.74942,-1.13783,0.215092,0,5.74693,-1.86,0.541284,6.89267,-1.06913,0.54934,0,4.80809,-1.86,0.0915292,5.555,-1.09746,-0.0946696,0,5.60954,-1.86,0.369337,6.72351,-0.980725,0.309506,0,5.39176,-1.86,0.677823,6.39972,-1.00834,0.757952,0,
0.133336,5.23616,-3.29264,0.205418,6.15509,-3.117,0.063554,5.36917,-1.86,0.193248,6.33174,-1.21511,0.0494445,0,4.84377,-1.86,0.644728,5.62139,-1.16231,0.668231,0,5.6788,-1.86,0.437854,6.78211,-1.10531,0.391627,0,5.51787,-1.86,0.445555,6.5402,-1.15383,0.394681,0,4.84451,-1.86,0.442846,5.62295,-1.17378,0.390226,0,4.72105,-1.86,0.18861,5.46699,-1.20854,0.0396116,0,4.68319,-1.86,0.467284,5.40314,-1.16422,0.426664,0,5.48276,-1.86,0.609095,6.48637,-1.19396,0.604969,0,5.33863,-1.86,0.471669,6.29368,-1.16166,0.426736,0,5.02014,-1.86,0.407613,5.861,-1.16396,0.339246,0,4.95772,-1.86,0.497858,5.78479,-1.20573,0.458079,0,5.26194,-1.86,0.668721,6.19581,-1.13058,0.709757,0,5.51436,-1.86,0.11222,6.546,-1.11043,-0.0656743,0,4.92262,-1.86,0.102231,5.73513,-1.19629,-0.0735663,0,5.18234,-1.86,0.409484,6.08394,-1.1796,0.348674,0,5.33855,-1.86,0.582523,6.30489,-1.09906,0.594113,0,5.06836,-1.86,0.251048,5.93009,-1.20769,0.123535,0,5.39358,-1.86,0.0780604,6.38277,-1.06715,-0.120862,0,5.02561,-1.86,0.112768,5.86779,-1.11456,-0.0602047,0,4.77443,-1.86,0.564268,5.54493,-1.22719,0.54568,0,5.46472,-1.86,0.237674,6.49192,-1.05968,0.115158,0,5.65202,-1.86,0.107875,6.75085,-1.07455,-0.0730517,0,5.00232,-1.86,0.653709,5.84177,-1.1916,0.668678,0,5.61228,-1.86,0.503734,6.70985,-1.03401,0.497723,0,5.09189,-1.86,0.487694,5.96026,-1.15392,0.455024,0,4.71915,-1.86,0.698416,5.47615,-1.2387,0.717634,0,5.11209,-1.86,0.706755,5.98804,-1.1828,0.743838,0,5.25164,-1.86,0.293568,6.17823,-1.20752,0.184917,0,5.57882,-1.86,0.270291,6.62814,-1.14358,0.152299,0,5.73804,-1.86,0.665492,6.85703,-1.12172,0.704308,0,4.93768,-1.86,0.314303,5.75601,-1.2005,0.211851,0,5.74693,-1.86,0.541284,6.866,-1.12369,0.538261,0,4.80809,-1.86,0.0915292,5.56956,-1.16764,-0.0876233,0,5.60954,-1.86,0.369337,6.69053,-1.06895,0.302598,0,5.39176,-1.86,0.677823,6.38414,-1.07717,0.737222,0,
0.16667,5.24695,-3.29223,0.20479,6.16572,-3.11625,0.0633335,5.36917,-1.86,0.193248,6.32249,-1.24928,0.046488,0,4.84377,-1.86,0.644728,5.62542,-1.20277,0.654336,0,5.6788,-1.86,0.437854,6.76402,-1.14177,0.381712,0,5.51787,-1.86,0.445555,6.52583,-1.19276,0.384215,0,4.84451,-1.86,0.442846,5.62725,-1.21481,0.381012,0,4.72105,-1.86,0.18861,5.47323,-1.24209,0.0379047,0,4.68319,-1.86,0.467284,5.40963,-1.19947,0.41747,0,5.48276,-1.86,0.609095,6.47913,-1.21145,0.597802,0,5.33863,-1.86,0.471669,6.2796,-1.23598,0.407339,0,5.02014,-1.86,0.407613,5.86249,-1.22828,0.328158,0,4.95772,-1.86,0.497858,5.78641,-1.25607,0.445018,0,5.26194,-1.86,0.668721,6.1881,-1.16929,0.6932,0,5.51436,-1.86,0.11222,6.52732,-1.16532,-0.066151,0,4.92262,-1.86,0.102231,5.73828,-1.24197,-0.0729135,0,5.18234,-1.86,0.409484,6.07886,-1.22552,0.339379,0,5.33855,-1.86,0.582523,6.29378,-1.14762,0.578076,0,5.06836,-1.86,0.251048,5.92959,-1.23497,0.118035,0,5.39358,-1.86,0.0780604,6.36661,-1.1342,-0.118225,0,5.02561,-1.86,0.112768,5.86711,-1.18016,-0.0580437,0,4.77443,-1.86,0.564268,5.54936,-1.26045,0.533953,0,5.46472,-1.86,0.237674,6.4695,-1.13465,0.108362,0,5.65202,-1.86,0.107875,6.72001,-1.14429,-0.0683665,0,5.00232,-1.86,0.653709,5.84205,-1.23153,0.652894,0,5.61228,-1.86,0.503734,6.69055,-1.07819,0.483708,0,5.09189,-1.86,0.487694,5.95762,-1.22384,0.441644,0,4.71915,-1.86,0.698416,5.4792,-1.25906,0.707911,0,5.11209,-1.86,0.706755,5.98351,-1.22312,0.726494,0,5.25164,-1.86,0.293568,6.17034,-1.2512,0.179726,0,5.57882,-1.86,0.270291,6.60659,-1.20068,0.145849,0,5.73804,-1.86,0.665492,6.83118,-1.16976,0.688249,0,4.93768,-1.86,0.314303,5.75771,-1.24172,0.206093,0,5.74693,-1.86,0.541284,6.84377,-1.16366,0.52491,0,4.80809,-1.86,0.0915292,5.57754,-1.2216,-0.0846871,0,5.60954,-1.86,0.369337,6.67164,-1.11508,0.293276,0,5.39176,-1.86,0.677823,6.37873,-1.09463,0.725915,0,
0.200004,5.27426,-3.29082,0.204252,6.18108,-3.11514,0.0630151,5.36917,-1.86,0.193248,6.3167,-1.28355,0.0475101,0,4.84377,-1.86,0.644728,5.63146,-1.23238,0.643286,0,5.6788,-1.86,0.437854,6.74954,-1.17724,0.374736,0,5.51787,-1.86,0.445555,6.51489,-1.23193,0.377799,0,4.84451,-1.86,0.442846,5.63313,-1.24297,0.376796,0,4.72105,-1.86,0.18861,5.48698,-1.2937,0.0405052,0,4.68319,-1.86,0.467284,5.42069,-1.23758,0.410558,0,5.48276,-1.86,0.609095,6.46571,-1.25879,0.583246,0,5.33863,-1.86,0.471669,6.2749,-1.27657,0.402527,0,5.02014,-1.86,0.407613,5.86604,-1.25919,0.323552,0,4.95772,-1.86,0.497858,5.79092,-1.28513,0.442708,0,5.26194,-1.86,0.668721,6.18064,-1.24106,0.673328,0,5.51436,-1.86,0.11222,6.51721,-1.2039,-0.0628669,0,4.92262,-1.86,0.102231,5.74411,-1.2809,-0.0693703,0,5.18234,-1.86,0.409484,6.07803,-1.2605,0.333004,0,5.33855,-1.86,0.582523,6.28712,-1.19227,0.566547,0,5.06836,-1.86,0.251048,5.93143,-1.29518,0.119239,0,5.39358,-1.86,0.0780604,6.35784,-1.18471,-0.113546,0,5.02561,-1.86,0.112768,5.87118,-1.22651,-0.055771,0,4.77443,-1.86,0.564268,5.55708,-1.29321,0.526444,0,5.46472,-1.86,0.237674,6.45731,-1.18892,0.108375,0,5.65202,-1.86,0.107875,6.69923,-1.20146,-0.064674,0,5.00232,-1.86,0.653709,5.84513,-1.26754,0.642446,0,5.61228,-1.86,0.503734,6.67463,-1.12276,0.475955,0,5.09189,-1.86,0.487694,5.95984,-1.271,0.432996,0,4.71915,-1.86,0.698416,5.49166,-1.30703,0.687394,0,5.11209,-1.86,0.706755,5.98376,-1.27051,0.710768,0,5.25164,-1.86,0.293568,6.16637,-1.29926,0.17704,0,5.57882,-1.86,0.270291,6.59651,-1.23446,0.14445,0,5.73804,-1.86,0.665492,6.81691,-1.20267,0.677527,0,4.93768,-1.86,0.314303,5.76174,-1.26613,0.20192,0,5.74693,-1.86,0.541284,6.82807,-1.19841,0.516834,0,4.80809,-1.86,0.0915292,5.58575,-1.25541,-0.0833322,0,5.60954,-1.86,0.369337,6.65071,-1.17517,0.283189,0,5.39176,-1.86,0.677823,6.37026,-1.13117,0.714865,0,
0.233338,5.27426,-3.29082,0.204252,6.1929,-3.11415,0.0627747,5.36917,-1.86,0.193248,6.30096,-1.36405,0.0441998,0,4.84377,-1.86,0.644728,5.63867,-1.28901,0.625197,0,5.6788,-1.86,0.437854,6.72627,-1.22766,0.363496,0,5.51787,-1.86,0.445555,6.49698,-1.28635,0.366971,0,4.84451,-1.86,0.442846,5.64268,-1.31017,0.364044,0,4.72105,-1.86,0.18861,5.4978,-1.34166,0.0398429,0,4.68319,-1.86,0.467284,5.43174,-1.28521,0.400683,0,5.48276,-1.86,0.609095,6.45022,-1.31005,0.566524,0,5.33863,-1.86,0.471669,6.26357,-1.33568,0.3897,0,5.02014,-1.86,0.407613,5.86574,-1.29406,0.316947,0,4.95772,-1.86,0.497858,5.79487,-1.34806,0.429488,0,5.26194,-1.86,0.668721,6.17418,-1.28882,0.656692,0,5.51436,-1.86,0.11222,6.49725,-1.26685,-0.0611636,0,4.92262,-1.86,0.102231,5.7496,-1.33915,-0.0669842,0,5.18234,-1.86,0.409484,6.07343,-1.30556,0.326,0,5.33855,-1.86,0.582523,6.27447,-1.25772,0.547026,0,5.06836,-1.86,0.251048,5.93169,-1.34158,0.114186,0,5.39358,-1.86,0.0780604,6.34245,-1.2554,-0.109568,0,5.02561,-1.86,0.112768,5.87348,-1.29546,-0.0526098,0,4.77443,-1.86,0.564268,5.5649,-1.33943,0.513709,0,5.46472,-1.86,0.237674,6.44208,-1.24321,0.104747,0,5.65202,-1.86,0.107875,6.67276,-1.26667,-0.0627413,0,5.00232,-1.86,0.653709,5.84867,-1.34528,0.618964,0,5.61228,-1.86,0.503734,6.64655,-1.19398,0.458146,0,5.09189,-1.86,0.487694,5.95907,-1.33845,0.41847,0,4.71915,-1.86,0.698416,5.4966,-1.33232,0.677184,0,5.11209,-1.86,0.706755,5.98167,-1.3033,0.698495,0,5.25164,-1.86,0.293568,6.15754,-1.37941,0.171294,0,5.57882,-1.86,0.270291,6.57678,-1.28649,0.140445,0,5.73804,-1.86,0.665492,6.78219,-1.27238,0.653901,0,4.93768,-1.86,0.314303,5.76607,-1.32528,0.196402,0,5.74693,-1.86,0.541284,6.79019,-1.27532,0.495296,0,4.80809,-1.86,0.0915292,5.59464,-1.31012,-0.0808968,0,5.60954,-1.86,0.369337,6.62227,-1.25172,0.272999,0,5.39176,-1.86,0.677823,6.35443,-1.19591,0.689319,0,
0.266672,5.30171,-3.28941,0.203754,6.22027,-3.11202,0.0622124,5.36917,-1.86,0.193248,6.3045,-1.42474,0.0400438,0,4.84377,-1.86,0.644728,5.66321,-1.35507,0.603336,0,5.6788,-1.86,0.437854,6.72526,-1.25707,0.358286,0,5.51787,-1.86,0.445555,6.49413,-1.33797,0.356855,0,4.84451,-1.86,0.442846,5.67097,-1.38941,0.348476,0,4.72105,-1.86,0.18861,5.52278,-1.38998,0.0389882,0,4.68319,-1.86,0.467284,5.46062,-1.34269,0.386665,0,5.48276,-1.86,0.609095,6.45073,-1.35252,0.552467,0,5.33863,-1.86,0.471669,6.26831,-1.3855,0.378037,0,5.02014,-1.86,0.407613,5.8802,-1.33901,0.308538,0,4.95772,-1.86,0.497858,5.81392,-1.40557,0.416108,0,5.26194,-1.86,0.668721,6.17966,-1.35067,0.634024,0,5.51436,-1.86,0.11222,6.49226,-1.3293,-0.0593215,0,4.92262,-1.86,0.102231,5.76575,-1.36692,-0.0675855,0,5.18234,-1.86,0.409484,6.08422,-1.32317,0.323094,0,5.33855,-1.86,0.582523,6.28226,-1.2846,0.539406,0,5.06836,-1.86,0.251048,5.94536,-1.38923,0.112027,0,5.39358,-1.86,0.0780604,6.34437,-1.31095,-0.106389,0,5.02561,-1.86,0.112768,5.88849,-1.3349,-0.0513053,0,4.77443,-1.86,0.564268,5.59446,-1.40885,0.489684,0,5.46472,-1.86,0.237674,6.4385,-1.30626,0.102073,0,5.65202,-1.86,0.107875,6.66474,-1.31927,-0.0604605,0,5.00232,-1.86,0.653709,5.86611,-1.40065,0.599407,0,5.61228,-1.86,0.503734,6.639,-1.24853,0.44528,0,5.09189,-1.86,0.487694,5.97405,-1.41739,0.402033,0,4.71915,-1.86,0.698416,5.51882,-1.37474,0.659828,0,5.11209,-1.86,0.706755,5.99294,-1.32022,0.689975,0,5.25164,-1.86,0.293568,6.16679,-1.42462,0.164625,0,5.57882,-1.86,0.270291,6.57198,-1.33656,0.13691,0,5.73804,-1.86,0.665492,6.76307,-1.34198,0.627201,0,4.93768,-1.86,0.314303,5.78923,-1.40486,0.188859,0,5.74693,-1.86,0.541284,6.77529,-1.33543,0.478478,0,4.80809,-1.86,0.0915292,5.61721,-1.35877,-0.0790847,0,5.60954,-1.86,0.369337,6.62465,-1.27973,0.268542,0,5.39176,-1.86,0.677823,6.34628,-1.30442,0.654433,0,
0.300007,5.30171,-3.28941,0.203754,6.2355,-3.1108,0.0619007,5.36917,-1.86,0.193248,6.29929,-1.46939,0.0434393,0,4.84377,-1.86,0.644728,5.6718,-1.3877,0.593574,0,5.6788,-1.86,0.437854,6.71108,-1.29474,0.352534,0,5.51787,-1.86,0.445555,6.48567,-1.37618,0.348506,0,4.84451,-1.86,0.442846,5.68238,-1.43274,0.343724,0,4.72105,-1.86,0.18861,5.53963,-1.44266,0.0425295,0,4.68319,-1.86,0.467284,5.47173,-1.372,0.379212,0,5.48276,-1.86,0.609095,6.43863,-1.40824,0.537135,0,5.33863,-1.86,0.471669,6.26344,-1.4351,0.371165,0,5.02014,-1.86,0.407613,5.88641,-1.3952,0.300872,0,4.95772,-1.86,0.497858,5.82121,-1.44753,0.40935,0,5.26194,-1.86,0.668721,6.17621,-1.41749,0.612873,0,5.51436,-1.86,0.11222,6.48763,-1.35427,-0.0558398,0,4.92262,-1.86,0.102231,5.77195,-1.40394,-0.0635381,0,5.18234,-1.86,0.409484,6.08328,-1.36445,0.316566,0,5.33855,-1.86,0.582523,6.2766,-1.32831,0.528526,0,5.06836,-1.86,0.251048,5.95078,-1.45413,0.110532,0,5.39358,-1.86,0.0780604,6.33333,-1.38726,-0.0961578,0,5.02561,-1.86,0.112768,5.89371,-1.3841,-0.0462227,0,4.77443,-1.86,0.564268,5.60803,-1.45496,0.47824,0,5.46472,-1.86,0.237674,6.42969,-1.3535,0.101705,0,5.65202,-1.86,0.107875,6.64918,-1.3668,-0.0577615,0,5.00232,-1.86,0.653709,5.87293,-1.45207,0.585283,0,5.61228,-1.86,0.503734,6.63033,-1.27894,0.439401,0,5.09189,-1.86,0.487694,5.97786,-1.45211,0.395817,0,4.71915,-1.86,0.698416,5.53807,-1.43925,0.640242,0,5.11209,-1.86,0.706755,5.99372,-1.36371,0.676254,0,5.25164,-1.86,0.293568,6.16557,-1.45977,0.163661,0,5.57882,-1.86,0.270291,6.5551,-1.39729,0.132647,0,5.73804,-1.86,0.665492,6.73825,-1.40591,0.608148,0,4.93768,-1.86,0.314303,5.79672,-1.43999,0.186789,0,5.74693,-1.86,0.541284,6.75508,-1.38646,0.466689,0,4.80809,-1.86,0.0915292,5.63213,-1.41661,-0.0725162,0,5.60954,-1.86,0.369337,6.60438,-1.34268,0.260904,0,5.39176,-1.86,0.677823,6.33689,-1.37712,0.630814,0,
