time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,6.825,3.47372,0.20549,6.86347,3.4792,0.25895,6.1358,1.86,0.672865,5.86605,1.14382,0.935336,0,6.16,1.48378,-0.0628457,6.0267,0.975252,-0.0786978,0,6.11033,1.86,0.126038,5.8089,1.09798,0.141709,0,5.76135,1.86,0.306738,5.45253,1.33859,0.393255,0,6.11999,1.86,0.440694,5.80715,1.06133,0.611361,0,5.56146,1.86,0.25028,5.20396,1.35977,0.317777,0,5.39032,1.86,0.755942,5.11266,1.5099,0.930696,0,5.93676,1.86,0.486551,5.60874,1.19967,0.655976,0,6.12026,1.86,0.291486,5.82214,1.09475,0.386019,0,6.16,1.72574,0.555745,5.9031,0.954833,0.764776,0,5.27391,1.86,0.589479,4.98876,1.5288,0.723053,0,6.01094,1.86,0.594891,5.71331,1.19924,0.80912,0,6.0554,1.86,-0.0115164,5.74141,1.12645,-0.0574393,0,5.22348,1.86,0.292001,4.9921,1.59358,0.360038,0,5.79997,1.86,0.603312,5.46764,1.28172,0.800683,0,5.58624,1.86,0.772702,5.27958,1.4159,0.984189,0,6.16,1.63214,0.397187,5.95287,0.957494,0.521444,0,5.87676,1.86,0.19804,5.52872,1.20771,0.248463,0,5.63103,1.86,0.564607,5.29849,1.36403,0.72966,0,5.13324,1.86,0.828872,4.95345,1.65729,0.962756,0,5.59686,1.86,0.0333315,5.23834,1.34386,0.0311424,0,5.84874,1.86,0.00508456,5.4972,1.22081,-0.0215161,0,5.35976,1.86,0.0635874,5.11573,1.55436,0.0896883,0,5.96052,1.86,0.738852,5.6573,1.22767,1.00312,0,5.98136,1.86,0.321364,5.60974,1.08106,0.431149,0,5.71933,1.86,0.145603,5.34044,1.25634,0.176457,0,5.74822,1.86,0.46083,5.41029,1.30138,0.603547,0,
0.033334,6.825,3.47372,0.20549,6.85528,3.48346,0.259262,6.1358,1.86,0.672865,5.88976,1.20662,0.922568,0,6.16,1.48378,-0.0628457,6.05755,1.06884,-0.0639146,0,6.11033,1.86,0.126038,5.84057,1.17419,0.14873,0,5.76135,1.86,0.306738,5.50044,1.41628,0.391511,0,6.11999,1.86,0.440694,5.83488,1.12775,0.606153,0,5.56146,1.86,0.25028,5.23472,1.4043,0.320539,0,5.39032,1.86,0.755942,5.13933,1.54569,0.925388,0,5.93676,1.86,0.486551,5.64356,1.26717,0.648847,0,6.12026,1.86,0.291486,5.85844,1.18261,0.386352,0,6.16,1.72574,0.555745,5.91382,0.992383,0.762475,0,5.27391,1.86,0.589479,4.99595,1.54657,0.726281,0,6.01094,1.86,0.594891,5.751,1.27444,0.796828,0,6.0554,1.86,-0.0115164,5.77564,1.2018,-0.0435162,0,5.22348,1.86,0.292001,5.02749,1.63666,0.362316,0,5.79997,1.86,0.603312,5.50701,1.34731,0.791189,0,5.58624,1.86,0.772702,5.30205,1.45371,0.978768,0,6.16,1.63214,0.397187,5.96873,1.01191,0.516944,0,5.87676,1.86,0.19804,5.56685,1.27679,0.253438,0,5.63103,1.86,0.564607,5.35302,1.43742,0.717257,0,5.13324,1.86,0.828872,4.95946,1.67594,0.9645,0,5.59686,1.86,0.0333315,5.27256,1.39419,0.0429434,0,5.84874,1.86,0.00508456,5.5302,1.27954,-0.0114694,0,5.35976,1.86,0.0635874,5.13843,1.58925,0.098003,0,5.96052,1.86,0.738852,5.69223,1.29506,0.986055,0,5.98136,1.86,0.321364,5.64276,1.14722,0.432036,0,5.71933,1.86,0.145603,5.3608,1.2931,0.184565,0,5.74822,1.86,0.46083,5.45607,1.37209,0.597673,0,
0.0666681,6.825,3.47372,0.20549,6.84276,3.48979,0.259733,6.1358,1.86,0.672865,5.93991,1.29775,0.895249,0,6.16,1.48378,-0.0628457,6.07658,1.11635,-0.053936,0,6.11033,1.86,0.126038,5.88952,1.26291,0.155543,0,5.76135,1.86,0.306738,5.55364,1.4842,0.389218,0,6.11999,1.86,0.440694,5.87935,1.20776,0.594919,0,5.56146,1.86,0.25028,5.2913,1.46396,0.324779,0,5.39032,1.86,0.755942,5.2034,1.60421,0.90963,0,5.93676,1.86,0.486551,5.68962,1.33584,0.640129,0,6.12026,1.86,0.291486,5.90838,1.27446,0.377334,0,6.16,1.72574,0.555745,5.94432,1.05018,0.748149,0,5.27391,1.86,0.589479,5.0441,1.58349,0.717009,0,6.01094,1.86,0.594891,5.80768,1.36657,0.777792,0,6.0554,1.86,-0.0115164,5.84181,1.31502,-0.0225668,0,5.22348,1.86,0.292001,5.08241,1.68145,0.361977,0,5.79997,1.86,0.603312,5.56916,1.42731,0.771272,0,5.58624,1.86,0.772702,5.34047,1.49694,0.971584,0,6.16,1.63214,0.397187,5.99641,1.06987,0.515394,0,5.87676,1.86,0.19804,5.60657,1.33274,0.255397,0,5.63103,1.86,0.564607,5.39426,1.4856,0.710026,0,5.13324,1.86,0.828872,5.00085,1.70591,0.956371,0,5.59686,1.86,0.0333315,5.31484,1.43982,0.0511205,0,5.84874,1.86,0.00508456,5.58662,1.35531,0.000834465,0,5.35976,1.86,0.0635874,5.19839,1.64224,0.107029,0,5.96052,1.86,0.738852,5.72768,1.34858,0.967079,0,5.98136,1.86,0.321364,5.69447,1.22647,0.426352,0,5.71933,1.86,0.145603,5.40851,1.34872,0.190976,0,5.74822,1.86,0.46083,5.50354,1.43393,0.595361,0,
0.100002,6.78681,3.49368,0.206709,6.81717,3.50336,0.260716,6.1358,1.86,0.672865,5.97384,1.32135,0.887075,0,6.16,1.48378,-0.0628457,6.10876,1.13294,-0.0517671,0,6.11033,1.86,0.126038,5.92944,1.29359,0.156331,0,5.76135,1.86,0.306738,5.60391,1.51693,0.391376,0,6.11999,1.86,0.440694,5.9188,1.23581,0.587337,0,5.56146,1.86,0.25028,5.33625,1.47843,0.325475,0,5.39032,1.86,0.755942,5.22554,1.59701,0.907909,0,5.93676,1.86,0.486551,5.73067,1.35975,0.635605,0,6.12026,1.86,0.291486,5.94148,1.29525,0.373115,0,6.16,1.72574,0.555745,5.96739,1.04809,0.744565,0,5.27391,1.86,0.589479,5.07131,1.57456,0.712968,0,6.01094,1.86,0.594891,5.84531,1.39195,0.770228,0,6.0554,1.86,-0.0115164,5.89048,1.36144,-0.0129576,0,5.22348,1.86,0.292001,5.11126,1.67603,0.362036,0,5.79997,1.86,0.603312,5.60887,1.4464,0.764214,0,5.58624,1.86,0.772702,5.37433,1.49975,0.965247,0,6.16,1.63214,0.397187,6.02803,1.08389,0.515151,0,5.87676,1.86,0.19804,5.64106,1.34331,0.255038,0,5.63103,1.86,0.564607,5.4232,1.48573,0.707414,0,5.13324,1.86,0.828872,5.02188,1.69227,0.95372,0,5.59686,1.86,0.0333315,5.36395,1.45792,0.0498793,0,5.84874,1.86,0.00508456,5.61956,1.36534,0.00443113,0,5.35976,1.86,0.0635874,5.2193,1.6343,0.11071,0,5.96052,1.86,0.738852,5.76353,1.36488,0.955811,0,5.98136,1.86,0.321364,5.74043,1.25701,0.422327,0,5.71933,1.86,0.145603,5.43651,1.34853,0.194708,0,5.74822,1.86,0.46083,5.54918,1.45634,0.590565,0,
0.133336,6.78681,3.49368,0.206709,6.80422,3.50933,0.261186,6.1358,1.86,0.672865,5.98583,1.34479,0.879356,0,6.16,1.48378,-0.0628457,6.11079,1.13986,-0.0508475,0,6.11033,1.86,0.126038,5.94246,1.31935,0.158175,0,5.76135,1.86,0.306738,5.61599,1.53563,0.382852,0,6.11999,1.86,0.440694,5.95375,1.30175,0.580393,0,5.56146,1.86,0.25028,5.35435,1.49894,0.325576,0,5.39032,1.86,0.755942,5.24036,1.60962,0.902674,0,5.93676,1.86,0.486551,5.75069,1.39082,0.630839,0,6.12026,1.86,0.291486,5.95494,1.32078,0.37162,0,6.16,1.72574,0.555745,5.9741,1.05948,0.742846,0,5.27391,1.86,0.589479,5.07862,1.58137,0.712127,0,6.01094,1.86,0.594891,5.85234,1.40558,0.765993,0,6.0554,1.86,-0.0115164,5.89649,1.37611,-0.0140869,0,5.22348,1.86,0.292001,5.10956,1.67674,0.362103,0,5.79997,1.86,0.603312,5.63038,1.47538,0.753961,0,5.58624,1.86,0.772702,5.39624,1.52248,0.95147,0,6.16,1.63214,0.397187,6.03183,1.09318,0.511432,0,5.87676,1.86,0.19804,5.65794,1.36731,0.256737,0,5.63103,1.86,0.564607,5.4359,1.49975,0.703293,0,5.13324,1.86,0.828872,5.02522,1.69506,0.95159,0,5.59686,1.86,0.0333315,5.39767,1.49631,0.0519797,0,5.84874,1.86,0.00508456,5.62938,1.37952,0.00618243,0,5.35976,1.86,0.0635874,5.20442,1.6257,0.108718,0,5.96052,1.86,0.738852,5.76647,1.37273,0.949931,0,5.98136,1.86,0.321364,5.75539,1.28263,0.419422,0,5.71933,1.86,0.145603,5.44773,1.36125,0.194134,0,5.74822,1.86,0.46083,5.55242,1.46332,0.586771,0,
0.16667,6.7637,3.50391,0.207156,6.794,3.51381,0.261551,6.1358,1.86,0.672865,6.00472,1.38874,0.863873,0,6.16,1.48378,-0.0628457,6.11964,1.16807,-0.0487171,0,6.11033,1.86,0.126038,5.96247,1.36499,0.158015,0,5.76135,1.86,0.306738,5.61717,1.54526,0.38103,0,6.11999,1.86,0.440694,5.97024,1.34603,0.569559,0,5.56146,1.86,0.25028,5.38664,1.5399,0.322445,0,5.39032,1.86,0.755942,5.26677,1.6395,0.890389,0,5.93676,1.86,0.486551,5.7774,1.43942,0.618772,0,6.12026,1.86,0.291486,5.9794,1.3755,0.366204,0,6.16,1.72574,0.555745,5.99051,1.10053,0.735816,0,5.27391,1.86,0.589479,5.10835,1.61148,0.705035,0,6.01094,1.86,0.594891,5.87635,1.4511,0.752136,0,6.0554,1.86,-0.0115164,5.92537,1.43273,-0.00747219,0,5.22348,1.86,0.292001,5.12394,1.69289,0.360444,0,5.79997,1.86,0.603312,5.64915,1.50803,0.74365,0,5.58624,1.86,0.772702,5.43086,1.56783,0.929394,0,6.16,1.63214,0.397187,6.04568,1.13089,0.505394,0,5.87676,1.86,0.19804,5.68516,1.41315,0.256745,0,5.63103,1.86,0.564607,5.45453,1.52666,0.696985,0,5.13324,1.86,0.828872,5.04788,1.71669,0.941011,0,5.59686,1.86,0.0333315,5.42214,1.53173,0.0547363,0,5.84874,1.86,0.00508456,5.65903,1.42675,0.00932792,0,5.35976,1.86,0.0635874,5.19871,1.62542,0.106592,0,5.96052,1.86,0.738852,5.79187,1.4164,0.934005,0,5.98136,1.86,0.321364,5.78873,1.3443,0.411326,0,5.71933,1.86,0.145603,5.46779,1.39186,0.193268,0,5.74822,1.86,0.46083,5.5758,1.49742,0.579962,0,
0.200004,6.7637,3.50391,0.207156,6.78093,3.51922,0.262008,6.1358,1.86,0.672865,6.02891,1.43776,0.851936,0,6.16,1.48378,-0.0628457,6.1423,1.2214,-0.0389175,0,6.11033,1.86,0.126038,5.99609,1.43128,0.163271,0,5.76135,1.86,0.306738,5.64464,1.57935,0.376951,0,6.11999,1.86,0.440694,5.99743,1.39994,0.563505,0,5.56146,1.86,0.25028,5.42365,1.58216,0.323399,0,5.39032,1.86,0.755942,5.28243,1.65586,0.88475,0,5.93676,1.86,0.486551,5.80479,1.48407,0.611895,0,6.12026,1.86,0.291486,6.01039,1.43839,0.363524,0,6.16,1.72574,0.555745,6.03707,1.20196,0.715498,0,5.27391,1.86,0.589479,5.14648,1.64549,0.69566,0,6.01094,1.86,0.594891,5.92026,1.52899,0.738522,0,6.0554,1.86,-0.0115164,5.9592,1.49672,0.00334918,0,5.22348,1.86,0.292001,5.14837,1.71353,0.362334,0,5.79997,1.86,0.603312,5.68547,1.55773,0.733056,0,5.58624,1.86,0.772702,5.45906,1.60066,0.920985,0,6.16,1.63214,0.397187,6.07158,1.18932,0.498052,0,5.87676,1.86,0.19804,5.73425,1.48728,0.257746,0,5.63103,1.86,0.564607,5.48461,1.56158,0.689389,0,5.13324,1.86,0.828872,5.08202,1.74388,0.93199,0,5.59686,1.86,0.0333315,5.46644,1.58266,0.0616009,0,5.84874,1.86,0.00508456,5.69886,1.48516,0.0190675,0,5.35976,1.86,0.0635874,5.20439,1.62939,0.110543,0,5.96052,1.86,0.738852,5.82567,1.47127,0.915886,0,5.98136,1.86,0.321364,5.83452,1.42285,0.407789,0,5.71933,1.86,0.145603,5.49971,1.43178,0.197091,0,5.74822,1.86,0.46083,5.6135,1.54679,0.573,0,
0.233338,6.74034,3.51368,0.207626,6.77031,3.52387,0.262386,6.1358,1.86,0.672865,6.03983,1.47334,0.84196,0,6.16,1.48378,-0.0628457,6.14834,1.25465,-0.0336447,0,6.11033,1.86,0.126038,6.00752,1.46914,0.164384,0,5.76135,1.86,0.306738,5.65448,1.60286,0.377423,0,6.11999,1.86,0.440694,6.01264,1.44443,0.555959,0,5.56146,1.86,0.25028,5.44703,1.61933,0.325707,0,5.39032,1.86,0.755942,5.27293,1.65856,0.887088,0,5.93676,1.86,0.486551,5.81534,1.51424,0.612045,0,6.12026,1.86,0.291486,6.02111,1.47481,0.362628,0,6.16,1.72574,0.555745,6.04074,1.23221,0.71005,0,5.27391,1.86,0.589479,5.14597,1.65792,0.698355,0,6.01094,1.86,0.594891,5.93473,1.56866,0.730111,0,6.0554,1.86,-0.0115164,5.97115,1.53306,0.00900972,0,5.22348,1.86,0.292001,5.15055,1.72589,0.364503,0,5.79997,1.86,0.603312,5.69775,1.58666,0.728359,0,5.58624,1.86,0.772702,5.47342,1.62669,0.913603,0,6.16,1.63214,0.397187,6.0695,1.20497,0.498585,0,5.87676,1.86,0.19804,5.74132,1.51272,0.256239,0,5.63103,1.86,0.564607,5.49738,1.58705,0.684697,0,5.13324,1.86,0.828872,5.07736,1.75278,0.934198,0,5.59686,1.86,0.0333315,5.48244,1.61272,0.0638864,0,5.84874,1.86,0.00508456,5.70814,1.51193,0.022948,0,5.35976,1.86,0.0635874,5.20985,1.64246,0.112941,0,5.96052,1.86,0.738852,5.83831,1.50471,0.904947,0,5.98136,1.86,0.321364,5.85694,1.47549,0.405007,0,5.71933,1.86,0.145603,5.52629,1.47638,0.198477,0,5.74822,1.86,0.46083,5.62815,1.57765,0.568799,0,
0.266672,6.71753,3.52244,0.208027,6.75695,3.52909,0.262843,6.1358,1.86,0.672865,6.06039,1.51627,0.831249,0,6.16,1.48378,-0.0628457,6.15707,1.2779,-0.0297199,0,6.11033,1.86,0.126038,6.02253,1.50072,0.164443,0,5.76135,1.86,0.306738,5.69404,1.65605,0.374815,0,6.11999,1.86,0.440694,6.05072,1.52421,0.547488,0,5.56146,1.86,0.25028,5.47686,1.65428,0.325938,0,5.39032,1.86,0.755942,5.31005,1.69193,0.878855,0,5.93676,1.86,0.486551,5.83711,1.54945,0.606704,0,6.12026,1.86,0.291486,6.03976,1.5135,0.360492,0,6.16,1.72574,0.555745,6.05474,1.26322,0.704319,0,5.27391,1.86,0.589479,5.15733,1.667,0.692878,0,6.01094,1.86,0.594891,5.94448,1.58806,0.725265,0,6.0554,1.86,-0.0115164,5.9761,1.54507,0.0101756,0,5.22348,1.86,0.292001,5.15273,1.72912,0.367145,0,5.79997,1.86,0.603312,5.72516,1.62553,0.720574,0,5.58624,1.86,0.772702,5.50162,1.65985,0.905775,0,6.16,1.63214,0.397187,6.08144,1.2307,0.496472,0,5.87676,1.86,0.19804,5.74874,1.52506,0.257786,0,5.63103,1.86,0.564607,5.52275,1.61788,0.681217,0,5.13324,1.86,0.828872,5.0813,1.75662,0.935813,0,5.59686,1.86,0.0333315,5.49101,1.62437,0.0669007,0,5.84874,1.86,0.00508456,5.72106,1.53149,0.0261434,0,5.35976,1.86,0.0635874,5.22656,1.65786,0.117144,0,5.96052,1.86,0.738852,5.86562,1.54986,0.891046,0,5.98136,1.86,0.321364,5.87806,1.514,0.401294,0,5.71933,1.86,0.145603,5.54593,1.50354,0.200433,0,5.74822,1.86,0.46083,5.64797,1.60487,0.566118,0,
0.300006,6.70819,3.52548,0.207777,6.74723,3.53289,0.263176,6.1358,1.86,0.672865,6.06681,1.54378,0.8214,0,6.16,1.48378,-0.0628457,6.15507,1.29061,-0.0288606,0,6.11033,1.86,0.126038,6.02819,1.52543,0.164766,0,5.76135,1.86,0.306738,5.70234,1.67989,0.374494,0,6.11999,1.86,0.440694,6.05708,1.5546,0.541608,0,5.56146,1.86,0.25028,5.49397,1.68425,0.325136,0,5.39032,1.86,0.755942,5.32312,1.7153,0.872492,0,5.93676,1.86,0.486551,5.83539,1.55999,0.604661,0,6.12026,1.86,0.291486,6.05004,1.54978,0.353893,0,6.16,1.72574,0.555745,6.05839,1.28745,0.698996,0,5.27391,1.86,0.589479,5.16272,1.68116,0.690901,0,6.01094,1.86,0.594891,5.95031,1.60904,0.71852,0,6.0554,1.86,-0.0115164,5.97797,1.55993,0.00962305,0,5.22348,1.86,0.292001,5.14023,1.73032,0.369993,0,5.79997,1.86,0.603312,5.74179,1.65983,0.711091,0,5.58624,1.86,0.772702,5.50931,1.67901,0.898521,0,6.16,1.63214,0.397187,6.07135,1.22898,0.495747,0,5.87676,1.86,0.19804,5.75729,1.54772,0.256335,0,5.63103,1.86,0.564607,5.53285,1.64055,0.673332,0,5.13324,1.86,0.828872,5.09989,1.77904,0.930969,0,5.59686,1.86,0.0333315,5.48954,1.63296,0.0659544,0,5.84874,1.86,0.00508456,5.72285,1.54575,0.0252591,0,5.35976,1.86,0.0635874,5.22596,1.66793,0.118129,0,5.96052,1.86,0.738852,5.88074,1.58742,0.877202,0,5.98136,1.86,0.321364,5.88958,1.54653,0.397665,0,5.71933,1.86,0.145603,5.58162,1.56005,0.202231,0,5.74822,1.86,0.46083,5.66755,1.64103,0.561785,0,
