time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,
0,3.24657,3.35459,0.249174,3.3119,3.30171,0.35929,2.47318,1.86,0.462233,2.12692,1.01171,0.685738,0,2.49677,1.86,0.573575,2.11619,0.918263,0.876617,0,3.0159,1.86,0.422444,2.92009,0.762976,0.65361,0,3.37109,1.86,0.554906,3.51829,0.824593,0.866006,0,2.67888,1.86,0.628609,2.39532,0.888559,0.971923,0,3.09987,1.86,0.552624,3.07362,0.874023,0.85219,0,3.53146,1.86,0.110007,3.79135,0.786479,0.125087,0,3.04592,1.86,0.17007,2.96092,0.687321,0.220918,0,2.60058,1.86,0.14964,2.27989,0.914,0.200278,0,3.20592,1.86,0.679267,3.24478,0.833709,1.0695,0,2.45814,1.86,0.291686,2.07454,0.956112,0.426007,0,2.50784,1.86,0.715207,2.16559,0.982483,1.08246,0,2.67684,1.86,0.387509,2.40128,0.912816,0.5804,0,2.62376,1.86,0.513483,2.32486,0.933054,0.778173,0,3.19522,1.86,0.260102,3.22697,0.829587,0.377365,0,3.20312,1.86,0.458367,3.23807,0.762053,0.714758,0,2.78445,1.86,0.527659,2.5546,0.852421,0.815663,0,2.46638,1.86,0.171579,2.08302,0.947572,0.237069,0,3.47606,1.86,0.492968,3.69611,0.799529,0.76744,0,3.13705,1.86,0.061938,3.1224,0.715509,0.0353011,0,2.73287,1.86,0.104281,2.47323,0.861614,0.122735,0,2.79849,1.86,0.417227,2.57378,0.839666,0.636124,0,3.24649,1.86,0.157429,3.31178,0.777735,0.204357,0,2.62727,1.86,0.250347,2.289,0.833083,0.361228,0,3.47069,1.86,0.268637,3.68925,0.785301,0.39206,0,3.32226,1.86,0.434288,3.44283,0.716382,0.679499,0,3.01335,1.86,0.0607887,2.93581,0.891463,0.0554905,0,2.88077,1.86,0.205847,2.68976,0.759761,0.2856,0,2.81228,1.86,0.666205,2.60776,0.878451,1.03544,0,2.88897,1.86,0.0548323,2.71462,0.80538,0.0346916,0,2.56421,1.86,0.370525,2.21791,0.905495,0.553846,0,3.14283,1.86,0.356191,3.13093,0.694539,0.545971,0,3.45031,1.86,0.0348324,3.65466,0.787386,-0.00129375,0,2.49496,1.86,0.0663536,2.12878,0.94904,0.0715077,0,
0.0333341,3.24657,3.35459,0.249174,3.30014,3.30257,0.359733,2.47318,1.86,0.462233,2.17486,1.07355,0.674181,0,2.49677,1.86,0.573575,2.15241,0.960454,0.865327,0,3.0159,1.86,0.422444,2.95148,0.865888,0.63829,0,3.37109,1.86,0.554906,3.52355,0.919804,0.843636,0,2.67888,1.86,0.628609,2.4357,0.954524,0.949607,0,3.09987,1.86,0.552624,3.0926,0.954359,0.831504,0,3.53146,1.86,0.110007,3.78903,0.865281,0.128507,0,3.04592,1.86,0.17007,2.98982,0.780273,0.222012,0,2.60058,1.86,0.14964,2.3131,0.963629,0.199814,0,3.20592,1.86,0.679267,3.25673,0.9045,1.04669,0,2.45814,1.86,0.291686,2.10597,0.99284,0.421032,0,2.50784,1.86,0.715207,2.18502,1.00478,1.06679,0,2.67684,1.86,0.387509,2.42877,0.956794,0.571464,0,2.62376,1.86,0.513483,2.34826,0.969208,0.769454,0,3.19522,1.86,0.260102,3.23834,0.887453,0.373106,0,3.20312,1.86,0.458367,3.25435,0.844193,0.700089,0,2.78445,1.86,0.527659,2.58301,0.906752,0.803055,0,2.46638,1.86,0.171579,2.10904,0.977538,0.234894,0,3.47606,1.86,0.492968,3.69616,0.88206,0.750876,0,3.13705,1.86,0.061938,3.13993,0.785585,0.0409996,0,2.73287,1.86,0.104281,2.50375,0.916591,0.124279,0,2.79849,1.86,0.417227,2.60269,0.897007,0.625679,0,3.24649,1.86,0.157429,3.3221,0.852229,0.200926,0,2.62727,1.86,0.250347,2.32011,0.876781,0.358027,0,3.47069,1.86,0.268637,3.68582,0.913204,0.384759,0,3.32226,1.86,0.434288,3.45214,0.805001,0.665248,0,3.01335,1.86,0.0607887,2.95715,0.960199,0.0607732,0,2.88077,1.86,0.205847,2.73017,0.864323,0.280418,0,2.81228,1.86,0.666205,2.63227,0.926544,1.02195,0,2.88897,1.86,0.0548323,2.73706,0.858187,0.0377742,0,2.56421,1.86,0.370525,2.25357,0.955456,0.548281,0,3.14283,1.86,0.356191,3.16014,0.835229,0.534872,0,3.45031,1.86,0.0348324,3.6551,0.888202,0.00924924,0,2.49496,1.86,0.0663536,2.14563,0.967281,0.0727843,0,
0.0666681,3.21918,3.35722,0.249853,3.27254,3.30472,0.360774,2.47318,1.86,0.462233,2.18343,1.11998,0.66371,0,2.49677,1.86,0.573575,2.15636,0.998472,0.856552,0,3.0159,1.86,0.422444,2.9507,0.945655,0.626361,0,3.37109,1.86,0.554906,3.50487,0.984322,0.831879,0,2.67888,1.86,0.628609,2.43273,0.992011,0.935712,0,3.09987,1.86,0.552624,3.0847,1.01452,0.81746,0,3.53146,1.86,0.110007,3.76218,0.951371,0.137884,0,3.04592,1.86,0.17007,2.99689,0.903407,0.224636,0,2.60058,1.86,0.14964,2.32045,1.0133,0.201007,0,3.20592,1.86,0.679267,3.24599,0.969151,1.02716,0,2.45814,1.86,0.291686,2.10428,1.02287,0.416271,0,2.50784,1.86,0.715207,2.19506,1.04992,1.04999,0,2.67684,1.86,0.387509,2.44575,1.03025,0.561217,0,2.62376,1.86,0.513483,2.34381,0.997355,0.764359,0,3.19522,1.86,0.260102,3.23399,0.99777,0.373371,0,3.20312,1.86,0.458367,3.24654,0.941306,0.683803,0,2.78445,1.86,0.527659,2.59055,0.970581,0.789466,0,2.46638,1.86,0.171579,2.12128,1.025,0.237335,0,3.47606,1.86,0.492968,3.67248,0.958218,0.736469,0,3.13705,1.86,0.061938,3.14407,0.929934,0.0567558,0,2.73287,1.86,0.104281,2.52043,0.994877,0.133821,0,2.79849,1.86,0.417227,2.61366,0.972349,0.614016,0,3.24649,1.86,0.157429,3.31374,0.984795,0.20377,0,2.62727,1.86,0.250347,2.34707,0.964466,0.354175,0,3.47069,1.86,0.268637,3.66163,0.981682,0.385245,0,3.32226,1.86,0.434288,3.43603,0.886917,0.653089,0,3.01335,1.86,0.0607887,2.95313,1.02086,0.0663457,0,2.88077,1.86,0.205847,2.73964,0.954497,0.279446,0,2.81228,1.86,0.666205,2.6324,0.973717,1.00727,0,2.88897,1.86,0.0548323,2.74922,0.949959,0.0465742,0,2.56421,1.86,0.370525,2.29361,1.06167,0.532117,0,3.14283,1.86,0.356191,3.15574,0.943785,0.524219,0,3.45031,1.86,0.0348324,3.63222,0.961862,0.0183059,0,2.49496,1.86,0.0663536,2.15384,1.01043,0.0731137,0,
0.100002,3.21918,3.35722,0.249853,3.25721,3.30598,0.361354,2.47318,1.86,0.462233,2.20882,1.15993,0.660298,0,2.49677,1.86,0.573575,2.19454,1.0582,0.842222,0,3.0159,1.86,0.422444,2.96654,1.01671,0.618082,0,3.37109,1.86,0.554906,3.50393,1.05332,0.814665,0,2.67888,1.86,0.628609,2.47058,1.06762,0.919664,0,3.09987,1.86,0.552624,3.09488,1.07255,0.807107,0,3.53146,1.86,0.110007,3.75252,1.02942,0.144263,0,3.04592,1.86,0.17007,3.02024,1.02498,0.237173,0,2.60058,1.86,0.14964,2.35993,1.08586,0.210789,0,3.20592,1.86,0.679267,3.2552,1.05496,1.003,0,2.45814,1.86,0.291686,2.12957,1.0593,0.416804,0,2.50784,1.86,0.715207,2.23217,1.10938,1.03484,0,2.67684,1.86,0.387509,2.47165,1.08626,0.561001,0,2.62376,1.86,0.513483,2.37088,1.04633,0.757919,0,3.19522,1.86,0.260102,3.24426,1.11316,0.370251,0,3.20312,1.86,0.458367,3.25548,1.03839,0.671381,0,2.78445,1.86,0.527659,2.62012,1.04481,0.777086,0,2.46638,1.86,0.171579,2.13371,1.04609,0.239938,0,3.47606,1.86,0.492968,3.66643,1.0327,0.725014,0,3.13705,1.86,0.061938,3.15766,1.0403,0.0752858,0,2.73287,1.86,0.104281,2.55121,1.06764,0.143235,0,2.79849,1.86,0.417227,2.64664,1.05839,0.60669,0,3.24649,1.86,0.157429,3.31627,1.04876,0.208306,0,2.62727,1.86,0.250347,2.37911,1.02911,0.356373,0,3.47069,1.86,0.268637,3.65549,1.06006,0.383555,0,3.32226,1.86,0.434288,3.4377,0.975227,0.642056,0,3.01335,1.86,0.0607887,2.97149,1.10143,0.0733919,0,2.88077,1.86,0.205847,2.76913,1.04666,0.284814,0,2.81228,1.86,0.666205,2.65122,1.022,0.994392,0,2.88897,1.86,0.0548323,2.77161,1.02274,0.0561157,0,2.56421,1.86,0.370525,2.32908,1.1287,0.5274,0,3.14283,1.86,0.356191,3.1658,1.02514,0.521583,0,3.45031,1.86,0.0348324,3.6281,1.02274,0.0278797,0,2.49496,1.86,0.0663536,2.18811,1.06389,0.0812635,0,
0.133336,3.19263,3.35989,0.250429,3.24574,3.30691,0.361788,2.47318,1.86,0.462233,2.2378,1.19807,0.657702,0,2.49677,1.86,0.573575,2.23437,1.11607,0.832527,0,3.0159,1.86,0.422444,2.98858,1.09526,0.612696,0,3.37109,1.86,0.554906,3.50709,1.1374,0.803696,0,2.67888,1.86,0.628609,2.49681,1.11519,0.908886,0,3.09987,1.86,0.552624,3.11816,1.18467,0.788094,0,3.53146,1.86,0.110007,3.74454,1.12911,0.157956,0,3.04592,1.86,0.17007,3.04537,1.13985,0.246917,0,2.60058,1.86,0.14964,2.38738,1.13037,0.215066,0,3.20592,1.86,0.679267,3.26554,1.12188,0.9872,0,2.45814,1.86,0.291686,2.1721,1.116,0.418218,0,2.50784,1.86,0.715207,2.27178,1.16901,1.0211,0,2.67684,1.86,0.387509,2.50548,1.14903,0.559566,0,2.62376,1.86,0.513483,2.40585,1.10515,0.751773,0,3.19522,1.86,0.260102,3.2555,1.20162,0.375607,0,3.20312,1.86,0.458367,3.26751,1.12926,0.662251,0,2.78445,1.86,0.527659,2.65168,1.11588,0.76816,0,2.46638,1.86,0.171579,2.17111,1.09333,0.245352,0,3.47606,1.86,0.492968,3.66338,1.11842,0.716897,0,3.13705,1.86,0.061938,3.17579,1.1548,0.094826,0,2.73287,1.86,0.104281,2.58102,1.12789,0.152547,0,2.79849,1.86,0.417227,2.68574,1.1524,0.599038,0,3.24649,1.86,0.157429,3.32775,1.16046,0.222503,0,2.62727,1.86,0.250347,2.43476,1.1319,0.362535,0,3.47069,1.86,0.268637,3.64992,1.17172,0.387622,0,3.32226,1.86,0.434288,3.44267,1.06535,0.637832,0,3.01335,1.86,0.0607887,2.98729,1.15477,0.0872842,0,2.88077,1.86,0.205847,2.8041,1.14618,0.291669,0,2.81228,1.86,0.666205,2.67915,1.08323,0.981497,0,2.88897,1.86,0.0548323,2.8042,1.1117,0.0700742,0,2.56421,1.86,0.370525,2.36474,1.18541,0.525707,0,3.14283,1.86,0.356191,3.17706,1.08121,0.520826,0,3.45031,1.86,0.0348324,3.62279,1.16089,0.0523884,0,2.49496,1.86,0.0663536,2.23597,1.13339,0.0914951,0,
0.16667,3.18192,3.36107,0.250361,3.23523,3.30787,0.362188,2.47318,1.86,0.462233,2.26471,1.2294,0.655721,0,2.49677,1.86,0.573575,2.26328,1.1522,0.825125,0,3.0159,1.86,0.422444,3.00558,1.1451,0.608065,0,3.37109,1.86,0.554906,3.51156,1.21494,0.787969,0,2.67888,1.86,0.628609,2.52835,1.16721,0.898104,0,3.09987,1.86,0.552624,3.13394,1.25278,0.775676,0,3.53146,1.86,0.110007,3.74173,1.19448,0.165159,0,3.04592,1.86,0.17007,3.06989,1.24683,0.256505,0,2.60058,1.86,0.14964,2.41369,1.16626,0.220069,0,3.20592,1.86,0.679267,3.27864,1.19176,0.967907,0,2.45814,1.86,0.291686,2.20818,1.16198,0.420447,0,2.50784,1.86,0.715207,2.3089,1.22121,1.00855,0,2.67684,1.86,0.387509,2.53009,1.18907,0.559249,0,2.62376,1.86,0.513483,2.44049,1.1609,0.745834,0,3.19522,1.86,0.260102,3.26595,1.25449,0.376326,0,3.20312,1.86,0.458367,3.27829,1.18646,0.654943,0,2.78445,1.86,0.527659,2.68066,1.17505,0.75954,0,2.46638,1.86,0.171579,2.22571,1.1678,0.251151,0,3.47606,1.86,0.492968,3.66289,1.19193,0.705853,0,3.13705,1.86,0.061938,3.19248,1.24536,0.106674,0,2.73287,1.86,0.104281,2.61858,1.20046,0.160219,0,2.79849,1.86,0.417227,2.71393,1.21381,0.594105,0,3.24649,1.86,0.157429,3.33735,1.23592,0.22679,0,2.62727,1.86,0.250347,2.47234,1.19766,0.365481,0,3.47069,1.86,0.268637,3.65006,1.22656,0.387449,0,3.32226,1.86,0.434288,3.44952,1.14465,0.628984,0,3.01335,1.86,0.0607887,3.00904,1.22387,0.100446,0,2.88077,1.86,0.205847,2.82245,1.18835,0.294253,0,2.81228,1.86,0.666205,2.70551,1.13555,0.967604,0,2.88897,1.86,0.0548323,2.83018,1.17736,0.0816095,0,2.56421,1.86,0.370525,2.3859,1.21248,0.525887,0,3.14283,1.86,0.356191,3.19325,1.15152,0.516747,0,3.45031,1.86,0.0348324,3.62193,1.22999,0.0627366,0,2.49496,1.86,0.0663536,2.26626,1.17268,0.099336,0,
0.200004,3.15499,3.36399,0.25088,3.21996,3.30929,0.362769,2.47318,1.86,0.462233,2.28184,1.25823,0.652231,0,2.49677,1.86,0.573575,2.28438,1.18925,0.819541,0,3.0159,1.86,0.422444,3.01507,1.19422,0.603802,0,3.37109,1.86,0.554906,3.50843,1.26211,0.77761,0,2.67888,1.86,0.628609,2.55084,1.21951,0.886895,0,3.09987,1.86,0.552624,3.1335,1.26739,0.775114,0,3.53146,1.86,0.110007,3.73523,1.23253,0.168627,0,3.04592,1.86,0.17007,3.07417,1.28554,0.258453,0,2.60058,1.86,0.14964,2.42728,1.19399,0.221818,0,3.20592,1.86,0.679267,3.2799,1.22859,0.959443,0,2.45814,1.86,0.291686,2.2309,1.19989,0.418973,0,2.50784,1.86,0.715207,2.31897,1.24058,0.999496,0,2.67684,1.86,0.387509,2.56525,1.26754,0.54747,0,2.62376,1.86,0.513483,2.45841,1.19941,0.739535,0,3.19522,1.86,0.260102,3.27112,1.32922,0.373106,0,3.20312,1.86,0.458367,3.28035,1.22761,0.65127,0,2.78445,1.86,0.527659,2.69521,1.21734,0.752232,0,2.46638,1.86,0.171579,2.25268,1.21564,0.253491,0,3.47606,1.86,0.492968,3.65244,1.28049,0.689034,0,3.13705,1.86,0.061938,3.19617,1.29458,0.113686,0,2.73287,1.86,0.104281,2.62584,1.2242,0.162461,0,2.79849,1.86,0.417227,2.7185,1.23228,0.592291,0,3.24649,1.86,0.157429,3.33801,1.28473,0.2314,0,2.62727,1.86,0.250347,2.48395,1.22549,0.363165,0,3.47069,1.86,0.268637,3.64327,1.28765,0.385014,0,3.32226,1.86,0.434288,3.44801,1.20767,0.621726,0,3.01335,1.86,0.0607887,3.01466,1.25775,0.103905,0,2.88077,1.86,0.205847,2.83726,1.23903,0.296461,0,2.81228,1.86,0.666205,2.71722,1.17156,0.958933,0,2.88897,1.86,0.0548323,2.83699,1.20623,0.0853813,0,2.56421,1.86,0.370525,2.39634,1.2328,0.524969,0,3.14283,1.86,0.356191,3.19842,1.20647,0.512628,0,3.45031,1.86,0.0348324,3.61726,1.26687,0.0664307,0,2.49496,1.86,0.0663536,2.29392,1.22004,0.105446,0,
0.233338,3.15499,3.36399,0.25088,3.20814,3.31032,0.363217,2.47318,1.86,0.462233,2.30443,1.2868,0.645378,0,2.49677,1.86,0.573575,2.31583,1.23371,0.806313,0,3.0159,1.86,0.422444,3.02953,1.24509,0.594563,0,3.37109,1.86,0.554906,3.51078,1.30635,0.766108,0,2.67888,1.86,0.628609,2.5791,1.27304,0.869182,0,3.09987,1.86,0.552624,3.14351,1.29701,0.766485,0,3.53146,1.86,0.110007,3.7343,1.27129,0.169788,0,3.04592,1.86,0.17007,3.08994,1.35151,0.25875,0,2.60058,1.86,0.14964,2.45191,1.23255,0.22103,0,3.20592,1.86,0.679267,3.28697,1.26148,0.946637,0,2.45814,1.86,0.291686,2.26209,1.24257,0.415073,0,2.50784,1.86,0.715207,2.34597,1.27631,0.985684,0,2.67684,1.86,0.387509,2.59338,1.32491,0.539903,0,2.62376,1.86,0.513483,2.47781,1.2294,0.729035,0,3.19522,1.86,0.260102,3.27795,1.38239,0.370547,0,3.20312,1.86,0.458367,3.29,1.30529,0.635363,0,2.78445,1.86,0.527659,2.71619,1.26241,0.73878,0,2.46638,1.86,0.171579,2.2828,1.25859,0.252384,0,3.47606,1.86,0.492968,3.64982,1.32679,0.678804,0,3.13705,1.86,0.061938,3.20608,1.34728,0.11737,0,2.73287,1.86,0.104281,2.64011,1.24682,0.163192,0,2.79849,1.86,0.417227,2.73709,1.2688,0.584778,0,3.24649,1.86,0.157429,3.34426,1.34337,0.231097,0,2.62727,1.86,0.250347,2.50741,1.26337,0.361271,0,3.47069,1.86,0.268637,3.64256,1.3279,0.383237,0,3.32226,1.86,0.434288,3.45121,1.2635,0.611535,0,3.01335,1.86,0.0607887,3.02496,1.29055,0.101917,0,2.88077,1.86,0.205847,2.85112,1.27378,0.29361,0,2.81228,1.86,0.666205,2.74246,1.22826,0.939452,0,2.88897,1.86,0.0548323,2.85122,1.23874,0.0864543,0,2.56421,1.86,0.370525,2.42234,1.27108,0.517691,0,3.14283,1.86,0.356191,3.20834,1.26133,0.505375,0,3.45031,1.86,0.0348324,3.61756,1.31257,0.0699285,0,2.49496,1.86,0.0663536,2.3188,1.25664,0.105221,0,
0.266672,3.12843,3.36698,0.251343,3.18147,3.3128,0.364232,2.47318,1.86,0.462233,2.31039,1.3257,0.642147,0,2.49677,1.86,0.573575,2.32914,1.28801,0.794434,0,3.0159,1.86,0.422444,3.02457,1.3049,0.587627,0,3.37109,1.86,0.554906,3.49361,1.33579,0.76192,0,2.67888,1.86,0.628609,2.58413,1.32482,0.855607,0,3.09987,1.86,0.552624,3.13757,1.36726,0.751453,0,3.53146,1.86,0.110007,3.71128,1.32104,0.172784,0,3.04592,1.86,0.17007,3.0836,1.41567,0.263197,0,2.60058,1.86,0.14964,2.46508,1.29358,0.226178,0,3.20592,1.86,0.679267,3.276,1.32443,0.930304,0,2.45814,1.86,0.291686,2.2736,1.29139,0.413551,0,2.50784,1.86,0.715207,2.35723,1.32663,0.9731,0,2.67684,1.86,0.387509,2.59704,1.37439,0.534332,0,2.62376,1.86,0.513483,2.4916,1.29259,0.71705,0,3.19522,1.86,0.260102,3.26581,1.44669,0.369595,0,3.20312,1.86,0.458367,3.27718,1.38248,0.622565,0,2.78445,1.86,0.527659,2.72327,1.32924,0.726386,0,2.46638,1.86,0.171579,2.29695,1.31226,0.255546,0,3.47606,1.86,0.492968,3.62949,1.36774,0.675063,0,3.13705,1.86,0.061938,3.19844,1.43341,0.129411,0,2.73287,1.86,0.104281,2.64458,1.29795,0.169055,0,2.79849,1.86,0.417227,2.73513,1.31038,0.5804,0,3.24649,1.86,0.157429,3.32985,1.40721,0.234245,0,2.62727,1.86,0.250347,2.51957,1.32538,0.362404,0,3.47069,1.86,0.268637,3.62107,1.37705,0.380119,0,3.32226,1.86,0.434288,3.43338,1.31298,0.601597,0,3.01335,1.86,0.0607887,3.02198,1.35476,0.109741,0,2.88077,1.86,0.205847,2.84037,1.29433,0.293569,0,2.81228,1.86,0.666205,2.74642,1.29006,0.922435,0,2.88897,1.86,0.0548323,2.85361,1.30366,0.0945849,0,2.56421,1.86,0.370525,2.45572,1.37084,0.509471,0,3.14283,1.86,0.356191,3.20011,1.34421,0.498557,0,3.45031,1.86,0.0348324,3.59674,1.36467,0.0772588,0,2.49496,1.86,0.0663536,2.33091,1.30762,0.111748,0,
0.300007,3.11758,3.36827,0.251243,3.16608,3.31429,0.364819,2.47318,1.86,0.462233,2.32717,1.35619,0.63699,0,2.49677,1.86,0.573575,2.32687,1.29017,0.792644,0,3.0159,1.86,0.422444,3.03233,1.35533,0.581833,0,3.37109,1.86,0.554906,3.49195,1.34017,0.759759,0,2.67888,1.86,0.628609,2.59111,1.34529,0.850442,0,3.09987,1.86,0.552624,3.136,1.3774,0.747359,0,3.53146,1.86,0.110007,3.70778,1.33172,0.175926,0,3.04592,1.86,0.17007,3.07923,1.411,0.259864,0,2.60058,1.86,0.14964,2.471,1.31073,0.227358,0,3.20592,1.86,0.679267,3.27648,1.3605,0.921699,0,2.45814,1.86,0.291686,2.28211,1.30911,0.412351,0,2.50784,1.86,0.715207,2.35272,1.32493,0.973113,0,2.67684,1.86,0.387509,2.59749,1.38113,0.532389,0,2.62376,1.86,0.513483,2.49966,1.31451,0.71392,0,3.19522,1.86,0.260102,3.26351,1.44952,0.370773,0,3.20312,1.86,0.458367,3.27628,1.40548,0.621919,0,2.78445,1.86,0.527659,2.72744,1.34825,0.721491,0,2.46638,1.86,0.171579,2.29491,1.31483,0.254297,0,3.47606,1.86,0.492968,3.62728,1.36897,0.676004,0,3.13705,1.86,0.061938,3.19918,1.46747,0.133641,0,2.73287,1.86,0.104281,2.65427,1.32706,0.17109,0,2.79849,1.86,0.417227,2.73452,1.31474,0.578541,0,3.24649,1.86,0.157429,3.32801,1.41843,0.236454,0,2.62727,1.86,0.250347,2.52527,1.34317,0.360974,0,3.47069,1.86,0.268637,3.61619,1.40872,0.380772,0,3.32226,1.86,0.434288,3.43095,1.31726,0.599926,0,3.01335,1.86,0.0607887,3.0233,1.37272,0.112083,0,2.88077,1.86,0.205847,2.84114,1.29988,0.293224,0,2.81228,1.86,0.666205,2.74847,1.30343,0.91951,0,2.88897,1.86,0.0548323,2.86259,1.34295,0.099794,0,2.56421,1.86,0.370525,2.47261,1.41136,0.505589,0,3.14283,1.86,0.356191,3.19973,1.36683,0.497017,0,3.45031,1.86,0.0348324,3.58669,1.44513,0.0889284,0,2.49496,1.86,0.0663536,2.3324,1.31494,0.112716,0,
