time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,
0,-7.63719,-0.680816,0.32197,-7.34975,-0.939149,0.448487,-6.16,-0.823026,0.692844,-5.08012,-1.15765,1.01831,0,-6.16,-0.643334,0.648976,-5.09947,-0.882051,0.946631,0,-6.16,-0.638955,0.46351,-5.09754,-0.875325,0.664287,0,-6.16,-1.16396,0.528503,-5.10802,-1.67234,0.761913,0,-6.16,-0.860852,0.313442,-5.12819,-1.20991,0.435661,0,-6.16,-0.140443,0.210424,-5.11912,-0.123158,0.280046,0,-6.16,-0.639195,0.124475,-5.02215,-0.873566,0.137294,0,-6.16,-0.718069,0.298923,-5.01383,-0.998057,0.412042,0,-6.16,-0.959346,0.682838,-5.13963,-1.35588,0.988405,0,-6.16,-0.791935,0.506451,-5.09641,-1.10865,0.729897,0,-6.16,-1.02493,0.46259,-5.09063,-1.46541,0.663542,0,-6.16,-1.09316,0.675959,-5.25535,-1.52378,0.95038,0,-6.16,-0.8975,0.459374,-5.04811,-1.27677,0.662578,0,-6.16,-0.88392,0.603494,-5.07603,-1.25177,0.881813,0,-6.16,-0.87864,0.130719,-4.85328,-1.27347,0.125271,0,-6.16,-0.784378,0.402074,-5.16817,-1.09209,0.566787,0,-6.16,-0.710249,0.737409,-5.1424,-0.983129,1.06927,0,-6.16,-1.16303,0.141592,-5.1797,-1.64754,0.183505,0,-6.16,-0.190295,0.327865,-5.08217,-0.186168,0.457536,0,-6.16,-0.221751,0.126769,-5.15456,-0.256952,0.158407,0,-6.16,-0.485427,0.270219,-5.00615,-0.62916,0.366382,0,-6.16,-0.402321,0.527426,-5.22025,-0.537673,0.744669,0,-6.16,-0.750718,0.609981,-5.04074,-1.04841,0.898679,0,-6.16,-0.626358,0.246286,-5.21956,-0.860616,0.339346,0,-6.16,-0.177886,0.739383,-5.0142,-0.143981,1.10845,0,-6.16,-0.418433,0.168382,-5.05231,-0.531071,0.209615,0,
0.033334,-7.63719,-0.680816,0.32197,-7.34874,-0.951403,0.448099,-6.16,-0.823026,0.692844,-5.20466,-1.1295,0.988206,0,-6.16,-0.643334,0.648976,-5.19256,-0.872123,0.926914,0,-6.16,-0.638955,0.46351,-5.18586,-0.866702,0.65624,0,-6.16,-1.16396,0.528503,-5.19332,-1.63078,0.753394,0,-6.16,-0.860852,0.313442,-5.25097,-1.18038,0.43931,0,-6.16,-0.140443,0.210424,-5.17807,-0.13332,0.283933,0,-6.16,-0.639195,0.124475,-5.12187,-0.863419,0.150916,0,-6.16,-0.718069,0.298923,-5.10748,-0.982747,0.413895,0,-6.16,-0.959346,0.682838,-5.21397,-1.3303,0.971405,0,-6.16,-0.791935,0.506451,-5.17311,-1.09255,0.721458,0,-6.16,-1.02493,0.46259,-5.1767,-1.43295,0.655746,0,-6.16,-1.09316,0.675959,-5.2973,-1.5055,0.941638,0,-6.16,-0.8975,0.459374,-5.13984,-1.25069,0.654475,0,-6.16,-0.88392,0.603494,-5.17345,-1.22447,0.863794,0,-6.16,-0.87864,0.130719,-4.92033,-1.25307,0.135668,0,-6.16,-0.784378,0.402074,-5.25322,-1.07626,0.562606,0,-6.16,-0.710249,0.737409,-5.2259,-0.969083,1.04638,0,-6.16,-1.16303,0.141592,-5.23716,-1.61857,0.193756,0,-6.16,-0.190295,0.327865,-5.20348,-0.210662,0.461334,0,-6.16,-0.221751,0.126769,-5.1977,-0.261131,0.164791,0,-6.16,-0.485427,0.270219,-5.06432,-0.628074,0.367007,0,-6.16,-0.402321,0.527426,-5.29377,-0.540467,0.734941,0,-6.16,-0.750718,0.609981,-5.16103,-1.02825,0.878331,0,-6.16,-0.626358,0.246286,-5.29039,-0.855334,0.347888,0,-6.16,-0.177886,0.739383,-5.11701,-0.161342,1.07749,0,-6.16,-0.418433,0.168382,-5.1773,-0.53718,0.221366,0,
0.0666681,-7.63632,-0.706018,0.321744,-7.34762,-0.966818,0.447614,-6.16,-0.823026,0.692844,-5.27163,-1.1201,0.971535,0,-6.16,-0.643334,0.648976,-5.26777,-0.869556,0.911964,0,-6.16,-0.638955,0.46351,-5.24701,-0.865086,0.65202,0,-6.16,-1.16396,0.528503,-5.23216,-1.61609,0.746153,0,-6.16,-0.860852,0.313442,-5.31934,-1.16924,0.441153,0,-6.16,-0.140443,0.210424,-5.25194,-0.153753,0.291263,0,-6.16,-0.639195,0.124475,-5.18159,-0.862034,0.159114,0,-6.16,-0.718069,0.298923,-5.1503,-0.980142,0.415397,0,-6.16,-0.959346,0.682838,-5.25123,-1.32188,0.964555,0,-6.16,-0.791935,0.506451,-5.21724,-1.08707,0.717531,0,-6.16,-1.02493,0.46259,-5.27691,-1.40267,0.649398,0,-6.16,-1.09316,0.675959,-5.30174,-1.50666,0.943165,0,-6.16,-0.8975,0.459374,-5.21281,-1.23547,0.649377,0,-6.16,-0.88392,0.603494,-5.22421,-1.21506,0.85271,0,-6.16,-0.87864,0.130719,-4.98038,-1.24033,0.145977,0,-6.16,-0.784378,0.402074,-5.3122,-1.06898,0.556499,0,-6.16,-0.710249,0.737409,-5.25162,-0.969151,1.04207,0,-6.16,-1.16303,0.141592,-5.26192,-1.6096,0.198227,0,-6.16,-0.190295,0.327865,-5.24638,-0.224346,0.456312,0,-6.16,-0.221751,0.126769,-5.19792,-0.263584,0.163984,0,-6.16,-0.485427,0.270219,-5.14557,-0.632145,0.371705,0,-6.16,-0.402321,0.527426,-5.50063,-0.567152,0.706812,0,-6.16,-0.750718,0.609981,-5.25241,-1.01872,0.859845,0,-6.16,-0.626358,0.246286,-5.30771,-0.856815,0.350095,0,-6.16,-0.177886,0.739383,-5.19175,-0.181606,1.06179,0,-6.16,-0.418433,0.168382,-5.23444,-0.545314,0.225847,0,
0.100002,-7.6366,-0.715005,0.321272,-7.34662,-0.978235,0.447251,-6.16,-0.823026,0.692844,-5.29942,-1.11084,0.964211,0,-6.16,-0.643334,0.648976,-5.29644,-0.863858,0.904587,0,-6.16,-0.638955,0.46351,-5.29048,-0.85797,0.646482,0,-6.16,-1.16396,0.528503,-5.25224,-1.60249,0.739041,0,-6.16,-0.860852,0.313442,-5.36411,-1.15583,0.438037,0,-6.16,-0.140443,0.210424,-5.29783,-0.161646,0.292589,0,-6.16,-0.639195,0.124475,-5.2507,-0.853354,0.16689,0,-6.16,-0.718069,0.298923,-5.22536,-0.966706,0.419805,0,-6.16,-0.959346,0.682838,-5.29156,-1.30452,0.952751,0,-6.16,-0.791935,0.506451,-5.27828,-1.0717,0.708011,0,-6.16,-1.02493,0.46259,-5.32611,-1.38332,0.642705,0,-6.16,-1.09316,0.675959,-5.32486,-1.48999,0.935683,0,-6.16,-0.8975,0.459374,-5.24809,-1.22293,0.644593,0,-6.16,-0.88392,0.603494,-5.26748,-1.20016,0.844819,0,-6.16,-0.87864,0.130719,-5.06947,-1.21504,0.156106,0,-6.16,-0.784378,0.402074,-5.36739,-1.05599,0.551757,0,-6.16,-0.710249,0.737409,-5.30848,-0.956481,1.02364,0,-6.16,-1.16303,0.141592,-5.3036,-1.58542,0.199293,0,-6.16,-0.190295,0.327865,-5.28816,-0.228558,0.456479,0,-6.16,-0.221751,0.126769,-5.24907,-0.266351,0.172485,0,-6.16,-0.485427,0.270219,-5.15041,-0.629495,0.371164,0,-6.16,-0.402321,0.527426,-5.54945,-0.57211,0.696838,0,-6.16,-0.750718,0.609981,-5.28018,-1.01167,0.852372,0,-6.16,-0.626358,0.246286,-5.37882,-0.847128,0.350681,0,-6.16,-0.177886,0.739383,-5.23069,-0.186586,1.04903,0,-6.16,-0.418433,0.168382,-5.24705,-0.542344,0.228008,0,
0.133336,-7.6366,-0.715005,0.321272,-7.34577,-0.988758,0.446918,-6.16,-0.823026,0.692844,-5.38561,-1.09197,0.943122,0,-6.16,-0.643334,0.648976,-5.36591,-0.85609,0.888963,0,-6.16,-0.638955,0.46351,-5.38149,-0.850823,0.634777,0,-6.16,-1.16396,0.528503,-5.31554,-1.57089,0.731431,0,-6.16,-0.860852,0.313442,-5.43179,-1.13926,0.43868,0,-6.16,-0.140443,0.210424,-5.35703,-0.174301,0.29805,0,-6.16,-0.639195,0.124475,-5.35133,-0.846988,0.184628,0,-6.16,-0.718069,0.298923,-5.31596,-0.955601,0.422061,0,-6.16,-0.959346,0.682838,-5.36722,-1.28062,0.9361,0,-6.16,-0.791935,0.506451,-5.35171,-1.0579,0.696327,0,-6.16,-1.02493,0.46259,-5.39138,-1.35971,0.636783,0,-6.16,-1.09316,0.675959,-5.3909,-1.46089,0.91762,0,-6.16,-0.8975,0.459374,-5.3534,-1.19617,0.635177,0,-6.16,-0.88392,0.603494,-5.33358,-1.18228,0.832663,0,-6.16,-0.87864,0.130719,-5.17844,-1.19032,0.171115,0,-6.16,-0.784378,0.402074,-5.42665,-1.04436,0.548956,0,-6.16,-0.710249,0.737409,-5.38709,-0.945912,1.00133,0,-6.16,-1.16303,0.141592,-5.36522,-1.5559,0.208187,0,-6.16,-0.190295,0.327865,-5.36139,-0.242899,0.458637,0,-6.16,-0.221751,0.126769,-5.30563,-0.275216,0.178555,0,-6.16,-0.485427,0.270219,-5.21637,-0.627064,0.374452,0,-6.16,-0.402321,0.527426,-5.58045,-0.572497,0.693445,0,-6.16,-0.750718,0.609981,-5.32291,-1.00207,0.845245,0,-6.16,-0.626358,0.246286,-5.48609,-0.841734,0.357905,0,-6.16,-0.177886,0.739383,-5.32498,-0.206523,1.02239,0,-6.16,-0.418433,0.168382,-5.29708,-0.542038,0.231142,0,
0.16667,-7.63583,-0.741586,0.320954,-7.34361,-1.01638,0.446047,-6.16,-0.823026,0.692844,-5.41989,-1.10354,0.932365,0,-6.16,-0.643334,0.648976,-5.43398,-0.870227,0.873986,0,-6.16,-0.638955,0.46351,-5.44314,-0.866055,0.629142,0,-6.16,-1.16396,0.528503,-5.41061,-1.54982,0.720619,0,-6.16,-0.860852,0.313442,-5.49186,-1.1448,0.438625,0,-6.16,-0.140443,0.210424,-5.41011,-0.206549,0.301818,0,-6.16,-0.639195,0.124475,-5.41614,-0.862435,0.192218,0,-6.16,-0.718069,0.298923,-5.35937,-0.969008,0.420778,0,-6.16,-0.959346,0.682838,-5.39096,-1.29171,0.930741,0,-6.16,-0.791935,0.506451,-5.42775,-1.06418,0.686494,0,-6.16,-1.02493,0.46259,-5.44723,-1.35936,0.631045,0,-6.16,-1.09316,0.675959,-5.44285,-1.45922,0.908015,0,-6.16,-0.8975,0.459374,-5.40092,-1.20383,0.630759,0,-6.16,-0.88392,0.603494,-5.39969,-1.18526,0.818771,0,-6.16,-0.87864,0.130719,-5.32515,-1.18097,0.187411,0,-6.16,-0.784378,0.402074,-5.47242,-1.05447,0.546134,0,-6.16,-0.710249,0.737409,-5.46983,-0.956106,0.976837,0,-6.16,-1.16303,0.141592,-5.45891,-1.53527,0.22265,0,-6.16,-0.190295,0.327865,-5.38021,-0.265803,0.459831,0,-6.16,-0.221751,0.126769,-5.33749,-0.29956,0.184058,0,-6.16,-0.485427,0.270219,-5.29349,-0.648783,0.376835,0,-6.16,-0.402321,0.527426,-5.61226,-0.592052,0.687514,0,-6.16,-0.750718,0.609981,-5.4142,-1.00791,0.825611,0,-6.16,-0.626358,0.246286,-5.51637,-0.858742,0.356966,0,-6.16,-0.177886,0.739383,-5.3882,-0.241478,1.00214,0,-6.16,-0.418433,0.168382,-5.40515,-0.571685,0.236714,0,
0.200004,-7.63583,-0.741586,0.320954,-7.34247,-1.0317,0.445564,-6.16,-0.823026,0.692844,-5.46543,-1.0975,0.923414,0,-6.16,-0.643334,0.648976,-5.49275,-0.870578,0.861682,0,-6.16,-0.638955,0.46351,-5.50121,-0.866463,0.623048,0,-6.16,-1.16396,0.528503,-5.47328,-1.52934,0.71633,0,-6.16,-0.860852,0.313442,-5.5481,-1.13702,0.440894,0,-6.16,-0.140443,0.210424,-5.44975,-0.2198,0.304153,0,-6.16,-0.639195,0.124475,-5.47613,-0.863052,0.202242,0,-6.16,-0.718069,0.298923,-5.41187,-0.965829,0.420887,0,-6.16,-0.959346,0.682838,-5.46486,-1.27331,0.910879,0,-6.16,-0.791935,0.506451,-5.51657,-1.05562,0.676265,0,-6.16,-1.02493,0.46259,-5.49955,-1.34596,0.628044,0,-6.16,-1.09316,0.675959,-5.50255,-1.44024,0.895695,0,-6.16,-0.8975,0.459374,-5.42821,-1.19995,0.630705,0,-6.16,-0.88392,0.603494,-5.45083,-1.17731,0.810467,0,-6.16,-0.87864,0.130719,-5.39815,-1.17148,0.19684,0,-6.16,-0.784378,0.402074,-5.51579,-1.05055,0.5404,0,-6.16,-0.710249,0.737409,-5.53077,-0.954095,0.958566,0,-6.16,-1.16303,0.141592,-5.55738,-1.50063,0.233216,0,-6.16,-0.190295,0.327865,-5.41625,-0.275163,0.457399,0,-6.16,-0.221751,0.126769,-5.41418,-0.318832,0.195674,0,-6.16,-0.485427,0.270219,-5.37924,-0.657661,0.377083,0,-6.16,-0.402321,0.527426,-5.66335,-0.600051,0.680578,0,-6.16,-0.750718,0.609981,-5.44821,-1.00768,0.822695,0,-6.16,-0.626358,0.246286,-5.53931,-0.859128,0.358389,0,-6.16,-0.177886,0.739383,-5.45125,-0.26054,0.985217,0,-6.16,-0.418433,0.168382,-5.44772,-0.579795,0.244835,0,
0.233338,-7.63514,-0.767845,0.320639,-7.34154,-1.04388,0.445181,-6.16,-0.823026,0.692844,-5.49407,-1.09071,0.9156,0,-6.16,-0.643334,0.648976,-5.51035,-0.868306,0.857896,0,-6.16,-0.638955,0.46351,-5.52292,-0.864146,0.62219,0,-6.16,-1.16396,0.528503,-5.48887,-1.52138,0.712885,0,-6.16,-0.860852,0.313442,-5.55225,-1.13488,0.442197,0,-6.16,-0.140443,0.210424,-5.47165,-0.223781,0.307306,0,-6.16,-0.639195,0.124475,-5.50899,-0.860394,0.205493,0,-6.16,-0.718069,0.298923,-5.44157,-0.96172,0.424871,0,-6.16,-0.959346,0.682838,-5.46744,-1.27276,0.913582,0,-6.16,-0.791935,0.506451,-5.59502,-1.04579,0.666081,0,-6.16,-1.02493,0.46259,-5.49972,-1.34461,0.628492,0,-6.16,-1.09316,0.675959,-5.53321,-1.42798,0.889029,0,-6.16,-0.8975,0.459374,-5.44176,-1.1943,0.63022,0,-6.16,-0.88392,0.603494,-5.45738,-1.17422,0.807948,0,-6.16,-0.87864,0.130719,-5.46621,-1.15781,0.206961,0,-6.16,-0.784378,0.402074,-5.53811,-1.04537,0.540701,0,-6.16,-0.710249,0.737409,-5.59191,-0.948351,0.941685,0,-6.16,-1.16303,0.141592,-5.6327,-1.47207,0.244226,0,-6.16,-0.190295,0.327865,-5.45295,-0.281891,0.456649,0,-6.16,-0.221751,0.126769,-5.43976,-0.323695,0.198263,0,-6.16,-0.485427,0.270219,-5.41455,-0.659296,0.381276,0,-6.16,-0.402321,0.527426,-5.68942,-0.601924,0.679706,0,-6.16,-0.750718,0.609981,-5.48894,-1.00065,0.814921,0,-6.16,-0.626358,0.246286,-5.58828,-0.855439,0.361481,0,-6.16,-0.177886,0.739383,-5.48511,-0.268339,0.979529,0,-6.16,-0.418433,0.168382,-5.51176,-0.585423,0.251158,0,
0.266672,-7.63447,-0.794026,0.320304,-7.34044,-1.0592,0.444699,-6.16,-0.823026,0.692844,-5.51644,-1.08835,0.908049,0,-6.16,-0.643334,0.648976,-5.54134,-0.868196,0.84783,0,-6.16,-0.638955,0.46351,-5.56,-0.864502,0.614807,0,-6.16,-1.16396,0.528503,-5.48223,-1.52562,0.709872,0,-6.16,-0.860852,0.313442,-5.55517,-1.13442,0.440271,0,-6.16,-0.140443,0.210424,-5.48762,-0.229354,0.305753,0,-6.16,-0.639195,0.124475,-5.53678,-0.861341,0.205885,0,-6.16,-0.718069,0.298923,-5.46158,-0.96128,0.421059,0,-6.16,-0.959346,0.682838,-5.47385,-1.27062,0.909452,0,-6.16,-0.791935,0.506451,-5.59487,-1.04884,0.664095,0,-6.16,-1.02493,0.46259,-5.50149,-1.34386,0.627325,0,-6.16,-1.09316,0.675959,-5.53496,-1.42879,0.884745,0,-6.16,-0.8975,0.459374,-5.45979,-1.19096,0.625195,0,-6.16,-0.88392,0.603494,-5.47277,-1.17122,0.805485,0,-6.16,-0.87864,0.130719,-5.4772,-1.15908,0.203634,0,-6.16,-0.784378,0.402074,-5.55052,-1.04471,0.538557,0,-6.16,-0.710249,0.737409,-5.62181,-0.949069,0.928355,0,-6.16,-1.16303,0.141592,-5.6393,-1.4729,0.241829,0,-6.16,-0.190295,0.327865,-5.47728,-0.290297,0.452395,0,-6.16,-0.221751,0.126769,-5.4522,-0.327734,0.199192,0,-6.16,-0.485427,0.270219,-5.46949,-0.665737,0.377095,0,-6.16,-0.402321,0.527426,-5.72164,-0.607716,0.672292,0,-6.16,-0.750718,0.609981,-5.49282,-1.00201,0.811441,0,-6.16,-0.626358,0.246286,-5.5797,-0.858242,0.357699,0,-6.16,-0.177886,0.739383,-5.476,-0.269436,0.975898,0,-6.16,-0.418433,0.168382,-5.55727,-0.594358,0.250787,0,
0.300007,-7.63447,-0.794026,0.320304,-7.33945,-1.0713,0.444316,-6.16,-0.823026,0.692844,-5.54115,-1.08174,0.900483,0,-6.16,-0.643334,0.648976,-5.55283,-0.865417,0.843558,0,-6.16,-0.638955,0.46351,-5.58617,-0.861634,0.612523,0,-6.16,-1.16396,0.528503,-5.50052,-1.5133,0.70685,0,-6.16,-0.860852,0.313442,-5.57365,-1.12742,0.441885,0,-6.16,-0.140443,0.210424,-5.53879,-0.241981,0.305333,0,-6.16,-0.639195,0.124475,-5.58696,-0.858222,0.214516,0,-6.16,-0.718069,0.298923,-5.48815,-0.956124,0.420923,0,-6.16,-0.959346,0.682838,-5.49809,-1.26085,0.904969,0,-6.16,-0.791935,0.506451,-5.62851,-1.04104,0.658946,0,-6.16,-1.02493,0.46259,-5.51854,-1.33477,0.625188,0,-6.16,-1.09316,0.675959,-5.56273,-1.41504,0.878253,0,-6.16,-0.8975,0.459374,-5.49573,-1.18079,0.619944,0,-6.16,-0.88392,0.603494,-5.50618,-1.16158,0.796826,0,-6.16,-0.87864,0.130719,-5.50265,-1.15063,0.20711,0,-6.16,-0.784378,0.402074,-5.58984,-1.03699,0.536767,0,-6.16,-0.710249,0.737409,-5.65411,-0.944416,0.919595,0,-6.16,-1.16303,0.141592,-5.65535,-1.46283,0.244529,0,-6.16,-0.190295,0.327865,-5.50869,-0.295596,0.451147,0,-6.16,-0.221751,0.126769,-5.509,-0.338594,0.203129,0,-6.16,-0.485427,0.270219,-5.46797,-0.663894,0.37968,0,-6.16,-0.402321,0.527426,-5.75388,-0.610353,0.666227,0,-6.16,-0.750718,0.609981,-5.48846,-0.998934,0.810927,0,-6.16,-0.626358,0.246286,-5.60703,-0.853398,0.359396,0,-6.16,-0.177886,0.739383,-5.50835,-0.272745,0.967078,0,-6.16,-0.418433,0.168382,-5.59228,-0.59669,0.255957,0,
