time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,p35wx,p35wy,p35wz,p35wHatx,p35wHaty,p35wHatz,converged35,p36wx,p36wy,p36wz,p36wHatx,p36wHaty,p36wHatz,converged36,p37wx,p37wy,p37wz,p37wHatx,p37wHaty,p37wHatz,converged37,
0,6.75314,3.11198,0.202418,6.78169,3.10909,0.274342,6.16,1.24268,-0.040327,6.00478,0.660616,-0.0436152,0,6.16,1.83032,0.446911,5.75091,0.881769,0.699235,0,6.16,1.55156,0.589764,5.90728,0.808693,0.845374,0,6.15976,1.86,0.134836,5.72803,0.885982,0.154337,0,6.16,1.18347,0.618192,6.01032,0.601079,0.815053,0,6.16,1.49829,0.332819,5.89533,0.697663,0.469208,0,5.63716,1.86,0.230885,5.05594,1.17303,0.318363,0,6.16,1.76192,0.26976,5.78312,0.836221,0.387714,0,5.59574,1.86,0.418771,5.0338,1.21836,0.601077,0,5.80704,1.86,0.310501,5.25673,1.09109,0.448556,0,5.98086,1.86,0.480488,5.47674,0.993564,0.74421,0,6.12846,1.86,0.540511,5.74381,1.02897,0.836074,0,5.81385,1.86,0.658029,5.26262,1.08432,1.01118,0,6.16,1.57629,0.463977,5.82727,0.638028,0.695216,0,5.4218,1.86,0.71145,4.92888,1.36673,0.982757,0,6.16,1.35815,0.219072,5.93582,0.607986,0.298091,0,5.94926,1.86,0.603057,5.4528,1.03945,0.936639,0,5.94511,1.86,0.366616,5.47623,1.08638,0.539623,0,6.08065,1.86,0.356597,5.63034,0.965622,0.538308,0,5.84049,1.86,0.138693,5.30386,1.08179,0.171153,0,6.16,1.61846,0.00712819,5.83991,0.73768,-0.0357396,0,5.37098,1.86,0.56355,4.85662,1.36534,0.777328,0,5.61505,1.86,0.701678,5.09412,1.25265,1.01465,0,5.21564,1.86,0.268096,4.76129,1.46389,0.360648,0,5.77627,1.86,0.4503,5.26493,1.16519,0.659221,0,6.16,1.32548,0.0885193,5.95127,0.607902,0.114878,0,5.3988,1.86,0.355791,4.85342,1.32657,0.49271,0,5.68635,1.86,0.562358,5.08985,1.12355,0.84518,0,5.66506,1.86,0.0524622,5.08048,1.15162,0.039885,0,6.03262,1.86,0.178758,5.55384,0.975587,0.234022,0,5.37077,1.86,0.156179,4.84758,1.35741,0.209647,0,5.9152,1.86,0.238865,5.44131,1.1064,0.332644,0,5.17425,1.86,0.500551,4.7062,1.46333,0.666247,0,5.49916,1.86,0.0494566,4.97748,1.30777,0.0542638,0,5.88116,1.86,0.0150807,5.37573,1.09042,-0.0277189,0,5.29378,1.86,-0.0277468,4.80337,1.4119,-0.0376713,0,5.85499,1.86,0.540397,5.32698,1.08128,0.821762,0,6.16,1.85755,0.0375492,5.75385,0.935311,-0.0113581,0,
0.033334,6.73229,3.12669,0.202769,6.7853,3.10655,0.274157,6.16,1.24268,-0.040327,6.01196,0.722498,-0.0348331,0,6.16,1.83032,0.446911,5.79612,0.990923,0.678016,0,6.16,1.55156,0.589764,5.92363,0.87465,0.829903,0,6.15976,1.86,0.134836,5.77465,0.997448,0.159222,0,6.16,1.18347,0.618192,6.00081,0.625694,0.807833,0,6.16,1.49829,0.332819,5.90958,0.766704,0.462738,0,5.63716,1.86,0.230885,5.09816,1.23601,0.318788,0,6.16,1.76192,0.26976,5.81518,0.92786,0.382796,0,5.59574,1.86,0.418771,5.10818,1.30622,0.589759,0,5.80704,1.86,0.310501,5.3034,1.16667,0.443621,0,5.98086,1.86,0.480488,5.5239,1.08242,0.724927,0,6.12846,1.86,0.540511,5.78885,1.12865,0.808057,0,5.81385,1.86,0.658029,5.30699,1.15512,0.987939,0,6.16,1.57629,0.463977,5.85066,0.720112,0.678519,0,5.4218,1.86,0.71145,4.96063,1.41177,0.970577,0,6.16,1.35815,0.219072,5.95376,0.688497,0.297857,0,5.94926,1.86,0.603057,5.49712,1.12061,0.914462,0,5.94511,1.86,0.366616,5.52672,1.17662,0.528858,0,6.08065,1.86,0.356597,5.68734,1.08093,0.52484,0,5.84049,1.86,0.138693,5.36179,1.17224,0.176427,0,6.16,1.61846,0.00712819,5.85433,0.803917,-0.0271569,0,5.37098,1.86,0.56355,4.89614,1.41577,0.768508,0,5.61505,1.86,0.701678,5.12759,1.30334,1.0001,0,5.21564,1.86,0.268096,4.77443,1.49647,0.360587,0,5.77627,1.86,0.4503,5.31105,1.23711,0.646183,0,6.16,1.32548,0.0885193,5.95037,0.650316,0.118054,0,5.3988,1.86,0.355791,4.8913,1.37691,0.48839,0,5.68635,1.86,0.562358,5.13533,1.18975,0.827466,0,5.66506,1.86,0.0524622,5.10649,1.19899,0.0448303,0,6.03262,1.86,0.178758,5.61432,1.09011,0.236432,0,5.37077,1.86,0.156179,4.87039,1.39744,0.212854,0,5.9152,1.86,0.238865,5.49255,1.19434,0.329748,0,5.17425,1.86,0.500551,4.73448,1.5034,0.662772,0,5.49916,1.86,0.0494566,5.0184,1.36409,0.0612628,0,5.88116,1.86,0.0150807,5.42535,1.17533,-0.0161297,0,5.29378,1.86,-0.0277468,4.82369,1.44872,-0.0308673,0,5.85499,1.86,0.540397,5.37319,1.15806,0.802493,0,6.16,1.85755,0.0375492,5.80294,1.04999,0.00338054,0,
0.0666681,6.73229,3.12669,0.202769,6.76466,3.12091,0.275209,6.16,1.24268,-0.040327,6.04929,0.785243,-0.0258985,0,6.16,1.83032,0.446911,5.86102,1.0915,0.658187,0,6.16,1.55156,0.589764,5.96331,0.936499,0.81357,0,6.15976,1.86,0.134836,5.84414,1.10407,0.166636,0,6.16,1.18347,0.618192,6.03148,0.667386,0.799143,0,6.16,1.49829,0.332819,5.95703,0.844247,0.456203,0,5.63716,1.86,0.230885,5.16803,1.28795,0.317398,0,6.16,1.76192,0.26976,5.8761,1.02334,0.378232,0,5.59574,1.86,0.418771,5.19497,1.37419,0.575695,0,5.80704,1.86,0.310501,5.37481,1.23301,0.437313,0,5.98086,1.86,0.480488,5.59453,1.16472,0.705454,0,6.12846,1.86,0.540511,5.84659,1.2124,0.785476,0,5.81385,1.86,0.658029,5.37221,1.21418,0.963311,0,6.16,1.57629,0.463977,5.90423,0.806345,0.665936,0,5.4218,1.86,0.71145,5.00813,1.43553,0.956113,0,6.16,1.35815,0.219072,5.99236,0.752051,0.297589,0,5.94926,1.86,0.603057,5.56599,1.19691,0.886098,0,5.94511,1.86,0.366616,5.59815,1.25813,0.517262,0,6.08065,1.86,0.356597,5.76728,1.19355,0.510738,0,5.84049,1.86,0.138693,5.43544,1.24544,0.18109,0,6.16,1.61846,0.00712819,5.90655,0.885597,-0.0147776,0,5.37098,1.86,0.56355,4.94295,1.43805,0.759603,0,5.61505,1.86,0.701678,5.17982,1.33787,0.981125,0,5.21564,1.86,0.268096,4.82242,1.51354,0.360666,0,5.77627,1.86,0.4503,5.37419,1.29296,0.634174,0,6.16,1.32548,0.0885193,6.00538,0.746238,0.127611,0,5.3988,1.86,0.355791,4.96171,1.41696,0.484171,0,5.68635,1.86,0.562358,5.19137,1.23122,0.815398,0,5.66506,1.86,0.0524622,5.16926,1.24403,0.0523899,0,6.03262,1.86,0.178758,5.69945,1.20279,0.238168,0,5.37077,1.86,0.156179,4.91501,1.4167,0.212554,0,5.9152,1.86,0.238865,5.5621,1.27043,0.329749,0,5.17425,1.86,0.500551,4.78196,1.51992,0.655581,0,5.49916,1.86,0.0494566,5.08271,1.40475,0.0678554,0,5.88116,1.86,0.0150807,5.50321,1.2571,-0.00144473,0,5.29378,1.86,-0.0277468,4.87252,1.46865,-0.025549,0,5.85499,1.86,0.540397,5.42107,1.20234,0.783635,0,6.16,1.85755,0.0375492,5.87079,1.1555,0.0183153,0,
0.100002,6.72354,3.13245,0.202569,6.75661,3.1263,0.275612,6.16,1.24268,-0.040327,6.07142,0.849426,-0.0132249,0,6.16,1.83032,0.446911,5.90927,1.18737,0.642829,0,6.16,1.55156,0.589764,5.98835,0.996723,0.799889,0,6.15976,1.86,0.134836,5.89582,1.20475,0.174464,0,6.16,1.18347,0.618192,6.03581,0.690596,0.796667,0,6.16,1.49829,0.332819,5.99641,0.939668,0.453433,0,5.63716,1.86,0.230885,5.21723,1.34131,0.319953,0,6.16,1.76192,0.26976,5.91452,1.10501,0.377472,0,5.59574,1.86,0.418771,5.23336,1.41748,0.5726,0,5.80704,1.86,0.310501,5.42811,1.29972,0.433977,0,5.98086,1.86,0.480488,5.64953,1.24761,0.68945,0,6.12846,1.86,0.540511,5.88626,1.286,0.766886,0,5.81385,1.86,0.658029,5.42728,1.28237,0.940875,0,6.16,1.57629,0.463977,5.92916,0.869203,0.658133,0,5.4218,1.86,0.71145,5.04176,1.46766,0.947825,0,6.16,1.35815,0.219072,5.9993,0.782507,0.302451,0,5.94926,1.86,0.603057,5.60957,1.26211,0.870982,0,5.94511,1.86,0.366616,5.63347,1.31218,0.512764,0,6.08065,1.86,0.356597,5.82144,1.28829,0.502112,0,5.84049,1.86,0.138693,5.48707,1.3129,0.187876,0,6.16,1.61846,0.00712819,5.93393,0.952224,-0.000539213,0,5.37098,1.86,0.56355,4.97916,1.47056,0.752195,0,5.61505,1.86,0.701678,5.2197,1.37994,0.966735,0,5.21564,1.86,0.268096,4.86848,1.54989,0.363045,0,5.77627,1.86,0.4503,5.41488,1.34344,0.626706,0,6.16,1.32548,0.0885193,6.02416,0.804566,0.134629,0,5.3988,1.86,0.355791,4.98437,1.44213,0.483436,0,5.68635,1.86,0.562358,5.25238,1.29661,0.795221,0,5.66506,1.86,0.0524622,5.22189,1.30104,0.0613675,0,6.03262,1.86,0.178758,5.73981,1.27196,0.243859,0,5.37077,1.86,0.156179,4.97187,1.46438,0.219591,0,5.9152,1.86,0.238865,5.60919,1.3374,0.330674,0,5.17425,1.86,0.500551,4.81158,1.54541,0.653663,0,5.49916,1.86,0.0494566,5.13367,1.4532,0.0753622,0,5.88116,1.86,0.0150807,5.56693,1.34253,0.015368,0,5.29378,1.86,-0.0277468,4.90704,1.4992,-0.014127,0,5.85499,1.86,0.540397,5.46819,1.26246,0.767541,0,6.16,1.85755,0.0375492,5.91637,1.24522,0.0325309,0,
0.133336,6.70186,3.14703,0.202975,6.73487,3.14071,0.276695,6.16,1.24268,-0.040327,6.09997,0.897936,-0.00643933,0,6.16,1.83032,0.446911,5.9548,1.26167,0.628345,0,6.16,1.55156,0.589764,6.02028,1.04809,0.788247,0,6.15976,1.86,0.134836,5.94152,1.27871,0.180076,0,6.16,1.18347,0.618192,6.06558,0.732989,0.788583,0,6.16,1.49829,0.332819,6.03351,1.00573,0.448089,0,5.63716,1.86,0.230885,5.26721,1.37864,0.319787,0,6.16,1.76192,0.26976,5.96203,1.18374,0.374031,0,5.59574,1.86,0.418771,5.26336,1.43564,0.56946,0,5.80704,1.86,0.310501,5.48021,1.34984,0.430761,0,5.98086,1.86,0.480488,5.70743,1.32001,0.674014,0,6.12846,1.86,0.540511,5.92958,1.35178,0.750486,0,5.81385,1.86,0.658029,5.47089,1.32295,0.92595,0,6.16,1.57629,0.463977,5.97043,0.935941,0.646355,0,5.4218,1.86,0.71145,5.09228,1.49532,0.930951,0,6.16,1.35815,0.219072,6.03446,0.836594,0.301077,0,5.94926,1.86,0.603057,5.66148,1.32115,0.848767,0,5.94511,1.86,0.366616,5.69548,1.3859,0.504034,0,6.08065,1.86,0.356597,5.86834,1.35677,0.494807,0,5.84049,1.86,0.138693,5.5391,1.3656,0.192119,0,6.16,1.61846,0.00712819,5.96997,1.00849,0.00468028,0,5.37098,1.86,0.56355,5.02022,1.4904,0.746055,0,5.61505,1.86,0.701678,5.25991,1.40716,0.95511,0,5.21564,1.86,0.268096,4.90306,1.56265,0.36457,0,5.77627,1.86,0.4503,5.46533,1.38923,0.618165,0,6.16,1.32548,0.0885193,6.04957,0.843084,0.139119,0,5.3988,1.86,0.355791,5.0291,1.46444,0.482696,0,5.68635,1.86,0.562358,5.3032,1.3379,0.784572,0,5.66506,1.86,0.0524622,5.28574,1.35338,0.0723877,0,6.03262,1.86,0.178758,5.79349,1.34326,0.245149,0,5.37077,1.86,0.156179,5.02295,1.4926,0.222628,0,5.9152,1.86,0.238865,5.65343,1.38622,0.32922,0,5.17425,1.86,0.500551,4.8451,1.55598,0.652938,0,5.49916,1.86,0.0494566,5.17794,1.48113,0.0825599,0,5.88116,1.86,0.0150807,5.62205,1.40385,0.0255325,0,5.29378,1.86,-0.0277468,4.94746,1.51618,-0.00623369,0,5.85499,1.86,0.540397,5.52002,1.31392,0.75156,0,6.16,1.85755,0.0375492,5.95874,1.31347,0.0435113,0,
0.16667,6.68007,3.16066,0.203337,6.72262,3.14849,0.277293,6.16,1.24268,-0.040327,6.10218,0.908876,-0.00744674,0,6.16,1.83032,0.446911,5.96623,1.28766,0.623063,0,6.16,1.55156,0.589764,6.02397,1.06093,0.783238,0,6.15976,1.86,0.134836,5.95373,1.30573,0.178996,0,6.16,1.18347,0.618192,6.06255,0.734053,0.785585,0,6.16,1.49829,0.332819,6.0365,1.02013,0.442333,0,5.63716,1.86,0.230885,5.26952,1.3848,0.317755,0,6.16,1.76192,0.26976,5.98121,1.22583,0.368528,0,5.59574,1.86,0.418771,5.28177,1.45341,0.563853,0,5.80704,1.86,0.310501,5.49329,1.36837,0.425712,0,5.98086,1.86,0.480488,5.72196,1.34486,0.666319,0,6.12846,1.86,0.540511,5.93838,1.37198,0.741302,0,5.81385,1.86,0.658029,5.48626,1.34274,0.91699,0,6.16,1.57629,0.463977,5.97396,0.949726,0.644289,0,5.4218,1.86,0.71145,5.10621,1.50892,0.926258,0,6.16,1.35815,0.219072,6.03579,0.847481,0.296583,0,5.94926,1.86,0.603057,5.67225,1.33977,0.841157,0,5.94511,1.86,0.366616,5.69313,1.38936,0.501914,0,6.08065,1.86,0.356597,5.88595,1.38918,0.488591,0,5.84049,1.86,0.138693,5.54526,1.37707,0.190879,0,6.16,1.61846,0.00712819,5.98598,1.04564,0.00531146,0,5.37098,1.86,0.56355,5.01862,1.49247,0.743504,0,5.61505,1.86,0.701678,5.26143,1.4117,0.950592,0,5.21564,1.86,0.268096,4.90509,1.56716,0.358321,0,5.77627,1.86,0.4503,5.47944,1.40773,0.613704,0,6.16,1.32548,0.0885193,6.05386,0.856786,0.136324,0,5.3988,1.86,0.355791,5.01708,1.46073,0.482726,0,5.68635,1.86,0.562358,5.31369,1.35141,0.779173,0,5.66506,1.86,0.0524622,5.28298,1.35648,0.0694492,0,6.03262,1.86,0.178758,5.81465,1.37964,0.242859,0,5.37077,1.86,0.156179,5.02754,1.4994,0.222891,0,5.9152,1.86,0.238865,5.6629,1.40195,0.327296,0,5.17425,1.86,0.500551,4.84127,1.55618,0.650803,0,5.49916,1.86,0.0494566,5.18122,1.48705,0.0832059,0,5.88116,1.86,0.0150807,5.63394,1.4228,0.0267891,0,5.29378,1.86,-0.0277468,4.95286,1.52245,-0.00776252,0,5.85499,1.86,0.540397,5.52954,1.32917,0.74853,0,6.16,1.85755,0.0375492,5.97186,1.34149,0.0471224,0,
0.200004,6.68007,3.16066,0.203337,6.71335,3.15399,0.277731,6.16,1.24268,-0.040327,6.11865,0.951458,-0.00178748,0,6.16,1.83032,0.446911,5.99468,1.3437,0.610193,0,6.16,1.55156,0.589764,6.04313,1.10363,0.771829,0,6.15976,1.86,0.134836,5.98547,1.36678,0.182952,0,6.16,1.18347,0.618192,6.07543,0.766489,0.777009,0,6.16,1.49829,0.332819,6.04976,1.05154,0.442905,0,5.63716,1.86,0.230885,5.31246,1.42722,0.316718,0,6.16,1.76192,0.26976,5.99822,1.26353,0.367666,0,5.59574,1.86,0.418771,5.31428,1.48631,0.557594,0,5.80704,1.86,0.310501,5.53161,1.41461,0.423204,0,5.98086,1.86,0.480488,5.74923,1.38592,0.656763,0,6.12846,1.86,0.540511,5.96837,1.42564,0.728168,0,5.81385,1.86,0.658029,5.51292,1.37568,0.904651,0,6.16,1.57629,0.463977,5.98942,0.984989,0.636233,0,5.4218,1.86,0.71145,5.13735,1.53565,0.913491,0,6.16,1.35815,0.219072,6.05107,0.884895,0.296845,0,5.94926,1.86,0.603057,5.69976,1.37865,0.8288,0,5.94511,1.86,0.366616,5.72758,1.43601,0.495054,0,6.08065,1.86,0.356597,5.91693,1.44342,0.485433,0,5.84049,1.86,0.138693,5.58575,1.42697,0.193101,0,6.16,1.61846,0.00712819,5.99777,1.07524,0.0121093,0,5.37098,1.86,0.56355,5.04128,1.51071,0.738796,0,5.61505,1.86,0.701678,5.29267,1.44164,0.940018,0,5.21564,1.86,0.268096,4.92,1.579,0.360672,0,5.77627,1.86,0.4503,5.50944,1.44331,0.605534,0,6.16,1.32548,0.0885193,6.06017,0.876033,0.139877,0,5.3988,1.86,0.355791,5.05357,1.48895,0.474599,0,5.68635,1.86,0.562358,5.3402,1.38027,0.77281,0,5.66506,1.86,0.0524622,5.31322,1.38725,0.0708019,0,6.03262,1.86,0.178758,5.84257,1.42568,0.24563,0,5.37077,1.86,0.156179,5.04442,1.51471,0.22055,0,5.9152,1.86,0.238865,5.6918,1.44149,0.325202,0,5.17425,1.86,0.500551,4.85931,1.5692,0.6476,0,5.49916,1.86,0.0494566,5.21015,1.51297,0.0878782,0,5.88116,1.86,0.0150807,5.6721,1.47288,0.0350049,0,5.29378,1.86,-0.0277468,4.98851,1.54962,-0.00368148,0,5.85499,1.86,0.540397,5.56365,1.37192,0.738019,0,6.16,1.85755,0.0375492,6.00668,1.40878,0.0566028,0,
0.233338,6.67145,3.16549,0.20312,6.70517,3.15872,0.278113,6.16,1.24268,-0.040327,6.14727,1.04448,0.0141443,0,6.16,1.83032,0.446911,6.03935,1.44404,0.59371,0,6.16,1.55156,0.589764,6.07871,1.19846,0.751081,0,6.15976,1.86,0.134836,6.0284,1.46248,0.190183,0,6.16,1.18347,0.618192,6.09458,0.833298,0.765244,0,6.16,1.49829,0.332819,6.07888,1.13313,0.43708,0,5.63716,1.86,0.230885,5.37606,1.5013,0.31842,0,6.16,1.76192,0.26976,6.04085,1.3626,0.364441,0,5.59574,1.86,0.418771,5.37979,1.55906,0.548833,0,5.80704,1.86,0.310501,5.5917,1.49694,0.418255,0,5.98086,1.86,0.480488,5.80393,1.4768,0.639588,0,6.12846,1.86,0.540511,6.00401,1.50157,0.709396,0,5.81385,1.86,0.658029,5.5509,1.42992,0.887829,0,6.16,1.57629,0.463977,6.0378,1.10809,0.618601,0,5.4218,1.86,0.71145,5.18166,1.58078,0.899505,0,6.16,1.35815,0.219072,6.07359,0.957131,0.29978,0,5.94926,1.86,0.603057,5.76251,1.47701,0.798948,0,5.94511,1.86,0.366616,5.78383,1.52584,0.486003,0,6.08065,1.86,0.356597,5.97017,1.54672,0.475635,0,5.84049,1.86,0.138693,5.64656,1.51344,0.200059,0,6.16,1.61846,0.00712819,6.0351,1.16964,0.0263314,0,5.37098,1.86,0.56355,5.09782,1.56344,0.727248,0,5.61505,1.86,0.701678,5.35693,1.5131,0.914777,0,5.21564,1.86,0.268096,4.9522,1.60942,0.362,0,5.77627,1.86,0.4503,5.56549,1.51721,0.593671,0,6.16,1.32548,0.0885193,6.07457,0.927041,0.145985,0,5.3988,1.86,0.355791,5.10926,1.54296,0.472289,0,5.68635,1.86,0.562358,5.40366,1.45578,0.75431,0,5.66506,1.86,0.0524622,5.39038,1.47604,0.0859185,0,6.03262,1.86,0.178758,5.89128,1.5139,0.248909,0,5.37077,1.86,0.156179,5.093,1.5607,0.226404,0,5.9152,1.86,0.238865,5.75452,1.53748,0.327521,0,5.17425,1.86,0.500551,4.91582,1.61535,0.640308,0,5.49916,1.86,0.0494566,5.27428,1.57851,0.0992398,0,5.88116,1.86,0.0150807,5.72513,1.55257,0.0473372,0,5.29378,1.86,-0.0277468,5.05158,1.60561,0.0108005,0,5.85499,1.86,0.540397,5.6254,1.45945,0.714421,0,6.16,1.85755,0.0375492,6.04227,1.49065,0.0697173,0,
0.266672,6.64971,3.17824,0.203489,6.6835,3.17122,0.279125,6.16,1.24268,-0.040327,6.17544,1.0985,0.024346,0,6.16,1.83032,0.446911,6.0645,1.48546,0.586397,0,6.16,1.55156,0.589764,6.09848,1.22897,0.745216,0,6.15976,1.86,0.134836,6.05628,1.50844,0.193857,0,6.16,1.18347,0.618192,6.11251,0.852388,0.762301,0,6.16,1.49829,0.332819,6.09863,1.16197,0.437191,0,5.63716,1.86,0.230885,5.41001,1.52555,0.317818,0,6.16,1.76192,0.26976,6.06141,1.39464,0.364356,0,5.59574,1.86,0.418771,5.40168,1.57154,0.545979,0,5.80704,1.86,0.310501,5.62214,1.52504,0.416265,0,5.98086,1.86,0.480488,5.82604,1.50179,0.634111,0,6.12846,1.86,0.540511,6.02888,1.53886,0.700211,0,5.81385,1.86,0.658029,5.5915,1.46704,0.873016,0,6.16,1.57629,0.463977,6.05803,1.13869,0.613081,0,5.4218,1.86,0.71145,5.20697,1.59022,0.892609,0,6.16,1.35815,0.219072,6.0998,0.997555,0.301379,0,5.94926,1.86,0.603057,5.7857,1.50354,0.793597,0,5.94511,1.86,0.366616,5.80479,1.54848,0.48315,0,6.08065,1.86,0.356597,5.99284,1.5801,0.472324,0,5.84049,1.86,0.138693,5.6749,1.54096,0.201762,0,6.16,1.61846,0.00712819,6.05804,1.20443,0.0322038,0,5.37098,1.86,0.56355,5.12031,1.56995,0.72375,0,5.61505,1.86,0.701678,5.37661,1.52305,0.908584,0,5.21564,1.86,0.268096,4.97292,1.61012,0.360551,0,5.77627,1.86,0.4503,5.59176,1.53906,0.58941,0,6.16,1.32548,0.0885193,6.09713,0.955635,0.148505,0,5.3988,1.86,0.355791,5.14716,1.56152,0.46822,0,5.68635,1.86,0.562358,5.43369,1.47706,0.745846,0,5.66506,1.86,0.0524622,5.43502,1.51297,0.092226,0,6.03262,1.86,0.178758,5.92616,1.56278,0.250609,0,5.37077,1.86,0.156179,5.12816,1.57601,0.22671,0,5.9152,1.86,0.238865,5.78686,1.57521,0.32721,0,5.17425,1.86,0.500551,4.94987,1.62542,0.634286,0,5.49916,1.86,0.0494566,5.30585,1.59678,0.103285,0,5.88116,1.86,0.0150807,5.75547,1.58515,0.0543221,0,5.29378,1.86,-0.0277468,5.11315,1.64041,0.0168793,0,5.85499,1.86,0.540397,5.65599,1.48934,0.704027,0,6.16,1.85755,0.0375492,6.07051,1.53732,0.0773799,0,
0.300007,6.64108,3.1828,0.203292,6.67085,3.17816,0.279703,6.16,1.24268,-0.040327,6.18988,1.14162,0.031174,0,6.16,1.83032,0.446911,6.08702,1.53427,0.579221,0,6.16,1.55156,0.589764,6.11649,1.27221,0.736681,0,6.15976,1.86,0.134836,6.0789,1.55712,0.198153,0,6.16,1.18347,0.618192,6.1244,0.882469,0.7569,0,6.16,1.49829,0.332819,6.11123,1.19354,0.436718,0,5.63716,1.86,0.230885,5.44536,1.56387,0.320491,0,6.16,1.76192,0.26976,6.07985,1.43541,0.364191,0,5.59574,1.86,0.418771,5.44528,1.61584,0.54108,0,5.80704,1.86,0.310501,5.65482,1.56698,0.413599,0,5.98086,1.86,0.480488,5.86205,1.55862,0.624698,0,6.12846,1.86,0.540511,6.05305,1.5872,0.689449,0,5.81385,1.86,0.658029,5.61395,1.49728,0.864617,0,6.16,1.57629,0.463977,6.08686,1.20733,0.605998,0,5.4218,1.86,0.71145,5.22426,1.60612,0.88923,0,6.16,1.35815,0.219072,6.11167,1.03002,0.302615,0,5.94926,1.86,0.603057,5.81847,1.5528,0.780502,0,5.94511,1.86,0.366616,5.81808,1.56904,0.481389,0,6.08065,1.86,0.356597,6.01685,1.62529,0.469045,0,5.84049,1.86,0.138693,5.70965,1.58775,0.20755,0,6.16,1.61846,0.00712819,6.0765,1.24782,0.0398836,0,5.37098,1.86,0.56355,5.14803,1.59305,0.720472,0,5.61505,1.86,0.701678,5.39097,1.53766,0.902739,0,5.21564,1.86,0.268096,4.98907,1.62272,0.364639,0,5.77627,1.86,0.4503,5.62305,1.57786,0.584863,0,6.16,1.32548,0.0885193,6.1039,0.975814,0.153319,0,5.3988,1.86,0.355791,5.21129,1.61823,0.468463,0,5.68635,1.86,0.562358,5.46486,1.51235,0.739827,0,5.66506,1.86,0.0524622,5.47305,1.55603,0.100919,0,6.03262,1.86,0.178758,5.9476,1.60184,0.25378,0,5.37077,1.86,0.156179,5.17819,1.61847,0.233637,0,5.9152,1.86,0.238865,5.8227,1.62958,0.32998,0,5.17425,1.86,0.500551,4.9818,1.64892,0.632194,0,5.49916,1.86,0.0494566,5.34324,1.63221,0.11099,0,5.88116,1.86,0.0150807,5.78177,1.62302,0.0624053,0,5.29378,1.86,-0.0277468,5.14634,1.66881,0.0264526,0,5.85499,1.86,0.540397,5.68975,1.53475,0.694368,0,6.16,1.85755,0.0375492,6.08991,1.57997,0.0851248,0,
