time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,7.48979,-1.81172,0.154268,8.46673,-2.84562,0.029613,6.16,-1.20751,0.539379,6.21191,-1.82111,0.682614,0,6.16,-1.4659,0.0650247,6.03614,-2.21352,-0.133506,0,6.16,-1.17534,0.662988,6.23324,-1.77677,0.884047,0,6.16,-1.33273,0.463408,6.19641,-2.02786,0.557398,0,6.16,-1.46526,0.541627,6.10516,-2.23035,0.717521,0,6.16,-1.225,0.19022,6.1183,-1.80946,0.0931044,0,6.16,-1.36842,0.202313,6.13169,-2.0672,0.113976,0,6.16,-1.23786,0.407189,6.24219,-1.88564,0.452711,0,6.16,-1.07353,0.415892,6.2073,-1.59136,0.474135,0,6.16,-1.52242,0.232916,5.95168,-2.29846,0.178361,0,6.16,-1.66512,0.463609,6.03359,-2.57739,0.595618,0,6.16,-1.66837,0.280855,5.99473,-2.57913,0.26493,0,6.16,-1.49513,0.432836,6.04635,-2.26939,0.53664,0,6.16,-1.48571,0.330194,6.10637,-2.26696,0.34188,0,6.16,-1.66311,0.371749,5.95919,-2.5654,0.439708,0,6.16,-1.58991,0.162791,5.92104,-2.421,0.0459285,0,6.16,-1.58498,0.330315,5.96938,-2.41979,0.360229,0,6.16,-1.34065,0.314769,6.09904,-2.00687,0.315383,0,6.16,-1.34776,0.569017,6.19339,-2.05246,0.738646,0,6.16,-1.08296,0.0949218,6.26004,-1.63629,-0.0688684,0,6.16,-1.20679,0.302436,6.19281,-1.81119,0.282978,0,6.16,-1.57423,0.492748,6.08487,-2.42024,0.635882,0,6.16,-1.64,0.0955495,5.95529,-2.52131,-0.0812832,0,6.16,-1.32465,0.0981894,6.06937,-1.96753,-0.0714867,0,6.16,-1.68347,0.558885,6.16406,-2.62353,0.730248,0,6.16,-1.55631,0.585823,6.09479,-2.39005,0.799374,0,6.16,-1.68043,0.192875,5.95917,-2.59804,0.102413,0,6.16,-1.56234,0.0526323,5.96492,-2.37645,-0.1616,0,6.16,-1.21675,0.0828097,6.14365,-1.80624,-0.0952218,0,
0.0333341,7.49355,-1.80225,0.153987,8.47159,-2.83609,0.0297917,6.16,-1.20751,0.539379,6.29157,-1.86819,0.661671,0,6.16,-1.4659,0.0650247,6.14055,-2.25301,-0.12354,0,6.16,-1.17534,0.662988,6.31577,-1.82949,0.853749,0,6.16,-1.33273,0.463408,6.28496,-2.07011,0.539062,0,6.16,-1.46526,0.541627,6.19609,-2.26462,0.692673,0,6.16,-1.225,0.19022,6.21361,-1.86377,0.0919371,0,6.16,-1.36842,0.202313,6.23518,-2.11359,0.113472,0,6.16,-1.23786,0.407189,6.3281,-1.93385,0.436913,0,6.16,-1.07353,0.415892,6.28552,-1.64674,0.461932,0,6.16,-1.52242,0.232916,6.05259,-2.33191,0.175234,0,6.16,-1.66512,0.463609,6.13744,-2.60004,0.574136,0,6.16,-1.66837,0.280855,6.0604,-2.59324,0.26116,0,6.16,-1.49513,0.432836,6.14479,-2.30387,0.516851,0,6.16,-1.48571,0.330194,6.25255,-2.3171,0.322093,0,6.16,-1.66311,0.371749,6.07819,-2.59095,0.424705,0,6.16,-1.58991,0.162791,6.01161,-2.44613,0.0490343,0,6.16,-1.58498,0.330315,6.09534,-2.45531,0.348176,0,6.16,-1.34065,0.314769,6.2548,-2.07882,0.295142,0,6.16,-1.34776,0.569017,6.284,-2.09529,0.710984,0,6.16,-1.08296,0.0949218,6.33997,-1.69197,-0.06132,0,6.16,-1.20679,0.302436,6.27907,-1.86183,0.275718,0,6.16,-1.57423,0.492748,6.18875,-2.45021,0.611639,0,6.16,-1.64,0.0955495,6.06533,-2.54671,-0.0739392,0,6.16,-1.32465,0.0981894,6.16615,-2.01465,-0.0647397,0,6.16,-1.68347,0.558885,6.23913,-2.63899,0.710614,0,6.16,-1.55631,0.585823,6.19356,-2.41986,0.768455,0,6.16,-1.68043,0.192875,6.07462,-2.62099,0.101813,0,6.16,-1.56234,0.0526323,6.07571,-2.40949,-0.149487,0,6.16,-1.21675,0.0828097,6.24022,-1.86161,-0.0872857,0,
0.0666681,7.49355,-1.80225,0.153987,8.47603,-2.82739,0.0299547,6.16,-1.20751,0.539379,6.36083,-1.90108,0.642536,0,6.16,-1.4659,0.0650247,6.25006,-2.28493,-0.112672,0,6.16,-1.17534,0.662988,6.38123,-1.86181,0.829437,0,6.16,-1.33273,0.463408,6.3673,-2.10222,0.519723,0,6.16,-1.46526,0.541627,6.28365,-2.29014,0.668467,0,6.16,-1.225,0.19022,6.29711,-1.90256,0.0895938,0,6.16,-1.36842,0.202313,6.31927,-2.14325,0.111447,0,6.16,-1.23786,0.407189,6.39625,-1.96413,0.425326,0,6.16,-1.07353,0.415892,6.35632,-1.68768,0.447497,0,6.16,-1.52242,0.232916,6.15766,-2.35811,0.170057,0,6.16,-1.66512,0.463609,6.21355,-2.60938,0.555295,0,6.16,-1.66837,0.280855,6.14149,-2.60464,0.25446,0,6.16,-1.49513,0.432836,6.23212,-2.32683,0.499192,0,6.16,-1.48571,0.330194,6.36058,-2.34593,0.308327,0,6.16,-1.66311,0.371749,6.1547,-2.59979,0.409251,0,6.16,-1.58991,0.162791,6.13587,-2.47223,0.0477851,0,6.16,-1.58498,0.330315,6.17315,-2.46879,0.336375,0,6.16,-1.34065,0.314769,6.34987,-2.11339,0.283947,0,6.16,-1.34776,0.569017,6.37177,-2.12893,0.683455,0,6.16,-1.08296,0.0949218,6.41235,-1.73334,-0.0579053,0,6.16,-1.20679,0.302436,6.36025,-1.90071,0.269453,0,6.16,-1.57423,0.492748,6.26295,-2.46433,0.592321,0,6.16,-1.64,0.0955495,6.16388,-2.56184,-0.0679125,0,6.16,-1.32465,0.0981894,6.26863,-2.05589,-0.0604147,0,6.16,-1.68347,0.558885,6.32388,-2.65031,0.682013,0,6.16,-1.55631,0.585823,6.27274,-2.43677,0.743139,0,6.16,-1.68043,0.192875,6.17241,-2.63281,0.100265,0,6.16,-1.56234,0.0526323,6.17846,-2.43145,-0.139329,0,6.16,-1.21675,0.0828097,6.3151,-1.89601,-0.081605,0,
0.100002,7.49355,-1.80225,0.153987,8.48272,-2.81406,0.030207,6.16,-1.20751,0.539379,6.41871,-1.93258,0.62325,0,6.16,-1.4659,0.0650247,6.32872,-2.31014,-0.108958,0,6.16,-1.17534,0.662988,6.42666,-1.88759,0.80916,0,6.16,-1.33273,0.463408,6.42913,-2.12879,0.502769,0,6.16,-1.46526,0.541627,6.35461,-2.31375,0.646018,0,6.16,-1.225,0.19022,6.36548,-1.93808,0.0868332,0,6.16,-1.36842,0.202313,6.3868,-2.17047,0.107591,0,6.16,-1.23786,0.407189,6.45176,-1.99264,0.412894,0,6.16,-1.07353,0.415892,6.41208,-1.72391,0.435077,0,6.16,-1.52242,0.232916,6.23686,-2.38029,0.162688,0,6.16,-1.66512,0.463609,6.27436,-2.62009,0.537803,0,6.16,-1.66837,0.280855,6.21549,-2.61792,0.243926,0,6.16,-1.49513,0.432836,6.29673,-2.34645,0.482809,0,6.16,-1.48571,0.330194,6.42642,-2.36533,0.299045,0,6.16,-1.66311,0.371749,6.23014,-2.61384,0.395238,0,6.16,-1.58991,0.162791,6.21975,-2.49092,0.0456119,0,6.16,-1.58498,0.330315,6.25225,-2.48822,0.3255,0,6.16,-1.34065,0.314769,6.41749,-2.14147,0.274371,0,6.16,-1.34776,0.569017,6.43803,-2.15665,0.660388,0,6.16,-1.08296,0.0949218,6.46481,-1.76645,-0.0574596,0,6.16,-1.20679,0.302436,6.42283,-1.93364,0.256419,0,6.16,-1.57423,0.492748,6.33384,-2.48171,0.568863,0,6.16,-1.64,0.0955495,6.23127,-2.57455,-0.0679911,0,6.16,-1.32465,0.0981894,6.39404,-2.11065,-0.0568396,0,6.16,-1.68347,0.558885,6.36227,-2.65544,0.669741,0,6.16,-1.55631,0.585823,6.37342,-2.46397,0.708627,0,6.16,-1.68043,0.192875,6.24973,-2.64539,0.09625,0,6.16,-1.56234,0.0526323,6.25349,-2.45021,-0.134991,0,6.16,-1.21675,0.0828097,6.37945,-1.9302,-0.0798381,0,
0.133336,7.51028,-1.7609,0.154069,8.49565,-2.78759,0.0307164,6.16,-1.20751,0.539379,6.48456,-1.97969,0.601014,0,6.16,-1.4659,0.0650247,6.4157,-2.34823,-0.104558,0,6.16,-1.17534,0.662988,6.4925,-1.93774,0.780093,0,6.16,-1.33273,0.463408,6.50209,-2.1705,0.484018,0,6.16,-1.46526,0.541627,6.43404,-2.3499,0.619747,0,6.16,-1.225,0.19022,6.44149,-1.98904,0.0832372,0,6.16,-1.36842,0.202313,6.46616,-2.21234,0.102542,0,6.16,-1.23786,0.407189,6.51937,-2.03788,0.397584,0,6.16,-1.07353,0.415892,6.47853,-1.78053,0.419897,0,6.16,-1.52242,0.232916,6.32287,-2.41546,0.154747,0,6.16,-1.66512,0.463609,6.37866,-2.64972,0.514746,0,6.16,-1.66837,0.280855,6.29742,-2.64364,0.236372,0,6.16,-1.49513,0.432836,6.38359,-2.38402,0.463546,0,6.16,-1.48571,0.330194,6.50504,-2.39854,0.286903,0,6.16,-1.66311,0.371749,6.31091,-2.63928,0.381073,0,6.16,-1.58991,0.162791,6.31307,-2.52331,0.043452,0,6.16,-1.58498,0.330315,6.34711,-2.52113,0.311184,0,6.16,-1.34065,0.314769,6.49531,-2.18412,0.263264,0,6.16,-1.34776,0.569017,6.51341,-2.1982,0.634816,0,6.16,-1.08296,0.0949218,6.52486,-1.81707,-0.0555343,0,6.16,-1.20679,0.302436,6.49157,-1.98171,0.248514,0,6.16,-1.57423,0.492748,6.41366,-2.51117,0.546899,0,6.16,-1.64,0.0955495,6.32199,-2.60342,-0.0653917,0,6.16,-1.32465,0.0981894,6.48816,-2.15937,-0.0538463,0,6.16,-1.68347,0.558885,6.45481,-2.6812,0.63854,0,6.16,-1.55631,0.585823,6.45935,-2.49457,0.679199,0,6.16,-1.68043,0.192875,6.34315,-2.67125,0.092208,0,6.16,-1.56234,0.0526323,6.34518,-2.48402,-0.129898,0,6.16,-1.21675,0.0828097,6.47133,-1.98961,-0.0773724,0,
0.16667,7.51028,-1.7609,0.154069,8.50169,-2.77424,0.0309853,6.16,-1.20751,0.539379,6.55929,-2.01723,0.57792,0,6.16,-1.4659,0.0650247,6.49037,-2.36987,-0.100752,0,6.16,-1.17534,0.662988,6.56707,-1.97728,0.750299,0,6.16,-1.33273,0.463408,6.57451,-2.19926,0.46576,0,6.16,-1.46526,0.541627,6.52798,-2.37803,0.590937,0,6.16,-1.225,0.19022,6.51488,-2.02425,0.0810659,0,6.16,-1.36842,0.202313,6.53848,-2.23871,0.0984765,0,6.16,-1.23786,0.407189,6.58939,-2.07093,0.382934,0,6.16,-1.07353,0.415892,6.55195,-1.82501,0.40452,0,6.16,-1.52242,0.232916,6.41583,-2.43923,0.149165,0,6.16,-1.66512,0.463609,6.45439,-2.65979,0.493377,0,6.16,-1.66837,0.280855,6.37516,-2.65515,0.226574,0,6.16,-1.49513,0.432836,6.46987,-2.40752,0.443252,0,6.16,-1.48571,0.330194,6.57174,-2.41662,0.276122,0,6.16,-1.66311,0.371749,6.40595,-2.65382,0.363513,0,6.16,-1.58991,0.162791,6.39947,-2.54051,0.0405407,0,6.16,-1.58498,0.330315,6.42116,-2.53535,0.296998,0,6.16,-1.34065,0.314769,6.57076,-2.21317,0.252814,0,6.16,-1.34776,0.569017,6.59419,-2.22944,0.608352,0,6.16,-1.08296,0.0949218,6.58575,-1.85334,-0.0526683,0,6.16,-1.20679,0.302436,6.56204,-2.01669,0.240061,0,6.16,-1.57423,0.492748,6.48731,-2.52726,0.528548,0,6.16,-1.64,0.0955495,6.39659,-2.61558,-0.063446,0,6.16,-1.32465,0.0981894,6.56247,-2.1883,-0.0515646,0,6.16,-1.68347,0.558885,6.5205,-2.68932,0.616642,0,6.16,-1.55631,0.585823,6.53886,-2.51232,0.650771,0,6.16,-1.68043,0.192875,6.4233,-2.68172,0.087689,0,6.16,-1.56234,0.0526323,6.41895,-2.50005,-0.126396,0,6.16,-1.21675,0.0828097,6.5421,-2.02329,-0.0735432,0,
0.200004,7.51888,-1.73671,0.153964,8.50634,-2.76364,0.0312018,6.16,-1.20751,0.539379,6.64428,-2.05714,0.552554,0,6.16,-1.4659,0.0650247,6.58026,-2.39428,-0.0953942,0,6.16,-1.17534,0.662988,6.66212,-2.02468,0.713426,0,6.16,-1.33273,0.463408,6.65457,-2.22904,0.446687,0,6.16,-1.46526,0.541627,6.62748,-2.40482,0.561515,0,6.16,-1.225,0.19022,6.60496,-2.06515,0.0771673,0,6.16,-1.36842,0.202313,6.62579,-2.26881,0.0944753,0,6.16,-1.23786,0.407189,6.67144,-2.10747,0.367188,0,6.16,-1.07353,0.415892,6.63566,-1.8728,0.38782,0,6.16,-1.52242,0.232916,6.52537,-2.46419,0.143293,0,6.16,-1.66512,0.463609,6.53949,-2.67048,0.473072,0,6.16,-1.66837,0.280855,6.47198,-2.66728,0.216483,0,6.16,-1.49513,0.432836,6.56258,-2.43047,0.422544,0,6.16,-1.48571,0.330194,6.65443,-2.43785,0.264812,0,6.16,-1.66311,0.371749,6.50375,-2.66576,0.347181,0,6.16,-1.58991,0.162791,6.50161,-2.55875,0.039323,0,6.16,-1.58498,0.330315,6.52778,-2.5555,0.283513,0,6.16,-1.34065,0.314769,6.65665,-2.24426,0.242048,0,6.16,-1.34776,0.569017,6.6841,-2.26172,0.579346,0,6.16,-1.08296,0.0949218,6.66325,-1.89726,-0.0498897,0,6.16,-1.20679,0.302436,6.64955,-2.0577,0.232675,0,6.16,-1.57423,0.492748,6.58573,-2.5462,0.500551,0,6.16,-1.64,0.0955495,6.49291,-2.62963,-0.0596695,0,6.16,-1.32465,0.0981894,6.64922,-2.2208,-0.048223,0,6.16,-1.68347,0.558885,6.58295,-2.69636,0.598293,0,6.16,-1.55631,0.585823,6.62125,-2.52904,0.62338,0,6.16,-1.68043,0.192875,6.51256,-2.69168,0.0850604,0,6.16,-1.56234,0.0526323,6.51399,-2.51936,-0.119563,0,6.16,-1.21675,0.0828097,6.61311,-2.05569,-0.0697021,0,
0.233338,7.52748,-1.71136,0.153795,8.51201,-2.75017,0.0314832,6.16,-1.20751,0.539379,6.7411,-2.10228,0.526834,0,6.16,-1.4659,0.0650247,6.67602,-2.41973,-0.0871601,0,6.16,-1.17534,0.662988,6.74894,-2.06694,0.682108,0,6.16,-1.33273,0.463408,6.75265,-2.26536,0.425246,0,6.16,-1.46526,0.541627,6.69482,-2.42216,0.541528,0,6.16,-1.225,0.19022,6.70488,-2.11004,0.0768173,0,6.16,-1.36842,0.202313,6.72052,-2.30094,0.0931995,0,6.16,-1.23786,0.407189,6.76396,-2.14822,0.351349,0,6.16,-1.07353,0.415892,6.72957,-1.92621,0.37184,0,6.16,-1.52242,0.232916,6.62921,-2.48711,0.13668,0,6.16,-1.66512,0.463609,6.63545,-2.68249,0.451154,0,6.16,-1.66837,0.280855,6.57854,-2.68029,0.208177,0,6.16,-1.49513,0.432836,6.67459,-2.45821,0.401512,0,6.16,-1.48571,0.330194,6.7482,-2.46132,0.253342,0,6.16,-1.66311,0.371749,6.60714,-2.67835,0.329524,0,6.16,-1.58991,0.162791,6.60701,-2.5771,0.0393361,0,6.16,-1.58498,0.330315,6.63546,-2.57444,0.269914,0,6.16,-1.34065,0.314769,6.74954,-2.27747,0.232977,0,6.16,-1.34776,0.569017,6.7666,-2.29081,0.553947,0,6.16,-1.08296,0.0949218,6.74484,-1.94308,-0.0438244,0,6.16,-1.20679,0.302436,6.7456,-2.10214,0.222495,0,6.16,-1.57423,0.492748,6.69044,-2.56577,0.474861,0,6.16,-1.64,0.0955495,6.56828,-2.63954,-0.0516735,0,6.16,-1.32465,0.0981894,6.73896,-2.25387,-0.0426812,0,6.16,-1.68347,0.558885,6.68112,-2.70822,0.568714,0,6.16,-1.55631,0.585823,6.72556,-2.55031,0.591267,0,6.16,-1.68043,0.192875,6.62143,-2.70374,0.0818601,0,6.16,-1.56234,0.0526323,6.61772,-2.53972,-0.110173,0,6.16,-1.21675,0.0828097,6.71656,-2.10356,-0.0627645,0,
0.266672,7.52748,-1.71136,0.153795,8.51694,-2.73906,0.031709,6.16,-1.20751,0.539379,6.7789,-2.11549,0.514344,0,6.16,-1.4659,0.0650247,6.71995,-2.42784,-0.0850248,0,6.16,-1.17534,0.662988,6.78069,-2.07817,0.668905,0,6.16,-1.33273,0.463408,6.80005,-2.27901,0.413555,0,6.16,-1.46526,0.541627,6.73287,-2.42944,0.529234,0,6.16,-1.225,0.19022,6.74679,-2.1246,0.0750214,0,6.16,-1.36842,0.202313,6.76263,-2.3115,0.0902912,0,6.16,-1.23786,0.407189,6.7989,-2.15946,0.343701,0,6.16,-1.07353,0.415892,6.76871,-1.94379,0.36277,0,6.16,-1.52242,0.232916,6.68482,-2.49601,0.133804,0,6.16,-1.66512,0.463609,6.6698,-2.68267,0.441763,0,6.16,-1.66837,0.280855,6.6232,-2.6818,0.203959,0,6.16,-1.49513,0.432836,6.72102,-2.4656,0.390867,0,6.16,-1.48571,0.330194,6.7831,-2.46634,0.247675,0,6.16,-1.66311,0.371749,6.65554,-2.68067,0.32268,0,6.16,-1.58991,0.162791,6.65985,-2.58271,0.0393382,0,6.16,-1.58498,0.330315,6.69006,-2.5805,0.262386,0,6.16,-1.34065,0.314769,6.79069,-2.28849,0.226734,0,6.16,-1.34776,0.569017,6.80398,-2.30068,0.543222,0,6.16,-1.08296,0.0949218,6.78708,-1.96268,-0.043889,0,6.16,-1.20679,0.302436,6.78648,-2.11646,0.213985,0,6.16,-1.57423,0.492748,6.73073,-2.56948,0.464638,0,6.16,-1.64,0.0955495,6.61468,-2.64327,-0.0495455,0,6.16,-1.32465,0.0981894,6.77836,-2.26477,-0.0422914,0,6.16,-1.68347,0.558885,6.71456,-2.70793,0.557582,0,6.16,-1.55631,0.585823,6.78249,-2.55826,0.574495,0,6.16,-1.68043,0.192875,6.68985,-2.70704,0.0757177,0,6.16,-1.56234,0.0526323,6.66907,-2.54612,-0.107496,0,6.16,-1.21675,0.0828097,6.76657,-2.12216,-0.0601164,0,
0.300007,7.535,-1.6868,0.153657,8.52257,-2.72527,0.0320013,6.16,-1.20751,0.539379,6.78995,-2.11927,0.512229,0,6.16,-1.4659,0.0650247,6.74529,-2.43374,-0.0828271,0,6.16,-1.17534,0.662988,6.79137,-2.08229,0.665534,0,6.16,-1.33273,0.463408,6.80659,-2.27946,0.412811,0,6.16,-1.46526,0.541627,6.73482,-2.42811,0.52958,0,6.16,-1.225,0.19022,6.76923,-2.13374,0.0742658,0,6.16,-1.36842,0.202313,6.78021,-2.31637,0.0907435,0,6.16,-1.23786,0.407189,6.81213,-2.16424,0.341616,0,6.16,-1.07353,0.415892,6.78346,-1.95091,0.359892,0,6.16,-1.52242,0.232916,6.70393,-2.49882,0.132712,0,6.16,-1.66512,0.463609,6.69839,-2.68597,0.438172,0,6.16,-1.66837,0.280855,6.64929,-2.68416,0.203342,0,6.16,-1.49513,0.432836,6.73776,-2.46846,0.388349,0,6.16,-1.48571,0.330194,6.79733,-2.46897,0.247848,0,6.16,-1.66311,0.371749,6.67647,-2.68213,0.320623,0,6.16,-1.58991,0.162791,6.68242,-2.58542,0.0402212,0,6.16,-1.58498,0.330315,6.70336,-2.58118,0.261182,0,6.16,-1.34065,0.314769,6.80382,-2.29192,0.226166,0,6.16,-1.34776,0.569017,6.82024,-2.30539,0.540188,0,6.16,-1.08296,0.0949218,6.80669,-1.97253,-0.0426193,0,6.16,-1.20679,0.302436,6.80573,-2.12429,0.211098,0,6.16,-1.57423,0.492748,6.74157,-2.57023,0.46236,0,6.16,-1.64,0.0955495,6.64975,-2.64765,-0.0474291,0,6.16,-1.32465,0.0981894,6.79851,-2.27133,-0.0405115,0,6.16,-1.68347,0.558885,6.73268,-2.70937,0.553188,0,6.16,-1.55631,0.585823,6.78135,-2.55521,0.574275,0,6.16,-1.68043,0.192875,6.71466,-2.70827,0.0764767,0,6.16,-1.56234,0.0526323,6.69756,-2.55064,-0.10321,0,6.16,-1.21675,0.0828097,6.79012,-2.13162,-0.0588782,0,
