time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,
0,-7.28035,-2.88515,0.309331,-6.8734,-3.06669,0.342842,-5.38692,-1.86,0.592258,-4.52287,-1.79404,0.694074,0,-5.62877,-1.86,0.480104,-4.60051,-1.65588,0.57786,0,-5.76194,-1.86,0.807059,-4.74848,-1.63204,1.03939,0,-5.98173,-1.86,0.395677,-4.8849,-1.49693,0.47506,0,-6.16,-1.71784,0.693909,-5.09922,-1.21813,0.95186,0,-6.1438,-1.86,0.629742,-5.02896,-1.40303,0.862818,0,-5.63183,-1.86,0.120903,-4.61179,-1.66027,0.0843376,0,-5.89814,-1.86,0.671221,-4.86244,-1.57521,0.869352,0,-6.16,-1.59053,0.472555,-5.15296,-1.07862,0.593495,0,-6.16,-1.65019,0.58805,-5.11861,-1.13237,0.779398,0,-5.84244,-1.86,0.265583,-4.73413,-1.54149,0.277756,0,-5.9062,-1.86,0.531484,-4.81878,-1.53388,0.675005,0,-6.16,-1.68964,0.81607,-5.15991,-1.23822,1.11787,0,-6.16,-1.85354,0.341778,-4.9911,-1.33347,0.397357,0,-6.16,-1.8147,0.175433,-4.99647,-1.27334,0.118521,0,-5.42405,-1.86,0.765415,-4.55784,-1.7879,0.911767,0,-6.01247,-1.86,0.195949,-4.91402,-1.48241,0.167621,0,-6.02358,-1.86,0.746562,-4.95483,-1.5017,1.01031,0,-6.16,-1.69625,0.364779,-5.11068,-1.19611,0.430083,0,-6.16,-1.78958,0.487024,-5.03168,-1.26568,0.634951,0,-5.67293,-1.86,0.655841,-4.67154,-1.66242,0.817497,0,-6.16,-1.84368,0.78547,-5.0873,-1.40633,1.10192,0,-6.16,-1.64724,0.155535,-5.09865,-1.10571,0.0992134,0,-6.16,-1.11107,0.528803,-5.42179,-0.768035,0.627209,0,-6.16,-1.22854,0.179333,-5.35345,-0.81919,0.166478,0,
0.0333341,-7.26395,-2.90336,0.309473,-6.86342,-3.0773,0.342322,-5.38692,-1.86,0.592258,-4.54045,-1.80161,0.69167,0,-5.62877,-1.86,0.480104,-4.6344,-1.67166,0.573866,0,-5.76194,-1.86,0.807059,-4.79344,-1.65727,1.03037,0,-5.98173,-1.86,0.395677,-4.92836,-1.52737,0.472164,0,-6.16,-1.71784,0.693909,-5.13823,-1.25233,0.941114,0,-6.1438,-1.86,0.629742,-5.06109,-1.42928,0.851819,0,-5.63183,-1.86,0.120903,-4.68562,-1.69683,0.0996895,0,-5.89814,-1.86,0.671221,-4.91718,-1.60908,0.854285,0,-6.16,-1.59053,0.472555,-5.18754,-1.11219,0.589914,0,-6.16,-1.65019,0.58805,-5.15217,-1.16312,0.77278,0,-5.84244,-1.86,0.265583,-4.80578,-1.5829,0.279139,0,-5.9062,-1.86,0.531484,-4.86433,-1.56263,0.667314,0,-6.16,-1.68964,0.81607,-5.19118,-1.26714,1.10439,0,-6.16,-1.85354,0.341778,-5.05344,-1.38319,0.401225,0,-6.16,-1.8147,0.175433,-5.04778,-1.31448,0.126633,0,-5.42405,-1.86,0.765415,-4.57039,-1.79393,0.909767,0,-6.01247,-1.86,0.195949,-4.98357,-1.5304,0.175465,0,-6.02358,-1.86,0.746562,-5.01749,-1.54461,0.991863,0,-6.16,-1.69625,0.364779,-5.15365,-1.23501,0.429905,0,-6.16,-1.78958,0.487024,-5.08209,-1.30683,0.62865,0,-5.67293,-1.86,0.655841,-4.74424,-1.69854,0.802909,0,-6.16,-1.84368,0.78547,-5.13454,-1.44522,1.08429,0,-6.16,-1.64724,0.155535,-5.12001,-1.12555,0.103709,0,-6.16,-1.11107,0.528803,-5.44021,-0.789333,0.624089,0,-6.16,-1.22854,0.179333,-5.36838,-0.836907,0.170898,0,
0.0666681,-7.2579,-2.91033,0.309278,-6.85594,-3.0851,0.341936,-5.38692,-1.86,0.592258,-4.60068,-1.83049,0.689847,0,-5.62877,-1.86,0.480104,-4.70149,-1.70815,0.570248,0,-5.76194,-1.86,0.807059,-4.85074,-1.69151,1.01224,0,-5.98173,-1.86,0.395677,-4.99219,-1.57246,0.468846,0,-6.16,-1.71784,0.693909,-5.20418,-1.31335,0.923174,0,-6.1438,-1.86,0.629742,-5.15147,-1.50047,0.832843,0,-5.63183,-1.86,0.120903,-4.75925,-1.74021,0.114031,0,-5.89814,-1.86,0.671221,-4.9852,-1.6557,0.843828,0,-6.16,-1.59053,0.472555,-5.24105,-1.16736,0.583478,0,-6.16,-1.65019,0.58805,-5.2183,-1.22728,0.759987,0,-5.84244,-1.86,0.265583,-4.89135,-1.63797,0.283599,0,-5.9062,-1.86,0.531484,-4.93921,-1.61209,0.657762,0,-6.16,-1.68964,0.81607,-5.24454,-1.31759,1.08606,0,-6.16,-1.85354,0.341778,-5.14358,-1.45761,0.400403,0,-6.16,-1.8147,0.175433,-5.14623,-1.39768,0.139322,0,-5.42405,-1.86,0.765415,-4.60516,-1.8108,0.900008,0,-6.01247,-1.86,0.195949,-5.067,-1.59184,0.186091,0,-6.02358,-1.86,0.746562,-5.10064,-1.60535,0.966819,0,-6.16,-1.69625,0.364779,-5.2375,-1.3142,0.430011,0,-6.16,-1.78958,0.487024,-5.16082,-1.37585,0.620222,0,-5.67293,-1.86,0.655841,-4.82375,-1.74457,0.789264,0,-6.16,-1.84368,0.78547,-5.23956,-1.5311,1.04699,0,-6.16,-1.64724,0.155535,-5.2045,-1.2068,0.12072,0,-6.16,-1.11107,0.528803,-5.46492,-0.825269,0.619367,0,-6.16,-1.22854,0.179333,-5.41782,-0.898884,0.176397,0,
0.100002,-7.24031,-2.92867,0.309431,-6.84898,-3.09209,0.341586,-5.38692,-1.86,0.592258,-4.64044,-1.85397,0.682949,0,-5.62877,-1.86,0.480104,-4.75742,-1.74301,0.561868,0,-5.76194,-1.86,0.807059,-4.90334,-1.72647,0.991086,0,-5.98173,-1.86,0.395677,-5.05521,-1.62068,0.465062,0,-6.16,-1.71784,0.693909,-5.26001,-1.36982,0.899412,0,-6.1438,-1.86,0.629742,-5.22588,-1.56482,0.810098,0,-5.63183,-1.86,0.120903,-4.80998,-1.77244,0.118042,0,-5.89814,-1.86,0.671221,-5.03069,-1.6899,0.828017,0,-6.16,-1.59053,0.472555,-5.31776,-1.24983,0.570295,0,-6.16,-1.65019,0.58805,-5.27559,-1.28852,0.743126,0,-5.84244,-1.86,0.265583,-4.95989,-1.68623,0.282255,0,-5.9062,-1.86,0.531484,-5.03802,-1.68075,0.642569,0,-6.16,-1.68964,0.81607,-5.29766,-1.37163,1.05888,0,-6.16,-1.85354,0.341778,-5.20457,-1.51348,0.398229,0,-6.16,-1.8147,0.175433,-5.20461,-1.45401,0.143303,0,-5.42405,-1.86,0.765415,-4.62247,-1.8255,0.890723,0,-6.01247,-1.86,0.195949,-5.11815,-1.63465,0.192892,0,-6.02358,-1.86,0.746562,-5.16694,-1.65769,0.941602,0,-6.16,-1.69625,0.364779,-5.27527,-1.35729,0.422967,0,-6.16,-1.78958,0.487024,-5.2086,-1.42355,0.608307,0,-5.67293,-1.86,0.655841,-4.86957,-1.77565,0.776737,0,-6.16,-1.84368,0.78547,-5.2841,-1.57445,1.0232,0,-6.16,-1.64724,0.155535,-5.28301,-1.28911,0.127905,0,-6.16,-1.11107,0.528803,-5.48046,-0.855048,0.613788,0,-6.16,-1.22854,0.179333,-5.44294,-0.940365,0.175452,0,
0.133336,-7.24031,-2.92867,0.309431,-6.83043,-3.11052,0.340656,-5.38692,-1.86,0.592258,-4.6686,-1.85197,0.677351,0,-5.62877,-1.86,0.480104,-4.80326,-1.75313,0.555805,0,-5.76194,-1.86,0.807059,-4.94905,-1.74025,0.973523,0,-5.98173,-1.86,0.395677,-5.10386,-1.64189,0.462415,0,-6.16,-1.71784,0.693909,-5.30212,-1.39546,0.883853,0,-6.1438,-1.86,0.629742,-5.28047,-1.59759,0.792649,0,-5.63183,-1.86,0.120903,-4.84704,-1.77889,0.118033,0,-5.89814,-1.86,0.671221,-5.07978,-1.70904,0.812817,0,-6.16,-1.59053,0.472555,-5.38232,-1.30108,0.563174,0,-6.16,-1.65019,0.58805,-5.33455,-1.33111,0.726627,0,-5.84244,-1.86,0.265583,-4.98765,-1.69233,0.281885,0,-5.9062,-1.86,0.531484,-5.1068,-1.71509,0.628994,0,-6.16,-1.68964,0.81607,-5.33912,-1.39784,1.03865,0,-6.16,-1.85354,0.341778,-5.25904,-1.54554,0.393152,0,-6.16,-1.8147,0.175433,-5.24688,-1.47724,0.144394,0,-5.42405,-1.86,0.765415,-4.65226,-1.8231,0.881152,0,-6.01247,-1.86,0.195949,-5.15523,-1.64983,0.188949,0,-6.02358,-1.86,0.746562,-5.23079,-1.69253,0.918067,0,-6.16,-1.69625,0.364779,-5.32258,-1.3873,0.416462,0,-6.16,-1.78958,0.487024,-5.271,-1.46348,0.595765,0,-5.67293,-1.86,0.655841,-4.90305,-1.78127,0.767678,0,-6.16,-1.84368,0.78547,-5.32622,-1.59836,1.00219,0,-6.16,-1.64724,0.155535,-5.31809,-1.31103,0.127995,0,-6.16,-1.11107,0.528803,-5.51028,-0.872342,0.606929,0,-6.16,-1.22854,0.179333,-5.47655,-0.963116,0.172795,0,
0.16667,-7.22294,-2.94602,0.309553,-6.81988,-3.12054,0.340141,-5.38692,-1.86,0.592258,-4.68902,-1.86104,0.673641,0,-5.62877,-1.86,0.480104,-4.83438,-1.77011,0.551131,0,-5.76194,-1.86,0.807059,-4.99161,-1.76478,0.960844,0,-5.98173,-1.86,0.395677,-5.14439,-1.67048,0.458332,0,-6.16,-1.71784,0.693909,-5.33228,-1.42346,0.872465,0,-6.1438,-1.86,0.629742,-5.32766,-1.63614,0.780446,0,-5.63183,-1.86,0.120903,-4.87033,-1.79203,0.117827,0,-5.89814,-1.86,0.671221,-5.12942,-1.74139,0.799459,0,-6.16,-1.59053,0.472555,-5.40124,-1.32329,0.559212,0,-6.16,-1.65019,0.58805,-5.38473,-1.38143,0.711707,0,-5.84244,-1.86,0.265583,-5.01715,-1.71015,0.28206,0,-5.9062,-1.86,0.531484,-5.13722,-1.73708,0.623139,0,-6.16,-1.68964,0.81607,-5.37537,-1.43156,1.02271,0,-6.16,-1.85354,0.341778,-5.30018,-1.58011,0.392283,0,-6.16,-1.8147,0.175433,-5.27551,-1.5024,0.144722,0,-5.42405,-1.86,0.765415,-4.71602,-1.85026,0.867995,0,-6.01247,-1.86,0.195949,-5.21098,-1.68888,0.196067,0,-6.02358,-1.86,0.746562,-5.28379,-1.73212,0.898973,0,-6.16,-1.69625,0.364779,-5.35796,-1.42069,0.415759,0,-6.16,-1.78958,0.487024,-5.31806,-1.50532,0.589576,0,-5.67293,-1.86,0.655841,-4.93517,-1.79867,0.758812,0,-6.16,-1.84368,0.78547,-5.36166,-1.62852,0.983517,0,-6.16,-1.64724,0.155535,-5.34453,-1.33656,0.132103,0,-6.16,-1.11107,0.528803,-5.52466,-0.89183,0.601815,0,-6.16,-1.22854,0.179333,-5.48925,-0.979326,0.175385,0,
0.200004,-7.2167,-2.95257,0.309342,-6.81206,-3.12793,0.339761,-5.38692,-1.86,0.592258,-4.73494,-1.88501,0.667108,0,-5.62877,-1.86,0.480104,-4.88439,-1.80068,0.547921,0,-5.76194,-1.86,0.807059,-5.04484,-1.80012,0.943746,0,-5.98173,-1.86,0.395677,-5.21344,-1.72344,0.456219,0,-6.16,-1.71784,0.693909,-5.381,-1.47244,0.856694,0,-6.1438,-1.86,0.629742,-5.37358,-1.67804,0.765524,0,-5.63183,-1.86,0.120903,-4.91298,-1.81806,0.124421,0,-5.89814,-1.86,0.671221,-5.19382,-1.78826,0.784588,0,-6.16,-1.59053,0.472555,-5.43738,-1.36427,0.555585,0,-6.16,-1.65019,0.58805,-5.44089,-1.4425,0.698464,0,-5.84244,-1.86,0.265583,-5.05547,-1.73795,0.284412,0,-5.9062,-1.86,0.531484,-5.19889,-1.78152,0.614461,0,-6.16,-1.68964,0.81607,-5.42069,-1.47885,1.00481,0,-6.16,-1.85354,0.341778,-5.35787,-1.63244,0.390309,0,-6.16,-1.8147,0.175433,-5.34233,-1.56322,0.154343,0,-5.42405,-1.86,0.765415,-4.77654,-1.88368,0.853756,0,-6.01247,-1.86,0.195949,-5.2868,-1.74931,0.205046,0,-6.02358,-1.86,0.746562,-5.34009,-1.778,0.880361,0,-6.16,-1.69625,0.364779,-5.39818,-1.46369,0.411254,0,-6.16,-1.78958,0.487024,-5.37483,-1.56031,0.580893,0,-5.67293,-1.86,0.655841,-4.98982,-1.8325,0.749218,0,-6.16,-1.84368,0.78547,-5.41037,-1.67297,0.960118,0,-6.16,-1.64724,0.155535,-5.37884,-1.37459,0.135574,0,-6.16,-1.11107,0.528803,-5.54717,-0.927171,0.598276,0,-6.16,-1.22854,0.179333,-5.51079,-1.01156,0.176343,0,
0.233338,-7.2167,-2.95257,0.309342,-6.80503,-3.13433,0.339426,-5.38692,-1.86,0.592258,-4.77842,-1.91064,0.661475,0,-5.62877,-1.86,0.480104,-4.92904,-1.83063,0.544142,0,-5.76194,-1.86,0.807059,-5.0924,-1.83391,0.928779,0,-5.98173,-1.86,0.395677,-5.27169,-1.77133,0.452539,0,-6.16,-1.71784,0.693909,-5.42084,-1.51616,0.843726,0,-6.1438,-1.86,0.629742,-5.42868,-1.72854,0.751819,0,-5.63183,-1.86,0.120903,-4.94727,-1.84216,0.129156,0,-5.89814,-1.86,0.671221,-5.26037,-1.83853,0.76406,0,-6.16,-1.59053,0.472555,-5.46937,-1.40382,0.551378,0,-6.16,-1.65019,0.58805,-5.46901,-1.47812,0.69291,0,-5.84244,-1.86,0.265583,-5.10651,-1.77554,0.288861,0,-5.9062,-1.86,0.531484,-5.25041,-1.82213,0.607534,0,-6.16,-1.68964,0.81607,-5.45085,-1.51387,0.989389,0,-6.16,-1.85354,0.341778,-5.41129,-1.68403,0.392331,0,-6.16,-1.8147,0.175433,-5.40406,-1.62404,0.163625,0,-5.42405,-1.86,0.765415,-4.82423,-1.91236,0.843116,0,-6.01247,-1.86,0.195949,-5.34089,-1.7957,0.210719,0,-6.02358,-1.86,0.746562,-5.39263,-1.82261,0.864003,0,-6.16,-1.69625,0.364779,-5.44328,-1.51338,0.413965,0,-6.16,-1.78958,0.487024,-5.42059,-1.60744,0.573463,0,-5.67293,-1.86,0.655841,-5.04809,-1.87072,0.736779,0,-6.16,-1.84368,0.78547,-5.4332,-1.69785,0.948801,0,-6.16,-1.64724,0.155535,-5.41867,-1.42001,0.142506,0,-6.16,-1.11107,0.528803,-5.56202,-0.956244,0.595561,0,-6.16,-1.22854,0.179333,-5.51801,-1.02974,0.177661,0,
0.266672,-7.19858,-2.96973,0.309467,-6.78583,-3.15168,0.338515,-5.38692,-1.86,0.592258,-4.7869,-1.90448,0.661656,0,-5.62877,-1.86,0.480104,-4.94762,-1.83125,0.545331,0,-5.76194,-1.86,0.807059,-5.10363,-1.83269,0.925547,0,-5.98173,-1.86,0.395677,-5.29398,-1.78059,0.452751,0,-6.16,-1.71784,0.693909,-5.43702,-1.52266,0.840805,0,-6.1438,-1.86,0.629742,-5.44902,-1.73938,0.74796,0,-5.63183,-1.86,0.120903,-4.96568,-1.84184,0.131135,0,-5.89814,-1.86,0.671221,-5.26964,-1.83936,0.763359,0,-6.16,-1.59053,0.472555,-5.47171,-1.3978,0.54982,0,-6.16,-1.65019,0.58805,-5.48508,-1.4844,0.690773,0,-5.84244,-1.86,0.265583,-5.13635,-1.78559,0.289143,0,-5.9062,-1.86,0.531484,-5.27381,-1.83117,0.606004,0,-6.16,-1.68964,0.81607,-5.4677,-1.5207,0.984109,0,-6.16,-1.85354,0.341778,-5.43256,-1.69581,0.394119,0,-6.16,-1.8147,0.175433,-5.41882,-1.63087,0.167216,0,-5.42405,-1.86,0.765415,-4.83834,-1.90938,0.842223,0,-6.01247,-1.86,0.195949,-5.36855,-1.8098,0.213718,0,-6.02358,-1.86,0.746562,-5.41569,-1.83436,0.858706,0,-6.16,-1.69625,0.364779,-5.45294,-1.51489,0.409905,0,-6.16,-1.78958,0.487024,-5.43107,-1.60972,0.572892,0,-5.67293,-1.86,0.655841,-5.06,-1.86996,0.735726,0,-6.16,-1.84368,0.78547,-5.44588,-1.70066,0.94649,0,-6.16,-1.64724,0.155535,-5.46037,-1.45095,0.148267,0,-6.16,-1.11107,0.528803,-5.57686,-0.958601,0.595226,0,-6.16,-1.22854,0.179333,-5.55349,-1.05542,0.180188,0,
0.300007,-7.18037,-2.98629,0.309533,-6.77496,-3.16109,0.338011,-5.38692,-1.86,0.592258,-4.80753,-1.91393,0.662049,0,-5.62877,-1.86,0.480104,-4.98486,-1.85177,0.544102,0,-5.76194,-1.86,0.807059,-5.13446,-1.85062,0.916941,0,-5.98173,-1.86,0.395677,-5.32646,-1.8048,0.452184,0,-6.16,-1.71784,0.693909,-5.46357,-1.54748,0.833078,0,-6.1438,-1.86,0.629742,-5.47835,-1.76455,0.741537,0,-5.63183,-1.86,0.120903,-4.99179,-1.85624,0.136307,0,-5.89814,-1.86,0.671221,-5.29531,-1.85631,0.758073,0,-6.16,-1.59053,0.472555,-5.48663,-1.41143,0.547285,0,-6.16,-1.65019,0.58805,-5.50462,-1.50405,0.688085,0,-5.84244,-1.86,0.265583,-5.16965,-1.80864,0.294503,0,-5.9062,-1.86,0.531484,-5.3013,-1.85095,0.603787,0,-6.16,-1.68964,0.81607,-5.48918,-1.54128,0.976575,0,-6.16,-1.85354,0.341778,-5.46019,-1.71978,0.393237,0,-6.16,-1.8147,0.175433,-5.44874,-1.65698,0.170515,0,-5.42405,-1.86,0.765415,-4.86794,-1.92305,0.837153,0,-6.01247,-1.86,0.195949,-5.4004,-1.8348,0.217797,0,-6.02358,-1.86,0.746562,-5.44964,-1.8611,0.849125,0,-6.16,-1.69625,0.364779,-5.47201,-1.53248,0.409789,0,-6.16,-1.78958,0.487024,-5.45867,-1.63395,0.569594,0,-5.67293,-1.86,0.655841,-5.10417,-1.89452,0.726624,0,-6.16,-1.84368,0.78547,-5.46886,-1.71972,0.937481,0,-6.16,-1.64724,0.155535,-5.48823,-1.48113,0.152793,0,-6.16,-1.11107,0.528803,-5.60344,-0.9928,0.592229,0,-6.16,-1.22854,0.179333,-5.55488,-1.06162,0.184804,0,
