time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,7.58371,-0.837063,0.164052,8.59482,-0.409407,0.101726,6.16,-0.672207,0.337233,6.04449,-0.114097,0.411948,0,6.16,-0.659966,0.555403,6.12238,-0.101857,0.781351,0,6.16,-0.562852,0.327489,6.03371,0.0838697,0.395731,0,6.16,-0.963379,0.195094,6.04582,-0.635561,0.157303,0,6.16,-0.662958,0.0794947,6.04117,-0.097122,-0.0499403,0,6.16,-0.844772,0.624772,6.13108,-0.422748,0.899,0,6.16,-0.428263,0.452816,6.11656,0.302191,0.604378,0,6.16,-0.945148,0.599335,6.12766,-0.596707,0.85603,0,6.16,-0.404862,0.635822,6.20478,0.316142,0.8937,0,6.16,-0.568398,0.609929,6.13281,0.0551903,0.872774,0,6.16,-0.598199,0.472133,6.13348,0.00354519,0.634342,0,6.16,-0.858984,0.433518,6.08335,-0.448076,0.577071,0,6.16,-0.317169,0.477177,6.18654,0.470015,0.63139,0,6.16,-0.823338,0.297558,6.05211,-0.384895,0.340163,0,6.16,-0.935535,0.359345,6.05349,-0.585179,0.450324,0,6.16,-0.717167,0.450128,6.09459,-0.198854,0.604112,0,6.16,-1.0228,0.471675,6.08123,-0.737329,0.644839,0,6.16,-0.390927,0.327138,6.10238,0.371625,0.387234,0,6.16,-0.908598,0.0995206,6.02677,-0.538439,-0.0146731,0,6.16,-0.330248,0.237949,6.09329,0.481088,0.231567,0,6.16,-0.468307,0.169735,6.09168,0.23893,0.111718,0,6.16,-0.29381,0.352936,6.13985,0.527345,0.427426,0,6.16,-0.790199,0.522949,6.04953,-0.325624,0.743355,0,6.16,-0.725183,0.637085,6.11235,-0.214327,0.926532,0,6.16,-0.766539,0.123369,5.95277,-0.278533,0.0262286,0,6.16,-0.547795,0.0836489,6.05076,0.107491,-0.0419476,0,6.16,-0.315564,0.593698,6.25649,0.447111,0.807383,0,6.16,-0.574057,0.22717,6.04072,0.0624165,0.214957,0,
0.033334,7.58245,-0.826629,0.163897,8.59372,-0.399974,0.10203,6.16,-0.672207,0.337233,6.12543,-0.131872,0.402902,0,6.16,-0.659966,0.555403,6.21438,-0.122917,0.760943,0,6.16,-0.562852,0.327489,6.11425,0.0593087,0.388161,0,6.16,-0.963379,0.195094,6.1447,-0.63587,0.157822,0,6.16,-0.662958,0.0794947,6.12506,-0.11574,-0.0444794,0,6.16,-0.844772,0.624772,6.22363,-0.432289,0.870895,0,6.16,-0.428263,0.452816,6.20995,0.265142,0.592981,0,6.16,-0.945148,0.599335,6.22994,-0.599719,0.82482,0,6.16,-0.404862,0.635822,6.26354,0.290585,0.878863,0,6.16,-0.568398,0.609929,6.21686,0.0295851,0.851029,0,6.16,-0.598199,0.472133,6.22689,-0.0218218,0.616761,0,6.16,-0.858984,0.433518,6.19836,-0.457302,0.556948,0,6.16,-0.317169,0.477177,6.25536,0.436274,0.622055,0,6.16,-0.823338,0.297558,6.16927,-0.397022,0.330704,0,6.16,-0.935535,0.359345,6.15636,-0.588506,0.438691,0,6.16,-0.717167,0.450128,6.20139,-0.218641,0.584281,0,6.16,-1.0228,0.471675,6.18807,-0.73468,0.623373,0,6.16,-0.390927,0.327138,6.18017,0.337527,0.382357,0,6.16,-0.908598,0.0995206,6.15537,-0.544335,-0.00701969,0,6.16,-0.330248,0.237949,6.14682,0.455211,0.23205,0,6.16,-0.468307,0.169735,6.16958,0.210208,0.110277,0,6.16,-0.29381,0.352936,6.18672,0.502761,0.424639,0,6.16,-0.790199,0.522949,6.16274,-0.34199,0.71473,0,6.16,-0.725183,0.637085,6.20183,-0.231435,0.899632,0,6.16,-0.766539,0.123369,6.04277,-0.292549,0.0304978,0,6.16,-0.547795,0.0836489,6.13096,0.0821827,-0.0344008,0,6.16,-0.315564,0.593698,6.31039,0.421497,0.795632,0,6.16,-0.574057,0.22717,6.12825,0.0371959,0.214334,0,
0.0666681,7.58245,-0.826629,0.163897,8.59259,-0.390626,0.102332,6.16,-0.672207,0.337233,6.227,-0.152412,0.392961,0,6.16,-0.659966,0.555403,6.30627,-0.142366,0.735044,0,6.16,-0.562852,0.327489,6.20205,0.0345754,0.377973,0,6.16,-0.963379,0.195094,6.26676,-0.634761,0.155154,0,6.16,-0.662958,0.0794947,6.23421,-0.138473,-0.0384733,0,6.16,-0.844772,0.624772,6.32584,-0.440477,0.839126,0,6.16,-0.428263,0.452816,6.32218,0.223381,0.573134,0,6.16,-0.945148,0.599335,6.323,-0.600214,0.798181,0,6.16,-0.404862,0.635822,6.35342,0.253523,0.850384,0,6.16,-0.568398,0.609929,6.29508,0.00783023,0.827579,0,6.16,-0.598199,0.472133,6.31602,-0.0442692,0.597606,0,6.16,-0.858984,0.433518,6.31434,-0.464113,0.537339,0,6.16,-0.317169,0.477177,6.32698,0.402808,0.606666,0,6.16,-0.823338,0.297558,6.29437,-0.407435,0.318707,0,6.16,-0.935535,0.359345,6.28783,-0.589672,0.418958,0,6.16,-0.717167,0.450128,6.31024,-0.236279,0.563373,0,6.16,-1.0228,0.471675,6.30061,-0.728852,0.601383,0,6.16,-0.390927,0.327138,6.26587,0.302518,0.371362,0,6.16,-0.908598,0.0995206,6.27387,-0.546711,-0.00169578,0,6.16,-0.330248,0.237949,6.22006,0.421021,0.228791,0,6.16,-0.468307,0.169735,6.26973,0.175087,0.112539,0,6.16,-0.29381,0.352936,6.27072,0.460736,0.413901,0,6.16,-0.790199,0.522949,6.26375,-0.352733,0.694033,0,6.16,-0.725183,0.637085,6.30039,-0.247829,0.867861,0,6.16,-0.766539,0.123369,6.20565,-0.313588,0.0357775,0,6.16,-0.547795,0.0836489,6.23377,0.0521132,-0.027537,0,6.16,-0.315564,0.593698,6.36168,0.397591,0.782853,0,6.16,-0.574057,0.22717,6.23445,0.00840315,0.209242,0,
0.100002,7.57974,-0.799208,0.164253,8.58916,-0.363945,0.1032,6.16,-0.672207,0.337233,6.34036,-0.1709,0.380277,0,6.16,-0.659966,0.555403,6.40033,-0.158216,0.710081,0,6.16,-0.562852,0.327489,6.26104,0.0216571,0.376927,0,6.16,-0.963379,0.195094,6.37959,-0.628323,0.153819,0,6.16,-0.662958,0.0794947,6.34928,-0.157689,-0.0300852,0,6.16,-0.844772,0.624772,6.43323,-0.443886,0.806094,0,6.16,-0.428263,0.452816,6.4238,0.189122,0.554339,0,6.16,-0.945148,0.599335,6.41922,-0.596421,0.770531,0,6.16,-0.404862,0.635822,6.43105,0.22519,0.82421,0,6.16,-0.568398,0.609929,6.37038,-0.0102303,0.805304,0,6.16,-0.598199,0.472133,6.40383,-0.0628971,0.580008,0,6.16,-0.858984,0.433518,6.4193,-0.46559,0.518651,0,6.16,-0.317169,0.477177,6.39127,0.374127,0.592661,0,6.16,-0.823338,0.297558,6.41256,-0.412157,0.309725,0,6.16,-0.935535,0.359345,6.40913,-0.584909,0.404523,0,6.16,-0.717167,0.450128,6.40822,-0.247888,0.544155,0,6.16,-1.0228,0.471675,6.41307,-0.718126,0.577668,0,6.16,-0.390927,0.327138,6.3425,0.273357,0.364139,0,6.16,-0.908598,0.0995206,6.38725,-0.544567,0.00419457,0,6.16,-0.330248,0.237949,6.2832,0.392942,0.225946,0,6.16,-0.468307,0.169735,6.35565,0.148221,0.112949,0,6.16,-0.29381,0.352936,6.34414,0.426889,0.406524,0,6.16,-0.790199,0.522949,6.35792,-0.359436,0.670755,0,6.16,-0.725183,0.637085,6.40179,-0.260035,0.835782,0,6.16,-0.766539,0.123369,6.34524,-0.324972,0.0406521,0,6.16,-0.547795,0.0836489,6.31862,0.0309364,-0.0204101,0,6.16,-0.315564,0.593698,6.4254,0.367902,0.763242,0,6.16,-0.574057,0.22717,6.3288,-0.0134096,0.206346,0,
0.133336,7.57683,-0.772393,0.164644,8.58543,-0.337093,0.104079,6.16,-0.672207,0.337233,6.44951,-0.186366,0.366501,0,6.16,-0.659966,0.555403,6.4961,-0.172637,0.684898,0,6.16,-0.562852,0.327489,6.37125,-0.00634626,0.362374,0,6.16,-0.963379,0.195094,6.50275,-0.619768,0.149361,0,6.16,-0.662958,0.0794947,6.44334,-0.171043,-0.0244862,0,6.16,-0.844772,0.624772,6.50732,-0.44389,0.779094,0,6.16,-0.428263,0.452816,6.49515,0.16655,0.539483,0,6.16,-0.945148,0.599335,6.52952,-0.590748,0.734858,0,6.16,-0.404862,0.635822,6.49727,0.201921,0.800877,0,6.16,-0.568398,0.609929,6.45076,-0.0288176,0.779789,0,6.16,-0.598199,0.472133,6.49816,-0.0817697,0.558867,0,6.16,-0.858984,0.433518,6.52862,-0.465874,0.497513,0,6.16,-0.317169,0.477177,6.4627,0.343029,0.576885,0,6.16,-0.823338,0.297558,6.51397,-0.414178,0.301402,0,6.16,-0.935535,0.359345,6.52615,-0.578504,0.388215,0,6.16,-0.717167,0.450128,6.50759,-0.258436,0.523739,0,6.16,-1.0228,0.471675,6.51778,-0.706165,0.555596,0,6.16,-0.390927,0.327138,6.43137,0.240425,0.354552,0,6.16,-0.908598,0.0995206,6.50753,-0.540587,0.0098705,0,6.16,-0.330248,0.237949,6.37408,0.353465,0.218394,0,6.16,-0.468307,0.169735,6.43203,0.125379,0.112533,0,6.16,-0.29381,0.352936,6.41648,0.39379,0.3946,0,6.16,-0.790199,0.522949,6.44194,-0.363544,0.652756,0,6.16,-0.725183,0.637085,6.45766,-0.264336,0.815064,0,6.16,-0.766539,0.123369,6.48196,-0.33401,0.042636,0,6.16,-0.547795,0.0836489,6.39909,0.0115588,-0.0144514,0,6.16,-0.315564,0.593698,6.49394,0.337771,0.741057,0,6.16,-0.574057,0.22717,6.4279,-0.0352285,0.201593,0,
0.16667,7.57417,-0.745559,0.165032,8.5832,-0.322179,0.10457,6.16,-0.672207,0.337233,6.60007,-0.207663,0.347101,0,6.16,-0.659966,0.555403,6.64267,-0.19531,0.644153,0,6.16,-0.562852,0.327489,6.51744,-0.0391929,0.34438,0,6.16,-0.963379,0.195094,6.66504,-0.608336,0.144181,0,6.16,-0.662958,0.0794947,6.59804,-0.194343,-0.015648,0,6.16,-0.844772,0.624772,6.64101,-0.447906,0.735021,0,6.16,-0.428263,0.452816,6.59552,0.133224,0.518402,0,6.16,-0.945148,0.599335,6.65096,-0.584617,0.697727,0,6.16,-0.404862,0.635822,6.65997,0.145177,0.744035,0,6.16,-0.568398,0.609929,6.57635,-0.0577846,0.739368,0,6.16,-0.598199,0.472133,6.6261,-0.107264,0.529527,0,6.16,-0.858984,0.433518,6.67237,-0.466775,0.468527,0,6.16,-0.317169,0.477177,6.56883,0.298487,0.55004,0,6.16,-0.823338,0.297558,6.69504,-0.419568,0.282533,0,6.16,-0.935535,0.359345,6.67507,-0.571017,0.366116,0,6.16,-0.717167,0.450128,6.66211,-0.275251,0.489669,0,6.16,-1.0228,0.471675,6.65062,-0.692214,0.527236,0,6.16,-0.390927,0.327138,6.56151,0.194391,0.336383,0,6.16,-0.908598,0.0995206,6.66878,-0.535352,0.0160975,0,6.16,-0.330248,0.237949,6.49508,0.30497,0.209461,0,6.16,-0.468307,0.169735,6.57711,0.0821462,0.111241,0,6.16,-0.29381,0.352936,6.53819,0.340934,0.375967,0,6.16,-0.790199,0.522949,6.58943,-0.373426,0.613528,0,6.16,-0.725183,0.637085,6.54467,-0.275511,0.785326,0,6.16,-0.766539,0.123369,6.60285,-0.341832,0.0460791,0,6.16,-0.547795,0.0836489,6.53252,-0.0206469,-0.00836592,0,6.16,-0.315564,0.593698,6.60931,0.289018,0.705267,0,6.16,-0.574057,0.22717,6.58013,-0.0678036,0.192647,0,
0.200004,7.57417,-0.745559,0.165032,8.58194,-0.31012,0.104956,6.16,-0.672207,0.337233,6.67458,-0.215105,0.336038,0,6.16,-0.659966,0.555403,6.7126,-0.203002,0.6231,0,6.16,-0.562852,0.327489,6.60359,-0.0552074,0.331255,0,6.16,-0.963379,0.195094,6.74548,-0.599743,0.140411,0,6.16,-0.662958,0.0794947,6.67341,-0.202352,-0.012017,0,6.16,-0.844772,0.624772,6.70409,-0.446656,0.713424,0,6.16,-0.428263,0.452816,6.6732,0.110256,0.50201,0,6.16,-0.945148,0.599335,6.74319,-0.577678,0.665979,0,6.16,-0.404862,0.635822,6.73246,0.124506,0.717313,0,6.16,-0.568398,0.609929,6.66594,-0.0752028,0.709019,0,6.16,-0.598199,0.472133,6.69812,-0.118438,0.509523,0,6.16,-0.858984,0.433518,6.73956,-0.464493,0.454478,0,6.16,-0.317169,0.477177,6.62513,0.278385,0.536843,0,6.16,-0.823338,0.297558,6.79047,-0.418897,0.272049,0,6.16,-0.935535,0.359345,6.76234,-0.564143,0.355248,0,6.16,-0.717167,0.450128,6.73036,-0.279525,0.474866,0,6.16,-1.0228,0.471675,6.73365,-0.681038,0.510116,0,6.16,-0.390927,0.327138,6.61219,0.180382,0.328531,0,6.16,-0.908598,0.0995206,6.76433,-0.529276,0.0178744,0,6.16,-0.330248,0.237949,6.58059,0.273989,0.203839,0,6.16,-0.468307,0.169735,6.63497,0.0697748,0.105705,0,6.16,-0.29381,0.352936,6.60408,0.316341,0.365461,0,6.16,-0.790199,0.522949,6.64023,-0.372643,0.595367,0,6.16,-0.725183,0.637085,6.62699,-0.283296,0.754339,0,6.16,-0.766539,0.123369,6.69589,-0.346023,0.0453696,0,6.16,-0.547795,0.0836489,6.60154,-0.0336924,-0.0069435,0,6.16,-0.315564,0.593698,6.66641,0.268621,0.687466,0,6.16,-0.574057,0.22717,6.65272,-0.0799823,0.188727,0,
0.233338,7.57151,-0.718349,0.165437,8.57992,-0.295137,0.105445,6.16,-0.672207,0.337233,6.74011,-0.222951,0.326702,0,6.16,-0.659966,0.555403,6.75519,-0.208038,0.609214,0,6.16,-0.562852,0.327489,6.70806,-0.0764686,0.317584,0,6.16,-0.963379,0.195094,6.8214,-0.592914,0.138537,0,6.16,-0.662958,0.0794947,6.73979,-0.210651,-0.00943771,0,6.16,-0.844772,0.624772,6.76475,-0.446959,0.692476,0,6.16,-0.428263,0.452816,6.73715,0.091162,0.486727,0,6.16,-0.945148,0.599335,6.81105,-0.572204,0.644503,0,6.16,-0.404862,0.635822,6.79682,0.103989,0.693529,0,6.16,-0.568398,0.609929,6.74685,-0.0911258,0.68478,0,6.16,-0.598199,0.472133,6.77168,-0.131547,0.492399,0,6.16,-0.858984,0.433518,6.81018,-0.463728,0.440387,0,6.16,-0.317169,0.477177,6.71415,0.242741,0.514359,0,6.16,-0.823338,0.297558,6.83936,-0.418186,0.267379,0,6.16,-0.935535,0.359345,6.84034,-0.558267,0.342532,0,6.16,-0.717167,0.450128,6.80652,-0.286487,0.459681,0,6.16,-1.0228,0.471675,6.83069,-0.668639,0.488808,0,6.16,-0.390927,0.327138,6.69339,0.152228,0.318615,0,6.16,-0.908598,0.0995206,6.84792,-0.524345,0.0206623,0,6.16,-0.330248,0.237949,6.65796,0.245079,0.197845,0,6.16,-0.468307,0.169735,6.70839,0.048753,0.105967,0,6.16,-0.29381,0.352936,6.66572,0.291052,0.355918,0,6.16,-0.790199,0.522949,6.73008,-0.377644,0.57307,0,6.16,-0.725183,0.637085,6.73318,-0.29305,0.718443,0,6.16,-0.766539,0.123369,6.81825,-0.351579,0.0468055,0,6.16,-0.547795,0.0836489,6.66919,-0.0484582,-0.00400481,0,6.16,-0.315564,0.593698,6.7272,0.244058,0.667064,0,6.16,-0.574057,0.22717,6.72884,-0.0947811,0.183955,0,
0.266672,7.57151,-0.718349,0.165437,8.57845,-0.282723,0.105846,6.16,-0.672207,0.337233,6.76423,-0.22591,0.323172,0,6.16,-0.659966,0.555403,6.77291,-0.210613,0.601236,0,6.16,-0.562852,0.327489,6.77222,-0.0889825,0.309144,0,6.16,-0.963379,0.195094,6.83825,-0.591064,0.138037,0,6.16,-0.662958,0.0794947,6.76437,-0.213784,-0.00867748,0,6.16,-0.844772,0.624772,6.78752,-0.447192,0.684558,0,6.16,-0.428263,0.452816,6.7576,0.0854276,0.481282,0,6.16,-0.945148,0.599335,6.81919,-0.570926,0.643484,0,6.16,-0.404862,0.635822,6.81902,0.0972551,0.687159,0,6.16,-0.568398,0.609929,6.77855,-0.0971451,0.674999,0,6.16,-0.598199,0.472133,6.79239,-0.134795,0.488091,0,6.16,-0.858984,0.433518,6.8357,-0.463429,0.434945,0,6.16,-0.317169,0.477177,6.75387,0.228103,0.50577,0,6.16,-0.823338,0.297558,6.89012,-0.419931,0.262564,0,6.16,-0.935535,0.359345,6.86749,-0.556349,0.339437,0,6.16,-0.717167,0.450128,6.85514,-0.291098,0.449752,0,6.16,-1.0228,0.471675,6.88195,-0.661522,0.473972,0,6.16,-0.390927,0.327138,6.73042,0.140538,0.312775,0,6.16,-0.908598,0.0995206,6.88497,-0.522457,0.0219837,0,6.16,-0.330248,0.237949,6.68292,0.236528,0.196656,0,6.16,-0.468307,0.169735,6.74628,0.038409,0.107554,0,6.16,-0.29381,0.352936,6.69463,0.279503,0.351566,0,6.16,-0.790199,0.522949,6.75102,-0.377565,0.56625,0,6.16,-0.725183,0.637085,6.76644,-0.295065,0.706914,0,6.16,-0.766539,0.123369,6.86433,-0.353116,0.0494159,0,6.16,-0.547795,0.0836489,6.68565,-0.0514913,-0.001757,0,6.16,-0.315564,0.593698,6.74866,0.236215,0.661548,0,6.16,-0.574057,0.22717,6.73849,-0.0953821,0.182357,0,
0.300007,7.56862,-0.691808,0.165799,8.57645,-0.267478,0.106342,6.16,-0.672207,0.337233,6.79149,-0.229097,0.322424,0,6.16,-0.659966,0.555403,6.79545,-0.213927,0.595862,0,6.16,-0.562852,0.327489,6.81201,-0.095201,0.309247,0,6.16,-0.963379,0.195094,6.88078,-0.587106,0.142472,0,6.16,-0.662958,0.0794947,6.79015,-0.217061,-0.00587395,0,6.16,-0.844772,0.624772,6.8143,-0.447138,0.67851,0,6.16,-0.428263,0.452816,6.77591,0.0800412,0.479397,0,6.16,-0.945148,0.599335,6.85894,-0.568583,0.635732,0,6.16,-0.404862,0.635822,6.84833,0.0882202,0.68055,0,6.16,-0.568398,0.609929,6.80808,-0.102436,0.66821,0,6.16,-0.598199,0.472133,6.82185,-0.140061,0.483654,0,6.16,-0.858984,0.433518,6.87026,-0.462733,0.431508,0,6.16,-0.317169,0.477177,6.76824,0.224706,0.507057,0,6.16,-0.823338,0.297558,6.92064,-0.419014,0.261501,0,6.16,-0.935535,0.359345,6.8786,-0.554637,0.340703,0,6.16,-0.717167,0.450128,6.89075,-0.293059,0.445066,0,6.16,-1.0228,0.471675,6.91081,-0.656754,0.469556,0,6.16,-0.390927,0.327138,6.76017,0.131142,0.310581,0,6.16,-0.908598,0.0995206,6.91691,-0.520146,0.025894,0,6.16,-0.330248,0.237949,6.72865,0.218884,0.197599,0,6.16,-0.468307,0.169735,6.79415,0.0257691,0.109275,0,6.16,-0.29381,0.352936,6.71458,0.271867,0.350874,0,6.16,-0.790199,0.522949,6.77452,-0.378558,0.56173,0,6.16,-0.725183,0.637085,6.80076,-0.297745,0.697491,0,6.16,-0.766539,0.123369,6.89927,-0.353822,0.052899,0,6.16,-0.547795,0.0836489,6.70824,-0.0560048,0.0044758,0,6.16,-0.315564,0.593698,6.77181,0.227427,0.657056,0,6.16,-0.574057,0.22717,6.76991,-0.102284,0.183613,0,
