time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,-7.56774,2.26062,0.346311,-7.39042,2.2853,0.668773,-6.16,1.15072,0.643822,-5.34521,0.672796,1.10101,0,-6.16,1.24754,0.519002,-5.33555,0.806505,0.92085,0,-6.16,1.83216,0.22975,-4.88367,1.52234,0.461215,0,-6.16,1.37928,0.351714,-5.24602,0.942767,0.677003,0,-6.16,1.38637,0.62684,-5.23187,0.944776,1.09892,0,-6.16,1.20519,0.392589,-5.32359,0.73572,0.736718,0,-6.16,0.995719,0.543493,-5.43776,0.530766,0.942282,0,-6.16,1.8094,0.646524,-5.01326,1.52335,1.17572,0,-6.16,0.622205,0.60735,-5.66484,0.276961,0.98875,0,-6.16,1.49841,0.701484,-5.18153,1.08931,1.22608,0,-6.16,1.08827,0.287332,-5.36266,0.596604,0.583818,0,-6.16,0.839015,0.467617,-5.52977,0.40632,0.829107,0,-6.16,1.70345,0.303312,-5.11458,1.38454,0.599258,0,-6.16,1.55205,0.497266,-5.1168,1.1409,0.912578,0,-6.16,1.65699,0.597417,-5.06542,1.28835,1.0835,0,-6.16,1.25309,0.0820693,-5.29863,0.788195,0.276131,0,-6.16,1.72297,0.747657,-5.13431,1.42363,1.31199,0,-6.16,0.903895,0.265537,-5.50593,0.469098,0.560644,0,-6.16,1.76698,0.127819,-5.02502,1.45584,0.301644,0,-6.16,0.837329,0.0971669,-5.53934,0.413764,0.341165,0,-6.16,1.62139,0.390622,-5.17451,1.2791,0.738523,0,-6.16,1.74017,0.513088,-5.06261,1.42468,0.944553,0,-6.16,1.54324,0.308257,-5.1221,1.12936,0.607456,0,-6.16,0.993057,0.693991,-5.49193,0.575855,1.13766,0,-6.16,1.6175,0.11398,-5.19742,1.28343,0.306843,0,-6.16,1.43275,0.100293,-5.2149,1.00591,0.288578,0,-6.16,0.999357,0.394439,-5.49231,0.584691,0.733666,0,-6.16,1.60158,0.759459,-5.16035,1.24127,1.32326,0,-6.16,1.40083,0.464357,-5.20937,0.953198,0.851665,0,-6.16,1.41573,0.229796,-5.20144,0.97153,0.487597,0,
0.033334,-7.57086,2.25218,0.345868,-7.39358,2.27612,0.668727,-6.16,1.15072,0.643822,-5.40729,0.727933,1.09057,0,-6.16,1.24754,0.519002,-5.4152,0.869978,0.912377,0,-6.16,1.83216,0.22975,-4.9789,1.55778,0.469869,0,-6.16,1.37928,0.351714,-5.34503,1.01204,0.678487,0,-6.16,1.38637,0.62684,-5.30428,0.995948,1.08145,0,-6.16,1.20519,0.392589,-5.38858,0.790683,0.737279,0,-6.16,0.995719,0.543493,-5.47852,0.571039,0.940634,0,-6.16,1.8094,0.646524,-5.12139,1.56625,1.15359,0,-6.16,0.622205,0.60735,-5.68803,0.305123,0.985708,0,-6.16,1.49841,0.701484,-5.27895,1.15014,1.20509,0,-6.16,1.08827,0.287332,-5.40932,0.639495,0.58752,0,-6.16,0.839015,0.467617,-5.56452,0.445217,0.82744,0,-6.16,1.70345,0.303312,-5.19197,1.41867,0.599119,0,-6.16,1.55205,0.497266,-5.21483,1.19743,0.903181,0,-6.16,1.65699,0.597417,-5.1567,1.33384,1.07127,0,-6.16,1.25309,0.0820693,-5.36352,0.841078,0.292455,0,-6.16,1.72297,0.747657,-5.21245,1.45931,1.28822,0,-6.16,0.903895,0.265537,-5.55103,0.516448,0.566632,0,-6.16,1.76698,0.127819,-5.13227,1.50046,0.320793,0,-6.16,0.837329,0.0971669,-5.59094,0.474252,0.351935,0,-6.16,1.62139,0.390622,-5.25289,1.32077,0.738552,0,-6.16,1.74017,0.513088,-5.19128,1.4805,0.932284,0,-6.16,1.54324,0.308257,-5.2025,1.17555,0.611172,0,-6.16,0.993057,0.693991,-5.54214,0.627046,1.12797,0,-6.16,1.6175,0.11398,-5.2939,1.33384,0.326637,0,-6.16,1.43275,0.100293,-5.29908,1.06162,0.306148,0,-6.16,0.999357,0.394439,-5.55363,0.646596,0.735036,0,-6.16,1.60158,0.759459,-5.25899,1.29523,1.29616,0,-6.16,1.40083,0.464357,-5.3195,1.03091,0.845874,0,-6.16,1.41573,0.229796,-5.24844,1.00028,0.493316,0,
0.0666681,-7.5782,2.22756,0.346366,-7.40196,2.25167,0.668601,-6.16,1.15072,0.643822,-5.43876,0.769581,1.0757,0,-6.16,1.24754,0.519002,-5.45586,0.914235,0.901088,0,-6.16,1.83216,0.22975,-5.06025,1.59827,0.472748,0,-6.16,1.37928,0.351714,-5.39336,1.05595,0.674164,0,-6.16,1.38637,0.62684,-5.35226,1.04071,1.0651,0,-6.16,1.20519,0.392589,-5.43151,0.838428,0.725783,0,-6.16,0.995719,0.543493,-5.49619,0.604913,0.930666,0,-6.16,1.8094,0.646524,-5.18528,1.5989,1.13559,0,-6.16,0.622205,0.60735,-5.69038,0.327284,0.976062,0,-6.16,1.49841,0.701484,-5.32662,1.18897,1.18664,0,-6.16,1.08827,0.287332,-5.44787,0.691964,0.58368,0,-6.16,0.839015,0.467617,-5.58027,0.481401,0.819889,0,-6.16,1.70345,0.303312,-5.27318,1.46618,0.598835,0,-6.16,1.55205,0.497266,-5.26317,1.23459,0.898157,0,-6.16,1.65699,0.597417,-5.21576,1.37301,1.05667,0,-6.16,1.25309,0.0820693,-5.4181,0.89882,0.299322,0,-6.16,1.72297,0.747657,-5.27298,1.49514,1.26547,0,-6.16,0.903895,0.265537,-5.57243,0.555646,0.562266,0,-6.16,1.76698,0.127819,-5.2135,1.54334,0.331445,0,-6.16,0.837329,0.0971669,-5.61784,0.522597,0.356476,0,-6.16,1.62139,0.390622,-5.34944,1.3816,0.732676,0,-6.16,1.74017,0.513088,-5.26939,1.52218,0.92003,0,-6.16,1.54324,0.308257,-5.29308,1.24036,0.611963,0,-6.16,0.993057,0.693991,-5.5577,0.656797,1.11728,0,-6.16,1.6175,0.11398,-5.36807,1.38152,0.334433,0,-6.16,1.43275,0.100293,-5.3586,1.11233,0.313528,0,-6.16,0.999357,0.394439,-5.57883,0.685428,0.728635,0,-6.16,1.60158,0.759459,-5.31621,1.33489,1.27445,0,-6.16,1.40083,0.464357,-5.37109,1.07568,0.834974,0,-6.16,1.41573,0.229796,-5.29401,1.04485,0.49331,0,
0.100002,-7.5782,2.22756,0.346366,-7.40639,2.23795,0.668522,-6.16,1.15072,0.643822,-5.49761,0.824424,1.0668,0,-6.16,1.24754,0.519002,-5.51323,0.962507,0.894534,0,-6.16,1.83216,0.22975,-5.15714,1.63463,0.482801,0,-6.16,1.37928,0.351714,-5.46317,1.10685,0.675195,0,-6.16,1.38637,0.62684,-5.4177,1.08857,1.05308,0,-6.16,1.20519,0.392589,-5.49344,0.89329,0.724902,0,-6.16,0.995719,0.543493,-5.53806,0.650914,0.925789,0,-6.16,1.8094,0.646524,-5.27635,1.63502,1.11756,0,-6.16,0.622205,0.60735,-5.71301,0.362126,0.972362,0,-6.16,1.49841,0.701484,-5.39575,1.23329,1.16878,0,-6.16,1.08827,0.287332,-5.50537,0.748351,0.588443,0,-6.16,0.839015,0.467617,-5.61568,0.525236,0.818502,0,-6.16,1.70345,0.303312,-5.37793,1.51463,0.605533,0,-6.16,1.55205,0.497266,-5.35365,1.28863,0.887356,0,-6.16,1.65699,0.597417,-5.30921,1.4209,1.03894,0,-6.16,1.25309,0.0820693,-5.47926,0.949326,0.312818,0,-6.16,1.72297,0.747657,-5.35857,1.53466,1.24454,0,-6.16,0.903895,0.265537,-5.60869,0.59811,0.566658,0,-6.16,1.76698,0.127819,-5.31441,1.58552,0.348274,0,-6.16,0.837329,0.0971669,-5.66424,0.578348,0.365968,0,-6.16,1.62139,0.390622,-5.43563,1.42562,0.732356,0,-6.16,1.74017,0.513088,-5.35842,1.56086,0.911526,0,-6.16,1.54324,0.308257,-5.36979,1.2844,0.6137,0,-6.16,0.993057,0.693991,-5.59841,0.701499,1.10831,0,-6.16,1.6175,0.11398,-5.47359,1.43726,0.353679,0,-6.16,1.43275,0.100293,-5.48773,1.19896,0.333839,0,-6.16,0.999357,0.394439,-5.61951,0.728786,0.72803,0,-6.16,1.60158,0.759459,-5.39874,1.38063,1.25112,0,-6.16,1.40083,0.464357,-5.44489,1.12807,0.831106,0,-6.16,1.41573,0.229796,-5.36526,1.09547,0.500363,0,
0.133336,-7.58577,2.20278,0.346937,-7.40997,2.22765,0.668471,-6.16,1.15072,0.643822,-5.52362,0.839669,1.06698,0,-6.16,1.24754,0.519002,-5.54114,0.978862,0.896656,0,-6.16,1.83216,0.22975,-5.19957,1.64451,0.492189,0,-6.16,1.37928,0.351714,-5.49263,1.1217,0.67971,0,-6.16,1.38637,0.62684,-5.44723,1.10346,1.05233,0,-6.16,1.20519,0.392589,-5.52744,0.91561,0.73025,0,-6.16,0.995719,0.543493,-5.56556,0.67111,0.928991,0,-6.16,1.8094,0.646524,-5.3237,1.6482,1.11318,0,-6.16,0.622205,0.60735,-5.72421,0.366446,0.975679,0,-6.16,1.49841,0.701484,-5.42502,1.24592,1.16604,0,-6.16,1.08827,0.287332,-5.52537,0.758465,0.594595,0,-6.16,0.839015,0.467617,-5.63361,0.537036,0.822174,0,-6.16,1.70345,0.303312,-5.42641,1.53162,0.611471,0,-6.16,1.55205,0.497266,-5.39942,1.3088,0.889168,0,-6.16,1.65699,0.597417,-5.35179,1.43595,1.03849,0,-6.16,1.25309,0.0820693,-5.50589,0.96463,0.322085,0,-6.16,1.72297,0.747657,-5.39168,1.54484,1.23767,0,-6.16,0.903895,0.265537,-5.63059,0.615943,0.569543,0,-6.16,1.76698,0.127819,-5.36174,1.59972,0.361317,0,-6.16,0.837329,0.0971669,-5.67797,0.583879,0.372865,0,-6.16,1.62139,0.390622,-5.46731,1.43667,0.735399,0,-6.16,1.74017,0.513088,-5.38646,1.56559,0.916055,0,-6.16,1.54324,0.308257,-5.41149,1.30352,0.620372,0,-6.16,0.993057,0.693991,-5.61817,0.712927,1.1101,0,-6.16,1.6175,0.11398,-5.51525,1.45361,0.364809,0,-6.16,1.43275,0.100293,-5.52974,1.22036,0.344181,0,-6.16,0.999357,0.394439,-5.64207,0.744494,0.732987,0,-6.16,1.60158,0.759459,-5.45567,1.40749,1.23634,0,-6.16,1.40083,0.464357,-5.48289,1.14896,0.83159,0,-6.16,1.41573,0.229796,-5.40525,1.11715,0.50933,0,
0.16667,-7.58849,2.19328,0.347155,-7.41286,2.21845,0.668415,-6.16,1.15072,0.643822,-5.53111,0.84114,1.06344,0,-6.16,1.24754,0.519002,-5.54701,0.978061,0.891486,0,-6.16,1.83216,0.22975,-5.21762,1.6477,0.491586,0,-6.16,1.37928,0.351714,-5.50185,1.1237,0.675925,0,-6.16,1.38637,0.62684,-5.45512,1.10443,1.04828,0,-6.16,1.20519,0.392589,-5.53176,0.912024,0.72509,0,-6.16,0.995719,0.543493,-5.57098,0.668816,0.922891,0,-6.16,1.8094,0.646524,-5.33664,1.64955,1.10628,0,-6.16,0.622205,0.60735,-5.73146,0.365897,0.967144,0,-6.16,1.49841,0.701484,-5.43223,1.24628,1.16195,0,-6.16,1.08827,0.287332,-5.53911,0.766832,0.590659,0,-6.16,0.839015,0.467617,-5.63772,0.532542,0.816581,0,-6.16,1.70345,0.303312,-5.44355,1.53599,0.60894,0,-6.16,1.55205,0.497266,-5.41721,1.31524,0.882575,0,-6.16,1.65699,0.597417,-5.36333,1.43795,1.03469,0,-6.16,1.25309,0.0820693,-5.53935,0.988506,0.322858,0,-6.16,1.72297,0.747657,-5.39653,1.54315,1.23422,0,-6.16,0.903895,0.265537,-5.63498,0.61141,0.566451,0,-6.16,1.76698,0.127819,-5.3866,1.60701,0.362574,0,-6.16,0.837329,0.0971669,-5.6864,0.587852,0.371218,0,-6.16,1.62139,0.390622,-5.48132,1.44109,0.733033,0,-6.16,1.74017,0.513088,-5.40191,1.57066,0.911476,0,-6.16,1.54324,0.308257,-5.43743,1.31543,0.618424,0,-6.16,0.993057,0.693991,-5.61827,0.705536,1.107,0,-6.16,1.6175,0.11398,-5.52451,1.45454,0.364012,0,-6.16,1.43275,0.100293,-5.54734,1.22758,0.344198,0,-6.16,0.999357,0.394439,-5.64874,0.744828,0.728286,0,-6.16,1.60158,0.759459,-5.4691,1.41007,1.23143,0,-6.16,1.40083,0.464357,-5.48807,1.14692,0.828272,0,-6.16,1.41573,0.229796,-5.42472,1.12625,0.50835,0,
0.200004,-7.5946,2.17085,0.347215,-7.41717,2.20441,0.668326,-6.16,1.15072,0.643822,-5.54624,0.855816,1.06322,0,-6.16,1.24754,0.519002,-5.5586,0.988822,0.892469,0,-6.16,1.83216,0.22975,-5.25225,1.66125,0.491649,0,-6.16,1.37928,0.351714,-5.52333,1.1405,0.676933,0,-6.16,1.38637,0.62684,-5.47335,1.11887,1.04469,0,-6.16,1.20519,0.392589,-5.54156,0.922148,0.725979,0,-6.16,0.995719,0.543493,-5.57547,0.674447,0.924483,0,-6.16,1.8094,0.646524,-5.36746,1.66237,1.09782,0,-6.16,0.622205,0.60735,-5.73356,0.370536,0.968189,0,-6.16,1.49841,0.701484,-5.45306,1.26069,1.15747,0,-6.16,1.08827,0.287332,-5.54945,0.777134,0.590892,0,-6.16,0.839015,0.467617,-5.6416,0.538924,0.818358,0,-6.16,1.70345,0.303312,-5.45189,1.53925,0.607711,0,-6.16,1.55205,0.497266,-5.43617,1.32656,0.880241,0,-6.16,1.65699,0.597417,-5.39549,1.45527,1.02563,0,-6.16,1.25309,0.0820693,-5.55612,1.00144,0.327772,0,-6.16,1.72297,0.747657,-5.42793,1.55895,1.22733,0,-6.16,0.903895,0.265537,-5.63851,0.615899,0.571521,0,-6.16,1.76698,0.127819,-5.41748,1.62002,0.366749,0,-6.16,0.837329,0.0971669,-5.68659,0.587168,0.37198,0,-6.16,1.62139,0.390622,-5.5019,1.45234,0.732162,0,-6.16,1.74017,0.513088,-5.42924,1.58317,0.908801,0,-6.16,1.54324,0.308257,-5.45419,1.32476,0.618427,0,-6.16,0.993057,0.693991,-5.6254,0.715275,1.10657,0,-6.16,1.6175,0.11398,-5.54087,1.46377,0.366206,0,-6.16,1.43275,0.100293,-5.57302,1.24547,0.351907,0,-6.16,0.999357,0.394439,-5.65398,0.751016,0.729647,0,-6.16,1.60158,0.759459,-5.49368,1.42404,1.22618,0,-6.16,1.40083,0.464357,-5.51388,1.16696,0.82607,0,-6.16,1.41573,0.229796,-5.44552,1.14106,0.510119,0,
0.233338,-7.5946,2.17085,0.347215,-7.42006,2.19391,0.668248,-6.16,1.15072,0.643822,-5.58203,0.88891,1.05382,0,-6.16,1.24754,0.519002,-5.59987,1.02332,0.883293,0,-6.16,1.83216,0.22975,-5.32521,1.68773,0.499895,0,-6.16,1.37928,0.351714,-5.58193,1.18198,0.674173,0,-6.16,1.38637,0.62684,-5.52319,1.1547,1.03303,0,-6.16,1.20519,0.392589,-5.58018,0.955919,0.722136,0,-6.16,0.995719,0.543493,-5.61642,0.718957,0.916772,0,-6.16,1.8094,0.646524,-5.42825,1.68553,1.08696,0,-6.16,0.622205,0.60735,-5.75613,0.402829,0.959347,0,-6.16,1.49841,0.701484,-5.50565,1.29382,1.14224,0,-6.16,1.08827,0.287332,-5.59252,0.819061,0.590931,0,-6.16,0.839015,0.467617,-5.67478,0.57957,0.812314,0,-6.16,1.70345,0.303312,-5.51363,1.56869,0.609012,0,-6.16,1.55205,0.497266,-5.5063,1.36689,0.868667,0,-6.16,1.65699,0.597417,-5.45786,1.48599,1.01377,0,-6.16,1.25309,0.0820693,-5.61794,1.05164,0.337048,0,-6.16,1.72297,0.747657,-5.48116,1.58283,1.21003,0,-6.16,0.903895,0.265537,-5.67176,0.654111,0.567319,0,-6.16,1.76698,0.127819,-5.50084,1.65363,0.378402,0,-6.16,0.837329,0.0971669,-5.72403,0.630975,0.371345,0,-6.16,1.62139,0.390622,-5.57071,1.48808,0.728775,0,-6.16,1.74017,0.513088,-5.48393,1.60683,0.901792,0,-6.16,1.54324,0.308257,-5.51824,1.36244,0.619419,0,-6.16,0.993057,0.693991,-5.65871,0.75125,1.09424,0,-6.16,1.6175,0.11398,-5.59338,1.49167,0.374289,0,-6.16,1.43275,0.100293,-5.6257,1.27988,0.357757,0,-6.16,0.999357,0.394439,-5.69225,0.791635,0.725286,0,-6.16,1.60158,0.759459,-5.54722,1.45296,1.20548,0,-6.16,1.40083,0.464357,-5.56545,1.2023,0.819544,0,-6.16,1.41573,0.229796,-5.51699,1.18977,0.513046,0,
0.266672,-7.60115,2.14297,0.347746,-7.42712,2.16883,0.668069,-6.16,1.15072,0.643822,-5.59796,0.912115,1.04958,0,-6.16,1.24754,0.519002,-5.61323,1.04108,0.879408,0,-6.16,1.83216,0.22975,-5.35744,1.70334,0.500831,0,-6.16,1.37928,0.351714,-5.60949,1.20608,0.671673,0,-6.16,1.38637,0.62684,-5.5426,1.17402,1.02515,0,-6.16,1.20519,0.392589,-5.60195,0.982213,0.718035,0,-6.16,0.995719,0.543493,-5.62518,0.737064,0.90901,0,-6.16,1.8094,0.646524,-5.46272,1.70167,1.07525,0,-6.16,0.622205,0.60735,-5.75428,0.415408,0.953769,0,-6.16,1.49841,0.701484,-5.53622,1.31745,1.13055,0,-6.16,1.08827,0.287332,-5.60516,0.840071,0.590074,0,-6.16,0.839015,0.467617,-5.67219,0.587691,0.809628,0,-6.16,1.70345,0.303312,-5.56358,1.59424,0.609733,0,-6.16,1.55205,0.497266,-5.53933,1.38924,0.862589,0,-6.16,1.65699,0.597417,-5.49261,1.50684,1.00521,0,-6.16,1.25309,0.0820693,-5.63619,1.07147,0.339133,0,-6.16,1.72297,0.747657,-5.51867,1.60305,1.19802,0,-6.16,0.903895,0.265537,-5.69073,0.686862,0.56608,0,-6.16,1.76698,0.127819,-5.53411,1.66919,0.382253,0,-6.16,0.837329,0.0971669,-5.7281,0.643866,0.368583,0,-6.16,1.62139,0.390622,-5.59172,1.50102,0.724743,0,-6.16,1.74017,0.513088,-5.51944,1.62531,0.894436,0,-6.16,1.54324,0.308257,-5.55383,1.3868,0.618915,0,-6.16,0.993057,0.693991,-5.66625,0.76919,1.08867,0,-6.16,1.6175,0.11398,-5.61444,1.50556,0.376136,0,-6.16,1.43275,0.100293,-5.64592,1.29667,0.358552,0,-6.16,0.999357,0.394439,-5.7024,0.811088,0.722999,0,-6.16,1.60158,0.759459,-5.57259,1.46878,1.19165,0,-6.16,1.40083,0.464357,-5.59019,1.22434,0.814836,0,-6.16,1.41573,0.229796,-5.54825,1.21479,0.511507,0,
0.300007,-7.60115,2.14297,0.347746,-7.43082,2.15479,0.667959,-6.16,1.15072,0.643822,-5.63474,0.94273,1.04647,0,-6.16,1.24754,0.519002,-5.64953,1.06995,0.875817,0,-6.16,1.83216,0.22975,-5.40871,1.72051,0.505141,0,-6.16,1.37928,0.351714,-5.63356,1.22151,0.673543,0,-6.16,1.38637,0.62684,-5.58783,1.2047,1.01797,0,-6.16,1.20519,0.392589,-5.63393,1.00815,0.718531,0,-6.16,0.995719,0.543493,-5.6482,0.760922,0.908209,0,-6.16,1.8094,0.646524,-5.51916,1.72119,1.06379,0,-6.16,0.622205,0.60735,-5.76942,0.436787,0.955635,0,-6.16,1.49841,0.701484,-5.57867,1.34187,1.12072,0,-6.16,1.08827,0.287332,-5.63935,0.87178,0.590807,0,-6.16,0.839015,0.467617,-5.69386,0.614544,0.806958,0,-6.16,1.70345,0.303312,-5.62663,1.61948,0.612468,0,-6.16,1.55205,0.497266,-5.58212,1.41181,0.86038,0,-6.16,1.65699,0.597417,-5.54447,1.53001,0.999815,0,-6.16,1.25309,0.0820693,-5.65299,1.08409,0.344098,0,-6.16,1.72297,0.747657,-5.56615,1.62213,1.18358,0,-6.16,0.903895,0.265537,-5.70477,0.700671,0.569423,0,-6.16,1.76698,0.127819,-5.5826,1.68705,0.389812,0,-6.16,0.837329,0.0971669,-5.74794,0.668716,0.373924,0,-6.16,1.62139,0.390622,-5.63589,1.52255,0.723891,0,-6.16,1.74017,0.513088,-5.56802,1.64418,0.888795,0,-6.16,1.54324,0.308257,-5.59905,1.41062,0.619453,0,-6.16,0.993057,0.693991,-5.69543,0.799096,1.08278,0,-6.16,1.6175,0.11398,-5.6527,1.52426,0.383225,0,-6.16,1.43275,0.100293,-5.69218,1.32593,0.370342,0,-6.16,0.999357,0.394439,-5.72914,0.837888,0.722853,0,-6.16,1.60158,0.759459,-5.61983,1.49275,1.17717,0,-6.16,1.40083,0.464357,-5.63109,1.2509,0.812146,0,-6.16,1.41573,0.229796,-5.59818,1.24692,0.516591,0,
