time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,7.55439,0.130398,0.174045,8.54346,0.556265,0.131484,6.16,0.772367,0.371157,6.24875,1.61274,0.455864,0,6.16,0.736927,0.275334,6.21538,1.56893,0.300595,0,6.16,0.557455,0.434052,6.18075,1.27989,0.572048,0,6.16,0.388133,0.34534,6.10984,1.00609,0.430443,0,6.16,0.522668,0.249243,6.1539,1.22849,0.26035,0,6.16,0.791479,0.508121,6.30627,1.61691,0.667479,0,6.16,0.31435,0.473358,6.28195,0.854609,0.616925,0,6.16,0.637181,0.646721,6.24531,1.39151,0.910517,0,6.16,-0.00579913,0.492434,6.16006,0.323467,0.675697,0,6.16,0.107143,0.584411,6.21307,0.5174,0.817309,0,6.16,-0.0771374,0.429144,6.13417,0.197677,0.572254,0,6.16,-0.0560598,0.61348,6.21156,0.244444,0.866368,0,6.16,0.513442,0.0843316,6.20013,1.19999,-0.0192835,0,6.16,0.102556,0.421389,6.13169,0.508109,0.559295,0,6.16,0.657028,0.197339,6.23143,1.42946,0.170108,0,6.16,0.242296,0.551839,6.30331,0.736033,0.738426,0,6.16,0.358092,0.65264,6.16618,0.944456,0.947432,0,6.16,0.108972,0.311706,6.11106,0.51889,0.371622,0,6.16,0.471577,0.641631,6.22143,1.12442,0.910135,0,6.16,-0.0198302,0.300963,6.18798,0.302492,0.34588,0,6.16,0.184584,0.11478,6.10905,0.650866,0.0280146,0,6.16,0.0737125,0.220242,6.11991,0.457742,0.211777,0,6.16,0.437597,0.429486,6.17295,1.07851,0.56574,0,6.16,0.212103,0.415052,6.13746,0.697246,0.547337,0,6.16,-0.0552503,0.148353,6.13333,0.235383,0.0870761,0,6.16,0.204154,0.643488,6.21162,0.679608,0.91653,0,6.16,0.291809,0.344426,6.07556,0.841942,0.433036,0,
0.033334,7.55552,0.157534,0.174462,8.54356,0.566347,0.13178,6.16,0.772367,0.371157,6.35763,1.54574,0.439963,0,6.16,0.736927,0.275334,6.33203,1.50123,0.291615,0,6.16,0.557455,0.434052,6.30963,1.22421,0.546703,0,6.16,0.388133,0.34534,6.30706,0.949746,0.405114,0,6.16,0.522668,0.249243,6.31509,1.16557,0.251939,0,6.16,0.791479,0.508121,6.43495,1.53814,0.63502,0,6.16,0.31435,0.473358,6.44399,0.817895,0.581969,0,6.16,0.637181,0.646721,6.3301,1.34637,0.880047,0,6.16,-0.00579913,0.492434,6.3373,0.323639,0.633958,0,6.16,0.107143,0.584411,6.3308,0.506742,0.78475,0,6.16,-0.0771374,0.429144,6.27805,0.203411,0.544562,0,6.16,-0.0560598,0.61348,6.36892,0.248995,0.817814,0,6.16,0.513442,0.0843316,6.35143,1.14266,-0.010793,0,6.16,0.102556,0.421389,6.29473,0.495297,0.530685,0,6.16,0.657028,0.197339,6.37876,1.35672,0.166743,0,6.16,0.242296,0.551839,6.46472,0.708029,0.693452,0,6.16,0.358092,0.65264,6.28867,0.908868,0.904884,0,6.16,0.108972,0.311706,6.22307,0.508486,0.363059,0,6.16,0.471577,0.641631,6.33696,1.08077,0.870903,0,6.16,-0.0198302,0.300963,6.34148,0.304856,0.330577,0,6.16,0.184584,0.11478,6.2655,0.629676,0.0327008,0,6.16,0.0737125,0.220242,6.26802,0.449175,0.205615,0,6.16,0.437597,0.429486,6.31865,1.03038,0.537744,0,6.16,0.212103,0.415052,6.29953,0.671735,0.51801,0,6.16,-0.0552503,0.148353,6.30895,0.242521,0.0891124,0,6.16,0.204154,0.643488,6.35065,0.657119,0.869227,0,6.16,0.291809,0.344426,6.24149,0.805564,0.412237,0,
0.0666681,7.55552,0.157534,0.174462,8.544,0.593921,0.132587,6.16,0.772367,0.371157,6.41392,1.52846,0.430774,0,6.16,0.736927,0.275334,6.39827,1.48042,0.284726,0,6.16,0.557455,0.434052,6.37178,1.21437,0.536273,0,6.16,0.388133,0.34534,6.40401,0.940315,0.392731,0,6.16,0.522668,0.249243,6.4112,1.14582,0.248916,0,6.16,0.791479,0.508121,6.51433,1.50718,0.616134,0,6.16,0.31435,0.473358,6.50314,0.821093,0.567523,0,6.16,0.637181,0.646721,6.41594,1.31963,0.847993,0,6.16,-0.00579913,0.492434,6.41191,0.340788,0.615691,0,6.16,0.107143,0.584411,6.44308,0.513688,0.749509,0,6.16,-0.0771374,0.429144,6.36823,0.224171,0.529487,0,6.16,-0.0560598,0.61348,6.44002,0.267935,0.794859,0,6.16,0.513442,0.0843316,6.44228,1.12508,-0.00287051,0,6.16,0.102556,0.421389,6.38589,0.505213,0.513951,0,6.16,0.657028,0.197339,6.4736,1.32761,0.16316,0,6.16,0.242296,0.551839,6.54445,0.710728,0.672199,0,6.16,0.358092,0.65264,6.36462,0.904185,0.879936,0,6.16,0.108972,0.311706,6.29526,0.517691,0.357571,0,6.16,0.471577,0.641631,6.39617,1.0754,0.852225,0,6.16,-0.0198302,0.300963,6.44328,0.3229,0.324018,0,6.16,0.184584,0.11478,6.36427,0.633184,0.0371738,0,6.16,0.0737125,0.220242,6.37319,0.460099,0.203148,0,6.16,0.437597,0.429486,6.4011,1.02024,0.523741,0,6.16,0.212103,0.415052,6.39008,0.674493,0.503439,0,6.16,-0.0552503,0.148353,6.42107,0.264519,0.0892351,0,6.16,0.204154,0.643488,6.41845,0.662765,0.84751,0,6.16,0.291809,0.344426,6.32555,0.804447,0.402243,0,
0.100002,7.5565,0.183692,0.17486,8.54426,0.609272,0.133036,6.16,0.772367,0.371157,6.46398,1.50089,0.422076,0,6.16,0.736927,0.275334,6.45372,1.45193,0.279109,0,6.16,0.557455,0.434052,6.41876,1.1967,0.527407,0,6.16,0.388133,0.34534,6.4679,0.925636,0.384432,0,6.16,0.522668,0.249243,6.47555,1.12508,0.239926,0,6.16,0.791479,0.508121,6.5355,1.49791,0.610187,0,6.16,0.31435,0.473358,6.56405,0.80929,0.557712,0,6.16,0.637181,0.646721,6.46667,1.29823,0.829272,0,6.16,-0.00579913,0.492434,6.47207,0.343271,0.604276,0,6.16,0.107143,0.584411,6.48425,0.513955,0.739012,0,6.16,-0.0771374,0.429144,6.4255,0.230007,0.518616,0,6.16,-0.0560598,0.61348,6.48637,0.271724,0.780905,0,6.16,0.513442,0.0843316,6.51232,1.10212,3.10987e-05,0,6.16,0.102556,0.421389,6.44687,0.503638,0.503044,0,6.16,0.657028,0.197339,6.51971,1.30911,0.158696,0,6.16,0.242296,0.551839,6.60005,0.703673,0.657584,0,6.16,0.358092,0.65264,6.4112,0.894061,0.863061,0,6.16,0.108972,0.311706,6.39361,0.512778,0.345974,0,6.16,0.471577,0.641631,6.4413,1.0611,0.83542,0,6.16,-0.0198302,0.300963,6.49066,0.32683,0.317758,0,6.16,0.184584,0.11478,6.45032,0.625488,0.0415169,0,6.16,0.0737125,0.220242,6.43199,0.460384,0.200376,0,6.16,0.437597,0.429486,6.46917,1.00126,0.509633,0,6.16,0.212103,0.415052,6.42805,0.671532,0.496121,0,6.16,-0.0552503,0.148353,6.50107,0.271677,0.090716,0,6.16,0.204154,0.643488,6.46986,0.656988,0.830075,0,6.16,0.291809,0.344426,6.39447,0.792759,0.3916,0,
0.133336,7.55636,0.193716,0.174709,8.54436,0.620533,0.133367,6.16,0.772367,0.371157,6.51207,1.47013,0.414287,0,6.16,0.736927,0.275334,6.5049,1.42115,0.27595,0,6.16,0.557455,0.434052,6.48413,1.16712,0.515609,0,6.16,0.388133,0.34534,6.50858,0.912095,0.3785,0,6.16,0.522668,0.249243,6.54126,1.0982,0.23621,0,6.16,0.791479,0.508121,6.5704,1.47236,0.601223,0,6.16,0.31435,0.473358,6.61854,0.794928,0.545713,0,6.16,0.637181,0.646721,6.50305,1.27796,0.816522,0,6.16,-0.00579913,0.492434,6.53425,0.341572,0.587651,0,6.16,0.107143,0.584411,6.56406,0.50554,0.7126,0,6.16,-0.0771374,0.429144,6.50473,0.232493,0.505446,0,6.16,-0.0560598,0.61348,6.57956,0.274494,0.745266,0,6.16,0.513442,0.0843316,6.58722,1.07299,0.00535591,0,6.16,0.102556,0.421389,6.51805,0.496813,0.488688,0,6.16,0.657028,0.197339,6.60965,1.26389,0.156552,0,6.16,0.242296,0.551839,6.65285,0.692346,0.643027,0,6.16,0.358092,0.65264,6.47858,0.873599,0.840305,0,6.16,0.108972,0.311706,6.47529,0.506206,0.337201,0,6.16,0.471577,0.641631,6.47996,1.04456,0.823722,0,6.16,-0.0198302,0.300963,6.58544,0.327012,0.308461,0,6.16,0.184584,0.11478,6.52842,0.614879,0.0427169,0,6.16,0.0737125,0.220242,6.49631,0.45511,0.197297,0,6.16,0.437597,0.429486,6.53197,0.9796,0.497154,0,6.16,0.212103,0.415052,6.52611,0.654852,0.479433,0,6.16,-0.0552503,0.148353,6.57147,0.273834,0.0897683,0,6.16,0.204154,0.643488,6.54173,0.644226,0.808277,0,6.16,0.291809,0.344426,6.50644,0.769378,0.37749,0,
0.16667,7.55636,0.193716,0.174709,8.54449,0.630959,0.133673,6.16,0.772367,0.371157,6.60003,1.42018,0.408094,0,6.16,0.736927,0.275334,6.59321,1.37333,0.274337,0,6.16,0.557455,0.434052,6.58057,1.12908,0.501617,0,6.16,0.388133,0.34534,6.62158,0.881653,0.367596,0,6.16,0.522668,0.249243,6.66482,1.05491,0.236334,0,6.16,0.791479,0.508121,6.64461,1.42798,0.588802,0,6.16,0.31435,0.473358,6.70563,0.775556,0.526459,0,6.16,0.637181,0.646721,6.58637,1.2389,0.79574,0,6.16,-0.00579913,0.492434,6.62433,0.342325,0.570027,0,6.16,0.107143,0.584411,6.64826,0.499835,0.690835,0,6.16,-0.0771374,0.429144,6.59731,0.238545,0.488894,0,6.16,-0.0560598,0.61348,6.68529,0.280623,0.713952,0,6.16,0.513442,0.0843316,6.67748,1.04082,0.0142968,0,6.16,0.102556,0.421389,6.62882,0.490802,0.472335,0,6.16,0.657028,0.197339,6.69256,1.22566,0.159263,0,6.16,0.242296,0.551839,6.74214,0.677365,0.620226,0,6.16,0.358092,0.65264,6.59285,0.845893,0.80503,0,6.16,0.108972,0.311706,6.57402,0.50004,0.327831,0,6.16,0.471577,0.641631,6.5881,1.00784,0.792097,0,6.16,-0.0198302,0.300963,6.67437,0.33014,0.303692,0,6.16,0.184584,0.11478,6.62013,0.604149,0.0490996,0,6.16,0.0737125,0.220242,6.59649,0.450984,0.195209,0,6.16,0.437597,0.429486,6.62965,0.949962,0.483293,0,6.16,0.212103,0.415052,6.63902,0.640923,0.46246,0,6.16,-0.0552503,0.148353,6.64778,0.277113,0.0932025,0,6.16,0.204154,0.643488,6.62486,0.633212,0.78606,0,6.16,0.291809,0.344426,6.65302,0.744628,0.360373,0,
0.200004,7.55736,0.220683,0.175142,8.54482,0.658255,0.134475,6.16,0.772367,0.371157,6.64116,1.41224,0.399091,0,6.16,0.736927,0.275334,6.6417,1.36299,0.268322,0,6.16,0.557455,0.434052,6.63965,1.1216,0.487312,0,6.16,0.388133,0.34534,6.70441,0.877327,0.356522,0,6.16,0.522668,0.249243,6.72564,1.04957,0.231946,0,6.16,0.791479,0.508121,6.69061,1.41601,0.574588,0,6.16,0.31435,0.473358,6.76442,0.779032,0.515632,0,6.16,0.637181,0.646721,6.61803,1.23872,0.782809,0,6.16,-0.00579913,0.492434,6.66831,0.358281,0.56034,0,6.16,0.107143,0.584411,6.71147,0.511481,0.672155,0,6.16,-0.0771374,0.429144,6.6545,0.258091,0.480088,0,6.16,-0.0560598,0.61348,6.72669,0.298463,0.702037,0,6.16,0.513442,0.0843316,6.76284,1.02766,0.0183983,0,6.16,0.102556,0.421389,6.69132,0.503598,0.461547,0,6.16,0.657028,0.197339,6.74402,1.21743,0.155387,0,6.16,0.242296,0.551839,6.78051,0.686519,0.610842,0,6.16,0.358092,0.65264,6.63435,0.851383,0.788989,0,6.16,0.108972,0.311706,6.61572,0.512799,0.325,0,6.16,0.471577,0.641631,6.63262,1.00865,0.776017,0,6.16,-0.0198302,0.300963,6.72558,0.347082,0.299279,0,6.16,0.184584,0.11478,6.68574,0.612644,0.0528692,0,6.16,0.0737125,0.220242,6.65746,0.464754,0.193526,0,6.16,0.437597,0.429486,6.69228,0.947141,0.47142,0,6.16,0.212103,0.415052,6.70221,0.648863,0.451818,0,6.16,-0.0552503,0.148353,6.66993,0.292839,0.0952578,0,6.16,0.204154,0.643488,6.6604,0.643121,0.775003,0,6.16,0.291809,0.344426,6.68929,0.754295,0.357058,0,
0.233338,7.55736,0.220683,0.175142,8.54501,0.673698,0.134928,6.16,0.772367,0.371157,6.69287,1.38615,0.393751,0,6.16,0.736927,0.275334,6.6861,1.34236,0.263639,0,6.16,0.557455,0.434052,6.69786,1.10258,0.477723,0,6.16,0.388133,0.34534,6.78665,0.862015,0.348343,0,6.16,0.522668,0.249243,6.78041,1.03379,0.230807,0,6.16,0.791479,0.508121,6.71326,1.40538,0.569799,0,6.16,0.31435,0.473358,6.81364,0.772357,0.506249,0,6.16,0.637181,0.646721,6.67327,1.21612,0.76696,0,6.16,-0.00579913,0.492434,6.71777,0.361977,0.549642,0,6.16,0.107143,0.584411,6.76926,0.511867,0.656087,0,6.16,-0.0771374,0.429144,6.73458,0.268539,0.46313,0,6.16,-0.0560598,0.61348,6.78479,0.304693,0.685647,0,6.16,0.513442,0.0843316,6.85321,1.00272,0.0241912,0,6.16,0.102556,0.421389,6.7483,0.504292,0.452016,0,6.16,0.657028,0.197339,6.80183,1.19432,0.156455,0,6.16,0.242296,0.551839,6.84097,0.680443,0.595524,0,6.16,0.358092,0.65264,6.65763,0.847626,0.781616,0,6.16,0.108972,0.311706,6.70184,0.511955,0.316083,0,6.16,0.471577,0.641631,6.68619,0.993872,0.759242,0,6.16,-0.0198302,0.300963,6.77789,0.352062,0.293781,0,6.16,0.184584,0.11478,6.78344,0.607996,0.0576928,0,6.16,0.0737125,0.220242,6.71471,0.46653,0.190953,0,6.16,0.437597,0.429486,6.75436,0.932803,0.461285,0,6.16,0.212103,0.415052,6.80135,0.642062,0.435435,0,6.16,-0.0552503,0.148353,6.68968,0.295,0.0953058,0,6.16,0.204154,0.643488,6.74276,0.63618,0.748772,0,6.16,0.291809,0.344426,6.73222,0.748496,0.353112,0,
0.266672,7.55736,0.220683,0.175142,8.54482,0.658255,0.134475,6.16,0.772367,0.371157,6.72749,1.33927,0.385906,0,6.16,0.736927,0.275334,6.72485,1.29423,0.258612,0,6.16,0.557455,0.434052,6.72688,1.06392,0.467652,0,6.16,0.388133,0.34534,6.83525,0.823588,0.340804,0,6.16,0.522668,0.249243,6.8145,0.994071,0.226723,0,6.16,0.791479,0.508121,6.7332,1.36437,0.562708,0,6.16,0.31435,0.473358,6.843,0.738804,0.494442,0,6.16,0.637181,0.646721,6.72799,1.16428,0.745734,0,6.16,-0.00579913,0.492434,6.75138,0.334925,0.540948,0,6.16,0.107143,0.584411,6.79488,0.482672,0.646244,0,6.16,-0.0771374,0.429144,6.78066,0.245788,0.457126,0,6.16,-0.0560598,0.61348,6.79791,0.27789,0.676924,0,6.16,0.513442,0.0843316,6.86438,0.971765,0.0234064,0,6.16,0.102556,0.421389,6.77968,0.47507,0.446098,0,6.16,0.657028,0.197339,6.84567,1.14735,0.15593,0,6.16,0.242296,0.551839,6.86688,0.648828,0.586268,0,6.16,0.358092,0.65264,6.66577,0.816167,0.777511,0,6.16,0.108972,0.311706,6.74702,0.483197,0.310639,0,6.16,0.471577,0.641631,6.72365,0.953905,0.743558,0,6.16,-0.0198302,0.300963,6.83829,0.327939,0.287453,0,6.16,0.184584,0.11478,6.85144,0.576693,0.055622,0,6.16,0.0737125,0.220242,6.73593,0.43792,0.190032,0,6.16,0.437597,0.429486,6.791,0.894732,0.452305,0,6.16,0.212103,0.415052,6.84311,0.610809,0.426614,0,6.16,-0.0552503,0.148353,6.70296,0.266266,0.0946365,0,6.16,0.204154,0.643488,6.76878,0.605772,0.738223,0,6.16,0.291809,0.344426,6.76458,0.714351,0.346917,0,
0.300007,7.55951,0.266874,0.176196,8.54535,0.704475,0.135832,6.16,0.772367,0.371157,6.75447,1.35721,0.383015,0,6.16,0.736927,0.275334,6.76287,1.30782,0.256819,0,6.16,0.557455,0.434052,6.75927,1.08416,0.461908,0,6.16,0.388133,0.34534,6.87103,0.848448,0.337351,0,6.16,0.522668,0.249243,6.8447,1.01646,0.225955,0,6.16,0.791479,0.508121,6.75878,1.38178,0.558142,0,6.16,0.31435,0.473358,6.88727,0.763359,0.487658,0,6.16,0.637181,0.646721,6.74558,1.18984,0.740075,0,6.16,-0.00579913,0.492434,6.78747,0.368801,0.534307,0,6.16,0.107143,0.584411,6.84633,0.513471,0.632418,0,6.16,-0.0771374,0.429144,6.81556,0.281979,0.449376,0,6.16,-0.0560598,0.61348,6.83796,0.312405,0.667522,0,6.16,0.513442,0.0843316,6.88628,0.995943,0.0256694,0,6.16,0.102556,0.421389,6.81049,0.506334,0.441553,0,6.16,0.657028,0.197339,6.88188,1.16474,0.155692,0,6.16,0.242296,0.551839,6.90425,0.676459,0.575403,0,6.16,0.358092,0.65264,6.68661,0.842235,0.77129,0,6.16,0.108972,0.311706,6.77745,0.514821,0.307899,0,6.16,0.471577,0.641631,6.75419,0.976996,0.734247,0,6.16,-0.0198302,0.300963,6.86979,0.363042,0.286525,0,6.16,0.184584,0.11478,6.89284,0.60705,0.0583653,0,6.16,0.0737125,0.220242,6.76923,0.469372,0.189186,0,6.16,0.437597,0.429486,6.83314,0.916125,0.445509,0,6.16,0.212103,0.415052,6.87205,0.640443,0.421946,0,6.16,-0.0552503,0.148353,6.73777,0.300253,0.0968071,0,6.16,0.204154,0.643488,6.79178,0.635095,0.730723,0,6.16,0.291809,0.344426,6.81712,0.738742,0.342127,0,
