time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,
0,3.43645,-3.30742,0.232213,4.01155,-3.51955,0.103019,3.88359,-1.86,0.640438,4.68866,-1.32773,0.721193,0,3.3405,-1.86,0.431872,3.85879,-1.21513,0.420893,0,3.33992,-1.86,0.126249,3.85442,-1.1635,-0.0694646,0,3.87843,-1.86,0.178579,4.69533,-1.28026,0.0200424,0,3.32737,-1.86,0.230238,3.81947,-0.970685,0.0995408,0,3.56199,-1.86,0.702821,4.20854,-1.24844,0.841439,0,3.19006,-1.86,0.402506,3.61074,-1.16495,0.380043,0,3.45709,-1.86,0.244723,4.04579,-1.11857,0.12377,0,4.01201,-1.86,0.242035,4.9121,-1.25485,0.118387,0,3.51777,-1.86,0.426389,4.1482,-1.0873,0.429314,0,3.44482,-1.86,0.735121,4.02475,-1.23676,0.896177,0,4.24029,-1.86,0.110262,5.24976,-1.28997,-0.0848315,0,3.18001,-1.86,0.112947,3.59265,-1.15515,-0.0918052,0,3.99644,-1.86,0.116899,4.89204,-1.24373,-0.0782933,0,3.58218,-1.86,0.591226,4.23289,-1.32118,0.648295,0,3.69539,-1.86,0.201961,4.4292,-1.18505,0.0542257,0,3.38911,-1.86,0.336264,3.94025,-1.33985,0.259712,0,3.92162,-1.86,0.534982,4.76242,-1.27947,0.571596,0,3.44938,-1.86,0.103797,4.03264,-1.15888,-0.106422,0,3.25166,-1.86,0.477894,3.73212,-1.33081,0.474529,0,3.25782,-1.86,0.316796,3.72961,-1.23494,0.236525,0,3.82004,-1.86,0.0958996,4.6305,-1.18407,-0.116929,0,3.59004,-1.86,0.104274,4.25121,-1.26097,-0.0966198,0,3.23269,-1.86,0.712492,3.69464,-1.26833,0.850011,0,
0.033334,3.46283,-3.30885,0.231735,4.027,-3.5208,0.102628,3.88359,-1.86,0.640438,4.6477,-1.43536,0.694742,0,3.3405,-1.86,0.431872,3.85938,-1.34163,0.403311,0,3.33992,-1.86,0.126249,3.85524,-1.31108,-0.0544534,0,3.87843,-1.86,0.178579,4.63126,-1.45395,0.0300462,0,3.32737,-1.86,0.230238,3.81856,-1.10426,0.103446,0,3.56199,-1.86,0.702821,4.19264,-1.3561,0.811624,0,3.19006,-1.86,0.402506,3.62545,-1.30427,0.367733,0,3.45709,-1.86,0.244723,4.0343,-1.25613,0.125255,0,4.01201,-1.86,0.242035,4.87582,-1.32995,0.120626,0,3.51777,-1.86,0.426389,4.13388,-1.20127,0.41734,0,3.44482,-1.86,0.735121,4.01366,-1.3652,0.85536,0,4.24029,-1.86,0.110262,5.19532,-1.37219,-0.0741831,0,3.18001,-1.86,0.112947,3.60919,-1.30136,-0.0752667,0,3.99644,-1.86,0.116899,4.83785,-1.35875,-0.0664376,0,3.58218,-1.86,0.591226,4.21877,-1.41789,0.626196,0,3.69539,-1.86,0.201961,4.38996,-1.34416,0.0602125,0,3.38911,-1.86,0.336264,3.93612,-1.51987,0.248213,0,3.92162,-1.86,0.534982,4.71873,-1.38594,0.551772,0,3.44938,-1.86,0.103797,4.02144,-1.32857,-0.0879192,0,3.25166,-1.86,0.477894,3.74086,-1.45948,0.455726,0,3.25782,-1.86,0.316796,3.73932,-1.38339,0.23183,0,3.82004,-1.86,0.0958996,4.59301,-1.29453,-0.103824,0,3.59004,-1.86,0.104274,4.23675,-1.34866,-0.0874468,0,3.23269,-1.86,0.712492,3.70326,-1.39687,0.8104,0,
0.0666681,3.46283,-3.30885,0.231735,4.0383,-3.5219,0.102337,3.88359,-1.86,0.640438,4.62646,-1.48516,0.680725,0,3.3405,-1.86,0.431872,3.85726,-1.41354,0.39347,0,3.33992,-1.86,0.126249,3.85363,-1.38857,-0.0486809,0,3.87843,-1.86,0.178579,4.61895,-1.4879,0.0296286,0,3.32737,-1.86,0.230238,3.81676,-1.19735,0.102722,0,3.56199,-1.86,0.702821,4.17982,-1.42049,0.790531,0,3.19006,-1.86,0.402506,3.63096,-1.37635,0.359193,0,3.45709,-1.86,0.244723,4.02658,-1.33009,0.125893,0,4.01201,-1.86,0.242035,4.85174,-1.37384,0.120716,0,3.51777,-1.86,0.426389,4.12062,-1.28487,0.40558,0,3.44482,-1.86,0.735121,4.00914,-1.40805,0.839702,0,4.24029,-1.86,0.110262,5.16808,-1.41046,-0.0709221,0,3.18001,-1.86,0.112947,3.61444,-1.36193,-0.070161,0,3.99644,-1.86,0.116899,4.80914,-1.41602,-0.062569,0,3.58218,-1.86,0.591226,4.20145,-1.50143,0.605664,0,3.69539,-1.86,0.201961,4.37058,-1.41801,0.062594,0,3.38911,-1.86,0.336264,3.93334,-1.58964,0.243245,0,3.92162,-1.86,0.534982,4.69838,-1.43112,0.543181,0,3.44938,-1.86,0.103797,4.01465,-1.4049,-0.0818016,0,3.25166,-1.86,0.477894,3.74206,-1.48018,0.453097,0,3.25782,-1.86,0.316796,3.74207,-1.45905,0.2274,0,3.82004,-1.86,0.0958996,4.58285,-1.32262,-0.104819,0,3.59004,-1.86,0.104274,4.2268,-1.39173,-0.0842683,0,3.23269,-1.86,0.712492,3.70602,-1.464,0.787899,0,
0.100002,3.47315,-3.30939,0.231156,4.04863,-3.52278,0.102075,3.88359,-1.86,0.640438,4.61744,-1.49929,0.674349,0,3.3405,-1.86,0.431872,3.8543,-1.43628,0.38834,0,3.33992,-1.86,0.126249,3.84993,-1.43631,-0.0450521,0,3.87843,-1.86,0.178579,4.60387,-1.51463,0.0300552,0,3.32737,-1.86,0.230238,3.81368,-1.2573,0.103743,0,3.56199,-1.86,0.702821,4.16933,-1.46103,0.777198,0,3.19006,-1.86,0.402506,3.63165,-1.42112,0.353953,0,3.45709,-1.86,0.244723,4.01751,-1.39098,0.125469,0,4.01201,-1.86,0.242035,4.82773,-1.41323,0.121378,0,3.51777,-1.86,0.426389,4.11055,-1.33632,0.399173,0,3.44482,-1.86,0.735121,4.00194,-1.4408,0.828025,0,4.24029,-1.86,0.110262,5.15001,-1.43128,-0.0697641,0,3.18001,-1.86,0.112947,3.61514,-1.40892,-0.0668696,0,3.99644,-1.86,0.116899,4.78688,-1.4543,-0.0593149,0,3.58218,-1.86,0.591226,4.19306,-1.5328,0.59725,0,3.69539,-1.86,0.201961,4.35523,-1.4646,0.0636876,0,3.38911,-1.86,0.336264,3.92943,-1.61319,0.242079,0,3.92162,-1.86,0.534982,4.67692,-1.47063,0.534151,0,3.44938,-1.86,0.103797,4.00765,-1.4508,-0.0755763,0,3.25166,-1.86,0.477894,3.73831,-1.50834,0.448345,0,3.25782,-1.86,0.316796,3.74133,-1.51325,0.224209,0,3.82004,-1.86,0.0958996,4.57629,-1.33008,-0.103118,0,3.59004,-1.86,0.104274,4.21422,-1.43522,-0.0794223,0,3.23269,-1.86,0.712492,3.70485,-1.50052,0.776437,0,
0.133336,3.49899,-3.31053,0.230705,4.07505,-3.52486,0.101408,3.88359,-1.86,0.640438,4.60712,-1.55146,0.658041,0,3.3405,-1.86,0.431872,3.86475,-1.51546,0.374579,0,3.33992,-1.86,0.126249,3.86154,-1.52413,-0.0404014,0,3.87843,-1.86,0.178579,4.59144,-1.57612,0.0307244,0,3.32737,-1.86,0.230238,3.82604,-1.35236,0.102057,0,3.56199,-1.86,0.702821,4.16775,-1.54212,0.749203,0,3.19006,-1.86,0.402506,3.65113,-1.50389,0.342586,0,3.45709,-1.86,0.244723,4.02255,-1.47886,0.123678,0,4.01201,-1.86,0.242035,4.80864,-1.4761,0.120709,0,3.51777,-1.86,0.426389,4.11198,-1.41825,0.38519,0,3.44482,-1.86,0.735121,4.00837,-1.49676,0.808076,0,4.24029,-1.86,0.110262,5.12594,-1.48281,-0.0663215,0,3.18001,-1.86,0.112947,3.63524,-1.49208,-0.0617924,0,3.99644,-1.86,0.116899,4.78531,-1.48377,-0.0602663,0,3.58218,-1.86,0.591226,4.19083,-1.61172,0.576195,0,3.69539,-1.86,0.201961,4.34884,-1.53819,0.0635034,0,3.38911,-1.86,0.336264,3.9386,-1.67049,0.235785,0,3.92162,-1.86,0.534982,4.66426,-1.52848,0.521128,0,3.44938,-1.86,0.103797,4.01271,-1.5387,-0.0695749,0,3.25166,-1.86,0.477894,3.75428,-1.59731,0.431283,0,3.25782,-1.86,0.316796,3.75631,-1.56674,0.218121,0,3.82004,-1.86,0.0958996,4.5628,-1.39643,-0.0989462,0,3.59004,-1.86,0.104274,4.21281,-1.51038,-0.0768306,0,3.23269,-1.86,0.712492,3.72085,-1.57184,0.749256,0,
0.16667,3.50895,-3.31098,0.23016,4.09031,-3.52604,0.101024,3.88359,-1.86,0.640438,4.59191,-1.59381,0.644982,0,3.3405,-1.86,0.431872,3.86676,-1.57213,0.367272,0,3.33992,-1.86,0.126249,3.86415,-1.5885,-0.0363917,0,3.87843,-1.86,0.178579,4.57686,-1.61912,0.0316743,0,3.32737,-1.86,0.230238,3.82913,-1.42024,0.101409,0,3.56199,-1.86,0.702821,4.16146,-1.59687,0.729815,0,3.19006,-1.86,0.402506,3.65826,-1.55253,0.33613,0,3.45709,-1.86,0.244723,4.01894,-1.56039,0.12082,0,4.01201,-1.86,0.242035,4.76862,-1.56457,0.115407,0,3.51777,-1.86,0.426389,4.10368,-1.50653,0.372467,0,3.44482,-1.86,0.735121,4.00367,-1.57954,0.776774,0,4.24029,-1.86,0.110262,5.08609,-1.54544,-0.063212,0,3.18001,-1.86,0.112947,3.64463,-1.55819,-0.0563256,0,3.99644,-1.86,0.116899,4.76761,-1.52184,-0.0589534,0,3.58218,-1.86,0.591226,4.18487,-1.66072,0.563167,0,3.69539,-1.86,0.201961,4.33434,-1.60669,0.0635542,0,3.38911,-1.86,0.336264,3.93909,-1.70827,0.231793,0,3.92162,-1.86,0.534982,4.64663,-1.57452,0.510032,0,3.44938,-1.86,0.103797,4.01051,-1.60512,-0.0657691,0,3.25166,-1.86,0.477894,3.75954,-1.64276,0.422188,0,3.25782,-1.86,0.316796,3.76017,-1.60915,0.213616,0,3.82004,-1.86,0.0958996,4.53067,-1.49802,-0.0918705,0,3.59004,-1.86,0.104274,4.20298,-1.57979,-0.0719219,0,3.23269,-1.86,0.712492,3.72587,-1.61615,0.733867,0,
0.200004,3.51917,-3.31142,0.229597,4.08526,-3.52565,0.101151,3.88359,-1.86,0.640438,4.5483,-1.6633,0.625554,0,3.3405,-1.86,0.431872,3.85058,-1.62497,0.360948,0,3.33992,-1.86,0.126249,3.84862,-1.64881,-0.0300381,0,3.87843,-1.86,0.178579,4.54249,-1.66477,0.0346141,0,3.32737,-1.86,0.230238,3.8147,-1.50308,0.101982,0,3.56199,-1.86,0.702821,4.13945,-1.63196,0.719747,0,3.19006,-1.86,0.402506,3.64662,-1.59885,0.332948,0,3.45709,-1.86,0.244723,3.99901,-1.6213,0.122797,0,4.01201,-1.86,0.242035,4.71759,-1.64069,0.11733,0,3.51777,-1.86,0.426389,4.07904,-1.59029,0.36365,0,3.44482,-1.86,0.735121,3.98409,-1.63712,0.758704,0,4.24029,-1.86,0.110262,5.04072,-1.59019,-0.0567475,0,3.18001,-1.86,0.112947,3.63544,-1.61604,-0.0495628,0,3.99644,-1.86,0.116899,4.7229,-1.58025,-0.0518707,0,3.58218,-1.86,0.591226,4.16183,-1.69794,0.554711,0,3.69539,-1.86,0.201961,4.30325,-1.66978,0.0667343,0,3.38911,-1.86,0.336264,3.9209,-1.74719,0.230672,0,3.92162,-1.86,0.534982,4.61508,-1.60976,0.503636,0,3.44938,-1.86,0.103797,3.99035,-1.66673,-0.0583356,0,3.25166,-1.86,0.477894,3.74508,-1.67951,0.417808,0,3.25782,-1.86,0.316796,3.74456,-1.62882,0.214628,0,3.82004,-1.86,0.0958996,4.49067,-1.57322,-0.0822088,0,3.59004,-1.86,0.104274,4.17732,-1.63636,-0.0654968,0,3.23269,-1.86,0.712492,3.71172,-1.65331,0.722682,0,
0.233338,3.51917,-3.31142,0.229597,4.09489,-3.52637,0.100909,3.88359,-1.86,0.640438,4.52653,-1.71626,0.60936,0,3.3405,-1.86,0.431872,3.84842,-1.67041,0.352844,0,3.33992,-1.86,0.126249,3.84683,-1.69552,-0.0271658,0,3.87843,-1.86,0.178579,4.52217,-1.7124,0.0352205,0,3.32737,-1.86,0.230238,3.81644,-1.60644,0.102116,0,3.56199,-1.86,0.702821,4.12528,-1.7104,0.691776,0,3.19006,-1.86,0.402506,3.64879,-1.64484,0.326194,0,3.45709,-1.86,0.244723,3.9934,-1.67,0.120446,0,4.01201,-1.86,0.242035,4.68773,-1.70199,0.115425,0,3.51777,-1.86,0.426389,4.07051,-1.6552,0.352926,0,3.44482,-1.86,0.735121,3.97864,-1.68137,0.742577,0,4.24029,-1.86,0.110262,5.00033,-1.6489,-0.0539142,0,3.18001,-1.86,0.112947,3.63776,-1.65661,-0.0461416,0,3.99644,-1.86,0.116899,4.6982,-1.6292,-0.0487712,0,3.58218,-1.86,0.591226,4.15149,-1.74305,0.542262,0,3.69539,-1.86,0.201961,4.28832,-1.72493,0.0666755,0,3.38911,-1.86,0.336264,3.91721,-1.77039,0.228853,0,3.92162,-1.86,0.534982,4.59243,-1.65735,0.491672,0,3.44938,-1.86,0.103797,3.98485,-1.72015,-0.0538685,0,3.25166,-1.86,0.477894,3.74404,-1.7124,0.410931,0,3.25782,-1.86,0.316796,3.74349,-1.67284,0.210207,0,3.82004,-1.86,0.0958996,4.46991,-1.63144,-0.0778536,0,3.59004,-1.86,0.104274,4.16295,-1.71465,-0.0568311,0,3.23269,-1.86,0.712492,3.71414,-1.71463,0.697419,0,
0.266672,3.547,-3.31258,0.229098,4.12258,-3.52848,0.100212,3.88359,-1.86,0.640438,4.5273,-1.75031,0.602352,0,3.3405,-1.86,0.431872,3.86126,-1.69828,0.352225,0,3.33992,-1.86,0.126249,3.86095,-1.75379,-0.0206989,0,3.87843,-1.86,0.178579,4.51451,-1.77038,0.0382842,0,3.32737,-1.86,0.230238,3.83156,-1.645,0.103359,0,3.56199,-1.86,0.702821,4.1299,-1.78157,0.66837,0,3.19006,-1.86,0.402506,3.66468,-1.67668,0.324906,0,3.45709,-1.86,0.244723,4.00303,-1.72089,0.120943,0,4.01201,-1.86,0.242035,4.67389,-1.7628,0.117146,0,3.51777,-1.86,0.426389,4.07878,-1.70458,0.348771,0,3.44482,-1.86,0.735121,3.98948,-1.70775,0.735469,0,4.24029,-1.86,0.110262,4.98804,-1.68891,-0.0499886,0,3.18001,-1.86,0.112947,3.65304,-1.68251,-0.0425027,0,3.99644,-1.86,0.116899,4.69737,-1.65923,-0.0444655,0,3.58218,-1.86,0.591226,4.16003,-1.77146,0.538388,0,3.69539,-1.86,0.201961,4.29459,-1.75473,0.0689156,0,3.38911,-1.86,0.336264,3.92842,-1.80919,0.227104,0,3.92162,-1.86,0.534982,4.58834,-1.70001,0.484049,0,3.44938,-1.86,0.103797,3.99585,-1.75093,-0.0509268,0,3.25166,-1.86,0.477894,3.76121,-1.77738,0.401364,0,3.25782,-1.86,0.316796,3.75775,-1.7002,0.21165,0,3.82004,-1.86,0.0958996,4.47915,-1.6446,-0.0732706,0,3.59004,-1.86,0.104274,4.17182,-1.74711,-0.0517816,0,3.23269,-1.86,0.712492,3.72957,-1.74757,0.687972,0,
0.300007,3.57383,-3.31355,0.228673,4.14998,-3.53042,0.0995272,3.88359,-1.86,0.640438,4.5261,-1.78756,0.589786,0,3.3405,-1.86,0.431872,3.87451,-1.75391,0.343176,0,3.33992,-1.86,0.126249,3.8757,-1.80754,-0.0185037,0,3.87843,-1.86,0.178579,4.51115,-1.81928,0.0379502,0,3.32737,-1.86,0.230238,3.84613,-1.7054,0.101819,0,3.56199,-1.86,0.702821,4.13714,-1.83521,0.648737,0,3.19006,-1.86,0.402506,3.68099,-1.71498,0.318277,0,3.45709,-1.86,0.244723,4.01413,-1.75589,0.122203,0,4.01201,-1.86,0.242035,4.66674,-1.80961,0.115892,0,3.51777,-1.86,0.426389,4.08675,-1.75734,0.340222,0,3.44482,-1.86,0.735121,3.99923,-1.74391,0.722306,0,4.24029,-1.86,0.110262,4.96005,-1.75516,-0.045711,0,3.18001,-1.86,0.112947,3.67044,-1.72832,-0.0398481,0,3.99644,-1.86,0.116899,4.69094,-1.7012,-0.043564,0,3.58218,-1.86,0.591226,4.16341,-1.83747,0.521158,0,3.69539,-1.86,0.201961,4.29699,-1.80078,0.0683026,0,3.38911,-1.86,0.336264,3.94053,-1.82982,0.224599,0,3.92162,-1.86,0.534982,4.57494,-1.76972,0.466686,0,3.44938,-1.86,0.103797,4.00585,-1.80369,-0.0484491,0,3.25166,-1.86,0.477894,3.77711,-1.81107,0.394491,0,3.25782,-1.86,0.316796,3.77419,-1.75782,0.207078,0,3.82004,-1.86,0.0958996,4.47107,-1.70734,-0.0696848,0,3.59004,-1.86,0.104274,4.17737,-1.79348,-0.0492899,0,3.23269,-1.86,0.712492,3.74554,-1.79041,0.672759,0,
