time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,-4.75497,-3.37606,0.29464,-4.41448,-3.36887,0.474086,-4.24961,-1.86,0.691995,-3.60882,-0.951936,1.10756,0,-4.82292,-1.86,0.738644,-4.52426,-0.9195,1.19143,0,-4.85012,-1.86,0.43321,-4.57274,-0.847234,0.704567,0,-4.21422,-1.86,0.327968,-3.54854,-0.941077,0.527458,0,-4.10073,-1.86,0.553694,-3.38493,-0.983104,0.881749,0,-4.98125,-1.86,0.783867,-4.77366,-0.962388,1.25065,0,-4.74918,-1.86,0.15062,-4.40479,-0.832373,0.233128,0,-4.122,-1.86,0.682478,-3.44728,-1.05226,1.06672,0,-4.59185,-1.86,0.383531,-4.14583,-0.871943,0.620487,0,-5.04798,-1.86,0.383442,-4.90577,-0.826886,0.62298,0,-4.35937,-1.86,0.190131,-3.76943,-0.896809,0.303676,0,-4.54271,-1.86,0.145621,-4.05781,-0.821294,0.223676,0,-4.52178,-1.86,0.508149,-4.02843,-0.859017,0.827553,0,-4.6869,-1.86,0.558368,-4.30331,-0.89286,0.904803,0,-5.04734,-1.86,0.232716,-4.89771,-0.863121,0.371739,0,-5.02258,-1.86,0.585881,-4.8473,-0.916855,0.945127,0,-4.83671,-1.86,0.222472,-4.55284,-0.802701,0.351931,0,-4.38409,-1.86,0.434323,-3.81362,-0.912688,0.700388,0,-4.73489,-1.86,0.442894,-4.38054,-0.806562,0.724651,0,-4.38131,-1.86,0.315754,-3.78824,-0.828025,0.509472,0,-4.69172,-1.86,0.792184,-4.31235,-0.920907,1.27746,0,-5.09715,-1.86,0.776554,-4.94587,-1.01447,1.22249,0,-4.14886,-1.86,0.421361,-3.45878,-0.978391,0.673896,0,-4.90777,-1.86,0.346928,-4.67394,-0.794566,0.562873,0,-4.39844,-1.86,0.579089,-3.83936,-0.923311,0.932931,0,-4.81045,-1.86,0.545223,-4.50781,-0.818388,0.895644,0,-4.49884,-1.86,0.278646,-3.9856,-0.830306,0.447304,0,-4.68151,-1.86,0.287471,-4.29175,-0.83611,0.46211,0,-4.79201,-1.86,0.337149,-4.47648,-0.831171,0.545242,0,-4.65357,-1.86,0.674514,-4.25162,-0.933892,1.08421,0,-4.47458,-1.86,0.781981,-3.97424,-0.988566,1.23924,0,-4.09748,-1.86,0.318646,-3.37102,-0.962811,0.512185,0,-4.47821,-1.86,0.381684,-3.95826,-0.869754,0.617572,0,
0.0333341,-4.72886,-3.3749,0.294531,-4.39931,-3.36833,0.473583,-4.24961,-1.86,0.691995,-3.63121,-1.00032,1.09311,0,-4.82292,-1.86,0.738644,-4.5278,-0.984667,1.17262,0,-4.85012,-1.86,0.43321,-4.57474,-0.920489,0.698111,0,-4.21422,-1.86,0.327968,-3.58207,-1.0118,0.526858,0,-4.10073,-1.86,0.553694,-3.41906,-1.04123,0.873757,0,-4.98125,-1.86,0.783867,-4.76999,-1.0238,1.2324,0,-4.74918,-1.86,0.15062,-4.41165,-0.906354,0.240353,0,-4.122,-1.86,0.682478,-3.46413,-1.08462,1.0584,0,-4.59185,-1.86,0.383531,-4.15988,-0.942632,0.616571,0,-5.04798,-1.86,0.383442,-4.90202,-0.855387,0.62341,0,-4.35937,-1.86,0.190131,-3.7986,-0.975911,0.310218,0,-4.54271,-1.86,0.145621,-4.0776,-0.902983,0.235842,0,-4.52178,-1.86,0.508149,-4.04562,-0.928638,0.817996,0,-4.6869,-1.86,0.558368,-4.30689,-0.934824,0.894445,0,-5.04734,-1.86,0.232716,-4.89023,-0.93533,0.376302,0,-5.02258,-1.86,0.585881,-4.84202,-0.979567,0.934592,0,-4.83671,-1.86,0.222472,-4.55557,-0.876484,0.355654,0,-4.38409,-1.86,0.434323,-3.83674,-0.981566,0.694272,0,-4.73489,-1.86,0.442894,-4.38818,-0.877133,0.717995,0,-4.38131,-1.86,0.315754,-3.82368,-0.927437,0.512765,0,-4.69172,-1.86,0.792184,-4.31975,-0.971586,1.25605,0,-5.09715,-1.86,0.776554,-4.9387,-1.07038,1.20748,0,-4.14886,-1.86,0.421361,-3.48,-1.01995,0.67059,0,-4.90777,-1.86,0.346928,-4.67366,-0.830154,0.565963,0,-4.39844,-1.86,0.579089,-3.85321,-0.967157,0.928893,0,-4.81045,-1.86,0.545223,-4.5136,-0.914864,0.876358,0,-4.49884,-1.86,0.278646,-4.00349,-0.891993,0.448137,0,-4.68151,-1.86,0.287471,-4.30199,-0.912589,0.462687,0,-4.79201,-1.86,0.337149,-4.48199,-0.911102,0.542369,0,-4.65357,-1.86,0.674514,-4.26913,-1.05115,1.05606,0,-4.47458,-1.86,0.781981,-3.9887,-1.03735,1.22464,0,-4.09748,-1.86,0.318646,-3.39023,-0.996274,0.511637,0,-4.47821,-1.86,0.381684,-3.97669,-0.935346,0.614035,0,
0.0666681,-4.72886,-3.3749,0.294531,-4.3874,-3.36776,0.473191,-4.24961,-1.86,0.691995,-3.66616,-1.07143,1.07675,0,-4.82292,-1.86,0.738644,-4.53594,-1.10014,1.13855,0,-4.85012,-1.86,0.43321,-4.58005,-1.08597,0.686137,0,-4.21422,-1.86,0.327968,-3.64689,-1.14893,0.525792,0,-4.10073,-1.86,0.553694,-3.48177,-1.15273,0.859219,0,-4.98125,-1.86,0.783867,-4.76683,-1.13414,1.19818,0,-4.74918,-1.86,0.15062,-4.4269,-1.05159,0.253764,0,-4.122,-1.86,0.682478,-3.51825,-1.17737,1.0352,0,-4.59185,-1.86,0.383531,-4.18776,-1.07276,0.609422,0,-5.04798,-1.86,0.383442,-4.89141,-1.00106,0.618279,0,-4.35937,-1.86,0.190131,-3.84032,-1.08651,0.319097,0,-4.54271,-1.86,0.145621,-4.10817,-1.02663,0.249061,0,-4.52178,-1.86,0.508149,-4.07895,-1.0539,0.800859,0,-4.6869,-1.86,0.558368,-4.32898,-1.07237,0.871837,0,-5.04734,-1.86,0.232716,-4.87914,-1.06597,0.382826,0,-5.02258,-1.86,0.585881,-4.83847,-1.05793,0.916752,0,-4.83671,-1.86,0.222472,-4.56265,-1.0424,0.364645,0,-4.38409,-1.86,0.434323,-3.8851,-1.11922,0.686429,0,-4.73489,-1.86,0.442894,-4.40758,-1.05882,0.702069,0,-4.38131,-1.86,0.315754,-3.87567,-1.07856,0.512528,0,-4.69172,-1.86,0.792184,-4.33818,-1.08186,1.22231,0,-5.09715,-1.86,0.776554,-4.9261,-1.19069,1.16901,0,-4.14886,-1.86,0.421361,-3.51699,-1.08391,0.665216,0,-4.90777,-1.86,0.346928,-4.67646,-0.969939,0.559826,0,-4.39844,-1.86,0.579089,-3.89222,-1.07206,0.909544,0,-4.81045,-1.86,0.545223,-4.52238,-1.06828,0.850955,0,-4.49884,-1.86,0.278646,-4.04796,-1.05596,0.452696,0,-4.68151,-1.86,0.287471,-4.32256,-1.04865,0.463794,0,-4.79201,-1.86,0.337149,-4.49117,-1.01978,0.540067,0,-4.65357,-1.86,0.674514,-4.28645,-1.15657,1.02959,0,-4.47458,-1.86,0.781981,-4.02139,-1.14331,1.19491,0,-4.09748,-1.86,0.318646,-3.46175,-1.11912,0.512722,0,-4.47821,-1.86,0.381684,-4.01102,-1.04986,0.607089,0,
0.100002,-4.70299,-3.37409,0.294376,-4.37232,-3.36712,0.472693,-4.24961,-1.86,0.691995,-3.7219,-1.20497,1.03652,0,-4.82292,-1.86,0.738644,-4.53743,-1.22989,1.09936,0,-4.85012,-1.86,0.43321,-4.57709,-1.23697,0.670858,0,-4.21422,-1.86,0.327968,-3.68533,-1.24278,0.522322,0,-4.10073,-1.86,0.553694,-3.53235,-1.25284,0.84065,0,-4.98125,-1.86,0.783867,-4.7558,-1.25768,1.15699,0,-4.74918,-1.86,0.15062,-4.43383,-1.18779,0.266158,0,-4.122,-1.86,0.682478,-3.55781,-1.2572,1.01404,0,-4.59185,-1.86,0.383531,-4.21784,-1.26623,0.5994,0,-5.04798,-1.86,0.383442,-4.87024,-1.15294,0.606946,0,-4.35937,-1.86,0.190131,-3.87558,-1.19627,0.326474,0,-4.54271,-1.86,0.145621,-4.13265,-1.15276,0.259041,0,-4.52178,-1.86,0.508149,-4.1116,-1.21194,0.780507,0,-4.6869,-1.86,0.558368,-4.34157,-1.20411,0.846961,0,-5.04734,-1.86,0.232716,-4.86334,-1.1783,0.384457,0,-5.02258,-1.86,0.585881,-4.82695,-1.16673,0.895443,0,-4.83671,-1.86,0.222472,-4.56075,-1.22073,0.372289,0,-4.38409,-1.86,0.434323,-3.91843,-1.23122,0.674583,0,-4.73489,-1.86,0.442894,-4.41601,-1.21563,0.68533,0,-4.38131,-1.86,0.315754,-3.91266,-1.20375,0.508107,0,-4.69172,-1.86,0.792184,-4.35012,-1.19894,1.182,0,-5.09715,-1.86,0.776554,-4.90828,-1.29597,1.13527,0,-4.14886,-1.86,0.421361,-3.57914,-1.21159,0.656859,0,-4.90777,-1.86,0.346928,-4.66938,-1.11386,0.556,0,-4.39844,-1.86,0.579089,-3.92776,-1.19037,0.885897,0,-4.81045,-1.86,0.545223,-4.52369,-1.21872,0.826429,0,-4.49884,-1.86,0.278646,-4.08387,-1.22374,0.453518,0,-4.68151,-1.86,0.287471,-4.33564,-1.18319,0.46229,0,-4.79201,-1.86,0.337149,-4.49371,-1.11184,0.533529,0,-4.65357,-1.86,0.674514,-4.30145,-1.28097,0.992901,0,-4.47458,-1.86,0.781981,-4.04244,-1.22832,1.1661,0,-4.09748,-1.86,0.318646,-3.51475,-1.22476,0.509706,0,-4.47821,-1.86,0.381684,-4.03977,-1.16983,0.601276,0,
0.133336,-4.69311,-3.37371,0.293963,-4.36082,-3.367,0.472307,-4.24961,-1.86,0.691995,-3.73272,-1.23506,1.0268,0,-4.82292,-1.86,0.738644,-4.53735,-1.25961,1.08997,0,-4.85012,-1.86,0.43321,-4.57605,-1.2707,0.667034,0,-4.21422,-1.86,0.327968,-3.6984,-1.27345,0.519253,0,-4.10073,-1.86,0.553694,-3.53798,-1.26714,0.834612,0,-4.98125,-1.86,0.783867,-4.75212,-1.30025,1.14129,0,-4.74918,-1.86,0.15062,-4.43625,-1.23228,0.268161,0,-4.122,-1.86,0.682478,-3.57441,-1.28913,1.00263,0,-4.59185,-1.86,0.383531,-4.22188,-1.30183,0.595841,0,-5.04798,-1.86,0.383442,-4.86468,-1.18431,0.601514,0,-4.35937,-1.86,0.190131,-3.89026,-1.24047,0.329308,0,-4.54271,-1.86,0.145621,-4.14331,-1.20523,0.263401,0,-4.52178,-1.86,0.508149,-4.11887,-1.25075,0.774499,0,-4.6869,-1.86,0.558368,-4.34418,-1.23439,0.841085,0,-5.04734,-1.86,0.232716,-4.85809,-1.22124,0.384806,0,-5.02258,-1.86,0.585881,-4.82294,-1.20395,0.885983,0,-4.83671,-1.86,0.222472,-4.55966,-1.2662,0.372994,0,-4.38409,-1.86,0.434323,-3.93877,-1.29523,0.666044,0,-4.73489,-1.86,0.442894,-4.41794,-1.25582,0.67963,0,-4.38131,-1.86,0.315754,-3.92524,-1.24601,0.504565,0,-4.69172,-1.86,0.792184,-4.35295,-1.22922,1.16959,0,-5.09715,-1.86,0.776554,-4.90293,-1.33041,1.12202,0,-4.14886,-1.86,0.421361,-3.59546,-1.24779,0.651744,0,-4.90777,-1.86,0.346928,-4.66564,-1.20349,0.548444,0,-4.39844,-1.86,0.579089,-3.93518,-1.21721,0.880293,0,-4.81045,-1.86,0.545223,-4.52381,-1.25865,0.818438,0,-4.49884,-1.86,0.278646,-4.0924,-1.26666,0.45247,0,-4.68151,-1.86,0.287471,-4.34236,-1.24593,0.460491,0,-4.79201,-1.86,0.337149,-4.49355,-1.12397,0.531315,0,-4.65357,-1.86,0.674514,-4.30184,-1.2945,0.992566,0,-4.47458,-1.86,0.781981,-4.04905,-1.2527,1.15705,0,-4.09748,-1.86,0.318646,-3.5285,-1.25353,0.506305,0,-4.47821,-1.86,0.381684,-4.0461,-1.19796,0.597408,0,
0.16667,-4.66687,-3.37301,0.293879,-4.35018,-3.36673,0.471953,-4.24961,-1.86,0.691995,-3.74872,-1.26028,1.02085,0,-4.82292,-1.86,0.738644,-4.54352,-1.29392,1.07803,0,-4.85012,-1.86,0.43321,-4.5813,-1.31363,0.664647,0,-4.21422,-1.86,0.327968,-3.7159,-1.30133,0.517102,0,-4.10073,-1.86,0.553694,-3.56325,-1.30201,0.828456,0,-4.98125,-1.86,0.783867,-4.75401,-1.3375,1.12851,0,-4.74918,-1.86,0.15062,-4.4438,-1.27193,0.271474,0,-4.122,-1.86,0.682478,-3.60221,-1.33237,0.99207,0,-4.59185,-1.86,0.383531,-4.23816,-1.36941,0.587882,0,-5.04798,-1.86,0.383442,-4.86425,-1.23263,0.596704,0,-4.35937,-1.86,0.190131,-3.90671,-1.27607,0.328774,0,-4.54271,-1.86,0.145621,-4.15409,-1.23623,0.265605,0,-4.52178,-1.86,0.508149,-4.14087,-1.32812,0.764776,0,-4.6869,-1.86,0.558368,-4.35723,-1.30149,0.828365,0,-5.04734,-1.86,0.232716,-4.86048,-1.23235,0.388843,0,-5.02258,-1.86,0.585881,-4.8218,-1.26496,0.872554,0,-4.83671,-1.86,0.222472,-4.56494,-1.32105,0.37674,0,-4.38409,-1.86,0.434323,-3.95639,-1.33869,0.660098,0,-4.73489,-1.86,0.442894,-4.42588,-1.29476,0.675157,0,-4.38131,-1.86,0.315754,-3.94157,-1.28203,0.503134,0,-4.69172,-1.86,0.792184,-4.36285,-1.26779,1.15589,0,-5.09715,-1.86,0.776554,-4.90255,-1.36564,1.109,0,-4.14886,-1.86,0.421361,-3.61963,-1.2867,0.644866,0,-4.90777,-1.86,0.346928,-4.66759,-1.23932,0.547333,0,-4.39844,-1.86,0.579089,-3.95183,-1.25204,0.872509,0,-4.81045,-1.86,0.545223,-4.52901,-1.28077,0.816044,0,-4.49884,-1.86,0.278646,-4.10623,-1.30543,0.450916,0,-4.68151,-1.86,0.287471,-4.34872,-1.27206,0.457592,0,-4.79201,-1.86,0.337149,-4.50252,-1.17432,0.52905,0,-4.65357,-1.86,0.674514,-4.31617,-1.3543,0.973577,0,-4.47458,-1.86,0.781981,-4.0637,-1.28629,1.14504,0,-4.09748,-1.86,0.318646,-3.54811,-1.28045,0.503948,0,-4.47821,-1.86,0.381684,-4.05977,-1.22986,0.595111,0,
0.200004,-4.66687,-3.37301,0.293879,-4.32295,-3.36605,0.471046,-4.24961,-1.86,0.691995,-3.74828,-1.29322,1.00903,0,-4.82292,-1.86,0.738644,-4.52944,-1.32423,1.06717,0,-4.85012,-1.86,0.43321,-4.5656,-1.3939,0.653998,0,-4.21422,-1.86,0.327968,-3.71943,-1.34268,0.513956,0,-4.10073,-1.86,0.553694,-3.56147,-1.32768,0.821049,0,-4.98125,-1.86,0.783867,-4.73663,-1.36778,1.11667,0,-4.74918,-1.86,0.15062,-4.43189,-1.31726,0.274038,0,-4.122,-1.86,0.682478,-3.60557,-1.36907,0.981465,0,-4.59185,-1.86,0.383531,-4.22716,-1.39968,0.584271,0,-5.04798,-1.86,0.383442,-4.84257,-1.28421,0.592598,0,-4.35937,-1.86,0.190131,-3.91084,-1.33282,0.331961,0,-4.54271,-1.86,0.145621,-4.14807,-1.27757,0.267785,0,-4.52178,-1.86,0.508149,-4.13403,-1.37181,0.755231,0,-4.6869,-1.86,0.558368,-4.34419,-1.33292,0.818285,0,-5.04734,-1.86,0.232716,-4.8449,-1.24482,0.387042,0,-5.02258,-1.86,0.585881,-4.80098,-1.31015,0.861219,0,-4.83671,-1.86,0.222472,-4.54959,-1.38802,0.378158,0,-4.38409,-1.86,0.434323,-3.95059,-1.37104,0.651793,0,-4.73489,-1.86,0.442894,-4.41567,-1.36624,0.663696,0,-4.38131,-1.86,0.315754,-3.93926,-1.32147,0.502493,0,-4.69172,-1.86,0.792184,-4.35074,-1.2935,1.14626,0,-5.09715,-1.86,0.776554,-4.88558,-1.37374,1.10433,0,-4.14886,-1.86,0.421361,-3.62268,-1.32397,0.639962,0,-4.90777,-1.86,0.346928,-4.6512,-1.28307,0.543934,0,-4.39844,-1.86,0.579089,-3.94787,-1.28694,0.863319,0,-4.81045,-1.86,0.545223,-4.51567,-1.31094,0.809365,0,-4.49884,-1.86,0.278646,-4.10174,-1.35126,0.448157,0,-4.68151,-1.86,0.287471,-4.33821,-1.30544,0.456729,0,-4.79201,-1.86,0.337149,-4.48928,-1.22398,0.525876,0,-4.65357,-1.86,0.674514,-4.30219,-1.37045,0.967934,0,-4.47458,-1.86,0.781981,-4.05652,-1.3154,1.13226,0,-4.09748,-1.86,0.318646,-3.55458,-1.32012,0.503752,0,-4.47821,-1.86,0.381684,-4.05261,-1.25976,0.591497,0,
0.233338,-4.64115,-3.37244,0.293751,-4.30779,-3.3657,0.47054,-4.24961,-1.86,0.691995,-3.77196,-1.35328,0.994832,0,-4.82292,-1.86,0.738644,-4.52964,-1.37503,1.05401,0,-4.85012,-1.86,0.43321,-4.56239,-1.43826,0.653086,0,-4.21422,-1.86,0.327968,-3.73798,-1.38895,0.515525,0,-4.10073,-1.86,0.553694,-3.57916,-1.3629,0.817329,0,-4.98125,-1.86,0.783867,-4.73037,-1.43146,1.09731,0,-4.74918,-1.86,0.15062,-4.43335,-1.36335,0.28003,0,-4.122,-1.86,0.682478,-3.61463,-1.38982,0.976853,0,-4.59185,-1.86,0.383531,-4.23375,-1.44532,0.583872,0,-5.04798,-1.86,0.383442,-4.82786,-1.37754,0.585662,0,-4.35937,-1.86,0.190131,-3.91506,-1.35213,0.333528,0,-4.54271,-1.86,0.145621,-4.15569,-1.32104,0.273602,0,-4.52178,-1.86,0.508149,-4.14448,-1.42833,0.748204,0,-4.6869,-1.86,0.558368,-4.34777,-1.37368,0.814367,0,-5.04734,-1.86,0.232716,-4.83791,-1.3011,0.391965,0,-5.02258,-1.86,0.585881,-4.78851,-1.3991,0.85009,0,-4.83671,-1.86,0.222472,-4.54699,-1.44513,0.383655,0,-4.38409,-1.86,0.434323,-3.9642,-1.41919,0.653515,0,-4.73489,-1.86,0.442894,-4.41648,-1.41192,0.661862,0,-4.38131,-1.86,0.315754,-3.96003,-1.39476,0.50416,0,-4.69172,-1.86,0.792184,-4.3555,-1.34245,1.13201,0,-5.09715,-1.86,0.776554,-4.8818,-1.40155,1.0971,0,-4.14886,-1.86,0.421361,-3.64624,-1.3755,0.638086,0,-4.90777,-1.86,0.346928,-4.64667,-1.35175,0.544148,0,-4.39844,-1.86,0.579089,-3.96251,-1.33902,0.85662,0,-4.81045,-1.86,0.545223,-4.51591,-1.39773,0.797322,0,-4.49884,-1.86,0.278646,-4.10327,-1.36508,0.450199,0,-4.68151,-1.86,0.287471,-4.34186,-1.34747,0.458606,0,-4.79201,-1.86,0.337149,-4.48987,-1.27879,0.525392,0,-4.65357,-1.86,0.674514,-4.30646,-1.40433,0.96108,0,-4.47458,-1.86,0.781981,-4.06813,-1.36446,1.11957,0,-4.09748,-1.86,0.318646,-3.58979,-1.39162,0.503467,0,-4.47821,-1.86,0.381684,-4.05824,-1.28533,0.590981,0,
0.266672,-4.63187,-3.37216,0.293357,-4.29644,-3.36552,0.47016,-4.24961,-1.86,0.691995,-3.78859,-1.39097,0.988481,0,-4.82292,-1.86,0.738644,-4.53216,-1.39808,1.05033,0,-4.85012,-1.86,0.43321,-4.56483,-1.44474,0.652972,0,-4.21422,-1.86,0.327968,-3.75631,-1.42615,0.516191,0,-4.10073,-1.86,0.553694,-3.5864,-1.37213,0.81678,0,-4.98125,-1.86,0.783867,-4.73118,-1.43312,1.0999,0,-4.74918,-1.86,0.15062,-4.43718,-1.38414,0.283593,0,-4.122,-1.86,0.682478,-3.62073,-1.39551,0.976127,0,-4.59185,-1.86,0.383531,-4.23877,-1.46047,0.583818,0,-5.04798,-1.86,0.383442,-4.82307,-1.42026,0.586237,0,-4.35937,-1.86,0.190131,-3.92385,-1.36726,0.335459,0,-4.54271,-1.86,0.145621,-4.16547,-1.35684,0.279431,0,-4.52178,-1.86,0.508149,-4.14537,-1.42647,0.750723,0,-4.6869,-1.86,0.558368,-4.34936,-1.37057,0.816703,0,-5.04734,-1.86,0.232716,-4.83664,-1.32433,0.396488,0,-5.02258,-1.86,0.585881,-4.78745,-1.41725,0.847841,0,-4.83671,-1.86,0.222472,-4.54903,-1.45376,0.384711,0,-4.38409,-1.86,0.434323,-3.97452,-1.44575,0.65329,0,-4.73489,-1.86,0.442894,-4.42027,-1.43443,0.662727,0,-4.38131,-1.86,0.315754,-3.96827,-1.41666,0.504633,0,-4.69172,-1.86,0.792184,-4.36123,-1.38032,1.12441,0,-5.09715,-1.86,0.776554,-4.87922,-1.43875,1.0895,0,-4.14886,-1.86,0.421361,-3.65809,-1.39606,0.637942,0,-4.90777,-1.86,0.346928,-4.6473,-1.3695,0.546388,0,-4.39844,-1.86,0.579089,-3.97136,-1.36113,0.854044,0,-4.81045,-1.86,0.545223,-4.51721,-1.41569,0.796607,0,-4.49884,-1.86,0.278646,-4.10842,-1.37172,0.452563,0,-4.68151,-1.86,0.287471,-4.34617,-1.36377,0.460913,0,-4.79201,-1.86,0.337149,-4.49311,-1.30405,0.526516,0,-4.65357,-1.86,0.674514,-4.30966,-1.40945,0.961844,0,-4.47458,-1.86,0.781981,-4.07691,-1.38951,1.1124,0,-4.09748,-1.86,0.318646,-3.60881,-1.426,0.502877,0,-4.47821,-1.86,0.381684,-4.06515,-1.29959,0.591822,0,
0.300007,-4.63187,-3.37216,0.293357,-4.28632,-3.36535,0.469822,-4.24961,-1.86,0.691995,-3.79264,-1.38923,0.987919,0,-4.82292,-1.86,0.738644,-4.53761,-1.39568,1.04983,0,-4.85012,-1.86,0.43321,-4.57096,-1.43819,0.652388,0,-4.21422,-1.86,0.327968,-3.76151,-1.42723,0.513997,0,-4.10073,-1.86,0.553694,-3.58996,-1.36753,0.817691,0,-4.98125,-1.86,0.783867,-4.73809,-1.42516,1.10242,0,-4.74918,-1.86,0.15062,-4.4433,-1.38958,0.282888,0,-4.122,-1.86,0.682478,-3.62455,-1.39115,0.978096,0,-4.59185,-1.86,0.383531,-4.24431,-1.45868,0.58424,0,-5.04798,-1.86,0.383442,-4.82763,-1.42023,0.584282,0,-4.35937,-1.86,0.190131,-3.92697,-1.36008,0.334424,0,-4.54271,-1.86,0.145621,-4.17064,-1.35773,0.278254,0,-4.52178,-1.86,0.508149,-4.14977,-1.41624,0.750964,0,-4.6869,-1.86,0.558368,-4.35545,-1.36396,0.815888,0,-5.04734,-1.86,0.232716,-4.8414,-1.33439,0.394282,0,-5.02258,-1.86,0.585881,-4.79113,-1.43626,0.846392,0,-4.83671,-1.86,0.222472,-4.55537,-1.45924,0.384893,0,-4.38409,-1.86,0.434323,-3.97806,-1.44022,0.653261,0,-4.73489,-1.86,0.442894,-4.42452,-1.42308,0.664247,0,-4.38131,-1.86,0.315754,-3.97782,-1.42888,0.501991,0,-4.69172,-1.86,0.792184,-4.36634,-1.38058,1.12308,0,-5.09715,-1.86,0.776554,-4.88342,-1.44405,1.08767,0,-4.14886,-1.86,0.421361,-3.66821,-1.4047,0.634411,0,-4.90777,-1.86,0.346928,-4.65308,-1.36661,0.543105,0,-4.39844,-1.86,0.579089,-3.97604,-1.35829,0.853287,0,-4.81045,-1.86,0.545223,-4.5211,-1.39454,0.798723,0,-4.49884,-1.86,0.278646,-4.11444,-1.36995,0.451733,0,-4.68151,-1.86,0.287471,-4.35018,-1.35177,0.459304,0,-4.79201,-1.86,0.337149,-4.49924,-1.32358,0.521599,0,-4.65357,-1.86,0.674514,-4.31458,-1.40083,0.964229,0,-4.47458,-1.86,0.781981,-4.08079,-1.38463,1.11338,0,-4.09748,-1.86,0.318646,-3.61306,-1.42527,0.502345,0,-4.47821,-1.86,0.381684,-4.06976,-1.29484,0.590781,0,
