time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,
0,-7.65516,0.436464,0.331866,-7.36941,0.368023,0.541895,-6.16,0.597082,0.28856,-5.03199,0.619122,0.474194,0,-6.16,-0.161946,0.190283,-5.08257,-0.547242,0.325345,0,-6.16,0.903098,0.364063,-5.03586,1.09632,0.592146,0,-6.16,0.592739,0.626964,-5.08532,0.606757,0.992703,0,-6.16,0.747693,0.385033,-4.97182,0.867102,0.627152,0,-6.16,-0.0399706,0.231337,-5.13069,-0.345349,0.391372,0,-6.16,-0.162594,0.307004,-5.16793,-0.514033,0.505289,0,-6.16,0.965226,0.274039,-5.05631,1.18605,0.452434,0,-6.16,-0.0372267,0.115963,-5.26789,-0.297773,0.238433,0,-6.16,0.421859,0.269245,-5.02739,0.345147,0.443805,0,-6.16,-0.236039,0.513707,-5.11181,-0.647416,0.816464,0,-6.16,-0.0805796,0.388276,-5.11755,-0.410695,0.626854,0,-6.16,0.866715,0.24145,-5.01272,1.04619,0.39938,0,-6.16,-0.284668,0.683566,-5.17482,-0.690454,1.05812,0,-6.16,-0.0555691,0.587083,-5.08251,-0.384558,0.932259,0,-6.16,0.506283,0.368614,-5.06505,0.475629,0.598532,0,-6.16,-0.275119,0.378819,-5.13035,-0.697602,0.612209,0,-6.16,-0.29893,0.263957,-5.15515,-0.721061,0.441325,0,-6.16,0.0718577,0.177001,-5.06185,-0.194693,0.302884,0,-6.16,0.00754732,0.480477,-5.06113,-0.294155,0.771327,0,-6.16,0.0849722,0.386472,-5.14902,-0.153959,0.622988,0,-6.16,0.235216,0.115513,-5.06977,0.0584927,0.209132,0,-6.16,0.477069,0.141558,-5.15353,0.428201,0.259852,0,-6.16,0.265256,0.291067,-5.11274,0.109617,0.480317,0,-6.16,0.196467,0.404788,-5.00539,-0.0114395,0.657194,0,-6.16,0.367197,0.171122,-5.05888,0.260982,0.293491,0,
0.0333341,-7.65626,0.426639,0.331594,-7.36982,0.356514,0.541564,-6.16,0.597082,0.28856,-5.12657,0.620028,0.477264,0,-6.16,-0.161946,0.190283,-5.17876,-0.494541,0.331773,0,-6.16,0.903098,0.364063,-5.11103,1.08315,0.591621,0,-6.16,0.592739,0.626964,-5.17613,0.606628,0.973431,0,-6.16,0.747693,0.385033,-5.05293,0.860623,0.626569,0,-6.16,-0.0399706,0.231337,-5.22404,-0.304059,0.394687,0,-6.16,-0.162594,0.307004,-5.26219,-0.464546,0.504529,0,-6.16,0.965226,0.274039,-5.12703,1.17129,0.456282,0,-6.16,-0.0372267,0.115963,-5.34301,-0.264065,0.24738,0,-6.16,0.421859,0.269245,-5.12507,0.35686,0.446452,0,-6.16,-0.236039,0.513707,-5.16631,-0.613036,0.806891,0,-6.16,-0.0805796,0.388276,-5.20049,-0.370878,0.620882,0,-6.16,0.866715,0.24145,-5.07613,1.03644,0.404538,0,-6.16,-0.284668,0.683566,-5.21228,-0.664105,1.04483,0,-6.16,-0.0555691,0.587083,-5.13882,-0.357859,0.92083,0,-6.16,0.506283,0.368614,-5.16861,0.481714,0.594713,0,-6.16,-0.275119,0.378819,-5.21347,-0.644323,0.607849,0,-6.16,-0.29893,0.263957,-5.23214,-0.670831,0.440256,0,-6.16,0.0718577,0.177001,-5.15153,-0.16195,0.308883,0,-6.16,0.00754732,0.480477,-5.12866,-0.265759,0.76242,0,-6.16,0.0849722,0.386472,-5.21037,-0.133404,0.621994,0,-6.16,0.235216,0.115513,-5.15462,0.0803501,0.219337,0,-6.16,0.477069,0.141558,-5.27702,0.436757,0.27445,0,-6.16,0.265256,0.291067,-5.18999,0.127185,0.481895,0,-6.16,0.196467,0.404788,-5.0833,0.0117657,0.651211,0,-6.16,0.367197,0.171122,-5.16012,0.275943,0.302305,0,
0.0666681,-7.65626,0.426639,0.331594,-7.3702,0.346575,0.541279,-6.16,0.597082,0.28856,-5.24858,0.621355,0.478823,0,-6.16,-0.161946,0.190283,-5.24928,-0.454235,0.342461,0,-6.16,0.903098,0.364063,-5.19648,1.07005,0.588596,0,-6.16,0.592739,0.626964,-5.30403,0.608103,0.952132,0,-6.16,0.747693,0.385033,-5.14659,0.854798,0.623543,0,-6.16,-0.0399706,0.231337,-5.29796,-0.268858,0.403918,0,-6.16,-0.162594,0.307004,-5.35627,-0.412834,0.507292,0,-6.16,0.965226,0.274039,-5.20774,1.15634,0.458244,0,-6.16,-0.0372267,0.115963,-5.37206,-0.247617,0.252029,0,-6.16,0.421859,0.269245,-5.26866,0.373778,0.45088,0,-6.16,-0.236039,0.513707,-5.24054,-0.564888,0.800607,0,-6.16,-0.0805796,0.388276,-5.30451,-0.319856,0.618669,0,-6.16,0.866715,0.24145,-5.18791,1.02038,0.407114,0,-6.16,-0.284668,0.683566,-5.27772,-0.617074,1.0297,0,-6.16,-0.0555691,0.587083,-5.23116,-0.312278,0.908541,0,-6.16,0.506283,0.368614,-5.26397,0.489344,0.594572,0,-6.16,-0.275119,0.378819,-5.33112,-0.570904,0.606333,0,-6.16,-0.29893,0.263957,-5.29687,-0.625895,0.446017,0,-6.16,0.0718577,0.177001,-5.23721,-0.128189,0.319098,0,-6.16,0.00754732,0.480477,-5.26653,-0.208146,0.748322,0,-6.16,0.0849722,0.386472,-5.28132,-0.104486,0.621204,0,-6.16,0.235216,0.115513,-5.22839,0.10173,0.232826,0,-6.16,0.477069,0.141558,-5.37058,0.445365,0.286796,0,-6.16,0.265256,0.291067,-5.28041,0.150307,0.486395,0,-6.16,0.196467,0.404788,-5.17672,0.0403287,0.647379,0,-6.16,0.367197,0.171122,-5.24088,0.29091,0.313757,0,
0.100002,-7.65846,0.399241,0.331649,-7.37129,0.319066,0.540491,-6.16,0.597082,0.28856,-5.29098,0.603453,0.482275,0,-6.16,-0.161946,0.190283,-5.27926,-0.455383,0.343296,0,-6.16,0.903098,0.364063,-5.24877,1.0431,0.587169,0,-6.16,0.592739,0.626964,-5.35792,0.590203,0.941132,0,-6.16,0.747693,0.385033,-5.22699,0.829287,0.618673,0,-6.16,-0.0399706,0.231337,-5.35035,-0.263091,0.40311,0,-6.16,-0.162594,0.307004,-5.40511,-0.405143,0.508532,0,-6.16,0.965226,0.274039,-5.23775,1.13282,0.458519,0,-6.16,-0.0372267,0.115963,-5.40628,-0.247382,0.255878,0,-6.16,0.421859,0.269245,-5.34042,0.362829,0.455889,0,-6.16,-0.236039,0.513707,-5.27196,-0.563845,0.796931,0,-6.16,-0.0805796,0.388276,-5.3394,-0.321587,0.615859,0,-6.16,0.866715,0.24145,-5.24583,0.992595,0.413706,0,-6.16,-0.284668,0.683566,-5.30903,-0.61449,1.01912,0,-6.16,-0.0555691,0.587083,-5.28026,-0.307618,0.899205,0,-6.16,0.506283,0.368614,-5.3279,0.475668,0.590916,0,-6.16,-0.275119,0.378819,-5.37442,-0.563617,0.603934,0,-6.16,-0.29893,0.263957,-5.32424,-0.62614,0.443118,0,-6.16,0.0718577,0.177001,-5.29964,-0.123301,0.326046,0,-6.16,0.00754732,0.480477,-5.33135,-0.201454,0.743126,0,-6.16,0.0849722,0.386472,-5.35516,-0.0959034,0.615485,0,-6.16,0.235216,0.115513,-5.30316,0.102786,0.242572,0,-6.16,0.477069,0.141558,-5.42378,0.432276,0.293928,0,-6.16,0.265256,0.291067,-5.3538,0.14882,0.488075,0,-6.16,0.196467,0.404788,-5.24241,0.0404488,0.644619,0,-6.16,0.367197,0.171122,-5.29808,0.282823,0.319554,0,
0.133336,-7.66074,0.372109,0.331687,-7.37192,0.303808,0.540055,-6.16,0.597082,0.28856,-5.34058,0.6012,0.48384,0,-6.16,-0.161946,0.190283,-5.30285,-0.444037,0.344796,0,-6.16,0.903098,0.364063,-5.29768,1.03113,0.586962,0,-6.16,0.592739,0.626964,-5.39427,0.587785,0.935351,0,-6.16,0.747693,0.385033,-5.27231,0.821399,0.618374,0,-6.16,-0.0399706,0.231337,-5.40516,-0.242007,0.407,0,-6.16,-0.162594,0.307004,-5.44863,-0.385323,0.512889,0,-6.16,0.965226,0.274039,-5.28862,1.11919,0.464574,0,-6.16,-0.0372267,0.115963,-5.45665,-0.227551,0.261379,0,-6.16,0.421859,0.269245,-5.44325,0.36852,0.45907,0,-6.16,-0.236039,0.513707,-5.30445,-0.545911,0.793063,0,-6.16,-0.0805796,0.388276,-5.38694,-0.301202,0.614241,0,-6.16,0.866715,0.24145,-5.29922,0.980315,0.419255,0,-6.16,-0.284668,0.683566,-5.33766,-0.598397,1.01638,0,-6.16,-0.0555691,0.587083,-5.35462,-0.277995,0.889548,0,-6.16,0.506283,0.368614,-5.37712,0.475134,0.586366,0,-6.16,-0.275119,0.378819,-5.41959,-0.538296,0.602643,0,-6.16,-0.29893,0.263957,-5.37633,-0.594406,0.448772,0,-6.16,0.0718577,0.177001,-5.36076,-0.104953,0.332607,0,-6.16,0.00754732,0.480477,-5.36692,-0.190018,0.739062,0,-6.16,0.0849722,0.386472,-5.41425,-0.0792715,0.614116,0,-6.16,0.235216,0.115513,-5.39331,0.119029,0.251525,0,-6.16,0.477069,0.141558,-5.46618,0.43291,0.298712,0,-6.16,0.265256,0.291067,-5.42934,0.160876,0.490908,0,-6.16,0.196467,0.404788,-5.30132,0.0529572,0.64112,0,-6.16,0.367197,0.171122,-5.35506,0.288481,0.32505,0,
0.16667,-7.66074,0.372109,0.331687,-7.37243,0.291757,0.539711,-6.16,0.597082,0.28856,-5.39237,0.600992,0.488881,0,-6.16,-0.161946,0.190283,-5.33906,-0.422604,0.350717,0,-6.16,0.903098,0.364063,-5.35006,1.02147,0.584591,0,-6.16,0.592739,0.626964,-5.44965,0.588624,0.924103,0,-6.16,0.747693,0.385033,-5.35912,0.81188,0.615225,0,-6.16,-0.0399706,0.231337,-5.46561,-0.216263,0.41306,0,-6.16,-0.162594,0.307004,-5.48763,-0.364137,0.515019,0,-6.16,0.965226,0.274039,-5.33864,1.10837,0.465206,0,-6.16,-0.0372267,0.115963,-5.50436,-0.206521,0.271021,0,-6.16,0.421859,0.269245,-5.49461,0.372607,0.461893,0,-6.16,-0.236039,0.513707,-5.34821,-0.518906,0.789371,0,-6.16,-0.0805796,0.388276,-5.49369,-0.255343,0.6141,0,-6.16,0.866715,0.24145,-5.35439,0.970977,0.423481,0,-6.16,-0.284668,0.683566,-5.39328,-0.562777,1.00568,0,-6.16,-0.0555691,0.587083,-5.4106,-0.253905,0.880714,0,-6.16,0.506283,0.368614,-5.41331,0.478102,0.588154,0,-6.16,-0.275119,0.378819,-5.468,-0.508814,0.604092,0,-6.16,-0.29893,0.263957,-5.42442,-0.563948,0.450996,0,-6.16,0.0718577,0.177001,-5.42177,-0.0839902,0.340602,0,-6.16,0.00754732,0.480477,-5.42959,-0.164658,0.734479,0,-6.16,0.0849722,0.386472,-5.48803,-0.0552478,0.612942,0,-6.16,0.235216,0.115513,-5.45002,0.131392,0.261438,0,-6.16,0.477069,0.141558,-5.49873,0.436489,0.303029,0,-6.16,0.265256,0.291067,-5.51999,0.177479,0.495248,0,-6.16,0.196467,0.404788,-5.35842,0.0678582,0.640718,0,-6.16,0.367197,0.171122,-5.41099,0.296762,0.33198,0,
0.200004,-7.66306,0.345606,0.331699,-7.37309,0.276557,0.539277,-6.16,0.597082,0.28856,-5.43894,0.59748,0.490189,0,-6.16,-0.161946,0.190283,-5.40802,-0.390456,0.355498,0,-6.16,0.903098,0.364063,-5.38269,1.01226,0.583939,0,-6.16,0.592739,0.626964,-5.47582,0.585776,0.917552,0,-6.16,0.747693,0.385033,-5.39275,0.804346,0.612199,0,-6.16,-0.0399706,0.231337,-5.51076,-0.200809,0.416661,0,-6.16,-0.162594,0.307004,-5.50792,-0.356036,0.510834,0,-6.16,0.965226,0.274039,-5.38409,1.09469,0.466304,0,-6.16,-0.0372267,0.115963,-5.5605,-0.1868,0.275247,0,-6.16,0.421859,0.269245,-5.53555,0.373693,0.463714,0,-6.16,-0.236039,0.513707,-5.37684,-0.504714,0.783009,0,-6.16,-0.0805796,0.388276,-5.5412,-0.239199,0.609623,0,-6.16,0.866715,0.24145,-5.39218,0.961341,0.42306,0,-6.16,-0.284668,0.683566,-5.40283,-0.559931,1.00218,0,-6.16,-0.0555691,0.587083,-5.45637,-0.237115,0.869993,0,-6.16,0.506283,0.368614,-5.45586,0.477813,0.587206,0,-6.16,-0.275119,0.378819,-5.51135,-0.486129,0.599354,0,-6.16,-0.29893,0.263957,-5.45283,-0.54952,0.448646,0,-6.16,0.0718577,0.177001,-5.4711,-0.0707164,0.344375,0,-6.16,0.00754732,0.480477,-5.46183,-0.155235,0.729223,0,-6.16,0.0849722,0.386472,-5.50355,-0.0532453,0.610565,0,-6.16,0.235216,0.115513,-5.47475,0.134347,0.26619,0,-6.16,0.477069,0.141558,-5.52854,0.436585,0.306876,0,-6.16,0.265256,0.291067,-5.56657,0.182595,0.495128,0,-6.16,0.196467,0.404788,-5.38441,0.0717495,0.635588,0,-6.16,0.367197,0.171122,-5.53908,0.306224,0.34745,0,
0.233338,-7.66438,0.335254,0.331394,-7.37357,0.26511,0.53895,-6.16,0.597082,0.28856,-5.49574,0.597256,0.491905,0,-6.16,-0.161946,0.190283,-5.48154,-0.354393,0.364496,0,-6.16,0.903098,0.364063,-5.43342,1.0036,0.582404,0,-6.16,0.592739,0.626964,-5.54703,0.585569,0.904148,0,-6.16,0.747693,0.385033,-5.46688,0.796448,0.610485,0,-6.16,-0.0399706,0.231337,-5.55421,-0.181737,0.422422,0,-6.16,-0.162594,0.307004,-5.55762,-0.328532,0.513908,0,-6.16,0.965226,0.274039,-5.44302,1.08114,0.467419,0,-6.16,-0.0372267,0.115963,-5.59868,-0.169832,0.284315,0,-6.16,0.421859,0.269245,-5.59332,0.379435,0.469167,0,-6.16,-0.236039,0.513707,-5.4306,-0.472565,0.77949,0,-6.16,-0.0805796,0.388276,-5.60678,-0.210546,0.609931,0,-6.16,0.866715,0.24145,-5.46986,0.94681,0.424637,0,-6.16,-0.284668,0.683566,-5.46225,-0.521675,0.991856,0,-6.16,-0.0555691,0.587083,-5.52287,-0.208489,0.859559,0,-6.16,0.506283,0.368614,-5.51494,0.480967,0.583811,0,-6.16,-0.275119,0.378819,-5.56638,-0.453716,0.602439,0,-6.16,-0.29893,0.263957,-5.49115,-0.52397,0.456185,0,-6.16,0.0718577,0.177001,-5.53394,-0.0493976,0.35181,0,-6.16,0.00754732,0.480477,-5.51925,-0.132389,0.727086,0,-6.16,0.0849722,0.386472,-5.5435,-0.0376226,0.61257,0,-6.16,0.235216,0.115513,-5.49931,0.142805,0.26982,0,-6.16,0.477069,0.141558,-5.56786,0.441032,0.312093,0,-6.16,0.265256,0.291067,-5.61311,0.192484,0.49989,0,-6.16,0.196467,0.404788,-5.4226,0.0838917,0.636761,0,-6.16,0.367197,0.171122,-5.62221,0.313471,0.357694,0,
0.266672,-7.66438,0.335254,0.331394,-7.37403,0.254686,0.538652,-6.16,0.597082,0.28856,-5.54531,0.597128,0.4947,0,-6.16,-0.161946,0.190283,-5.53722,-0.326626,0.370615,0,-6.16,0.903098,0.364063,-5.47035,0.99778,0.58249,0,-6.16,0.592739,0.626964,-5.5933,0.585396,0.894449,0,-6.16,0.747693,0.385033,-5.54147,0.786577,0.606496,0,-6.16,-0.0399706,0.231337,-5.59243,-0.163952,0.423932,0,-6.16,-0.162594,0.307004,-5.57048,-0.319667,0.515292,0,-6.16,0.965226,0.274039,-5.47283,1.07547,0.470754,0,-6.16,-0.0372267,0.115963,-5.63366,-0.153141,0.288986,0,-6.16,0.421859,0.269245,-5.63257,0.384197,0.472178,0,-6.16,-0.236039,0.513707,-5.47288,-0.447348,0.774441,0,-6.16,-0.0805796,0.388276,-5.6447,-0.192916,0.608596,0,-6.16,0.866715,0.24145,-5.51423,0.938933,0.430224,0,-6.16,-0.284668,0.683566,-5.50996,-0.492329,0.981352,0,-6.16,-0.0555691,0.587083,-5.56698,-0.189062,0.852718,0,-6.16,0.506283,0.368614,-5.54144,0.483694,0.586809,0,-6.16,-0.275119,0.378819,-5.61744,-0.423391,0.600901,0,-6.16,-0.29893,0.263957,-5.53239,-0.497022,0.460019,0,-6.16,0.0718577,0.177001,-5.57862,-0.0336681,0.357277,0,-6.16,0.00754732,0.480477,-5.56162,-0.115156,0.723625,0,-6.16,0.0849722,0.386472,-5.59296,-0.0199533,0.608382,0,-6.16,0.235216,0.115513,-5.53801,0.154197,0.275685,0,-6.16,0.477069,0.141558,-5.61203,0.445259,0.319199,0,-6.16,0.265256,0.291067,-5.67081,0.204364,0.501548,0,-6.16,0.196467,0.404788,-5.46651,0.0969704,0.634794,0,-6.16,0.367197,0.171122,-5.64647,0.317732,0.361614,0,
0.300007,-7.66683,0.307389,0.3314,-7.37524,0.226795,0.537856,-6.16,0.597082,0.28856,-5.58787,0.5789,0.492222,0,-6.16,-0.161946,0.190283,-5.56035,-0.332295,0.373833,0,-6.16,0.903098,0.364063,-5.50402,0.9745,0.579429,0,-6.16,0.592739,0.626964,-5.63915,0.567192,0.884476,0,-6.16,0.747693,0.385033,-5.57052,0.765779,0.604899,0,-6.16,-0.0399706,0.231337,-5.63882,-0.16263,0.424543,0,-6.16,-0.162594,0.307004,-5.6001,-0.3201,0.514105,0,-6.16,0.965226,0.274039,-5.50732,1.05109,0.469057,0,-6.16,-0.0372267,0.115963,-5.66405,-0.157175,0.291693,0,-6.16,0.421859,0.269245,-5.65663,0.370321,0.46888,0,-6.16,-0.236039,0.513707,-5.51737,-0.440117,0.76674,0,-6.16,-0.0805796,0.388276,-5.66572,-0.199822,0.606192,0,-6.16,0.866715,0.24145,-5.55139,0.915099,0.428841,0,-6.16,-0.284668,0.683566,-5.57396,-0.47355,0.960463,0,-6.16,-0.0555691,0.587083,-5.58178,-0.198842,0.848108,0,-6.16,0.506283,0.368614,-5.54235,0.468609,0.581158,0,-6.16,-0.275119,0.378819,-5.65242,-0.420944,0.599674,0,-6.16,-0.29893,0.263957,-5.57013,-0.491582,0.46001,0,-6.16,0.0718577,0.177001,-5.6287,-0.0352604,0.358975,0,-6.16,0.00754732,0.480477,-5.60021,-0.117731,0.716256,0,-6.16,0.0849722,0.386472,-5.62449,-0.0267677,0.604946,0,-6.16,0.235216,0.115513,-5.58847,0.147762,0.281943,0,-6.16,0.477069,0.141558,-5.65963,0.430392,0.325415,0,-6.16,0.265256,0.291067,-5.71677,0.195156,0.499249,0,-6.16,0.196467,0.404788,-5.4863,0.0858281,0.631424,0,-6.16,0.367197,0.171122,-5.69096,0.306798,0.364046,0,
