time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,4.78396,3.51535,0.230992,4.86628,3.44502,0.33012,4.26176,1.86,0.485638,4.10686,1.03768,0.700447,0,4.91868,1.86,0.518021,5.06679,0.981271,0.757322,0,4.63678,1.86,0.617108,4.64496,0.955802,0.91074,0,4.9129,1.86,0.661048,5.05547,1.01623,0.961114,0,4.11346,1.86,0.699566,3.91964,1.10793,0.991671,0,4.53115,1.86,0.691557,4.49681,1.02581,1.00321,0,4.27874,1.86,0.19658,4.11935,0.997706,0.279245,0,4.3061,1.86,0.0230781,4.17112,1.03695,0.0276635,0,4.89983,1.86,0.104104,5.04039,0.957654,0.139455,0,4.11789,1.86,0.450389,3.91138,1.07186,0.644655,0,4.15821,1.86,0.579285,3.95797,1.04219,0.835687,0,5.0923,1.86,0.434974,5.33068,0.951874,0.637341,0,5.0822,1.86,0.568179,5.32437,0.902421,0.848036,0,4.90585,1.86,0.260779,5.04993,0.95101,0.374998,0,4.22741,1.86,0.347353,4.03403,0.969671,0.504123,0,5.06728,1.86,0.198987,5.26861,1.09429,0.284671,0,4.96545,1.86,-0.00878195,5.14007,0.947752,-0.0316043,0,4.51087,1.86,0.0721783,4.46026,0.983914,0.0940022,0,4.55674,1.86,0.284029,4.53058,0.999352,0.408479,0,4.57176,1.86,0.484879,4.5487,0.967576,0.710096,0,4.66317,1.86,0.173131,4.68902,1.01573,0.245206,0,5.02532,1.86,0.32411,5.2279,0.964917,0.469633,0,4.82069,1.86,0.593716,4.92065,0.994968,0.866982,0,4.43775,1.86,0.279616,4.34863,0.96997,0.402823,0,4.79744,1.86,0.0269001,4.88629,0.988145,0.0272059,0,5.08585,1.86,0.0853058,5.31413,0.989355,0.113999,0,5.03327,1.86,0.682552,5.23448,1.0003,0.997013,0,4.93485,1.86,0.393924,5.0928,0.960056,0.57471,0,4.14545,1.86,0.263318,3.92934,1.01598,0.377555,0,
0.033334,4.78396,3.51535,0.230992,4.85567,3.44503,0.330383,4.26176,1.86,0.485638,4.14079,1.10787,0.69353,0,4.91868,1.86,0.518021,5.07172,1.10174,0.736895,0,4.63678,1.86,0.617108,4.66723,1.05611,0.887856,0,4.9129,1.86,0.661048,5.06077,1.1397,0.933107,0,4.11346,1.86,0.699566,3.95666,1.16873,0.977388,0,4.53115,1.86,0.691557,4.52474,1.12232,0.980139,0,4.27874,1.86,0.19658,4.15356,1.06921,0.283459,0,4.3061,1.86,0.0230781,4.20302,1.10653,0.0386566,0,4.89983,1.86,0.104104,5.0465,1.0515,0.148067,0,4.11789,1.86,0.450389,3.96083,1.1595,0.637162,0,4.15821,1.86,0.579285,3.99083,1.09543,0.827516,0,5.0923,1.86,0.434974,5.32543,1.06081,0.62569,0,5.0822,1.86,0.568179,5.32095,1.00623,0.827366,0,4.90585,1.86,0.260779,5.05583,1.05318,0.373685,0,4.22741,1.86,0.347353,4.06706,1.03206,0.502038,0,5.06728,1.86,0.198987,5.26706,1.16416,0.288107,0,4.96545,1.86,-0.00878195,5.14378,1.05182,-0.0152864,0,4.51087,1.86,0.0721783,4.48928,1.07858,0.10361,0,4.55674,1.86,0.284029,4.55356,1.08091,0.408122,0,4.57176,1.86,0.484879,4.57535,1.0709,0.698146,0,4.66317,1.86,0.173131,4.70441,1.10199,0.254491,0,5.02532,1.86,0.32411,5.22684,1.06396,0.46458,0,4.82069,1.86,0.593716,4.93044,1.08004,0.848885,0,4.43775,1.86,0.279616,4.38282,1.06901,0.40385,0,4.79744,1.86,0.0269001,4.89718,1.07192,0.03907,0,5.08585,1.86,0.0853058,5.30977,1.08642,0.123067,0,5.03327,1.86,0.682552,5.23509,1.07489,0.975771,0,4.93485,1.86,0.393924,5.09639,1.08337,0.563044,0,4.14545,1.86,0.263318,3.96572,1.07613,0.379833,0,
0.0666681,4.7555,3.51635,0.231564,4.82773,3.44513,0.331078,4.26176,1.86,0.485638,4.14056,1.13968,0.685576,0,4.91868,1.86,0.518021,5.05699,1.14562,0.728727,0,4.63678,1.86,0.617108,4.66501,1.12151,0.871318,0,4.9129,1.86,0.661048,5.04602,1.17634,0.922207,0,4.11346,1.86,0.699566,3.95227,1.18711,0.967726,0,4.53115,1.86,0.691557,4.52049,1.16262,0.965918,0,4.27874,1.86,0.19658,4.15215,1.10015,0.281716,0,4.3061,1.86,0.0230781,4.20782,1.1538,0.0414153,0,4.89983,1.86,0.104104,5.03334,1.10321,0.14969,0,4.11789,1.86,0.450389,3.96173,1.1901,0.627288,0,4.15821,1.86,0.579285,3.98816,1.11724,0.820734,0,5.0923,1.86,0.434974,5.30719,1.09485,0.620207,0,5.0822,1.86,0.568179,5.30211,1.05802,0.816173,0,4.90585,1.86,0.260779,5.0427,1.12075,0.371811,0,4.22741,1.86,0.347353,4.06501,1.05833,0.497882,0,5.06728,1.86,0.198987,5.25007,1.2095,0.288064,0,4.96545,1.86,-0.00878195,5.12789,1.13266,-0.00558686,0,4.51087,1.86,0.0721783,4.49166,1.14293,0.107455,0,4.55674,1.86,0.284029,4.55203,1.13428,0.403259,0,4.57176,1.86,0.484879,4.5619,1.08563,0.688893,0,4.66317,1.86,0.173131,4.69936,1.15313,0.253047,0,5.02532,1.86,0.32411,5.20914,1.12944,0.460241,0,4.82069,1.86,0.593716,4.91867,1.11574,0.83885,0,4.43775,1.86,0.279616,4.38769,1.13181,0.397947,0,4.79744,1.86,0.0269001,4.89057,1.15736,0.0506011,0,5.08585,1.86,0.0853058,5.28997,1.15027,0.128038,0,5.03327,1.86,0.682552,5.21891,1.11943,0.96139,0,4.93485,1.86,0.393924,5.08134,1.14158,0.55671,0,4.14545,1.86,0.263318,3.95806,1.0899,0.377636,0,
0.100002,4.7555,3.51635,0.231564,4.81218,3.4452,0.331464,4.26176,1.86,0.485638,4.15608,1.17641,0.679812,0,4.91868,1.86,0.518021,5.05675,1.1928,0.718854,0,4.63678,1.86,0.617108,4.67317,1.17421,0.85895,0,4.9129,1.86,0.661048,5.04657,1.24017,0.903107,0,4.11346,1.86,0.699566,3.95435,1.19448,0.970333,0,4.53115,1.86,0.691557,4.53068,1.20512,0.953981,0,4.27874,1.86,0.19658,4.17289,1.14995,0.282315,0,4.3061,1.86,0.0230781,4.21745,1.18101,0.045623,0,4.89983,1.86,0.104104,5.03328,1.14739,0.152187,0,4.11789,1.86,0.450389,3.97206,1.21085,0.625467,0,4.15821,1.86,0.579285,4.00385,1.14779,0.814188,0,5.0923,1.86,0.434974,5.30216,1.14868,0.612265,0,5.0822,1.86,0.568179,5.29636,1.11412,0.802154,0,4.90585,1.86,0.260779,5.04195,1.18481,0.368123,0,4.22741,1.86,0.347353,4.07245,1.07645,0.499863,0,5.06728,1.86,0.198987,5.24568,1.25455,0.287534,0,4.96545,1.86,-0.00878195,5.12489,1.18356,0.00166908,0,4.51087,1.86,0.0721783,4.49891,1.17773,0.10996,0,4.55674,1.86,0.284029,4.56095,1.17783,0.400991,0,4.57176,1.86,0.484879,4.57189,1.12507,0.682033,0,4.66317,1.86,0.173131,4.70554,1.19658,0.255245,0,5.02532,1.86,0.32411,5.20476,1.17841,0.454981,0,4.82069,1.86,0.593716,4.92148,1.15981,0.827506,0,4.43775,1.86,0.279616,4.39998,1.17668,0.397371,0,4.79744,1.86,0.0269001,4.89324,1.21843,0.0563669,0,5.08585,1.86,0.0853058,5.2849,1.18016,0.126291,0,5.03327,1.86,0.682552,5.21659,1.13373,0.957973,0,4.93485,1.86,0.393924,5.07989,1.18017,0.555237,0,4.14545,1.86,0.263318,3.97636,1.12368,0.377482,0,
0.133336,4.72768,3.51726,0.23215,4.79994,3.44515,0.331766,4.26176,1.86,0.485638,4.17218,1.21358,0.664662,0,4.91868,1.86,0.518021,5.0591,1.24865,0.705924,0,4.63678,1.86,0.617108,4.68573,1.2348,0.840249,0,4.9129,1.86,0.661048,5.04828,1.3079,0.881575,0,4.11346,1.86,0.699566,3.97114,1.21644,0.958721,0,4.53115,1.86,0.691557,4.53831,1.23474,0.936507,0,4.27874,1.86,0.19658,4.19888,1.2098,0.279332,0,4.3061,1.86,0.0230781,4.24298,1.2401,0.0480607,0,4.89983,1.86,0.104104,5.03643,1.20381,0.153133,0,4.11789,1.86,0.450389,4.00281,1.26411,0.612374,0,4.15821,1.86,0.579285,4.02664,1.18791,0.800634,0,5.0923,1.86,0.434974,5.29591,1.22899,0.598553,0,5.0822,1.86,0.568179,5.2929,1.17242,0.78698,0,4.90585,1.86,0.260779,5.0439,1.24824,0.363731,0,4.22741,1.86,0.347353,4.09569,1.11999,0.490655,0,5.06728,1.86,0.198987,5.24334,1.30701,0.285084,0,4.96545,1.86,-0.00878195,5.12618,1.21727,0.00517982,0,4.51087,1.86,0.0721783,4.50816,1.20297,0.113678,0,4.55674,1.86,0.284029,4.57546,1.23239,0.395918,0,4.57176,1.86,0.484879,4.58204,1.16022,0.673534,0,4.66317,1.86,0.173131,4.71656,1.25137,0.253728,0,5.02532,1.86,0.32411,5.20332,1.23574,0.44849,0,4.82069,1.86,0.593716,4.92679,1.20927,0.812309,0,4.43775,1.86,0.279616,4.41843,1.23185,0.390773,0,4.79744,1.86,0.0269001,4.89838,1.2722,0.0581465,0,5.08585,1.86,0.0853058,5.28401,1.22224,0.127487,0,5.03327,1.86,0.682552,5.21874,1.16434,0.947179,0,4.93485,1.86,0.393924,5.08243,1.22468,0.548275,0,4.14545,1.86,0.263318,4.00074,1.16728,0.372006,0,
0.16667,4.69991,3.51827,0.232724,4.78451,3.44516,0.332148,4.26176,1.86,0.485638,4.18464,1.24472,0.659152,0,4.91868,1.86,0.518021,5.05718,1.2943,0.695767,0,4.63678,1.86,0.617108,4.68726,1.25659,0.833969,0,4.9129,1.86,0.661048,5.0462,1.3428,0.871804,0,4.11346,1.86,0.699566,3.98606,1.24506,0.949345,0,4.53115,1.86,0.691557,4.54252,1.25405,0.930451,0,4.27874,1.86,0.19658,4.22747,1.2887,0.277854,0,4.3061,1.86,0.0230781,4.25771,1.28469,0.0513579,0,4.89983,1.86,0.104104,5.03514,1.26362,0.155409,0,4.11789,1.86,0.450389,4.02046,1.30201,0.607365,0,4.15821,1.86,0.579285,4.04173,1.22145,0.791208,0,5.0923,1.86,0.434974,5.29031,1.25761,0.594661,0,5.0822,1.86,0.568179,5.28635,1.22279,0.775205,0,4.90585,1.86,0.260779,5.0422,1.29508,0.36219,0,4.22741,1.86,0.347353,4.11227,1.15975,0.489908,0,5.06728,1.86,0.198987,5.23762,1.35425,0.285398,0,4.96545,1.86,-0.00878195,5.12265,1.29497,0.0133821,0,4.51087,1.86,0.0721783,4.51618,1.23615,0.116013,0,4.55674,1.86,0.284029,4.57659,1.24812,0.393591,0,4.57176,1.86,0.484879,4.5915,1.20711,0.665301,0,4.66317,1.86,0.173131,4.72177,1.2976,0.252963,0,5.02532,1.86,0.32411,5.19881,1.2799,0.445293,0,4.82069,1.86,0.593716,4.92831,1.25433,0.802008,0,4.43775,1.86,0.279616,4.42957,1.27627,0.387164,0,4.79744,1.86,0.0269001,4.89898,1.31388,0.059469,0,5.08585,1.86,0.0853058,5.27767,1.27457,0.129816,0,5.03327,1.86,0.682552,5.21559,1.20915,0.933594,0,4.93485,1.86,0.393924,5.08061,1.26691,0.541733,0,4.14545,1.86,0.263318,4.02154,1.21268,0.368266,0,
0.200004,4.69991,3.51827,0.232724,4.77244,3.44522,0.332448,4.26176,1.86,0.485638,4.19563,1.26649,0.655541,0,4.91868,1.86,0.518021,5.05841,1.31394,0.696326,0,4.63678,1.86,0.617108,4.69685,1.2972,0.824323,0,4.9129,1.86,0.661048,5.04778,1.4104,0.856021,0,4.11346,1.86,0.699566,3.99534,1.2596,0.944947,0,4.53115,1.86,0.691557,4.55671,1.30098,0.918972,0,4.27874,1.86,0.19658,4.24699,1.3384,0.278988,0,4.3061,1.86,0.0230781,4.27207,1.32146,0.0521134,0,4.89983,1.86,0.104104,5.03654,1.31105,0.160628,0,4.11789,1.86,0.450389,4.03026,1.31896,0.60384,0,4.15821,1.86,0.579285,4.05723,1.24937,0.786129,0,5.0923,1.86,0.434974,5.28638,1.3162,0.588049,0,5.0822,1.86,0.568179,5.28374,1.26497,0.768138,0,4.90585,1.86,0.260779,5.04374,1.33901,0.362918,0,4.22741,1.86,0.347353,4.13266,1.20263,0.487581,0,5.06728,1.86,0.198987,5.23486,1.39839,0.285711,0,4.96545,1.86,-0.00878195,5.12216,1.31815,0.0174891,0,4.51087,1.86,0.0721783,4.52787,1.27506,0.121214,0,4.55674,1.86,0.284029,4.58787,1.28556,0.394685,0,4.57176,1.86,0.484879,4.60205,1.25049,0.661779,0,4.66317,1.86,0.173131,4.73443,1.37748,0.255311,0,5.02532,1.86,0.32411,5.19762,1.32186,0.444443,0,4.82069,1.86,0.593716,4.93238,1.29695,0.794214,0,4.43775,1.86,0.279616,4.44307,1.31695,0.3875,0,4.79744,1.86,0.0269001,4.90511,1.38279,0.0690226,0,5.08585,1.86,0.0853058,5.27334,1.32995,0.136311,0,5.03327,1.86,0.682552,5.2141,1.25853,0.922933,0,4.93485,1.86,0.393924,5.08163,1.29975,0.543153,0,4.14545,1.86,0.263318,4.03708,1.24219,0.366245,0,
0.233338,4.67226,3.5194,0.233266,4.75713,3.44527,0.332828,4.26176,1.86,0.485638,4.22903,1.35386,0.646166,0,4.91868,1.86,0.518021,5.05745,1.35496,0.6923,0,4.63678,1.86,0.617108,4.70856,1.38563,0.805953,0,4.9129,1.86,0.661048,5.04408,1.48039,0.838561,0,4.11346,1.86,0.699566,4.0098,1.28824,0.939779,0,4.53115,1.86,0.691557,4.56463,1.34224,0.90745,0,4.27874,1.86,0.19658,4.26638,1.39413,0.281746,0,4.3061,1.86,0.0230781,4.29122,1.37599,0.0599099,0,4.89983,1.86,0.104104,5.03455,1.37195,0.166894,0,4.11789,1.86,0.450389,4.06642,1.39464,0.598957,0,4.15821,1.86,0.579285,4.08319,1.30673,0.777134,0,5.0923,1.86,0.434974,5.27713,1.37741,0.581862,0,5.0822,1.86,0.568179,5.27502,1.3322,0.754525,0,4.90585,1.86,0.260779,5.04136,1.4047,0.361084,0,4.22741,1.86,0.347353,4.16027,1.27194,0.482762,0,5.06728,1.86,0.198987,5.22754,1.45271,0.290157,0,4.96545,1.86,-0.00878195,5.11991,1.36194,0.024608,0,4.51087,1.86,0.0721783,4.54298,1.34593,0.128422,0,4.55674,1.86,0.284029,4.60092,1.35645,0.393969,0,4.57176,1.86,0.484879,4.61659,1.3369,0.653249,0,4.66317,1.86,0.173131,4.73941,1.43521,0.258818,0,5.02532,1.86,0.32411,5.19231,1.3726,0.440865,0,4.82069,1.86,0.593716,4.93416,1.37604,0.77829,0,4.43775,1.86,0.279616,4.46073,1.3866,0.387007,0,4.79744,1.86,0.0269001,4.90634,1.46527,0.0818706,0,5.08585,1.86,0.0853058,5.26451,1.39034,0.141777,0,5.03327,1.86,0.682552,5.20982,1.29647,0.912008,0,4.93485,1.86,0.393924,5.07861,1.37355,0.536455,0,4.14545,1.86,0.263318,4.06093,1.29363,0.369162,0,
0.266672,4.67226,3.5194,0.233266,4.74494,3.44543,0.333135,4.26176,1.86,0.485638,4.23525,1.3718,0.639451,0,4.91868,1.86,0.518021,5.05853,1.38878,0.685942,0,4.63678,1.86,0.617108,4.71395,1.42328,0.795939,0,4.9129,1.86,0.661048,5.04357,1.52162,0.828024,0,4.11346,1.86,0.699566,4.0223,1.30881,0.930201,0,4.53115,1.86,0.691557,4.57599,1.38718,0.895544,0,4.27874,1.86,0.19658,4.28192,1.43406,0.281142,0,4.3061,1.86,0.0230781,4.30822,1.42157,0.0649933,0,4.89983,1.86,0.104104,5.03459,1.42243,0.171503,0,4.11789,1.86,0.450389,4.08191,1.42678,0.592474,0,4.15821,1.86,0.579285,4.09836,1.33806,0.766833,0,5.0923,1.86,0.434974,5.27337,1.41391,0.577138,0,5.0822,1.86,0.568179,5.27178,1.36477,0.74785,0,4.90585,1.86,0.260779,5.0412,1.44433,0.359677,0,4.22741,1.86,0.347353,4.17396,1.3047,0.478881,0,5.06728,1.86,0.198987,5.2232,1.49994,0.289935,0,4.96545,1.86,-0.00878195,5.11712,1.43437,0.0358706,0,4.51087,1.86,0.0721783,4.55665,1.40627,0.133532,0,4.55674,1.86,0.284029,4.60613,1.38092,0.392406,0,4.57176,1.86,0.484879,4.62453,1.37872,0.642383,0,4.66317,1.86,0.173131,4.74581,1.47868,0.26027,0,5.02532,1.86,0.32411,5.19142,1.39631,0.440244,0,4.82069,1.86,0.593716,4.93572,1.41283,0.770237,0,4.43775,1.86,0.279616,4.46887,1.41538,0.385431,0,4.79744,1.86,0.0269001,4.90797,1.50036,0.0858032,0,5.08585,1.86,0.0853058,5.25713,1.4542,0.1495,0,5.03327,1.86,0.682552,5.20953,1.32088,0.905245,0,4.93485,1.86,0.393924,5.07722,1.4236,0.531171,0,4.14545,1.86,0.263318,4.08527,1.34394,0.36657,0,
0.300006,4.64555,3.52069,0.23379,4.71801,3.44583,0.333815,4.26176,1.86,0.485638,4.23121,1.39566,0.637671,0,4.91868,1.86,0.518021,5.04408,1.40115,0.684224,0,4.63678,1.86,0.617108,4.69915,1.4234,0.797574,0,4.9129,1.86,0.661048,5.02854,1.51401,0.829994,0,4.11346,1.86,0.699566,4.01179,1.31626,0.928759,0,4.53115,1.86,0.691557,4.56463,1.40312,0.89305,0,4.27874,1.86,0.19658,4.27212,1.4472,0.2818,0,4.3061,1.86,0.0230781,4.29858,1.43633,0.0671975,0,4.89983,1.86,0.104104,5.01959,1.43861,0.17312,0,4.11789,1.86,0.450389,4.07938,1.45145,0.590871,0,4.15821,1.86,0.579285,4.08862,1.34862,0.765199,0,5.0923,1.86,0.434974,5.25559,1.44252,0.574105,0,5.0822,1.86,0.568179,5.25493,1.38924,0.743838,0,4.90585,1.86,0.260779,5.02587,1.48082,0.357295,0,4.22741,1.86,0.347353,4.17321,1.33777,0.479645,0,5.06728,1.86,0.198987,5.20719,1.51112,0.290354,0,4.96545,1.86,-0.00878195,5.10042,1.45576,0.0393865,0,4.51087,1.86,0.0721783,4.54633,1.42804,0.136685,0,4.55674,1.86,0.284029,4.59703,1.40492,0.390053,0,4.57176,1.86,0.484879,4.61374,1.39806,0.640928,0,4.66317,1.86,0.173131,4.73252,1.48865,0.261673,0,5.02532,1.86,0.32411,5.17685,1.4049,0.44007,0,4.82069,1.86,0.593716,4.92054,1.40793,0.770837,0,4.43775,1.86,0.279616,4.45885,1.43025,0.384647,0,4.79744,1.86,0.0269001,4.89484,1.52478,0.0876898,0,5.08585,1.86,0.0853058,5.23992,1.46888,0.151927,0,5.03327,1.86,0.682552,5.19452,1.33718,0.901879,0,4.93485,1.86,0.393924,5.06195,1.43507,0.529621,0,4.14545,1.86,0.263318,4.07926,1.36408,0.365844,0,
