time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,
0,2.07507,3.62595,0.26465,2.19662,3.47398,0.393493,2.46589,1.86,0.511535,2.97336,-0.035677,0.884153,0,1.73806,1.86,0.423699,1.53161,-0.0107181,0.707339,0,2.43321,1.86,0.0976454,2.91723,-0.0791702,0.0574722,0,2.43809,1.86,0.236978,2.94878,-0.18493,0.336158,0,1.72995,1.86,0.118397,1.52717,0.048353,0.109786,0,2.01835,1.86,0.0405636,2.08259,-0.0764732,-0.0570363,0,2.22455,1.86,0.235034,2.48786,0.0334377,0.335792,0,2.40061,1.86,0.395568,2.87526,-0.207371,0.666407,0,1.93709,1.86,0.568428,1.91256,-0.161705,1.0189,0,2.18603,1.86,0.365373,2.42374,-0.140475,0.599647,0,1.89299,1.86,0.744153,1.83212,-0.0613244,1.35342,0,2.13208,1.86,0.5226,2.31344,-0.144576,0.922051,0,1.46913,1.86,0.263534,1.06126,0.165067,0.391401,0,1.75689,1.86,0.254339,1.55401,-0.0926435,0.372666,0,2.2544,1.86,0.561602,2.56774,-0.180459,1.008,0,1.63308,1.86,0.200352,1.31338,-0.0549972,0.265002,0,1.55458,1.86,0.41394,1.15914,-0.0460684,0.69107,0,2.06436,1.86,0.187692,2.1752,-0.0592377,0.239518,0,1.59399,1.86,0.0195003,1.25695,0.0245655,-0.0853581,0,2.03089,1.86,0.450819,2.10638,-0.13362,0.773812,0,1.86613,1.86,0.00671947,1.77464,-0.0926921,-0.127449,0,2.32872,1.86,0.0297033,2.71122,-0.108646,-0.0831514,0,2.05254,1.86,0.320117,2.15047,-0.144842,0.507157,0,2.20544,1.86,0.00409237,2.4623,-0.124696,-0.137477,0,2.56582,1.86,0.296387,3.19422,-0.115832,0.458005,0,1.43124,1.86,0.391883,0.95857,0.0781062,0.638157,0,
0.0333341,2.04842,3.6276,0.265087,2.16995,3.47467,0.394191,2.46589,1.86,0.511535,2.94358,0.0843706,0.868487,0,1.73806,1.86,0.423699,1.55498,0.126188,0.692657,0,2.43321,1.86,0.0976454,2.88425,0.0909343,0.0760449,0,2.43809,1.86,0.236978,2.91823,-0.0325513,0.3335,0,1.72995,1.86,0.118397,1.54393,0.160805,0.120694,0,2.01835,1.86,0.0405636,2.09368,0.14062,-0.0337817,0,2.22455,1.86,0.235034,2.47353,0.235614,0.338316,0,2.40061,1.86,0.395568,2.84963,-0.0631018,0.655119,0,1.93709,1.86,0.568428,1.91851,-0.0518565,0.9989,0,2.18603,1.86,0.365373,2.4119,-0.0336394,0.592407,0,1.89299,1.86,0.744153,1.83487,0.0156555,1.3316,0,2.13208,1.86,0.5226,2.30734,-0.0107057,0.895627,0,1.46913,1.86,0.263534,1.09377,0.274532,0.391635,0,1.75689,1.86,0.254339,1.58831,0.0871081,0.367161,0,2.2544,1.86,0.561602,2.55298,-0.0137258,0.983799,0,1.63308,1.86,0.200352,1.33943,0.0616455,0.268082,0,1.55458,1.86,0.41394,1.19004,0.0659075,0.679354,0,2.06436,1.86,0.187692,2.16353,0.0131884,0.242272,0,1.59399,1.86,0.0195003,1.2792,0.123682,-0.0721547,0,2.03089,1.86,0.450819,2.10538,-0.0167019,0.761609,0,1.86613,1.86,0.00671947,1.79151,0.0538664,-0.104845,0,2.32872,1.86,0.0297033,2.6912,0.0109882,-0.0683566,0,2.05254,1.86,0.320117,2.14944,-0.013978,0.504373,0,2.20544,1.86,0.00409237,2.44981,0.00458288,-0.117686,0,2.56582,1.86,0.296387,3.16658,-0.0340939,0.455682,0,1.43124,1.86,0.391883,0.993038,0.182958,0.629669,0,
0.0666681,2.03757,3.62837,0.264893,2.15457,3.47511,0.394596,2.46589,1.86,0.511535,2.92954,0.194829,0.857365,0,1.73806,1.86,0.423699,1.58131,0.222009,0.687849,0,2.43321,1.86,0.0976454,2.86862,0.217387,0.0900156,0,2.43809,1.86,0.236978,2.90598,0.0661969,0.339401,0,1.72995,1.86,0.118397,1.57805,0.276928,0.131555,0,2.01835,1.86,0.0405636,2.10781,0.283169,-0.01342,0,2.22455,1.86,0.235034,2.47034,0.434454,0.344645,0,2.40061,1.86,0.395568,2.83279,0.109427,0.648949,0,1.93709,1.86,0.568428,1.93251,0.0347271,0.991633,0,2.18603,1.86,0.365373,2.41583,0.0782669,0.588199,0,1.89299,1.86,0.744153,1.85993,0.131427,1.30417,0,2.13208,1.86,0.5226,2.31347,0.0964735,0.88111,0,1.46913,1.86,0.263534,1.13353,0.363605,0.394834,0,1.75689,1.86,0.254339,1.62831,0.240617,0.372085,0,2.2544,1.86,0.561602,2.54983,0.138458,0.962237,0,1.63308,1.86,0.200352,1.3987,0.233871,0.26718,0,1.55458,1.86,0.41394,1.23058,0.166868,0.672971,0,2.06436,1.86,0.187692,2.17537,0.11213,0.248749,0,1.59399,1.86,0.0195003,1.31289,0.211533,-0.0565932,0,2.03089,1.86,0.450819,2.12044,0.110232,0.751501,0,1.86613,1.86,0.00671947,1.81407,0.165014,-0.0876608,0,2.32872,1.86,0.0297033,2.68564,0.124436,-0.05105,0,2.05254,1.86,0.320117,2.1617,0.107019,0.502662,0,2.20544,1.86,0.00409237,2.45194,0.181156,-0.0837268,0,2.56582,1.86,0.296387,3.15049,0.0664289,0.456648,0,1.43124,1.86,0.391883,1.03191,0.264705,0.625729,0,
0.100002,2.00992,3.62999,0.265288,2.15917,3.47499,0.394475,2.46589,1.86,0.511535,2.94916,0.254122,0.849492,0,1.73806,1.86,0.423699,1.62857,0.288859,0.68249,0,2.43321,1.86,0.0976454,2.88746,0.284588,0.0988436,0,2.43809,1.86,0.236978,2.92642,0.13784,0.340124,0,1.72995,1.86,0.118397,1.62205,0.335734,0.137218,0,2.01835,1.86,0.0405636,2.14244,0.357654,-0.00144017,0,2.22455,1.86,0.235034,2.49322,0.489713,0.347621,0,2.40061,1.86,0.395568,2.85318,0.150224,0.645725,0,1.93709,1.86,0.568428,1.97035,0.0909932,0.984356,0,2.18603,1.86,0.365373,2.44532,0.149895,0.585599,0,1.89299,1.86,0.744153,1.90776,0.231148,1.27439,0,2.13208,1.86,0.5226,2.34438,0.157972,0.874876,0,1.46913,1.86,0.263534,1.18002,0.405265,0.396142,0,1.75689,1.86,0.254339,1.67178,0.306434,0.37455,0,2.2544,1.86,0.561602,2.57344,0.166648,0.954921,0,1.63308,1.86,0.200352,1.45123,0.31078,0.270317,0,1.55458,1.86,0.41394,1.27368,0.206071,0.669715,0,2.06436,1.86,0.187692,2.21094,0.189578,0.254756,0,1.59399,1.86,0.0195003,1.36275,0.267829,-0.0470675,0,2.03089,1.86,0.450819,2.14917,0.154088,0.754619,0,1.86613,1.86,0.00671947,1.86107,0.255641,-0.0731913,0,2.32872,1.86,0.0297033,2.70889,0.205332,-0.0377063,0,2.05254,1.86,0.320117,2.19641,0.181198,0.501717,0,2.20544,1.86,0.00409237,2.47864,0.268152,-0.0716034,0,2.56582,1.86,0.296387,3.16416,0.150997,0.456194,0,1.43124,1.86,0.391883,1.08069,0.30688,0.623281,0,
0.133336,2.00992,3.62999,0.265288,2.13152,3.47562,0.395197,2.46589,1.86,0.511535,2.92048,0.356352,0.835071,0,1.73806,1.86,0.423699,1.63675,0.376226,0.673998,0,2.43321,1.86,0.0976454,2.86041,0.382523,0.106941,0,2.43809,1.86,0.236978,2.894,0.276814,0.343781,0,1.72995,1.86,0.118397,1.63347,0.431964,0.145492,0,2.01835,1.86,0.0405636,2.13665,0.451526,0.0113263,0,2.22455,1.86,0.235034,2.47705,0.605144,0.34875,0,2.40061,1.86,0.395568,2.82738,0.268474,0.639548,0,1.93709,1.86,0.568428,1.97336,0.199001,0.965639,0,2.18603,1.86,0.365373,2.43173,0.257255,0.578379,0,1.89299,1.86,0.744153,1.90529,0.312816,1.25689,0,2.13208,1.86,0.5226,2.33505,0.273622,0.85658,0,1.46913,1.86,0.263534,1.19604,0.47697,0.391293,0,1.75689,1.86,0.254339,1.68292,0.409358,0.376431,0,2.2544,1.86,0.561602,2.55796,0.290626,0.93696,0,1.63308,1.86,0.200352,1.47994,0.445827,0.277398,0,1.55458,1.86,0.41394,1.29578,0.300004,0.661954,0,2.06436,1.86,0.187692,2.20368,0.290426,0.255047,0,1.59399,1.86,0.0195003,1.38157,0.362239,-0.0351468,0,2.03089,1.86,0.450819,2.14582,0.25106,0.745794,0,1.86613,1.86,0.00671947,1.87209,0.396163,-0.0525125,0,2.32872,1.86,0.0297033,2.68479,0.337269,-0.0196571,0,2.05254,1.86,0.320117,2.19075,0.290506,0.497131,0,2.20544,1.86,0.00409237,2.46293,0.389657,-0.0538396,0,2.56582,1.86,0.296387,3.12647,0.265461,0.45485,0,1.43124,1.86,0.391883,1.09767,0.376394,0.619703,0,
0.16667,1.98195,3.63176,0.265662,2.11611,3.47599,0.395599,2.46589,1.86,0.511535,2.90315,0.472695,0.816185,0,1.73806,1.86,0.423699,1.66152,0.470135,0.661512,0,2.43321,1.86,0.0976454,2.84814,0.467677,0.10797,0,2.43809,1.86,0.236978,2.87485,0.409265,0.343642,0,1.72995,1.86,0.118397,1.66228,0.54052,0.153064,0,2.01835,1.86,0.0405636,2.14768,0.567616,0.0225514,0,2.22455,1.86,0.235034,2.47369,0.681166,0.346471,0,2.40061,1.86,0.395568,2.81241,0.390025,0.622942,0,1.93709,1.86,0.568428,1.99225,0.325312,0.941028,0,2.18603,1.86,0.365373,2.43222,0.386083,0.568495,0,1.89299,1.86,0.744153,1.92596,0.424104,1.22459,0,2.13208,1.86,0.5226,2.3401,0.435528,0.833823,0,1.46913,1.86,0.263534,1.23482,0.565586,0.392174,0,1.75689,1.86,0.254339,1.71279,0.530977,0.376864,0,2.2544,1.86,0.561602,2.5532,0.410414,0.912989,0,1.63308,1.86,0.200352,1.51351,0.555618,0.281416,0,1.55458,1.86,0.41394,1.33458,0.403055,0.65408,0,2.06436,1.86,0.187692,2.21322,0.418276,0.258154,0,1.59399,1.86,0.0195003,1.41349,0.455467,-0.0274158,0,2.03089,1.86,0.450819,2.15789,0.373434,0.729917,0,1.86613,1.86,0.00671947,1.89198,0.513366,-0.0378594,0,2.32872,1.86,0.0297033,2.6763,0.434875,-0.00757587,0,2.05254,1.86,0.320117,2.20071,0.420877,0.490435,0,2.20544,1.86,0.00409237,2.46047,0.509797,-0.0427095,0,2.56582,1.86,0.296387,3.10368,0.375969,0.449173,0,1.43124,1.86,0.391883,1.14313,0.474355,0.60901,0,
0.200004,1.98195,3.63176,0.265662,2.10382,3.47636,0.395923,2.46589,1.86,0.511535,2.88807,0.584818,0.800046,0,1.73806,1.86,0.423699,1.70058,0.612221,0.65181,0,2.43321,1.86,0.0976454,2.84029,0.551928,0.117832,0,2.43809,1.86,0.236978,2.85647,0.549908,0.349244,0,1.72995,1.86,0.118397,1.68529,0.621639,0.163968,0,2.01835,1.86,0.0405636,2.16171,0.704573,0.0427796,0,2.22455,1.86,0.235034,2.47377,0.796106,0.350864,0,2.40061,1.86,0.395568,2.79918,0.519599,0.617128,0,1.93709,1.86,0.568428,2.00482,0.401476,0.928615,0,2.18603,1.86,0.365373,2.43381,0.523991,0.563512,0,1.89299,1.86,0.744153,1.95445,0.582703,1.18121,0,2.13208,1.86,0.5226,2.34443,0.572328,0.815745,0,1.46913,1.86,0.263534,1.29469,0.703099,0.390219,0,1.75689,1.86,0.254339,1.74664,0.666361,0.374299,0,2.2544,1.86,0.561602,2.55072,0.530274,0.8944,0,1.63308,1.86,0.200352,1.55747,0.68993,0.286226,0,1.55458,1.86,0.41394,1.37842,0.516325,0.648406,0,2.06436,1.86,0.187692,2.2264,0.596223,0.268352,0,1.59399,1.86,0.0195003,1.44957,0.550568,-0.0112219,0,2.03089,1.86,0.450819,2.17018,0.490742,0.720079,0,1.86613,1.86,0.00671947,1.90329,0.569336,-0.0296087,0,2.32872,1.86,0.0297033,2.66798,0.57222,0.00768,0,2.05254,1.86,0.320117,2.21241,0.560941,0.488808,0,2.20544,1.86,0.00409237,2.46141,0.593301,-0.0287922,0,2.56582,1.86,0.296387,3.07853,0.50992,0.448171,0,1.43124,1.86,0.391883,1.18757,0.568743,0.605078,0,
0.233338,1.95395,3.63355,0.266066,2.07596,3.47715,0.396655,2.46589,1.86,0.511535,2.86092,0.650959,0.792952,0,1.73806,1.86,0.423699,1.70328,0.694702,0.64605,0,2.43321,1.86,0.0976454,2.81428,0.626788,0.127209,0,2.43809,1.86,0.236978,2.82806,0.622669,0.346827,0,1.72995,1.86,0.118397,1.69799,0.732467,0.171859,0,2.01835,1.86,0.0405636,2.15228,0.800527,0.0557731,0,2.22455,1.86,0.235034,2.45489,0.843972,0.353753,0,2.40061,1.86,0.395568,2.77348,0.587095,0.613325,0,1.93709,1.86,0.568428,1.99417,0.441435,0.920241,0,2.18603,1.86,0.365373,2.41597,0.610619,0.557768,0,1.89299,1.86,0.744153,1.94419,0.636016,1.16893,0,2.13208,1.86,0.5226,2.3295,0.675472,0.799989,0,1.46913,1.86,0.263534,1.31122,0.787693,0.391848,0,1.75689,1.86,0.254339,1.76004,0.801591,0.373218,0,2.2544,1.86,0.561602,2.53018,0.619323,0.88057,0,1.63308,1.86,0.200352,1.56538,0.773693,0.288753,0,1.55458,1.86,0.41394,1.39169,0.599909,0.641545,0,2.06436,1.86,0.187692,2.21443,0.703844,0.273305,0,1.59399,1.86,0.0195003,1.45808,0.623987,0.000459999,0,2.03089,1.86,0.450819,2.16308,0.605218,0.707276,0,1.86613,1.86,0.00671947,1.901,0.638206,-0.0193845,0,2.32872,1.86,0.0297033,2.64285,0.664263,0.0222314,0,2.05254,1.86,0.320117,2.20154,0.658189,0.485897,0,2.20544,1.86,0.00409237,2.44454,0.676712,-0.014772,0,2.56582,1.86,0.296387,3.04796,0.570473,0.449008,0,1.43124,1.86,0.391883,1.20045,0.636187,0.599506,0,
0.266672,1.94376,3.63425,0.265826,2.06045,3.47762,0.397064,2.46589,1.86,0.511535,2.84635,0.739714,0.779236,0,1.73806,1.86,0.423699,1.72436,0.787735,0.642444,0,2.43321,1.86,0.0976454,2.80242,0.705048,0.133409,0,2.43809,1.86,0.236978,2.81101,0.733114,0.350182,0,1.72995,1.86,0.118397,1.71973,0.829514,0.181849,0,2.01835,1.86,0.0405636,2.15978,0.927033,0.0736073,0,2.22455,1.86,0.235034,2.45257,0.908519,0.356467,0,2.40061,1.86,0.395568,2.75771,0.70646,0.602666,0,1.93709,1.86,0.568428,2.00615,0.517864,0.907859,0,2.18603,1.86,0.365373,2.41388,0.699499,0.555514,0,1.89299,1.86,0.744153,1.95929,0.728929,1.14511,0,2.13208,1.86,0.5226,2.32923,0.762242,0.788807,0,1.46913,1.86,0.263534,1.34204,0.867522,0.394617,0,1.75689,1.86,0.254339,1.77103,0.864556,0.378307,0,2.2544,1.86,0.561602,2.52124,0.762825,0.858452,0,1.63308,1.86,0.200352,1.58812,0.854565,0.297465,0,1.55458,1.86,0.41394,1.42354,0.693314,0.637331,0,2.06436,1.86,0.187692,2.21796,0.808996,0.28206,0,1.59399,1.86,0.0195003,1.48457,0.705945,0.0167024,0,2.03089,1.86,0.450819,2.16922,0.715958,0.698293,0,1.86613,1.86,0.00671947,1.91313,0.711529,-0.00679708,0,2.32872,1.86,0.0297033,2.63369,0.750787,0.0345436,0,2.05254,1.86,0.320117,2.20713,0.779497,0.482957,0,2.20544,1.86,0.00409237,2.44119,0.773243,-0.00322247,0,2.56582,1.86,0.296387,3.03625,0.624333,0.447567,0,1.43124,1.86,0.391883,1.25171,0.757684,0.595782,0,
0.300007,1.92506,3.63551,0.265835,2.06635,3.47745,0.396909,2.46589,1.86,0.511535,2.86055,0.793347,0.773917,0,1.73806,1.86,0.423699,1.7662,0.865477,0.630788,0,2.43321,1.86,0.0976454,2.81635,0.770965,0.141781,0,2.43809,1.86,0.236978,2.82447,0.790282,0.352828,0,1.72995,1.86,0.118397,1.7582,0.894257,0.184538,0,2.01835,1.86,0.0405636,2.18332,0.962426,0.0766774,0,2.22455,1.86,0.235034,2.47325,0.981311,0.355301,0,2.40061,1.86,0.395568,2.77006,0.780645,0.597743,0,1.93709,1.86,0.568428,2.03944,0.586245,0.891975,0,2.18603,1.86,0.365373,2.43625,0.763003,0.551097,0,1.89299,1.86,0.744153,1.99074,0.783795,1.12819,0,2.13208,1.86,0.5226,2.35305,0.817507,0.77908,0,1.46913,1.86,0.263534,1.39303,0.936419,0.390141,0,1.75689,1.86,0.254339,1.80838,0.923816,0.377191,0,2.2544,1.86,0.561602,2.53888,0.828719,0.846947,0,1.63308,1.86,0.200352,1.63112,0.920098,0.29649,0,1.55458,1.86,0.41394,1.4791,0.784676,0.625724,0,2.06436,1.86,0.187692,2.24335,0.866298,0.283147,0,1.59399,1.86,0.0195003,1.53213,0.777578,0.0239132,0,2.03089,1.86,0.450819,2.19704,0.789854,0.687003,0,1.86613,1.86,0.00671947,1.95076,0.794691,0.00169548,0,2.32872,1.86,0.0297033,2.64815,0.843451,0.0444343,0,2.05254,1.86,0.320117,2.23183,0.83515,0.4769,0,2.20544,1.86,0.00409237,2.46194,0.851152,0.00778767,0,2.56582,1.86,0.296387,3.0496,0.679044,0.44682,0,1.43124,1.86,0.391883,1.30167,0.822471,0.586247,0,
0.333341,1.89855,3.63756,0.266221,2.04823,3.478,0.397386,2.46589,1.86,0.511535,2.84468,0.866575,0.763434,0,1.73806,1.86,0.423699,1.78204,0.95551,0.624935,0,2.43321,1.86,0.0976454,2.80125,0.843562,0.147565,0,2.43809,1.86,0.236978,2.80981,0.859972,0.353755,0,1.72995,1.86,0.118397,1.77204,0.970957,0.19236,0,2.01835,1.86,0.0405636,2.18461,1.02466,0.0846907,0,2.22455,1.86,0.235034,2.46476,1.05996,0.355632,0,2.40061,1.86,0.395568,2.75582,0.851688,0.592803,0,1.93709,1.86,0.568428,2.04901,0.69556,0.87531,0,2.18603,1.86,0.365373,2.43069,0.840611,0.545601,0,1.89299,1.86,0.744153,1.99994,0.871734,1.1057,0,2.13208,1.86,0.5226,2.35,0.898965,0.767195,0,1.46913,1.86,0.263534,1.41992,1.01714,0.391998,0,1.75689,1.86,0.254339,1.82279,1.01031,0.376656,0,2.2544,1.86,0.561602,2.52975,0.911535,0.832686,0,1.63308,1.86,0.200352,1.6425,0.974494,0.299856,0,1.55458,1.86,0.41394,1.50295,0.870866,0.62108,0,2.06436,1.86,0.187692,2.24298,0.942467,0.287258,0,1.59399,1.86,0.0195003,1.55949,0.879779,0.0339502,0,2.03089,1.86,0.450819,2.20024,0.925839,0.672162,0,1.86613,1.86,0.00671947,1.96194,0.897534,0.0195082,0,2.32872,1.86,0.0297033,2.63351,0.93498,0.0565639,0,2.05254,1.86,0.320117,2.23232,0.918392,0.474224,0,2.20544,1.86,0.00409237,2.45397,0.940009,0.0243303,0,2.56582,1.86,0.296387,3.02583,0.770993,0.444963,0,1.43124,1.86,0.391883,1.33137,0.904177,0.582686,0,
0.366675,1.89855,3.63756,0.266221,2.02162,3.47905,0.398096,2.46589,1.86,0.511535,2.82035,0.915122,0.753979,0,1.73806,1.86,0.423699,1.78164,1.02655,0.616462,0,2.43321,1.86,0.0976454,2.77813,0.891476,0.151468,0,2.43809,1.86,0.236978,2.78343,0.92417,0.350137,0,1.72995,1.86,0.118397,1.76283,1.00151,0.196468,0,2.01835,1.86,0.0405636,2.17147,1.0627,0.0871882,0,2.22455,1.86,0.235034,2.44571,1.12243,0.357562,0,2.40061,1.86,0.395568,2.7272,0.942306,0.587379,0,1.93709,1.86,0.568428,2.04482,0.808774,0.860563,0,2.18603,1.86,0.365373,2.41331,0.908619,0.541016,0,1.89299,1.86,0.744153,1.99172,0.927316,1.09002,0,2.13208,1.86,0.5226,2.33432,0.954619,0.75845,0,1.46913,1.86,0.263534,1.42367,1.06942,0.393259,0,1.75689,1.86,0.254339,1.82067,1.07737,0.377903,0,2.2544,1.86,0.561602,2.51011,0.966045,0.820913,0,1.63308,1.86,0.200352,1.63694,1.00858,0.300562,0,1.55458,1.86,0.41394,1.5049,0.925269,0.615853,0,2.06436,1.86,0.187692,2.22941,0.997373,0.287201,0,1.59399,1.86,0.0195003,1.55721,0.92713,0.0398148,0,2.03089,1.86,0.450819,2.18652,0.997511,0.662033,0,1.86613,1.86,0.00671947,1.95833,0.985129,0.0342509,0,2.32872,1.86,0.0297033,2.61313,0.971418,0.0636016,0,2.05254,1.86,0.320117,2.22015,1.01656,0.468677,0,2.20544,1.86,0.00409237,2.43621,0.975949,0.0305293,0,2.56582,1.86,0.296387,2.99303,0.843639,0.442817,0,1.43124,1.86,0.391883,1.33882,0.962148,0.57886,0,
0.400009,1.88751,3.63861,0.266186,2.01078,3.47948,0.398385,2.46589,1.86,0.511535,2.81877,0.94839,0.746486,0,1.73806,1.86,0.423699,1.78927,1.04598,0.613787,0,2.43321,1.86,0.0976454,2.77524,0.940437,0.154022,0,2.43809,1.86,0.236978,2.77752,0.986141,0.352163,0,1.72995,1.86,0.118397,1.78172,1.06146,0.19648,0,2.01835,1.86,0.0405636,2.18048,1.12921,0.0952601,0,2.22455,1.86,0.235034,2.44642,1.17571,0.355583,0,2.40061,1.86,0.395568,2.72416,0.977871,0.57929,0,1.93709,1.86,0.568428,2.05467,0.876654,0.841527,0,2.18603,1.86,0.365373,2.4159,0.954208,0.536429,0,1.89299,1.86,0.744153,2.00602,1.00515,1.06229,0,2.13208,1.86,0.5226,2.33849,0.985447,0.752095,0,1.46913,1.86,0.263534,1.44228,1.10616,0.393076,0,1.75689,1.86,0.254339,1.83363,1.12184,0.376332,0,2.2544,1.86,0.561602,2.51039,1.02918,0.810418,0,1.63308,1.86,0.200352,1.65043,1.03835,0.298749,0,1.55458,1.86,0.41394,1.52262,0.965415,0.608499,0,2.06436,1.86,0.187692,2.2351,1.03226,0.287663,0,1.59399,1.86,0.0195003,1.57185,0.961136,0.0402234,0,2.03089,1.86,0.450819,2.19111,1.01837,0.661993,0,1.86613,1.86,0.00671947,1.969,1.0356,0.0396389,0,2.32872,1.86,0.0297033,2.61481,1.00488,0.0660388,0,2.05254,1.86,0.320117,2.22392,1.05152,0.464877,0,2.20544,1.86,0.00409237,2.43891,1.03508,0.0346398,0,2.56582,1.86,0.296387,2.98786,0.880966,0.438928,0,1.43124,1.86,0.391883,1.36916,1.0261,0.570885,0,
0.433343,1.86103,3.64066,0.266658,1.99508,3.48014,0.398805,2.46589,1.86,0.511535,2.81245,0.981377,0.744456,0,1.73806,1.86,0.423699,1.79298,1.06438,0.611893,0,2.43321,1.86,0.0976454,2.76749,0.980083,0.158636,0,2.43809,1.86,0.236978,2.76986,1.01889,0.35432,0,1.72995,1.86,0.118397,1.79341,1.12313,0.202273,0,2.01835,1.86,0.0405636,2.17851,1.14265,0.0984646,0,2.22455,1.86,0.235034,2.44247,1.21251,0.357811,0,2.40061,1.86,0.395568,2.71524,1.03426,0.57686,0,1.93709,1.86,0.568428,2.0589,0.93269,0.835437,0,2.18603,1.86,0.365373,2.41298,1.00854,0.534173,0,1.89299,1.86,0.744153,2.0083,1.04124,1.05544,0,2.13208,1.86,0.5226,2.33731,1.05098,0.748085,0,1.46913,1.86,0.263534,1.44909,1.12992,0.398732,0,1.75689,1.86,0.254339,1.83826,1.15199,0.379071,0,2.2544,1.86,0.561602,2.50458,1.08106,0.803231,0,1.63308,1.86,0.200352,1.65652,1.06249,0.3023,0,1.55458,1.86,0.41394,1.5389,1.01837,0.608327,0,2.06436,1.86,0.187692,2.23416,1.04749,0.286677,0,1.59399,1.86,0.0195003,1.58041,0.99,0.0478908,0,2.03089,1.86,0.450819,2.19278,1.05136,0.658996,0,1.86613,1.86,0.00671947,1.97201,1.06777,0.0469402,0,2.32872,1.86,0.0297033,2.61158,1.01625,0.0724922,0,2.05254,1.86,0.320117,2.22464,1.08916,0.46459,0,2.20544,1.86,0.00409237,2.43543,1.07334,0.0420034,0,2.56582,1.86,0.296387,2.98169,0.903062,0.438381,0,1.43124,1.86,0.391883,1.37937,1.0581,0.572892,0,
