time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,p35wx,p35wy,p35wz,p35wHatx,p35wHaty,p35wHatz,converged35,p36wx,p36wy,p36wz,p36wHatx,p36wHaty,p36wHatz,converged36,
0,2.36045,3.36367,0.26196,2.51406,3.29698,0.332213,2.43041,1.86,0.554802,2.67759,-0.217313,1.01663,0,2.40654,1.86,0.429761,2.6229,-0.253785,0.728459,0,1.86923,1.86,0.395223,1.38992,-0.144177,0.637186,0,1.85715,1.86,0.605375,1.37475,-0.106883,1.1096,0,1.994,1.86,0.653425,1.66145,-0.201626,1.24304,0,2.22941,1.86,0.628863,2.20143,-0.290445,1.20756,0,2.38077,1.86,0.118844,2.56081,-0.161595,0.00303224,0,2.63223,1.86,0.357453,3.15054,-0.224421,0.555845,0,1.96798,1.86,0.0628764,1.61124,-0.162004,-0.125752,0,2.54744,1.86,0.102233,2.94927,-0.202732,-0.039544,0,2.08157,1.86,0.547462,1.86909,-0.180574,0.992499,0,1.97836,1.86,0.511505,1.63459,-0.164114,0.906608,0,2.61054,1.86,0.584704,3.10277,-0.242558,1.09193,0,2.24455,1.86,0.270674,2.24694,-0.168603,0.352296,0,2.85504,1.86,0.148853,3.65222,-0.16323,0.0719344,0,2.36429,1.86,0.331981,2.52314,-0.251323,0.497446,0,2.84522,1.86,0.487533,3.64177,-0.200963,0.856959,0,2.11986,1.86,0.292909,1.95329,-0.20784,0.404351,0,1.97772,1.86,0.385565,1.61582,-0.232056,0.622309,0,1.95484,1.86,0.264104,1.58201,-0.158325,0.337139,0,1.78563,1.86,0.528031,1.20656,-0.123347,0.937434,0,1.7712,1.86,0.36492,1.17509,-0.119867,0.566172,0,2.48521,1.86,0.252841,2.80226,-0.17637,0.311149,0,2.59668,1.86,0.223935,3.06549,-0.21301,0.243451,0,1.75078,1.86,0.25576,1.12213,-0.136046,0.318058,0,2.76938,1.86,0.24152,3.47266,-0.22779,0.2843,0,2.68585,1.86,0.0606747,3.25251,-0.115346,-0.124571,0,2.53129,1.86,0.420171,2.91221,-0.207397,0.700931,0,2.83516,1.86,0.362846,3.58384,-0.0915985,0.559563,0,2.19758,1.86,0.0553508,2.13026,-0.246426,-0.154663,0,2.05239,1.86,0.14184,1.78991,-0.23765,0.049851,0,2.86635,1.86,0.675502,3.63649,-0.0391693,1.24973,0,1.86028,1.86,0.061975,1.36549,-0.156001,-0.127027,0,2.31786,1.86,0.531563,2.41443,-0.221089,0.962991,0,2.16394,1.86,0.173785,2.06083,-0.171228,0.128837,0,1.74491,1.86,0.104073,1.132,-0.0791659,-0.0222873,0,2.31059,1.86,0.0444741,2.39677,-0.240511,-0.179439,0,
0.0333341,2.34954,3.36339,0.261774,2.50244,3.29635,0.332433,2.43041,1.86,0.554802,2.68749,-0.0745368,0.983833,0,2.40654,1.86,0.429761,2.63837,-0.0520573,0.703243,0,1.86923,1.86,0.395223,1.4667,0.0234408,0.618455,0,1.85715,1.86,0.605375,1.42506,-0.00639534,1.08609,0,1.994,1.86,0.653425,1.73242,-0.00856829,1.18388,0,2.22941,1.86,0.628863,2.24,-0.118141,1.16257,0,2.38077,1.86,0.118844,2.57814,0.0396504,0.0205424,0,2.63223,1.86,0.357453,3.13643,-0.0254202,0.540479,0,1.96798,1.86,0.0628764,1.68419,0.0284362,-0.103407,0,2.54744,1.86,0.102233,2.94452,0.00889111,-0.0199823,0,2.08157,1.86,0.547462,1.92273,-0.00521564,0.956554,0,1.97836,1.86,0.511505,1.70529,0.0233395,0.870512,0,2.61054,1.86,0.584704,3.09365,-0.0651207,1.05086,0,2.24455,1.86,0.270674,2.29269,0.0892994,0.347901,0,2.85504,1.86,0.148853,3.61608,0.0141425,0.0823541,0,2.36429,1.86,0.331981,2.54208,-0.0711761,0.482117,0,2.84522,1.86,0.487533,3.60565,-0.0199945,0.824835,0,2.11986,1.86,0.292909,2.00367,-0.0183666,0.39652,0,1.97772,1.86,0.385565,1.68693,-0.0419006,0.604728,0,1.95484,1.86,0.264104,1.6543,0.0280457,0.332952,0,1.78563,1.86,0.528031,1.28093,0.0132804,0.909401,0,1.7712,1.86,0.36492,1.25063,0.0193312,0.553895,0,2.48521,1.86,0.252841,2.80408,0.0555174,0.309809,0,2.59668,1.86,0.223935,3.05551,-0.000756264,0.242904,0,1.75078,1.86,0.25576,1.19728,-0.00308943,0.315845,0,2.76938,1.86,0.24152,3.44584,-0.0512607,0.285074,0,2.68585,1.86,0.0606747,3.23351,0.066524,-0.100469,0,2.53129,1.86,0.420171,2.91065,-0.00409007,0.676877,0,2.83516,1.86,0.362846,3.54709,0.0931714,0.544545,0,2.19758,1.86,0.0553508,2.18761,0.0314157,-0.113347,0,2.05239,1.86,0.14184,1.84074,-0.0869699,0.0549868,0,2.86635,1.86,0.675502,3.60588,0.109015,1.20442,0,1.86028,1.86,0.061975,1.44694,0.0201721,-0.109495,0,2.31786,1.86,0.531563,2.4412,-0.0332587,0.926679,0,2.16394,1.86,0.173785,2.10916,0.0385435,0.138353,0,1.74491,1.86,0.104073,1.21041,0.061316,-0.0102691,0,2.31059,1.86,0.0444741,2.42801,-0.013355,-0.149574,0,
0.0666682,2.34954,3.36339,0.261774,2.49215,3.29585,0.332628,2.43041,1.86,0.554802,2.70016,0.138383,0.947148,0,2.40654,1.86,0.429761,2.65361,0.233575,0.672341,0,1.86923,1.86,0.395223,1.55594,0.22839,0.60559,0,1.85715,1.86,0.605375,1.51442,0.185728,1.04531,0,1.994,1.86,0.653425,1.80203,0.192391,1.13728,0,2.22941,1.86,0.628863,2.2893,0.156691,1.09623,0,2.38077,1.86,0.118844,2.59542,0.266387,0.0406264,0,2.63223,1.86,0.357453,3.11374,0.225484,0.523253,0,1.96798,1.86,0.0628764,1.76021,0.240539,-0.0641574,0,2.54744,1.86,0.102233,2.93578,0.251796,0.00548252,0,2.08157,1.86,0.547462,1.9865,0.218421,0.915127,0,1.97836,1.86,0.511505,1.78305,0.242963,0.837367,0,2.61054,1.86,0.584704,3.06483,0.282831,0.977926,0,2.24455,1.86,0.270674,2.33028,0.329094,0.347396,0,2.85504,1.86,0.148853,3.57127,0.215787,0.0938006,0,2.36429,1.86,0.331981,2.5636,0.162386,0.473576,0,2.84522,1.86,0.487533,3.55264,0.219533,0.786723,0,2.11986,1.86,0.292909,2.06559,0.226237,0.39674,0,1.97772,1.86,0.385565,1.77758,0.217877,0.584362,0,1.95484,1.86,0.264104,1.73615,0.249683,0.33786,0,1.78563,1.86,0.528031,1.3871,0.225208,0.876171,0,1.7712,1.86,0.36492,1.33898,0.188924,0.546433,0,2.48521,1.86,0.252841,2.80389,0.313021,0.311126,0,2.59668,1.86,0.223935,3.0327,0.299044,0.248909,0,1.75078,1.86,0.25576,1.29633,0.182344,0.320671,0,2.76938,1.86,0.24152,3.40492,0.185378,0.284516,0,2.68585,1.86,0.0606747,3.21078,0.264336,-0.0745095,0,2.53129,1.86,0.420171,2.90419,0.249235,0.651188,0,2.83516,1.86,0.362846,3.50433,0.294836,0.529737,0,2.19758,1.86,0.0553508,2.23571,0.289906,-0.0764828,0,2.05239,1.86,0.14184,1.91688,0.162435,0.0739832,0,2.86635,1.86,0.675502,3.55758,0.323463,1.14345,0,1.86028,1.86,0.061975,1.55833,0.276459,-0.0682297,0,2.31786,1.86,0.531563,2.47258,0.236499,0.877091,0,2.16394,1.86,0.173785,2.16151,0.276406,0.154065,0,1.74491,1.86,0.104073,1.3092,0.245293,0.012926,0,2.31059,1.86,0.0444741,2.45857,0.248226,-0.11102,0,
0.100002,2.32121,3.36262,0.262315,2.46405,3.29461,0.333167,2.43041,1.86,0.554802,2.68885,0.283591,0.916757,0,2.40654,1.86,0.429761,2.64216,0.389015,0.652023,0,1.86923,1.86,0.395223,1.58419,0.334794,0.592066,0,1.85715,1.86,0.605375,1.54856,0.301193,1.01482,0,1.994,1.86,0.653425,1.83659,0.346201,1.0887,0,2.22941,1.86,0.628863,2.29906,0.325014,1.05219,0,2.38077,1.86,0.118844,2.58858,0.428973,0.0552876,0,2.63223,1.86,0.357453,3.08159,0.369227,0.513302,0,1.96798,1.86,0.0628764,1.79247,0.380843,-0.0511676,0,2.54744,1.86,0.102233,2.91104,0.406711,0.0200866,0,2.08157,1.86,0.547462,2.00718,0.358073,0.884638,0,1.97836,1.86,0.511505,1.80839,0.366253,0.814002,0,2.61054,1.86,0.584704,3.03356,0.412786,0.946803,0,2.24455,1.86,0.270674,2.34192,0.526893,0.344449,0,2.85504,1.86,0.148853,3.52281,0.348922,0.102018,0,2.36429,1.86,0.331981,2.55748,0.305518,0.466117,0,2.84522,1.86,0.487533,3.50608,0.34304,0.766334,0,2.11986,1.86,0.292909,2.08792,0.392941,0.390305,0,1.97772,1.86,0.385565,1.81649,0.38676,0.567856,0,1.95484,1.86,0.264104,1.76731,0.384873,0.333547,0,1.78563,1.86,0.528031,1.4271,0.342973,0.851335,0,1.7712,1.86,0.36492,1.38145,0.306674,0.533145,0,2.48521,1.86,0.252841,2.7853,0.450806,0.311805,0,2.59668,1.86,0.223935,3.00121,0.439725,0.244795,0,1.75078,1.86,0.25576,1.34618,0.312809,0.316972,0,2.76938,1.86,0.24152,3.3598,0.332889,0.284667,0,2.68585,1.86,0.0606747,3.17137,0.434113,-0.051217,0,2.53129,1.86,0.420171,2.8807,0.40632,0.632704,0,2.83516,1.86,0.362846,3.4703,0.370784,0.526069,0,2.19758,1.86,0.0553508,2.24579,0.440725,-0.0574608,0,2.05239,1.86,0.14184,1.95008,0.340779,0.0874018,0,2.86635,1.86,0.675502,3.51144,0.440088,1.10744,0,1.86028,1.86,0.061975,1.60012,0.41846,-0.0519331,0,2.31786,1.86,0.531563,2.47129,0.396173,0.846657,0,2.16394,1.86,0.173785,2.17377,0.419719,0.157446,0,1.74491,1.86,0.104073,1.35114,0.359586,0.0207366,0,2.31059,1.86,0.0444741,2.45703,0.396286,-0.0904463,0,
0.133336,2.29399,3.36181,0.262794,2.44843,3.29393,0.333466,2.43041,1.86,0.554802,2.6897,0.401436,0.897461,0,2.40654,1.86,0.429761,2.64439,0.519622,0.638541,0,1.86923,1.86,0.395223,1.6305,0.449701,0.580825,0,1.85715,1.86,0.605375,1.59623,0.416829,0.989383,0,1.994,1.86,0.653425,1.87987,0.489087,1.052,0,2.22941,1.86,0.628863,2.31305,0.431652,1.02641,0,2.38077,1.86,0.118844,2.59329,0.572746,0.0689717,0,2.63223,1.86,0.357453,3.06308,0.515377,0.503098,0,1.96798,1.86,0.0628764,1.83498,0.513297,-0.033004,0,2.54744,1.86,0.102233,2.90118,0.536977,0.0329579,0,2.08157,1.86,0.547462,2.04045,0.494627,0.859855,0,1.97836,1.86,0.511505,1.84852,0.492052,0.792219,0,2.61054,1.86,0.584704,3.01052,0.618109,0.903512,0,2.24455,1.86,0.270674,2.36018,0.689228,0.342642,0,2.85504,1.86,0.148853,3.49057,0.47169,0.111386,0,2.36429,1.86,0.331981,2.56515,0.456301,0.45818,0,2.84522,1.86,0.487533,3.47328,0.472147,0.746209,0,2.11986,1.86,0.292909,2.12069,0.55099,0.385001,0,1.97772,1.86,0.385565,1.85999,0.529452,0.555177,0,1.95484,1.86,0.264104,1.81059,0.516095,0.332312,0,1.78563,1.86,0.528031,1.47868,0.455365,0.832463,0,1.7712,1.86,0.36492,1.4505,0.45555,0.531828,0,2.48521,1.86,0.252841,2.78035,0.603086,0.311166,0,2.59668,1.86,0.223935,2.98313,0.615314,0.254081,0,1.75078,1.86,0.25576,1.40996,0.44544,0.318423,0,2.76938,1.86,0.24152,3.3274,0.48513,0.286892,0,2.68585,1.86,0.0606747,3.14627,0.584628,-0.0303008,0,2.53129,1.86,0.420171,2.87191,0.537569,0.616787,0,2.83516,1.86,0.362846,3.44419,0.483921,0.517379,0,2.19758,1.86,0.0553508,2.26872,0.587721,-0.0386164,0,2.05239,1.86,0.14184,1.9839,0.475238,0.103801,0,2.86635,1.86,0.675502,3.47919,0.563595,1.0777,0,1.86028,1.86,0.061975,1.6473,0.540624,-0.040821,0,2.31786,1.86,0.531563,2.48362,0.557381,0.817958,0,2.16394,1.86,0.173785,2.19998,0.562181,0.166875,0,1.74491,1.86,0.104073,1.40111,0.462302,0.0294583,0,2.31059,1.86,0.0444741,2.46937,0.545684,-0.0699168,0,
0.16667,2.28275,3.36154,0.26263,2.43719,3.29336,0.33368,2.43041,1.86,0.554802,2.6933,0.664932,0.842533,0,2.40654,1.86,0.429761,2.65059,0.659741,0.622566,0,1.86923,1.86,0.395223,1.70324,0.628437,0.570548,0,1.85715,1.86,0.605375,1.6648,0.578983,0.956243,0,1.994,1.86,0.653425,1.95032,0.724998,1.00113,0,2.22941,1.86,0.628863,2.34488,0.634006,0.980022,0,2.38077,1.86,0.118844,2.60225,0.760918,0.0886536,0,2.63223,1.86,0.357453,3.04201,0.699394,0.493442,0,1.96798,1.86,0.0628764,1.9022,0.720255,0.00228658,0,2.54744,1.86,0.102233,2.89297,0.69585,0.0517328,0,2.08157,1.86,0.547462,2.09026,0.693577,0.82584,0,1.97836,1.86,0.511505,1.91037,0.68321,0.76613,0,2.61054,1.86,0.584704,2.99305,0.777715,0.871145,0,2.24455,1.86,0.270674,2.3792,0.827383,0.34496,0,2.85504,1.86,0.148853,3.45638,0.615267,0.122247,0,2.36429,1.86,0.331981,2.57642,0.639112,0.452684,0,2.84522,1.86,0.487533,3.43159,0.645576,0.721607,0,2.11986,1.86,0.292909,2.15779,0.716573,0.385244,0,1.97772,1.86,0.385565,1.91138,0.688063,0.547821,0,1.95484,1.86,0.264104,1.86142,0.661782,0.336569,0,1.78563,1.86,0.528031,1.55796,0.62502,0.807902,0,1.7712,1.86,0.36492,1.52888,0.623358,0.526364,0,2.48521,1.86,0.252841,2.77702,0.770187,0.314043,0,2.59668,1.86,0.223935,2.96632,0.785037,0.261347,0,1.75078,1.86,0.25576,1.50032,0.632217,0.325982,0,2.76938,1.86,0.24152,3.29378,0.654177,0.290287,0,2.68585,1.86,0.0606747,3.123,0.743872,-0.00938579,0,2.53129,1.86,0.420171,2.86089,0.748513,0.598246,0,2.83516,1.86,0.362846,3.4078,0.644211,0.5066,0,2.19758,1.86,0.0553508,2.30436,0.80767,-0.00541613,0,2.05239,1.86,0.14184,2.02994,0.641407,0.119782,0,2.86635,1.86,0.675502,3.42076,0.785801,1.01846,0,1.86028,1.86,0.061975,1.70731,0.683136,-0.0153355,0,2.31786,1.86,0.531563,2.50002,0.749706,0.787307,0,2.16394,1.86,0.173785,2.23209,0.724585,0.180097,0,1.74491,1.86,0.104073,1.48174,0.620943,0.0514313,0,2.31059,1.86,0.0444741,2.4834,0.680298,-0.0476761,0,
0.200004,2.28275,3.36154,0.26263,2.42646,3.29289,0.333885,2.43041,1.86,0.554802,2.69333,0.786592,0.816795,0,2.40654,1.86,0.429761,2.65537,0.825808,0.602365,0,1.86923,1.86,0.395223,1.75185,0.750208,0.559483,0,1.85715,1.86,0.605375,1.71234,0.691885,0.926785,0,1.994,1.86,0.653425,1.98917,0.855307,0.966295,0,2.22941,1.86,0.628863,2.36604,0.784924,0.944687,0,2.38077,1.86,0.118844,2.60741,0.872028,0.0982347,0,2.63223,1.86,0.357453,3.02563,0.83492,0.483074,0,1.96798,1.86,0.0628764,1.94142,0.842577,0.017695,0,2.54744,1.86,0.102233,2.88698,0.807739,0.0617355,0,2.08157,1.86,0.547462,2.12302,0.828393,0.800149,0,1.97836,1.86,0.511505,1.95115,0.811926,0.744617,0,2.61054,1.86,0.584704,2.98443,0.869933,0.848414,0,2.24455,1.86,0.270674,2.39837,0.968742,0.34344,0,2.85504,1.86,0.148853,3.4351,0.706637,0.128204,0,2.36429,1.86,0.331981,2.58373,0.759609,0.447049,0,2.84522,1.86,0.487533,3.40082,0.769539,0.701441,0,2.11986,1.86,0.292909,2.17758,0.805007,0.389221,0,1.97772,1.86,0.385565,1.95585,0.826745,0.534865,0,1.95484,1.86,0.264104,1.88832,0.736195,0.336959,0,1.78563,1.86,0.528031,1.61023,0.737833,0.787659,0,1.7712,1.86,0.36492,1.59375,0.761191,0.513172,0,2.48521,1.86,0.252841,2.77516,0.876368,0.312004,0,2.59668,1.86,0.223935,2.95545,0.901308,0.263205,0,1.75078,1.86,0.25576,1.56281,0.763714,0.32847,0,2.76938,1.86,0.24152,3.27223,0.763763,0.289968,0,2.68585,1.86,0.0606747,3.11079,0.832092,-0.00117889,0,2.53129,1.86,0.420171,2.85103,0.900526,0.58105,0,2.83516,1.86,0.362846,3.39229,0.713865,0.49958,0,2.19758,1.86,0.0553508,2.32642,0.952507,0.0139821,0,2.05239,1.86,0.14184,2.06971,0.790586,0.130503,0,2.86635,1.86,0.675502,3.38573,0.912615,0.981994,0,1.86028,1.86,0.061975,1.76336,0.821982,0.00788078,0,2.31786,1.86,0.531563,2.50981,0.861696,0.765308,0,2.16394,1.86,0.173785,2.25858,0.863136,0.18972,0,1.74491,1.86,0.104073,1.53624,0.730843,0.0626801,0,2.31059,1.86,0.0444741,2.49448,0.777046,-0.0347978,0,
0.233338,2.25438,3.36069,0.263147,2.39826,3.29162,0.334424,2.43041,1.86,0.554802,2.67727,0.873439,0.799883,0,2.40654,1.86,0.429761,2.63879,0.946683,0.587601,0,1.86923,1.86,0.395223,1.78091,0.869771,0.548076,0,1.85715,1.86,0.605375,1.7387,0.798996,0.901973,0,1.994,1.86,0.653425,1.99616,0.934703,0.944285,0,2.22941,1.86,0.628863,2.36004,0.866991,0.922241,0,2.38077,1.86,0.118844,2.59439,0.994581,0.108587,0,2.63223,1.86,0.357453,2.99385,0.943763,0.474844,0,1.96798,1.86,0.0628764,1.95924,0.95424,0.0294796,0,2.54744,1.86,0.102233,2.86097,0.929165,0.0733959,0,2.08157,1.86,0.547462,2.12883,0.924982,0.779446,0,1.97836,1.86,0.511505,1.9629,0.904406,0.728554,0,2.61054,1.86,0.584704,2.95624,0.974553,0.82517,0,2.24455,1.86,0.270674,2.39479,1.09106,0.34079,0,2.85504,1.86,0.148853,3.39624,0.794708,0.135315,0,2.36429,1.86,0.331981,2.57199,0.868264,0.440537,0,2.84522,1.86,0.487533,3.34503,0.913089,0.681012,0,2.11986,1.86,0.292909,2.19003,0.942497,0.380522,0,1.97772,1.86,0.385565,1.96761,0.921448,0.528553,0,1.95484,1.86,0.264104,1.90861,0.844047,0.336006,0,1.78563,1.86,0.528031,1.64237,0.846614,0.765831,0,1.7712,1.86,0.36492,1.6303,0.88085,0.502208,0,2.48521,1.86,0.252841,2.75561,0.969759,0.312126,0,2.59668,1.86,0.223935,2.92211,1.04084,0.265259,0,1.75078,1.86,0.25576,1.59961,0.879731,0.324505,0,2.76938,1.86,0.24152,3.24055,0.8358,0.290195,0,2.68585,1.86,0.0606747,3.07594,0.947841,0.0137969,0,2.53129,1.86,0.420171,2.82778,0.985727,0.571031,0,2.83516,1.86,0.362846,3.35516,0.803217,0.492977,0,2.19758,1.86,0.0553508,2.32656,1.07279,0.029743,0,2.05239,1.86,0.14184,2.08462,0.921019,0.139481,0,2.86635,1.86,0.675502,3.33221,1.04087,0.947855,0,1.86028,1.86,0.061975,1.78726,0.928075,0.0197519,0,2.31786,1.86,0.531563,2.50045,0.956415,0.746072,0,2.16394,1.86,0.173785,2.26492,1.00201,0.195357,0,1.74491,1.86,0.104073,1.56915,0.835222,0.0702934,0,2.31059,1.86,0.0444741,2.48789,0.895254,-0.0191305,0,
0.266672,2.25438,3.36069,0.263147,2.38256,3.29092,0.334725,2.43041,1.86,0.554802,2.67377,0.990357,0.778099,0,2.40654,1.86,0.429761,2.63542,1.05841,0.576226,0,1.86923,1.86,0.395223,1.82543,1.00278,0.540743,0,1.85715,1.86,0.605375,1.78123,0.922293,0.881319,0,1.994,1.86,0.653425,2.03317,1.07841,0.910195,0,2.22941,1.86,0.628863,2.37312,0.995971,0.894001,0,2.38077,1.86,0.118844,2.59264,1.11604,0.121906,0,2.63223,1.86,0.357453,2.97574,1.04797,0.46929,0,1.96798,1.86,0.0628764,1.99068,1.07221,0.0497791,0,2.54744,1.86,0.102233,2.84936,1.02346,0.0861348,0,2.08157,1.86,0.547462,2.15197,1.04428,0.760887,0,1.97836,1.86,0.511505,1.99369,1.02037,0.713307,0,2.61054,1.86,0.584704,2.93654,1.0989,0.799945,0,2.24455,1.86,0.270674,2.40219,1.20034,0.343655,0,2.85504,1.86,0.148853,3.36669,0.893839,0.142995,0,2.36429,1.86,0.331981,2.57241,1.00853,0.431331,0,2.84522,1.86,0.487533,3.30406,1.04304,0.661945,0,2.11986,1.86,0.292909,2.20617,1.04933,0.385365,0,1.97772,1.86,0.385565,2.00151,1.04917,0.518838,0,1.95484,1.86,0.264104,1.932,0.928134,0.338554,0,1.78563,1.86,0.528031,1.68685,0.958645,0.750046,0,1.7712,1.86,0.36492,1.67811,1.00107,0.501368,0,2.48521,1.86,0.252841,2.74797,1.07245,0.313757,0,2.59668,1.86,0.223935,2.90338,1.15476,0.267824,0,1.75078,1.86,0.25576,1.63783,0.972149,0.330677,0,2.76938,1.86,0.24152,3.21527,0.940461,0.292731,0,2.68585,1.86,0.0606747,3.05478,1.04903,0.0275722,0,2.53129,1.86,0.420171,2.81728,1.08748,0.562339,0,2.83516,1.86,0.362846,3.3266,0.903357,0.486438,0,2.19758,1.86,0.0553508,2.33676,1.17486,0.0466482,0,2.05239,1.86,0.14184,2.10748,1.03266,0.15091,0,2.86635,1.86,0.675502,3.29541,1.15236,0.916637,0,1.86028,1.86,0.061975,1.82346,1.03371,0.038443,0,2.31786,1.86,0.531563,2.50607,1.129,0.716906,0,2.16394,1.86,0.173785,2.27925,1.11836,0.206963,0,1.74491,1.86,0.104073,1.59496,0.896626,0.0814544,0,2.31059,1.86,0.0444741,2.48861,0.953114,-0.00552329,0,
0.300007,2.22566,3.35984,0.263615,2.3701,3.29038,0.334964,2.43041,1.86,0.554802,2.67224,1.07305,0.762069,0,2.40654,1.86,0.429761,2.63502,1.13301,0.568816,0,1.86923,1.86,0.395223,1.85627,1.09101,0.533437,0,1.85715,1.86,0.605375,1.80939,0.998093,0.864263,0,1.994,1.86,0.653425,2.05279,1.15521,0.891892,0,2.22941,1.86,0.628863,2.38226,1.08056,0.873316,0,2.38077,1.86,0.118844,2.593,1.20088,0.130007,0,2.63223,1.86,0.357453,2.96169,1.14036,0.465137,0,1.96798,1.86,0.0628764,2.01505,1.158,0.0597977,0,2.54744,1.86,0.102233,2.84083,1.11573,0.0975902,0,2.08157,1.86,0.547462,2.16733,1.11697,0.746248,0,1.97836,1.86,0.511505,2.01193,1.08455,0.702523,0,2.61054,1.86,0.584704,2.92812,1.1574,0.789084,0,2.24455,1.86,0.270674,2.40969,1.28069,0.343156,0,2.85504,1.86,0.148853,3.34083,0.98604,0.150951,0,2.36429,1.86,0.331981,2.57355,1.09134,0.427114,0,2.84522,1.86,0.487533,3.27714,1.13435,0.650086,0,2.11986,1.86,0.292909,2.21902,1.11712,0.384953,0,1.97772,1.86,0.385565,2.02493,1.13485,0.511715,0,1.95484,1.86,0.264104,1.95821,1.0111,0.336832,0,1.78563,1.86,0.528031,1.72226,1.04306,0.734904,0,1.7712,1.86,0.36492,1.71459,1.08686,0.494965,0,2.48521,1.86,0.252841,2.74421,1.14442,0.315059,0,2.59668,1.86,0.223935,2.89128,1.24244,0.272619,0,1.75078,1.86,0.25576,1.66553,1.03261,0.329602,0,2.76938,1.86,0.24152,3.19438,1.03026,0.295774,0,2.68585,1.86,0.0606747,3.0379,1.14111,0.040581,0,2.53129,1.86,0.420171,2.81001,1.17178,0.554855,0,2.83516,1.86,0.362846,3.30159,0.996728,0.482822,0,2.19758,1.86,0.0553508,2.34597,1.24519,0.055287,0,2.05239,1.86,0.14184,2.13464,1.15508,0.161707,0,2.86635,1.86,0.675502,3.27183,1.23056,0.897022,0,1.86028,1.86,0.061975,1.85349,1.11588,0.0491458,0,2.31786,1.86,0.531563,2.50913,1.24158,0.699158,0,2.16394,1.86,0.173785,2.29169,1.20081,0.210775,0,1.74491,1.86,0.104073,1.64243,0.997469,0.092842,0,2.31059,1.86,0.0444741,2.49737,1.09228,0.0184343,0,
