time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,-7.67512,-0.472845,0.324895,-7.4097,-0.594908,0.472061,-6.16,-0.134909,0.17307,-3.87393,0.19372,0.117753,0,-6.16,-0.787065,0.508029,-3.88764,-1.32534,0.897774,0,-6.16,-0.754751,0.38799,-3.8805,-1.25156,0.619027,0,-6.16,-0.997377,0.353065,-4.02469,-1.76679,0.534997,0,-6.16,-0.904576,0.385625,-3.95704,-1.57874,0.610451,0,-6.16,-0.640993,0.122935,-3.76305,-0.999611,-0.0140257,0,-6.16,-0.904059,0.120789,-3.8521,-1.60742,-0.00719276,0,-6.16,-0.644416,0.255283,-3.85716,-0.997194,0.30884,0,-6.16,-1.03175,0.467513,-3.91585,-1.88373,0.800935,0,-6.16,-1.05973,0.717742,-4.03414,-1.90244,1.34729,0,-6.16,-0.165973,0.30283,-3.82056,0.132037,0.419792,0,-6.16,-0.672141,0.537609,-3.82303,-1.06669,0.975608,0,-6.16,-0.769001,0.136806,-3.73585,-1.31303,0.0159837,0,-6.16,-0.928459,0.230041,-3.89671,-1.6513,0.252129,0,-6.16,-0.716678,0.741297,-3.94933,-1.15179,1.42308,0,-6.16,-1.05851,0.575201,-3.9742,-1.92288,1.03962,0,-6.16,-0.319894,0.348127,-3.8691,-0.237486,0.526349,0,-6.16,-1.04286,0.247946,-3.96235,-1.89186,0.296979,0,-6.16,-0.359898,0.223536,-3.70491,-0.318729,0.224216,0,-6.16,-0.419911,0.384456,-3.87559,-0.471436,0.61099,0,-6.16,-0.756407,0.611768,-3.90311,-1.25118,1.136,0,-6.16,-0.475515,0.188395,-3.88377,-0.601122,0.154401,0,-6.16,-0.260247,0.656637,-3.8696,-0.0981702,1.24718,0,
0.0333341,-7.67512,-0.472845,0.324895,-7.40875,-0.606203,0.471697,-6.16,-0.134909,0.17307,-4.06078,0.176397,0.133343,0,-6.16,-0.787065,0.508029,-4.08161,-1.25862,0.870505,0,-6.16,-0.754751,0.38799,-4.08895,-1.18744,0.605265,0,-6.16,-0.997377,0.353065,-4.18573,-1.68676,0.526044,0,-6.16,-0.904576,0.385625,-4.13291,-1.50467,0.59951,0,-6.16,-0.640993,0.122935,-4.04115,-0.939256,0.0187251,0,-6.16,-0.904059,0.120789,-4.04746,-1.52612,0.013952,0,-6.16,-0.644416,0.255283,-4.1054,-0.940818,0.318085,0,-6.16,-1.03175,0.467513,-4.106,-1.78358,0.781535,0,-6.16,-1.05973,0.717742,-4.16805,-1.82672,1.3063,0,-6.16,-0.165973,0.30283,-4.00859,0.118601,0.417077,0,-6.16,-0.672141,0.537609,-4.11098,-0.996555,0.932895,0,-6.16,-0.769001,0.136806,-3.923,-1.24862,0.0350442,0,-6.16,-0.928459,0.230041,-4.08834,-1.56828,0.25904,0,-6.16,-0.716678,0.741297,-4.14528,-1.09426,1.36562,0,-6.16,-1.05851,0.575201,-4.12016,-1.84117,1.01047,0,-6.16,-0.319894,0.348127,-4.11391,-0.23412,0.517552,0,-6.16,-1.04286,0.247946,-4.13424,-1.80072,0.302491,0,-6.16,-0.359898,0.223536,-3.95486,-0.309394,0.236693,0,-6.16,-0.419911,0.384456,-4.19018,-0.45502,0.588733,0,-6.16,-0.756407,0.611768,-4.13184,-1.18014,1.09474,0,-6.16,-0.475515,0.188395,-4.10932,-0.575197,0.169454,0,-6.16,-0.260247,0.656637,-4.14042,-0.105898,1.19141,0,
0.0666681,-7.67563,-0.482905,0.324407,-7.40803,-0.616108,0.47138,-6.16,-0.134909,0.17307,-4.28737,0.146759,0.153382,0,-6.16,-0.787065,0.508029,-4.31773,-1.18855,0.842107,0,-6.16,-0.754751,0.38799,-4.3555,-1.11572,0.595958,0,-6.16,-0.997377,0.353065,-4.38169,-1.59804,0.524592,0,-6.16,-0.904576,0.385625,-4.33634,-1.42641,0.59238,0,-6.16,-0.640993,0.122935,-4.30625,-0.889987,0.0548926,0,-6.16,-0.904059,0.120789,-4.19435,-1.46855,0.0356263,0,-6.16,-0.644416,0.255283,-4.33319,-0.896918,0.329276,0,-6.16,-1.03175,0.467513,-4.38051,-1.65703,0.756673,0,-6.16,-1.05973,0.717742,-4.28462,-1.76608,1.2801,0,-6.16,-0.165973,0.30283,-4.2372,0.0933334,0.420303,0,-6.16,-0.672141,0.537609,-4.31528,-0.954033,0.90437,0,-6.16,-0.769001,0.136806,-4.2281,-1.1633,0.07228,0,-6.16,-0.928459,0.230041,-4.25894,-1.49932,0.274432,0,-6.16,-0.716678,0.741297,-4.4187,-1.02732,1.29397,0,-6.16,-1.05851,0.575201,-4.31266,-1.74453,0.980066,0,-6.16,-0.319894,0.348127,-4.36414,-0.240112,0.513692,0,-6.16,-1.04286,0.247946,-4.39806,-1.67578,0.319473,0,-6.16,-0.359898,0.223536,-4.16358,-0.3076,0.250851,0,-6.16,-0.419911,0.384456,-4.45554,-0.446058,0.578758,0,-6.16,-0.756407,0.611768,-4.38597,-1.11177,1.04689,0,-6.16,-0.475515,0.188395,-4.35119,-0.555349,0.191066,0,-6.16,-0.260247,0.656637,-4.38848,-0.121639,1.13456,0,
0.100002,-7.67524,-0.510531,0.324143,-7.40692,-0.631164,0.470899,-6.16,-0.134909,0.17307,-4.49528,0.112051,0.177098,0,-6.16,-0.787065,0.508029,-4.52266,-1.13506,0.817265,0,-6.16,-0.754751,0.38799,-4.55344,-1.06949,0.587246,0,-6.16,-0.997377,0.353065,-4.52026,-1.54135,0.5175,0,-6.16,-0.904576,0.385625,-4.49955,-1.36973,0.585965,0,-6.16,-0.640993,0.122935,-4.50982,-0.857865,0.085022,0,-6.16,-0.904059,0.120789,-4.38929,-1.3979,0.0626399,0,-6.16,-0.644416,0.255283,-4.56762,-0.858575,0.341072,0,-6.16,-1.03175,0.467513,-4.56942,-1.57743,0.739695,0,-6.16,-1.05973,0.717742,-4.40456,-1.70732,1.24668,0,-6.16,-0.165973,0.30283,-4.44988,0.0621214,0.424225,0,-6.16,-0.672141,0.537609,-4.48788,-0.921738,0.880771,0,-6.16,-0.769001,0.136806,-4.49899,-1.09819,0.104351,0,-6.16,-0.928459,0.230041,-4.46113,-1.42417,0.286661,0,-6.16,-0.716678,0.741297,-4.60144,-0.989478,1.24435,0,-6.16,-1.05851,0.575201,-4.4925,-1.66203,0.951307,0,-6.16,-0.319894,0.348127,-4.5846,-0.252086,0.511125,0,-6.16,-1.04286,0.247946,-4.61069,-1.58403,0.329752,0,-6.16,-0.359898,0.223536,-4.35577,-0.311316,0.258675,0,-6.16,-0.419911,0.384456,-4.665,-0.444413,0.570622,0,-6.16,-0.756407,0.611768,-4.60625,-1.05979,1.00607,0,-6.16,-0.475515,0.188395,-4.556,-0.545104,0.209181,0,-6.16,-0.260247,0.656637,-4.59969,-0.140996,1.08888,0,
0.133336,-7.67524,-0.510531,0.324143,-7.40616,-0.643596,0.470505,-6.16,-0.134909,0.17307,-4.71416,0.0750379,0.197825,0,-6.16,-0.787065,0.508029,-4.67554,-1.09586,0.806026,0,-6.16,-0.754751,0.38799,-4.73331,-1.02635,0.581213,0,-6.16,-0.997377,0.353065,-4.6308,-1.4944,0.522369,0,-6.16,-0.904576,0.385625,-4.67819,-1.30691,0.579721,0,-6.16,-0.640993,0.122935,-4.67049,-0.831442,0.105051,0,-6.16,-0.904059,0.120789,-4.569,-1.33512,0.0890117,0,-6.16,-0.644416,0.255283,-4.7437,-0.830535,0.350471,0,-6.16,-1.03175,0.467513,-4.70781,-1.51762,0.728114,0,-6.16,-1.05973,0.717742,-4.57392,-1.62693,1.20792,0,-6.16,-0.165973,0.30283,-4.62299,0.0367736,0.4264,0,-6.16,-0.672141,0.537609,-4.66485,-0.887964,0.854428,0,-6.16,-0.769001,0.136806,-4.67736,-1.05554,0.130034,0,-6.16,-0.928459,0.230041,-4.62051,-1.36632,0.298084,0,-6.16,-0.716678,0.741297,-4.76139,-0.954374,1.20114,0,-6.16,-1.05851,0.575201,-4.63234,-1.59788,0.929099,0,-6.16,-0.319894,0.348127,-4.77266,-0.262184,0.508937,0,-6.16,-1.04286,0.247946,-4.76123,-1.51866,0.339604,0,-6.16,-0.359898,0.223536,-4.50752,-0.313861,0.276839,0,-6.16,-0.419911,0.384456,-4.82573,-0.442489,0.561819,0,-6.16,-0.756407,0.611768,-4.79621,-1.01484,0.968914,0,-6.16,-0.475515,0.188395,-4.72772,-0.53598,0.226266,0,-6.16,-0.260247,0.656637,-4.7775,-0.156844,1.05041,0,
0.16667,-7.67509,-0.536857,0.323881,-7.40458,-0.670183,0.469664,-6.16,-0.134909,0.17307,-4.81876,0.0410244,0.208995,0,-6.16,-0.787065,0.508029,-4.78996,-1.07975,0.791034,0,-6.16,-0.754751,0.38799,-4.87122,-1.00882,0.57652,0,-6.16,-0.997377,0.353065,-4.72409,-1.46864,0.521531,0,-6.16,-0.904576,0.385625,-4.78967,-1.28374,0.577032,0,-6.16,-0.640993,0.122935,-4.76094,-0.831338,0.115214,0,-6.16,-0.904059,0.120789,-4.6967,-1.30592,0.108051,0,-6.16,-0.644416,0.255283,-4.84544,-0.828921,0.35489,0,-6.16,-1.03175,0.467513,-4.79963,-1.49189,0.719341,0,-6.16,-1.05973,0.717742,-4.67189,-1.5973,1.1851,0,-6.16,-0.165973,0.30283,-4.72436,0.00682968,0.42785,0,-6.16,-0.672141,0.537609,-4.79342,-0.879356,0.83731,0,-6.16,-0.769001,0.136806,-4.8263,-1.03407,0.150862,0,-6.16,-0.928459,0.230041,-4.71493,-1.34688,0.30732,0,-6.16,-0.716678,0.741297,-4.9155,-0.936718,1.16178,0,-6.16,-1.05851,0.575201,-4.75839,-1.55441,0.90821,0,-6.16,-0.319894,0.348127,-4.89792,-0.284238,0.506977,0,-6.16,-1.04286,0.247946,-4.83403,-1.50155,0.339397,0,-6.16,-0.359898,0.223536,-4.63549,-0.330376,0.284333,0,-6.16,-0.419911,0.384456,-4.95178,-0.455583,0.558133,0,-6.16,-0.756407,0.611768,-4.91756,-1.00147,0.946803,0,-6.16,-0.475515,0.188395,-4.84007,-0.545038,0.235457,0,-6.16,-0.260247,0.656637,-4.86216,-0.179753,1.03233,0,
0.200004,-7.67572,-0.54723,0.323405,-7.404,-0.680445,0.46934,-6.16,-0.134909,0.17307,-4.95306,0.0224308,0.216473,0,-6.16,-0.787065,0.508029,-4.89782,-1.04724,0.772146,0,-6.16,-0.754751,0.38799,-5.00751,-0.974129,0.564223,0,-6.16,-0.997377,0.353065,-4.84086,-1.41553,0.512642,0,-6.16,-0.904576,0.385625,-4.92178,-1.23482,0.56406,0,-6.16,-0.640993,0.122935,-4.857,-0.810536,0.124599,0,-6.16,-0.904059,0.120789,-4.83402,-1.25553,0.119664,0,-6.16,-0.644416,0.255283,-4.96519,-0.805249,0.355485,0,-6.16,-1.03175,0.467513,-4.92574,-1.43266,0.702095,0,-6.16,-1.05973,0.717742,-4.76136,-1.5499,1.15318,0,-6.16,-0.165973,0.30283,-4.84602,-0.00637466,0.424662,0,-6.16,-0.672141,0.537609,-4.915,-0.854005,0.812834,0,-6.16,-0.769001,0.136806,-4.9669,-0.997341,0.162571,0,-6.16,-0.928459,0.230041,-4.88241,-1.2827,0.310231,0,-6.16,-0.716678,0.741297,-5.03056,-0.909371,1.12293,0,-6.16,-1.05851,0.575201,-4.87209,-1.49918,0.882051,0,-6.16,-0.319894,0.348127,-5.02022,-0.287549,0.499602,0,-6.16,-1.04286,0.247946,-4.92109,-1.45753,0.339638,0,-6.16,-0.359898,0.223536,-4.77058,-0.329413,0.288105,0,-6.16,-0.419911,0.384456,-5.06326,-0.450974,0.549526,0,-6.16,-0.756407,0.611768,-4.982,-0.982832,0.92661,0,-6.16,-0.475515,0.188395,-4.97916,-0.534649,0.242459,0,-6.16,-0.260247,0.656637,-4.95627,-0.18279,1.00692,0,
0.233338,-7.67582,-0.573928,0.32313,-7.40313,-0.695949,0.46885,-6.16,-0.134909,0.17307,-5.04668,0.00272387,0.225078,0,-6.16,-0.787065,0.508029,-5.00933,-1.02156,0.757347,0,-6.16,-0.754751,0.38799,-5.13172,-0.950104,0.556427,0,-6.16,-0.997377,0.353065,-4.96524,-1.36884,0.50747,0,-6.16,-0.904576,0.385625,-5.03923,-1.19945,0.55655,0,-6.16,-0.640993,0.122935,-5.00504,-0.791004,0.140143,0,-6.16,-0.904059,0.120789,-4.95545,-1.21882,0.13292,0,-6.16,-0.644416,0.255283,-5.127,-0.785498,0.357846,0,-6.16,-1.03175,0.467513,-5.03333,-1.3909,0.689012,0,-6.16,-1.05973,0.717742,-4.84523,-1.51339,1.12673,0,-6.16,-0.165973,0.30283,-4.95951,-0.0269507,0.424241,0,-6.16,-0.672141,0.537609,-5.04655,-0.834852,0.791007,0,-6.16,-0.769001,0.136806,-5.09356,-0.971862,0.175419,0,-6.16,-0.928459,0.230041,-5.02084,-1.23945,0.316821,0,-6.16,-0.716678,0.741297,-5.13362,-0.891312,1.09254,0,-6.16,-1.05851,0.575201,-4.97378,-1.45692,0.861667,0,-6.16,-0.319894,0.348127,-5.13477,-0.298007,0.495946,0,-6.16,-1.04286,0.247946,-5.02572,-1.41478,0.341197,0,-6.16,-0.359898,0.223536,-4.87519,-0.335908,0.291162,0,-6.16,-0.419911,0.384456,-5.19922,-0.454029,0.545366,0,-6.16,-0.756407,0.611768,-5.03182,-0.971979,0.917075,0,-6.16,-0.475515,0.188395,-5.11129,-0.53344,0.251734,0,-6.16,-0.260247,0.656637,-5.11405,-0.201319,0.971908,0,
0.266672,-7.6765,-0.584703,0.322656,-7.40264,-0.70703,0.468504,-6.16,-0.134909,0.17307,-5.13503,-0.0107429,0.235375,0,-6.16,-0.787065,0.508029,-5.10319,-0.996614,0.747335,0,-6.16,-0.754751,0.38799,-5.17881,-0.938153,0.556508,0,-6.16,-0.997377,0.353065,-5.09338,-1.31772,0.509216,0,-6.16,-0.904576,0.385625,-5.1548,-1.1606,0.555339,0,-6.16,-0.640993,0.122935,-5.06751,-0.780555,0.14953,0,-6.16,-0.904059,0.120789,-5.07365,-1.17869,0.150645,0,-6.16,-0.644416,0.255283,-5.21268,-0.772475,0.362302,0,-6.16,-1.03175,0.467513,-5.10159,-1.36051,0.68444,0,-6.16,-1.05973,0.717742,-4.93734,-1.46892,1.10551,0,-6.16,-0.165973,0.30283,-5.04821,-0.0390294,0.426227,0,-6.16,-0.672141,0.537609,-5.15615,-0.815596,0.77654,0,-6.16,-0.769001,0.136806,-5.17526,-0.951632,0.186848,0,-6.16,-0.928459,0.230041,-5.10916,-1.20802,0.324404,0,-6.16,-0.716678,0.741297,-5.21505,-0.873188,1.07071,0,-6.16,-1.05851,0.575201,-5.04598,-1.42283,0.850493,0,-6.16,-0.319894,0.348127,-5.21784,-0.301878,0.494502,0,-6.16,-1.04286,0.247946,-5.11868,-1.37323,0.348293,0,-6.16,-0.359898,0.223536,-4.96465,-0.336294,0.297787,0,-6.16,-0.419911,0.384456,-5.28054,-0.453327,0.542864,0,-6.16,-0.756407,0.611768,-5.09676,-0.952802,0.905311,0,-6.16,-0.475515,0.188395,-5.19116,-0.52922,0.259557,0,-6.16,-0.260247,0.656637,-5.21329,-0.211365,0.950595,0,
0.300007,-7.67655,-0.611861,0.322373,-7.40212,-0.717649,0.46817,-6.16,-0.134909,0.17307,-5.21094,-0.0217922,0.245077,0,-6.16,-0.787065,0.508029,-5.1804,-0.975082,0.738389,0,-6.16,-0.754751,0.38799,-5.2341,-0.921402,0.555451,0,-6.16,-0.997377,0.353065,-5.21823,-1.26903,0.506826,0,-6.16,-0.904576,0.385625,-5.24066,-1.13123,0.55181,0,-6.16,-0.640993,0.122935,-5.13521,-0.766513,0.158048,0,-6.16,-0.904059,0.120789,-5.15888,-1.14932,0.16543,0,-6.16,-0.644416,0.255283,-5.28271,-0.759741,0.369968,0,-6.16,-1.03175,0.467513,-5.18837,-1.32143,0.678044,0,-6.16,-1.05973,0.717742,-5.02445,-1.42748,1.08417,0,-6.16,-0.165973,0.30283,-5.11854,-0.0471439,0.427009,0,-6.16,-0.672141,0.537609,-5.23658,-0.800488,0.767994,0,-6.16,-0.769001,0.136806,-5.27324,-0.927031,0.199014,0,-6.16,-0.928459,0.230041,-5.18364,-1.17975,0.330672,0,-6.16,-0.716678,0.741297,-5.29339,-0.855114,1.05041,0,-6.16,-1.05851,0.575201,-5.11603,-1.38884,0.841968,0,-6.16,-0.319894,0.348127,-5.27968,-0.302967,0.494101,0,-6.16,-1.04286,0.247946,-5.1684,-1.34968,0.354282,0,-6.16,-0.359898,0.223536,-5.08487,-0.338493,0.304866,0,-6.16,-0.419911,0.384456,-5.3494,-0.450758,0.540071,0,-6.16,-0.756407,0.611768,-5.15738,-0.935102,0.893458,0,-6.16,-0.475515,0.188395,-5.26024,-0.523705,0.265595,0,-6.16,-0.260247,0.656637,-5.29862,-0.218217,0.933154,0,
