time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,
0,7.62791,0.514451,0.167875,7.62736,0.503554,0.167513,6.16,0.709021,0.400077,3.89083,0.998827,0.758577,0,6.16,0.808225,0.355535,3.8766,1.2542,0.647017,0,6.16,0.616092,0.347287,3.78223,0.769799,0.637476,0,6.16,0.563577,0.214011,3.82253,0.630888,0.287096,0,6.16,1.09479,0.0836381,3.98483,1.94362,-0.0415169,0,6.16,0.671231,0.660236,4.02569,0.888229,1.37557,0,6.16,0.87067,0.161009,3.82984,1.4251,0.149749,0,6.16,0.157784,0.571018,4.02047,-0.372837,1.1581,0,6.16,1.05072,0.498526,4.08314,1.79835,0.96586,0,6.16,0.597505,0.543,3.88806,0.715121,1.12309,0,6.16,0.897881,0.618939,4.08845,1.42795,1.25496,0,6.16,0.457446,0.141468,3.78461,0.354323,0.0983833,0,6.16,0.894576,0.434746,3.96036,1.45315,0.834186,0,6.16,0.187072,0.398875,3.90927,-0.325671,0.752616,0,6.16,1.23072,0.409708,4.17466,2.18832,0.736335,0,6.16,0.74876,0.578969,3.90439,1.09782,1.21015,0,6.16,1.07554,0.249802,4.02939,1.87884,0.368323,0,6.16,0.478286,0.558243,3.91891,0.412187,1.15372,0,6.16,0.529253,0.039896,3.83298,0.541815,-0.1633,0,6.16,0.265936,0.629517,4.11493,-0.0910968,1.27214,0,6.16,0.995214,0.391846,4.03505,1.68009,0.71562,0,6.16,0.333162,0.201895,3.76085,0.0260312,0.257121,0,6.16,0.256059,0.096848,3.83393,-0.164197,-0.0160391,0,6.16,1.06414,0.635877,4.14552,1.80741,1.2776,0,6.16,0.988191,0.05336,4.00283,1.6733,-0.115246,0,6.16,0.742688,0.0308767,3.83033,1.09393,-0.186861,0,6.16,1.22383,0.115402,4.17321,2.17279,0.0440369,0,6.16,1.26511,0.511911,4.25451,2.22835,0.958014,0,6.16,1.23874,0.269485,4.15048,2.21909,0.408184,0,6.16,0.881629,0.0485369,3.8733,1.44258,-0.137686,0,6.16,1.12201,0.411692,4.08812,1.96844,0.755374,0,6.16,0.703012,0.173715,3.804,0.994685,0.182723,0,6.16,0.363296,0.541102,3.95635,0.125538,1.1009,0,6.16,0.143926,0.104645,3.87957,-0.442454,0.00607637,0,
0.0333341,7.62791,0.514451,0.167875,7.62775,0.514838,0.167905,6.16,0.709021,0.400077,3.9358,0.986349,0.752023,0,6.16,0.808225,0.355535,3.92573,1.23723,0.640977,0,6.16,0.616092,0.347287,3.85275,0.753127,0.630366,0,6.16,0.563577,0.214011,3.88311,0.622567,0.284404,0,6.16,1.09479,0.0836381,4.01858,1.9238,-0.0394981,0,6.16,0.671231,0.660236,4.05736,0.881572,1.36432,0,6.16,0.87067,0.161009,3.87177,1.40688,0.149962,0,6.16,0.157784,0.571018,4.06736,-0.367634,1.14623,0,6.16,1.05072,0.498526,4.11058,1.78458,0.958236,0,6.16,0.597505,0.543,3.93828,0.705685,1.11159,0,6.16,0.897881,0.618939,4.10663,1.42432,1.24956,0,6.16,0.457446,0.141468,3.85239,0.348771,0.099323,0,6.16,0.894576,0.434746,3.99923,1.43776,0.826908,0,6.16,0.187072,0.398875,3.97229,-0.319406,0.745011,0,6.16,1.23072,0.409708,4.19616,2.17426,0.731394,0,6.16,0.74876,0.578969,3.93829,1.08722,1.20103,0,6.16,1.07554,0.249802,4.06074,1.86302,0.365131,0,6.16,0.478286,0.558243,3.97268,0.407749,1.14342,0,6.16,0.529253,0.039896,3.89637,0.535302,-0.157513,0,6.16,0.265936,0.629517,4.15305,-0.0874012,1.2612,0,6.16,0.995214,0.391846,4.07479,1.66316,0.710364,0,6.16,0.333162,0.201895,3.81717,0.0256757,0.256139,0,6.16,0.256059,0.096848,3.89783,-0.160865,-0.013209,0,6.16,1.06414,0.635877,4.17103,1.79417,1.27059,0,6.16,0.988191,0.05336,4.03435,1.66228,-0.113898,0,6.16,0.742688,0.0308767,3.88469,1.07867,-0.183353,0,6.16,1.22383,0.115402,4.20913,2.14974,0.0465687,0,6.16,1.26511,0.511911,4.27357,2.21521,0.952177,0,6.16,1.23874,0.269485,4.16787,2.20813,0.406895,0,6.16,0.881629,0.0485369,3.90309,1.4313,-0.13228,0,6.16,1.12201,0.411692,4.11341,1.95422,0.749738,0,6.16,0.703012,0.173715,3.85843,0.980786,0.180904,0,6.16,0.363296,0.541102,3.99631,0.125832,1.08925,0,6.16,0.143926,0.104645,3.93728,-0.435619,0.0083048,0,
0.0666681,7.62813,0.526258,0.168262,7.62797,0.521117,0.168123,6.16,0.709021,0.400077,3.99963,0.965209,0.741088,0,6.16,0.808225,0.355535,3.98146,1.21496,0.634815,0,6.16,0.616092,0.347287,3.92764,0.735622,0.621641,0,6.16,0.563577,0.214011,3.9313,0.612633,0.281521,0,6.16,1.09479,0.0836381,4.05967,1.89687,-0.0334796,0,6.16,0.671231,0.660236,4.12418,0.859945,1.34219,0,6.16,0.87067,0.161009,3.94019,1.37597,0.150355,0,6.16,0.157784,0.571018,4.10841,-0.366039,1.13329,0,6.16,1.05072,0.498526,4.1484,1.76187,0.955759,0,6.16,0.597505,0.543,4.01,0.688197,1.09409,0,6.16,0.897881,0.618939,4.15551,1.3981,1.23605,0,6.16,0.457446,0.141468,3.90632,0.342015,0.0986543,0,6.16,0.894576,0.434746,4.02834,1.42381,0.822672,0,6.16,0.187072,0.398875,4.02074,-0.317017,0.733117,0,6.16,1.23072,0.409708,4.20943,2.16583,0.734702,0,6.16,0.74876,0.578969,4.01571,1.05857,1.17985,0,6.16,1.07554,0.249802,4.08649,1.84674,0.367352,0,6.16,0.478286,0.558243,4.02918,0.399477,1.1334,0,6.16,0.529253,0.039896,3.9362,0.528388,-0.154534,0,6.16,0.265936,0.629517,4.17961,-0.0884534,1.25122,0,6.16,0.995214,0.391846,4.10513,1.64594,0.703548,0,6.16,0.333162,0.201895,3.88399,0.0220339,0.251544,0,6.16,0.256059,0.096848,3.93695,-0.160057,-0.0154715,0,6.16,1.06414,0.635877,4.19705,1.77663,1.26261,0,6.16,0.988191,0.05336,4.06413,1.64497,-0.109227,0,6.16,0.742688,0.0308767,3.93328,1.062,-0.175094,0,6.16,1.22383,0.115402,4.22878,2.13554,0.0486889,0,6.16,1.26511,0.511911,4.31159,2.18607,0.951582,0,6.16,1.23874,0.269485,4.19063,2.18929,0.410086,0,6.16,0.881629,0.0485369,3.92852,1.41835,-0.129105,0,6.16,1.12201,0.411692,4.14052,1.93658,0.751397,0,6.16,0.703012,0.173715,3.90878,0.965144,0.184436,0,6.16,0.363296,0.541102,4.01906,0.12526,1.08939,0,6.16,0.143926,0.104645,3.97385,-0.432155,0.00444399,0,
0.100002,7.62821,0.531079,0.168431,7.62809,0.526702,0.168319,6.16,0.709021,0.400077,4.02478,0.957952,0.731941,0,6.16,0.808225,0.355535,4.00593,1.20593,0.62508,0,6.16,0.616092,0.347287,3.96028,0.728548,0.611543,0,6.16,0.563577,0.214011,3.96372,0.605209,0.275354,0,6.16,1.09479,0.0836381,4.09378,1.87872,-0.0442835,0,6.16,0.671231,0.660236,4.14445,0.855051,1.32978,0,6.16,0.87067,0.161009,3.9838,1.35869,0.141855,0,6.16,0.157784,0.571018,4.1208,-0.365317,1.12733,0,6.16,1.05072,0.498526,4.159,1.75569,0.945521,0,6.16,0.597505,0.543,4.03478,0.683253,1.08196,0,6.16,0.897881,0.618939,4.17341,1.39027,1.22258,0,6.16,0.457446,0.141468,3.93799,0.337281,0.0950537,0,6.16,0.894576,0.434746,4.04803,1.41395,0.810988,0,6.16,0.187072,0.398875,4.04383,-0.316576,0.726763,0,6.16,1.23072,0.409708,4.21502,2.1619,0.724859,0,6.16,0.74876,0.578969,4.04085,1.05128,1.16627,0,6.16,1.07554,0.249802,4.10406,1.83516,0.358452,0,6.16,0.478286,0.558243,4.04467,0.39704,1.12393,0,6.16,0.529253,0.039896,3.9767,0.519273,-0.156434,0,6.16,0.265936,0.629517,4.18546,-0.0878317,1.24489,0,6.16,0.995214,0.391846,4.12286,1.63768,0.692072,0,6.16,0.333162,0.201895,3.90654,0.0212651,0.249572,0,6.16,0.256059,0.096848,3.9582,-0.161127,-0.0172171,0,6.16,1.06414,0.635877,4.21173,1.76785,1.24807,0,6.16,0.988191,0.05336,4.09323,1.62831,-0.114843,0,6.16,0.742688,0.0308767,3.96839,1.05073,-0.181229,0,6.16,1.22383,0.115402,4.25974,2.11923,0.0342137,0,6.16,1.26511,0.511911,4.32049,2.17944,0.940174,0,6.16,1.23874,0.269485,4.20053,2.18195,0.401738,0,6.16,0.881629,0.0485369,3.95694,1.40383,-0.134992,0,6.16,1.12201,0.411692,4.1508,1.92838,0.743488,0,6.16,0.703012,0.173715,3.94647,0.953129,0.176029,0,6.16,0.363296,0.541102,4.02905,0.12251,1.08181,0,6.16,0.143926,0.104645,4.00226,-0.431657,0.00180791,0,
0.133336,7.62821,0.531079,0.168431,7.62821,0.531079,0.168431,6.16,0.709021,0.400077,4.06636,0.952452,0.726282,0,6.16,0.808225,0.355535,4.10315,1.17747,0.6125,0,6.16,0.616092,0.347287,4.05893,0.713875,0.600611,0,6.16,0.563577,0.214011,4.08812,0.590071,0.274731,0,6.16,1.09479,0.0836381,4.20216,1.82342,-0.0314845,0,6.16,0.671231,0.660236,4.19665,0.846533,1.31504,0,6.16,0.87067,0.161009,4.1271,1.31099,0.146466,0,6.16,0.157784,0.571018,4.20116,-0.354282,1.10947,0,6.16,1.05072,0.498526,4.23144,1.72077,0.929297,0,6.16,0.597505,0.543,4.08106,0.67965,1.06959,0,6.16,0.897881,0.618939,4.27069,1.35407,1.19545,0,6.16,0.457446,0.141468,4.04627,0.33239,0.096981,0,6.16,0.894576,0.434746,4.13576,1.38226,0.795037,0,6.16,0.187072,0.398875,4.13546,-0.304594,0.714498,0,6.16,1.23072,0.409708,4.26211,2.13407,0.712513,0,6.16,0.74876,0.578969,4.11151,1.03467,1.14858,0,6.16,1.07554,0.249802,4.18279,1.79656,0.353714,0,6.16,0.478286,0.558243,4.12017,0.392064,1.10343,0,6.16,0.529253,0.039896,4.1234,0.505071,-0.140785,0,6.16,0.265936,0.629517,4.2672,-0.0840068,1.22216,0,6.16,0.995214,0.391846,4.19355,1.60691,0.682588,0,6.16,0.333162,0.201895,4.0074,0.0246938,0.247166,0,6.16,0.256059,0.096848,4.04409,-0.153843,-0.0115403,0,6.16,1.06414,0.635877,4.28159,1.73342,1.22627,0,6.16,0.988191,0.05336,4.17565,1.59407,-0.10773,0,6.16,0.742688,0.0308767,4.0727,1.02528,-0.171774,0,6.16,1.22383,0.115402,4.32456,2.08008,0.0359243,0,6.16,1.26511,0.511911,4.36371,2.15366,0.931409,0,6.16,1.23874,0.269485,4.28843,2.12678,0.39131,0,6.16,0.881629,0.0485369,4.05414,1.37029,-0.127637,0,6.16,1.12201,0.411692,4.22943,1.88639,0.733227,0,6.16,0.703012,0.173715,4.05674,0.929851,0.175389,0,6.16,0.363296,0.541102,4.09941,0.122739,1.06603,0,6.16,0.143926,0.104645,4.08661,-0.417678,0.0070942,0,
0.16667,7.62863,0.544314,0.168864,7.62863,0.544314,0.168864,6.16,0.709021,0.400077,4.13732,0.934387,0.721155,0,6.16,0.808225,0.355535,4.16689,1.16005,0.608058,0,6.16,0.616092,0.347287,4.12097,0.706474,0.599694,0,6.16,0.563577,0.214011,4.14231,0.587726,0.279317,0,6.16,1.09479,0.0836381,4.23888,1.80917,-0.0251579,0,6.16,0.671231,0.660236,4.26558,0.832125,1.29891,0,6.16,0.87067,0.161009,4.18663,1.29516,0.151835,0,6.16,0.157784,0.571018,4.25508,-0.344932,1.09932,0,6.16,1.05072,0.498526,4.26289,1.70863,0.926087,0,6.16,0.597505,0.543,4.14853,0.668195,1.05893,0,6.16,0.897881,0.618939,4.30901,1.34451,1.18872,0,6.16,0.457446,0.141468,4.09991,0.332638,0.103153,0,6.16,0.894576,0.434746,4.1765,1.37091,0.79412,0,6.16,0.187072,0.398875,4.23673,-0.290217,0.70899,0,6.16,1.23072,0.409708,4.27507,2.12973,0.715594,0,6.16,0.74876,0.578969,4.17146,1.01982,1.13645,0,6.16,1.07554,0.249802,4.21429,1.78378,0.355814,0,6.16,0.478286,0.558243,4.16465,0.391188,1.09656,0,6.16,0.529253,0.039896,4.16089,0.507213,-0.135228,0,6.16,0.265936,0.629517,4.31266,-0.07873,1.20794,0,6.16,0.995214,0.391846,4.2678,1.57453,0.67858,0,6.16,0.333162,0.201895,4.05119,0.0293286,0.250131,0,6.16,0.256059,0.096848,4.08855,-0.147892,-0.00670719,0,6.16,1.06414,0.635877,4.30922,1.72365,1.22266,0,6.16,0.988191,0.05336,4.24369,1.56481,-0.0983787,0,6.16,0.742688,0.0308767,4.12195,1.01569,-0.161996,0,6.16,1.22383,0.115402,4.34451,2.07103,0.0415663,0,6.16,1.26511,0.511911,4.40383,2.12837,0.929677,0,6.16,1.23874,0.269485,4.30781,2.12022,0.395083,0,6.16,0.881629,0.0485369,4.09499,1.35912,-0.117838,0,6.16,1.12201,0.411692,4.2683,1.86855,0.731761,0,6.16,0.703012,0.173715,4.10176,0.923322,0.179179,0,6.16,0.363296,0.541102,4.14269,0.125106,1.06001,0,6.16,0.143926,0.104645,4.12872,-0.408752,0.0115903,0,
0.200004,7.62876,0.560361,0.169384,7.62895,0.551808,0.169121,6.16,0.709021,0.400077,4.15205,0.933736,0.712253,0,6.16,0.808225,0.355535,4.18005,1.16004,0.599246,0,6.16,0.616092,0.347287,4.12887,0.709611,0.591076,0,6.16,0.563577,0.214011,4.1573,0.588505,0.270115,0,6.16,1.09479,0.0836381,4.25602,1.80565,-0.0357645,0,6.16,0.671231,0.660236,4.26693,0.840071,1.28892,0,6.16,0.87067,0.161009,4.20432,1.29157,0.144482,0,6.16,0.157784,0.571018,4.25543,-0.33989,1.09457,0,6.16,1.05072,0.498526,4.26915,1.70916,0.917372,0,6.16,0.597505,0.543,4.15208,0.67317,1.05155,0,6.16,0.897881,0.618939,4.30883,1.35482,1.18138,0,6.16,0.457446,0.141468,4.11698,0.332587,0.0996533,0,6.16,0.894576,0.434746,4.183,1.37211,0.785487,0,6.16,0.187072,0.398875,4.24244,-0.28459,0.704189,0,6.16,1.23072,0.409708,4.28227,2.12493,0.708611,0,6.16,0.74876,0.578969,4.17158,1.02719,1.13064,0,6.16,1.07554,0.249802,4.22711,1.77937,0.347663,0,6.16,0.478286,0.558243,4.16904,0.394048,1.09047,0,6.16,0.529253,0.039896,4.17654,0.506193,-0.138413,0,6.16,0.265936,0.629517,4.32895,-0.0773697,1.20295,0,6.16,0.995214,0.391846,4.27449,1.58114,0.667648,0,6.16,0.333162,0.201895,4.06877,0.0299681,0.245787,0,6.16,0.256059,0.096848,4.10713,-0.146698,-0.0058656,0,6.16,1.06414,0.635877,4.31098,1.72813,1.21498,0,6.16,0.988191,0.05336,4.27141,1.55554,-0.104736,0,6.16,0.742688,0.0308767,4.13889,1.01232,-0.164201,0,6.16,1.22383,0.115402,4.35093,2.06887,0.0375879,0,6.16,1.26511,0.511911,4.40809,2.13376,0.91904,0,6.16,1.23874,0.269485,4.31499,2.12073,0.386222,0,6.16,0.881629,0.0485369,4.11675,1.35184,-0.12376,0,6.16,1.12201,0.411692,4.27474,1.86997,0.722207,0,6.16,0.703012,0.173715,4.11765,0.920512,0.175289,0,6.16,0.363296,0.541102,4.14105,0.132372,1.05306,0,6.16,0.143926,0.104645,4.13875,-0.406002,0.012042,0,
0.233338,7.62876,0.560361,0.169384,7.62876,0.560361,0.169384,6.16,0.709021,0.400077,4.29963,0.889922,0.690374,0,6.16,0.808225,0.355535,4.30729,1.11105,0.583407,0,6.16,0.616092,0.347287,4.26017,0.677079,0.57779,0,6.16,0.563577,0.214011,4.34406,0.556051,0.266127,0,6.16,1.09479,0.0836381,4.3375,1.75079,-0.0237933,0,6.16,0.671231,0.660236,4.43619,0.792844,1.23355,0,6.16,0.87067,0.161009,4.31632,1.24305,0.150468,0,6.16,0.157784,0.571018,4.38244,-0.334048,1.05759,0,6.16,1.05072,0.498526,4.37066,1.64711,0.899196,0,6.16,0.597505,0.543,4.31016,0.637411,1.01188,0,6.16,0.897881,0.618939,4.46823,1.28147,1.13522,0,6.16,0.457446,0.141468,4.2416,0.316342,0.10245,0,6.16,0.894576,0.434746,4.29718,1.3179,0.767362,0,6.16,0.187072,0.398875,4.36437,-0.279985,0.682832,0,6.16,1.23072,0.409708,4.38853,2.04606,0.699519,0,6.16,0.74876,0.578969,4.3178,0.976099,1.09066,0,6.16,1.07554,0.249802,4.32268,1.71978,0.350121,0,6.16,0.478286,0.558243,4.31409,0.372367,1.04936,0,6.16,0.529253,0.039896,4.29154,0.484536,-0.125728,0,6.16,0.265936,0.629517,4.46535,-0.0771593,1.15694,0,6.16,0.995214,0.391846,4.37271,1.52418,0.657704,0,6.16,0.333162,0.201895,4.2044,0.024513,0.239451,0,6.16,0.256059,0.096848,4.21085,-0.147814,-0.00522488,0,6.16,1.06414,0.635877,4.42067,1.66005,1.18675,0,6.16,0.988191,0.05336,4.38413,1.49701,-0.0889341,0,6.16,0.742688,0.0308767,4.23781,0.977268,-0.154158,0,6.16,1.22383,0.115402,4.44757,1.99679,0.0508396,0,6.16,1.26511,0.511911,4.53362,2.04063,0.903694,0,6.16,1.23874,0.269485,4.38503,2.06218,0.388937,0,6.16,0.881629,0.0485369,4.23352,1.30006,-0.113429,0,6.16,1.12201,0.411692,4.37934,1.80041,0.710657,0,6.16,0.703012,0.173715,4.23805,0.883505,0.175431,0,6.16,0.363296,0.541102,4.27168,0.119464,1.01756,0,6.16,0.143926,0.104645,4.25056,-0.399102,0.0101101,0,
0.266672,7.62931,0.578967,0.169975,7.62892,0.569322,0.169697,6.16,0.709021,0.400077,4.43045,0.863871,0.660882,0,6.16,0.808225,0.355535,4.4614,1.06899,0.555496,0,6.16,0.616092,0.347287,4.41986,0.654987,0.549655,0,6.16,0.563577,0.214011,4.46451,0.546869,0.252469,0,6.16,1.09479,0.0836381,4.4863,1.67701,-0.0248283,0,6.16,0.671231,0.660236,4.53461,0.777156,1.1905,0,6.16,0.87067,0.161009,4.46565,1.19585,0.140451,0,6.16,0.157784,0.571018,4.51315,-0.312799,1.01443,0,6.16,1.05072,0.498526,4.50442,1.58488,0.85703,0,6.16,0.597505,0.543,4.43883,0.621957,0.969708,0,6.16,0.897881,0.618939,4.5945,1.23888,1.08822,0,6.16,0.457446,0.141468,4.37535,0.311338,0.0994205,0,6.16,0.894576,0.434746,4.43717,1.26929,0.733401,0,6.16,0.187072,0.398875,4.54054,-0.25344,0.646251,0,6.16,1.23072,0.409708,4.53918,1.95533,0.661862,0,6.16,0.74876,0.578969,4.40422,0.957198,1.0567,0,6.16,1.07554,0.249802,4.45944,1.65399,0.330446,0,6.16,0.478286,0.558243,4.44737,0.366686,1.00493,0,6.16,0.529253,0.039896,4.53039,0.466766,-0.113798,0,6.16,0.265936,0.629517,4.57748,-0.0659288,1.1136,0,6.16,0.995214,0.391846,4.54912,1.44966,0.626161,0,6.16,0.333162,0.201895,4.37558,0.0336123,0.228324,0,6.16,0.256059,0.096848,4.37198,-0.133258,-0.00342748,0,6.16,1.06414,0.635877,4.49635,1.62517,1.14725,0,6.16,0.988191,0.05336,4.55356,1.42876,-0.0849591,0,6.16,0.742688,0.0308767,4.39441,0.940086,-0.14676,0,6.16,1.22383,0.115402,4.55478,1.93337,0.0427429,0,6.16,1.26511,0.511911,4.63084,1.98006,0.863704,0,6.16,1.23874,0.269485,4.48733,1.99803,0.371052,0,6.16,0.881629,0.0485369,4.39434,1.24679,-0.107337,0,6.16,1.12201,0.411692,4.50045,1.73759,0.679499,0,6.16,0.703012,0.173715,4.44984,0.840954,0.17193,0,6.16,0.363296,0.541102,4.37679,0.122826,0.981837,0,6.16,0.143926,0.104645,4.40221,-0.374812,0.0140308,0,
0.300007,7.62939,0.586099,0.170146,7.62931,0.578967,0.169975,6.16,0.709021,0.400077,4.51814,0.847001,0.654205,0,6.16,0.808225,0.355535,4.55391,1.04576,0.550973,0,6.16,0.616092,0.347287,4.51015,0.644854,0.54688,0,6.16,0.563577,0.214011,4.53972,0.539727,0.258319,0,6.16,1.09479,0.0836381,4.57563,1.63573,-0.0138564,0,6.16,0.671231,0.660236,4.63743,0.757977,1.16425,0,6.16,0.87067,0.161009,4.52702,1.17878,0.147038,0,6.16,0.157784,0.571018,4.59452,-0.298794,0.997336,0,6.16,1.05072,0.498526,4.57826,1.55366,0.848939,0,6.16,0.597505,0.543,4.53581,0.610133,0.951927,0,6.16,0.897881,0.618939,4.66227,1.21775,1.07384,0,6.16,0.457446,0.141468,4.48191,0.309072,0.107746,0,6.16,0.894576,0.434746,4.5161,1.24446,0.725309,0,6.16,0.187072,0.398875,4.62001,-0.239057,0.637038,0,6.16,1.23072,0.409708,4.61138,1.91624,0.658428,0,6.16,0.74876,0.578969,4.50221,0.933021,1.03752,0,6.16,1.07554,0.249802,4.54333,1.61587,0.331799,0,6.16,0.478286,0.558243,4.53959,0.362832,0.986119,0,6.16,0.529253,0.039896,4.67153,0.460392,-0.0950013,0,6.16,0.265936,0.629517,4.68344,-0.0564831,1.08762,0,6.16,0.995214,0.391846,4.65336,1.41063,0.616073,0,6.16,0.333162,0.201895,4.47787,0.0409338,0.229839,0,6.16,0.256059,0.096848,4.45273,-0.12309,0.00443609,0,6.16,1.06414,0.635877,4.56553,1.59232,1.13621,0,6.16,0.988191,0.05336,4.63528,1.39873,-0.0707033,0,6.16,0.742688,0.0308767,4.48111,0.922379,-0.130343,0,6.16,1.22383,0.115402,4.63887,1.88442,0.0538355,0,6.16,1.26511,0.511911,4.68563,1.94777,0.859094,0,6.16,1.23874,0.269485,4.54518,1.96486,0.375351,0,6.16,0.881629,0.0485369,4.48954,1.21759,-0.0928186,0,6.16,1.12201,0.411692,4.56941,1.70474,0.676376,0,6.16,0.703012,0.173715,4.55745,0.824215,0.179642,0,6.16,0.363296,0.541102,4.46686,0.124212,0.965866,0,6.16,0.143926,0.104645,4.4797,-0.359156,0.0235639,0,
