time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,
0,3.32204,3.57001,0.248065,3.41191,3.46698,0.362483,3.06561,1.86,0.390506,2.89831,0.0420737,0.647773,0,3.70094,1.86,0.663574,4.17327,0.0309346,1.1974,0,3.09968,1.86,0.646201,2.95873,-0.0180783,1.1739,0,3.14016,1.86,0.522378,3.04382,0.00634241,0.917625,0,3.7558,1.86,0.513148,4.2535,0.149183,0.876803,0,2.65211,1.86,0.117122,2.12239,0.175482,0.110439,0,3.41318,1.86,0.525797,3.59547,0.0227981,0.921872,0,3.68045,1.86,0.266472,4.15115,-0.0600381,0.40045,0,3.63911,1.86,0.0836996,4.06944,-0.0792005,0.0216255,0,3.39814,1.86,0.29809,3.57057,-0.0984359,0.466787,0,3.10614,1.86,0.256375,2.95995,-0.112749,0.37988,0,2.70196,1.86,0.566934,2.18692,0.0887742,0.992425,0,2.55069,1.86,0.470803,1.91568,0.149962,0.794544,0,2.717,1.86,0.692221,2.23648,0.144891,1.22536,0,3.10382,1.86,0.0941884,2.9564,-0.102547,0.0412762,0,2.72019,1.86,0.350881,2.18462,-0.0200815,0.572146,0,3.45252,1.86,-0.0163287,3.68539,-0.117221,-0.19169,0,3.24231,1.86,0.228196,3.25019,-0.00142074,0.322183,0,3.73977,1.86,0.38605,4.26878,-0.0406504,0.645523,0,2.94758,1.86,0.486698,2.63736,-0.0700536,0.85608,0,3.28904,1.86,0.491329,3.34136,-0.188613,0.882524,0,2.87907,1.86,0.625747,2.52698,0.0508177,1.117,0,2.78171,1.86,0.0724229,2.31801,0.00508046,0.00689697,0,2.58151,1.86,0.26077,1.93492,0.0563383,0.387823,0,2.9349,1.86,0.191632,2.59847,-0.125984,0.24391,0,2.8395,1.86,0.428497,2.41603,-0.0622063,0.734866,0,3.37407,1.86,0.698868,3.52221,-0.158402,1.31823,0,3.24477,1.86,0.0200949,3.25556,0.00707769,-0.0987743,0,3.76614,1.86,0.0393801,4.32147,-0.0352662,-0.0649216,0,3.8267,1.86,0.685439,4.4204,0.0497718,1.23651,0,2.72158,1.86,0.223888,2.2244,0.0851421,0.314669,0,2.97286,1.86,0.0524999,2.68095,-0.112749,-0.0469126,0,2.90808,1.86,0.304677,2.53769,-0.144312,0.482041,0,3.52146,1.86,0.325074,3.8181,-0.0161097,0.519342,0,2.52797,1.86,0.0144075,1.87001,0.146542,-0.0912253,0,
0.033334,3.2959,3.57114,0.248633,3.3853,3.4671,0.363161,3.06561,1.86,0.390506,2.90623,0.142256,0.632576,0,3.70094,1.86,0.663574,4.1487,0.0844588,1.17978,0,3.09968,1.86,0.646201,2.96618,0.0851388,1.14777,0,3.14016,1.86,0.522378,3.04896,0.11014,0.896505,0,3.7558,1.86,0.513148,4.212,0.304847,0.85196,0,2.65211,1.86,0.117122,2.14198,0.246705,0.109261,0,3.41318,1.86,0.525797,3.58365,0.125317,0.908022,0,3.68045,1.86,0.266472,4.12263,0.0536504,0.398081,0,3.63911,1.86,0.0836996,4.04206,0.0561614,0.0334959,0,3.39814,1.86,0.29809,3.55974,0.0146275,0.458658,0,3.10614,1.86,0.256375,2.97519,0.0254655,0.376161,0,2.70196,1.86,0.566934,2.20045,0.150404,0.976736,0,2.55069,1.86,0.470803,1.94094,0.223737,0.781923,0,2.717,1.86,0.692221,2.25635,0.222928,1.20223,0,3.10382,1.86,0.0941884,2.9691,0.0237975,0.0502076,0,2.72019,1.86,0.350881,2.20209,0.0509901,0.562062,0,3.45252,1.86,-0.0163287,3.67326,0.0156159,-0.169816,0,3.24231,1.86,0.228196,3.25422,0.142467,0.326455,0,3.73977,1.86,0.38605,4.23827,0.0638723,0.634951,0,2.94758,1.86,0.486698,2.66314,0.0550098,0.836818,0,3.28904,1.86,0.491329,3.34084,-0.0663199,0.862944,0,2.87907,1.86,0.625747,2.55455,0.168869,1.08533,0,2.78171,1.86,0.0724229,2.33484,0.0839877,0.0113862,0,2.58151,1.86,0.26077,1.96392,0.135935,0.383827,0,2.9349,1.86,0.191632,2.64538,0.061815,0.244717,0,2.8395,1.86,0.428497,2.43207,0.0207584,0.720293,0,3.37407,1.86,0.698868,3.51311,-0.0750594,1.29364,0,3.24477,1.86,0.0200949,3.25663,0.137194,-0.0825353,0,3.76614,1.86,0.0393801,4.28606,0.0916026,-0.0505265,0,3.8267,1.86,0.685439,4.38807,0.141789,1.21663,0,2.72158,1.86,0.223888,2.25382,0.184258,0.312676,0,2.97286,1.86,0.0524999,2.688,-0.0377185,-0.0394148,0,2.90808,1.86,0.304677,2.55548,-0.0513983,0.47283,0,3.52146,1.86,0.325074,3.79655,0.149843,0.509199,0,2.52797,1.86,0.0144075,1.89675,0.218955,-0.0860669,0,
0.0666681,3.28601,3.57162,0.248583,3.36996,3.46722,0.363554,3.06561,1.86,0.390506,2.94056,0.279634,0.627183,0,3.70094,1.86,0.663574,4.13679,0.206879,1.14683,0,3.09968,1.86,0.646201,2.99682,0.216434,1.1166,0,3.14016,1.86,0.522378,3.09177,0.327801,0.866056,0,3.7558,1.86,0.513148,4.19357,0.40972,0.839628,0,2.65211,1.86,0.117122,2.1981,0.353336,0.125441,0,3.41318,1.86,0.525797,3.59004,0.28073,0.886285,0,3.68045,1.86,0.266472,4.10425,0.216199,0.397163,0,3.63911,1.86,0.0836996,4.02761,0.207025,0.0512492,0,3.39814,1.86,0.29809,3.56802,0.184307,0.454717,0,3.10614,1.86,0.256375,3.01078,0.191737,0.379847,0,2.70196,1.86,0.566934,2.25845,0.268923,0.963507,0,2.55069,1.86,0.470803,1.995,0.315349,0.776505,0,2.717,1.86,0.692221,2.30208,0.319908,1.18427,0,3.10382,1.86,0.0941884,3.00208,0.173839,0.0694304,0,2.72019,1.86,0.350881,2.24982,0.149374,0.56464,0,3.45252,1.86,-0.0163287,3.67326,0.112527,-0.14758,0,3.24231,1.86,0.228196,3.27375,0.293521,0.325297,0,3.73977,1.86,0.38605,4.218,0.205689,0.628859,0,2.94758,1.86,0.486698,2.69882,0.169009,0.825505,0,3.28904,1.86,0.491329,3.35917,0.0980005,0.843335,0,2.87907,1.86,0.625747,2.6052,0.309812,1.05856,0,2.78171,1.86,0.0724229,2.3782,0.182484,0.0296368,0,2.58151,1.86,0.26077,2.01874,0.232391,0.389864,0,2.9349,1.86,0.191632,2.69514,0.224015,0.25584,0,2.8395,1.86,0.428497,2.50091,0.198207,0.712939,0,3.37407,1.86,0.698868,3.52363,0.054935,1.26275,0,3.24477,1.86,0.0200949,3.27612,0.282748,-0.0622111,0,3.76614,1.86,0.0393801,4.2632,0.231622,-0.0325601,0,3.8267,1.86,0.685439,4.36808,0.251951,1.18617,0,2.72158,1.86,0.223888,2.30236,0.287888,0.317332,0,2.97286,1.86,0.0524999,2.73221,0.0996063,-0.0194971,0,2.90808,1.86,0.304677,2.61294,0.111952,0.474741,0,3.52146,1.86,0.325074,3.79109,0.288229,0.50728,0,2.52797,1.86,0.0144075,1.94105,0.29094,-0.0694747,0,
0.100002,3.25943,3.57282,0.249185,3.37535,3.46716,0.363415,3.06561,1.86,0.390506,2.99082,0.387619,0.612589,0,3.70094,1.86,0.663574,4.15276,0.275776,1.12869,0,3.09968,1.86,0.646201,3.03687,0.28893,1.09315,0,3.14016,1.86,0.522378,3.12502,0.391948,0.849591,0,3.7558,1.86,0.513148,4.20618,0.487678,0.827975,0,2.65211,1.86,0.117122,2.26635,0.437846,0.1266,0,3.41318,1.86,0.525797,3.61652,0.367964,0.867059,0,3.68045,1.86,0.266472,4.1151,0.324199,0.392956,0,3.63911,1.86,0.0836996,4.04185,0.311496,0.0580133,0,3.39814,1.86,0.29809,3.59618,0.298325,0.448403,0,3.10614,1.86,0.256375,3.05785,0.301665,0.37383,0,2.70196,1.86,0.566934,2.31674,0.337365,0.945979,0,2.55069,1.86,0.470803,2.05187,0.368633,0.761618,0,2.717,1.86,0.692221,2.36845,0.404659,1.15868,0,3.10382,1.86,0.0941884,3.05336,0.299166,0.0751377,0,2.72019,1.86,0.350881,2.31119,0.224144,0.554352,0,3.45252,1.86,-0.0163287,3.70187,0.252011,-0.129288,0,3.24231,1.86,0.228196,3.31,0.389775,0.330672,0,3.73977,1.86,0.38605,4.22467,0.324607,0.615083,0,2.94758,1.86,0.486698,2.76212,0.287524,0.805231,0,3.28904,1.86,0.491329,3.39502,0.208492,0.824133,0,2.87907,1.86,0.625747,2.65801,0.389677,1.03812,0,2.78171,1.86,0.0724229,2.44493,0.277462,0.0341417,0,2.58151,1.86,0.26077,2.08469,0.303999,0.38146,0,2.9349,1.86,0.191632,2.75202,0.328655,0.253906,0,2.8395,1.86,0.428497,2.55916,0.28832,0.696524,0,3.37407,1.86,0.698868,3.55642,0.175582,1.22684,0,3.24477,1.86,0.0200949,3.3127,0.378463,-0.0473615,0,3.76614,1.86,0.0393801,4.27139,0.330477,-0.0237601,0,3.8267,1.86,0.685439,4.37253,0.359682,1.15552,0,2.72158,1.86,0.223888,2.36794,0.374534,0.314303,0,2.97286,1.86,0.0524999,2.79839,0.237749,-0.00825727,0,2.90808,1.86,0.304677,2.66936,0.207361,0.470332,0,3.52146,1.86,0.325074,3.81079,0.431952,0.501756,0,2.52797,1.86,0.0144075,1.99989,0.346014,-0.0701537,0,
0.133336,3.24878,3.5733,0.249147,3.34846,3.46736,0.364103,3.06561,1.86,0.390506,2.9952,0.473373,0.610146,0,3.70094,1.86,0.663574,4.12882,0.357436,1.11341,0,3.09968,1.86,0.646201,3.03848,0.360782,1.08131,0,3.14016,1.86,0.522378,3.11809,0.436769,0.850466,0,3.7558,1.86,0.513148,4.18064,0.554416,0.814907,0,2.65211,1.86,0.117122,2.29471,0.525706,0.138663,0,3.41318,1.86,0.525797,3.60557,0.489384,0.848427,0,3.68045,1.86,0.266472,4.08927,0.407166,0.396701,0,3.63911,1.86,0.0836996,4.01799,0.394994,0.0707369,0,3.39814,1.86,0.29809,3.5833,0.380463,0.451913,0,3.10614,1.86,0.256375,3.05976,0.386649,0.379613,0,2.70196,1.86,0.566934,2.3292,0.396379,0.9387,0,2.55069,1.86,0.470803,2.06486,0.417053,0.759069,0,2.717,1.86,0.692221,2.39079,0.490491,1.14477,0,3.10382,1.86,0.0941884,3.05448,0.381119,0.0861086,0,2.72019,1.86,0.350881,2.32774,0.29341,0.555078,0,3.45252,1.86,-0.0163287,3.68493,0.310182,-0.116259,0,3.24231,1.86,0.228196,3.30557,0.47636,0.336063,0,3.73977,1.86,0.38605,4.19073,0.439487,0.611146,0,2.94758,1.86,0.486698,2.77395,0.380964,0.79912,0,3.28904,1.86,0.491329,3.38839,0.295956,0.815277,0,2.87907,1.86,0.625747,2.67788,0.494056,1.02606,0,2.78171,1.86,0.0724229,2.46446,0.361952,0.0485477,0,2.58151,1.86,0.26077,2.10345,0.365793,0.385777,0,2.9349,1.86,0.191632,2.76215,0.411069,0.261346,0,2.8395,1.86,0.428497,2.59064,0.413106,0.688399,0,3.37407,1.86,0.698868,3.54757,0.300448,1.19868,0,3.24477,1.86,0.0200949,3.30782,0.458284,-0.037941,0,3.76614,1.86,0.0393801,4.2419,0.411568,-0.00687116,0,3.8267,1.86,0.685439,4.333,0.478901,1.12328,0,2.72158,1.86,0.223888,2.38117,0.438243,0.318791,0,2.97286,1.86,0.0524999,2.80303,0.31164,0.00401014,0,2.90808,1.86,0.304677,2.68123,0.290032,0.472385,0,3.52146,1.86,0.325074,3.79072,0.519547,0.501093,0,2.52797,1.86,0.0144075,2.01232,0.391505,-0.0604538,0,
0.16667,3.24878,3.5733,0.249147,3.33786,3.46742,0.364373,3.06561,1.86,0.390506,3.01681,0.551611,0.600258,0,3.70094,1.86,0.663574,4.12216,0.439014,1.09131,0,3.09968,1.86,0.646201,3.07004,0.487737,1.04921,0,3.14016,1.86,0.522378,3.13213,0.482804,0.842105,0,3.7558,1.86,0.513148,4.17338,0.62161,0.801809,0,2.65211,1.86,0.117122,2.33274,0.596616,0.14223,0,3.41318,1.86,0.525797,3.60969,0.567012,0.835882,0,3.68045,1.86,0.266472,4.08241,0.492107,0.393319,0,3.63911,1.86,0.0836996,4.01308,0.480664,0.0764,0,3.39814,1.86,0.29809,3.59053,0.478025,0.445548,0,3.10614,1.86,0.256375,3.07981,0.465871,0.37565,0,2.70196,1.86,0.566934,2.35429,0.440747,0.926129,0,2.55069,1.86,0.470803,2.09955,0.46884,0.750911,0,2.717,1.86,0.692221,2.42036,0.54969,1.13222,0,3.10382,1.86,0.0941884,3.08018,0.486535,0.0936435,0,2.72019,1.86,0.350881,2.36857,0.373296,0.546534,0,3.45252,1.86,-0.0163287,3.69062,0.410693,-0.104977,0,3.24231,1.86,0.228196,3.32021,0.564473,0.334459,0,3.73977,1.86,0.38605,4.18377,0.49667,0.606364,0,2.94758,1.86,0.486698,2.80093,0.45762,0.786889,0,3.28904,1.86,0.491329,3.40341,0.410455,0.795441,0,2.87907,1.86,0.625747,2.71772,0.5983,0.997189,0,2.78171,1.86,0.0724229,2.49709,0.435567,0.0474327,0,2.58151,1.86,0.26077,2.14028,0.425362,0.381737,0,2.9349,1.86,0.191632,2.79193,0.495201,0.261686,0,2.8395,1.86,0.428497,2.6306,0.515788,0.673184,0,3.37407,1.86,0.698868,3.55514,0.399337,1.1701,0,3.24477,1.86,0.0200949,3.32249,0.546568,-0.0286028,0,3.76614,1.86,0.0393801,4.23335,0.484447,-0.00160572,0,3.8267,1.86,0.685439,4.31739,0.563874,1.09836,0,2.72158,1.86,0.223888,2.40617,0.484988,0.319575,0,2.97286,1.86,0.0524999,2.83468,0.407339,0.00949803,0,2.90808,1.86,0.304677,2.70488,0.352954,0.461808,0,3.52146,1.86,0.325074,3.79097,0.603116,0.494966,0,2.52797,1.86,0.0144075,2.04581,0.439706,-0.0530786,0,
0.200004,3.22181,3.57438,0.249805,3.31029,3.46747,0.365073,3.06561,1.86,0.390506,3.02641,0.662853,0.587883,0,3.70094,1.86,0.663574,4.09182,0.54171,1.05883,0,3.09968,1.86,0.646201,3.08235,0.643505,1.002,0,3.14016,1.86,0.522378,3.13259,0.559797,0.823698,0,3.7558,1.86,0.513148,4.14294,0.709291,0.782912,0,2.65211,1.86,0.117122,2.35613,0.681018,0.139071,0,3.41318,1.86,0.525797,3.59579,0.673637,0.811194,0,3.68045,1.86,0.266472,4.05355,0.591871,0.387276,0,3.63911,1.86,0.0836996,3.98439,0.599026,0.0826723,0,3.39814,1.86,0.29809,3.57717,0.599911,0.436136,0,3.10614,1.86,0.256375,3.08473,0.56838,0.370149,0,2.70196,1.86,0.566934,2.37873,0.524821,0.902247,0,2.55069,1.86,0.470803,2.12575,0.541745,0.734318,0,2.717,1.86,0.692221,2.448,0.643926,1.09472,0,3.10382,1.86,0.0941884,3.09618,0.661765,0.101527,0,2.72019,1.86,0.350881,2.39897,0.479188,0.531802,0,3.45252,1.86,-0.0163287,3.67423,0.526152,-0.0921682,0,3.24231,1.86,0.228196,3.31917,0.710672,0.325855,0,3.73977,1.86,0.38605,4.15716,0.573432,0.596083,0,2.94758,1.86,0.486698,2.81143,0.54382,0.768667,0,3.28904,1.86,0.491329,3.39716,0.52788,0.773223,0,2.87907,1.86,0.625747,2.72253,0.661849,0.977834,0,2.78171,1.86,0.0724229,2.53653,0.576537,0.0539479,0,2.58151,1.86,0.26077,2.17673,0.522549,0.373808,0,2.9349,1.86,0.191632,2.80712,0.600203,0.258173,0,2.8395,1.86,0.428497,2.64716,0.607148,0.658691,0,3.37407,1.86,0.698868,3.54135,0.46523,1.14542,0,3.24477,1.86,0.0200949,3.31987,0.664598,-0.018749,0,3.76614,1.86,0.0393801,4.20111,0.582633,0.0063332,0,3.8267,1.86,0.685439,4.28481,0.642602,1.0736,0,2.72158,1.86,0.223888,2.43016,0.572215,0.312972,0,2.97286,1.86,0.0524999,2.85276,0.529225,0.0196193,0,2.90808,1.86,0.304677,2.72354,0.457332,0.452122,0,3.52146,1.86,0.325074,3.771,0.697579,0.485666,0,2.52797,1.86,0.0144075,2.07913,0.524847,-0.0501235,0,
0.233338,3.22181,3.57438,0.249805,3.29497,3.4675,0.365462,3.06561,1.86,0.390506,3.04364,0.756421,0.577202,0,3.70094,1.86,0.663574,4.07648,0.631144,1.0344,0,3.09968,1.86,0.646201,3.09737,0.740364,0.977939,0,3.14016,1.86,0.522378,3.14779,0.654878,0.804455,0,3.7558,1.86,0.513148,4.12466,0.796366,0.764764,0,2.65211,1.86,0.117122,2.40911,0.800593,0.141978,0,3.41318,1.86,0.525797,3.5938,0.746852,0.795983,0,3.68045,1.86,0.266472,4.03858,0.682422,0.38336,0,3.63911,1.86,0.0836996,3.97008,0.69562,0.0889597,0,3.39814,1.86,0.29809,3.5759,0.702505,0.430404,0,3.10614,1.86,0.256375,3.10085,0.668433,0.364725,0,2.70196,1.86,0.566934,2.41221,0.603562,0.88256,0,2.55069,1.86,0.470803,2.16439,0.616324,0.717561,0,2.717,1.86,0.692221,2.49284,0.754076,1.05862,0,3.10382,1.86,0.0941884,3.11313,0.782145,0.107933,0,2.72019,1.86,0.350881,2.44195,0.58548,0.520432,0,3.45252,1.86,-0.0163287,3.66913,0.666775,-0.0750537,0,3.24231,1.86,0.228196,3.32316,0.786806,0.323337,0,3.73977,1.86,0.38605,4.13475,0.689974,0.580227,0,2.94758,1.86,0.486698,2.8376,0.642527,0.748757,0,3.28904,1.86,0.491329,3.40323,0.639749,0.753419,0,2.87907,1.86,0.625747,2.75957,0.780521,0.94336,0,2.78171,1.86,0.0724229,2.57933,0.699743,0.0610529,0,2.58151,1.86,0.26077,2.22666,0.625375,0.366074,0,2.9349,1.86,0.191632,2.8318,0.693345,0.258431,0,2.8395,1.86,0.428497,2.6826,0.715721,0.641107,0,3.37407,1.86,0.698868,3.54446,0.565918,1.1146,0,3.24477,1.86,0.0200949,3.33191,0.809202,0.000291556,0,3.76614,1.86,0.0393801,4.18099,0.678421,0.0139613,0,3.8267,1.86,0.685439,4.26721,0.714981,1.05136,0,2.72158,1.86,0.223888,2.47008,0.668768,0.311781,0,2.97286,1.86,0.0524999,2.8849,0.663098,0.0297867,0,2.90808,1.86,0.304677,2.75756,0.578006,0.441097,0,3.52146,1.86,0.325074,3.76395,0.794814,0.480993,0,2.52797,1.86,0.0144075,2.1232,0.609871,-0.045617,0,
0.266672,3.19449,3.5756,0.250502,3.28265,3.46761,0.365777,3.06561,1.86,0.390506,3.06129,0.83689,0.57161,0,3.70094,1.86,0.663574,4.06466,0.718878,1.0143,0,3.09968,1.86,0.646201,3.11907,0.85298,0.951795,0,3.14016,1.86,0.522378,3.17316,0.812063,0.777055,0,3.7558,1.86,0.513148,4.11255,0.869507,0.755856,0,2.65211,1.86,0.117122,2.44418,0.87594,0.14896,0,3.41318,1.86,0.525797,3.59536,0.879403,0.776061,0,3.68045,1.86,0.266472,4.02511,0.781994,0.384307,0,3.63911,1.86,0.0836996,3.95894,0.791206,0.0972316,0,3.39814,1.86,0.29809,3.57773,0.795174,0.429856,0,3.10614,1.86,0.256375,3.12518,0.80036,0.365727,0,2.70196,1.86,0.566934,2.44304,0.668995,0.871531,0,2.55069,1.86,0.470803,2.2052,0.687479,0.711489,0,2.717,1.86,0.692221,2.52107,0.819346,1.04703,0,3.10382,1.86,0.0941884,3.12914,0.868593,0.118787,0,2.72019,1.86,0.350881,2.4782,0.668589,0.517699,0,3.45252,1.86,-0.0163287,3.66699,0.761464,-0.0586925,0,3.24231,1.86,0.228196,3.33481,0.888296,0.323814,0,3.73977,1.86,0.38605,4.11586,0.795281,0.571725,0,2.94758,1.86,0.486698,2.8577,0.711764,0.7369,0,3.28904,1.86,0.491329,3.40922,0.710597,0.745105,0,2.87907,1.86,0.625747,2.77736,0.835632,0.936575,0,2.78171,1.86,0.0724229,2.61247,0.785086,0.0723856,0,2.58151,1.86,0.26077,2.27725,0.72175,0.368666,0,2.9349,1.86,0.191632,2.85527,0.771555,0.262156,0,2.8395,1.86,0.428497,2.71728,0.815125,0.632376,0,3.37407,1.86,0.698868,3.54904,0.713466,1.07722,0,3.24477,1.86,0.0200949,3.34051,0.906305,0.0143101,0,3.76614,1.86,0.0393801,4.16479,0.768011,0.0259444,0,3.8267,1.86,0.685439,4.24939,0.80392,1.02927,0,2.72158,1.86,0.223888,2.50965,0.760637,0.313043,0,2.97286,1.86,0.0524999,2.91269,0.771468,0.0414611,0,2.90808,1.86,0.304677,2.7888,0.678172,0.441173,0,3.52146,1.86,0.325074,3.75854,0.892625,0.477378,0,2.52797,1.86,0.0144075,2.17247,0.694477,-0.0308318,0,
0.300007,3.16701,3.57706,0.251215,3.26728,3.4677,0.36617,3.06561,1.86,0.390506,3.07445,0.91191,0.565564,0,3.70094,1.86,0.663574,4.04909,0.805119,0.993714,0,3.09968,1.86,0.646201,3.13141,0.940154,0.92933,0,3.14016,1.86,0.522378,3.189,0.949235,0.75502,0,3.7558,1.86,0.513148,4.09558,0.94943,0.745579,0,2.65211,1.86,0.117122,2.47503,0.947623,0.153852,0,3.41318,1.86,0.525797,3.59122,0.96156,0.762472,0,3.68045,1.86,0.266472,4.00935,0.867441,0.382583,0,3.63911,1.86,0.0836996,3.94434,0.883571,0.10628,0,3.39814,1.86,0.29809,3.57572,0.883825,0.426604,0,3.10614,1.86,0.256375,3.13884,0.901415,0.366457,0,2.70196,1.86,0.566934,2.47024,0.733637,0.85936,0,2.55069,1.86,0.470803,2.24256,0.760247,0.700268,0,2.717,1.86,0.692221,2.54779,0.8851,1.029,0,3.10382,1.86,0.0941884,3.14577,0.981646,0.126892,0,2.72019,1.86,0.350881,2.5118,0.75368,0.510898,0,3.45252,1.86,-0.0163287,3.66229,0.853464,-0.0448954,0,3.24231,1.86,0.228196,3.34188,0.998561,0.327537,0,3.73977,1.86,0.38605,4.09352,0.897074,0.561325,0,2.94758,1.86,0.486698,2.87763,0.788314,0.725425,0,3.28904,1.86,0.491329,3.41395,0.797559,0.732283,0,2.87907,1.86,0.625747,2.80185,0.91527,0.916041,0,2.78171,1.86,0.0724229,2.64774,0.885366,0.082739,0,2.58151,1.86,0.26077,2.32374,0.821812,0.361925,0,2.9349,1.86,0.191632,2.87822,0.860695,0.265359,0,2.8395,1.86,0.428497,2.73937,0.888851,0.623028,0,3.37407,1.86,0.698868,3.54686,0.793425,1.05816,0,3.24477,1.86,0.0200949,3.34753,1.02109,0.0275859,0,3.76614,1.86,0.0393801,4.13349,0.906862,0.0454374,0,3.8267,1.86,0.685439,4.22985,0.879284,1.00937,0,2.72158,1.86,0.223888,2.54431,0.850698,0.312494,0,2.97286,1.86,0.0524999,2.92368,0.825219,0.0484413,0,2.90808,1.86,0.304677,2.81745,0.78393,0.437097,0,3.52146,1.86,0.325074,3.75194,0.950003,0.472584,0,2.52797,1.86,0.0144075,2.19856,0.747353,-0.0263254,0,
