time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,p33wx,p33wy,p33wz,p33wHatx,p33wHaty,p33wHatz,converged33,p34wx,p34wy,p34wz,p34wHatx,p34wHaty,p34wHatz,converged34,p35wx,p35wy,p35wz,p35wHatx,p35wHaty,p35wHatz,converged35,
0,6.84739,-3.20169,0.175101,8.02375,-2.76943,0.0336767,6.16,-1.6049,0.543544,6.52914,0.702501,0.834792,0,6.02817,-1.86,0.65456,6.25023,0.135174,1.07165,0,6.09528,-1.86,0.26927,6.26913,0.360622,0.253367,0,6.16,-1.79532,0.338172,6.41838,0.515083,0.414522,0,5.30029,-1.86,0.335314,5.26276,-0.375029,0.319597,0,6.16,-1.66879,0.240517,6.46733,0.701407,0.181796,0,5.20762,-1.86,0.184967,5.09155,-0.370267,0.05132,0,6.16,-1.37361,0.324677,6.67687,0.812526,0.326758,0,6.03872,-1.86,0.0502604,6.22161,0.220541,-0.244532,0,5.5082,-1.86,0.301558,5.46382,-0.204735,0.275406,0,6.05095,-1.86,0.432761,6.25281,0.213916,0.606605,0,5.25541,-1.86,0.045918,5.1548,-0.351543,-0.199127,0,5.13649,-1.86,0.738337,5.15144,-0.516969,0.979255,0,5.88564,-1.86,0.732969,6.12217,-0.116653,1.13669,0,5.33582,-1.86,0.846494,5.39402,-0.43526,1.20172,0,5.48665,-1.86,0.569888,5.45224,-0.233932,0.779741,0,4.5514,-1.86,0.987139,4.85923,-0.920215,1.15289,0,5.31318,-1.86,0.50963,5.28241,-0.372101,0.631416,0,4.86084,-1.86,0.413439,4.84887,-0.625165,0.414587,0,4.44819,-1.86,0.775667,4.72897,-0.926919,0.858424,0,5.5826,-1.86,0.426138,5.56313,-0.159222,0.522062,0,4.93808,-1.86,0.211226,4.95412,-0.612383,0.0917562,0,4.97488,-1.86,0.57518,5.06742,-0.651171,0.665324,0,4.80792,-1.86,0.743167,4.93151,-0.735171,0.894978,0,4.04094,-1.86,0.709235,4.60197,-1.13358,0.684922,0,4.41009,-1.86,0.549935,4.68361,-0.930752,0.547359,0,4.29697,-1.86,0.354482,4.65104,-0.995172,0.270892,0,5.52921,-1.86,0.0895419,5.44867,-0.148449,-0.133462,0,5.75857,-1.86,0.658535,5.83553,-0.0730281,1.00524,0,4.87994,-1.86,0.919961,5.0233,-0.723301,1.16962,0,5.65735,-1.86,0.788149,5.75188,-0.208072,1.20402,0,4.0328,-1.86,0.933792,4.62925,-1.15131,0.948684,0,4.9173,-1.86,0.0330536,4.88675,-0.588775,-0.197194,0,5.95492,-1.86,0.234963,6.06676,0.172598,0.164943,0,4.22372,-1.86,0.00770101,4.557,-0.996611,-0.187515,0,4.08128,-1.86,0.196092,4.47319,-1.04726,0.060621,0,
0.033334,6.84739,-3.20169,0.175101,8.03216,-2.76164,0.0337287,6.16,-1.6049,0.543544,6.5904,0.512614,0.791751,0,6.02817,-1.86,0.65456,6.38826,-0.131008,0.981463,0,6.09528,-1.86,0.26927,6.44056,0.00208974,0.23556,0,6.16,-1.79532,0.338172,6.50209,0.303314,0.390496,0,5.30029,-1.86,0.335314,5.44347,-0.557097,0.297502,0,6.16,-1.66879,0.240517,6.53139,0.516055,0.173968,0,5.20762,-1.86,0.184967,5.24615,-0.520171,0.049547,0,6.16,-1.37361,0.324677,6.71872,0.661372,0.308134,0,6.03872,-1.86,0.0502604,6.37027,-0.0665174,-0.218178,0,5.5082,-1.86,0.301558,5.67748,-0.4501,0.251134,0,6.05095,-1.86,0.432761,6.40193,-0.0809617,0.551424,0,5.25541,-1.86,0.045918,5.29597,-0.491669,-0.190231,0,5.13649,-1.86,0.738337,5.28394,-0.64114,0.929997,0,5.88564,-1.86,0.732969,6.26581,-0.349551,1.04428,0,5.33582,-1.86,0.846494,5.53579,-0.584042,1.1322,0,5.48665,-1.86,0.569888,5.61626,-0.42287,0.726538,0,4.5514,-1.86,0.987139,4.96188,-0.994944,1.1122,0,5.31318,-1.86,0.50963,5.43778,-0.531434,0.592518,0,4.86084,-1.86,0.413439,4.96805,-0.72402,0.397938,0,4.44819,-1.86,0.775667,4.82915,-0.997177,0.828459,0,5.5826,-1.86,0.426138,5.72171,-0.353836,0.485624,0,4.93808,-1.86,0.211226,5.09079,-0.726104,0.0839805,0,4.97488,-1.86,0.57518,5.21654,-0.775566,0.629142,0,4.80792,-1.86,0.743167,5.06083,-0.837739,0.852999,0,4.04094,-1.86,0.709235,4.70124,-1.1941,0.662492,0,4.41009,-1.86,0.549935,4.78173,-0.997191,0.530542,0,4.29697,-1.86,0.354482,4.75271,-1.06192,0.261253,0,5.52921,-1.86,0.0895419,5.59255,-0.318177,-0.119569,0,5.75857,-1.86,0.658535,6.00266,-0.312145,0.923975,0,4.87994,-1.86,0.919961,5.14716,-0.825011,1.11797,0,5.65735,-1.86,0.788149,5.9163,-0.423151,1.11271,0,4.0328,-1.86,0.933792,4.71561,-1.20437,0.922337,0,4.9173,-1.86,0.0330536,5.0114,-0.693439,-0.187031,0,5.95492,-1.86,0.234963,6.23029,-0.112089,0.151654,0,4.22372,-1.86,0.00770101,4.64426,-1.053,-0.18217,0,4.08128,-1.86,0.196092,4.55672,-1.09916,0.052163,0,
0.0666681,6.86692,-3.18542,0.174738,8.05157,-2.74397,0.033838,6.16,-1.6049,0.543544,6.60004,0.460844,0.780895,0,6.02817,-1.86,0.65456,6.44055,-0.24105,0.943776,0,6.09528,-1.86,0.26927,6.47608,-0.0770142,0.229356,0,6.16,-1.79532,0.338172,6.52127,0.238014,0.382402,0,5.30029,-1.86,0.335314,5.49995,-0.620843,0.28813,0,6.16,-1.66879,0.240517,6.54018,0.470274,0.17137,0,5.20762,-1.86,0.184967,5.28934,-0.569926,0.0463798,0,6.16,-1.37361,0.324677,6.72265,0.622935,0.298478,0,6.03872,-1.86,0.0502604,6.42513,-0.18157,-0.209135,0,5.5082,-1.86,0.301558,5.73811,-0.525234,0.244196,0,6.05095,-1.86,0.432761,6.45493,-0.194026,0.53042,0,5.25541,-1.86,0.045918,5.34255,-0.54706,-0.188065,0,5.13649,-1.86,0.738337,5.32723,-0.69031,0.911998,0,5.88564,-1.86,0.732969,6.30782,-0.423528,1.01252,0,5.33582,-1.86,0.846494,5.58134,-0.638824,1.1047,0,5.48665,-1.86,0.569888,5.66621,-0.487586,0.707027,0,4.5514,-1.86,0.987139,4.98485,-1.01888,1.09987,0,5.31318,-1.86,0.50963,5.48706,-0.589995,0.580825,0,4.86084,-1.86,0.413439,5.006,-0.764995,0.390797,0,4.44819,-1.86,0.775667,4.85211,-1.02149,0.819005,0,5.5826,-1.86,0.426138,5.78621,-0.442217,0.471143,0,4.93808,-1.86,0.211226,5.12726,-0.764228,0.079416,0,4.97488,-1.86,0.57518,5.26563,-0.824823,0.613712,0,4.80792,-1.86,0.743167,5.09409,-0.871747,0.839956,0,4.04094,-1.86,0.709235,4.72133,-1.21357,0.654394,0,4.41009,-1.86,0.549935,4.80234,-1.01966,0.530988,0,4.29697,-1.86,0.354482,4.76825,-1.07911,0.25659,0,5.52921,-1.86,0.0895419,5.65546,-0.403275,-0.118003,0,5.75857,-1.86,0.658535,6.05376,-0.389362,0.88799,0,4.87994,-1.86,0.919961,5.18976,-0.868552,1.09552,0,5.65735,-1.86,0.788149,5.97235,-0.503511,1.07594,0,4.0328,-1.86,0.933792,4.73178,-1.22198,0.91352,0,4.9173,-1.86,0.0330536,5.04265,-0.728327,-0.185738,0,5.95492,-1.86,0.234963,6.29222,-0.228374,0.145757,0,4.22372,-1.86,0.00770101,4.65765,-1.06849,-0.187055,0,4.08128,-1.86,0.196092,4.5788,-1.11988,0.0441758,0,
0.100002,6.87377,-3.17898,0.174266,8.06267,-2.73368,0.0339068,6.16,-1.6049,0.543544,6.62374,0.384598,0.770705,0,6.02817,-1.86,0.65456,6.51062,-0.374502,0.903892,0,6.09528,-1.86,0.26927,6.5261,-0.185206,0.224841,0,6.16,-1.79532,0.338172,6.55281,0.153279,0.375602,0,5.30029,-1.86,0.335314,5.57309,-0.696944,0.281247,0,6.16,-1.66879,0.240517,6.56132,0.402568,0.171937,0,5.20762,-1.86,0.184967,5.34604,-0.627429,0.0492496,0,6.16,-1.37361,0.324677,6.73228,0.578791,0.30035,0,6.03872,-1.86,0.0502604,6.48977,-0.306556,-0.19504,0,5.5082,-1.86,0.301558,5.82358,-0.625533,0.238731,0,6.05095,-1.86,0.432761,6.52072,-0.32236,0.51215,0,5.25541,-1.86,0.045918,5.39328,-0.599586,-0.181901,0,5.13649,-1.86,0.738337,5.39029,-0.751828,0.893644,0,5.88564,-1.86,0.732969,6.37101,-0.528203,0.976539,0,5.33582,-1.86,0.846494,5.62964,-0.691425,1.08085,0,5.48665,-1.86,0.569888,5.74121,-0.576492,0.685337,0,4.5514,-1.86,0.987139,5.02501,-1.05185,1.08648,0,5.31318,-1.86,0.50963,5.56066,-0.667664,0.567623,0,4.86084,-1.86,0.413439,5.049,-0.802263,0.385926,0,4.44819,-1.86,0.775667,4.88552,-1.04788,0.811372,0,5.5826,-1.86,0.426138,5.86178,-0.535687,0.458197,0,4.93808,-1.86,0.211226,5.18098,-0.812852,0.0820291,0,4.97488,-1.86,0.57518,5.32813,-0.880626,0.601065,0,4.80792,-1.86,0.743167,5.13265,-0.905003,0.831205,0,4.04094,-1.86,0.709235,4.74451,-1.23014,0.650441,0,4.41009,-1.86,0.549935,4.8422,-1.05027,0.52823,0,4.29697,-1.86,0.354482,4.79477,-1.09989,0.255572,0,5.52921,-1.86,0.0895419,5.73781,-0.501868,-0.108454,0,5.75857,-1.86,0.658535,6.11208,-0.475456,0.859941,0,4.87994,-1.86,0.919961,5.24379,-0.915755,1.07615,0,5.65735,-1.86,0.788149,6.05088,-0.607478,1.03698,0,4.0328,-1.86,0.933792,4.7577,-1.24097,0.907641,0,4.9173,-1.86,0.0330536,5.07911,-0.761132,-0.180241,0,5.95492,-1.86,0.234963,6.37675,-0.374673,0.142752,0,4.22372,-1.86,0.00770101,4.67463,-1.08227,-0.184352,0,4.08128,-1.86,0.196092,4.59751,-1.13431,0.0469996,0,
0.133336,6.89319,-3.16239,0.173876,8.05887,-2.73718,0.033884,6.16,-1.6049,0.543544,6.6678,0.268879,0.750666,0,6.02817,-1.86,0.65456,6.5841,-0.510523,0.857983,0,6.09528,-1.86,0.26927,6.60413,-0.342996,0.216463,0,6.16,-1.79532,0.338172,6.60398,0.0346107,0.36745,0,5.30029,-1.86,0.335314,5.63051,-0.750163,0.279781,0,6.16,-1.66879,0.240517,6.60153,0.302137,0.172152,0,5.20762,-1.86,0.184967,5.42645,-0.701103,0.050049,0,6.16,-1.37361,0.324677,6.75829,0.51035,0.304072,0,6.03872,-1.86,0.0502604,6.57,-0.454963,-0.175803,0,5.5082,-1.86,0.301558,5.91649,-0.72868,0.231483,0,6.05095,-1.86,0.432761,6.58622,-0.445957,0.491273,0,5.25541,-1.86,0.045918,5.47766,-0.679955,-0.169961,0,5.13649,-1.86,0.738337,5.48355,-0.834779,0.863386,0,5.88564,-1.86,0.732969,6.46021,-0.67039,0.923017,0,5.33582,-1.86,0.846494,5.72272,-0.786509,1.04451,0,5.48665,-1.86,0.569888,5.86485,-0.713225,0.649058,0,4.5514,-1.86,0.987139,5.07159,-1.08154,1.06903,0,5.31318,-1.86,0.50963,5.64884,-0.753996,0.543991,0,4.86084,-1.86,0.413439,5.11168,-0.849073,0.380192,0,4.44819,-1.86,0.775667,4.93186,-1.07579,0.799743,0,5.5826,-1.86,0.426138,5.94859,-0.638559,0.4397,0,4.93808,-1.86,0.211226,5.24518,-0.862626,0.0821844,0,4.97488,-1.86,0.57518,5.38109,-0.921512,0.591242,0,4.80792,-1.86,0.743167,5.1915,-0.948846,0.815859,0,4.04094,-1.86,0.709235,4.77836,-1.24624,0.643822,0,4.41009,-1.86,0.549935,4.88548,-1.07462,0.521723,0,4.29697,-1.86,0.354482,4.82969,-1.11802,0.254432,0,5.52921,-1.86,0.0895419,5.81568,-0.588804,-0.101833,0,5.75857,-1.86,0.658535,6.20575,-0.606041,0.8234,0,4.87994,-1.86,0.919961,5.31666,-0.972437,1.04871,0,5.65735,-1.86,0.788149,6.14941,-0.73312,0.983231,0,4.0328,-1.86,0.933792,4.79218,-1.25733,0.897384,0,4.9173,-1.86,0.0330536,5.1886,-0.847514,-0.161114,0,5.95492,-1.86,0.234963,6.46647,-0.523579,0.138197,0,4.22372,-1.86,0.00770101,4.71404,-1.10329,-0.176572,0,4.08128,-1.86,0.196092,4.6308,-1.14961,0.0493685,0,
0.16667,6.90048,-3.15541,0.173385,8.07808,-2.71934,0.0340042,6.16,-1.6049,0.543544,6.6893,0.20311,0.739076,0,6.02817,-1.86,0.65456,6.64127,-0.611511,0.824724,0,6.09528,-1.86,0.26927,6.64318,-0.41678,0.212711,0,6.16,-1.79532,0.338172,6.63363,-0.0377293,0.363669,0,5.30029,-1.86,0.335314,5.67927,-0.800624,0.273724,0,6.16,-1.66879,0.240517,6.62527,0.229921,0.172473,0,5.20762,-1.86,0.184967,5.47911,-0.752134,0.0494884,0,6.16,-1.37361,0.324677,6.76559,0.47752,0.306624,0,6.03872,-1.86,0.0502604,6.62214,-0.547266,-0.165728,0,5.5082,-1.86,0.301558,5.95854,-0.773145,0.225906,0,6.05095,-1.86,0.432761,6.63576,-0.537397,0.473935,0,5.25541,-1.86,0.045918,5.53133,-0.732906,-0.165165,0,5.13649,-1.86,0.738337,5.56921,-0.912883,0.827655,0,5.88564,-1.86,0.732969,6.5226,-0.762509,0.886589,0,5.33582,-1.86,0.846494,5.78312,-0.847734,1.01458,0,5.48665,-1.86,0.569888,5.95067,-0.805418,0.623948,0,4.5514,-1.86,0.987139,5.10479,-1.1081,1.05562,0,5.31318,-1.86,0.50963,5.70297,-0.807618,0.532971,0,4.86084,-1.86,0.413439,5.14836,-0.880875,0.374206,0,4.44819,-1.86,0.775667,4.96292,-1.10036,0.790475,0,5.5826,-1.86,0.426138,6.00573,-0.705421,0.429184,0,4.93808,-1.86,0.211226,5.27773,-0.890637,0.0814608,0,4.97488,-1.86,0.57518,5.42463,-0.960433,0.580778,0,4.80792,-1.86,0.743167,5.2364,-0.986832,0.800617,0,4.04094,-1.86,0.709235,4.79895,-1.26173,0.638647,0,4.41009,-1.86,0.549935,4.91637,-1.09927,0.515266,0,4.29697,-1.86,0.354482,4.85443,-1.13785,0.251431,0,5.52921,-1.86,0.0895419,5.86024,-0.639756,-0.0982542,0,5.75857,-1.86,0.658535,6.26901,-0.690963,0.793644,0,4.87994,-1.86,0.919961,5.3653,-1.0131,1.02808,0,5.65735,-1.86,0.788149,6.21078,-0.807127,0.951264,0,4.0328,-1.86,0.933792,4.8164,-1.27555,0.890626,0,4.9173,-1.86,0.0330536,5.23139,-0.882225,-0.159218,0,5.95492,-1.86,0.234963,6.53534,-0.633778,0.135108,0,4.22372,-1.86,0.00770101,4.73483,-1.11985,-0.177831,0,4.08128,-1.86,0.196092,4.64634,-1.16216,0.0467648,0,
0.200004,6.90048,-3.15541,0.173385,8.08561,-2.71218,0.034057,6.16,-1.6049,0.543544,6.71211,0.140344,0.721917,0,6.02817,-1.86,0.65456,6.68788,-0.69353,0.791466,0,6.09528,-1.86,0.26927,6.69053,-0.510397,0.202919,0,6.16,-1.79532,0.338172,6.66482,-0.111134,0.353226,0,5.30029,-1.86,0.335314,5.72692,-0.846365,0.265929,0,6.16,-1.66879,0.240517,6.65012,0.167181,0.164222,0,5.20762,-1.86,0.184967,5.53277,-0.800963,0.0458308,0,6.16,-1.37361,0.324677,6.77784,0.435359,0.296526,0,6.03872,-1.86,0.0502604,6.6785,-0.648433,-0.159786,0,5.5082,-1.86,0.301558,6.01008,-0.830795,0.218673,0,6.05095,-1.86,0.432761,6.68235,-0.622009,0.458436,0,5.25541,-1.86,0.045918,5.58849,-0.786876,-0.162639,0,5.13649,-1.86,0.738337,5.62813,-0.96176,0.803885,0,5.88564,-1.86,0.732969,6.57166,-0.836007,0.853865,0,5.33582,-1.86,0.846494,5.83274,-0.89614,0.98931,0,5.48665,-1.86,0.569888,6.01138,-0.868839,0.604659,0,4.5514,-1.86,0.987139,5.13343,-1.12672,1.04161,0,5.31318,-1.86,0.50963,5.75415,-0.856474,0.515984,0,4.86084,-1.86,0.413439,5.1983,-0.920291,0.365219,0,4.44819,-1.86,0.775667,4.99155,-1.11819,0.779558,0,5.5826,-1.86,0.426138,6.06698,-0.776626,0.413183,0,4.93808,-1.86,0.211226,5.32899,-0.933188,0.0782206,0,4.97488,-1.86,0.57518,5.45881,-0.987218,0.570988,0,4.80792,-1.86,0.743167,5.27203,-1.01253,0.787473,0,4.04094,-1.86,0.709235,4.8011,-1.25827,0.639068,0,4.41009,-1.86,0.549935,4.95004,-1.12096,0.508251,0,4.29697,-1.86,0.354482,4.87776,-1.15148,0.247743,0,5.52921,-1.86,0.0895419,5.92385,-0.712542,-0.0966158,0,5.75857,-1.86,0.658535,6.33101,-0.773976,0.763515,0,4.87994,-1.86,0.919961,5.40182,-1.03993,1.00892,0,5.65735,-1.86,0.788149,6.2634,-0.871604,0.920747,0,4.0328,-1.86,0.933792,4.83376,-1.28377,0.883086,0,4.9173,-1.86,0.0330536,5.2745,-0.916478,-0.158718,0,5.95492,-1.86,0.234963,6.60221,-0.740206,0.127558,0,4.22372,-1.86,0.00770101,4.76109,-1.13586,-0.177895,0,4.08128,-1.86,0.196092,4.67466,-1.17831,0.0406814,0,
0.233338,6.91995,-3.13823,0.172975,8.1047,-2.69385,0.0341969,6.16,-1.6049,0.543544,6.73067,0.0810041,0.70294,0,6.02817,-1.86,0.65456,6.73431,-0.771986,0.762534,0,6.09528,-1.86,0.26927,6.72445,-0.572037,0.19514,0,6.16,-1.79532,0.338172,6.69396,-0.182826,0.343633,0,5.30029,-1.86,0.335314,5.79406,-0.912415,0.255014,0,6.16,-1.66879,0.240517,6.67289,0.0984743,0.159211,0,5.20762,-1.86,0.184967,5.59171,-0.857291,0.04338,0,6.16,-1.37361,0.324677,6.78391,0.400396,0.291453,0,6.03872,-1.86,0.0502604,6.73621,-0.745653,-0.153478,0,5.5082,-1.86,0.301558,6.06009,-0.884636,0.211294,0,6.05095,-1.86,0.432761,6.73008,-0.705342,0.438724,0,5.25541,-1.86,0.045918,5.64352,-0.839217,-0.164133,0,5.13649,-1.86,0.738337,5.66987,-0.998586,0.788241,0,5.88564,-1.86,0.732969,6.6139,-0.895504,0.826995,0,5.33582,-1.86,0.846494,5.878,-0.940459,0.963147,0,5.48665,-1.86,0.569888,6.0854,-0.947315,0.579666,0,4.5514,-1.86,0.987139,5.16031,-1.14854,1.02942,0,5.31318,-1.86,0.50963,5.80653,-0.908524,0.503835,0,4.86084,-1.86,0.413439,5.24474,-0.959525,0.356733,0,4.44819,-1.86,0.775667,5.01985,-1.14106,0.769821,0,5.5826,-1.86,0.426138,6.13541,-0.852778,0.391809,0,4.93808,-1.86,0.211226,5.38218,-0.978673,0.0760124,0,4.97488,-1.86,0.57518,5.50449,-1.02766,0.55878,0,4.80792,-1.86,0.743167,5.31176,-1.04569,0.771505,0,4.04094,-1.86,0.709235,4.80596,-1.26452,0.642731,0,4.41009,-1.86,0.549935,4.99363,-1.15493,0.502201,0,4.29697,-1.86,0.354482,4.90831,-1.17597,0.242757,0,5.52921,-1.86,0.0895419,5.99571,-0.792437,-0.0943373,0,5.75857,-1.86,0.658535,6.38479,-0.841564,0.732314,0,4.87994,-1.86,0.919961,5.43889,-1.07121,0.991072,0,5.65735,-1.86,0.788149,6.31006,-0.926021,0.891587,0,4.0328,-1.86,0.933792,4.84929,-1.2962,0.875618,0,4.9173,-1.86,0.0330536,5.32056,-0.956477,-0.158138,0,5.95492,-1.86,0.234963,6.66923,-0.840676,0.118777,0,4.22372,-1.86,0.00770101,4.78676,-1.15535,-0.182656,0,4.08128,-1.86,0.196092,4.70041,-1.19938,0.0415363,0,
0.266672,6.9269,-3.1314,0.172478,8.11559,-2.68318,0.0342838,6.16,-1.6049,0.543544,6.75532,0.0116203,0.688722,0,6.02817,-1.86,0.65456,6.78489,-0.85748,0.733634,0,6.09528,-1.86,0.26927,6.76755,-0.654332,0.190745,0,6.16,-1.79532,0.338172,6.72635,-0.256681,0.337299,0,5.30029,-1.86,0.335314,5.8575,-0.971845,0.24936,0,6.16,-1.66879,0.240517,6.69716,0.0351558,0.157011,0,5.20762,-1.86,0.184967,5.64681,-0.9071,0.0426359,0,6.16,-1.37361,0.324677,6.79535,0.357515,0.290325,0,6.03872,-1.86,0.0502604,6.78652,-0.830091,-0.144245,0,5.5082,-1.86,0.301558,6.1155,-0.944317,0.205615,0,6.05095,-1.86,0.432761,6.77765,-0.787847,0.423093,0,5.25541,-1.86,0.045918,5.69805,-0.890579,-0.159099,0,5.13649,-1.86,0.738337,5.72104,-1.04429,0.769606,0,5.88564,-1.86,0.732969,6.65663,-0.957923,0.801204,0,5.33582,-1.86,0.846494,5.92638,-0.988531,0.940825,0,5.48665,-1.86,0.569888,6.1583,-1.02239,0.559408,0,4.5514,-1.86,0.987139,5.19652,-1.17569,1.01491,0,5.31318,-1.86,0.50963,5.86815,-0.967649,0.488219,0,4.86084,-1.86,0.413439,5.31834,-1.01804,0.349307,0,4.44819,-1.86,0.775667,5.05767,-1.16818,0.758025,0,5.5826,-1.86,0.426138,6.18894,-0.912566,0.38504,0,4.93808,-1.86,0.211226,5.4257,-1.01326,0.075245,0,4.97488,-1.86,0.57518,5.5569,-1.07057,0.544993,0,4.80792,-1.86,0.743167,5.35107,-1.07654,0.759866,0,4.04094,-1.86,0.709235,4.82138,-1.27702,0.637245,0,4.41009,-1.86,0.549935,5.0445,-1.18928,0.491221,0,4.29697,-1.86,0.354482,4.93943,-1.19694,0.239454,0,5.52921,-1.86,0.0895419,6.04643,-0.846372,-0.090782,0,5.75857,-1.86,0.658535,6.43754,-0.910211,0.709799,0,4.87994,-1.86,0.919961,5.49483,-1.11679,0.968242,0,5.65735,-1.86,0.788149,6.36778,-0.995676,0.861662,0,4.0328,-1.86,0.933792,4.87125,-1.31125,0.867667,0,4.9173,-1.86,0.0330536,5.36905,-0.995335,-0.157305,0,5.95492,-1.86,0.234963,6.72564,-0.925437,0.115103,0,4.22372,-1.86,0.00770101,4.82082,-1.17945,-0.178404,0,4.08128,-1.86,0.196092,4.73503,-1.22054,0.0342258,0,
0.300007,6.94664,-3.1137,0.1721,8.11174,-2.68693,0.0342537,6.16,-1.6049,0.543544,6.78336,-0.0522976,0.676086,0,6.02817,-1.86,0.65456,6.8245,-0.927939,0.709868,0,6.09528,-1.86,0.26927,6.81443,-0.743593,0.185368,0,6.16,-1.79532,0.338172,6.76163,-0.331931,0.325755,0,5.30029,-1.86,0.335314,5.90216,-1.01164,0.245478,0,6.16,-1.66879,0.240517,6.72782,-0.0336103,0.154652,0,5.20762,-1.86,0.184967,5.70079,-0.952807,0.0438969,0,6.16,-1.37361,0.324677,6.81669,0.306488,0.288564,0,6.03872,-1.86,0.0502604,6.83432,-0.915472,-0.137106,0,5.5082,-1.86,0.301558,6.16737,-0.999915,0.20121,0,6.05095,-1.86,0.432761,6.8233,-0.870559,0.408695,0,5.25541,-1.86,0.045918,5.75866,-0.944328,-0.151283,0,5.13649,-1.86,0.738337,5.76553,-1.08078,0.755237,0,5.88564,-1.86,0.732969,6.70167,-1.02796,0.775359,0,5.33582,-1.86,0.846494,5.98274,-1.04289,0.917417,0,5.48665,-1.86,0.569888,6.21487,-1.08112,0.543835,0,4.5514,-1.86,0.987139,5.23134,-1.19506,1.00289,0,5.31318,-1.86,0.50963,5.91721,-1.01222,0.480047,0,4.86084,-1.86,0.413439,5.35495,-1.03891,0.34436,0,4.44819,-1.86,0.775667,5.09447,-1.18701,0.750216,0,5.5826,-1.86,0.426138,6.24471,-0.975951,0.375937,0,4.93808,-1.86,0.211226,5.47645,-1.05022,0.0766976,0,4.97488,-1.86,0.57518,5.60115,-1.10289,0.538699,0,4.80792,-1.86,0.743167,5.39485,-1.10604,0.748582,0,4.04094,-1.86,0.709235,4.8444,-1.28461,0.633952,0,4.41009,-1.86,0.549935,5.07191,-1.19968,0.487825,0,4.29697,-1.86,0.354482,4.97134,-1.21105,0.237175,0,5.52921,-1.86,0.0895419,6.10631,-0.911683,-0.0858835,0,5.75857,-1.86,0.658535,6.49514,-0.986593,0.687466,0,4.87994,-1.86,0.919961,5.54114,-1.14894,0.950171,0,5.65735,-1.86,0.788149,6.41996,-1.05957,0.834294,0,4.0328,-1.86,0.933792,4.88935,-1.31529,0.863861,0,4.9173,-1.86,0.0330536,5.41808,-1.02999,-0.150271,0,5.95492,-1.86,0.234963,6.77801,-1.00973,0.113057,0,4.22372,-1.86,0.00770101,4.86012,-1.19707,-0.172383,0,4.08128,-1.86,0.196092,4.76266,-1.22916,0.0416476,0,
