time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,
0,7.51694,-0.552569,0.167704,8.57126,-0.0898216,0.110919,6.16,-0.698235,0.333514,5.2526,-0.446076,0.516438,0,6.16,-0.591134,0.320182,5.23236,-0.184717,0.486107,0,6.16,-0.680944,0.550617,5.19623,-0.409122,1.06331,0,6.16,-0.163636,0.463592,5.27382,0.855305,0.829941,0,6.16,-0.692948,0.105417,5.28109,-0.430198,-0.040109,0,6.16,-0.243086,0.418804,5.29424,0.657581,0.717324,0,6.16,-0.38828,0.50246,5.21857,0.316098,0.938023,0,6.16,-0.810917,0.573011,5.31535,-0.709714,1.08343,0,6.16,-0.26625,0.574378,5.28162,0.604301,1.09682,0,6.16,-0.711222,0.44357,5.33214,-0.468538,0.76943,0,6.16,-0.129379,0.584745,5.31548,0.925559,1.11155,0,6.16,-0.937802,0.0914196,5.27937,-1.02438,-0.0741452,0,6.16,-0.593745,0.605615,5.23495,-0.191061,1.18761,0,6.16,-0.315008,0.221494,5.14412,0.51017,0.246772,0,6.16,-0.177274,0.322168,5.15235,0.855761,0.500102,0,6.16,-0.910026,0.618202,5.38451,-0.929304,1.1689,0,6.16,-0.968015,0.302029,5.30509,-1.0898,0.434238,0,6.16,-0.846155,0.283915,5.32818,-0.791491,0.38866,0,6.16,-0.523031,0.244108,5.23102,-0.0171108,0.298995,0,6.16,-0.418607,0.622348,5.23118,0.239922,1.23001,0,6.16,-0.502118,0.543569,5.35369,0.0298079,1.00217,0,6.16,-0.497928,0.407517,5.22865,0.0447785,0.701659,0,6.16,-0.137797,0.157663,5.15975,0.952963,0.0856741,0,6.16,-0.572549,0.0764724,4.99089,-0.142541,-0.129802,0,6.16,-0.800019,0.114392,5.30379,-0.685672,-0.0174542,0,6.16,-0.414302,0.22678,5.14288,0.259517,0.260178,0,
0.033334,7.51642,-0.541969,0.167516,8.56892,-0.0631632,0.111885,6.16,-0.698235,0.333514,5.541,-0.415986,0.480086,0,6.16,-0.591134,0.320182,5.45507,-0.175058,0.458915,0,6.16,-0.680944,0.550617,5.48929,-0.385015,0.979369,0,6.16,-0.163636,0.463592,5.46991,0.80163,0.787258,0,6.16,-0.692948,0.105417,5.51539,-0.402261,-0.029286,0,6.16,-0.243086,0.418804,5.53295,0.602231,0.671536,0,6.16,-0.38828,0.50246,5.46949,0.285154,0.87319,0,6.16,-0.810917,0.573011,5.57087,-0.660925,1.00478,0,6.16,-0.26625,0.574378,5.52017,0.552387,1.02598,0,6.16,-0.711222,0.44357,5.60018,-0.436783,0.712785,0,6.16,-0.129379,0.584745,5.50822,0.867179,1.05215,0,6.16,-0.937802,0.0914196,5.52817,-0.95369,-0.0623145,0,6.16,-0.593745,0.605615,5.41127,-0.179973,1.12422,0,6.16,-0.315008,0.221494,5.39945,0.464951,0.233301,0,6.16,-0.177274,0.322168,5.3639,0.79706,0.472898,0,6.16,-0.910026,0.618202,5.62402,-0.865892,1.08691,0,6.16,-0.968015,0.302029,5.62738,-0.996181,0.401243,0,6.16,-0.846155,0.283915,5.66298,-0.722239,0.361067,0,6.16,-0.523031,0.244108,5.54086,-0.0242848,0.280481,0,6.16,-0.418607,0.622348,5.44591,0.21988,1.15747,0,6.16,-0.502118,0.543569,5.59668,0.021407,0.933011,0,6.16,-0.497928,0.407517,5.55853,0.0277413,0.636834,0,6.16,-0.137797,0.157663,5.36356,0.890686,0.0837052,0,6.16,-0.572549,0.0764724,5.27856,-0.141285,-0.113021,0,6.16,-0.800019,0.114392,5.5695,-0.635879,-0.00803103,0,6.16,-0.414302,0.22678,5.47637,0.221561,0.239615,0,
0.0666681,7.51589,-0.515598,0.167873,8.56807,-0.0526727,0.112263,6.16,-0.698235,0.333514,5.67512,-0.41712,0.460354,0,6.16,-0.591134,0.320182,5.58584,-0.188702,0.442308,0,6.16,-0.680944,0.550617,5.70037,-0.386034,0.91381,0,6.16,-0.163636,0.463592,5.5978,0.745738,0.750446,0,6.16,-0.692948,0.105417,5.72016,-0.402624,-0.0259118,0,6.16,-0.243086,0.418804,5.66208,0.556303,0.638378,0,6.16,-0.38828,0.50246,5.63181,0.246822,0.824467,0,6.16,-0.810917,0.573011,5.68884,-0.65419,0.968537,0,6.16,-0.26625,0.574378,5.67304,0.500691,0.971044,0,6.16,-0.711222,0.44357,5.78032,-0.435046,0.672457,0,6.16,-0.129379,0.584745,5.62716,0.810918,1.00677,0,6.16,-0.937802,0.0914196,5.72953,-0.918653,-0.0570342,0,6.16,-0.593745,0.605615,5.60078,-0.19863,1.06385,0,6.16,-0.315008,0.221494,5.52442,0.427868,0.220199,0,6.16,-0.177274,0.322168,5.50776,0.737861,0.447462,0,6.16,-0.910026,0.618202,5.79256,-0.841542,1.02598,0,6.16,-0.968015,0.302029,5.80705,-0.959774,0.378976,0,6.16,-0.846155,0.283915,5.80579,-0.706168,0.343492,0,6.16,-0.523031,0.244108,5.73031,-0.0466434,0.262682,0,6.16,-0.418607,0.622348,5.60086,0.184387,1.09778,0,6.16,-0.502118,0.543569,5.75535,-0.00255562,0.88126,0,6.16,-0.497928,0.407517,5.74605,0.00252838,0.597577,0,6.16,-0.137797,0.157663,5.53569,0.816955,0.0737869,0,6.16,-0.572549,0.0764724,5.5658,-0.162088,-0.102085,0,6.16,-0.800019,0.114392,5.78043,-0.618615,-0.00561517,0,6.16,-0.414302,0.22678,5.67545,0.18249,0.225556,0,
0.100002,7.51589,-0.515598,0.167873,8.56588,-0.0258213,0.113231,6.16,-0.698235,0.333514,5.82087,-0.39262,0.444387,0,6.16,-0.591134,0.320182,5.7283,-0.175781,0.430491,0,6.16,-0.680944,0.550617,5.89032,-0.359738,0.864638,0,6.16,-0.163636,0.463592,5.75948,0.705575,0.72315,0,6.16,-0.692948,0.105417,5.94209,-0.372866,-0.0130175,0,6.16,-0.243086,0.418804,5.84846,0.518856,0.611935,0,6.16,-0.38828,0.50246,5.81817,0.230731,0.785518,0,6.16,-0.810917,0.573011,5.81659,-0.620737,0.936299,0,6.16,-0.26625,0.574378,5.82711,0.476399,0.932398,0,6.16,-0.711222,0.44357,5.9906,-0.403708,0.632784,0,6.16,-0.129379,0.584745,5.75185,0.78067,0.976146,0,6.16,-0.937802,0.0914196,5.91673,-0.857462,-0.042691,0,6.16,-0.593745,0.605615,5.80429,-0.186008,1.00278,0,6.16,-0.315008,0.221494,5.69345,0.404279,0.223115,0,6.16,-0.177274,0.322168,5.66361,0.701566,0.435783,0,6.16,-0.910026,0.618202,5.98285,-0.78526,0.9679,0,6.16,-0.968015,0.302029,5.99534,-0.894469,0.362696,0,6.16,-0.846155,0.283915,6.0152,-0.655215,0.32919,0,6.16,-0.523031,0.244108,5.93416,-0.0438074,0.255783,0,6.16,-0.418607,0.622348,5.79932,0.170341,1.03926,0,6.16,-0.502118,0.543569,5.9284,-0.00158536,0.837065,0,6.16,-0.497928,0.407517,5.94445,0.00194544,0.567427,0,6.16,-0.137797,0.157663,5.70204,0.772616,0.0798949,0,6.16,-0.572549,0.0764724,5.7908,-0.150171,-0.0809243,0,6.16,-0.800019,0.114392,5.99492,-0.572075,0.0060804,0,6.16,-0.414302,0.22678,5.87836,0.169247,0.221562,0,
0.133336,7.51534,-0.504511,0.167696,8.56503,-0.01499,0.113621,6.16,-0.698235,0.333514,6.00815,-0.388399,0.420489,0,6.16,-0.591134,0.320182,5.93135,-0.187129,0.41007,0,6.16,-0.680944,0.550617,6.05474,-0.35746,0.817885,0,6.16,-0.163636,0.463592,5.94452,0.634904,0.681416,0,6.16,-0.692948,0.105417,6.16051,-0.36414,-0.00284059,0,6.16,-0.243086,0.418804,6.01745,0.465774,0.581125,0,6.16,-0.38828,0.50246,5.98579,0.196394,0.746002,0,6.16,-0.810917,0.573011,6.0022,-0.603161,0.88317,0,6.16,-0.26625,0.574378,5.97611,0.430006,0.887322,0,6.16,-0.711222,0.44357,6.20226,-0.392815,0.592709,0,6.16,-0.129379,0.584745,5.90353,0.715483,0.92916,0,6.16,-0.937802,0.0914196,6.11079,-0.817461,-0.0285248,0,6.16,-0.593745,0.605615,5.96326,-0.193549,0.959282,0,6.16,-0.315008,0.221494,5.86867,0.357774,0.214379,0,6.16,-0.177274,0.322168,5.82984,0.638864,0.416683,0,6.16,-0.910026,0.618202,6.14656,-0.756176,0.917345,0,6.16,-0.968015,0.302029,6.18256,-0.851716,0.34579,0,6.16,-0.846155,0.283915,6.16322,-0.6348,0.318475,0,6.16,-0.523031,0.244108,6.11378,-0.0605544,0.245485,0,6.16,-0.418607,0.622348,5.96539,0.13972,0.983439,0,6.16,-0.502118,0.543569,6.06717,-0.0188056,0.803737,0,6.16,-0.497928,0.407517,6.1239,-0.0179667,0.540366,0,6.16,-0.137797,0.157663,5.84369,0.714601,0.0799757,0,6.16,-0.572549,0.0764724,6.10072,-0.161617,-0.0611962,0,6.16,-0.800019,0.114392,6.19955,-0.54832,0.0155504,0,6.16,-0.414302,0.22678,6.0772,0.135187,0.212898,0,
0.16667,7.51498,-0.476474,0.168042,8.56382,0.000698559,0.114186,6.16,-0.698235,0.333514,6.21489,-0.37208,0.397047,0,6.16,-0.591134,0.320182,6.10352,-0.187246,0.390396,0,6.16,-0.680944,0.550617,6.24298,-0.345341,0.767547,0,6.16,-0.163636,0.463592,6.15183,0.567885,0.637581,0,6.16,-0.692948,0.105417,6.2896,-0.352532,0.0065081,0,6.16,-0.243086,0.418804,6.14912,0.431274,0.557165,0,6.16,-0.38828,0.50246,6.16782,0.168247,0.702045,0,6.16,-0.810917,0.573011,6.20533,-0.571487,0.821988,0,6.16,-0.26625,0.574378,6.11647,0.394511,0.845425,0,6.16,-0.711222,0.44357,6.34894,-0.378251,0.562116,0,6.16,-0.129379,0.584745,6.02516,0.671586,0.892439,0,6.16,-0.937802,0.0914196,6.25851,-0.779527,-0.0195355,0,6.16,-0.593745,0.605615,6.13059,-0.195142,0.904803,0,6.16,-0.315008,0.221494,6.04096,0.321373,0.208927,0,6.16,-0.177274,0.322168,5.98466,0.589513,0.401925,0,6.16,-0.910026,0.618202,6.29725,-0.72183,0.866345,0,6.16,-0.968015,0.302029,6.34413,-0.806562,0.330562,0,6.16,-0.846155,0.283915,6.2893,-0.611474,0.307763,0,6.16,-0.523031,0.244108,6.2648,-0.0674002,0.236229,0,6.16,-0.418607,0.622348,6.14439,0.115582,0.924341,0,6.16,-0.502118,0.543569,6.21611,-0.0300795,0.761323,0,6.16,-0.497928,0.407517,6.29048,-0.0288088,0.510195,0,6.16,-0.137797,0.157663,5.98675,0.663939,0.0858188,0,6.16,-0.572549,0.0764724,6.34529,-0.159808,-0.0443885,0,6.16,-0.800019,0.114392,6.32554,-0.527399,0.020572,0,6.16,-0.414302,0.22678,6.27601,0.110652,0.206553,0,
0.200004,7.51498,-0.476474,0.168042,8.56306,0.0128359,0.114617,6.16,-0.698235,0.333514,6.32874,-0.364401,0.384923,0,6.16,-0.591134,0.320182,6.24856,-0.189887,0.375432,0,6.16,-0.680944,0.550617,6.35394,-0.339609,0.737352,0,6.16,-0.163636,0.463592,6.23239,0.541222,0.621599,0,6.16,-0.692948,0.105417,6.38347,-0.348255,0.0121309,0,6.16,-0.243086,0.418804,6.27,0.396377,0.536817,0,6.16,-0.38828,0.50246,6.2818,0.149247,0.676395,0,6.16,-0.810917,0.573011,6.30793,-0.556773,0.792843,0,6.16,-0.26625,0.574378,6.19749,0.371789,0.821989,0,6.16,-0.711222,0.44357,6.45527,-0.37106,0.540523,0,6.16,-0.129379,0.584745,6.10971,0.637831,0.867323,0,6.16,-0.937802,0.0914196,6.35938,-0.756816,-0.0133189,0,6.16,-0.593745,0.605615,6.23256,-0.197678,0.873286,0,6.16,-0.315008,0.221494,6.17531,0.290934,0.203679,0,6.16,-0.177274,0.322168,6.0997,0.55025,0.389622,0,6.16,-0.910026,0.618202,6.3806,-0.7051,0.83939,0,6.16,-0.968015,0.302029,6.50414,-0.764185,0.315192,0,6.16,-0.846155,0.283915,6.37816,-0.597991,0.301507,0,6.16,-0.523031,0.244108,6.39824,-0.0760674,0.232598,0,6.16,-0.418607,0.622348,6.24695,0.100259,0.891617,0,6.16,-0.502118,0.543569,6.29451,-0.0374887,0.742663,0,6.16,-0.497928,0.407517,6.40212,-0.0380685,0.492872,0,6.16,-0.137797,0.157663,6.09268,0.624017,0.0872634,0,6.16,-0.572549,0.0764724,6.4412,-0.160541,-0.0355598,0,6.16,-0.800019,0.114392,6.41623,-0.516268,0.0263018,0,6.16,-0.414302,0.22678,6.40342,0.0933316,0.202588,0,
0.233338,7.51478,-0.449484,0.168378,8.56134,0.0399518,0.115583,6.16,-0.698235,0.333514,6.44643,-0.335816,0.373577,0,6.16,-0.591134,0.320182,6.34619,-0.170182,0.363932,0,6.16,-0.680944,0.550617,6.46441,-0.313166,0.708499,0,6.16,-0.163636,0.463592,6.30162,0.53689,0.607471,0,6.16,-0.692948,0.105417,6.52361,-0.318503,0.016873,0,6.16,-0.243086,0.418804,6.36062,0.391968,0.521432,0,6.16,-0.38828,0.50246,6.36724,0.155216,0.65655,0,6.16,-0.810917,0.573011,6.38497,-0.525813,0.771493,0,6.16,-0.26625,0.574378,6.31826,0.360109,0.789376,0,6.16,-0.711222,0.44357,6.57979,-0.340496,0.518695,0,6.16,-0.129379,0.584745,6.18523,0.629203,0.844934,0,6.16,-0.937802,0.0914196,6.44366,-0.716504,-0.0078954,0,6.16,-0.593745,0.605615,6.34249,-0.17921,0.840845,0,6.16,-0.315008,0.221494,6.30731,0.28345,0.20138,0,6.16,-0.177274,0.322168,6.19715,0.538814,0.378342,0,6.16,-0.910026,0.618202,6.42435,-0.67583,0.822334,0,6.16,-0.968015,0.302029,6.60079,-0.716424,0.307184,0,6.16,-0.846155,0.283915,6.46586,-0.563119,0.296658,0,6.16,-0.523031,0.244108,6.51525,-0.0619584,0.227348,0,6.16,-0.418607,0.622348,6.35169,0.105087,0.858446,0,6.16,-0.502118,0.543569,6.40484,-0.0273734,0.713254,0,6.16,-0.497928,0.407517,6.51156,-0.0262251,0.476095,0,6.16,-0.137797,0.157663,6.19839,0.606534,0.089822,0,6.16,-0.572549,0.0764724,6.57293,-0.142491,-0.0266614,0,6.16,-0.800019,0.114392,6.50773,-0.48366,0.0294509,0,6.16,-0.414302,0.22678,6.48615,0.10213,0.19962,0,
0.266672,7.51433,-0.439027,0.168184,8.56045,0.05556,0.116136,6.16,-0.698235,0.333514,6.54986,-0.324492,0.359913,0,6.16,-0.591134,0.320182,6.46858,-0.16769,0.351224,0,6.16,-0.680944,0.550617,6.56659,-0.303201,0.682389,0,6.16,-0.163636,0.463592,6.39513,0.507789,0.5904,0,6.16,-0.692948,0.105417,6.63407,-0.305781,0.0227203,0,6.16,-0.243086,0.418804,6.4612,0.367995,0.505806,0,6.16,-0.38828,0.50246,6.479,0.140478,0.631095,0,6.16,-0.810917,0.573011,6.51129,-0.504129,0.733982,0,6.16,-0.26625,0.574378,6.47962,0.325354,0.744775,0,6.16,-0.711222,0.44357,6.66145,-0.329709,0.502389,0,6.16,-0.129379,0.584745,6.28582,0.594642,0.817991,0,6.16,-0.937802,0.0914196,6.52041,-0.695467,-0.00291592,0,6.16,-0.593745,0.605615,6.45952,-0.175832,0.808706,0,6.16,-0.315008,0.221494,6.39381,0.26863,0.198949,0,6.16,-0.177274,0.322168,6.31048,0.505464,0.369475,0,6.16,-0.910026,0.618202,6.48384,-0.662212,0.801542,0,6.16,-0.968015,0.302029,6.68537,-0.690293,0.299148,0,6.16,-0.846155,0.283915,6.60255,-0.534588,0.285692,0,6.16,-0.523031,0.244108,6.59954,-0.0627935,0.224001,0,6.16,-0.418607,0.622348,6.45896,0.0936448,0.823816,0,6.16,-0.502118,0.543569,6.52591,-0.032302,0.681791,0,6.16,-0.497928,0.407517,6.62376,-0.0301332,0.457594,0,6.16,-0.137797,0.157663,6.30016,0.573826,0.0944817,0,6.16,-0.572549,0.0764724,6.63156,-0.139483,-0.0211678,0,6.16,-0.800019,0.114392,6.58942,-0.468812,0.0333716,0,6.16,-0.414302,0.22678,6.6113,0.0892819,0.196702,0,
0.300007,7.51439,-0.411215,0.168574,8.56076,0.0501231,0.115943,6.16,-0.698235,0.333514,6.64516,-0.34316,0.343652,0,6.16,-0.591134,0.320182,6.58089,-0.1937,0.336838,0,6.16,-0.680944,0.550617,6.66886,-0.322737,0.652857,0,6.16,-0.163636,0.463592,6.45621,0.458933,0.575128,0,6.16,-0.692948,0.105417,6.7567,-0.320769,0.0266092,0,6.16,-0.243086,0.418804,6.5419,0.319197,0.487535,0,6.16,-0.38828,0.50246,6.56565,0.100461,0.607949,0,6.16,-0.810917,0.573011,6.58839,-0.519346,0.711489,0,6.16,-0.26625,0.574378,6.56571,0.278484,0.716269,0,6.16,-0.711222,0.44357,6.73087,-0.350686,0.487485,0,6.16,-0.129379,0.584745,6.37543,0.533351,0.788204,0,6.16,-0.937802,0.0914196,6.61872,-0.699599,0.00106829,0,6.16,-0.593745,0.605615,6.55611,-0.202996,0.777241,0,6.16,-0.315008,0.221494,6.48964,0.220837,0.193249,0,6.16,-0.177274,0.322168,6.40111,0.448768,0.357925,0,6.16,-0.910026,0.618202,6.58551,-0.669119,0.770561,0,6.16,-0.968015,0.302029,6.75872,-0.698002,0.291418,0,6.16,-0.846155,0.283915,6.69941,-0.542332,0.275794,0,6.16,-0.523031,0.244108,6.68278,-0.0935159,0.218955,0,6.16,-0.418607,0.622348,6.54319,0.055354,0.793889,0,6.16,-0.502118,0.543569,6.60192,-0.0640661,0.659221,0,6.16,-0.497928,0.407517,6.6918,-0.0608556,0.444728,0,6.16,-0.137797,0.157663,6.36512,0.522222,0.0915434,0,6.16,-0.572549,0.0764724,6.80625,-0.163477,-0.0110658,0,6.16,-0.800019,0.114392,6.67085,-0.484043,0.0346036,0,6.16,-0.414302,0.22678,6.72619,0.0506254,0.189234,0,
