time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,
0,-6.67811,3.12359,0.33948,-6.3712,2.97124,0.741527,-5.4578,1.86,0.724206,-3.97393,0.488956,1.49731,0,-5.45565,1.86,0.607695,-3.8478,0.362941,1.29518,0,-5.59076,1.86,0.377016,-4.09457,0.325609,0.820118,0,-6.01427,1.86,0.727744,-4.86887,0.111646,1.6202,0,-6.07448,1.86,0.498818,-4.951,-0.00167751,1.11641,0,-5.40103,1.86,0.166471,-3.7962,0.423442,0.392687,0,-6.16,1.3077,0.556459,-5.39601,-0.446608,1.14992,0,-6.16,1.22,0.325763,-5.40356,-0.583965,0.715908,0,-5.83641,1.86,0.321779,-4.495,0.154629,0.702072,0,-6.0502,1.86,0.178188,-4.923,0.0569112,0.369526,0,-6.12414,1.86,0.403345,-5.01661,-0.118525,0.897691,0,-5.55655,1.86,0.266784,-3.9744,0.27092,0.586176,0,-5.58679,1.86,0.648369,-4.04853,0.281927,1.39894,0,-5.95496,1.86,0.472894,-4.71028,0.0690732,1.04795,0,-5.81482,1.86,0.456285,-4.48311,0.20766,0.996989,0,-6.1427,1.86,0.264182,-5.10125,-0.0258882,0.562927,0,-5.86819,1.86,0.608481,-4.58195,0.179773,1.33579,0,-6.04274,1.86,0.613072,-4.98556,0.215571,1.33818,0,-5.2871,1.86,0.747769,-3.72249,0.565151,1.51898,0,-6.13245,1.86,0.690059,-5.07947,-0.0200202,1.57144,0,-5.90941,1.86,0.205884,-4.65306,0.146986,0.442927,0,-5.692,1.86,0.194228,-4.23626,0.235549,0.427054,0,-6.16,1.469,0.147581,-5.28844,-0.486566,0.340493,0,-6.16,1.79199,0.575594,-5.17292,-0.108473,1.28761,0,-5.994,1.86,0.299099,-4.75445,-0.0149915,0.646095,0,-5.8943,1.86,0.714395,-4.57273,0.0719235,1.60177,0,-5.81522,1.86,0.118173,-4.48765,0.213028,0.25845,0,
0.0333341,-6.70157,3.11367,0.340066,-6.395,2.96102,0.742371,-5.4578,1.86,0.724206,-4.05134,0.585197,1.4704,0,-5.45565,1.86,0.607695,-4.01239,0.566027,1.24614,0,-5.59076,1.86,0.377016,-4.18896,0.456626,0.818558,0,-6.01427,1.86,0.727744,-4.98098,0.365884,1.54862,0,-6.07448,1.86,0.498818,-5.04602,0.235203,1.08913,0,-5.40103,1.86,0.166471,-3.88388,0.528439,0.405293,0,-6.16,1.3077,0.556459,-5.4239,-0.294962,1.12575,0,-6.16,1.22,0.325763,-5.42855,-0.431044,0.722344,0,-5.83641,1.86,0.321779,-4.62351,0.380666,0.69957,0,-6.0502,1.86,0.178188,-5.01701,0.279686,0.397852,0,-6.12414,1.86,0.403345,-5.13894,0.216949,0.881934,0,-5.55655,1.86,0.266784,-4.06938,0.400845,0.595142,0,-5.58679,1.86,0.648369,-4.14801,0.421908,1.36643,0,-5.95496,1.86,0.472894,-4.81611,0.286248,1.02729,0,-5.81482,1.86,0.456285,-4.60022,0.408362,0.982707,0,-6.1427,1.86,0.264182,-5.18974,0.224203,0.576937,0,-5.86819,1.86,0.608481,-4.71317,0.419928,1.28509,0,-6.04274,1.86,0.613072,-5.07191,0.414025,1.29491,0,-5.2871,1.86,0.747769,-3.81066,0.665301,1.48692,0,-6.13245,1.86,0.690059,-5.17219,0.242328,1.50228,0,-5.90941,1.86,0.205884,-4.75088,0.336232,0.461761,0,-5.692,1.86,0.194228,-4.34746,0.407056,0.4452,0,-6.16,1.469,0.147581,-5.32601,-0.308297,0.360681,0,-6.16,1.79199,0.575594,-5.25905,0.163624,1.24018,0,-5.994,1.86,0.299099,-4.85933,0.215766,0.655055,0,-5.8943,1.86,0.714395,-4.68427,0.288548,1.53943,0,-5.81522,1.86,0.118173,-4.6014,0.408742,0.290472,0,
0.0666681,-6.71147,3.10952,0.340177,-6.40869,2.95504,0.742855,-5.4578,1.86,0.724206,-4.16745,0.729047,1.43003,0,-5.45565,1.86,0.607695,-4.18084,0.763721,1.21003,0,-5.59076,1.86,0.377016,-4.36522,0.69212,0.807121,0,-6.01427,1.86,0.727744,-5.10381,0.631358,1.47152,0,-6.07448,1.86,0.498818,-5.17411,0.542368,1.05134,0,-5.40103,1.86,0.166471,-4.00786,0.674465,0.422761,0,-6.16,1.3077,0.556459,-5.46161,-0.107721,1.10619,0,-6.16,1.22,0.325763,-5.46888,-0.219698,0.726474,0,-5.83641,1.86,0.321779,-4.75849,0.609572,0.702632,0,-6.0502,1.86,0.178188,-5.13509,0.552843,0.433284,0,-6.12414,1.86,0.403345,-5.26618,0.542139,0.872215,0,-5.55655,1.86,0.266784,-4.19431,0.566086,0.604658,0,-5.58679,1.86,0.648369,-4.27816,0.59784,1.3244,0,-5.95496,1.86,0.472894,-4.95082,0.554721,0.999611,0,-5.81482,1.86,0.456285,-4.74089,0.641901,0.959757,0,-6.1427,1.86,0.264182,-5.31766,0.570228,0.599246,0,-5.86819,1.86,0.608481,-4.86681,0.688621,1.22797,0,-6.04274,1.86,0.613072,-5.17593,0.653417,1.24664,0,-5.2871,1.86,0.747769,-3.93242,0.796839,1.44323,0,-6.13245,1.86,0.690059,-5.30254,0.588071,1.40983,0,-5.90941,1.86,0.205884,-4.86983,0.56104,0.484413,0,-5.692,1.86,0.194228,-4.48271,0.60593,0.466824,0,-6.16,1.469,0.147581,-5.38017,-0.0794423,0.388196,0,-6.16,1.79199,0.575594,-5.34857,0.432658,1.19234,0,-5.994,1.86,0.299099,-4.96799,0.446182,0.661981,0,-5.8943,1.86,0.714395,-4.82201,0.5424,1.46588,0,-5.81522,1.86,0.118173,-4.7283,0.620689,0.328981,0,
0.100002,-6.73656,3.09905,0.340757,-6.40462,2.95686,0.742712,-5.4578,1.86,0.724206,-4.25313,0.833885,1.39083,0,-5.45565,1.86,0.607695,-4.26826,0.867944,1.1862,0,-5.59076,1.86,0.377016,-4.45751,0.814611,0.799138,0,-6.01427,1.86,0.727744,-5.18289,0.811518,1.4129,0,-6.07448,1.86,0.498818,-5.26145,0.756855,1.01973,0,-5.40103,1.86,0.166471,-4.10744,0.790683,0.435093,0,-6.16,1.3077,0.556459,-5.48628,0.0179043,1.08732,0,-6.16,1.22,0.325763,-5.49828,-0.0658665,0.722231,0,-5.83641,1.86,0.321779,-4.82878,0.734884,0.704317,0,-6.0502,1.86,0.178188,-5.21157,0.734737,0.447489,0,-6.12414,1.86,0.403345,-5.34762,0.761282,0.857572,0,-5.55655,1.86,0.266784,-4.30757,0.713783,0.602745,0,-5.58679,1.86,0.648369,-4.36723,0.719394,1.29227,0,-5.95496,1.86,0.472894,-5.03929,0.735174,0.974822,0,-5.81482,1.86,0.456285,-4.82346,0.784269,0.946201,0,-6.1427,1.86,0.264182,-5.39914,0.796659,0.609182,0,-5.86819,1.86,0.608481,-4.94918,0.838574,1.19351,0,-6.04274,1.86,0.613072,-5.25011,0.83285,1.20473,0,-5.2871,1.86,0.747769,-3.99165,0.861101,1.42181,0,-6.13245,1.86,0.690059,-5.37742,0.79398,1.34982,0,-5.90941,1.86,0.205884,-4.98396,0.779348,0.501323,0,-5.692,1.86,0.194228,-4.55862,0.719512,0.473357,0,-6.16,1.469,0.147581,-5.43976,0.167152,0.410544,0,-6.16,1.79199,0.575594,-5.41142,0.632609,1.15385,0,-5.994,1.86,0.299099,-5.05112,0.630034,0.668286,0,-5.8943,1.86,0.714395,-4.93931,0.761425,1.3994,0,-5.81522,1.86,0.118173,-4.8265,0.789353,0.351514,0,
0.133336,-6.73656,3.09905,0.340757,-6.42943,2.94628,0.743593,-5.4578,1.86,0.724206,-4.30705,0.889254,1.37204,0,-5.45565,1.86,0.607695,-4.32376,0.924081,1.17046,0,-5.59076,1.86,0.377016,-4.51415,0.878755,0.794453,0,-6.01427,1.86,0.727744,-5.23716,0.908787,1.3819,0,-6.07448,1.86,0.498818,-5.30507,0.835636,1.00633,0,-5.40103,1.86,0.166471,-4.15982,0.841341,0.437359,0,-6.16,1.3077,0.556459,-5.50317,0.0719354,1.0809,0,-6.16,1.22,0.325763,-5.51798,0.00420904,0.721546,0,-5.83641,1.86,0.321779,-4.88292,0.814248,0.70257,0,-6.0502,1.86,0.178188,-5.26549,0.839088,0.462128,0,-6.12414,1.86,0.403345,-5.38804,0.839615,0.851087,0,-5.55655,1.86,0.266784,-4.35727,0.767515,0.607267,0,-5.58679,1.86,0.648369,-4.41639,0.77405,1.27632,0,-5.95496,1.86,0.472894,-5.09269,0.823296,0.965639,0,-5.81482,1.86,0.456285,-4.87344,0.852654,0.936753,0,-6.1427,1.86,0.264182,-5.44591,0.894691,0.612836,0,-5.86819,1.86,0.608481,-5.00196,0.915388,1.17475,0,-6.04274,1.86,0.613072,-5.29733,0.918026,1.18378,0,-5.2871,1.86,0.747769,-4.03921,0.904539,1.40245,0,-6.13245,1.86,0.690059,-5.42904,0.902543,1.3134,0,-5.90941,1.86,0.205884,-5.06234,0.904814,0.511648,0,-5.692,1.86,0.194228,-4.60348,0.773973,0.47688,0,-6.16,1.469,0.147581,-5.46262,0.220266,0.415739,0,-6.16,1.79199,0.575594,-5.45377,0.733146,1.13434,0,-5.994,1.86,0.299099,-5.13354,0.78294,0.665919,0,-5.8943,1.86,0.714395,-5.01406,0.878931,1.36508,0,-5.81522,1.86,0.118173,-4.87805,0.858706,0.360425,0,
0.16667,-6.7615,3.0882,0.341295,-6.44323,2.94033,0.744082,-5.4578,1.86,0.724206,-4.31996,0.897895,1.36435,0,-5.45565,1.86,0.607695,-4.32803,0.921321,1.16936,0,-5.59076,1.86,0.377016,-4.52078,0.879914,0.792625,0,-6.01427,1.86,0.727744,-5.25752,0.94435,1.36509,0,-6.07448,1.86,0.498818,-5.33345,0.898193,0.993818,0,-5.40103,1.86,0.166471,-4.17148,0.849965,0.43626,0,-6.16,1.3077,0.556459,-5.51079,0.0909414,1.07116,0,-6.16,1.22,0.325763,-5.529,0.0490861,0.715508,0,-5.83641,1.86,0.321779,-4.90809,0.852646,0.699374,0,-6.0502,1.86,0.178188,-5.29704,0.904663,0.465584,0,-6.12414,1.86,0.403345,-5.41325,0.898254,0.841825,0,-5.55655,1.86,0.266784,-4.37068,0.78118,0.606804,0,-5.58679,1.86,0.648369,-4.43305,0.791767,1.26804,0,-5.95496,1.86,0.472894,-5.11522,0.858811,0.954374,0,-5.81482,1.86,0.456285,-4.89035,0.875215,0.930735,0,-6.1427,1.86,0.264182,-5.46948,0.949912,0.611413,0,-5.86819,1.86,0.608481,-5.02086,0.941742,1.16403,0,-6.04274,1.86,0.613072,-5.3133,0.944151,1.17185,0,-5.2871,1.86,0.747769,-4.04308,0.902645,1.40274,0,-6.13245,1.86,0.690059,-5.44709,0.940313,1.29894,0,-5.90941,1.86,0.205884,-5.09451,0.95645,0.513108,0,-5.692,1.86,0.194228,-4.63803,0.824999,0.481748,0,-6.16,1.469,0.147581,-5.47607,0.267611,0.414086,0,-6.16,1.79199,0.575594,-5.47405,0.784073,1.11952,0,-5.994,1.86,0.299099,-5.16241,0.833266,0.664083,0,-5.8943,1.86,0.714395,-5.03444,0.904815,1.34995,0,-5.81522,1.86,0.118173,-4.89704,0.887152,0.365228,0,
0.200004,-6.7615,3.0882,0.341295,-6.45411,2.93525,0.744464,-5.4578,1.86,0.724206,-4.36051,0.956239,1.34821,0,-5.45565,1.86,0.607695,-4.36407,0.974926,1.15902,0,-5.59076,1.86,0.377016,-4.57416,0.961121,0.788499,0,-6.01427,1.86,0.727744,-5.2853,1.01149,1.3434,0,-6.07448,1.86,0.498818,-5.38302,1.0193,0.979952,0,-5.40103,1.86,0.166471,-4.20298,0.894976,0.440552,0,-6.16,1.3077,0.556459,-5.51899,0.157741,1.06466,0,-6.16,1.22,0.325763,-5.54256,0.13844,0.717985,0,-5.83641,1.86,0.321779,-4.96769,0.959105,0.69853,0,-6.0502,1.86,0.178188,-5.34574,1.01894,0.480499,0,-6.12414,1.86,0.403345,-5.46412,1.03228,0.834213,0,-5.55655,1.86,0.266784,-4.42086,0.855554,0.611556,0,-5.58679,1.86,0.648369,-4.48853,0.874245,1.24728,0,-5.95496,1.86,0.472894,-5.16555,0.966434,0.946721,0,-5.81482,1.86,0.456285,-4.94995,0.981696,0.9213,0,-6.1427,1.86,0.264182,-5.50688,1.05523,0.618444,0,-5.86819,1.86,0.608481,-5.0675,1.03179,1.14657,0,-6.04274,1.86,0.613072,-5.34376,1.02282,1.15574,0,-5.2871,1.86,0.747769,-4.08814,0.960805,1.38215,0,-6.13245,1.86,0.690059,-5.48093,1.03726,1.27157,0,-5.90941,1.86,0.205884,-5.14137,1.04774,0.522711,0,-5.692,1.86,0.194228,-4.70617,0.928906,0.494853,0,-6.16,1.469,0.147581,-5.50349,0.394679,0.431114,0,-6.16,1.79199,0.575594,-5.50811,0.893928,1.1051,0,-5.994,1.86,0.299099,-5.21311,0.944614,0.668371,0,-5.8943,1.86,0.714395,-5.07528,0.988302,1.32907,0,-5.81522,1.86,0.118173,-4.94999,0.981656,0.378392,0,
0.233338,-6.78611,3.07728,0.341754,-6.47846,2.92405,0.74532,-5.4578,1.86,0.724206,-4.42514,1.02953,1.32773,0,-5.45565,1.86,0.607695,-4.42799,1.04577,1.14076,0,-5.59076,1.86,0.377016,-4.63292,1.03134,0.78682,0,-6.01427,1.86,0.727744,-5.34079,1.11392,1.31229,0,-6.07448,1.86,0.498818,-5.44475,1.13881,0.966453,0,-5.40103,1.86,0.166471,-4.27077,0.971467,0.450039,0,-6.16,1.3077,0.556459,-5.53712,0.231972,1.05604,0,-6.16,1.22,0.325763,-5.5648,0.230546,0.71755,0,-5.83641,1.86,0.321779,-5.02069,1.0354,0.702114,0,-6.0502,1.86,0.178188,-5.39865,1.1166,0.493109,0,-6.12414,1.86,0.403345,-5.51029,1.12454,0.831219,0,-5.55655,1.86,0.266784,-4.48891,0.937508,0.613809,0,-5.58679,1.86,0.648369,-4.55001,0.94905,1.23027,0,-5.95496,1.86,0.472894,-5.228,1.07027,0.933076,0,-5.81482,1.86,0.456285,-5.00868,1.06445,0.912639,0,-6.1427,1.86,0.264182,-5.55445,1.15545,0.62428,0,-5.86819,1.86,0.608481,-5.11525,1.10172,1.13193,0,-6.04274,1.86,0.613072,-5.3976,1.12506,1.1349,0,-5.2871,1.86,0.747769,-4.14172,1.01609,1.36835,0,-6.13245,1.86,0.690059,-5.52946,1.14003,1.2446,0,-5.90941,1.86,0.205884,-5.1813,1.10686,0.531385,0,-5.692,1.86,0.194228,-4.77323,1.0151,0.503441,0,-6.16,1.469,0.147581,-5.53054,0.478554,0.441509,0,-6.16,1.79199,0.575594,-5.54778,0.986312,1.0894,0,-5.994,1.86,0.299099,-5.27964,1.06202,0.671763,0,-5.8943,1.86,0.714395,-5.13403,1.08066,1.30382,0,-5.81522,1.86,0.118173,-5.01156,1.06998,0.392352,0,
0.266672,-6.78611,3.07728,0.341754,-6.49198,2.91769,0.745794,-5.4578,1.86,0.724206,-4.46617,1.07476,1.31526,0,-5.45565,1.86,0.607695,-4.47446,1.09707,1.13047,0,-5.59076,1.86,0.377016,-4.67664,1.08488,0.785494,0,-6.01427,1.86,0.727744,-5.37761,1.18232,1.29281,0,-6.07448,1.86,0.498818,-5.47946,1.20715,0.957725,0,-5.40103,1.86,0.166471,-4.31274,1.01566,0.455188,0,-6.16,1.3077,0.556459,-5.55152,0.290183,1.0494,0,-6.16,1.22,0.325763,-5.57979,0.290346,0.717614,0,-5.83641,1.86,0.321779,-5.07919,1.12579,0.702911,0,-6.0502,1.86,0.178188,-5.43833,1.1945,0.503391,0,-6.12414,1.86,0.403345,-5.54838,1.20853,0.827128,0,-5.55655,1.86,0.266784,-4.55063,1.0114,0.6162,0,-5.58679,1.86,0.648369,-4.59439,1.00357,1.21733,0,-5.95496,1.86,0.472894,-5.28012,1.16084,0.92495,0,-5.81482,1.86,0.456285,-5.06226,1.14477,0.90623,0,-6.1427,1.86,0.264182,-5.58956,1.23452,0.630048,0,-5.86819,1.86,0.608481,-5.15085,1.15822,1.12147,0,-6.04274,1.86,0.613072,-5.44027,1.20842,1.1172,0,-5.2871,1.86,0.747769,-4.17874,1.05362,1.35954,0,-6.13245,1.86,0.690059,-5.56699,1.22363,1.2217,0,-5.90941,1.86,0.205884,-5.23431,1.19638,0.539587,0,-5.692,1.86,0.194228,-4.82758,1.08656,0.516953,0,-6.16,1.469,0.147581,-5.55912,0.577975,0.452259,0,-6.16,1.79199,0.575594,-5.58432,1.07933,1.0739,0,-5.994,1.86,0.299099,-5.34386,1.17808,0.67408,0,-5.8943,1.86,0.714395,-5.17747,1.15073,1.28392,0,-5.81522,1.86,0.118173,-5.06236,1.1458,0.406607,0,
0.300007,-6.8107,3.06616,0.342243,-6.50277,2.91262,0.746172,-5.4578,1.86,0.724206,-4.50755,1.12071,1.29622,0,-5.45565,1.86,0.607695,-4.50996,1.13579,1.11939,0,-5.59076,1.86,0.377016,-4.72026,1.13832,0.779781,0,-6.01427,1.86,0.727744,-5.40603,1.23651,1.2727,0,-6.07448,1.86,0.498818,-5.51307,1.27591,0.944435,0,-5.40103,1.86,0.166471,-4.36459,1.07237,0.459132,0,-6.16,1.3077,0.556459,-5.566,0.35042,1.03966,0,-6.16,1.22,0.325763,-5.59246,0.341166,0.713089,0,-5.83641,1.86,0.321779,-5.11911,1.18515,0.700879,0,-6.0502,1.86,0.178188,-5.47446,1.26584,0.50902,0,-6.12414,1.86,0.403345,-5.57915,1.27661,0.821903,0,-5.55655,1.86,0.266784,-4.59672,1.06508,0.6157,0,-5.58679,1.86,0.648369,-4.63014,1.04645,1.20167,0,-5.95496,1.86,0.472894,-5.31929,1.22762,0.91383,0,-5.81482,1.86,0.456285,-5.10342,1.20519,0.897356,0,-6.1427,1.86,0.264182,-5.60529,1.26979,0.633077,0,-5.86819,1.86,0.608481,-5.18214,1.20827,1.10728,0,-6.04274,1.86,0.613072,-5.48106,1.28816,1.09618,0,-5.2871,1.86,0.747769,-4.21062,1.0851,1.34383,0,-6.13245,1.86,0.690059,-5.60237,1.30289,1.19609,0,-5.90941,1.86,0.205884,-5.26183,1.23996,0.542143,0,-5.692,1.86,0.194228,-4.86507,1.13602,0.518554,0,-6.16,1.469,0.147581,-5.59061,0.682392,0.461864,0,-6.16,1.79199,0.575594,-5.61249,1.15006,1.05872,0,-5.994,1.86,0.299099,-5.37725,1.23605,0.673371,0,-5.8943,1.86,0.714395,-5.21712,1.21535,1.26111,0,-5.81522,1.86,0.118173,-5.10459,1.20808,0.413452,0,
