time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,
0,1.71737,-3.43529,0.257816,2.34613,-3.52893,0.12466,1.66986,-1.86,0.582295,2.24766,-0.264408,0.797087,0,1.92834,-1.86,0.786514,2.7956,-0.172794,1.25104,0,2.4975,-1.86,0.32321,3.96255,-0.264947,0.260155,0,2.50296,-1.86,0.609602,3.97597,-0.2607,0.854504,0,1.83224,-1.86,0.52194,2.59299,-0.14348,0.692287,0,1.72558,-1.86,0.763287,2.36375,-0.145943,1.21017,0,1.90274,-1.86,0.175054,2.7662,0.0408518,-0.0628882,0,2.49063,-1.86,0.727444,3.9021,-0.359093,1.06965,0,2.22733,-1.86,0.478798,3.43818,-0.155517,0.597883,0,1.97937,-1.86,0.426737,2.91157,-0.129084,0.489231,0,2.49702,-1.86,0.479616,3.92903,-0.33064,0.574977,0,1.71774,-1.86,0.45294,2.34692,-0.101088,0.54925,0,1.34373,-1.86,0.75625,1.54792,-0.163594,1.18948,0,2.48716,-1.86,0.165238,3.92648,-0.294908,-0.0653996,0,2.05194,-1.86,0.514337,3.05732,-0.180335,0.669945,0,2.05297,-1.86,0.235791,3.07118,-0.12553,0.0770747,0,1.85721,-1.86,0.366493,2.65064,-0.0985377,0.361318,0,2.17322,-1.86,0.738655,3.29216,-0.25974,1.12254,0,1.36654,-1.86,0.646606,1.59346,-0.149258,0.95878,0,1.56609,-1.86,0.427934,2.01299,-0.0599403,0.499281,0,1.35391,-1.86,0.302055,1.55648,-0.106434,0.220775,0,1.74877,-1.86,0.210437,2.41421,-0.112803,0.0219159,0,
0.0333341,1.76358,-3.43612,0.257904,2.33098,-3.52852,0.12499,1.66986,-1.86,0.582295,2.21441,-0.4127,0.771287,0,1.92834,-1.86,0.786514,2.7356,-0.315649,1.2049,0,2.4975,-1.86,0.32321,3.8664,-0.375239,0.258769,0,2.50296,-1.86,0.609602,3.8692,-0.387259,0.831415,0,1.83224,-1.86,0.52194,2.53406,-0.358119,0.65908,0,1.72558,-1.86,0.763287,2.32027,-0.318809,1.15834,0,1.90274,-1.86,0.175054,2.70275,-0.135528,-0.051134,0,2.49063,-1.86,0.727444,3.81111,-0.462472,1.04098,0,2.22733,-1.86,0.478798,3.35438,-0.285605,0.580946,0,1.97937,-1.86,0.426737,2.83894,-0.314716,0.472488,0,2.49702,-1.86,0.479616,3.83457,-0.442573,0.562591,0,1.71774,-1.86,0.45294,2.30675,-0.276119,0.529414,0,1.34373,-1.86,0.75625,1.54292,-0.316102,1.14379,0,2.48716,-1.86,0.165238,3.82306,-0.42214,-0.0548448,0,2.05194,-1.86,0.514337,2.97016,-0.384555,0.642106,0,2.05297,-1.86,0.235791,2.9942,-0.297376,0.0836334,0,1.85721,-1.86,0.366493,2.5917,-0.292204,0.351138,0,2.17322,-1.86,0.738655,3.20869,-0.408469,1.0814,0,1.36654,-1.86,0.646606,1.58771,-0.303562,0.92225,0,1.56609,-1.86,0.427934,1.98987,-0.245662,0.484628,0,1.35391,-1.86,0.302055,1.55622,-0.278811,0.21795,0,1.74877,-1.86,0.210437,2.369,-0.316603,0.0298704,0,
0.0666682,1.76358,-3.43612,0.257904,2.37719,-3.52963,0.123989,1.66986,-1.86,0.582295,2.2305,-0.623826,0.730625,0,1.92834,-1.86,0.786514,2.72562,-0.474294,1.14902,0,2.4975,-1.86,0.32321,3.80736,-0.510447,0.250625,0,2.50296,-1.86,0.609602,3.81311,-0.519129,0.804426,0,1.83224,-1.86,0.52194,2.53259,-0.551187,0.624164,0,1.72558,-1.86,0.763287,2.33022,-0.504063,1.0953,0,1.90274,-1.86,0.175054,2.68037,-0.38346,-0.0410477,0,2.49063,-1.86,0.727444,3.7673,-0.572406,1.00508,0,2.22733,-1.86,0.478798,3.30857,-0.453772,0.554712,0,1.97937,-1.86,0.426737,2.8249,-0.478739,0.448566,0,2.49702,-1.86,0.479616,3.79445,-0.548163,0.549952,0,1.71774,-1.86,0.45294,2.31604,-0.508587,0.491467,0,1.34373,-1.86,0.75625,1.59306,-0.484616,1.08958,0,2.48716,-1.86,0.165238,3.79358,-0.51236,-0.0515377,0,2.05194,-1.86,0.514337,2.93778,-0.587458,0.606283,0,2.05297,-1.86,0.235791,2.96542,-0.482259,0.0847404,0,1.85721,-1.86,0.366493,2.58689,-0.48119,0.335503,0,2.17322,-1.86,0.738655,3.17361,-0.56592,1.02931,0,1.36654,-1.86,0.646606,1.63849,-0.489542,0.874273,0,1.56609,-1.86,0.427934,2.01984,-0.456163,0.459254,0,1.35391,-1.86,0.302055,1.61122,-0.475996,0.209945,0,1.74877,-1.86,0.210437,2.37984,-0.484161,0.0325247,0,
0.100002,1.79053,-3.43678,0.257577,2.39247,-3.52996,0.123659,1.66986,-1.86,0.582295,2.22712,-0.776464,0.696937,0,1.92834,-1.86,0.786514,2.69384,-0.630252,1.09474,0,2.4975,-1.86,0.32321,3.73922,-0.626288,0.244976,0,2.50296,-1.86,0.609602,3.73582,-0.647617,0.768652,0,1.83224,-1.86,0.52194,2.51348,-0.701467,0.600189,0,1.72558,-1.86,0.763287,2.31957,-0.666103,1.04472,0,1.90274,-1.86,0.175054,2.65662,-0.52845,-0.0328584,0,2.49063,-1.86,0.727444,3.69002,-0.701563,0.95953,0,2.22733,-1.86,0.478798,3.25262,-0.59553,0.534299,0,1.97937,-1.86,0.426737,2.78688,-0.643818,0.429166,0,2.49702,-1.86,0.479616,3.70399,-0.698751,0.52128,0,1.71774,-1.86,0.45294,2.30695,-0.68682,0.470919,0,1.34373,-1.86,0.75625,1.61701,-0.627165,1.04138,0,2.48716,-1.86,0.165238,3.70973,-0.65211,-0.0419827,0,2.05194,-1.86,0.514337,2.89488,-0.747807,0.577164,0,2.05297,-1.86,0.235791,2.92797,-0.619771,0.0840526,0,1.85721,-1.86,0.366493,2.56277,-0.647431,0.321092,0,2.17322,-1.86,0.738655,3.11937,-0.715361,0.981163,0,1.36654,-1.86,0.646606,1.66215,-0.638864,0.836566,0,1.56609,-1.86,0.427934,2.02697,-0.626383,0.437782,0,1.35391,-1.86,0.302055,1.64042,-0.647087,0.208773,0,1.74877,-1.86,0.210437,2.36373,-0.686874,0.0377548,0,
0.133336,1.79053,-3.43678,0.257577,2.40473,-3.53034,0.123391,1.66986,-1.86,0.582295,2.22408,-0.864827,0.67672,0,1.92834,-1.86,0.786514,2.67423,-0.725426,1.06202,0,2.4975,-1.86,0.32321,3.707,-0.681458,0.239245,0,2.50296,-1.86,0.609602,3.68208,-0.737924,0.742293,0,1.83224,-1.86,0.52194,2.50004,-0.798249,0.580082,0,1.72558,-1.86,0.763287,2.3096,-0.803488,0.998544,0,1.90274,-1.86,0.175054,2.63264,-0.655716,-0.0281503,0,2.49063,-1.86,0.727444,3.64669,-0.775203,0.935078,0,2.22733,-1.86,0.478798,3.2167,-0.684562,0.518963,0,1.97937,-1.86,0.426737,2.76319,-0.746757,0.41544,0,2.49702,-1.86,0.479616,3.65648,-0.780817,0.507149,0,1.71774,-1.86,0.45294,2.2993,-0.816786,0.452758,0,1.34373,-1.86,0.75625,1.63035,-0.712599,1.01538,0,2.48716,-1.86,0.165238,3.6586,-0.741154,-0.0421343,0,2.05194,-1.86,0.514337,2.87036,-0.836788,0.560889,0,2.05297,-1.86,0.235791,2.89034,-0.751414,0.0825264,0,1.85721,-1.86,0.366493,2.55579,-0.702672,0.314085,0,2.17322,-1.86,0.738655,3.09271,-0.789122,0.957924,0,1.36654,-1.86,0.646606,1.67648,-0.736618,0.812517,0,1.56609,-1.86,0.427934,2.03055,-0.737576,0.425933,0,1.35391,-1.86,0.302055,1.66759,-0.811426,0.203905,0,1.74877,-1.86,0.210437,2.35489,-0.807606,0.0403051,0,
0.16667,1.81652,-3.4373,0.257258,2.43205,-3.53103,0.122798,1.66986,-1.86,0.582295,2.23323,-0.958177,0.657304,0,1.92834,-1.86,0.786514,2.66746,-0.819388,1.03253,0,2.4975,-1.86,0.32321,3.68279,-0.740619,0.241871,0,2.50296,-1.86,0.609602,3.63606,-0.836827,0.725826,0,1.83224,-1.86,0.52194,2.49553,-0.925159,0.560038,0,1.72558,-1.86,0.763287,2.31739,-0.890817,0.97003,0,1.90274,-1.86,0.175054,2.62789,-0.755678,-0.0214705,0,2.49063,-1.86,0.727444,3.61654,-0.846951,0.917819,0,2.22733,-1.86,0.478798,3.18496,-0.794585,0.506709,0,1.97937,-1.86,0.426737,2.75491,-0.83725,0.408812,0,2.49702,-1.86,0.479616,3.61485,-0.872042,0.498075,0,1.71774,-1.86,0.45294,2.30775,-0.903787,0.445061,0,1.34373,-1.86,0.75625,1.65695,-0.805082,0.985143,0,2.48716,-1.86,0.165238,3.63123,-0.808896,-0.0352004,0,2.05194,-1.86,0.514337,2.85485,-0.937429,0.547336,0,2.05297,-1.86,0.235791,2.87188,-0.866597,0.0857551,0,1.85721,-1.86,0.366493,2.55353,-0.785428,0.310446,0,2.17322,-1.86,0.738655,3.06502,-0.896981,0.927055,0,1.36654,-1.86,0.646606,1.70236,-0.827225,0.790167,0,1.56609,-1.86,0.427934,2.04712,-0.848667,0.416144,0,1.35391,-1.86,0.302055,1.69546,-0.891425,0.199454,0,1.74877,-1.86,0.210437,2.36103,-0.896879,0.0429266,0,
0.200004,1.84129,-3.43746,0.257032,2.44725,-3.5314,0.122469,1.66986,-1.86,0.582295,2.23406,-1.00111,0.647507,0,1.92834,-1.86,0.786514,2.66115,-0.861127,1.01758,0,2.4975,-1.86,0.32321,3.65408,-0.789418,0.236925,0,2.50296,-1.86,0.609602,3.60495,-0.892937,0.710428,0,1.83224,-1.86,0.52194,2.48895,-0.996685,0.547862,0,1.72558,-1.86,0.763287,2.31764,-0.924374,0.962247,0,1.90274,-1.86,0.175054,2.61271,-0.850449,-0.01704,0,2.49063,-1.86,0.727444,3.60015,-0.877678,0.905808,0,2.22733,-1.86,0.478798,3.15372,-0.87904,0.493566,0,1.97937,-1.86,0.426737,2.75099,-0.866452,0.401494,0,2.49702,-1.86,0.479616,3.57768,-0.938725,0.482991,0,1.71774,-1.86,0.45294,2.30611,-0.959711,0.434483,0,1.34373,-1.86,0.75625,1.66499,-0.839412,0.976265,0,2.48716,-1.86,0.165238,3.5882,-0.883852,-0.0316388,0,2.05194,-1.86,0.514337,2.84517,-0.98138,0.539256,0,2.05297,-1.86,0.235791,2.85091,-0.951688,0.085522,0,1.85721,-1.86,0.366493,2.54536,-0.84733,0.306324,0,2.17322,-1.86,0.738655,3.05109,-0.943744,0.913984,0,1.36654,-1.86,0.646606,1.71347,-0.88864,0.77204,0,1.56609,-1.86,0.427934,2.05148,-0.89218,0.413093,0,1.35391,-1.86,0.302055,1.7061,-0.947954,0.199768,0,1.74877,-1.86,0.210437,2.35538,-0.989093,0.0471217,0,
0.233338,1.84129,-3.43746,0.257032,2.45832,-3.53151,0.122234,1.66986,-1.86,0.582295,2.22796,-1.07332,0.630959,0,1.92834,-1.86,0.786514,2.64071,-0.941629,0.99255,0,2.4975,-1.86,0.32321,3.60246,-0.869894,0.234853,0,2.50296,-1.86,0.609602,3.569,-0.947602,0.696622,0,1.83224,-1.86,0.52194,2.4764,-1.07291,0.533477,0,1.72558,-1.86,0.763287,2.30782,-0.996315,0.938352,0,1.90274,-1.86,0.175054,2.59183,-0.961128,-0.0124953,0,2.49063,-1.86,0.727444,3.56529,-0.928533,0.893069,0,2.22733,-1.86,0.478798,3.11301,-0.977723,0.479974,0,1.97937,-1.86,0.426737,2.72686,-0.949501,0.392805,0,2.49702,-1.86,0.479616,3.54174,-0.995622,0.478517,0,1.71774,-1.86,0.45294,2.29647,-1.08532,0.421226,0,1.34373,-1.86,0.75625,1.6692,-0.895778,0.959715,0,2.48716,-1.86,0.165238,3.55219,-0.942277,-0.031016,0,2.05194,-1.86,0.514337,2.81982,-1.05929,0.525822,0,2.05297,-1.86,0.235791,2.82963,-1.02146,0.0864754,0,1.85721,-1.86,0.366493,2.53284,-0.908704,0.300574,0,2.17322,-1.86,0.738655,3.02061,-1.01642,0.89092,0,1.36654,-1.86,0.646606,1.7241,-0.978286,0.748468,0,1.56609,-1.86,0.427934,2.05011,-0.972199,0.40363,0,1.35391,-1.86,0.302055,1.72044,-1.05267,0.195771,0,1.74877,-1.86,0.210437,2.34682,-1.08163,0.0469995,0,
0.266672,1.84992,-3.43738,0.256648,2.46819,-3.53166,0.122023,1.66986,-1.86,0.582295,2.22422,-1.18513,0.608898,0,1.92834,-1.86,0.786514,2.61637,-1.06366,0.951786,0,2.4975,-1.86,0.32321,3.54081,-0.975506,0.228864,0,2.50296,-1.86,0.609602,3.50531,-1.05449,0.67411,0,1.83224,-1.86,0.52194,2.46299,-1.17478,0.520797,0,1.72558,-1.86,0.763287,2.29871,-1.14938,0.886736,0,1.90274,-1.86,0.175054,2.576,-1.05339,-0.0061003,0,2.49063,-1.86,0.727444,3.51562,-1.00906,0.866781,0,2.22733,-1.86,0.478798,3.07316,-1.08088,0.464423,0,1.97937,-1.86,0.426737,2.6976,-1.08059,0.377212,0,2.49702,-1.86,0.479616,3.47922,-1.10128,0.461342,0,1.71774,-1.86,0.45294,2.29163,-1.20246,0.407353,0,1.34373,-1.86,0.75625,1.68368,-0.997085,0.927657,0,2.48716,-1.86,0.165238,3.49652,-1.0375,-0.0292123,0,2.05194,-1.86,0.514337,2.78875,-1.1736,0.508298,0,2.05297,-1.86,0.235791,2.80406,-1.11124,0.0903794,0,1.85721,-1.86,0.366493,2.51356,-1.03188,0.292517,0,2.17322,-1.86,0.738655,2.97267,-1.15187,0.845694,0,1.36654,-1.86,0.646606,1.7418,-1.09188,0.720378,0,1.56609,-1.86,0.427934,2.05654,-1.11877,0.38527,0,1.35391,-1.86,0.302055,1.73352,-1.13091,0.195863,0,1.74877,-1.86,0.210437,2.33969,-1.17739,0.0542107,0,
0.300007,1.84992,-3.43738,0.256648,2.48316,-3.53188,0.121703,1.66986,-1.86,0.582295,2.2268,-1.28156,0.589018,0,1.92834,-1.86,0.786514,2.60121,-1.1708,0.916757,0,2.4975,-1.86,0.32321,3.46213,-1.12568,0.222269,0,2.50296,-1.86,0.609602,3.45218,-1.15588,0.651487,0,1.83224,-1.86,0.52194,2.45332,-1.29741,0.497279,0,1.72558,-1.86,0.763287,2.29858,-1.26973,0.847738,0,1.90274,-1.86,0.175054,2.56284,-1.15616,0.000262938,0,2.49063,-1.86,0.727444,3.46675,-1.1001,0.839171,0,2.22733,-1.86,0.478798,3.04063,-1.17785,0.451879,0,1.97937,-1.86,0.426737,2.68692,-1.14961,0.371187,0,2.49702,-1.86,0.479616,3.43401,-1.18919,0.4512,0,1.71774,-1.86,0.45294,2.29186,-1.30553,0.395574,0,1.34373,-1.86,0.75625,1.70604,-1.1036,0.89484,0,2.48716,-1.86,0.165238,3.44541,-1.1353,-0.0207867,0,2.05194,-1.86,0.514337,2.768,-1.27081,0.49251,0,2.05297,-1.86,0.235791,2.78076,-1.21442,0.0910962,0,1.85721,-1.86,0.366493,2.50194,-1.15389,0.283999,0,2.17322,-1.86,0.738655,2.94342,-1.25384,0.818461,0,1.36654,-1.86,0.646606,1.76903,-1.2215,0.685967,0,1.56609,-1.86,0.427934,2.07097,-1.26714,0.369847,0,1.35391,-1.86,0.302055,1.7518,-1.21823,0.194183,0,1.74877,-1.86,0.210437,2.33625,-1.31276,0.0559634,0,
