time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,
0,4.203,-3.44286,0.220671,4.85672,-3.59215,0.0701979,4.20791,-1.86,0.506949,4.867,-0.277765,0.669642,0,3.88997,-1.86,0.612511,4.18329,-0.186893,0.913176,0,4.02991,-1.86,0.641227,4.49793,-0.311198,0.941926,0,4.77105,-1.86,0.3555,6.061,-0.236427,0.356041,0,4.19339,-1.86,0.230515,4.8362,-0.213063,0.0912143,0,4.9346,-1.86,0.483525,6.37001,-0.318037,0.613906,0,4.03133,-1.86,0.493763,4.4876,-0.188839,0.657374,0,4.32672,-1.86,0.716549,5.1206,-0.215948,1.12789,0,4.85765,-1.86,0.174201,6.22595,-0.281508,-0.0269952,0,3.88001,-1.86,0.35391,4.14838,-0.120811,0.362402,0,3.93703,-1.86,0.136454,4.27094,-0.105996,-0.115284,0,4.41237,-1.86,0.592478,5.30059,-0.236483,0.858429,0,4.22479,-1.86,0.118865,4.90302,-0.227523,-0.146207,0,4.1827,-1.86,0.381861,4.81413,-0.2709,0.408417,0,4.20366,-1.86,0.685872,4.85814,-0.144514,1.08345,0,4.76695,-1.86,0.649064,6.01618,-0.337851,0.950957,0,4.04675,-1.86,0.150835,4.51905,-0.171593,-0.080718,0,4.0342,-1.86,0.266316,4.48855,-0.139788,0.169754,0,4.72677,-1.86,0.1431,5.95551,-0.271561,-0.0925332,0,3.84925,-1.86,0.466029,4.07071,-0.0751154,0.615371,0,4.42786,-1.86,0.433961,5.34436,-0.159521,0.532744,0,4.29583,-1.86,0.591232,5.05717,-0.174298,0.870346,0,4.42329,-1.86,0.110991,5.32556,-0.223372,-0.163231,0,4.02798,-1.86,0.383569,4.48947,-0.270793,0.412011,0,4.30597,-1.86,0.470991,5.07366,-0.257453,0.597561,0,
0.0333341,4.2127,-3.44313,0.22037,4.87196,-3.59274,0.069861,4.20791,-1.86,0.506949,4.85373,-0.443532,0.642148,0,3.88997,-1.86,0.612511,4.20178,-0.36327,0.874641,0,4.02991,-1.86,0.641227,4.50189,-0.40743,0.915185,0,4.77105,-1.86,0.3555,6.01272,-0.341213,0.344671,0,4.19339,-1.86,0.230515,4.82448,-0.394713,0.0926647,0,4.9346,-1.86,0.483525,6.29946,-0.437804,0.597841,0,4.03133,-1.86,0.493763,4.49142,-0.345183,0.63296,0,4.32672,-1.86,0.716549,5.09582,-0.362558,1.08448,0,4.85765,-1.86,0.174201,6.161,-0.403272,-0.0219262,0,3.88001,-1.86,0.35391,4.16473,-0.261277,0.352009,0,3.93703,-1.86,0.136454,4.28287,-0.250237,-0.106123,0,4.41237,-1.86,0.592478,5.26725,-0.388792,0.825179,0,4.22479,-1.86,0.118865,4.88783,-0.397752,-0.132656,0,4.1827,-1.86,0.381861,4.80408,-0.452536,0.393534,0,4.20366,-1.86,0.685872,4.84451,-0.29051,1.04312,0,4.76695,-1.86,0.649064,5.97039,-0.437525,0.923858,0,4.04675,-1.86,0.150835,4.52271,-0.340594,-0.0706287,0,4.0342,-1.86,0.266316,4.49448,-0.347964,0.167908,0,4.72677,-1.86,0.1431,5.90019,-0.402258,-0.0823707,0,3.84925,-1.86,0.466029,4.08861,-0.211165,0.598141,0,4.42786,-1.86,0.433961,5.30871,-0.315632,0.514326,0,4.29583,-1.86,0.591232,5.0437,-0.275983,0.841614,0,4.42329,-1.86,0.110991,5.28902,-0.393858,-0.153604,0,4.02798,-1.86,0.383569,4.50124,-0.539399,0.389589,0,4.30597,-1.86,0.470991,5.04894,-0.451294,0.574311,0,
0.0666681,4.23815,-3.44322,0.220284,4.86728,-3.59254,0.0699649,4.20791,-1.86,0.506949,4.82821,-0.51354,0.627953,0,3.88997,-1.86,0.612511,4.19535,-0.490312,0.843629,0,4.02991,-1.86,0.641227,4.48119,-0.499961,0.890908,0,4.77105,-1.86,0.3555,5.95674,-0.414203,0.335542,0,4.19339,-1.86,0.230515,4.79596,-0.508076,0.0902948,0,4.9346,-1.86,0.483525,6.23816,-0.506102,0.583353,0,4.03133,-1.86,0.493763,4.47316,-0.448459,0.615571,0,4.32672,-1.86,0.716549,5.06173,-0.442758,1.05725,0,4.85765,-1.86,0.174201,6.1112,-0.459286,-0.0219393,0,3.88001,-1.86,0.35391,4.16051,-0.410537,0.336637,0,3.93703,-1.86,0.136454,4.2712,-0.369713,-0.0990783,0,4.41237,-1.86,0.592478,5.22429,-0.488871,0.799684,0,4.22479,-1.86,0.118865,4.85495,-0.527681,-0.125834,0,4.1827,-1.86,0.381861,4.77807,-0.545058,0.382313,0,4.20366,-1.86,0.685872,4.81657,-0.372562,1.01692,0,4.76695,-1.86,0.649064,5.90306,-0.533315,0.898314,0,4.04675,-1.86,0.150835,4.50421,-0.469264,-0.0643232,0,4.0342,-1.86,0.266316,4.47939,-0.51991,0.16107,0,4.72677,-1.86,0.1431,5.84066,-0.490492,-0.0818904,0,3.84925,-1.86,0.466029,4.07973,-0.305922,0.58391,0,4.42786,-1.86,0.433961,5.2641,-0.418943,0.498505,0,4.29583,-1.86,0.591232,5.01121,-0.347152,0.823063,0,4.42329,-1.86,0.110991,5.23971,-0.522882,-0.145984,0,4.02798,-1.86,0.383569,4.48736,-0.660655,0.372804,0,4.30597,-1.86,0.470991,5.01068,-0.573447,0.548144,0,
0.100002,4.24698,-3.44339,0.219984,4.89395,-3.5934,0.0693806,4.20791,-1.86,0.506949,4.83162,-0.600834,0.614442,0,3.88997,-1.86,0.612511,4.22427,-0.634082,0.81,0,4.02991,-1.86,0.641227,4.49489,-0.595042,0.864005,0,4.77105,-1.86,0.3555,5.91476,-0.528703,0.329234,0,4.19339,-1.86,0.230515,4.79927,-0.632087,0.091596,0,4.9346,-1.86,0.483525,6.20416,-0.584315,0.571382,0,4.03133,-1.86,0.493763,4.48859,-0.586511,0.59384,0,4.32672,-1.86,0.716549,5.05181,-0.569038,1.01991,0,4.85765,-1.86,0.174201,6.06661,-0.564322,-0.0131995,0,3.88001,-1.86,0.35391,4.19068,-0.550467,0.328212,0,3.93703,-1.86,0.136454,4.29576,-0.513788,-0.0892955,0,4.41237,-1.86,0.592478,5.21114,-0.604531,0.774658,0,4.22479,-1.86,0.118865,4.85097,-0.72325,-0.111035,0,4.1827,-1.86,0.381861,4.77953,-0.707013,0.370562,0,4.20366,-1.86,0.685872,4.81172,-0.563498,0.963582,0,4.76695,-1.86,0.649064,5.85239,-0.670893,0.861743,0,4.04675,-1.86,0.150835,4.52365,-0.690903,-0.0476194,0,4.0342,-1.86,0.266316,4.50104,-0.727734,0.157925,0,4.72677,-1.86,0.1431,5.80112,-0.61014,-0.0738023,0,3.84925,-1.86,0.466029,4.10837,-0.436383,0.565858,0,4.42786,-1.86,0.433961,5.24449,-0.559178,0.481803,0,4.29583,-1.86,0.591232,4.99527,-0.533435,0.784699,0,4.42329,-1.86,0.110991,5.21148,-0.715542,-0.12748,0,4.02798,-1.86,0.383569,4.50445,-0.791936,0.36026,0,4.30597,-1.86,0.470991,5.00119,-0.72963,0.520534,0,
0.133336,4.24698,-3.44339,0.219984,4.90385,-3.5937,0.0691644,4.20791,-1.86,0.506949,4.81626,-0.744286,0.589863,0,3.88997,-1.86,0.612511,4.24013,-0.782161,0.773082,0,4.02991,-1.86,0.641227,4.49572,-0.746114,0.822538,0,4.77105,-1.86,0.3555,5.84011,-0.689633,0.317564,0,4.19339,-1.86,0.230515,4.78607,-0.800273,0.0917417,0,4.9346,-1.86,0.483525,6.14189,-0.68636,0.555755,0,4.03133,-1.86,0.493763,4.49172,-0.742521,0.566905,0,4.32672,-1.86,0.716549,5.02566,-0.719258,0.972908,0,4.85765,-1.86,0.174201,5.99543,-0.697946,-0.00777695,0,3.88001,-1.86,0.35391,4.2054,-0.683648,0.319271,0,3.93703,-1.86,0.136454,4.31076,-0.693506,-0.0795501,0,4.41237,-1.86,0.592478,5.18133,-0.731906,0.744841,0,4.22479,-1.86,0.118865,4.83439,-0.944273,-0.0963489,0,4.1827,-1.86,0.381861,4.76887,-0.873745,0.35348,0,4.20366,-1.86,0.685872,4.799,-0.725435,0.914941,0,4.76695,-1.86,0.649064,5.78636,-0.814821,0.820167,0,4.04675,-1.86,0.150835,4.52975,-0.868824,-0.0387114,0,4.0342,-1.86,0.266316,4.50721,-0.883717,0.153425,0,4.72677,-1.86,0.1431,5.75204,-0.72112,-0.069632,0,3.84925,-1.86,0.466029,4.11932,-0.532489,0.546829,0,4.42786,-1.86,0.433961,5.20767,-0.719953,0.460272,0,4.29583,-1.86,0.591232,4.96817,-0.736844,0.73656,0,4.42329,-1.86,0.110991,5.17908,-0.868937,-0.116619,0,4.02798,-1.86,0.383569,4.5087,-0.943426,0.346763,0,4.30597,-1.86,0.470991,4.98754,-0.822367,0.500756,0,
0.16667,4.2734,-3.44355,0.219931,4.93139,-3.59469,0.068558,4.20791,-1.86,0.506949,4.82223,-0.852438,0.570609,0,3.88997,-1.86,0.612511,4.26279,-0.849313,0.754429,0,4.02991,-1.86,0.641227,4.51306,-0.826294,0.806724,0,4.77105,-1.86,0.3555,5.81954,-0.769416,0.308589,0,4.19339,-1.86,0.230515,4.79884,-0.850234,0.0946956,0,4.9346,-1.86,0.483525,6.10536,-0.774706,0.543267,0,4.03133,-1.86,0.493763,4.50918,-0.826352,0.552171,0,4.32672,-1.86,0.716549,5.02739,-0.801462,0.947007,0,4.85765,-1.86,0.174201,5.96544,-0.785068,-0.00653767,0,3.88001,-1.86,0.35391,4.23348,-0.79455,0.304539,0,3.93703,-1.86,0.136454,4.3345,-0.783443,-0.0730539,0,4.41237,-1.86,0.592478,5.17911,-0.808693,0.726649,0,4.22479,-1.86,0.118865,4.84371,-1.03629,-0.0916802,0,4.1827,-1.86,0.381861,4.78091,-0.931138,0.345864,0,4.20366,-1.86,0.685872,4.80739,-0.810991,0.889641,0,4.76695,-1.86,0.649064,5.78603,-0.853014,0.813631,0,4.04675,-1.86,0.150835,4.54888,-0.987357,-0.0366296,0,4.0342,-1.86,0.266316,4.52493,-0.959565,0.149984,0,4.72677,-1.86,0.1431,5.75044,-0.759481,-0.0667431,0,3.84925,-1.86,0.466029,4.13951,-0.587146,0.538519,0,4.42786,-1.86,0.433961,5.2056,-0.798416,0.448475,0,4.29583,-1.86,0.591232,4.97116,-0.835539,0.711145,0,4.42329,-1.86,0.110991,5.17461,-0.961592,-0.109479,0,4.02798,-1.86,0.383569,4.52721,-1.02744,0.340997,0,4.30597,-1.86,0.470991,4.99747,-0.851876,0.49422,0,
0.200004,4.29881,-3.44362,0.219872,4.9467,-3.59524,0.0682206,4.20791,-1.86,0.506949,4.81688,-0.964024,0.547467,0,3.88997,-1.86,0.612511,4.27549,-0.944324,0.72793,0,4.02991,-1.86,0.641227,4.51798,-0.93159,0.775079,0,4.77105,-1.86,0.3555,5.77669,-0.869276,0.298328,0,4.19339,-1.86,0.230515,4.79356,-0.935139,0.0948779,0,4.9346,-1.86,0.483525,6.0552,-0.867298,0.525853,0,4.03133,-1.86,0.493763,4.51417,-0.918332,0.534312,0,4.32672,-1.86,0.716549,5.01743,-0.878688,0.926657,0,4.85765,-1.86,0.174201,5.92168,-0.875545,-0.00487188,0,3.88001,-1.86,0.35391,4.25287,-0.91851,0.292021,0,3.93703,-1.86,0.136454,4.34684,-0.892627,-0.0692172,0,4.41237,-1.86,0.592478,5.15852,-0.915599,0.699587,0,4.22479,-1.86,0.118865,4.8399,-1.11753,-0.0898561,0,4.1827,-1.86,0.381861,4.77745,-1.01428,0.33204,0,4.20366,-1.86,0.685872,4.8023,-0.903171,0.860592,0,4.76695,-1.86,0.649064,5.7512,-0.928258,0.791352,0,4.04675,-1.86,0.150835,4.55572,-1.09043,-0.0340639,0,4.0342,-1.86,0.266316,4.53053,-1.05641,0.146278,0,4.72677,-1.86,0.1431,5.69863,-0.88377,-0.0631024,0,3.84925,-1.86,0.466029,4.1616,-0.737934,0.51531,0,4.42786,-1.86,0.433961,5.18372,-0.9087,0.431727,0,4.29583,-1.86,0.591232,4.96067,-0.93433,0.686321,0,4.42329,-1.86,0.110991,5.1479,-1.11078,-0.10302,0,4.02798,-1.86,0.383569,4.53253,-1.10881,0.329816,0,4.30597,-1.86,0.470991,4.97942,-0.983392,0.47103,0,
0.233338,4.29881,-3.44362,0.219872,4.95797,-3.59559,0.067974,4.20791,-1.86,0.506949,4.80821,-1.08897,0.524948,0,3.88997,-1.86,0.612511,4.28759,-1.04964,0.700661,0,4.02991,-1.86,0.641227,4.52084,-1.03378,0.749434,0,4.77105,-1.86,0.3555,5.73023,-0.972836,0.288894,0,4.19339,-1.86,0.230515,4.78594,-1.03281,0.094027,0,4.9346,-1.86,0.483525,6.0021,-0.960673,0.511354,0,4.03133,-1.86,0.493763,4.51767,-1.03339,0.514539,0,4.32672,-1.86,0.716549,4.99618,-1.01187,0.885044,0,4.85765,-1.86,0.174201,5.8805,-0.955144,-0.00649174,0,3.88001,-1.86,0.35391,4.2681,-1.0323,0.283143,0,3.93703,-1.86,0.136454,4.35841,-1.01264,-0.0646059,0,4.41237,-1.86,0.592478,5.13362,-1.03801,0.670942,0,4.22479,-1.86,0.118865,4.83176,-1.20384,-0.0832099,0,4.1827,-1.86,0.381861,4.77016,-1.16988,0.312292,0,4.20366,-1.86,0.685872,4.79321,-1.01843,0.82686,0,4.76695,-1.86,0.649064,5.69078,-1.06415,0.749397,0,4.04675,-1.86,0.150835,4.55832,-1.18319,-0.0308655,0,4.0342,-1.86,0.266316,4.53287,-1.13925,0.143967,0,4.72677,-1.86,0.1431,5.64924,-1.00595,-0.0568054,0,3.84925,-1.86,0.466029,4.18205,-0.869673,0.493029,0,4.42786,-1.86,0.433961,5.15741,-1.03461,0.414945,0,4.29583,-1.86,0.591232,4.948,-1.02854,0.65923,0,4.42329,-1.86,0.110991,5.13008,-1.20323,-0.0936946,0,4.02798,-1.86,0.383569,4.53679,-1.22053,0.320501,0,4.30597,-1.86,0.470991,4.96051,-1.14651,0.450433,0,
0.266672,4.30807,-3.44375,0.219624,4.96818,-3.59594,0.0677499,4.20791,-1.86,0.506949,4.80242,-1.1604,0.512085,0,3.88997,-1.86,0.612511,4.29109,-1.09109,0.690191,0,4.02991,-1.86,0.641227,4.52123,-1.08808,0.731151,0,4.77105,-1.86,0.3555,5.69531,-1.04952,0.280809,0,4.19339,-1.86,0.230515,4.77949,-1.11322,0.0934666,0,4.9346,-1.86,0.483525,5.96261,-1.02852,0.496359,0,4.03133,-1.86,0.493763,4.51956,-1.10836,0.500749,0,4.32672,-1.86,0.716549,4.98319,-1.09724,0.857858,0,4.85765,-1.86,0.174201,5.84266,-1.02638,-0.00664953,0,3.88001,-1.86,0.35391,4.2789,-1.11913,0.27521,0,3.93703,-1.86,0.136454,4.36575,-1.09502,-0.0600943,0,4.41237,-1.86,0.592478,5.11847,-1.1088,0.652578,0,4.22479,-1.86,0.118865,4.82606,-1.24892,-0.0802225,0,4.1827,-1.86,0.381861,4.76642,-1.24807,0.304599,0,4.20366,-1.86,0.685872,4.78658,-1.10173,0.800651,0,4.76695,-1.86,0.649064,5.65727,-1.14116,0.726094,0,4.04675,-1.86,0.150835,4.55942,-1.2585,-0.027512,0,4.0342,-1.86,0.266316,4.53388,-1.21182,0.141965,0,4.72677,-1.86,0.1431,5.61212,-1.09649,-0.0530452,0,3.84925,-1.86,0.466029,4.19272,-0.947004,0.480208,0,4.42786,-1.86,0.433961,5.13857,-1.12352,0.401308,0,4.29583,-1.86,0.591232,4.93711,-1.10092,0.639988,0,4.42329,-1.86,0.110991,5.11306,-1.28057,-0.0898536,0,4.02798,-1.86,0.383569,4.5382,-1.27921,0.313594,0,4.30597,-1.86,0.470991,4.94955,-1.24032,0.430367,0,
0.300007,4.33335,-3.44384,0.219568,4.99456,-3.59686,0.0671698,4.20791,-1.86,0.506949,4.81297,-1.21513,0.499486,0,3.88997,-1.86,0.612511,4.31616,-1.1831,0.667043,0,4.02991,-1.86,0.641227,4.53811,-1.15204,0.708187,0,4.77105,-1.86,0.3555,5.65944,-1.1713,0.269757,0,4.19339,-1.86,0.230515,4.79036,-1.20095,0.0865057,0,4.9346,-1.86,0.483525,5.92883,-1.11779,0.47689,0,4.03133,-1.86,0.493763,4.5387,-1.20088,0.483738,0,4.32672,-1.86,0.716549,4.98498,-1.19361,0.826477,0,4.85765,-1.86,0.174201,5.80326,-1.13894,-3.00109e-05,0,3.88001,-1.86,0.35391,4.30714,-1.21145,0.266572,0,3.93703,-1.86,0.136454,4.39185,-1.19626,-0.0566641,0,4.41237,-1.86,0.592478,5.11268,-1.21867,0.625863,0,4.22479,-1.86,0.118865,4.83438,-1.32534,-0.0771169,0,4.1827,-1.86,0.381861,4.77782,-1.33681,0.293946,0,4.20366,-1.86,0.685872,4.79597,-1.19771,0.771542,0,4.76695,-1.86,0.649064,5.62993,-1.24169,0.699997,0,4.04675,-1.86,0.150835,4.57807,-1.34328,-0.0257518,0,4.0342,-1.86,0.266316,4.55285,-1.296,0.137621,0,4.72677,-1.86,0.1431,5.58416,-1.20835,-0.0485256,0,3.84925,-1.86,0.466029,4.22362,-1.05197,0.462943,0,4.42786,-1.86,0.433961,5.12998,-1.25244,0.382206,0,4.29583,-1.86,0.591232,4.93933,-1.21156,0.61373,0,4.42329,-1.86,0.110991,5.10918,-1.38581,-0.0865126,0,4.02798,-1.86,0.383569,4.55586,-1.34994,0.305195,0,4.30597,-1.86,0.470991,4.95343,-1.3441,0.411887,0,
