time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,
0,7.55379,0.0946679,0.173845,8.41508,-0.218563,0.0986787,6.16,0.90653,0.382392,5.46742,1.49841,0.539724,0,6.16,0.7009,0.374419,5.47959,1.05824,0.521112,0,6.16,0.810739,0.304554,5.45901,1.30015,0.375899,0,6.16,0.459034,0.0758386,5.49516,0.544767,-0.106641,0,6.16,0.518209,0.33439,5.52619,0.659308,0.431438,0,6.16,0.659054,0.257042,5.39851,1.00294,0.278741,0,6.16,0.440024,0.483824,5.58259,0.483277,0.728626,0,6.16,0.11537,0.489465,5.42097,-0.174091,0.776688,0,6.16,0.5439,0.180014,5.4374,0.741176,0.111859,0,6.16,0.648762,0.0874152,5.52904,0.928769,-0.0802869,0,6.16,0.228733,0.591133,5.3675,0.0745774,1.0111,0,6.16,-0.0517074,0.352954,5.48827,-0.525935,0.474788,0,6.16,0.367318,0.556729,5.61527,0.329131,0.867808,0,6.16,-0.0593553,0.625467,5.35012,-0.557262,1.0918,0,6.16,0.1056,0.594547,5.40294,-0.194938,1.00786,0,6.16,-0.0662281,0.484344,5.38389,-0.568477,0.773948,0,6.16,0.220499,0.426599,5.3178,0.0610589,0.660349,0,6.16,-0.0424948,0.0946734,5.30233,-0.524888,-0.0781357,0,6.16,0.809568,0.198991,5.53545,1.25846,0.150632,0,6.16,0.104676,0.308864,5.24764,-0.195819,0.405515,0,6.16,0.896791,0.116684,5.50797,1.45448,-0.0205466,0,6.16,0.595626,0.412319,5.44697,0.848242,0.606515,0,6.16,0.318487,0.375414,5.35987,0.272054,0.540522,0,6.16,-0.0281156,0.214251,5.34126,-0.489346,0.187789,0,6.16,0.309187,0.109805,5.47452,0.234021,-0.0364305,0,6.16,0.202098,0.089101,5.62614,-0.00359792,-0.0708925,0,6.16,0.428026,0.183543,5.46375,0.487319,0.119214,0,6.16,0.0832055,0.0883699,5.47728,-0.242723,-0.0814842,0,
0.033334,7.55457,0.121012,0.174207,8.41674,-0.203162,0.0991138,6.16,0.90653,0.382392,5.5639,1.42808,0.521438,0,6.16,0.7009,0.374419,5.59668,0.994931,0.501628,0,6.16,0.810739,0.304554,5.55637,1.23841,0.3631,0,6.16,0.459034,0.0758386,5.66777,0.486332,-0.096789,0,6.16,0.518209,0.33439,5.67694,0.601035,0.40996,0,6.16,0.659054,0.257042,5.52877,0.936524,0.269433,0,6.16,0.440024,0.483824,5.71387,0.440451,0.697268,0,6.16,0.11537,0.489465,5.54812,-0.186573,0.742803,0,6.16,0.5439,0.180014,5.56788,0.688094,0.107814,0,6.16,0.648762,0.0874152,5.65101,0.869381,-0.0739801,0,6.16,0.228733,0.591133,5.49908,0.049216,0.968489,0,6.16,-0.0517074,0.352954,5.62058,-0.520667,0.456195,0,6.16,0.367318,0.556729,5.73747,0.294838,0.827794,0,6.16,-0.0593553,0.625467,5.4937,-0.553747,1.04295,0,6.16,0.1056,0.594547,5.50063,-0.201991,0.971893,0,6.16,-0.0662281,0.484344,5.57959,-0.562322,0.723119,0,6.16,0.220499,0.426599,5.4662,0.0356732,0.630727,0,6.16,-0.0424948,0.0946734,5.45958,-0.521843,-0.0726196,0,6.16,0.809568,0.198991,5.63748,1.19482,0.145325,0,6.16,0.104676,0.308864,5.39756,-0.208953,0.388356,0,6.16,0.896791,0.116684,5.5899,1.39553,-0.0185233,0,6.16,0.595626,0.412319,5.51741,0.817406,0.596308,0,6.16,0.318487,0.375414,5.5069,0.236473,0.516617,0,6.16,-0.0281156,0.214251,5.49738,-0.487575,0.178734,0,6.16,0.309187,0.109805,5.63357,0.198288,-0.0314027,0,6.16,0.202098,0.089101,5.74355,-0.0215181,-0.0658707,0,6.16,0.428026,0.183543,5.59767,0.444543,0.116943,0,6.16,0.0832055,0.0883699,5.61728,-0.251659,-0.0741187,0,
0.0666681,7.55439,0.130605,0.174037,8.41765,-0.192094,0.0994325,6.16,0.90653,0.382392,5.72546,1.30808,0.494145,0,6.16,0.7009,0.374419,5.77827,0.892875,0.473559,0,6.16,0.810739,0.304554,5.73953,1.11823,0.344099,0,6.16,0.459034,0.0758386,5.91647,0.399846,-0.0804164,0,6.16,0.518209,0.33439,5.91657,0.505958,0.378906,0,6.16,0.659054,0.257042,5.73579,0.828933,0.254338,0,6.16,0.440024,0.483824,5.93653,0.363653,0.643164,0,6.16,0.11537,0.489465,5.77826,-0.211991,0.69064,0,6.16,0.5439,0.180014,5.82154,0.581441,0.105346,0,6.16,0.648762,0.0874152,5.86397,0.761227,-0.0639302,0,6.16,0.228733,0.591133,5.74681,0.00205579,0.890804,0,6.16,-0.0517074,0.352954,5.8288,-0.5189,0.429681,0,6.16,0.367318,0.556729,5.92463,0.238645,0.773772,0,6.16,-0.0593553,0.625467,5.70835,-0.551407,0.9713,0,6.16,0.1056,0.594547,5.7062,-0.226282,0.909005,0,6.16,-0.0662281,0.484344,5.79509,-0.556207,0.674772,0,6.16,0.220499,0.426599,5.70596,-0.00805739,0.586392,0,6.16,-0.0424948,0.0946734,5.70127,-0.519732,-0.0579227,0,6.16,0.809568,0.198991,5.80185,1.08686,0.140914,0,6.16,0.104676,0.308864,5.64237,-0.232917,0.363991,0,6.16,0.896791,0.116684,5.77635,1.26013,-0.014303,0,6.16,0.595626,0.412319,5.70789,0.723356,0.559272,0,6.16,0.318487,0.375414,5.7451,0.176224,0.479422,0,6.16,-0.0281156,0.214251,5.73432,-0.487854,0.171542,0,6.16,0.309187,0.109805,5.88891,0.137725,-0.0227096,0,6.16,0.202098,0.089101,5.95263,-0.0570315,-0.0560901,0,6.16,0.428026,0.183543,5.82431,0.368484,0.112943,0,6.16,0.0832055,0.0883699,5.8122,-0.268671,-0.0634614,0,
0.100002,7.55552,0.157726,0.174456,8.41864,-0.18206,0.0997178,6.16,0.90653,0.382392,5.88384,1.1966,0.470949,0,6.16,0.7009,0.374419,5.96283,0.795117,0.445587,0,6.16,0.810739,0.304554,5.90606,1.01502,0.328111,0,6.16,0.459034,0.0758386,6.10434,0.33782,-0.0672737,0,6.16,0.518209,0.33439,6.12772,0.427244,0.354819,0,6.16,0.659054,0.257042,5.93571,0.730955,0.241147,0,6.16,0.440024,0.483824,6.12521,0.302997,0.601255,0,6.16,0.11537,0.489465,5.98521,-0.229138,0.639718,0,6.16,0.5439,0.180014,6.02085,0.502945,0.103476,0,6.16,0.648762,0.0874152,6.04066,0.675902,-0.052162,0,6.16,0.228733,0.591133,5.90469,-0.0252185,0.845956,0,6.16,-0.0517074,0.352954,6.03143,-0.512176,0.401075,0,6.16,0.367318,0.556729,6.12223,0.184788,0.720167,0,6.16,-0.0593553,0.625467,5.87196,-0.547072,0.918434,0,6.16,0.1056,0.594547,5.89547,-0.24296,0.85046,0,6.16,-0.0662281,0.484344,5.96967,-0.54938,0.635574,0,6.16,0.220499,0.426599,5.91297,-0.0412499,0.549245,0,6.16,-0.0424948,0.0946734,5.91316,-0.513355,-0.0478504,0,6.16,0.809568,0.198991,5.97081,0.982095,0.13668,0,6.16,0.104676,0.308864,5.96088,-0.253163,0.335064,0,6.16,0.896791,0.116684,5.93478,1.15129,-0.00798388,0,6.16,0.595626,0.412319,5.88793,0.641928,0.527718,0,6.16,0.318487,0.375414,5.95076,0.128809,0.448478,0,6.16,-0.0281156,0.214251,5.91729,-0.484726,0.163353,0,6.16,0.309187,0.109805,6.02175,0.107393,-0.0132122,0,6.16,0.202098,0.089101,6.10193,-0.0800287,-0.0461643,0,6.16,0.428026,0.183543,6.00658,0.311284,0.115752,0,6.16,0.0832055,0.0883699,5.94919,-0.279169,-0.0552174,0,
0.133336,7.55552,0.157726,0.174456,8.42153,-0.154634,0.100494,6.16,0.90653,0.382392,5.98026,1.14778,0.455183,0,6.16,0.7009,0.374419,6.06887,0.757781,0.431775,0,6.16,0.810739,0.304554,6.01846,0.964426,0.315311,0,6.16,0.459034,0.0758386,6.2099,0.320325,-0.0595451,0,6.16,0.518209,0.33439,6.23698,0.404509,0.342914,0,6.16,0.659054,0.257042,6.06096,0.688583,0.232531,0,6.16,0.440024,0.483824,6.20578,0.294608,0.581757,0,6.16,0.11537,0.489465,6.08788,-0.220616,0.618088,0,6.16,0.5439,0.180014,6.13638,0.475103,0.104272,0,6.16,0.648762,0.0874152,6.15409,0.639395,-0.0448553,0,6.16,0.228733,0.591133,6.05704,-0.0337935,0.798262,0,6.16,-0.0517074,0.352954,6.13256,-0.4917,0.390331,0,6.16,0.367318,0.556729,6.22133,0.175887,0.694607,0,6.16,-0.0593553,0.625467,6.01035,-0.525811,0.875067,0,6.16,0.1056,0.594547,6.04285,-0.237447,0.808529,0,6.16,-0.0662281,0.484344,6.10696,-0.526353,0.606662,0,6.16,0.220499,0.426599,6.05519,-0.0459117,0.523021,0,6.16,-0.0424948,0.0946734,6.07281,-0.490396,-0.0371824,0,6.16,0.809568,0.198991,6.08299,0.931984,0.134192,0,6.16,0.104676,0.308864,6.10818,-0.243598,0.320322,0,6.16,0.896791,0.116684,6.05379,1.08872,-0.00372843,0,6.16,0.595626,0.412319,5.96239,0.626546,0.511329,0,6.16,0.318487,0.375414,6.0557,0.122063,0.434791,0,6.16,-0.0281156,0.214251,6.03667,-0.465632,0.158138,0,6.16,0.309187,0.109805,6.14244,0.0963655,-0.00817142,0,6.16,0.202098,0.089101,6.20873,-0.0792994,-0.0401102,0,6.16,0.428026,0.183543,6.0923,0.301559,0.114168,0,6.16,0.0832055,0.0883699,6.0614,-0.270646,-0.0480739,0,
0.16667,7.55651,0.18387,0.174856,8.42316,-0.139367,0.100926,6.16,0.90653,0.382392,6.06242,1.09435,0.440162,0,6.16,0.7009,0.374419,6.14845,0.719697,0.417717,0,6.16,0.810739,0.304554,6.11013,0.912517,0.305916,0,6.16,0.459034,0.0758386,6.29686,0.295289,-0.0557067,0,6.16,0.518209,0.33439,6.298,0.384932,0.335461,0,6.16,0.659054,0.257042,6.16861,0.641314,0.222571,0,6.16,0.440024,0.483824,6.28767,0.270996,0.567264,0,6.16,0.11537,0.489465,6.17904,-0.225161,0.599909,0,6.16,0.5439,0.180014,6.23199,0.441286,0.102295,0,6.16,0.648762,0.0874152,6.24546,0.599859,-0.0407656,0,6.16,0.228733,0.591133,6.12256,-0.0403948,0.780565,0,6.16,-0.0517074,0.352954,6.19989,-0.486482,0.380126,0,6.16,0.367318,0.556729,6.27858,0.163483,0.677191,0,6.16,-0.0593553,0.625467,6.08499,-0.519129,0.84913,0,6.16,0.1056,0.594547,6.097,-0.237595,0.790544,0,6.16,-0.0662281,0.484344,6.24341,-0.514432,0.575607,0,6.16,0.220499,0.426599,6.14625,-0.0560323,0.506485,0,6.16,-0.0424948,0.0946734,6.17301,-0.482363,-0.032243,0,6.16,0.809568,0.198991,6.16253,0.887763,0.130296,0,6.16,0.104676,0.308864,6.22185,-0.246638,0.308061,0,6.16,0.896791,0.116684,6.13799,1.0362,-0.00192896,0,6.16,0.595626,0.412319,6.05731,0.586334,0.493266,0,6.16,0.318487,0.375414,6.152,0.103189,0.420861,0,6.16,-0.0281156,0.214251,6.11559,-0.460735,0.154961,0,6.16,0.309187,0.109805,6.19144,0.0889417,-0.00600106,0,6.16,0.202098,0.089101,6.28165,-0.0866312,-0.0348145,0,6.16,0.428026,0.183543,6.16937,0.279955,0.113475,0,6.16,0.0832055,0.0883699,6.15161,-0.272809,-0.0417337,0,
0.200004,7.55651,0.18387,0.174856,8.42426,-0.128158,0.101245,6.16,0.90653,0.382392,6.15161,1.03181,0.426635,0,6.16,0.7009,0.374419,6.23932,0.671271,0.40526,0,6.16,0.810739,0.304554,6.19432,0.860494,0.297938,0,6.16,0.459034,0.0758386,6.39073,0.264095,-0.0505007,0,6.16,0.518209,0.33439,6.37284,0.354816,0.327489,0,6.16,0.659054,0.257042,6.26338,0.59549,0.217025,0,6.16,0.440024,0.483824,6.36172,0.24598,0.549005,0,6.16,0.11537,0.489465,6.29903,-0.234744,0.572989,0,6.16,0.5439,0.180014,6.34363,0.397895,0.100321,0,6.16,0.648762,0.0874152,6.33469,0.5569,-0.0351951,0,6.16,0.228733,0.591133,6.23143,-0.0596722,0.744748,0,6.16,-0.0517074,0.352954,6.27123,-0.485902,0.369226,0,6.16,0.367318,0.556729,6.36469,0.138635,0.652605,0,6.16,-0.0593553,0.625467,6.18149,-0.517089,0.817416,0,6.16,0.1056,0.594547,6.15341,-0.245278,0.773108,0,6.16,-0.0662281,0.484344,6.34164,-0.508346,0.551487,0,6.16,0.220499,0.426599,6.23584,-0.0709706,0.489197,0,6.16,-0.0424948,0.0946734,6.2806,-0.478608,-0.0287072,0,6.16,0.809568,0.198991,6.23524,0.841961,0.129819,0,6.16,0.104676,0.308864,6.31065,-0.252751,0.297802,0,6.16,0.896791,0.116684,6.21551,0.982486,0.00129043,0,6.16,0.595626,0.412319,6.15069,0.544229,0.477147,0,6.16,0.318487,0.375414,6.24439,0.0816321,0.404961,0,6.16,-0.0281156,0.214251,6.20063,-0.460352,0.150257,0,6.16,0.309187,0.109805,6.28892,0.0653568,-0.00354128,0,6.16,0.202098,0.089101,6.35743,-0.0989425,-0.0317205,0,6.16,0.428026,0.183543,6.22906,0.2594,0.113279,0,6.16,0.0832055,0.0883699,6.24116,-0.27893,-0.0386948,0,
0.233338,7.55636,0.193879,0.174706,8.42531,-0.117785,0.10154,6.16,0.90653,0.382392,6.27348,0.952932,0.415843,0,6.16,0.7009,0.374419,6.36023,0.612093,0.392452,0,6.16,0.810739,0.304554,6.30646,0.795299,0.292266,0,6.16,0.459034,0.0758386,6.49833,0.23098,-0.0399213,0,6.16,0.518209,0.33439,6.49292,0.312356,0.313149,0,6.16,0.659054,0.257042,6.41934,0.526628,0.215637,0,6.16,0.440024,0.483824,6.46949,0.213214,0.526136,0,6.16,0.11537,0.489465,6.41292,-0.241078,0.548845,0,6.16,0.5439,0.180014,6.46439,0.354092,0.102166,0,6.16,0.648762,0.0874152,6.42962,0.513467,-0.0255793,0,6.16,0.228733,0.591133,6.34298,-0.0757529,0.714806,0,6.16,-0.0517074,0.352954,6.39403,-0.479928,0.35437,0,6.16,0.367318,0.556729,6.48913,0.108578,0.621028,0,6.16,-0.0593553,0.625467,6.31104,-0.509676,0.776608,0,6.16,0.1056,0.594547,6.28893,-0.25482,0.735891,0,6.16,-0.0662281,0.484344,6.43018,-0.503036,0.533525,0,6.16,0.220499,0.426599,6.36394,-0.0883703,0.468818,0,6.16,-0.0424948,0.0946734,6.37414,-0.474199,-0.0218413,0,6.16,0.809568,0.198991,6.37273,0.762915,0.132354,0,6.16,0.104676,0.308864,6.43167,-0.258537,0.283562,0,6.16,0.896791,0.116684,6.31696,0.915877,0.0102729,0,6.16,0.595626,0.412319,6.28083,0.490221,0.459153,0,6.16,0.318487,0.375414,6.36595,0.0564192,0.391201,0,6.16,-0.0281156,0.214251,6.32487,-0.456026,0.148903,0,6.16,0.309187,0.109805,6.39225,0.0441758,0.00339818,0,6.16,0.202098,0.089101,6.46111,-0.112586,-0.023912,0,6.16,0.428026,0.183543,6.38612,0.214293,0.114019,0,6.16,0.0832055,0.0883699,6.34165,-0.283863,-0.0302991,0,
0.266672,7.55736,0.220833,0.17514,8.42807,-0.0906249,0.102311,6.16,0.90653,0.382392,6.34673,0.922025,0.401429,0,6.16,0.7009,0.374419,6.43454,0.592485,0.37928,0,6.16,0.810739,0.304554,6.38317,0.767975,0.281732,0,6.16,0.459034,0.0758386,6.57495,0.22423,-0.0354956,0,6.16,0.518209,0.33439,6.56239,0.304856,0.306507,0,6.16,0.659054,0.257042,6.50294,0.506703,0.209684,0,6.16,0.440024,0.483824,6.5469,0.206992,0.511244,0,6.16,0.11537,0.489465,6.49314,-0.229448,0.534777,0,6.16,0.5439,0.180014,6.55088,0.33968,0.101629,0,6.16,0.648762,0.0874152,6.50556,0.495607,-0.0213162,0,6.16,0.228733,0.591133,6.4307,-0.0719897,0.688914,0,6.16,-0.0517074,0.352954,6.48628,-0.458066,0.343904,0,6.16,0.367318,0.556729,6.5376,0.113011,0.609272,0,6.16,-0.0593553,0.625467,6.40145,-0.487423,0.745431,0,6.16,0.1056,0.594547,6.35118,-0.242332,0.715463,0,6.16,-0.0662281,0.484344,6.51228,-0.481985,0.518094,0,6.16,0.220499,0.426599,6.4263,-0.0806789,0.457385,0,6.16,-0.0424948,0.0946734,6.44561,-0.455291,-0.0160074,0,6.16,0.809568,0.198991,6.4631,0.72952,0.128217,0,6.16,0.104676,0.308864,6.50142,-0.245863,0.277463,0,6.16,0.896791,0.116684,6.40725,0.875169,0.011238,0,6.16,0.595626,0.412319,6.35618,0.475788,0.445671,0,6.16,0.318487,0.375414,6.44814,0.0561222,0.379922,0,6.16,-0.0281156,0.214251,6.39946,-0.437008,0.148738,0,6.16,0.309187,0.109805,6.46273,0.0459277,0.00626487,0,6.16,0.202098,0.089101,6.52417,-0.104645,-0.0197076,0,6.16,0.428026,0.183543,6.48805,0.203757,0.112047,0,6.16,0.0832055,0.0883699,6.42427,-0.271376,-0.0256519,0,
0.300007,7.55736,0.220833,0.17514,8.42963,-0.0752596,0.102747,6.16,0.90653,0.382392,6.42719,0.874129,0.39102,0,6.16,0.7009,0.374419,6.51627,0.557156,0.368337,0,6.16,0.810739,0.304554,6.45603,0.730359,0.276565,0,6.16,0.459034,0.0758386,6.65751,0.204407,-0.0310635,0,6.16,0.518209,0.33439,6.63307,0.284491,0.299223,0,6.16,0.659054,0.257042,6.58303,0.475556,0.206376,0,6.16,0.440024,0.483824,6.6524,0.182364,0.488064,0,6.16,0.11537,0.489465,6.58945,-0.229141,0.517933,0,6.16,0.5439,0.180014,6.62054,0.318924,0.102846,0,6.16,0.648762,0.0874152,6.57592,0.468487,-0.0162307,0,6.16,0.228733,0.591133,6.5093,-0.0784652,0.666597,0,6.16,-0.0517074,0.352954,6.53519,-0.4514,0.336521,0,6.16,0.367318,0.556729,6.61116,0.0986923,0.590336,0,6.16,-0.0593553,0.625467,6.46593,-0.47956,0.729522,0,6.16,0.1056,0.594547,6.41523,-0.243137,0.696517,0,6.16,-0.0662281,0.484344,6.57608,-0.473533,0.504012,0,6.16,0.220499,0.426599,6.49798,-0.0867307,0.446498,0,6.16,-0.0424948,0.0946734,6.50865,-0.448468,-0.0123538,0,6.16,0.809568,0.198991,6.53359,0.694138,0.127825,0,6.16,0.104676,0.308864,6.58475,-0.245266,0.273366,0,6.16,0.896791,0.116684,6.48087,0.833019,0.0158566,0,6.16,0.595626,0.412319,6.43596,0.447102,0.433625,0,6.16,0.318487,0.375414,6.53383,0.0435793,0.369021,0,6.16,-0.0281156,0.214251,6.4713,-0.430274,0.147611,0,6.16,0.309187,0.109805,6.54408,0.0341669,0.0100982,0,6.16,0.202098,0.089101,6.60885,-0.110383,-0.0150693,0,6.16,0.428026,0.183543,6.5644,0.18732,0.112881,0,6.16,0.0832055,0.0883699,6.50769,-0.269893,-0.0204585,0,
