time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,
0,-7.70805,0.503054,0.338255,-7.33517,0.306734,0.752303,-6.16,0.61185,0.270512,-3.95755,0.544111,0.604499,0,-6.16,-0.119096,0.188183,-4.00336,-1.0323,0.429309,0,-6.16,0.613775,0.12335,-3.92596,0.55057,0.279027,0,-6.16,0.614271,0.40514,-3.95075,0.549881,0.898529,0,-6.16,0.805018,0.476602,-3.89393,0.977986,1.05984,0,-6.16,0.956076,0.19538,-3.9522,1.29673,0.440077,0,-6.16,0.612806,0.606626,-4.00686,0.542701,1.3293,0,-6.16,0.762652,0.361454,-3.84668,0.891732,0.804582,0,-6.16,0.770809,0.183078,-3.89035,0.90256,0.406993,0,-6.16,-0.0217422,0.124617,-4.03058,-0.813537,0.296254,0,-6.16,-0.0218143,0.257655,-3.92946,-0.847978,0.574982,0,-6.16,0.00908878,0.45961,-3.93632,-0.777802,1.01875,0,-6.16,0.0575105,0.561703,-3.95294,-0.666706,1.2405,0,-6.16,-0.0814689,0.392827,-3.97123,-0.963445,0.870889,0,-6.16,0.333855,0.278689,-3.96279,-0.061862,0.62254,0,-6.16,0.0782234,0.187957,-3.90222,-0.635369,0.419002,0,-6.16,0.519756,0.194848,-3.78732,0.345011,0.423641,0,-6.16,0.41177,0.580464,-3.98998,0.109477,1.27569,0,-6.16,0.248794,0.579625,-3.83471,-0.268201,1.29809,0,-6.16,0.103097,0.37691,-4.02662,-0.548069,0.834918,0,-6.16,0.304012,0.449111,-3.91522,-0.132989,0.997205,0,-6.16,0.223458,0.3078,-3.97844,-0.299532,0.686266,0,-6.16,0.127034,0.652892,-3.9338,-0.519458,1.44362,0,-6.16,0.263496,0.0961688,-3.85528,-0.231774,0.208114,0,-6.16,-0.151157,0.475754,-4.03658,-1.08726,1.04529,0,-6.16,-0.168852,0.0845742,-4.03909,-1.12388,0.21217,0,-6.16,0.395533,0.136231,-4.20281,0.0891732,0.343522,0,-6.16,-0.00775456,0.677083,-4.05347,-0.776125,1.47058,0,-6.16,0.428932,0.459698,-3.91121,0.142792,1.02091,0,-6.16,0.18866,0.184812,-3.99958,-0.370693,0.421678,0,
0.033334,-7.70772,0.474509,0.338696,-7.33432,0.27893,0.75198,-6.16,0.61185,0.270512,-4.15449,0.536067,0.6089,0,-6.16,-0.119096,0.188183,-4.13164,-0.975832,0.444315,0,-6.16,0.613775,0.12335,-4.07672,0.542417,0.300666,0,-6.16,0.614271,0.40514,-4.12814,0.54024,0.893213,0,-6.16,0.805018,0.476602,-4.10254,0.94463,1.04601,0,-6.16,0.956076,0.19538,-4.17969,1.23999,0.460583,0,-6.16,0.612806,0.606626,-4.15042,0.533059,1.30442,0,-6.16,0.762652,0.361454,-4.00497,0.867235,0.804682,0,-6.16,0.770809,0.183078,-4.04515,0.878488,0.421315,0,-6.16,-0.0217422,0.124617,-4.16361,-0.76507,0.314729,0,-6.16,-0.0218143,0.257655,-4.0453,-0.805843,0.582228,0,-6.16,0.00908878,0.45961,-4.01559,-0.75371,1.00844,0,-6.16,0.0575105,0.561703,-4.07969,-0.626631,1.21981,0,-6.16,-0.0814689,0.392827,-4.08588,-0.918119,0.863577,0,-6.16,0.333855,0.278689,-4.11317,-0.042374,0.629071,0,-6.16,0.0782234,0.187957,-4.02971,-0.597561,0.432352,0,-6.16,0.519756,0.194848,-3.94668,0.346286,0.439662,0,-6.16,0.41177,0.580464,-4.18035,0.125024,1.24336,0,-6.16,0.248794,0.579625,-3.99547,-0.23788,1.27586,0,-6.16,0.103097,0.37691,-4.17594,-0.506451,0.831176,0,-6.16,0.304012,0.449111,-4.0971,-0.106395,0.984175,0,-6.16,0.223458,0.3078,-4.14362,-0.266804,0.691102,0,-6.16,0.127034,0.652892,-4.08495,-0.477763,1.41379,0,-6.16,0.263496,0.0961688,-3.98175,-0.209192,0.229188,0,-6.16,-0.151157,0.475754,-4.15534,-1.03398,1.0333,0,-6.16,-0.168852,0.0845742,-4.14063,-1.07714,0.227823,0,-6.16,0.395533,0.136231,-4.30093,0.0905045,0.354244,0,-6.16,-0.00775456,0.677083,-4.18913,-0.727468,1.44443,0,-6.16,0.428932,0.459698,-4.09636,0.154848,1.0064,0,-6.16,0.18866,0.184812,-4.15893,-0.335207,0.437536,0,
0.0666681,-7.70772,0.474509,0.338696,-7.33383,0.263448,0.751799,-6.16,0.61185,0.270512,-4.33156,0.535392,0.61525,0,-6.16,-0.119096,0.188183,-4.26515,-0.908346,0.459411,0,-6.16,0.613775,0.12335,-4.23096,0.54353,0.321457,0,-6.16,0.614271,0.40514,-4.29257,0.540223,0.885047,0,-6.16,0.805018,0.476602,-4.28242,0.922138,1.02765,0,-6.16,0.956076,0.19538,-4.3363,1.20468,0.47297,0,-6.16,0.612806,0.606626,-4.3409,0.534471,1.26875,0,-6.16,0.762652,0.361454,-4.15606,0.853972,0.803637,0,-6.16,0.770809,0.183078,-4.2012,0.864085,0.435985,0,-6.16,-0.0217422,0.124617,-4.27273,-0.717797,0.333175,0,-6.16,-0.0218143,0.257655,-4.16755,-0.751632,0.589812,0,-6.16,0.00908878,0.45961,-4.12584,-0.705322,1.00352,0,-6.16,0.0575105,0.561703,-4.20946,-0.576943,1.20247,0,-6.16,-0.0814689,0.392827,-4.1819,-0.871709,0.86259,0,-6.16,0.333855,0.278689,-4.26657,-0.013633,0.636168,0,-6.16,0.0782234,0.187957,-4.19518,-0.536601,0.450922,0,-6.16,0.519756,0.194848,-4.12104,0.358167,0.455874,0,-6.16,0.41177,0.580464,-4.39157,0.151889,1.20947,0,-6.16,0.248794,0.579625,-4.16808,-0.195305,1.24371,0,-6.16,0.103097,0.37691,-4.31594,-0.45852,0.826751,0,-6.16,0.304012,0.449111,-4.28617,-0.068994,0.976702,0,-6.16,0.223458,0.3078,-4.26515,-0.235747,0.693534,0,-6.16,0.127034,0.652892,-4.23788,-0.427069,1.37853,0,-6.16,0.263496,0.0961688,-4.11353,-0.176839,0.249832,0,-6.16,-0.151157,0.475754,-4.32015,-0.947084,1.02207,0,-6.16,-0.168852,0.0845742,-4.23582,-1.02444,0.243203,0,-6.16,0.395533,0.136231,-4.44404,0.113193,0.375972,0,-6.16,-0.00775456,0.677083,-4.31826,-0.673147,1.41939,0,-6.16,0.428932,0.459698,-4.31693,0.180543,0.983186,0,-6.16,0.18866,0.184812,-4.28694,-0.299184,0.449214,0,
0.100002,-7.70849,0.447213,0.33831,-7.33325,0.25122,0.751649,-6.16,0.61185,0.270512,-4.52948,0.53553,0.620927,0,-6.16,-0.119096,0.188183,-4.36945,-0.854641,0.465819,0,-6.16,0.613775,0.12335,-4.45329,0.5446,0.349821,0,-6.16,0.614271,0.40514,-4.46036,0.541295,0.873781,0,-6.16,0.805018,0.476602,-4.47351,0.899271,1.00656,0,-6.16,0.956076,0.19538,-4.48992,1.17324,0.484224,0,-6.16,0.612806,0.606626,-4.49551,0.535269,1.24143,0,-6.16,0.762652,0.361454,-4.38455,0.833482,0.793138,0,-6.16,0.770809,0.183078,-4.37848,0.848137,0.448612,0,-6.16,-0.0217422,0.124617,-4.44094,-0.643578,0.349243,0,-6.16,-0.0218143,0.257655,-4.2861,-0.697965,0.592896,0,-6.16,0.00908878,0.45961,-4.24782,-0.652233,0.986873,0,-6.16,0.0575105,0.561703,-4.38015,-0.511005,1.17325,0,-6.16,-0.0814689,0.392827,-4.28411,-0.819384,0.858589,0,-6.16,0.333855,0.278689,-4.46183,0.0230023,0.639322,0,-6.16,0.0782234,0.187957,-4.39306,-0.465624,0.465871,0,-6.16,0.519756,0.194848,-4.34704,0.372461,0.472549,0,-6.16,0.41177,0.580464,-4.56778,0.174123,1.17836,0,-6.16,0.248794,0.579625,-4.36474,-0.147254,1.21025,0,-6.16,0.103097,0.37691,-4.52076,-0.388211,0.820964,0,-6.16,0.304012,0.449111,-4.50206,-0.025712,0.95426,0,-6.16,0.223458,0.3078,-4.48403,-0.177765,0.696539,0,-6.16,0.127034,0.652892,-4.41677,-0.367737,1.3419,0,-6.16,0.263496,0.0961688,-4.2901,-0.133447,0.273116,0,-6.16,-0.151157,0.475754,-4.46963,-0.868922,1.00478,0,-6.16,-0.168852,0.0845742,-4.4015,-0.932634,0.267368,0,-6.16,0.395533,0.136231,-4.60977,0.138457,0.397208,0,-6.16,-0.00775456,0.677083,-4.44215,-0.618372,1.38806,0,-6.16,0.428932,0.459698,-4.51207,0.202698,0.965415,0,-6.16,0.18866,0.184812,-4.48557,-0.241565,0.470931,0,
0.133336,-7.70911,0.421309,0.338029,-7.3326,0.235844,0.751463,-6.16,0.61185,0.270512,-4.66223,0.531102,0.630527,0,-6.16,-0.119096,0.188183,-4.47767,-0.801844,0.475341,0,-6.16,0.613775,0.12335,-4.6469,0.538391,0.377911,0,-6.16,0.614271,0.40514,-4.60552,0.537708,0.867083,0,-6.16,0.805018,0.476602,-4.6284,0.876017,0.993898,0,-6.16,0.956076,0.19538,-4.63701,1.13851,0.500142,0,-6.16,0.612806,0.606626,-4.64278,0.53223,1.21526,0,-6.16,0.762652,0.361454,-4.58162,0.80879,0.79055,0,-6.16,0.770809,0.183078,-4.53242,0.829444,0.465524,0,-6.16,-0.0217422,0.124617,-4.56026,-0.596013,0.370717,0,-6.16,-0.0218143,0.257655,-4.44894,-0.630532,0.59939,0,-6.16,0.00908878,0.45961,-4.38428,-0.598052,0.975506,0,-6.16,0.0575105,0.561703,-4.52978,-0.45946,1.15013,0,-6.16,-0.0814689,0.392827,-4.42359,-0.755495,0.845438,0,-6.16,0.333855,0.278689,-4.59245,0.0423323,0.642052,0,-6.16,0.0782234,0.187957,-4.53168,-0.420965,0.478997,0,-6.16,0.519756,0.194848,-4.54698,0.378344,0.490347,0,-6.16,0.41177,0.580464,-4.66058,0.182247,1.16932,0,-6.16,0.248794,0.579625,-4.52359,-0.113889,1.18293,0,-6.16,0.103097,0.37691,-4.65758,-0.347451,0.813513,0,-6.16,0.304012,0.449111,-4.66629,0.00171801,0.943616,0,-6.16,0.223458,0.3078,-4.64969,-0.14136,0.696986,0,-6.16,0.127034,0.652892,-4.59511,-0.315138,1.30478,0,-6.16,0.263496,0.0961688,-4.49133,-0.0918016,0.303837,0,-6.16,-0.151157,0.475754,-4.57003,-0.820363,0.991956,0,-6.16,-0.168852,0.0845742,-4.56384,-0.851459,0.291299,0,-6.16,0.395533,0.136231,-4.74323,0.15372,0.416435,0,-6.16,-0.00775456,0.677083,-4.55127,-0.574551,1.3623,0,-6.16,0.428932,0.459698,-4.64616,0.214194,0.958981,0,-6.16,0.18866,0.184812,-4.63187,-0.205543,0.483498,0,
0.16667,-7.70911,0.421309,0.338029,-7.33225,0.223896,0.751324,-6.16,0.61185,0.270512,-4.7907,0.528649,0.639236,0,-6.16,-0.119096,0.188183,-4.56462,-0.760128,0.490709,0,-6.16,0.613775,0.12335,-4.75187,0.534535,0.396691,0,-6.16,0.614271,0.40514,-4.73655,0.53509,0.864475,0,-6.16,0.805018,0.476602,-4.75568,0.85773,0.98353,0,-6.16,0.956076,0.19538,-4.74817,1.11229,0.512532,0,-6.16,0.612806,0.606626,-4.77062,0.528655,1.20207,0,-6.16,0.762652,0.361454,-4.76289,0.785984,0.789438,0,-6.16,0.770809,0.183078,-4.65381,0.815067,0.479995,0,-6.16,-0.0217422,0.124617,-4.66271,-0.554415,0.390534,0,-6.16,-0.0218143,0.257655,-4.57161,-0.581683,0.610906,0,-6.16,0.00908878,0.45961,-4.52447,-0.544145,0.971248,0,-6.16,0.0575105,0.561703,-4.66367,-0.413663,1.1371,0,-6.16,-0.0814689,0.392827,-4.56156,-0.694401,0.851875,0,-6.16,0.333855,0.278689,-4.69917,0.0593062,0.6546,0,-6.16,0.0782234,0.187957,-4.65217,-0.380729,0.495429,0,-6.16,0.519756,0.194848,-4.70045,0.382687,0.50919,0,-6.16,0.41177,0.580464,-4.80185,0.199392,1.14949,0,-6.16,0.248794,0.579625,-4.65373,-0.0861965,1.16905,0,-6.16,0.103097,0.37691,-4.79016,-0.306655,0.819443,0,-6.16,0.304012,0.449111,-4.75995,0.0178322,0.93676,0,-6.16,0.223458,0.3078,-4.73135,-0.123358,0.702913,0,-6.16,0.127034,0.652892,-4.72275,-0.278825,1.28486,0,-6.16,0.263496,0.0961688,-4.61704,-0.0670172,0.328572,0,-6.16,-0.151157,0.475754,-4.64739,-0.781605,0.991261,0,-6.16,-0.168852,0.0845742,-4.69442,-0.787469,0.325239,0,-6.16,0.395533,0.136231,-4.89118,0.171551,0.438355,0,-6.16,-0.00775456,0.677083,-4.67246,-0.527329,1.34518,0,-6.16,0.428932,0.459698,-4.79302,0.22875,0.948408,0,-6.16,0.18866,0.184812,-4.76103,-0.17288,0.502863,0,
0.200004,-7.70856,0.393719,0.338456,-7.33166,0.208704,0.751143,-6.16,0.61185,0.270512,-4.90662,0.523705,0.642062,0,-6.16,-0.119096,0.188183,-4.64873,-0.720373,0.497754,0,-6.16,0.613775,0.12335,-4.84238,0.531233,0.408276,0,-6.16,0.614271,0.40514,-4.85855,0.52964,0.862557,0,-6.16,0.805018,0.476602,-4.85038,0.841982,0.974213,0,-6.16,0.956076,0.19538,-4.82653,1.09221,0.519932,0,-6.16,0.612806,0.606626,-4.86241,0.525124,1.18156,0,-6.16,0.762652,0.361454,-4.8833,0.767839,0.78598,0,-6.16,0.770809,0.183078,-4.7498,0.801853,0.486958,0,-6.16,-0.0217422,0.124617,-4.74159,-0.523675,0.398454,0,-6.16,-0.0218143,0.257655,-4.66605,-0.5453,0.613893,0,-6.16,0.00908878,0.45961,-4.62595,-0.50734,0.962726,0,-6.16,0.0575105,0.561703,-4.75386,-0.384533,1.12328,0,-6.16,-0.0814689,0.392827,-4.66899,-0.648372,0.843508,0,-6.16,0.333855,0.278689,-4.78011,0.0711785,0.655809,0,-6.16,0.0782234,0.187957,-4.71279,-0.362769,0.499881,0,-6.16,0.519756,0.194848,-4.81636,0.3841,0.518102,0,-6.16,0.41177,0.580464,-4.88592,0.205838,1.13615,0,-6.16,0.248794,0.579625,-4.80789,-0.0555203,1.14493,0,-6.16,0.103097,0.37691,-4.8971,-0.275583,0.816607,0,-6.16,0.304012,0.449111,-4.84695,0.0322233,0.927936,0,-6.16,0.223458,0.3078,-4.83995,-0.0985679,0.705445,0,-6.16,0.127034,0.652892,-4.8114,-0.254338,1.26599,0,-6.16,0.263496,0.0961688,-4.7072,-0.0501616,0.343817,0,-6.16,-0.151157,0.475754,-4.74375,-0.733709,0.980557,0,-6.16,-0.168852,0.0845742,-4.79551,-0.738426,0.339786,0,-6.16,0.395533,0.136231,-4.98822,0.1801,0.449489,0,-6.16,-0.00775456,0.677083,-4.75712,-0.494975,1.32283,0,-6.16,0.428932,0.459698,-4.88798,0.234978,0.939384,0,-6.16,0.18866,0.184812,-4.83983,-0.155092,0.512005,0,
0.233338,-7.70947,0.385254,0.337889,-7.33119,0.197039,0.751002,-6.16,0.61185,0.270512,-4.99579,0.521884,0.644647,0,-6.16,-0.119096,0.188183,-4.72859,-0.680877,0.505388,0,-6.16,0.613775,0.12335,-4.95439,0.529538,0.42047,0,-6.16,0.614271,0.40514,-4.96324,0.527323,0.856284,0,-6.16,0.805018,0.476602,-4.94405,0.829551,0.964232,0,-6.16,0.956076,0.19538,-4.91007,1.07453,0.525975,0,-6.16,0.612806,0.606626,-5.00086,0.521768,1.15173,0,-6.16,0.762652,0.361454,-4.9793,0.75642,0.782186,0,-6.16,0.770809,0.183078,-4.83754,0.792719,0.495119,0,-6.16,-0.0217422,0.124617,-4.81536,-0.492046,0.409466,0,-6.16,-0.0218143,0.257655,-4.76902,-0.502751,0.619329,0,-6.16,0.00908878,0.45961,-4.7328,-0.465538,0.954588,0,-6.16,0.0575105,0.561703,-4.83036,-0.356646,1.11218,0,-6.16,-0.0814689,0.392827,-4.78098,-0.598194,0.838919,0,-6.16,0.333855,0.278689,-4.89059,0.0902492,0.658318,0,-6.16,0.0782234,0.187957,-4.83615,-0.319611,0.511786,0,-6.16,0.519756,0.194848,-4.92025,0.387745,0.523313,0,-6.16,0.41177,0.580464,-4.98605,0.217871,1.1181,0,-6.16,0.248794,0.579625,-4.90296,-0.0359683,1.12856,0,-6.16,0.103097,0.37691,-4.97336,-0.251627,0.817485,0,-6.16,0.304012,0.449111,-4.94064,0.0501208,0.919733,0,-6.16,0.223458,0.3078,-4.94757,-0.0733423,0.7067,0,-6.16,0.127034,0.652892,-4.86943,-0.23571,1.2507,0,-6.16,0.263496,0.0961688,-4.78011,-0.0334454,0.355558,0,-6.16,-0.151157,0.475754,-4.84535,-0.683117,0.973119,0,-6.16,-0.168852,0.0845742,-4.87019,-0.700118,0.353138,0,-6.16,0.395533,0.136231,-5.08501,0.192094,0.460393,0,-6.16,-0.00775456,0.677083,-4.88332,-0.445184,1.29934,0,-6.16,0.428932,0.459698,-4.98546,0.245057,0.930362,0,-6.16,0.18866,0.184812,-4.94313,-0.127165,0.522022,0,
0.266672,-7.70947,0.385254,0.337889,-7.33075,0.186531,0.750875,-6.16,0.61185,0.270512,-5.07006,0.52096,0.650274,0,-6.16,-0.119096,0.188183,-4.80835,-0.642087,0.51119,0,-6.16,0.613775,0.12335,-5.04542,0.527317,0.43262,0,-6.16,0.614271,0.40514,-5.04728,0.525511,0.85103,0,-6.16,0.805018,0.476602,-4.98679,0.824156,0.963175,0,-6.16,0.956076,0.19538,-4.96405,1.06293,0.527831,0,-6.16,0.612806,0.606626,-5.08945,0.519082,1.1378,0,-6.16,0.762652,0.361454,-5.0654,0.746642,0.780346,0,-6.16,0.770809,0.183078,-4.92362,0.783356,0.501415,0,-6.16,-0.0217422,0.124617,-4.91765,-0.449945,0.42279,0,-6.16,-0.0218143,0.257655,-4.83878,-0.475028,0.618031,0,-6.16,0.00908878,0.45961,-4.83341,-0.427249,0.946047,0,-6.16,0.0575105,0.561703,-4.90595,-0.329063,1.09894,0,-6.16,-0.0814689,0.392827,-4.86194,-0.562484,0.837351,0,-6.16,0.333855,0.278689,-4.98496,0.105114,0.66117,0,-6.16,0.0782234,0.187957,-4.9651,-0.278932,0.522334,0,-6.16,0.519756,0.194848,-4.99187,0.390494,0.527057,0,-6.16,0.41177,0.580464,-5.1149,0.230518,1.09707,0,-6.16,0.248794,0.579625,-5.00224,-0.0146684,1.10984,0,-6.16,0.103097,0.37691,-5.0492,-0.226705,0.814686,0,-6.16,0.304012,0.449111,-5.02089,0.0649101,0.912576,0,-6.16,0.223458,0.3078,-4.99756,-0.0619011,0.703676,0,-6.16,0.127034,0.652892,-4.9461,-0.210634,1.23374,0,-6.16,0.263496,0.0961688,-4.89377,-0.00894603,0.370889,0,-6.16,-0.151157,0.475754,-4.92903,-0.642089,0.965871,0,-6.16,-0.168852,0.0845742,-4.93794,-0.664741,0.363245,0,-6.16,0.395533,0.136231,-5.14794,0.200047,0.467504,0,-6.16,-0.00775456,0.677083,-4.989,-0.404714,1.27209,0,-6.16,0.428932,0.459698,-5.08366,0.254339,0.922188,0,-6.16,0.18866,0.184812,-5.02441,-0.106325,0.528224,0,
0.300006,-7.71005,0.358377,0.337492,-7.32954,0.159246,0.750543,-6.16,0.61185,0.270512,-5.13956,0.506472,0.655196,0,-6.16,-0.119096,0.188183,-4.89163,-0.61463,0.520035,0,-6.16,0.613775,0.12335,-5.11341,0.512527,0.441113,0,-6.16,0.614271,0.40514,-5.12334,0.510535,0.847664,0,-6.16,0.805018,0.476602,-5.02116,0.808525,0.958833,0,-6.16,0.956076,0.19538,-5.02425,1.03786,0.533433,0,-6.16,0.612806,0.606626,-5.15694,0.504339,1.1272,0,-6.16,0.762652,0.361454,-5.13999,0.724569,0.779356,0,-6.16,0.770809,0.183078,-5.00608,0.76069,0.510759,0,-6.16,-0.0217422,0.124617,-4.99848,-0.430804,0.436365,0,-6.16,-0.0218143,0.257655,-4.88908,-0.465807,0.62497,0,-6.16,0.00908878,0.45961,-4.92353,-0.406258,0.940584,0,-6.16,0.0575105,0.561703,-4.98,-0.315551,1.08896,0,-6.16,-0.0814689,0.392827,-4.94153,-0.53942,0.83616,0,-6.16,0.333855,0.278689,-5.06595,0.104512,0.666248,0,-6.16,0.0782234,0.187957,-5.03312,-0.270589,0.530888,0,-6.16,0.519756,0.194848,-5.06293,0.380889,0.535472,0,-6.16,0.41177,0.580464,-5.19514,0.224038,1.08519,0,-6.16,0.248794,0.579625,-5.0883,-0.0101451,1.09883,0,-6.16,0.103097,0.37691,-5.11865,-0.217734,0.814228,0,-6.16,0.304012,0.449111,-5.09478,0.0651689,0.908913,0,-6.16,0.223458,0.3078,-5.04574,-0.0616609,0.708075,0,-6.16,0.127034,0.652892,-5.00368,-0.206024,1.22618,0,-6.16,0.263496,0.0961688,-4.96165,-0.00825152,0.382892,0,-6.16,-0.151157,0.475754,-5.00613,-0.616833,0.960435,0,-6.16,-0.168852,0.0845742,-5.01176,-0.639335,0.380438,0,-6.16,0.395533,0.136231,-5.22141,0.196086,0.478488,0,-6.16,-0.00775456,0.677083,-5.1012,-0.376118,1.24898,0,-6.16,0.428932,0.459698,-5.15721,0.247431,0.918835,0,-6.16,0.18866,0.184812,-5.10251,-0.0993916,0.535096,0,
