time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,4.82619,3.38886,0.229906,4.90077,3.37358,0.285665,4.88057,1.86,0.594232,5.01385,0.194672,1.0432,0,4.35058,1.86,0.0407111,3.95934,0.347307,-0.0888331,0,4.23807,1.86,0.499565,3.69639,0.242652,0.837897,0,5.08909,1.86,0.571585,5.44946,0.182842,0.998753,0,4.63158,1.86,0.633893,4.50388,0.255462,1.1096,0,4.35199,1.86,0.579306,3.90358,0.158526,1.02042,0,4.46012,1.86,0.605891,4.16908,0.317689,1.03719,0,4.89532,1.86,0.284504,5.04534,0.176357,0.399843,0,4.28185,1.86,0.200238,3.78085,0.22808,0.224626,0,4.27704,1.86,0.389947,3.76667,0.216177,0.616182,0,4.213,1.86,0.0580794,3.63729,0.223313,-0.0683894,0,5.07312,1.86,0.454186,5.42053,0.155538,0.757744,0,4.93997,1.86,0.488284,5.15172,0.00181913,0.855496,0,4.09252,1.86,0.462675,3.44807,0.346355,0.74656,0,4.95227,1.86,0.0106705,5.16965,0.113228,-0.181863,0,4.66614,1.86,0.310918,4.56927,0.20691,0.453462,0,4.5568,1.86,0.470506,4.31852,0.069134,0.805694,0,5.08371,1.86,0.249915,5.42478,0.262639,0.32638,0,4.50237,1.86,0.315726,4.21933,0.156203,0.466268,0,4.15124,1.86,0.312103,3.51619,0.237269,0.454285,0,4.63789,1.86,0.189141,4.51752,0.261758,0.202693,0,4.43106,1.86,0.117998,4.06444,0.137533,0.0487965,0,4.7691,1.86,0.332158,4.77983,0.134301,0.502313,0,5.18827,1.86,0.129015,5.67875,0.0886722,0.0688908,0,5.00019,1.86,0.150188,5.26215,0.198368,0.120103,0,4.09915,1.86,0.0261892,3.42887,0.278349,-0.126767,0,4.67262,1.86,0.0282971,4.56468,0.0275836,-0.155567,0,4.99825,1.86,0.348159,5.26741,0.115906,0.537637,0,4.41187,1.86,0.237646,4.07108,0.311963,0.301166,0,4.55593,1.86,0.10757,4.31805,0.0769849,0.0218796,0,4.81225,1.86,0.00643675,4.87164,0.176976,-0.181574,0,4.80204,1.86,0.219991,4.84934,0.116466,0.264542,0,4.48893,1.86,0.0109694,4.18644,0.135396,-0.178051,0,
0.0333341,4.8156,3.38941,0.229873,4.89032,3.37389,0.285887,4.88057,1.86,0.594232,5.02352,0.278886,1.02169,0,4.35058,1.86,0.0407111,4.0112,0.461173,-0.0735351,0,4.23807,1.86,0.499565,3.73402,0.306605,0.827343,0,5.08909,1.86,0.571585,5.44737,0.286781,0.97512,0,4.63158,1.86,0.633893,4.5265,0.333696,1.08963,0,4.35199,1.86,0.579306,3.93717,0.224352,1.0061,0,4.46012,1.86,0.605891,4.20215,0.398848,1.01894,0,4.89532,1.86,0.284504,5.05413,0.264438,0.397531,0,4.28185,1.86,0.200238,3.81651,0.291799,0.228798,0,4.27704,1.86,0.389947,3.80698,0.288908,0.610433,0,4.213,1.86,0.0580794,3.67581,0.286325,-0.0581364,0,5.07312,1.86,0.454186,5.41897,0.263537,0.741518,0,4.93997,1.86,0.488284,5.15873,0.0994635,0.838637,0,4.09252,1.86,0.462675,3.4811,0.39229,0.741639,0,4.95227,1.86,0.0106705,5.17554,0.224388,-0.165052,0,4.66614,1.86,0.310918,4.59109,0.295507,0.450194,0,4.5568,1.86,0.470506,4.3555,0.178899,0.789168,0,5.08371,1.86,0.249915,5.41582,0.421149,0.322767,0,4.50237,1.86,0.315726,4.25617,0.258488,0.463545,0,4.15124,1.86,0.312103,3.5589,0.301642,0.452716,0,4.63789,1.86,0.189141,4.54327,0.35743,0.211348,0,4.43106,1.86,0.117998,4.10182,0.227011,0.0573697,0,4.7691,1.86,0.332158,4.79758,0.241389,0.498393,0,5.18827,1.86,0.129015,5.67078,0.174922,0.0762533,0,5.00019,1.86,0.150188,5.26337,0.31408,0.128333,0,4.09915,1.86,0.0261892,3.45759,0.317814,-0.119408,0,4.67262,1.86,0.0282971,4.59123,0.138339,-0.142405,0,4.99825,1.86,0.348159,5.2712,0.206526,0.53031,0,4.41187,1.86,0.237646,4.10309,0.38725,0.300447,0,4.55593,1.86,0.10757,4.35963,0.202582,0.0339259,0,4.81225,1.86,0.00643675,4.88294,0.24486,-0.166835,0,4.80204,1.86,0.219991,4.86619,0.238315,0.26389,0,4.48893,1.86,0.0109694,4.21684,0.213224,-0.163661,0,
0.0666681,4.78867,3.39027,0.230555,4.87503,3.37435,0.286212,4.88057,1.86,0.594232,5.02624,0.333974,1.00737,0,4.35058,1.86,0.0407111,4.03737,0.528748,-0.0673771,0,4.23807,1.86,0.499565,3.75847,0.354754,0.818681,0,5.08909,1.86,0.571585,5.43757,0.408423,0.944681,0,4.63158,1.86,0.633893,4.53642,0.381747,1.07992,0,4.35199,1.86,0.579306,3.9577,0.272755,0.99032,0,4.46012,1.86,0.605891,4.21425,0.43854,1.00331,0,4.89532,1.86,0.284504,5.05677,0.330744,0.392832,0,4.28185,1.86,0.200238,3.83686,0.3351,0.228387,0,4.27704,1.86,0.389947,3.82845,0.335149,0.604346,0,4.213,1.86,0.0580794,3.70205,0.337372,-0.0572252,0,5.07312,1.86,0.454186,5.41356,0.325202,0.731274,0,4.93997,1.86,0.488284,5.15986,0.177266,0.821899,0,4.09252,1.86,0.462675,3.49506,0.416623,0.740318,0,4.95227,1.86,0.0106705,5.17476,0.289742,-0.159131,0,4.66614,1.86,0.310918,4.60497,0.366711,0.44522,0,4.5568,1.86,0.470506,4.37348,0.248562,0.775794,0,5.08371,1.86,0.249915,5.40656,0.504862,0.319547,0,4.50237,1.86,0.315726,4.2841,0.349764,0.458576,0,4.15124,1.86,0.312103,3.58564,0.348675,0.450019,0,4.63789,1.86,0.189141,4.55491,0.415154,0.211603,0,4.43106,1.86,0.117998,4.12712,0.298667,0.0590772,0,4.7691,1.86,0.332158,4.80458,0.303775,0.49294,0,5.18827,1.86,0.129015,5.65893,0.257778,0.0748204,0,5.00019,1.86,0.150188,5.26019,0.363213,0.132991,0,4.09915,1.86,0.0261892,3.47519,0.346385,-0.117914,0,4.67262,1.86,0.0282971,4.60447,0.211992,-0.135066,0,4.99825,1.86,0.348159,5.26946,0.272872,0.522829,0,4.41187,1.86,0.237646,4.1178,0.429767,0.296991,0,4.55593,1.86,0.10757,4.37574,0.269029,0.036832,0,4.81225,1.86,0.00643675,4.8921,0.325798,-0.158978,0,4.80204,1.86,0.219991,4.87404,0.323279,0.263237,0,4.48893,1.86,0.0109694,4.23358,0.267056,-0.159495,0,
0.100002,4.78867,3.39027,0.230555,4.8632,3.37428,0.286452,4.88057,1.86,0.594232,5.03756,0.439135,0.9758,0,4.35058,1.86,0.0407111,4.09257,0.655156,-0.0597792,0,4.23807,1.86,0.499565,3.80542,0.437286,0.793812,0,5.08909,1.86,0.571585,5.42998,0.525347,0.911762,0,4.63158,1.86,0.633893,4.55697,0.44523,1.05936,0,4.35199,1.86,0.579306,3.99544,0.347779,0.966464,0,4.46012,1.86,0.605891,4.24618,0.515065,0.976647,0,4.89532,1.86,0.284504,5.06653,0.459488,0.380642,0,4.28185,1.86,0.200238,3.89403,0.445636,0.22158,0,4.27704,1.86,0.389947,3.88687,0.448815,0.581208,0,4.213,1.86,0.0580794,3.76342,0.448304,-0.0544494,0,5.07312,1.86,0.454186,5.41097,0.428748,0.708611,0,4.93997,1.86,0.488284,5.16646,0.318341,0.791351,0,4.09252,1.86,0.462675,3.55394,0.499552,0.717069,0,4.95227,1.86,0.0106705,5.18005,0.437517,-0.145643,0,4.66614,1.86,0.310918,4.63582,0.504252,0.430954,0,4.5568,1.86,0.470506,4.4205,0.407433,0.74259,0,5.08371,1.86,0.249915,5.40062,0.617184,0.311054,0,4.50237,1.86,0.315726,4.32662,0.47507,0.448343,0,4.15124,1.86,0.312103,3.63614,0.427633,0.437723,0,4.63789,1.86,0.189141,4.58659,0.549187,0.203221,0,4.43106,1.86,0.117998,4.1821,0.442338,0.0619102,0,4.7691,1.86,0.332158,4.82506,0.428148,0.476756,0,5.18827,1.86,0.129015,5.64197,0.409598,0.0818908,0,5.00019,1.86,0.150188,5.2629,0.478662,0.131212,0,4.09915,1.86,0.0261892,3.53115,0.428232,-0.115664,0,4.67262,1.86,0.0282971,4.63744,0.360958,-0.121005,0,4.99825,1.86,0.348159,5.27167,0.395948,0.507783,0,4.41187,1.86,0.237646,4.16844,0.552073,0.288607,0,4.55593,1.86,0.10757,4.41335,0.390096,0.0408435,0,4.81225,1.86,0.00643675,4.90539,0.415396,-0.150077,0,4.80204,1.86,0.219991,4.8915,0.460432,0.256562,0,4.48893,1.86,0.0109694,4.27627,0.385365,-0.150337,0,
0.133336,4.78867,3.39027,0.230555,4.84787,3.37446,0.28677,4.88057,1.86,0.594232,5.04237,0.578683,0.940706,0,4.35058,1.86,0.0407111,4.12906,0.752345,-0.0475683,0,4.23807,1.86,0.499565,3.85824,0.545907,0.774715,0,5.08909,1.86,0.571585,5.41632,0.648353,0.880631,0,4.63158,1.86,0.633893,4.57447,0.524739,1.03797,0,4.35199,1.86,0.579306,4.03856,0.452563,0.941544,0,4.46012,1.86,0.605891,4.28142,0.621862,0.949571,0,4.89532,1.86,0.284504,5.06878,0.612409,0.373439,0,4.28185,1.86,0.200238,3.94929,0.573579,0.220101,0,4.27704,1.86,0.389947,3.93816,0.564938,0.568209,0,4.213,1.86,0.0580794,3.80934,0.541544,-0.0427532,0,5.07312,1.86,0.454186,5.39954,0.550847,0.686827,0,4.93997,1.86,0.488284,5.16446,0.475125,0.763054,0,4.09252,1.86,0.462675,3.61272,0.599351,0.700259,0,4.95227,1.86,0.0106705,5.17665,0.573478,-0.12787,0,4.66614,1.86,0.310918,4.66376,0.678655,0.419363,0,4.5568,1.86,0.470506,4.45456,0.552595,0.720983,0,5.08371,1.86,0.249915,5.38936,0.72226,0.308093,0,4.50237,1.86,0.315726,4.36981,0.634768,0.433678,0,4.15124,1.86,0.312103,3.69361,0.532329,0.432045,0,4.63789,1.86,0.189141,4.6152,0.704693,0.207802,0,4.43106,1.86,0.117998,4.2202,0.561045,0.0697753,0,4.7691,1.86,0.332158,4.8424,0.607544,0.4619,0,5.18827,1.86,0.129015,5.62012,0.532863,0.0876547,0,5.00019,1.86,0.150188,5.25575,0.623969,0.136765,0,4.09915,1.86,0.0261892,3.5872,0.523481,-0.103942,0,4.67262,1.86,0.0282971,4.66066,0.506026,-0.101856,0,4.99825,1.86,0.348159,5.26465,0.536921,0.493988,0,4.41187,1.86,0.237646,4.21237,0.680222,0.292208,0,4.55593,1.86,0.10757,4.45564,0.566378,0.0529246,0,4.81225,1.86,0.00643675,4.91561,0.541424,-0.135062,0,4.80204,1.86,0.219991,4.90289,0.617589,0.255921,0,4.48893,1.86,0.0109694,4.32038,0.53418,-0.124443,0,
0.16667,4.74176,3.39161,0.231989,4.8632,3.37428,0.286452,4.88057,1.86,0.594232,5.06537,0.702539,0.906056,0,4.35058,1.86,0.0407111,4.17122,0.811397,-0.0435818,0,4.23807,1.86,0.499565,3.92092,0.639008,0.754607,0,5.08909,1.86,0.571585,5.42466,0.758267,0.852697,0,4.63158,1.86,0.633893,4.62364,0.663244,0.997177,0,4.35199,1.86,0.579306,4.10243,0.566409,0.909829,0,4.46012,1.86,0.605891,4.34886,0.774481,0.907545,0,4.89532,1.86,0.284504,5.09009,0.74089,0.365853,0,4.28185,1.86,0.200238,4.01831,0.690559,0.218268,0,4.27704,1.86,0.389947,4.00747,0.679947,0.552422,0,4.213,1.86,0.0580794,3.85437,0.595306,-0.0363415,0,5.07312,1.86,0.454186,5.4088,0.664019,0.666868,0,4.93997,1.86,0.488284,5.18102,0.649137,0.730635,0,4.09252,1.86,0.462675,3.67679,0.678246,0.686403,0,4.95227,1.86,0.0106705,5.19398,0.686969,-0.115397,0,4.66614,1.86,0.310918,4.69869,0.779523,0.409339,0,4.5568,1.86,0.470506,4.50368,0.678035,0.696331,0,5.08371,1.86,0.249915,5.39954,0.824692,0.304953,0,4.50237,1.86,0.315726,4.42139,0.753059,0.426011,0,4.15124,1.86,0.312103,3.75729,0.618251,0.422295,0,4.63789,1.86,0.189141,4.65806,0.833786,0.208222,0,4.43106,1.86,0.117998,4.27736,0.675817,0.0749702,0,4.7691,1.86,0.332158,4.87691,0.776635,0.447491,0,5.18827,1.86,0.129015,5.61807,0.659366,0.0908726,0,5.00019,1.86,0.150188,5.26774,0.752714,0.136705,0,4.09915,1.86,0.0261892,3.6593,0.61737,-0.0951219,0,4.67262,1.86,0.0282971,4.70251,0.646199,-0.0874896,0,4.99825,1.86,0.348159,5.27809,0.659877,0.481264,0,4.41187,1.86,0.237646,4.26854,0.788497,0.287169,0,4.55593,1.86,0.10757,4.50728,0.707414,0.0604842,0,4.81225,1.86,0.00643675,4.94434,0.666561,-0.121889,0,4.80204,1.86,0.219991,4.93118,0.740784,0.252868,0,4.48893,1.86,0.0109694,4.37527,0.659427,-0.110047,0,
0.200004,4.74176,3.39161,0.231989,4.81655,3.37476,0.287419,4.88057,1.86,0.594232,5.04355,0.804592,0.880194,0,4.35058,1.86,0.0407111,4.1876,0.912376,-0.0339436,0,4.23807,1.86,0.499565,3.93838,0.723002,0.736051,0,5.08909,1.86,0.571585,5.39337,0.821501,0.836935,0,4.63158,1.86,0.633893,4.6159,0.751231,0.970271,0,4.35199,1.86,0.579306,4.13026,0.697293,0.880111,0,4.46012,1.86,0.605891,4.34414,0.841516,0.889474,0,4.89532,1.86,0.284504,5.06659,0.865616,0.359717,0,4.28185,1.86,0.200238,4.03902,0.79214,0.219719,0,4.27704,1.86,0.389947,4.02859,0.781731,0.539461,0,4.213,1.86,0.0580794,3.88727,0.704235,-0.0283297,0,5.07312,1.86,0.454186,5.37533,0.763838,0.650727,0,4.93997,1.86,0.488284,5.15199,0.807258,0.702751,0,4.09252,1.86,0.462675,3.71712,0.784968,0.66539,0,4.95227,1.86,0.0106705,5.16771,0.802958,-0.0989106,0,4.66614,1.86,0.310918,4.68951,0.869895,0.402922,0,4.5568,1.86,0.470506,4.50384,0.780745,0.677876,0,5.08371,1.86,0.249915,5.35994,0.960173,0.300414,0,4.50237,1.86,0.315726,4.4284,0.869879,0.415439,0,4.15124,1.86,0.312103,3.77854,0.698117,0.414448,0,4.63789,1.86,0.189141,4.65276,0.948099,0.20732,0,4.43106,1.86,0.117998,4.29303,0.798432,0.0811633,0,4.7691,1.86,0.332158,4.86182,0.897887,0.437775,0,5.18827,1.86,0.129015,5.57577,0.769145,0.0975917,0,5.00019,1.86,0.150188,5.23714,0.864637,0.14152,0,4.09915,1.86,0.0261892,3.68662,0.704135,-0.0882744,0,4.67262,1.86,0.0282971,4.69436,0.749381,-0.0758277,0,4.99825,1.86,0.348159,5.24853,0.764599,0.471408,0,4.41187,1.86,0.237646,4.27894,0.891942,0.282383,0,4.55593,1.86,0.10757,4.50927,0.823269,0.066609,0,4.81225,1.86,0.00643675,4.92925,0.798762,-0.103013,0,4.80204,1.86,0.219991,4.91581,0.872129,0.252995,0,4.48893,1.86,0.0109694,4.38736,0.787804,-0.0946618,0,
0.233338,4.71482,3.39228,0.232579,4.78939,3.37484,0.287976,4.88057,1.86,0.594232,5.03446,0.968616,0.841458,0,4.35058,1.86,0.0407111,4.21653,1.01913,-0.0170038,0,4.23807,1.86,0.499565,3.98828,0.854753,0.716959,0,5.08909,1.86,0.571585,5.36762,0.960948,0.80614,0,4.63158,1.86,0.633893,4.63335,0.904363,0.932554,0,4.35199,1.86,0.579306,4.19198,0.90189,0.83674,0,4.46012,1.86,0.605891,4.37848,0.991481,0.855174,0,4.89532,1.86,0.284504,5.0544,1.02257,0.354299,0,4.28185,1.86,0.200238,4.0924,0.947787,0.223626,0,4.27704,1.86,0.389947,4.07748,0.924097,0.528873,0,4.213,1.86,0.0580794,3.92949,0.814758,-0.0113633,0,5.07312,1.86,0.454186,5.34568,0.93369,0.627079,0,4.93997,1.86,0.488284,5.13323,0.984699,0.67248,0,4.09252,1.86,0.462675,3.76893,0.896632,0.651245,0,4.95227,1.86,0.0106705,5.15101,0.955181,-0.0770586,0,4.66614,1.86,0.310918,4.69918,1.00301,0.398409,0,4.5568,1.86,0.470506,4.52892,0.943067,0.654184,0,5.08371,1.86,0.249915,5.32956,1.10703,0.298693,0,4.50237,1.86,0.315726,4.4604,1.04203,0.408746,0,4.15124,1.86,0.312103,3.83793,0.831564,0.412429,0,4.63789,1.86,0.189141,4.66708,1.10902,0.210691,0,4.43106,1.86,0.117998,4.33037,0.956929,0.0973035,0,4.7691,1.86,0.332158,4.86131,1.03678,0.429271,0,5.18827,1.86,0.129015,5.53587,0.927458,0.109764,0,5.00019,1.86,0.150188,5.21573,1.01663,0.151854,0,4.09915,1.86,0.0261892,3.73944,0.814122,-0.0680338,0,4.67262,1.86,0.0282971,4.71302,0.963588,-0.0449288,0,4.99825,1.86,0.348159,5.22763,0.92176,0.460282,0,4.41187,1.86,0.237646,4.31327,1.03212,0.286377,0,4.55593,1.86,0.10757,4.52942,0.963393,0.0804483,0,4.81225,1.86,0.00643675,4.92625,0.959328,-0.0761422,0,4.80204,1.86,0.219991,4.91088,0.987252,0.261321,0,4.48893,1.86,0.0109694,4.42427,0.971033,-0.0639331,0,
0.266672,4.68724,3.39307,0.233173,4.77427,3.37483,0.288284,4.88057,1.86,0.594232,5.03036,1.08884,0.812807,0,4.35058,1.86,0.0407111,4.26414,1.16527,-0.000516027,0,4.23807,1.86,0.499565,4.01735,0.929374,0.698003,0,5.08909,1.86,0.571585,5.3499,1.06949,0.781836,0,4.63158,1.86,0.633893,4.65476,1.06116,0.888348,0,4.35199,1.86,0.579306,4.237,1.04647,0.802816,0,4.46012,1.86,0.605891,4.40809,1.11185,0.824713,0,4.89532,1.86,0.284504,5.04975,1.10889,0.352083,0,4.28185,1.86,0.200238,4.13491,1.06486,0.227322,0,4.27704,1.86,0.389947,4.12021,1.03928,0.515672,0,4.213,1.86,0.0580794,3.97578,0.92294,-0.00270924,0,5.07312,1.86,0.454186,5.32856,1.04051,0.611995,0,4.93997,1.86,0.488284,5.12357,1.10783,0.65303,0,4.09252,1.86,0.462675,3.82353,1.00321,0.631693,0,4.95227,1.86,0.0106705,5.14039,1.0916,-0.0574928,0,4.66614,1.86,0.310918,4.71272,1.12758,0.390808,0,4.5568,1.86,0.470506,4.55796,1.10709,0.628803,0,5.08371,1.86,0.249915,5.31389,1.19794,0.298872,0,4.50237,1.86,0.315726,4.48451,1.16001,0.402965,0,4.15124,1.86,0.312103,3.8881,0.939468,0.405186,0,4.63789,1.86,0.189141,4.6841,1.25392,0.214,0,4.43106,1.86,0.117998,4.36866,1.10353,0.10701,0,4.7691,1.86,0.332158,4.8679,1.21238,0.417212,0,5.18827,1.86,0.129015,5.50631,1.05696,0.119829,0,5.00019,1.86,0.150188,5.19722,1.18166,0.157609,0,4.09915,1.86,0.0261892,3.79783,0.928109,-0.0541942,0,4.67262,1.86,0.0282971,4.72753,1.12161,-0.0241136,0,4.99825,1.86,0.348159,5.21461,1.04156,0.450854,0,4.41187,1.86,0.237646,4.35304,1.17638,0.283013,0,4.55593,1.86,0.10757,4.55425,1.10164,0.0905686,0,4.81225,1.86,0.00643675,4.9277,1.09193,-0.0579812,0,4.80204,1.86,0.219991,4.91192,1.05632,0.262535,0,4.48893,1.86,0.0109694,4.45817,1.12631,-0.0430336,0,
0.300007,4.68724,3.39307,0.233173,4.76165,3.37503,0.288548,4.88057,1.86,0.594232,5.02825,1.17893,0.794236,0,4.35058,1.86,0.0407111,4.28901,1.24531,0.012631,0,4.23807,1.86,0.499565,4.05679,1.02146,0.686604,0,5.08909,1.86,0.571585,5.33746,1.15121,0.766375,0,4.63158,1.86,0.633893,4.66223,1.12467,0.87465,0,4.35199,1.86,0.579306,4.2648,1.13556,0.786344,0,4.46012,1.86,0.605891,4.42313,1.17486,0.813936,0,4.89532,1.86,0.284504,5.04816,1.176,0.35083,0,4.28185,1.86,0.200238,4.16488,1.14632,0.232646,0,4.27704,1.86,0.389947,4.14978,1.11879,0.511124,0,4.213,1.86,0.0580794,4.01425,1.01204,0.0121142,0,5.07312,1.86,0.454186,5.31618,1.12822,0.600473,0,4.93997,1.86,0.488284,5.11558,1.22535,0.633605,0,4.09252,1.86,0.462675,3.86476,1.08526,0.625323,0,4.95227,1.86,0.0106705,5.13593,1.13464,-0.0492249,0,4.66614,1.86,0.310918,4.72139,1.20716,0.389389,0,4.5568,1.86,0.470506,4.56839,1.17325,0.62135,0,5.08371,1.86,0.249915,5.30282,1.27191,0.29942,0,4.50237,1.86,0.315726,4.50122,1.24046,0.404152,0,4.15124,1.86,0.312103,3.91163,0.991193,0.402339,0,4.63789,1.86,0.189141,4.6921,1.3247,0.220214,0,4.43106,1.86,0.117998,4.39205,1.1942,0.117232,0,4.7691,1.86,0.332158,4.86837,1.26935,0.416306,0,5.18827,1.86,0.129015,5.48983,1.12921,0.125045,0,5.00019,1.86,0.150188,5.18494,1.2862,0.166914,0,4.09915,1.86,0.0261892,3.83366,0.999162,-0.0410814,0,4.67262,1.86,0.0282971,4.73144,1.17383,-0.0141014,0,4.99825,1.86,0.348159,5.20634,1.12421,0.446503,0,4.41187,1.86,0.237646,4.37738,1.26655,0.287088,0,4.55593,1.86,0.10757,4.57298,1.20701,0.102822,0,4.81225,1.86,0.00643675,4.92861,1.16512,-0.0453793,0,4.80204,1.86,0.219991,4.91485,1.12107,0.265546,0,4.48893,1.86,0.0109694,4.4717,1.19117,-0.0315084,0,
