time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,-2.3185,-3.30931,0.285217,-1.75087,-3.46964,0.224895,-1.74196,-1.86,0.692719,-0.441233,-0.177482,1.15055,0,-2.35402,-1.86,0.324599,-1.83756,0.0674753,0.321009,0,-2.37858,-1.86,0.442438,-1.89005,-0.111911,0.589142,0,-1.804,-1.86,0.245337,-0.536436,-0.048651,0.130763,0,-2.47246,-1.86,0.594925,-2.12353,0.0383563,0.974529,0,-2.02502,-1.86,0.416811,-1.0404,0.0388482,0.543457,0,-1.87866,-1.86,0.531228,-0.701962,-0.013366,0.811575,0,-2.35596,-1.86,0.707921,-1.84073,0.00705719,1.2389,0,-2.55849,-1.86,0.715852,-2.32904,0.0219219,1.26235,0,-2.06793,-1.86,0.767681,-1.16225,-0.0650468,1.35826,0,-1.96964,-1.86,0.158506,-0.892178,0.0976989,-0.086991,0,-2.20504,-1.86,0.287101,-1.46826,0.140443,0.229589,0,-2.05146,-1.86,0.620476,-1.12521,-0.0740335,1.01038,0,-2.16379,-1.86,0.744868,-1.38262,-0.0199535,1.31897,0,-1.76469,-1.86,0.396343,-0.435745,-0.0279977,0.488783,0,-2.35303,-1.86,0.227082,-1.83723,0.154971,0.0795056,0,-2.67555,-1.86,0.22394,-2.63878,0.134558,0.0725096,0,-1.90862,-1.86,0.293649,-0.781219,-0.0410311,0.244843,0,-2.59748,-1.86,0.34399,-2.43674,0.0935161,0.36939,0,-1.63257,-1.86,0.33468,-0.16668,-0.122382,0.339132,0,-2.52938,-1.86,0.493465,-2.25416,-0.0106416,0.721911,0,-2.45335,-1.86,0.280032,-2.08685,0.141324,0.211977,0,-2.66578,-1.86,0.773305,-2.56574,-0.0689557,1.37015,0,-2.63803,-1.86,0.574289,-2.54107,0.114509,0.93977,0,-2.08763,-1.86,0.319782,-1.17685,0.133929,0.310837,0,-2.27532,-1.86,0.397577,-1.64561,0.0629258,0.498763,0,-1.84959,-1.86,0.146801,-0.626598,0.00527,-0.106975,0,-2.71365,-1.86,0.326037,-2.71981,0.0842252,0.324991,0,-2.00349,-1.86,0.517776,-0.987704,0.0415981,0.788314,0,-2.07214,-1.86,0.194465,-1.13228,0.169376,-0.0029684,0,-2.45834,-1.86,0.389074,-2.09785,0.126575,0.482599,0,
0.033334,-2.2937,-3.3088,0.285418,-1.73548,-3.46997,0.224572,-1.74196,-1.86,0.692719,-0.493515,-0.28062,1.11705,0,-2.35402,-1.86,0.324599,-1.84839,-0.172967,0.309149,0,-2.37858,-1.86,0.442438,-1.89167,-0.252837,0.570097,0,-1.804,-1.86,0.245337,-0.596861,-0.18694,0.130065,0,-2.47246,-1.86,0.594925,-2.11885,-0.113146,0.939915,0,-2.02502,-1.86,0.416811,-1.08258,-0.113063,0.529886,0,-1.87866,-1.86,0.531228,-0.760272,-0.159879,0.782127,0,-2.35596,-1.86,0.707921,-1.84922,-0.147789,1.19273,0,-2.55849,-1.86,0.715852,-2.31763,-0.109416,1.21981,0,-2.06793,-1.86,0.767681,-1.19463,-0.193791,1.31435,0,-1.96964,-1.86,0.158506,-0.94635,-0.0690253,-0.0769931,0,-2.20504,-1.86,0.287101,-1.49252,-0.0196733,0.227139,0,-2.05146,-1.86,0.620476,-1.16119,-0.215224,0.976699,0,-2.16379,-1.86,0.744868,-1.41054,-0.164145,1.27223,0,-1.76469,-1.86,0.396343,-0.48719,-0.135229,0.477131,0,-2.35303,-1.86,0.227082,-1.846,-0.0180688,0.0830061,0,-2.67555,-1.86,0.22394,-2.61792,0.00202346,0.0758836,0,-1.90862,-1.86,0.293649,-0.825743,-0.170223,0.239357,0,-2.59748,-1.86,0.34399,-2.42055,-0.0376682,0.365596,0,-1.63257,-1.86,0.33468,-0.24193,-0.247268,0.331188,0,-2.52938,-1.86,0.493465,-2.2429,-0.132613,0.70506,0,-2.45335,-1.86,0.280032,-2.0839,-0.0534332,0.209825,0,-2.66578,-1.86,0.773305,-2.54836,-0.183682,1.33047,0,-2.63803,-1.86,0.574289,-2.53045,0.0326929,0.924689,0,-2.08763,-1.86,0.319782,-1.20891,-4.45843e-05,0.304102,0,-2.27532,-1.86,0.397577,-1.662,-0.105291,0.483513,0,-1.84959,-1.86,0.146801,-0.673953,-0.109005,-0.0970389,0,-2.71365,-1.86,0.326037,-2.69363,-0.054256,0.318876,0,-2.00349,-1.86,0.517776,-1.03036,-0.101363,0.763134,0,-2.07214,-1.86,0.194465,-1.17618,-0.0052731,0.00578524,0,-2.45834,-1.86,0.389074,-2.09446,-0.0295501,0.469159,0,
0.0666681,-2.28539,-3.30849,0.285256,-1.72454,-3.47004,0.224346,-1.74196,-1.86,0.692719,-0.572569,-0.422176,1.07639,0,-2.35402,-1.86,0.324599,-1.86129,-0.355212,0.308855,0,-2.37858,-1.86,0.442438,-1.90548,-0.473605,0.546306,0,-1.804,-1.86,0.245337,-0.658028,-0.308484,0.13874,0,-2.47246,-1.86,0.594925,-2.11959,-0.322721,0.895757,0,-2.02502,-1.86,0.416811,-1.14747,-0.318739,0.511621,0,-1.87866,-1.86,0.531228,-0.836366,-0.336559,0.751523,0,-2.35596,-1.86,0.707921,-1.86607,-0.343112,1.13508,0,-2.55849,-1.86,0.715852,-2.31413,-0.239816,1.18061,0,-2.06793,-1.86,0.767681,-1.25776,-0.411343,1.23963,0,-1.96964,-1.86,0.158506,-1.02818,-0.303595,-0.052322,0,-2.20504,-1.86,0.287101,-1.52732,-0.200695,0.228648,0,-2.05146,-1.86,0.620476,-1.21485,-0.39057,0.93275,0,-2.16379,-1.86,0.744868,-1.45466,-0.362804,1.20957,0,-1.76469,-1.86,0.396343,-0.558506,-0.266197,0.467541,0,-2.35303,-1.86,0.227082,-1.86433,-0.261858,0.096056,0,-2.67555,-1.86,0.22394,-2.60408,-0.128533,0.0824851,0,-1.90862,-1.86,0.293649,-0.88914,-0.321547,0.236295,0,-2.59748,-1.86,0.34399,-2.40968,-0.203124,0.358078,0,-1.63257,-1.86,0.33468,-0.33342,-0.392734,0.330192,0,-2.52938,-1.86,0.493465,-2.23746,-0.330416,0.677098,0,-2.45335,-1.86,0.280032,-2.08524,-0.272503,0.212405,0,-2.66578,-1.86,0.773305,-2.53102,-0.349679,1.27409,0,-2.63803,-1.86,0.574289,-2.52146,-0.107041,0.89774,0,-2.08763,-1.86,0.319782,-1.24933,-0.137787,0.306389,0,-2.27532,-1.86,0.397577,-1.69689,-0.39587,0.466189,0,-1.84959,-1.86,0.146801,-0.75907,-0.294672,-0.0797024,0,-2.71365,-1.86,0.326037,-2.66851,-0.226549,0.314589,0,-2.00349,-1.86,0.517776,-1.0971,-0.300181,0.731716,0,-2.07214,-1.86,0.194465,-1.23787,-0.228734,0.0200191,0,-2.45834,-1.86,0.389074,-2.09649,-0.248191,0.45034,0,
0.100002,-2.28539,-3.30849,0.285256,-1.7144,-3.47017,0.224135,-1.74196,-1.86,0.692719,-0.665507,-0.60765,1.02915,0,-2.35402,-1.86,0.324599,-1.87236,-0.572013,0.307569,0,-2.37858,-1.86,0.442438,-1.91163,-0.671531,0.52944,0,-1.804,-1.86,0.245337,-0.736037,-0.476086,0.148052,0,-2.47246,-1.86,0.594925,-2.11265,-0.551497,0.85053,0,-2.02502,-1.86,0.416811,-1.21568,-0.565984,0.494084,0,-1.87866,-1.86,0.531228,-0.896935,-0.487529,0.726703,0,-2.35596,-1.86,0.707921,-1.87803,-0.579329,1.0709,0,-2.55849,-1.86,0.715852,-2.30049,-0.444161,1.12493,0,-2.06793,-1.86,0.767681,-1.30499,-0.598417,1.18207,0,-1.96964,-1.86,0.158506,-1.10504,-0.54985,-0.0261154,0,-2.20504,-1.86,0.287101,-1.56052,-0.406897,0.231351,0,-2.05146,-1.86,0.620476,-1.27465,-0.615952,0.885477,0,-2.16379,-1.86,0.744868,-1.49478,-0.585063,1.14787,0,-1.76469,-1.86,0.396343,-0.637651,-0.426721,0.461293,0,-2.35303,-1.86,0.227082,-1.87436,-0.475353,0.107291,0,-2.67555,-1.86,0.22394,-2.58011,-0.298108,0.0944422,0,-1.90862,-1.86,0.293649,-0.96139,-0.511914,0.239837,0,-2.59748,-1.86,0.34399,-2.39422,-0.360363,0.357773,0,-1.63257,-1.86,0.33468,-0.437263,-0.571551,0.328714,0,-2.52938,-1.86,0.493465,-2.22336,-0.543933,0.650939,0,-2.45335,-1.86,0.280032,-2.08217,-0.46295,0.215523,0,-2.66578,-1.86,0.773305,-2.50311,-0.542733,1.21485,0,-2.63803,-1.86,0.574289,-2.48156,-0.401257,0.846183,0,-2.08763,-1.86,0.319782,-1.29805,-0.327541,0.303258,0,-2.27532,-1.86,0.397577,-1.71815,-0.635193,0.452864,0,-1.84959,-1.86,0.146801,-0.834594,-0.476452,-0.0564743,0,-2.71365,-1.86,0.326037,-2.6313,-0.429947,0.314483,0,-2.00349,-1.86,0.517776,-1.16341,-0.523712,0.69957,0,-2.07214,-1.86,0.194465,-1.30462,-0.509031,0.0442511,0,-2.45834,-1.86,0.389074,-2.09026,-0.501127,0.43734,0,
0.133336,-2.25814,-3.30821,0.285794,-1.68784,-3.47064,0.223579,-1.74196,-1.86,0.692719,-0.71042,-0.732057,0.995285,0,-2.35402,-1.86,0.324599,-1.86317,-0.72753,0.30209,0,-2.37858,-1.86,0.442438,-1.89929,-0.772586,0.517367,0,-1.804,-1.86,0.245337,-0.785035,-0.620846,0.152773,0,-2.47246,-1.86,0.594925,-2.09096,-0.705966,0.818338,0,-2.02502,-1.86,0.416811,-1.24069,-0.719148,0.480627,0,-1.87866,-1.86,0.531228,-0.930927,-0.611901,0.705652,0,-2.35596,-1.86,0.707921,-1.86886,-0.745147,1.02231,0,-2.55849,-1.86,0.715852,-2.26995,-0.612226,1.07807,0,-2.06793,-1.86,0.767681,-1.31297,-0.690166,1.15017,0,-1.96964,-1.86,0.158506,-1.13998,-0.716387,-0.0118728,0,-2.20504,-1.86,0.287101,-1.56987,-0.57462,0.230973,0,-2.05146,-1.86,0.620476,-1.28852,-0.732904,0.860101,0,-2.16379,-1.86,0.744868,-1.50559,-0.734114,1.10028,0,-1.76469,-1.86,0.396343,-0.662773,-0.510144,0.44971,0,-2.35303,-1.86,0.227082,-1.86673,-0.684948,0.114787,0,-2.67555,-1.86,0.22394,-2.53989,-0.454384,0.101993,0,-1.90862,-1.86,0.293649,-1.00829,-0.686381,0.241659,0,-2.59748,-1.86,0.34399,-2.36688,-0.481557,0.35072,0,-1.63257,-1.86,0.33468,-0.509766,-0.727836,0.316743,0,-2.52938,-1.86,0.493465,-2.19906,-0.664207,0.635129,0,-2.45335,-1.86,0.280032,-2.06487,-0.576423,0.214799,0,-2.66578,-1.86,0.773305,-2.4672,-0.67459,1.16909,0,-2.63803,-1.86,0.574289,-2.44693,-0.521589,0.823306,0,-2.08763,-1.86,0.319782,-1.32076,-0.488603,0.299231,0,-2.27532,-1.86,0.397577,-1.71693,-0.794993,0.438984,0,-1.84959,-1.86,0.146801,-0.876942,-0.618083,-0.0432323,0,-2.71365,-1.86,0.326037,-2.58685,-0.580043,0.310042,0,-2.00349,-1.86,0.517776,-1.1942,-0.68594,0.673438,0,-2.07214,-1.86,0.194465,-1.33001,-0.690512,0.0552644,0,-2.45834,-1.86,0.389074,-2.06764,-0.689546,0.42483,0,
0.16667,-2.25039,-3.30803,0.285648,-1.67722,-3.47083,0.223357,-1.74196,-1.86,0.692719,-0.760497,-0.82885,0.965302,0,-2.35402,-1.86,0.324599,-1.86988,-0.855706,0.297784,0,-2.37858,-1.86,0.442438,-1.90572,-0.891475,0.502861,0,-1.804,-1.86,0.245337,-0.830984,-0.721404,0.149911,0,-2.47246,-1.86,0.594925,-2.08809,-0.829134,0.791161,0,-2.02502,-1.86,0.416811,-1.26961,-0.819328,0.465328,0,-1.87866,-1.86,0.531228,-0.978738,-0.729311,0.684136,0,-2.35596,-1.86,0.707921,-1.87563,-0.880698,0.980963,0,-2.55849,-1.86,0.715852,-2.25942,-0.744436,1.03884,0,-2.06793,-1.86,0.767681,-1.33087,-0.746005,1.12982,0,-1.96964,-1.86,0.158506,-1.18755,-0.868319,0.000489175,0,-2.20504,-1.86,0.287101,-1.59358,-0.731335,0.227975,0,-2.05146,-1.86,0.620476,-1.32175,-0.850412,0.831127,0,-2.16379,-1.86,0.744868,-1.5231,-0.819866,1.07037,0,-1.76469,-1.86,0.396343,-0.714416,-0.608968,0.440413,0,-2.35303,-1.86,0.227082,-1.87227,-0.822458,0.11948,0,-2.67555,-1.86,0.22394,-2.51807,-0.595191,0.107016,0,-1.90862,-1.86,0.293649,-1.06566,-0.846599,0.240058,0,-2.59748,-1.86,0.34399,-2.3557,-0.605555,0.345792,0,-1.63257,-1.86,0.33468,-0.553861,-0.803584,0.31414,0,-2.52938,-1.86,0.493465,-2.19584,-0.746888,0.626384,0,-2.45335,-1.86,0.280032,-2.06515,-0.701257,0.215522,0,-2.66578,-1.86,0.773305,-2.45276,-0.781565,1.13418,0,-2.63803,-1.86,0.574289,-2.43188,-0.649379,0.796639,0,-2.08763,-1.86,0.319782,-1.3575,-0.642015,0.292641,0,-2.27532,-1.86,0.397577,-1.73283,-0.964785,0.423241,0,-1.84959,-1.86,0.146801,-0.928398,-0.74083,-0.0333281,0,-2.71365,-1.86,0.326037,-2.56616,-0.696798,0.305874,0,-2.00349,-1.86,0.517776,-1.23413,-0.820132,0.650112,0,-2.07214,-1.86,0.194465,-1.36165,-0.822052,0.0593659,0,-2.45834,-1.86,0.389074,-2.06425,-0.821073,0.416042,0,
0.200004,-2.22594,-3.30771,0.285695,-1.66181,-3.47112,0.223034,-1.74196,-1.86,0.692719,-0.802431,-0.92218,0.942059,0,-2.35402,-1.86,0.324599,-1.86957,-0.950283,0.299209,0,-2.37858,-1.86,0.442438,-1.90465,-0.996141,0.493466,0,-1.804,-1.86,0.245337,-0.87389,-0.825795,0.154839,0,-2.47246,-1.86,0.594925,-2.07989,-0.937932,0.772075,0,-2.02502,-1.86,0.416811,-1.29424,-0.922211,0.462076,0,-1.87866,-1.86,0.531228,-1.02568,-0.864264,0.662579,0,-2.35596,-1.86,0.707921,-1.87599,-1.00493,0.946588,0,-2.55849,-1.86,0.715852,-2.24434,-0.864286,1.00507,0,-2.06793,-1.86,0.767681,-1.35371,-0.840419,1.10052,0,-1.96964,-1.86,0.158506,-1.22159,-0.997071,0.0135099,0,-2.20504,-1.86,0.287101,-1.60701,-0.860544,0.230775,0,-2.05146,-1.86,0.620476,-1.34845,-0.971246,0.803798,0,-2.16379,-1.86,0.744868,-1.54596,-0.970137,1.01903,0,-1.76469,-1.86,0.396343,-0.755886,-0.702605,0.436163,0,-2.35303,-1.86,0.227082,-1.87268,-0.966967,0.126754,0,-2.67555,-1.86,0.22394,-2.48702,-0.748241,0.113427,0,-1.90862,-1.86,0.293649,-1.10597,-0.976926,0.241236,0,-2.59748,-1.86,0.34399,-2.33024,-0.777546,0.339162,0,-1.63257,-1.86,0.33468,-0.608533,-0.904354,0.313871,0,-2.52938,-1.86,0.493465,-2.18683,-0.845423,0.612936,0,-2.45335,-1.86,0.280032,-2.05822,-0.819823,0.218916,0,-2.66578,-1.86,0.773305,-2.43296,-0.886585,1.10067,0,-2.63803,-1.86,0.574289,-2.41641,-0.734432,0.778833,0,-2.08763,-1.86,0.319782,-1.38587,-0.790138,0.292154,0,-2.27532,-1.86,0.397577,-1.73846,-1.09457,0.415633,0,-1.84959,-1.86,0.146801,-0.954125,-0.814426,-0.0300673,0,-2.71365,-1.86,0.326037,-2.54047,-0.810303,0.304625,0,-2.00349,-1.86,0.517776,-1.25722,-0.914683,0.636069,0,-2.07214,-1.86,0.194465,-1.38867,-0.957959,0.0714048,0,-2.45834,-1.86,0.389074,-2.05487,-0.960249,0.408552,0,
0.233338,-2.21682,-3.30757,0.285195,-1.6507,-3.47134,0.222801,-1.74196,-1.86,0.692719,-0.843629,-1.00571,0.920483,0,-2.35402,-1.86,0.324599,-1.87414,-1.03833,0.297666,0,-2.37858,-1.86,0.442438,-1.90745,-1.08644,0.484687,0,-1.804,-1.86,0.245337,-0.910615,-0.907839,0.157701,0,-2.47246,-1.86,0.594925,-2.07756,-1.0216,0.754111,0,-2.02502,-1.86,0.416811,-1.3193,-1.0133,0.456433,0,-1.87866,-1.86,0.531228,-1.06399,-0.967994,0.647135,0,-2.35596,-1.86,0.707921,-1.87941,-1.09913,0.921745,0,-2.55849,-1.86,0.715852,-2.2372,-0.947258,0.976986,0,-2.06793,-1.86,0.767681,-1.37222,-0.907791,1.07779,0,-1.96964,-1.86,0.158506,-1.24444,-1.07147,0.0185733,0,-2.20504,-1.86,0.287101,-1.62316,-0.979167,0.231605,0,-2.05146,-1.86,0.620476,-1.37466,-1.07619,0.778949,0,-2.16379,-1.86,0.744868,-1.56668,-1.10737,0.981841,0,-1.76469,-1.86,0.396343,-0.797656,-0.788372,0.430894,0,-2.35303,-1.86,0.227082,-1.87563,-1.06912,0.13144,0,-2.67555,-1.86,0.22394,-2.47605,-0.811659,0.116171,0,-1.90862,-1.86,0.293649,-1.12918,-1.04204,0.238601,0,-2.59748,-1.86,0.34399,-2.31343,-0.90098,0.335033,0,-1.63257,-1.86,0.33468,-0.654933,-0.986549,0.31476,0,-2.52938,-1.86,0.493465,-2.18154,-0.933253,0.602153,0,-2.45335,-1.86,0.280032,-2.05399,-0.952903,0.218666,0,-2.66578,-1.86,0.773305,-2.421,-0.967424,1.07618,0,-2.63803,-1.86,0.574289,-2.41006,-0.795148,0.767217,0,-2.08763,-1.86,0.319782,-1.409,-0.895547,0.290617,0,-2.27532,-1.86,0.397577,-1.74602,-1.1849,0.41017,0,-1.84959,-1.86,0.146801,-0.987251,-0.890175,-0.0207423,0,-2.71365,-1.86,0.326037,-2.53002,-0.869186,0.300505,0,-2.00349,-1.86,0.517776,-1.27257,-0.964125,0.631187,0,-2.07214,-1.86,0.194465,-1.40627,-1.03335,0.0754407,0,-2.45834,-1.86,0.389074,-2.05061,-1.0618,0.403886,0,
0.266672,-2.21682,-3.30757,0.285195,-1.64053,-3.47154,0.222587,-1.74196,-1.86,0.692719,-0.877407,-1.07116,0.90212,0,-2.35402,-1.86,0.324599,-1.87898,-1.11572,0.295528,0,-2.37858,-1.86,0.442438,-1.91053,-1.18887,0.474091,0,-1.804,-1.86,0.245337,-0.945967,-0.984008,0.15937,0,-2.47246,-1.86,0.594925,-2.07731,-1.08771,0.740849,0,-2.02502,-1.86,0.416811,-1.33986,-1.08176,0.449273,0,-1.87866,-1.86,0.531228,-1.09689,-1.05234,0.632175,0,-2.35596,-1.86,0.707921,-1.88397,-1.1744,0.899767,0,-2.55849,-1.86,0.715852,-2.2338,-1.01153,0.9571,0,-2.06793,-1.86,0.767681,-1.38951,-0.963743,1.05924,0,-1.96964,-1.86,0.158506,-1.26466,-1.12869,0.0247434,0,-2.20504,-1.86,0.287101,-1.63618,-1.06718,0.231546,0,-2.05146,-1.86,0.620476,-1.39479,-1.15232,0.763112,0,-2.16379,-1.86,0.744868,-1.58046,-1.18762,0.957078,0,-1.76469,-1.86,0.396343,-0.835975,-0.865212,0.424249,0,-2.35303,-1.86,0.227082,-1.8797,-1.14332,0.135332,0,-2.67555,-1.86,0.22394,-2.46872,-0.87643,0.119033,0,-1.90862,-1.86,0.293649,-1.1567,-1.11216,0.241069,0,-2.59748,-1.86,0.34399,-2.29685,-1.02903,0.329628,0,-1.63257,-1.86,0.33468,-0.69604,-1.05567,0.309366,0,-2.52938,-1.86,0.493465,-2.17828,-1.00778,0.591254,0,-2.45335,-1.86,0.280032,-2.04877,-1.08208,0.219939,0,-2.66578,-1.86,0.773305,-2.41419,-1.02458,1.05179,0,-2.63803,-1.86,0.574289,-2.40101,-0.88084,0.754073,0,-2.08763,-1.86,0.319782,-1.43408,-1.00529,0.28892,0,-2.27532,-1.86,0.397577,-1.75276,-1.23654,0.403886,0,-1.84959,-1.86,0.146801,-1.02272,-0.97306,-0.014379,0,-2.71365,-1.86,0.326037,-2.51952,-0.940276,0.302712,0,-2.00349,-1.86,0.517776,-1.28718,-1.0002,0.625383,0,-2.07214,-1.86,0.194465,-1.42708,-1.11347,0.0814148,0,-2.45834,-1.86,0.389074,-2.04927,-1.14127,0.398151,0,
0.300006,-2.1886,-3.3073,0.285767,-1.613,-3.47204,0.22201,-1.74196,-1.86,0.692719,-0.897999,-1.15206,0.882597,0,-2.35402,-1.86,0.324599,-1.86413,-1.17265,0.296062,0,-2.37858,-1.86,0.442438,-1.89333,-1.27632,0.466815,0,-1.804,-1.86,0.245337,-0.955839,-1.04777,0.165589,0,-2.47246,-1.86,0.594925,-2.05756,-1.15247,0.731891,0,-2.02502,-1.86,0.416811,-1.34043,-1.1465,0.443631,0,-1.87866,-1.86,0.531228,-1.1078,-1.13079,0.622207,0,-2.35596,-1.86,0.707921,-1.86924,-1.25518,0.878266,0,-2.55849,-1.86,0.715852,-2.20977,-1.0913,0.934901,0,-2.06793,-1.86,0.767681,-1.38898,-1.02636,1.03986,0,-1.96964,-1.86,0.158506,-1.26891,-1.19755,0.0328922,0,-2.20504,-1.86,0.287101,-1.62724,-1.1279,0.233662,0,-2.05146,-1.86,0.620476,-1.39933,-1.24844,0.745988,0,-2.16379,-1.86,0.744868,-1.57998,-1.29978,0.922068,0,-1.76469,-1.86,0.396343,-0.864442,-0.96601,0.414936,0,-2.35303,-1.86,0.227082,-1.86499,-1.20516,0.139098,0,-2.67555,-1.86,0.22394,-2.43568,-0.970608,0.123058,0,-1.90862,-1.86,0.293649,-1.15938,-1.17043,0.245796,0,-2.59748,-1.86,0.34399,-2.26876,-1.10273,0.328417,0,-1.63257,-1.86,0.33468,-0.714676,-1.12052,0.31032,0,-2.52938,-1.86,0.493465,-2.15577,-1.08137,0.581836,0,-2.45335,-1.86,0.280032,-2.02591,-1.17825,0.221151,0,-2.66578,-1.86,0.773305,-2.38729,-1.0921,1.02789,0,-2.63803,-1.86,0.574289,-2.36622,-0.992701,0.728049,0,-2.08763,-1.86,0.319782,-1.43389,-1.08973,0.289394,0,-2.27532,-1.86,0.397577,-1.74289,-1.31528,0.396791,0,-1.84959,-1.86,0.146801,-1.01652,-1.00029,-0.0118667,0,-2.71365,-1.86,0.326037,-2.49274,-0.994686,0.300829,0,-2.00349,-1.86,0.517776,-1.28989,-1.06401,0.618385,0,-2.07214,-1.86,0.194465,-1.42504,-1.17966,0.0866195,0,-2.45834,-1.86,0.389074,-2.03103,-1.17576,0.399271,0,
