time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,
0,7.59504,-1.56018,0.153608,8.53485,-2.22448,0.0505828,6.16,-0.70889,0.643081,5.43848,-0.387656,1.10671,0,6.16,-1.48701,0.0526199,4.98068,-2.04325,-0.199536,0,6.16,-1.26675,0.525817,5.01443,-1.50464,0.96368,0,6.16,-1.11645,0.546715,5.13127,-1.17205,0.98294,0,6.16,-0.779477,0.0813011,5.24236,-0.433264,-0.115316,0,6.16,-1.35346,0.441245,5.03295,-1.72001,0.752497,0,6.16,-1.2417,0.0152136,5.07413,-1.45644,-0.283168,0,6.16,-0.889284,0.624499,5.25368,-0.690496,1.12726,0,6.16,-0.883701,0.504088,5.3203,-0.709132,0.835673,0,6.16,-0.809748,0.2909,5.24468,-0.50393,0.365358,0,6.16,-1.34617,0.066362,4.86387,-1.67701,-0.172602,0,6.16,-1.48426,0.351446,5.08254,-2.04184,0.526527,0,6.16,-0.738075,0.521208,5.37205,-0.412568,0.860766,0,6.16,-1.12423,0.0163835,5.05593,-1.16761,-0.282087,0,6.16,-1.27863,0.253725,4.9523,-1.52159,0.300522,0,6.16,-0.647513,0.3744,5.36101,-0.205952,0.538903,0,6.16,-1.60443,0.563528,5.12543,-2.32961,1.02449,0,6.16,-0.904026,0.0789522,5.16905,-0.685505,-0.124519,0,6.16,-0.697136,0.265921,5.31771,-0.28966,0.302371,0,6.16,-1.10294,0.212537,5.08712,-1.12594,0.192162,0,6.16,-1.0111,0.53402,5.22264,-0.957142,0.92861,0,6.16,-1.64259,0.252698,4.81667,-2.438,0.307324,0,6.16,-0.977162,0.222168,5.09776,-0.828079,0.214791,0,6.16,-1.4618,0.622606,5.23371,-1.99816,1.12946,0,6.16,-1.49718,0.225676,5.0057,-2.06955,0.227816,0,6.16,-0.766325,0.394322,5.25519,-0.410187,0.600714,0,6.16,-1.70614,0.603886,5.25174,-2.5584,1.08074,0,6.16,-1.02114,0.0819072,5.00948,-0.90024,-0.125561,0,6.16,-1.60111,0.137572,4.98167,-2.32582,0.010876,0,
0.0333341,7.59555,-1.53442,0.15408,8.53736,-2.19828,0.0512843,6.16,-0.70889,0.643081,5.62884,-0.519159,1.05964,0,6.16,-1.48701,0.0526199,5.36662,-2.08387,-0.159972,0,6.16,-1.26675,0.525817,5.21444,-1.56163,0.923648,0,6.16,-1.11645,0.546715,5.50393,-1.30877,0.901257,0,6.16,-0.779477,0.0813011,5.42181,-0.550751,-0.0897841,0,6.16,-1.35346,0.441245,5.33743,-1.78282,0.706871,0,6.16,-1.2417,0.0152136,5.40529,-1.55064,-0.237687,0,6.16,-0.889284,0.624499,5.48329,-0.819849,1.06941,0,6.16,-0.883701,0.504088,5.56179,-0.84394,0.791904,0,6.16,-0.809748,0.2909,5.43206,-0.616871,0.367444,0,6.16,-1.34617,0.066362,5.14011,-1.73784,-0.140136,0,6.16,-1.48426,0.351446,5.35276,-2.07448,0.502366,0,6.16,-0.738075,0.521208,5.60079,-0.564318,0.818282,0,6.16,-1.12423,0.0163835,5.323,-1.26776,-0.241202,0,6.16,-1.27863,0.253725,5.21069,-1.58942,0.295783,0,6.16,-0.647513,0.3744,5.53862,-0.34141,0.528636,0,6.16,-1.60443,0.563528,5.35095,-2.33935,0.972788,0,6.16,-0.904026,0.0789522,5.40663,-0.815269,-0.0958396,0,6.16,-0.697136,0.265921,5.53895,-0.444439,0.302552,0,6.16,-1.10294,0.212537,5.43862,-1.26254,0.196112,0,6.16,-1.0111,0.53402,5.46852,-1.0711,0.880259,0,6.16,-1.64259,0.252698,5.08395,-2.44413,0.298723,0,6.16,-0.977162,0.222168,5.35415,-0.953368,0.218556,0,6.16,-1.4618,0.622606,5.48228,-2.03255,1.05786,0,6.16,-1.49718,0.225676,5.30519,-2.10131,0.226148,0,6.16,-0.766325,0.394322,5.43602,-0.527751,0.590573,0,6.16,-1.70614,0.603886,5.47924,-2.55333,1.02298,0,6.16,-1.02114,0.0819072,5.3242,-1.04233,-0.0899521,0,6.16,-1.60111,0.137572,5.27374,-2.33615,0.0275633,0,
0.0666681,7.59551,-1.52499,0.154143,8.53869,-2.18322,0.05169,6.16,-0.70889,0.643081,5.82744,-0.655649,0.995083,0,6.16,-1.48701,0.0526199,5.68123,-2.11447,-0.138346,0,6.16,-1.26675,0.525817,5.45658,-1.62843,0.864639,0,6.16,-1.11645,0.546715,5.74164,-1.39532,0.836839,0,6.16,-0.779477,0.0813011,5.58908,-0.658222,-0.0792483,0,6.16,-1.35346,0.441245,5.63668,-1.84156,0.650961,0,6.16,-1.2417,0.0152136,5.70289,-1.63169,-0.206403,0,6.16,-0.889284,0.624499,5.64703,-0.910694,1.01396,0,6.16,-0.883701,0.504088,5.76867,-0.956607,0.743657,0,6.16,-0.809748,0.2909,5.58586,-0.713096,0.353385,0,6.16,-1.34617,0.066362,5.42971,-1.79768,-0.118259,0,6.16,-1.48426,0.351446,5.63742,-2.10501,0.465415,0,6.16,-0.738075,0.521208,5.74821,-0.662309,0.780007,0,6.16,-1.12423,0.0163835,5.5671,-1.35739,-0.214919,0,6.16,-1.27863,0.253725,5.49508,-1.66265,0.278615,0,6.16,-0.647513,0.3744,5.70331,-0.463219,0.505962,0,6.16,-1.60443,0.563528,5.6101,-2.34742,0.903011,0,6.16,-0.904026,0.0789522,5.62748,-0.933235,-0.0826012,0,6.16,-0.697136,0.265921,5.70702,-0.56283,0.285387,0,6.16,-1.10294,0.212537,5.73217,-1.37097,0.185942,0,6.16,-1.0111,0.53402,5.68812,-1.17045,0.824209,0,6.16,-1.64259,0.252698,5.34927,-2.44447,0.28432,0,6.16,-0.977162,0.222168,5.58273,-1.06219,0.210364,0,6.16,-1.4618,0.622606,5.72272,-2.06279,0.983716,0,6.16,-1.49718,0.225676,5.60286,-2.12982,0.21363,0,6.16,-0.766325,0.394322,5.61091,-0.642099,0.56376,0,6.16,-1.70614,0.603886,5.75301,-2.54166,0.942697,0,6.16,-1.02114,0.0819072,5.57168,-1.1506,-0.0750661,0,6.16,-1.60111,0.137572,5.56575,-2.34335,0.0334115,0,
0.100002,7.59603,-1.49903,0.154673,8.53827,-2.18832,0.0515518,6.16,-0.70889,0.643081,5.93506,-0.731345,0.948121,0,6.16,-1.48701,0.0526199,5.86627,-2.13622,-0.131886,0,6.16,-1.26675,0.525817,5.66494,-1.68756,0.802465,0,6.16,-1.11645,0.546715,5.8851,-1.45283,0.787419,0,6.16,-0.779477,0.0813011,5.72834,-0.746651,-0.0845175,0,6.16,-1.35346,0.441245,5.81749,-1.88099,0.606876,0,6.16,-1.2417,0.0152136,5.913,-1.69253,-0.193511,0,6.16,-0.889284,0.624499,5.7609,-0.975937,0.964841,0,6.16,-0.883701,0.504088,5.88872,-1.02505,0.705923,0,6.16,-0.809748,0.2909,5.72185,-0.798544,0.329641,0,6.16,-1.34617,0.066362,5.61822,-1.8388,-0.11713,0,6.16,-1.48426,0.351446,5.79824,-2.12539,0.435777,0,6.16,-0.738075,0.521208,5.85072,-0.732406,0.741577,0,6.16,-1.12423,0.0163835,5.78844,-1.44078,-0.203817,0,6.16,-1.27863,0.253725,5.68205,-1.71275,0.257856,0,6.16,-0.647513,0.3744,5.81495,-0.545427,0.476838,0,6.16,-1.60443,0.563528,5.73538,-2.35424,0.861195,0,6.16,-0.904026,0.0789522,5.80865,-1.03023,-0.0852359,0,6.16,-0.697136,0.265921,5.82429,-0.643363,0.264252,0,6.16,-1.10294,0.212537,5.89134,-1.43309,0.170051,0,6.16,-1.0111,0.53402,5.79967,-1.2238,0.785947,0,6.16,-1.64259,0.252698,5.52707,-2.44716,0.266319,0,6.16,-0.977162,0.222168,5.74244,-1.14028,0.192979,0,6.16,-1.4618,0.622606,5.86299,-2.08504,0.930279,0,6.16,-1.49718,0.225676,5.81549,-2.15333,0.195363,0,6.16,-0.766325,0.394322,5.73698,-0.724826,0.531197,0,6.16,-1.70614,0.603886,5.86635,-2.53991,0.903787,0,6.16,-1.02114,0.0819072,5.75494,-1.23316,-0.0781407,0,6.16,-1.60111,0.137572,5.77236,-2.35154,0.0303027,0,
0.133336,7.596,-1.48994,0.15475,8.54079,-2.16178,0.052263,6.16,-0.70889,0.643081,6.01381,-0.782628,0.913182,0,6.16,-1.48701,0.0526199,5.99866,-2.14102,-0.132156,0,6.16,-1.26675,0.525817,5.7996,-1.71638,0.760693,0,6.16,-1.11645,0.546715,5.98711,-1.48529,0.753877,0,6.16,-0.779477,0.0813011,5.8411,-0.812908,-0.0861497,0,6.16,-1.35346,0.441245,5.93212,-1.89688,0.577591,0,6.16,-1.2417,0.0152136,6.05451,-1.72321,-0.185723,0,6.16,-0.889284,0.624499,5.85595,-1.0257,0.929645,0,6.16,-0.883701,0.504088,5.97308,-1.06727,0.679564,0,6.16,-0.809748,0.2909,5.82177,-0.855353,0.313194,0,6.16,-1.34617,0.066362,5.77,-1.86363,-0.113484,0,6.16,-1.48426,0.351446,5.91865,-2.13193,0.414047,0,6.16,-0.738075,0.521208,5.98534,-0.818384,0.695281,0,6.16,-1.12423,0.0163835,5.93221,-1.48496,-0.196164,0,6.16,-1.27863,0.253725,5.80937,-1.73867,0.243491,0,6.16,-0.647513,0.3744,5.91147,-0.614484,0.456195,0,6.16,-1.60443,0.563528,5.84083,-2.35231,0.825843,0,6.16,-0.904026,0.0789522,5.93044,-1.08794,-0.0849508,0,6.16,-0.697136,0.265921,5.9021,-0.694109,0.252953,0,6.16,-1.10294,0.212537,5.9968,-1.46624,0.159582,0,6.16,-1.0111,0.53402,5.88777,-1.2601,0.756706,0,6.16,-1.64259,0.252698,5.67373,-2.4416,0.250579,0,6.16,-0.977162,0.222168,5.89707,-1.20677,0.174863,0,6.16,-1.4618,0.622606,5.96409,-2.09168,0.891337,0,6.16,-1.49718,0.225676,5.96742,-2.15845,0.177241,0,6.16,-0.766325,0.394322,5.83774,-0.786143,0.506047,0,6.16,-1.70614,0.603886,5.93692,-2.53152,0.877095,0,6.16,-1.02114,0.0819072,5.86693,-1.27566,-0.0788368,0,6.16,-1.60111,0.137572,5.89599,-2.34708,0.0255225,0,
0.16667,7.59627,-1.4637,0.155319,8.54167,-2.152,0.0525263,6.16,-0.70889,0.643081,6.08112,-0.830336,0.891485,0,6.16,-1.48701,0.0526199,6.12371,-2.15476,-0.121202,0,6.16,-1.26675,0.525817,5.95549,-1.75766,0.720343,0,6.16,-1.11645,0.546715,6.07228,-1.51822,0.729115,0,6.16,-0.779477,0.0813011,5.93338,-0.871767,-0.0807858,0,6.16,-1.35346,0.441245,6.03426,-1.91834,0.556509,0,6.16,-1.2417,0.0152136,6.16334,-1.75317,-0.175508,0,6.16,-0.889284,0.624499,5.96233,-1.08542,0.895047,0,6.16,-0.883701,0.504088,6.06718,-1.12067,0.656089,0,6.16,-0.809748,0.2909,5.92879,-0.921495,0.301485,0,6.16,-1.34617,0.066362,5.9148,-1.89282,-0.106785,0,6.16,-1.48426,0.351446,6.0156,-2.1431,0.399328,0,6.16,-0.738075,0.521208,6.07909,-0.879984,0.672246,0,6.16,-1.12423,0.0163835,6.04814,-1.52714,-0.18446,0,6.16,-1.27863,0.253725,5.92837,-1.76941,0.233804,0,6.16,-0.647513,0.3744,5.98802,-0.671207,0.446067,0,6.16,-1.60443,0.563528,5.96573,-2.35691,0.786405,0,6.16,-0.904026,0.0789522,6.04,-1.14624,-0.0795273,0,6.16,-0.697136,0.265921,6.01893,-0.776996,0.242316,0,6.16,-1.10294,0.212537,6.10149,-1.50685,0.153911,0,6.16,-1.0111,0.53402,5.9815,-1.3045,0.730356,0,6.16,-1.64259,0.252698,5.78947,-2.44146,0.239921,0,6.16,-0.977162,0.222168,6.01248,-1.26076,0.168208,0,6.16,-1.4618,0.622606,6.0761,-2.10724,0.852273,0,6.16,-1.49718,0.225676,6.1189,-2.1721,0.166843,0,6.16,-0.766325,0.394322,5.92464,-0.842734,0.489707,0,6.16,-1.70614,0.603886,6.00433,-2.53095,0.853212,0,6.16,-1.02114,0.0819072,5.99202,-1.33202,-0.0707455,0,6.16,-1.60111,0.137572,5.99511,-2.34997,0.0235717,0,
0.200004,7.59627,-1.4637,0.155319,8.54391,-2.12537,0.0532455,6.16,-0.70889,0.643081,6.15287,-0.874469,0.868344,0,6.16,-1.48701,0.0526199,6.23263,-2.15648,-0.110658,0,6.16,-1.26675,0.525817,6.06097,-1.77594,0.693823,0,6.16,-1.11645,0.546715,6.1544,-1.54179,0.707103,0,6.16,-0.779477,0.0813011,6.02214,-0.921744,-0.0733309,0,6.16,-1.35346,0.441245,6.14578,-1.93235,0.533031,0,6.16,-1.2417,0.0152136,6.28363,-1.77685,-0.163973,0,6.16,-0.889284,0.624499,6.05503,-1.12907,0.864206,0,6.16,-0.883701,0.504088,6.16868,-1.16848,0.634964,0,6.16,-0.809748,0.2909,6.02507,-0.973102,0.294791,0,6.16,-1.34617,0.066362,6.04331,-1.90968,-0.0981659,0,6.16,-1.48426,0.351446,6.11801,-2.14633,0.385205,0,6.16,-0.738075,0.521208,6.15086,-0.92098,0.654344,0,6.16,-1.12423,0.0163835,6.1789,-1.56526,-0.172864,0,6.16,-1.27863,0.253725,6.03789,-1.78884,0.225308,0,6.16,-0.647513,0.3744,6.07384,-0.728898,0.436062,0,6.16,-1.60443,0.563528,6.08108,-2.35169,0.754465,0,6.16,-0.904026,0.0789522,6.13312,-1.18775,-0.0709524,0,6.16,-0.697136,0.265921,6.1153,-0.836164,0.235895,0,6.16,-1.10294,0.212537,6.19256,-1.53311,0.152643,0,6.16,-1.0111,0.53402,6.08813,-1.34568,0.703291,0,6.16,-1.64259,0.252698,5.9492,-2.43299,0.230028,0,6.16,-0.977162,0.222168,6.12632,-1.30644,0.164603,0,6.16,-1.4618,0.622606,6.17808,-2.11165,0.819138,0,6.16,-1.49718,0.225676,6.24309,-2.1737,0.162593,0,6.16,-0.766325,0.394322,6.00356,-0.887985,0.477862,0,6.16,-1.70614,0.603886,6.09607,-2.5213,0.82532,0,6.16,-1.02114,0.0819072,6.10463,-1.37285,-0.0643857,0,6.16,-1.60111,0.137572,6.08857,-2.34494,0.0254186,0,
0.233338,7.59613,-1.45323,0.155394,8.54472,-2.11483,0.0535319,6.16,-0.70889,0.643081,6.21586,-0.916377,0.848068,0,6.16,-1.48701,0.0526199,6.37112,-2.16694,-0.099364,0,6.16,-1.26675,0.525817,6.18879,-1.80663,0.662419,0,6.16,-1.11645,0.546715,6.26,-1.57924,0.681106,0,6.16,-0.779477,0.0813011,6.10242,-0.97006,-0.0721031,0,6.16,-1.35346,0.441245,6.26445,-1.9532,0.510442,0,6.16,-1.2417,0.0152136,6.40336,-1.80618,-0.151129,0,6.16,-0.889284,0.624499,6.19848,-1.20262,0.821633,0,6.16,-0.883701,0.504088,6.27491,-1.22296,0.611973,0,6.16,-0.809748,0.2909,6.13725,-1.0375,0.288167,0,6.16,-1.34617,0.066362,6.18281,-1.93404,-0.0913432,0,6.16,-1.48426,0.351446,6.23419,-2.15656,0.370498,0,6.16,-0.738075,0.521208,6.24252,-0.979029,0.636223,0,6.16,-1.12423,0.0163835,6.31,-1.60838,-0.15814,0,6.16,-1.27863,0.253725,6.10799,-1.80487,0.224056,0,6.16,-0.647513,0.3744,6.16538,-0.792774,0.425164,0,6.16,-1.60443,0.563528,6.23773,-2.35192,0.710032,0,6.16,-0.904026,0.0789522,6.24631,-1.24437,-0.0611888,0,6.16,-0.697136,0.265921,6.23528,-0.914896,0.228029,0,6.16,-1.10294,0.212537,6.28571,-1.56648,0.150074,0,6.16,-1.0111,0.53402,6.18734,-1.38621,0.685032,0,6.16,-1.64259,0.252698,6.11298,-2.4272,0.22088,0,6.16,-0.977162,0.222168,6.23244,-1.35329,0.161968,0,6.16,-1.4618,0.622606,6.28916,-2.12348,0.785768,0,6.16,-1.49718,0.225676,6.32635,-2.17928,0.157089,0,6.16,-0.766325,0.394322,6.11631,-0.957898,0.459245,0,6.16,-1.70614,0.603886,6.21282,-2.51496,0.789253,0,6.16,-1.02114,0.0819072,6.21934,-1.41995,-0.0574399,0,6.16,-1.60111,0.137572,6.20006,-2.34612,0.0280686,0,
0.266672,7.59622,-1.42648,0.155968,8.54585,-2.09959,0.0539465,6.16,-0.70889,0.643081,6.29764,-0.968776,0.823844,0,6.16,-1.48701,0.0526199,6.47101,-2.17075,-0.0921448,0,6.16,-1.26675,0.525817,6.286,-1.82646,0.638723,0,6.16,-1.11645,0.546715,6.38345,-1.61863,0.648261,0,6.16,-0.779477,0.0813011,6.18983,-1.02141,-0.0643085,0,6.16,-1.35346,0.441245,6.38139,-1.9701,0.488194,0,6.16,-1.2417,0.0152136,6.52011,-1.83105,-0.137185,0,6.16,-0.889284,0.624499,6.32077,-1.26015,0.78563,0,6.16,-0.883701,0.504088,6.36874,-1.26837,0.590931,0,6.16,-0.809748,0.2909,6.24097,-1.09393,0.281169,0,6.16,-1.34617,0.066362,6.29101,-1.94974,-0.08324,0,6.16,-1.48426,0.351446,6.35126,-2.16304,0.355676,0,6.16,-0.738075,0.521208,6.33831,-1.03602,0.616527,0,6.16,-1.12423,0.0163835,6.4357,-1.6461,-0.145627,0,6.16,-1.27863,0.253725,6.21408,-1.82765,0.221336,0,6.16,-0.647513,0.3744,6.26153,-0.857284,0.414044,0,6.16,-1.60443,0.563528,6.3493,-2.34797,0.678569,0,6.16,-0.904026,0.0789522,6.35267,-1.29395,-0.0528318,0,6.16,-0.697136,0.265921,6.32462,-0.969739,0.225104,0,6.16,-1.10294,0.212537,6.37774,-1.59628,0.1491,0,6.16,-1.0111,0.53402,6.29228,-1.42821,0.659799,0,6.16,-1.64259,0.252698,6.20731,-2.42087,0.213341,0,6.16,-0.977162,0.222168,6.33444,-1.39543,0.161018,0,6.16,-1.4618,0.622606,6.40748,-2.1322,0.749165,0,6.16,-1.49718,0.225676,6.44337,-2.18512,0.153065,0,6.16,-0.766325,0.394322,6.23577,-1.02666,0.444029,0,6.16,-1.70614,0.603886,6.34289,-2.50324,0.748394,0,6.16,-1.02114,0.0819072,6.33149,-1.4627,-0.0490341,0,6.16,-1.60111,0.137572,6.29707,-2.34375,0.0289344,0,
0.300007,7.59622,-1.42648,0.155968,8.54683,-2.08779,0.0542657,6.16,-0.70889,0.643081,6.43375,-1.05211,0.783645,0,6.16,-1.48701,0.0526199,6.56532,-2.17562,-0.0847871,0,6.16,-1.26675,0.525817,6.3742,-1.84532,0.618439,0,6.16,-1.11645,0.546715,6.49094,-1.65173,0.621408,0,6.16,-0.779477,0.0813011,6.25562,-1.05849,-0.0559512,0,6.16,-1.35346,0.441245,6.49752,-1.98671,0.466709,0,6.16,-1.2417,0.0152136,6.60049,-1.8478,-0.125522,0,6.16,-0.889284,0.624499,6.43039,-1.31176,0.75325,0,6.16,-0.883701,0.504088,6.46469,-1.31443,0.571679,0,6.16,-0.809748,0.2909,6.33898,-1.14652,0.276192,0,6.16,-1.34617,0.066362,6.40413,-1.96703,-0.0749607,0,6.16,-1.48426,0.351446,6.45133,-2.16846,0.343832,0,6.16,-0.738075,0.521208,6.43862,-1.09463,0.59629,0,6.16,-1.12423,0.0163835,6.53722,-1.67621,-0.13257,0,6.16,-1.27863,0.253725,6.35531,-1.85664,0.210216,0,6.16,-0.647513,0.3744,6.37076,-0.928824,0.40227,0,6.16,-1.60443,0.563528,6.46384,-2.34522,0.646854,0,6.16,-0.904026,0.0789522,6.44933,-1.33886,-0.0452915,0,6.16,-0.697136,0.265921,6.41249,-1.02339,0.225082,0,6.16,-1.10294,0.212537,6.46841,-1.6259,0.147156,0,6.16,-1.0111,0.53402,6.40646,-1.47381,0.628676,0,6.16,-1.64259,0.252698,6.31645,-2.4161,0.206467,0,6.16,-0.977162,0.222168,6.40861,-1.42615,0.15883,0,6.16,-1.4618,0.622606,6.51682,-2.14002,0.713785,0,6.16,-1.49718,0.225676,6.50901,-2.18758,0.150904,0,6.16,-0.766325,0.394322,6.32846,-1.07872,0.432334,0,6.16,-1.70614,0.603886,6.45029,-2.49293,0.714599,0,6.16,-1.02114,0.0819072,6.43508,-1.50189,-0.0413689,0,6.16,-1.60111,0.137572,6.38956,-2.34208,0.0320491,0,
