time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,
0,1.6354,-3.48237,0.256309,2.50978,-3.71153,0.317251,1.20923,-1.86,0.484543,1.56622,-0.119462,0.822581,0,1.21331,-1.86,0.214563,1.56569,-0.082736,0.223876,0,1.70615,-1.86,0.541594,2.6621,-0.219086,0.931379,0,1.95923,-1.86,0.745273,3.2067,-0.2201,1.36953,0,2.25857,-1.86,0.434641,3.8153,-0.312762,0.690847,0,1.77715,-1.86,0.726693,2.81577,-0.209553,1.3326,0,1.92361,-1.86,0.482398,3.12387,-0.254768,0.798976,0,1.37707,-1.86,0.726896,1.96602,-0.296489,1.30782,0,1.92078,-1.86,0.140799,3.11968,-0.244338,0.0703935,0,2.08598,-1.86,0.474558,3.46507,-0.271953,0.77996,0,1.6432,-1.86,0.440028,2.52686,-0.161319,0.719282,0,2.08168,-1.86,0.19543,3.4779,-0.192129,0.185187,0,2.00901,-1.86,0.385904,3.29794,-0.289011,0.590643,0,1.38182,-1.86,0.274743,1.96097,-0.200248,0.357148,0,1.40192,-1.86,0.616797,2.01359,-0.263636,1.08337,0,1.75902,-1.86,0.26019,2.77422,-0.241131,0.325552,0,1.88712,-1.86,0.331568,3.05775,-0.179882,0.481078,0,2.15006,-1.86,0.747502,3.53281,-0.48666,1.29362,0,2.42267,-1.86,0.578084,4.08628,-0.462767,0.961599,0,1.6866,-1.86,0.106275,2.62356,-0.106558,-0.0161309,0,1.51839,-1.86,0.19737,2.26272,-0.28591,0.192803,0,
0.0333341,1.6354,-3.48237,0.256309,2.52014,-3.7118,0.316834,1.20923,-1.86,0.484543,1.57456,-0.210348,0.814142,0,1.21331,-1.86,0.214563,1.57734,-0.193796,0.228446,0,1.70615,-1.86,0.541594,2.63802,-0.37261,0.906211,0,1.95923,-1.86,0.745273,3.16706,-0.334642,1.33308,0,2.25857,-1.86,0.434641,3.74203,-0.449332,0.674978,0,1.77715,-1.86,0.726693,2.78861,-0.329547,1.2959,0,1.92361,-1.86,0.482398,3.08409,-0.386562,0.781203,0,1.37707,-1.86,0.726896,1.97001,-0.415593,1.27259,0,1.92078,-1.86,0.140799,3.07575,-0.394199,0.0782036,0,2.08598,-1.86,0.474558,3.40746,-0.408128,0.758167,0,1.6432,-1.86,0.440028,2.50734,-0.332164,0.700634,0,2.08168,-1.86,0.19543,3.41608,-0.343619,0.189415,0,2.00901,-1.86,0.385904,3.24335,-0.445682,0.576457,0,1.38182,-1.86,0.274743,1.96672,-0.348639,0.354954,0,1.40192,-1.86,0.616797,2.01629,-0.394476,1.05486,0,1.75902,-1.86,0.26019,2.74303,-0.408896,0.325888,0,1.88712,-1.86,0.331568,3.01349,-0.343373,0.471789,0,2.15006,-1.86,0.747502,3.48162,-0.601571,1.25589,0,2.42267,-1.86,0.578084,3.99994,-0.597111,0.938808,0,1.6866,-1.86,0.106275,2.59961,-0.260812,-0.00105426,0,1.51839,-1.86,0.19737,2.25701,-0.445084,0.197109,0,
0.0666681,1.6623,-3.48267,0.256328,2.54787,-3.71252,0.315719,1.20923,-1.86,0.484543,1.59903,-0.288603,0.802891,0,1.21331,-1.86,0.214563,1.60325,-0.266775,0.237122,0,1.70615,-1.86,0.541594,2.64242,-0.448496,0.889023,0,1.95923,-1.86,0.745273,3.16207,-0.396945,1.31051,0,2.25857,-1.86,0.434641,3.72079,-0.522247,0.662113,0,1.77715,-1.86,0.726693,2.78088,-0.44232,1.2653,0,1.92361,-1.86,0.482398,3.05774,-0.533059,0.762306,0,1.37707,-1.86,0.726896,1.98935,-0.519722,1.24059,0,1.92078,-1.86,0.140799,3.06547,-0.485595,0.0833974,0,2.08598,-1.86,0.474558,3.39651,-0.475863,0.747689,0,1.6432,-1.86,0.440028,2.51899,-0.382514,0.690577,0,2.08168,-1.86,0.19543,3.39716,-0.433097,0.189925,0,2.00901,-1.86,0.385904,3.22794,-0.538148,0.565466,0,1.38182,-1.86,0.274743,1.98675,-0.439955,0.354893,0,1.40192,-1.86,0.616797,2.03392,-0.4704,1.03775,0,1.75902,-1.86,0.26019,2.74098,-0.510075,0.324013,0,1.88712,-1.86,0.331568,2.99985,-0.456784,0.466038,0,2.15006,-1.86,0.747502,3.47425,-0.65305,1.23786,0,2.42267,-1.86,0.578084,3.98398,-0.648602,0.923776,0,1.6866,-1.86,0.106275,2.60212,-0.356581,0.00635883,0,1.51839,-1.86,0.19737,2.27014,-0.538196,0.203054,0,
0.100002,1.6623,-3.48267,0.256328,2.56326,-3.71292,0.3151,1.20923,-1.86,0.484543,1.60872,-0.348046,0.797096,0,1.21331,-1.86,0.214563,1.62045,-0.383991,0.240032,0,1.70615,-1.86,0.541594,2.62753,-0.554981,0.874166,0,1.95923,-1.86,0.745273,3.12984,-0.498815,1.28271,0,2.25857,-1.86,0.434641,3.65757,-0.64983,0.654349,0,1.77715,-1.86,0.726693,2.75364,-0.600022,1.22111,0,1.92361,-1.86,0.482398,3.02393,-0.66804,0.744802,0,1.37707,-1.86,0.726896,1.99525,-0.598845,1.2153,0,1.92078,-1.86,0.140799,3.03894,-0.584413,0.0932191,0,2.08598,-1.86,0.474558,3.37454,-0.532857,0.740911,0,1.6432,-1.86,0.440028,2.51326,-0.431783,0.686009,0,2.08168,-1.86,0.19543,3.35271,-0.551222,0.196958,0,2.00901,-1.86,0.385904,3.19673,-0.634588,0.560512,0,1.38182,-1.86,0.274743,1.99374,-0.549849,0.352918,0,1.40192,-1.86,0.616797,2.03817,-0.571404,1.01679,0,1.75902,-1.86,0.26019,2.72408,-0.616489,0.326392,0,1.88712,-1.86,0.331568,2.97146,-0.577015,0.464345,0,2.15006,-1.86,0.747502,3.44166,-0.72638,1.21828,0,2.42267,-1.86,0.578084,3.9614,-0.686198,0.920183,0,1.6866,-1.86,0.106275,2.5881,-0.472023,0.0186836,0,1.51839,-1.86,0.19737,2.26906,-0.621802,0.204232,0,
0.133336,1.68879,-3.48286,0.256316,2.57506,-3.71311,0.314627,1.20923,-1.86,0.484543,1.61744,-0.4323,0.786825,0,1.21331,-1.86,0.214563,1.64525,-0.542156,0.247787,0,1.70615,-1.86,0.541594,2.6051,-0.714271,0.846649,0,1.95923,-1.86,0.745273,3.08674,-0.636809,1.24282,0,2.25857,-1.86,0.434641,3.58233,-0.803456,0.635613,0,1.77715,-1.86,0.726693,2.7259,-0.761605,1.17571,0,1.92361,-1.86,0.482398,2.98997,-0.792571,0.725176,0,1.37707,-1.86,0.726896,1.99946,-0.71602,1.18208,0,1.92078,-1.86,0.140799,2.99897,-0.727155,0.103046,0,2.08598,-1.86,0.474558,3.3367,-0.620214,0.729298,0,1.6432,-1.86,0.440028,2.49106,-0.631656,0.663532,0,2.08168,-1.86,0.19543,3.28037,-0.748516,0.20457,0,2.00901,-1.86,0.385904,3.15339,-0.76196,0.550984,0,1.38182,-1.86,0.274743,2.00112,-0.68627,0.351973,0,1.40192,-1.86,0.616797,2.04261,-0.700697,0.988567,0,1.75902,-1.86,0.26019,2.69995,-0.755166,0.326565,0,1.88712,-1.86,0.331568,2.93103,-0.740874,0.457281,0,2.15006,-1.86,0.747502,3.38996,-0.841189,1.18505,0,2.42267,-1.86,0.578084,3.8938,-0.787138,0.901494,0,1.6866,-1.86,0.106275,2.5684,-0.62782,0.0348301,0,1.51839,-1.86,0.19737,2.26438,-0.750293,0.209529,0,
0.16667,1.71485,-3.48304,0.256386,2.5902,-3.71343,0.314019,1.20923,-1.86,0.484543,1.6298,-0.50037,0.780764,0,1.21331,-1.86,0.214563,1.66814,-0.655179,0.250589,0,1.70615,-1.86,0.541594,2.59622,-0.816164,0.826761,0,1.95923,-1.86,0.745273,3.06817,-0.711123,1.21842,0,2.25857,-1.86,0.434641,3.54337,-0.89348,0.623919,0,1.77715,-1.86,0.726693,2.7115,-0.870881,1.14346,0,1.92361,-1.86,0.482398,2.96654,-0.894267,0.711189,0,1.37707,-1.86,0.726896,2.00953,-0.823599,1.1509,0,1.92078,-1.86,0.140799,2.97519,-0.832629,0.109847,0,2.08598,-1.86,0.474558,3.30358,-0.712135,0.715178,0,1.6432,-1.86,0.440028,2.48626,-0.745534,0.650014,0,2.08168,-1.86,0.19543,3.24344,-0.866961,0.206233,0,2.00901,-1.86,0.385904,3.12536,-0.860173,0.542419,0,1.38182,-1.86,0.274743,2.01582,-0.832928,0.34855,0,1.40192,-1.86,0.616797,2.05269,-0.819734,0.958918,0,1.75902,-1.86,0.26019,2.68367,-0.889219,0.318695,0,1.88712,-1.86,0.331568,2.91089,-0.843857,0.450566,0,2.15006,-1.86,0.747502,3.36313,-0.911583,1.16088,0,2.42267,-1.86,0.578084,3.84775,-0.867043,0.879707,0,1.6866,-1.86,0.106275,2.56053,-0.730821,0.0423682,0,1.51839,-1.86,0.19737,2.26641,-0.852367,0.212479,0,
0.200004,1.71485,-3.48304,0.256386,2.6025,-3.71371,0.313524,1.20923,-1.86,0.484543,1.63955,-0.573041,0.769504,0,1.21331,-1.86,0.214563,1.67978,-0.722797,0.250826,0,1.70615,-1.86,0.541594,2.58608,-0.898727,0.814545,0,1.95923,-1.86,0.745273,3.04442,-0.788401,1.19661,0,2.25857,-1.86,0.434641,3.50939,-0.965032,0.620444,0,1.77715,-1.86,0.726693,2.69406,-0.979068,1.11141,0,1.92361,-1.86,0.482398,2.93402,-1.02701,0.695827,0,1.37707,-1.86,0.726896,2.01936,-0.946351,1.11688,0,1.92078,-1.86,0.140799,2.9602,-0.891471,0.115327,0,2.08598,-1.86,0.474558,3.25877,-0.834918,0.701856,0,1.6432,-1.86,0.440028,2.47922,-0.833058,0.642562,0,2.08168,-1.86,0.19543,3.22734,-0.91431,0.208735,0,2.00901,-1.86,0.385904,3.09823,-0.946792,0.536911,0,1.38182,-1.86,0.274743,2.02375,-0.917058,0.3489,0,1.40192,-1.86,0.616797,2.05878,-0.910838,0.939986,0,1.75902,-1.86,0.26019,2.67393,-0.96249,0.315354,0,1.88712,-1.86,0.331568,2.88066,-0.978711,0.444764,0,2.15006,-1.86,0.747502,3.33486,-0.978549,1.145,0,2.42267,-1.86,0.578084,3.79911,-0.949742,0.870767,0,1.6866,-1.86,0.106275,2.5512,-0.814763,0.0525279,0,1.51839,-1.86,0.19737,2.26597,-0.910815,0.215852,0,
0.233338,1.74105,-3.4829,0.256418,2.61775,-3.71403,0.312912,1.20923,-1.86,0.484543,1.64839,-0.615782,0.761235,0,1.21331,-1.86,0.214563,1.69151,-0.783006,0.254052,0,1.70615,-1.86,0.541594,2.5844,-0.93317,0.806474,0,1.95923,-1.86,0.745273,3.03363,-0.832714,1.17918,0,2.25857,-1.86,0.434641,3.49777,-0.994293,0.613291,0,1.77715,-1.86,0.726693,2.69281,-1.01031,1.09869,0,1.92361,-1.86,0.482398,2.93241,-1.05228,0.688545,0,1.37707,-1.86,0.726896,2.02607,-0.978914,1.10674,0,1.92078,-1.86,0.140799,2.94927,-0.939599,0.115905,0,2.08598,-1.86,0.474558,3.23892,-0.900155,0.68802,0,1.6432,-1.86,0.440028,2.47487,-0.914802,0.631308,0,2.08168,-1.86,0.19543,3.22101,-0.936171,0.208803,0,2.00901,-1.86,0.385904,3.0837,-1.00169,0.52971,0,1.38182,-1.86,0.274743,2.03103,-0.977453,0.343878,0,1.40192,-1.86,0.616797,2.06432,-0.954037,0.92745,0,1.75902,-1.86,0.26019,2.6703,-1.0004,0.314344,0,1.88712,-1.86,0.331568,2.86996,-1.04627,0.436262,0,2.15006,-1.86,0.747502,3.32639,-1.00406,1.13519,0,2.42267,-1.86,0.578084,3.78743,-0.974356,0.8597,0,1.6866,-1.86,0.106275,2.54731,-0.871547,0.0547811,0,1.51839,-1.86,0.19737,2.26694,-0.957914,0.216697,0,
0.266672,1.74105,-3.4829,0.256418,2.62971,-3.714,0.312435,1.20923,-1.86,0.484543,1.66604,-0.735841,0.745805,0,1.21331,-1.86,0.214563,1.70737,-0.884201,0.2567,0,1.70615,-1.86,0.541594,2.56874,-1.04704,0.786891,0,1.95923,-1.86,0.745273,2.9975,-0.953931,1.14424,0,2.25857,-1.86,0.434641,3.44679,-1.09579,0.601848,0,1.77715,-1.86,0.726693,2.67508,-1.10102,1.07317,0,1.92361,-1.86,0.482398,2.91022,-1.12626,0.6767,0,1.37707,-1.86,0.726896,2.03231,-1.08982,1.07629,0,1.92078,-1.86,0.140799,2.91589,-1.06927,0.124931,0,2.08598,-1.86,0.474558,3.19792,-1.01183,0.675438,0,1.6432,-1.86,0.440028,2.46508,-1.05303,0.616238,0,2.08168,-1.86,0.19543,3.18191,-1.03611,0.213284,0,2.00901,-1.86,0.385904,3.04642,-1.12123,0.520759,0,1.38182,-1.86,0.274743,2.04035,-1.09883,0.343169,0,1.40192,-1.86,0.616797,2.07058,-1.07388,0.902475,0,1.75902,-1.86,0.26019,2.65492,-1.08595,0.314341,0,1.88712,-1.86,0.331568,2.83673,-1.20221,0.432403,0,2.15006,-1.86,0.747502,3.28498,-1.09627,1.10566,0,2.42267,-1.86,0.578084,3.72217,-1.07851,0.838881,0,1.6866,-1.86,0.106275,2.53329,-0.999141,0.0670866,0,1.51839,-1.86,0.19737,2.26551,-1.07839,0.221572,0,
0.300007,1.76666,-3.48291,0.256422,2.65606,-3.71442,0.311378,1.20923,-1.86,0.484543,1.68543,-0.781501,0.737064,0,1.21331,-1.86,0.214563,1.72988,-0.948064,0.254109,0,1.70615,-1.86,0.541594,2.57114,-1.14006,0.769407,0,1.95923,-1.86,0.745273,2.98321,-1.05319,1.11432,0,2.25857,-1.86,0.434641,3.42857,-1.16056,0.5955,0,1.77715,-1.86,0.726693,2.67515,-1.17471,1.05019,0,1.92361,-1.86,0.482398,2.89952,-1.21722,0.664297,0,1.37707,-1.86,0.726896,2.05209,-1.17548,1.04868,0,1.92078,-1.86,0.140799,2.90939,-1.14929,0.13145,0,2.08598,-1.86,0.474558,3.1858,-1.08002,0.665998,0,1.6432,-1.86,0.440028,2.47465,-1.09627,0.609117,0,2.08168,-1.86,0.19543,3.1694,-1.10552,0.214847,0,2.00901,-1.86,0.385904,3.03853,-1.18955,0.515136,0,1.38182,-1.86,0.274743,2.06514,-1.21725,0.344869,0,1.40192,-1.86,0.616797,2.09008,-1.16467,0.879473,0,1.75902,-1.86,0.26019,2.65273,-1.18827,0.315414,0,1.88712,-1.86,0.331568,2.83371,-1.28133,0.428483,0,2.15006,-1.86,0.747502,3.26873,-1.16558,1.08453,0,2.42267,-1.86,0.578084,3.71338,-1.11414,0.832503,0,1.6866,-1.86,0.106275,2.53752,-1.08901,0.0751613,0,1.51839,-1.86,0.19737,2.2782,-1.1492,0.222044,0,
