time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,
0,-5.58441,3.69125,0.335277,-5.2676,3.61057,0.54143,-5.49508,1.86,0.665004,-5.08708,-0.0900738,1.20775,0,-5.64051,1.86,0.389548,-5.38169,-0.113825,0.651807,0,-6.03582,1.86,0.452186,-6.1711,-0.0546603,0.775423,0,-4.98062,1.86,0.542477,-4.07881,0.00511003,0.949377,0,-4.78074,1.86,0.260386,-3.68881,0.0131307,0.394309,0,-4.82558,1.86,0.838638,-3.81735,0.11077,1.50343,0,-5.81515,1.86,0.534365,-5.74618,-0.187735,0.954371,0,-5.19209,1.86,0.572391,-4.46479,-0.136709,1.02664,0,-4.74784,1.86,0.413029,-3.63367,0.0339174,0.693289,0,-5.97232,1.86,0.273516,-6.02993,0.0117621,0.420057,0,-4.95834,1.86,0.191713,-4.0212,-0.0350864,0.255623,0,-5.75023,1.86,0.660704,-5.6111,-0.183041,1.21558,0,-5.17128,1.86,0.409524,-4.44445,-0.0380919,0.689364,0,-5.06539,1.86,0.713914,-4.24775,0.0122638,1.28543,0,-5.44651,1.86,0.504438,-4.98332,-0.164523,0.890153,0,-5.14523,1.86,0.821577,-4.39673,-0.0206704,1.50573,0,-6.00564,1.86,0.662318,-6.11467,-0.0720367,1.1991,0,-5.6021,1.86,0.116307,-5.30394,-0.151506,0.0915835,0,-5.46024,1.86,0.175665,-5.02038,-0.0353727,0.223649,0,-6.12298,1.86,0.299679,-6.33888,-0.0320082,0.47062,0,-5.61257,1.86,0.594934,-5.32646,-0.217529,1.08423,0,-4.99979,1.86,0.0571546,-4.11439,-0.00172901,-0.00719082,0,-5.28214,1.86,0.838999,-4.65845,-0.0797968,1.55654,0,-5.55835,1.86,0.258406,-5.21339,-0.199087,0.38151,0,-5.09968,1.86,0.285052,-4.27913,-0.123738,0.439012,0,-5.27461,1.86,0.0705698,-4.63055,-0.155122,-0.00290132,0,-4.84386,1.86,0.0956418,-3.83643,0.0715623,0.0783193,0,-6.1065,1.86,0.102931,-6.30638,-0.0329759,0.0791433,0,-5.82199,1.86,0.295151,-5.75956,-0.181378,0.458341,0,-5.3207,1.86,0.498972,-4.73498,-0.0880623,0.872051,0,-5.90391,1.86,0.406538,-5.91788,-0.116592,0.686468,0,-5.39226,1.86,0.356784,-4.86911,-0.187238,0.586034,0,
0.0333341,-5.58441,3.69125,0.335277,-5.27923,3.60981,0.541684,-5.49508,1.86,0.665004,-5.0737,0.0854998,1.16951,0,-5.64051,1.86,0.389548,-5.35775,0.0214376,0.64465,0,-6.03582,1.86,0.452186,-6.11254,0.0932791,0.765019,0,-4.98062,1.86,0.542477,-4.10215,0.137037,0.927384,0,-4.78074,1.86,0.260386,-3.7111,0.115299,0.393471,0,-4.82558,1.86,0.838638,-3.8412,0.218501,1.4703,0,-5.81515,1.86,0.534365,-5.71235,-0.0658922,0.932193,0,-5.19209,1.86,0.572391,-4.48241,0.0763659,0.991855,0,-4.74784,1.86,0.413029,-3.65092,0.109199,0.686765,0,-5.97232,1.86,0.273516,-5.97864,0.155917,0.425042,0,-4.95834,1.86,0.191713,-4.04402,0.0975494,0.266153,0,-5.75023,1.86,0.660704,-5.56435,0.0236659,1.1713,0,-5.17128,1.86,0.409524,-4.45748,0.113755,0.680453,0,-5.06539,1.86,0.713914,-4.26598,0.154669,1.25204,0,-5.44651,1.86,0.504438,-4.97489,-0.0182118,0.872249,0,-5.14523,1.86,0.821577,-4.40939,0.127978,1.46243,0,-6.00564,1.86,0.662318,-6.05882,0.071454,1.17414,0,-5.6021,1.86,0.116307,-5.28152,-0.00965357,0.105294,0,-5.46024,1.86,0.175665,-5.01039,0.172133,0.24053,0,-6.12298,1.86,0.299679,-6.27262,0.113408,0.472978,0,-5.61257,1.86,0.594934,-5.3005,-0.0611219,1.05767,0,-4.99979,1.86,0.0571546,-4.13333,0.123596,0.00729525,0,-5.28214,1.86,0.838999,-4.65952,0.0617688,1.51735,0,-5.55835,1.86,0.258406,-5.19332,-0.0413516,0.384959,0,-5.09968,1.86,0.285052,-4.28694,-0.0295706,0.439755,0,-5.27461,1.86,0.0705698,-4.63244,-0.0171361,0.0121737,0,-4.84386,1.86,0.0956418,-3.85377,0.154785,0.0832824,0,-6.1065,1.86,0.102931,-6.25324,0.0810263,0.0944353,0,-5.82199,1.86,0.295151,-5.71798,-0.0315609,0.45849,0,-5.3207,1.86,0.498972,-4.73473,0.0580716,0.860317,0,-5.90391,1.86,0.406538,-5.86097,0.0642891,0.674659,0,-5.39226,1.86,0.356784,-4.86034,-0.0551507,0.581346,0,
0.0666681,-5.61098,3.68955,0.33562,-5.2943,3.60899,0.542018,-5.49508,1.86,0.665004,-5.06944,0.231925,1.14014,0,-5.64051,1.86,0.389548,-5.34165,0.158593,0.636586,0,-6.03582,1.86,0.452186,-6.08267,0.184306,0.754983,0,-4.98062,1.86,0.542477,-4.12367,0.223399,0.912023,0,-4.78074,1.86,0.260386,-3.73832,0.19742,0.391071,0,-4.82558,1.86,0.838638,-3.86687,0.300964,1.44285,0,-5.81515,1.86,0.534365,-5.68919,0.0391154,0.917032,0,-5.19209,1.86,0.572391,-4.50172,0.208414,0.971179,0,-4.74784,1.86,0.413029,-3.68061,0.20105,0.678316,0,-5.97232,1.86,0.273516,-5.93648,0.296646,0.42556,0,-4.95834,1.86,0.191713,-4.0689,0.199096,0.270094,0,-5.75023,1.86,0.660704,-5.54198,0.165415,1.1399,0,-5.17128,1.86,0.409524,-4.47762,0.255724,0.669603,0,-5.06539,1.86,0.713914,-4.28804,0.26329,1.22285,0,-5.44651,1.86,0.504438,-4.97285,0.153797,0.854217,0,-5.14523,1.86,0.821577,-4.42704,0.245198,1.4289,0,-6.00564,1.86,0.662318,-6.02592,0.174729,1.14947,0,-5.6021,1.86,0.116307,-5.26588,0.161222,0.118528,0,-5.46024,1.86,0.175665,-5.01114,0.291366,0.247066,0,-6.12298,1.86,0.299679,-6.222,0.243139,0.477517,0,-5.61257,1.86,0.594934,-5.28903,0.0578926,1.03696,0,-4.99979,1.86,0.0571546,-4.15696,0.231856,0.0210637,0,-5.28214,1.86,0.838999,-4.66684,0.147788,1.4891,0,-5.55835,1.86,0.258406,-5.18459,0.0937939,0.385395,0,-5.09968,1.86,0.285052,-4.3036,0.0769613,0.437302,0,-5.27461,1.86,0.0705698,-4.64099,0.0852501,0.0227567,0,-4.84386,1.86,0.0956418,-3.87581,0.233707,0.0904897,0,-6.1065,1.86,0.102931,-6.21613,0.17856,0.100362,0,-5.82199,1.86,0.295151,-5.69083,0.0962331,0.456096,0,-5.3207,1.86,0.498972,-4.74482,0.22457,0.839208,0,-5.90391,1.86,0.406538,-5.8335,0.174647,0.669127,0,-5.39226,1.86,0.356784,-4.86344,0.0819316,0.570823,0,
0.100002,-5.62127,3.68896,0.335423,-5.30587,3.60827,0.542272,-5.49508,1.86,0.665004,-5.06376,0.374133,1.11193,0,-5.64051,1.86,0.389548,-5.31649,0.37824,0.631414,0,-6.03582,1.86,0.452186,-6.02875,0.334475,0.743352,0,-4.98062,1.86,0.542477,-4.15506,0.371097,0.892352,0,-4.78074,1.86,0.260386,-3.77274,0.311869,0.393163,0,-4.82558,1.86,0.838638,-3.8883,0.381697,1.42212,0,-5.81515,1.86,0.534365,-5.655,0.185131,0.900173,0,-5.19209,1.86,0.572391,-4.516,0.332003,0.954062,0,-4.74784,1.86,0.413029,-3.73305,0.356594,0.664656,0,-5.97232,1.86,0.273516,-5.89463,0.43395,0.428267,0,-4.95834,1.86,0.191713,-4.09931,0.329896,0.273067,0,-5.75023,1.86,0.660704,-5.51717,0.298947,1.12063,0,-5.17128,1.86,0.409524,-4.49708,0.399485,0.659502,0,-5.06539,1.86,0.713914,-4.31517,0.416888,1.18907,0,-5.44651,1.86,0.504438,-4.97196,0.309381,0.835904,0,-5.14523,1.86,0.821577,-4.44592,0.382166,1.38796,0,-6.00564,1.86,0.662318,-5.98019,0.308082,1.12451,0,-5.6021,1.86,0.116307,-5.25118,0.3154,0.138098,0,-5.46024,1.86,0.175665,-5.0075,0.451387,0.257557,0,-6.12298,1.86,0.299679,-6.1629,0.393786,0.475187,0,-5.61257,1.86,0.594934,-5.27131,0.216758,1.01091,0,-4.99979,1.86,0.0571546,-4.18447,0.363401,0.0361102,0,-5.28214,1.86,0.838999,-4.6821,0.362613,1.42075,0,-5.55835,1.86,0.258406,-5.17262,0.248279,0.389441,0,-5.09968,1.86,0.285052,-4.33239,0.256069,0.438665,0,-5.27461,1.86,0.0705698,-4.65507,0.27938,0.0452349,0,-4.84386,1.86,0.0956418,-3.90842,0.354013,0.101815,0,-6.1065,1.86,0.102931,-6.16809,0.296517,0.115056,0,-5.82199,1.86,0.295151,-5.65224,0.267126,0.461374,0,-5.3207,1.86,0.498972,-4.7542,0.376868,0.82208,0,-5.90391,1.86,0.406538,-5.79613,0.308544,0.66384,0,-5.39226,1.86,0.356784,-4.86418,0.206306,0.570337,0,
0.133336,-5.62127,3.68896,0.335423,-5.31572,3.60762,0.542487,-5.49508,1.86,0.665004,-5.06008,0.572194,1.07673,0,-5.64051,1.86,0.389548,-5.30373,0.535395,0.624342,0,-6.03582,1.86,0.452186,-5.95755,0.561216,0.728258,0,-4.98062,1.86,0.542477,-4.21041,0.588306,0.869116,0,-4.78074,1.86,0.260386,-3.82055,0.451112,0.39674,0,-4.82558,1.86,0.838638,-3.9271,0.509024,1.38423,0,-5.81515,1.86,0.534365,-5.61804,0.371883,0.881567,0,-5.19209,1.86,0.572391,-4.54112,0.512098,0.929253,0,-4.74784,1.86,0.413029,-3.80299,0.54316,0.654209,0,-5.97232,1.86,0.273516,-5.84534,0.608555,0.433827,0,-4.95834,1.86,0.191713,-4.14491,0.50573,0.285999,0,-5.75023,1.86,0.660704,-5.48998,0.466317,1.09125,0,-5.17128,1.86,0.409524,-4.52311,0.568184,0.651757,0,-5.06539,1.86,0.713914,-4.35172,0.590637,1.15237,0,-5.44651,1.86,0.504438,-4.9746,0.533214,0.816395,0,-5.14523,1.86,0.821577,-4.47205,0.542168,1.34347,0,-6.00564,1.86,0.662318,-5.92562,0.486503,1.09077,0,-5.6021,1.86,0.116307,-5.23615,0.520758,0.162299,0,-5.46024,1.86,0.175665,-5.00809,0.602666,0.270667,0,-6.12298,1.86,0.299679,-6.09744,0.573187,0.478515,0,-5.61257,1.86,0.594934,-5.25535,0.411143,0.984944,0,-4.99979,1.86,0.0571546,-4.22143,0.518803,0.0576954,0,-5.28214,1.86,0.838999,-4.70003,0.532217,1.37278,0,-5.55835,1.86,0.258406,-5.16204,0.457647,0.3985,0,-5.09968,1.86,0.285052,-4.36953,0.444513,0.442187,0,-5.27461,1.86,0.0705698,-4.67302,0.448751,0.0700321,0,-4.84386,1.86,0.0956418,-3.96144,0.522591,0.12092,0,-6.1065,1.86,0.102931,-6.10969,0.454506,0.135945,0,-5.82199,1.86,0.295151,-5.6114,0.480781,0.464321,0,-5.3207,1.86,0.498972,-4.76812,0.554516,0.804161,0,-5.90391,1.86,0.406538,-5.75519,0.474292,0.657441,0,-5.39226,1.86,0.356784,-4.87398,0.461818,0.565814,0,
0.16667,-5.64814,3.68721,0.335732,-5.34241,3.60599,0.543074,-5.49508,1.86,0.665004,-5.06684,0.678618,1.05529,0,-5.64051,1.86,0.389548,-5.30168,0.637564,0.616201,0,-6.03582,1.86,0.452186,-5.92798,0.681793,0.719678,0,-4.98062,1.86,0.542477,-4.24599,0.692892,0.854769,0,-4.78074,1.86,0.260386,-3.86037,0.54984,0.400042,0,-4.82558,1.86,0.838638,-3.95603,0.581391,1.36665,0,-5.81515,1.86,0.534365,-5.60179,0.491703,0.865494,0,-5.19209,1.86,0.572391,-4.56456,0.620898,0.913574,0,-4.74784,1.86,0.413029,-3.83606,0.611073,0.650419,0,-5.97232,1.86,0.273516,-5.82729,0.699135,0.436743,0,-4.95834,1.86,0.191713,-4.17948,0.608758,0.290851,0,-5.75023,1.86,0.660704,-5.48064,0.569593,1.07088,0,-5.17128,1.86,0.409524,-4.54547,0.664715,0.648216,0,-5.06539,1.86,0.713914,-4.37916,0.684413,1.13141,0,-5.44651,1.86,0.504438,-4.98507,0.664292,0.803205,0,-5.14523,1.86,0.821577,-4.49334,0.625741,1.31976,0,-6.00564,1.86,0.662318,-5.89985,0.59496,1.06821,0,-5.6021,1.86,0.116307,-5.23668,0.6321,0.171666,0,-5.46024,1.86,0.175665,-5.01548,0.71485,0.279645,0,-6.12298,1.86,0.299679,-6.07086,0.665006,0.483772,0,-5.61257,1.86,0.594934,-5.25367,0.525656,0.966792,0,-4.99979,1.86,0.0571546,-4.24927,0.606836,0.0701417,0,-5.28214,1.86,0.838999,-4.71499,0.612876,1.35464,0,-5.55835,1.86,0.258406,-5.16374,0.587868,0.40325,0,-5.09968,1.86,0.285052,-4.39229,0.522103,0.442678,0,-5.27461,1.86,0.0705698,-4.68679,0.510386,0.0798003,0,-4.84386,1.86,0.0956418,-3.9891,0.585628,0.127517,0,-6.1065,1.86,0.102931,-6.0759,0.56464,0.147957,0,-5.82199,1.86,0.295151,-5.59298,0.618482,0.465494,0,-5.3207,1.86,0.498972,-4.78428,0.666,0.796226,0,-5.90391,1.86,0.406538,-5.73271,0.594557,0.650706,0,-5.39226,1.86,0.356784,-4.8886,0.584411,0.561581,0,
0.200004,-5.66877,3.68584,0.335825,-5.3525,3.60536,0.543295,-5.49508,1.86,0.665004,-5.06325,0.767885,1.03885,0,-5.64051,1.86,0.389548,-5.29155,0.718856,0.61397,0,-6.03582,1.86,0.452186,-5.90564,0.74872,0.716455,0,-4.98062,1.86,0.542477,-4.2606,0.758895,0.847287,0,-4.78074,1.86,0.260386,-3.88213,0.618786,0.400788,0,-4.82558,1.86,0.838638,-3.96987,0.634667,1.35077,0,-5.81515,1.86,0.534365,-5.58141,0.587026,0.856532,0,-5.19209,1.86,0.572391,-4.57399,0.700001,0.902165,0,-4.74784,1.86,0.413029,-3.84791,0.652121,0.649963,0,-5.97232,1.86,0.273516,-5.80039,0.786463,0.438152,0,-4.95834,1.86,0.191713,-4.1966,0.683136,0.296805,0,-5.75023,1.86,0.660704,-5.45931,0.693137,1.04679,0,-5.17128,1.86,0.409524,-4.55793,0.75996,0.641872,0,-5.06539,1.86,0.713914,-4.38794,0.73705,1.11992,0,-5.44651,1.86,0.504438,-4.98488,0.736549,0.794586,0,-5.14523,1.86,0.821577,-4.50372,0.705797,1.29556,0,-6.00564,1.86,0.662318,-5.87192,0.680836,1.05421,0,-5.6021,1.86,0.116307,-5.22839,0.716445,0.181868,0,-5.46024,1.86,0.175665,-5.01471,0.784649,0.280825,0,-6.12298,1.86,0.299679,-6.04887,0.719952,0.481563,0,-5.61257,1.86,0.594934,-5.24408,0.622636,0.950086,0,-4.99979,1.86,0.0571546,-4.26342,0.67744,0.0788299,0,-5.28214,1.86,0.838999,-4.72063,0.710051,1.32686,0,-5.55835,1.86,0.258406,-5.15742,0.689117,0.406583,0,-5.09968,1.86,0.285052,-4.41035,0.636276,0.445671,0,-5.27461,1.86,0.0705698,-4.695,0.636501,0.0969937,0,-4.84386,1.86,0.0956418,-4.00953,0.664232,0.136907,0,-6.1065,1.86,0.102931,-6.04044,0.657747,0.159605,0,-5.82199,1.86,0.295151,-5.57249,0.718714,0.468845,0,-5.3207,1.86,0.498972,-4.78896,0.749979,0.786712,0,-5.90391,1.86,0.406538,-5.69968,0.726756,0.644492,0,-5.39226,1.86,0.356784,-4.88988,0.660535,0.563154,0,
0.233338,-5.66877,3.68584,0.335825,-5.36211,3.60473,0.543505,-5.49508,1.86,0.665004,-5.0606,0.848574,1.02696,0,-5.64051,1.86,0.389548,-5.27908,0.839145,0.614058,0,-6.03582,1.86,0.452186,-5.881,0.819865,0.71369,0,-4.98062,1.86,0.542477,-4.27656,0.832018,0.840886,0,-4.78074,1.86,0.260386,-3.90235,0.682304,0.400601,0,-4.82558,1.86,0.838638,-3.98619,0.694453,1.33207,0,-5.81515,1.86,0.534365,-5.56526,0.664147,0.84945,0,-5.19209,1.86,0.572391,-4.58198,0.768605,0.894498,0,-4.74784,1.86,0.413029,-3.8602,0.694823,0.646693,0,-5.97232,1.86,0.273516,-5.78239,0.846524,0.442485,0,-4.95834,1.86,0.191713,-4.20995,0.741211,0.301081,0,-5.75023,1.86,0.660704,-5.44458,0.788097,1.03048,0,-5.17128,1.86,0.409524,-4.56648,0.821535,0.639128,0,-5.06539,1.86,0.713914,-4.40127,0.816584,1.10312,0,-5.44651,1.86,0.504438,-4.98361,0.814108,0.787587,0,-5.14523,1.86,0.821577,-4.51256,0.771476,1.27933,0,-6.00564,1.86,0.662318,-5.84911,0.752743,1.04465,0,-5.6021,1.86,0.116307,-5.22086,0.797618,0.195329,0,-5.46024,1.86,0.175665,-5.01263,0.844567,0.286155,0,-6.12298,1.86,0.299679,-6.0171,0.798539,0.484022,0,-5.61257,1.86,0.594934,-5.23652,0.700986,0.942379,0,-4.99979,1.86,0.0571546,-4.27632,0.740235,0.0874934,0,-5.28214,1.86,0.838999,-4.73117,0.823327,1.29096,0,-5.55835,1.86,0.258406,-5.15253,0.770047,0.413199,0,-5.09968,1.86,0.285052,-4.42514,0.715907,0.447157,0,-5.27461,1.86,0.0705698,-4.70227,0.709893,0.107054,0,-4.84386,1.86,0.0956418,-4.03155,0.739491,0.145163,0,-6.1065,1.86,0.102931,-6.01389,0.72853,0.171536,0,-5.82199,1.86,0.295151,-5.55994,0.77991,0.472993,0,-5.3207,1.86,0.498972,-4.79226,0.811406,0.780539,0,-5.90391,1.86,0.406538,-5.67369,0.838208,0.641141,0,-5.39226,1.86,0.356784,-4.89052,0.724341,0.564565,0,
0.266672,-5.69648,3.68363,0.336121,-5.38975,3.60265,0.544102,-5.49508,1.86,0.665004,-5.06894,0.925171,1.01189,0,-5.64051,1.86,0.389548,-5.28288,0.916324,0.609913,0,-6.03582,1.86,0.452186,-5.87455,0.869742,0.703446,0,-4.98062,1.86,0.542477,-4.29642,0.873468,0.832357,0,-4.78074,1.86,0.260386,-3.93407,0.753377,0.405012,0,-4.82558,1.86,0.838638,-4.02474,0.789085,1.3029,0,-5.81515,1.86,0.534365,-5.55777,0.747312,0.837578,0,-5.19209,1.86,0.572391,-4.60334,0.856226,0.883832,0,-4.74784,1.86,0.413029,-3.88341,0.742077,0.647155,0,-5.97232,1.86,0.273516,-5.75815,0.966877,0.446063,0,-4.95834,1.86,0.191713,-4.23878,0.822292,0.306937,0,-5.75023,1.86,0.660704,-5.44149,0.872858,1.01319,0,-5.17128,1.86,0.409524,-4.59062,0.91982,0.635527,0,-5.06539,1.86,0.713914,-4.42496,0.887103,1.08885,0,-5.44651,1.86,0.504438,-4.99487,0.923129,0.778726,0,-5.14523,1.86,0.821577,-4.53082,0.832484,1.26494,0,-6.00564,1.86,0.662318,-5.83504,0.826159,1.02843,0,-5.6021,1.86,0.116307,-5.22315,0.901687,0.209149,0,-5.46024,1.86,0.175665,-5.02372,0.986039,0.303071,0,-6.12298,1.86,0.299679,-5.99815,0.874579,0.481809,0,-5.61257,1.86,0.594934,-5.23862,0.785582,0.929686,0,-4.99979,1.86,0.0571546,-4.30618,0.831112,0.104636,0,-5.28214,1.86,0.838999,-4.74824,0.89172,1.27289,0,-5.55835,1.86,0.258406,-5.15741,0.865712,0.417543,0,-5.09968,1.86,0.285052,-4.45162,0.807719,0.450144,0,-5.27461,1.86,0.0705698,-4.72012,0.801313,0.121275,0,-4.84386,1.86,0.0956418,-4.06013,0.804412,0.154752,0,-6.1065,1.86,0.102931,-5.99003,0.817185,0.182129,0,-5.82199,1.86,0.295151,-5.54974,0.876483,0.474458,0,-5.3207,1.86,0.498972,-4.81098,0.929424,0.770374,0,-5.90391,1.86,0.406538,-5.66529,0.917533,0.636382,0,-5.39226,1.86,0.356784,-4.90207,0.805579,0.564973,0,
0.300007,-5.69648,3.68363,0.336121,-5.4051,3.60141,0.544431,-5.49508,1.86,0.665004,-5.0717,1.04234,0.990381,0,-5.64051,1.86,0.389548,-5.27755,1.01557,0.606136,0,-6.03582,1.86,0.452186,-5.84068,0.986318,0.695409,0,-4.98062,1.86,0.542477,-4.32227,0.96586,0.816149,0,-4.78074,1.86,0.260386,-3.96593,0.837779,0.405642,0,-4.82558,1.86,0.838638,-4.05941,0.884415,1.27599,0,-5.81515,1.86,0.534365,-5.54018,0.859182,0.82591,0,-5.19209,1.86,0.572391,-4.62361,0.9654,0.868261,0,-4.74784,1.86,0.413029,-3.91901,0.835476,0.637417,0,-5.97232,1.86,0.273516,-5.73944,1.05293,0.449704,0,-4.95834,1.86,0.191713,-4.26228,0.899571,0.309287,0,-5.75023,1.86,0.660704,-5.42665,1.00736,0.986467,0,-5.17128,1.86,0.409524,-4.60859,1.00793,0.631388,0,-5.06539,1.86,0.713914,-4.45237,0.99683,1.06083,0,-5.44651,1.86,0.504438,-5.00155,1.00632,0.764012,0,-5.14523,1.86,0.821577,-4.54588,0.911442,1.2424,0,-6.00564,1.86,0.662318,-5.8062,0.934841,1.00841,0,-5.6021,1.86,0.116307,-5.22136,1.01524,0.215498,0,-5.46024,1.86,0.175665,-5.02987,1.07305,0.309371,0,-6.12298,1.86,0.299679,-5.96638,0.971058,0.484889,0,-5.61257,1.86,0.594934,-5.23385,0.900074,0.911938,0,-4.99979,1.86,0.0571546,-4.33353,0.927791,0.114676,0,-5.28214,1.86,0.838999,-4.75884,0.975638,1.25283,0,-5.55835,1.86,0.258406,-5.15707,0.966442,0.420071,0,-5.09968,1.86,0.285052,-4.47392,0.902337,0.449135,0,-5.27461,1.86,0.0705698,-4.73667,0.917224,0.133943,0,-4.84386,1.86,0.0956418,-4.07896,0.857715,0.158222,0,-6.1065,1.86,0.102931,-5.95689,0.921731,0.195391,0,-5.82199,1.86,0.295151,-5.53326,0.989447,0.474163,0,-5.3207,1.86,0.498972,-4.82772,1.05585,0.756698,0,-5.90391,1.86,0.406538,-5.63567,1.06953,0.631678,0,-5.39226,1.86,0.356784,-4.91439,0.949355,0.555496,0,
