time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,
0,-3.41211,-3.45583,0.290413,-2.83541,-3.5663,0.287992,-3.1988,-1.86,0.336042,-2.3663,-0.0567629,0.388339,0,-2.80624,-1.86,0.460996,-1.5093,-0.0734093,0.661358,0,-3.61153,-1.86,0.634724,-3.28732,0.0500236,1.06824,0,-2.88363,-1.86,0.561304,-1.71348,-0.178483,0.863072,0,-2.98285,-1.86,0.28011,-1.86295,0.0489488,0.264652,0,-3.62874,-1.86,0.447837,-3.33185,0.0908597,0.64876,0,-3.01915,-1.86,0.534316,-1.9648,-0.0307682,0.828355,0,-3.48031,-1.86,0.310534,-2.99359,0.135102,0.334661,0,-2.80526,-1.86,0.747374,-1.52059,-0.108782,1.27804,0,-3.38128,-1.86,0.674482,-2.76626,0.0125368,1.14931,0,-3.09268,-1.86,0.398707,-2.12362,-0.0103426,0.529303,0,-3.59864,-1.86,0.153123,-3.27291,0.17678,-0.0340277,0,-2.8615,-1.86,0.350362,-1.62971,-0.0718396,0.419266,0,-2.62545,-1.86,0.608522,-1.1663,-0.180336,0.962944,0,-3.46977,-1.86,0.426796,-2.96758,0.0920458,0.600643,0,-3.61491,-1.86,0.302103,-3.30433,0.123672,0.315022,0,-3.8207,-1.86,0.390368,-3.77719,0.112019,0.518385,0,-3.75645,-1.86,0.154499,-3.61975,0.0686982,-0.0215954,0,-3.26732,-1.86,0.150837,-2.50224,0.105591,-0.033162,0,-3.72413,-1.86,0.334397,-3.56662,0.173574,0.391071,0,-3.36457,-1.86,0.812521,-2.72934,-0.00623965,1.45274,0,-2.678,-1.86,0.137488,-1.26031,-0.142308,-0.0401214,0,-3.46916,-1.86,0.141287,-2.96558,0.0750792,-0.0522858,0,
0.0333341,-3.40346,-3.45582,0.290114,-2.82544,-3.56642,0.287753,-3.1988,-1.86,0.336042,-2.41679,-0.265841,0.380668,0,-2.80624,-1.86,0.460996,-1.5676,-0.178391,0.646851,0,-3.61153,-1.86,0.634724,-3.28762,-0.114844,1.03394,0,-2.88363,-1.86,0.561304,-1.79205,-0.351353,0.832383,0,-2.98285,-1.86,0.28011,-1.89593,-0.0228305,0.261684,0,-3.62874,-1.86,0.447837,-3.32904,-0.0921123,0.625063,0,-3.01915,-1.86,0.534316,-1.99954,-0.119089,0.812366,0,-3.48031,-1.86,0.310534,-3.00691,-0.0196686,0.336723,0,-2.80526,-1.86,0.747374,-1.57213,-0.198377,1.24661,0,-3.38128,-1.86,0.674482,-2.7874,-0.131406,1.1113,0,-3.09268,-1.86,0.398707,-2.17547,-0.172935,0.516255,0,-3.59864,-1.86,0.153123,-3.27586,0.0854671,-0.0224972,0,-2.8615,-1.86,0.350362,-1.7035,-0.216615,0.408821,0,-2.62545,-1.86,0.608522,-1.23067,-0.268182,0.934292,0,-3.46977,-1.86,0.426796,-2.97831,-0.0246491,0.592948,0,-3.61491,-1.86,0.302103,-3.30184,-0.0925906,0.312553,0,-3.8207,-1.86,0.390368,-3.77011,0.0193725,0.509266,0,-3.75645,-1.86,0.154499,-3.60242,-0.12035,-0.0137559,0,-3.26732,-1.86,0.150837,-2.53551,-0.0442731,-0.0213954,0,-3.72413,-1.86,0.334397,-3.5557,-0.00907588,0.378497,0,-3.36457,-1.86,0.812521,-2.75315,-0.150739,1.40335,0,-2.678,-1.86,0.137488,-1.31032,-0.217011,-0.03763,0,-3.46916,-1.86,0.141287,-2.97414,-0.00919294,-0.0460079,0,
0.0666681,-3.40346,-3.45582,0.290114,-2.81034,-3.56661,0.287391,-3.1988,-1.86,0.336042,-2.44044,-0.385361,0.376895,0,-2.80624,-1.86,0.460996,-1.6134,-0.270606,0.634941,0,-3.61153,-1.86,0.634724,-3.28253,-0.229737,1.00811,0,-2.88363,-1.86,0.561304,-1.82701,-0.437655,0.814758,0,-2.98285,-1.86,0.28011,-1.953,-0.168844,0.263298,0,-3.62874,-1.86,0.447837,-3.321,-0.229078,0.614906,0,-3.01915,-1.86,0.534316,-2.03289,-0.210901,0.79808,0,-3.48031,-1.86,0.310534,-3.00953,-0.117132,0.340771,0,-2.80526,-1.86,0.747374,-1.61097,-0.274705,1.22389,0,-3.38128,-1.86,0.674482,-2.79887,-0.241194,1.08641,0,-3.09268,-1.86,0.398707,-2.2072,-0.285652,0.507712,0,-3.59864,-1.86,0.153123,-3.27451,-0.0602458,-0.0115817,0,-2.8615,-1.86,0.350362,-1.74125,-0.303948,0.406453,0,-2.62545,-1.86,0.608522,-1.27868,-0.34383,0.91735,0,-3.46977,-1.86,0.426796,-2.98515,-0.13918,0.583349,0,-3.61491,-1.86,0.302103,-3.29419,-0.201981,0.306058,0,-3.8207,-1.86,0.390368,-3.7534,-0.0984275,0.502323,0,-3.75645,-1.86,0.154499,-3.5851,-0.245872,-0.00292185,0,-3.26732,-1.86,0.150837,-2.56384,-0.204802,-0.00460741,0,-3.72413,-1.86,0.334397,-3.5388,-0.154827,0.379968,0,-3.36457,-1.86,0.812521,-2.76566,-0.258152,1.36968,0,-2.678,-1.86,0.137488,-1.34701,-0.277819,-0.0314931,0,-3.46916,-1.86,0.141287,-2.98242,-0.121876,-0.0338765,0,
0.100002,-3.35831,-3.4562,0.29062,-2.82544,-3.56642,0.287753,-3.1988,-1.86,0.336042,-2.49795,-0.51075,0.376603,0,-2.80624,-1.86,0.460996,-1.70739,-0.400097,0.628238,0,-3.61153,-1.86,0.634724,-3.30549,-0.416363,0.972246,0,-2.88363,-1.86,0.561304,-1.9046,-0.544759,0.801227,0,-2.98285,-1.86,0.28011,-2.0342,-0.310778,0.2665,0,-3.62874,-1.86,0.447837,-3.34324,-0.377455,0.603388,0,-3.01915,-1.86,0.534316,-2.13415,-0.420757,0.773668,0,-3.48031,-1.86,0.310534,-3.04723,-0.255477,0.340909,0,-2.80526,-1.86,0.747374,-1.70319,-0.396776,1.19356,0,-3.38128,-1.86,0.674482,-2.84245,-0.360202,1.06094,0,-3.09268,-1.86,0.398707,-2.26174,-0.368632,0.501269,0,-3.59864,-1.86,0.153123,-3.29425,-0.317374,0.0124745,0,-2.8615,-1.86,0.350362,-1.82288,-0.416652,0.408486,0,-2.62545,-1.86,0.608522,-1.37645,-0.45318,0.907254,0,-3.46977,-1.86,0.426796,-3.02401,-0.310182,0.573207,0,-3.61491,-1.86,0.302103,-3.31902,-0.350821,0.308648,0,-3.8207,-1.86,0.390368,-3.76053,-0.24445,0.494371,0,-3.75645,-1.86,0.154499,-3.59778,-0.384028,0.0113998,0,-3.26732,-1.86,0.150837,-2.62528,-0.3935,0.0138797,0,-3.72413,-1.86,0.334397,-3.54881,-0.332606,0.375671,0,-3.36457,-1.86,0.812521,-2.81501,-0.412713,1.32122,0,-2.678,-1.86,0.137488,-1.43725,-0.377568,-0.0105926,0,-3.46916,-1.86,0.141287,-3.02201,-0.31417,-0.00918812,0,
0.133336,-3.35831,-3.4562,0.29062,-2.77952,-3.56692,0.286654,-3.1988,-1.86,0.336042,-2.49101,-0.630056,0.374352,0,-2.80624,-1.86,0.460996,-1.73711,-0.530469,0.614926,0,-3.61153,-1.86,0.634724,-3.26301,-0.592514,0.930931,0,-2.88363,-1.86,0.561304,-1.92594,-0.669391,0.777451,0,-2.98285,-1.86,0.28011,-2.04788,-0.440384,0.263537,0,-3.62874,-1.86,0.447837,-3.30204,-0.527252,0.588326,0,-3.01915,-1.86,0.534316,-2.1574,-0.598549,0.74583,0,-3.48031,-1.86,0.310534,-3.02066,-0.468008,0.342988,0,-2.80526,-1.86,0.747374,-1.7398,-0.540155,1.15332,0,-3.38128,-1.86,0.674482,-2.82548,-0.504436,1.0247,0,-3.09268,-1.86,0.398707,-2.26531,-0.486315,0.493007,0,-3.59864,-1.86,0.153123,-3.24734,-0.547838,0.0332262,0,-2.8615,-1.86,0.350362,-1.84669,-0.542759,0.402169,0,-2.62545,-1.86,0.608522,-1.41634,-0.5718,0.885439,0,-3.46977,-1.86,0.426796,-2.99728,-0.46573,0.559178,0,-3.61491,-1.86,0.302103,-3.27761,-0.521195,0.308636,0,-3.8207,-1.86,0.390368,-3.70744,-0.364987,0.492724,0,-3.75645,-1.86,0.154499,-3.53929,-0.569228,0.0323119,0,-3.26732,-1.86,0.150837,-2.62096,-0.576203,0.0292617,0,-3.72413,-1.86,0.334397,-3.49633,-0.494533,0.369778,0,-3.36457,-1.86,0.812521,-2.80087,-0.590018,1.2661,0,-2.678,-1.86,0.137488,-1.48314,-0.511862,-0.000963598,0,-3.46916,-1.86,0.141287,-2.99539,-0.499341,0.00732714,0,
0.16667,-3.33249,-3.45642,0.290676,-2.76434,-3.56707,0.286291,-3.1988,-1.86,0.336042,-2.51492,-0.757101,0.370828,0,-2.80624,-1.86,0.460996,-1.78888,-0.646129,0.602696,0,-3.61153,-1.86,0.634724,-3.25217,-0.723935,0.903725,0,-2.88363,-1.86,0.561304,-1.97148,-0.785128,0.758099,0,-2.98285,-1.86,0.28011,-2.08687,-0.557994,0.264032,0,-3.62874,-1.86,0.447837,-3.29109,-0.653768,0.577069,0,-3.01915,-1.86,0.534316,-2.20123,-0.748151,0.72205,0,-3.48031,-1.86,0.310534,-3.02004,-0.688509,0.335016,0,-2.80526,-1.86,0.747374,-1.78151,-0.634186,1.1256,0,-3.38128,-1.86,0.674482,-2.83616,-0.651177,0.990675,0,-3.09268,-1.86,0.398707,-2.29577,-0.602257,0.486571,0,-3.59864,-1.86,0.153123,-3.23272,-0.724022,0.0454562,0,-2.8615,-1.86,0.350362,-1.89495,-0.660471,0.397953,0,-2.62545,-1.86,0.608522,-1.48404,-0.689958,0.864223,0,-3.46977,-1.86,0.426796,-2.99923,-0.608794,0.546882,0,-3.61491,-1.86,0.302103,-3.26459,-0.6803,0.304875,0,-3.8207,-1.86,0.390368,-3.68534,-0.484851,0.483086,0,-3.75645,-1.86,0.154499,-3.51643,-0.700886,0.0447683,0,-3.26732,-1.86,0.150837,-2.64028,-0.725363,0.0423829,0,-3.72413,-1.86,0.334397,-3.47581,-0.633102,0.362916,0,-3.36457,-1.86,0.812521,-2.8123,-0.740589,1.21577,0,-2.678,-1.86,0.137488,-1.5418,-0.621451,0.00953427,0,-3.46916,-1.86,0.141287,-2.99631,-0.644128,0.016649,0,
0.200004,-3.33249,-3.45642,0.290676,-2.75257,-3.56727,0.286007,-3.1988,-1.86,0.336042,-2.54029,-0.889111,0.371214,0,-2.80624,-1.86,0.460996,-1.84666,-0.771042,0.58455,0,-3.61153,-1.86,0.634724,-3.2444,-0.852118,0.877153,0,-2.88363,-1.86,0.561304,-2.01743,-0.899461,0.743725,0,-2.98285,-1.86,0.28011,-2.1455,-0.732075,0.26319,0,-3.62874,-1.86,0.447837,-3.2774,-0.830386,0.555055,0,-3.01915,-1.86,0.534316,-2.24491,-0.891972,0.702122,0,-3.48031,-1.86,0.310534,-3.01967,-0.85069,0.333583,0,-2.80526,-1.86,0.747374,-1.86248,-0.808338,1.0709,0,-3.38128,-1.86,0.674482,-2.8473,-0.789267,0.958635,0,-3.09268,-1.86,0.398707,-2.33018,-0.727095,0.477175,0,-3.59864,-1.86,0.153123,-3.22531,-0.836305,0.0557511,0,-2.8615,-1.86,0.350362,-1.9518,-0.795354,0.39216,0,-2.62545,-1.86,0.608522,-1.55289,-0.807687,0.842018,0,-3.46977,-1.86,0.426796,-3.0028,-0.770923,0.533984,0,-3.61491,-1.86,0.302103,-3.25132,-0.850664,0.309625,0,-3.8207,-1.86,0.390368,-3.66779,-0.58691,0.473599,0,-3.75645,-1.86,0.154499,-3.49771,-0.826403,0.0567061,0,-3.26732,-1.86,0.150837,-2.66312,-0.886796,0.0575867,0,-3.72413,-1.86,0.334397,-3.45737,-0.772684,0.361646,0,-3.36457,-1.86,0.812521,-2.82174,-0.847772,1.18427,0,-2.678,-1.86,0.137488,-1.61765,-0.759179,0.0198609,0,-3.46916,-1.86,0.141287,-2.99947,-0.851163,0.0359445,0,
0.233338,-3.30616,-3.45679,0.290758,-2.72506,-3.56778,0.285343,-3.1988,-1.86,0.336042,-2.53778,-0.960851,0.367799,0,-2.80624,-1.86,0.460996,-1.85929,-0.835355,0.578555,0,-3.61153,-1.86,0.634724,-3.22381,-0.920971,0.860958,0,-2.88363,-1.86,0.561304,-2.01715,-0.939533,0.731439,0,-2.98285,-1.86,0.28011,-2.15563,-0.817282,0.269194,0,-3.62874,-1.86,0.447837,-3.25226,-0.927776,0.54626,0,-3.01915,-1.86,0.534316,-2.23793,-0.926762,0.692087,0,-3.48031,-1.86,0.310534,-3.00362,-0.93947,0.331856,0,-2.80526,-1.86,0.747374,-1.87772,-0.884004,1.05458,0,-3.38128,-1.86,0.674482,-2.83543,-0.847214,0.94276,0,-3.09268,-1.86,0.398707,-2.33481,-0.805361,0.47176,0,-3.59864,-1.86,0.153123,-3.20607,-0.89535,0.0615845,0,-2.8615,-1.86,0.350362,-1.95595,-0.84674,0.388326,0,-2.62545,-1.86,0.608522,-1.57121,-0.869387,0.832543,0,-3.46977,-1.86,0.426796,-2.98624,-0.815345,0.527632,0,-3.61491,-1.86,0.302103,-3.22972,-0.912258,0.30658,0,-3.8207,-1.86,0.390368,-3.63902,-0.661792,0.467687,0,-3.75645,-1.86,0.154499,-3.4713,-0.893325,0.0631186,0,-3.26732,-1.86,0.150837,-2.65819,-0.971939,0.0648026,0,-3.72413,-1.86,0.334397,-3.42996,-0.853593,0.360488,0,-3.36457,-1.86,0.812521,-2.81283,-0.918091,1.16088,0,-2.678,-1.86,0.137488,-1.63165,-0.816921,0.0269795,0,-3.46916,-1.86,0.141287,-2.98294,-0.942064,0.0431865,0,
0.266672,-3.28132,-3.45712,0.290833,-2.70978,-3.56809,0.284973,-3.1988,-1.86,0.336042,-2.54845,-1.02573,0.36497,0,-2.80624,-1.86,0.460996,-1.88928,-0.903822,0.570423,0,-3.61153,-1.86,0.634724,-3.21832,-0.982698,0.846721,0,-2.88363,-1.86,0.561304,-2.03954,-0.995098,0.721382,0,-2.98285,-1.86,0.28011,-2.17599,-0.884122,0.268856,0,-3.62874,-1.86,0.447837,-3.24453,-0.992401,0.538132,0,-3.01915,-1.86,0.534316,-2.2523,-0.973671,0.680871,0,-3.48031,-1.86,0.310534,-3.00212,-1.01021,0.329828,0,-2.80526,-1.86,0.747374,-1.90936,-0.956379,1.03224,0,-3.38128,-1.86,0.674482,-2.83729,-0.885552,0.931785,0,-3.09268,-1.86,0.398707,-2.35136,-0.874955,0.46825,0,-3.59864,-1.86,0.153123,-3.20063,-0.969753,0.0662622,0,-2.8615,-1.86,0.350362,-1.97853,-0.902646,0.38901,0,-2.62545,-1.86,0.608522,-1.60102,-0.923477,0.824223,0,-3.46977,-1.86,0.426796,-2.98752,-0.897937,0.516192,0,-3.61491,-1.86,0.302103,-3.22494,-0.959316,0.302812,0,-3.8207,-1.86,0.390368,-3.61585,-0.777219,0.460726,0,-3.75645,-1.86,0.154499,-3.4609,-0.952829,0.0654233,0,-3.26732,-1.86,0.150837,-2.66696,-1.04954,0.0697629,0,-3.72413,-1.86,0.334397,-3.41834,-0.925933,0.358158,0,-3.36457,-1.86,0.812521,-2.8183,-0.994953,1.13369,0,-2.678,-1.86,0.137488,-1.65778,-0.866347,0.0327605,0,-3.46916,-1.86,0.141287,-2.98206,-1.03575,0.0518633,0,
0.300007,-3.27268,-3.45714,0.290498,-2.69876,-3.56826,0.284708,-3.1988,-1.86,0.336042,-2.56007,-1.07209,0.365517,0,-2.80624,-1.86,0.460996,-1.91736,-0.959638,0.566545,0,-3.61153,-1.86,0.634724,-3.21772,-1.04033,0.836272,0,-2.88363,-1.86,0.561304,-2.06903,-1.06074,0.71237,0,-2.98285,-1.86,0.28011,-2.19851,-0.942951,0.271374,0,-3.62874,-1.86,0.447837,-3.24508,-1.02084,0.535627,0,-3.01915,-1.86,0.534316,-2.28113,-1.05635,0.673236,0,-3.48031,-1.86,0.310534,-3.00505,-1.04197,0.329518,0,-2.80526,-1.86,0.747374,-1.94076,-1.02053,1.01642,0,-3.38128,-1.86,0.674482,-2.84522,-0.928521,0.922596,0,-3.09268,-1.86,0.398707,-2.37215,-0.943285,0.46481,0,-3.59864,-1.86,0.153123,-3.19943,-1.03153,0.0737878,0,-2.8615,-1.86,0.350362,-2.01751,-0.989401,0.387311,0,-2.62545,-1.86,0.608522,-1.63818,-0.981478,0.814449,0,-3.46977,-1.86,0.426796,-2.99054,-0.934234,0.517381,0,-3.61491,-1.86,0.302103,-3.22537,-1.01088,0.304544,0,-3.8207,-1.86,0.390368,-3.60386,-0.848142,0.458482,0,-3.75645,-1.86,0.154499,-3.45595,-1.00708,0.0720357,0,-3.26732,-1.86,0.150837,-2.67312,-1.07742,0.0729016,0,-3.72413,-1.86,0.334397,-3.41295,-0.985824,0.358604,0,-3.36457,-1.86,0.812521,-2.82724,-1.07066,1.11078,0,-2.678,-1.86,0.137488,-1.68607,-0.910886,0.0349156,0,-3.46916,-1.86,0.141287,-2.98384,-1.07267,0.0601982,0,
