time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,
0,-2.59921,-3.45466,0.287639,-1.97147,-3.56835,0.267512,-2.77637,-1.86,0.433033,-2.37781,0.0890481,0.600975,0,-2.08873,-1.86,0.404879,-0.840799,-0.036257,0.527192,0,-2.50217,-1.86,0.75264,-1.76031,-0.0983415,1.27936,0,-2.77853,-1.86,0.60143,-2.3757,0.0263016,0.974852,0,-2.42638,-1.86,0.657743,-1.60987,-0.231899,1.04186,0,-2.09625,-1.86,0.615991,-0.870556,-0.0778081,0.986236,0,-2.37138,-1.86,0.782901,-1.47043,-0.0613232,1.3567,0,-2.98157,-1.86,0.280682,-2.8491,0.091846,0.251543,0,-2.32798,-1.86,0.47997,-1.35773,0.0400419,0.702716,0,-2.24907,-1.86,0.284361,-1.17975,0.0375297,0.2601,0,-2.26289,-1.86,0.572108,-1.2236,-0.0222464,0.900094,0,-2.20775,-1.86,0.433277,-1.09346,0.00831842,0.594163,0,-2.70629,-1.86,0.219366,-2.2186,0.111828,0.10995,0,-2.39972,-1.86,0.223786,-1.5098,0.122191,0.119736,0,-2.54072,-1.86,0.160368,-1.84032,0.00735688,-0.0178676,0,-2.55058,-1.86,0.583938,-1.85975,0.0954018,0.948261,0,-2.59452,-1.86,0.410996,-1.96057,0.143031,0.55461,0,-2.99958,-1.86,0.153538,-2.8388,-0.113764,-0.0229965,0,-2.7111,-1.86,0.333309,-2.23219,0.147336,0.373926,0,-2.04949,-1.86,0.510175,-0.758968,-0.0510375,0.758354,0,-2.07772,-1.86,0.147963,-0.821765,-0.05267,-0.0404252,0,-2.51699,-1.86,0.326897,-1.78191,0.108208,0.358023,0,-2.83573,-1.86,0.222396,-2.51377,0.0879791,0.117919,0,-2.66984,-1.86,0.516938,-2.1315,0.0443947,0.786994,0,
0.0333341,-2.57314,-3.45335,0.28758,-1.95648,-3.56756,0.267179,-2.77637,-1.86,0.433033,-2.37231,-0.128079,0.583453,0,-2.08873,-1.86,0.404879,-0.904047,-0.184093,0.516732,0,-2.50217,-1.86,0.75264,-1.78394,-0.257533,1.23328,0,-2.77853,-1.86,0.60143,-2.37008,-0.178677,0.929416,0,-2.42638,-1.86,0.657743,-1.64748,-0.443845,0.993134,0,-2.09625,-1.86,0.615991,-0.939444,-0.24142,0.954914,0,-2.37138,-1.86,0.782901,-1.5121,-0.23308,1.30274,0,-2.98157,-1.86,0.280682,-2.82524,-0.0864687,0.253474,0,-2.32798,-1.86,0.47997,-1.41987,-0.200609,0.677741,0,-2.24907,-1.86,0.284361,-1.2446,-0.169722,0.26435,0,-2.26289,-1.86,0.572108,-1.27518,-0.185258,0.872743,0,-2.20775,-1.86,0.433277,-1.15956,-0.185566,0.580178,0,-2.70629,-1.86,0.219366,-2.22227,-0.0821803,0.118606,0,-2.39972,-1.86,0.223786,-1.55749,-0.0918088,0.13351,0,-2.54072,-1.86,0.160368,-1.86179,-0.171602,-0.0020771,0,-2.55058,-1.86,0.583938,-1.88492,-0.106731,0.911266,0,-2.59452,-1.86,0.410996,-1.98035,-0.0712011,0.538526,0,-2.99958,-1.86,0.153538,-2.80943,-0.288897,-0.00636241,0,-2.7111,-1.86,0.333309,-2.23594,-0.0036509,0.368081,0,-2.04949,-1.86,0.510175,-0.831362,-0.207798,0.738486,0,-2.07772,-1.86,0.147963,-0.91007,-0.25976,-0.0144999,0,-2.51699,-1.86,0.326897,-1.81322,-0.112914,0.355655,0,-2.83573,-1.86,0.222396,-2.50464,-0.0610082,0.124561,0,-2.66984,-1.86,0.516938,-2.14007,-0.18111,0.755087,0,
0.0666681,-2.57314,-3.45335,0.28758,-1.94436,-3.56704,0.266907,-2.77637,-1.86,0.433033,-2.3671,-0.26075,0.573928,0,-2.08873,-1.86,0.404879,-0.944461,-0.281229,0.509901,0,-2.50217,-1.86,0.75264,-1.79713,-0.350895,1.20877,0,-2.77853,-1.86,0.60143,-2.36497,-0.329529,0.900077,0,-2.42638,-1.86,0.657743,-1.65387,-0.49555,0.979874,0,-2.09625,-1.86,0.615991,-0.968293,-0.314517,0.936813,0,-2.37138,-1.86,0.782901,-1.53543,-0.338464,1.27406,0,-2.98157,-1.86,0.280682,-2.8057,-0.213701,0.255525,0,-2.32798,-1.86,0.47997,-1.44908,-0.326792,0.666889,0,-2.24907,-1.86,0.284361,-1.27246,-0.267674,0.267506,0,-2.26289,-1.86,0.572108,-1.32192,-0.341317,0.847585,0,-2.20775,-1.86,0.433277,-1.19384,-0.29214,0.571806,0,-2.70629,-1.86,0.219366,-2.22427,-0.243513,0.126979,0,-2.39972,-1.86,0.223786,-1.58527,-0.231211,0.140273,0,-2.54072,-1.86,0.160368,-1.87718,-0.302515,0.00966287,0,-2.55058,-1.86,0.583938,-1.89702,-0.224967,0.893243,0,-2.59452,-1.86,0.410996,-1.99032,-0.204585,0.530896,0,-2.99958,-1.86,0.153538,-2.79042,-0.401414,0.00562635,0,-2.7111,-1.86,0.333309,-2.23853,-0.128221,0.364861,0,-2.04949,-1.86,0.510175,-0.862626,-0.281155,0.723006,0,-2.07772,-1.86,0.147963,-0.941063,-0.342236,-0.00204778,0,-2.51699,-1.86,0.326897,-1.82947,-0.247158,0.354858,0,-2.83573,-1.86,0.222396,-2.49669,-0.201149,0.132896,0,-2.66984,-1.86,0.516938,-2.14299,-0.303832,0.738868,0,
0.100002,-2.54772,-3.45183,0.287529,-1.9293,-3.56626,0.266572,-2.77637,-1.86,0.433033,-2.36277,-0.388727,0.563514,0,-2.08873,-1.86,0.404879,-0.985907,-0.378568,0.50187,0,-2.50217,-1.86,0.75264,-1.82195,-0.514462,1.16172,0,-2.77853,-1.86,0.60143,-2.35935,-0.468367,0.876564,0,-2.42638,-1.86,0.657743,-1.67911,-0.613868,0.956337,0,-2.09625,-1.86,0.615991,-1.0063,-0.402004,0.9203,0,-2.37138,-1.86,0.782901,-1.56082,-0.446539,1.24189,0,-2.98157,-1.86,0.280682,-2.78814,-0.326249,0.253804,0,-2.32798,-1.86,0.47997,-1.49128,-0.494323,0.644377,0,-2.24907,-1.86,0.284361,-1.30568,-0.372436,0.266617,0,-2.26289,-1.86,0.572108,-1.35483,-0.458129,0.829113,0,-2.20775,-1.86,0.433277,-1.24222,-0.435095,0.559027,0,-2.70629,-1.86,0.219366,-2.22447,-0.370494,0.132551,0,-2.39972,-1.86,0.223786,-1.60928,-0.350732,0.146163,0,-2.54072,-1.86,0.160368,-1.89716,-0.485872,0.0174602,0,-2.55058,-1.86,0.583938,-1.90628,-0.30867,0.873677,0,-2.59452,-1.86,0.410996,-2.00075,-0.333094,0.519951,0,-2.99958,-1.86,0.153538,-2.77327,-0.502227,0.00660405,0,-2.7111,-1.86,0.333309,-2.2403,-0.275978,0.362962,0,-2.04949,-1.86,0.510175,-0.912178,-0.38859,0.713444,0,-2.07772,-1.86,0.147963,-0.980017,-0.430395,0.00663742,0,-2.51699,-1.86,0.326897,-1.8458,-0.375345,0.352892,0,-2.83573,-1.86,0.222396,-2.48353,-0.386629,0.136923,0,-2.66984,-1.86,0.516938,-2.14728,-0.427853,0.722408,0,
0.133336,-2.54772,-3.45183,0.287529,-1.91762,-3.5655,0.266316,-2.77637,-1.86,0.433033,-2.35815,-0.550217,0.547789,0,-2.08873,-1.86,0.404879,-1.04511,-0.51718,0.492097,0,-2.50217,-1.86,0.75264,-1.84196,-0.661655,1.12082,0,-2.77853,-1.86,0.60143,-2.35404,-0.629401,0.844318,0,-2.42638,-1.86,0.657743,-1.70764,-0.759887,0.921715,0,-2.09625,-1.86,0.615991,-1.05265,-0.508254,0.897626,0,-2.37138,-1.86,0.782901,-1.59443,-0.586581,1.19761,0,-2.98157,-1.86,0.280682,-2.7621,-0.500008,0.253809,0,-2.32798,-1.86,0.47997,-1.52903,-0.650333,0.62561,0,-2.24907,-1.86,0.284361,-1.35067,-0.515045,0.268095,0,-2.26289,-1.86,0.572108,-1.39841,-0.60316,0.804419,0,-2.20775,-1.86,0.433277,-1.29772,-0.604905,0.543368,0,-2.70629,-1.86,0.219366,-2.22579,-0.590825,0.142485,0,-2.39972,-1.86,0.223786,-1.63475,-0.469671,0.146403,0,-2.54072,-1.86,0.160368,-1.91549,-0.664175,0.031157,0,-2.55058,-1.86,0.583938,-1.92698,-0.471727,0.843116,0,-2.59452,-1.86,0.410996,-2.018,-0.573354,0.506898,0,-2.99958,-1.86,0.153538,-2.74944,-0.655721,0.0224017,0,-2.7111,-1.86,0.333309,-2.24176,-0.448801,0.357192,0,-2.04949,-1.86,0.510175,-0.970545,-0.517205,0.694732,0,-2.07772,-1.86,0.147963,-1.04153,-0.571223,0.0176389,0,-2.51699,-1.86,0.326897,-1.86726,-0.537397,0.347825,0,-2.83573,-1.86,0.222396,-2.46931,-0.566842,0.145702,0,-2.66984,-1.86,0.516938,-2.15336,-0.587236,0.698669,0,
0.16667,-2.52267,-3.45054,0.287428,-1.90273,-3.56456,0.26599,-2.77637,-1.86,0.433033,-2.34214,-0.789443,0.525959,0,-2.08873,-1.86,0.404879,-1.11691,-0.705216,0.47966,0,-2.50217,-1.86,0.75264,-1.86467,-0.869431,1.06129,0,-2.77853,-1.86,0.60143,-2.3401,-0.836334,0.804106,0,-2.42638,-1.86,0.657743,-1.73953,-0.965378,0.875206,0,-2.09625,-1.86,0.615991,-1.11937,-0.680102,0.864496,0,-2.37138,-1.86,0.782901,-1.6377,-0.807313,1.12324,0,-2.98157,-1.86,0.280682,-2.71442,-0.747236,0.256291,0,-2.32798,-1.86,0.47997,-1.57187,-0.849566,0.601515,0,-2.24907,-1.86,0.284361,-1.40672,-0.71978,0.267367,0,-2.26289,-1.86,0.572108,-1.44836,-0.793078,0.770438,0,-2.20775,-1.86,0.433277,-1.3626,-0.82747,0.522299,0,-2.70629,-1.86,0.219366,-2.21749,-0.838668,0.15414,0,-2.39972,-1.86,0.223786,-1.67398,-0.687849,0.155253,0,-2.54072,-1.86,0.160368,-1.93255,-0.891931,0.0508895,0,-2.55058,-1.86,0.583938,-1.93983,-0.630476,0.811296,0,-2.59452,-1.86,0.410996,-2.0268,-0.828698,0.48781,0,-2.99958,-1.86,0.153538,-2.69987,-0.900025,0.0414298,0,-2.7111,-1.86,0.333309,-2.2333,-0.739594,0.350505,0,-2.04949,-1.86,0.510175,-1.04435,-0.696578,0.671077,0,-2.07772,-1.86,0.147963,-1.10539,-0.736202,0.0270794,0,-2.51699,-1.86,0.326897,-1.88888,-0.765542,0.343113,0,-2.83573,-1.86,0.222396,-2.44486,-0.797209,0.154332,0,-2.66984,-1.86,0.516938,-2.15312,-0.825044,0.664685,0,
0.200004,-2.51303,-3.45001,0.286998,-1.89143,-3.56421,0.265732,-2.77637,-1.86,0.433033,-2.33143,-0.897566,0.521892,0,-2.08873,-1.86,0.404879,-1.15331,-0.80763,0.472338,0,-2.50217,-1.86,0.75264,-1.87392,-0.975936,1.03123,0,-2.77853,-1.86,0.60143,-2.33228,-0.917814,0.787806,0,-2.42638,-1.86,0.657743,-1.75091,-1.05422,0.855652,0,-2.09625,-1.86,0.615991,-1.16285,-0.800663,0.841433,0,-2.37138,-1.86,0.782901,-1.65403,-0.906006,1.09309,0,-2.98157,-1.86,0.280682,-2.69607,-0.821358,0.261003,0,-2.32798,-1.86,0.47997,-1.58219,-0.911131,0.593328,0,-2.24907,-1.86,0.284361,-1.43256,-0.82434,0.268433,0,-2.26289,-1.86,0.572108,-1.46497,-0.868837,0.760743,0,-2.20775,-1.86,0.433277,-1.37914,-0.89591,0.51438,0,-2.70629,-1.86,0.219366,-2.21188,-0.943715,0.158546,0,-2.39972,-1.86,0.223786,-1.69674,-0.835471,0.164027,0,-2.54072,-1.86,0.160368,-1.94078,-1.0361,0.0672256,0,-2.55058,-1.86,0.583938,-1.94685,-0.732034,0.797423,0,-2.59452,-1.86,0.410996,-2.02904,-0.950232,0.479116,0,-2.99958,-1.86,0.153538,-2.6749,-1.00639,0.0550258,0,-2.7111,-1.86,0.333309,-2.22391,-0.926318,0.346339,0,-2.04949,-1.86,0.510175,-1.08062,-0.791273,0.656106,0,-2.07772,-1.86,0.147963,-1.14022,-0.830764,0.0349912,0,-2.51699,-1.86,0.326897,-1.89573,-0.865103,0.339758,0,-2.83573,-1.86,0.222396,-2.4299,-0.917068,0.160699,0,-2.66984,-1.86,0.516938,-2.14939,-0.945159,0.654152,0,
0.233338,-2.48723,-3.4487,0.286921,-1.88086,-3.56375,0.265495,-2.77637,-1.86,0.433033,-2.33247,-0.96509,0.515087,0,-2.08873,-1.86,0.404879,-1.18168,-0.868494,0.470014,0,-2.50217,-1.86,0.75264,-1.8833,-1.01935,1.01646,0,-2.77853,-1.86,0.60143,-2.3343,-0.971729,0.781272,0,-2.42638,-1.86,0.657743,-1.76151,-1.09044,0.84586,0,-2.09625,-1.86,0.615991,-1.18889,-0.85872,0.832231,0,-2.37138,-1.86,0.782901,-1.67411,-0.982352,1.07314,0,-2.98157,-1.86,0.280682,-2.68849,-0.897592,0.263639,0,-2.32798,-1.86,0.47997,-1.60223,-0.971271,0.58646,0,-2.24907,-1.86,0.284361,-1.45556,-0.889658,0.270552,0,-2.26289,-1.86,0.572108,-1.48395,-0.917907,0.753027,0,-2.20775,-1.86,0.433277,-1.40106,-0.948164,0.512067,0,-2.70629,-1.86,0.219366,-2.21546,-0.991088,0.161604,0,-2.39972,-1.86,0.223786,-1.71445,-0.915788,0.169167,0,-2.54072,-1.86,0.160368,-1.94799,-1.08642,0.0731088,0,-2.55058,-1.86,0.583938,-1.96047,-0.827656,0.781739,0,-2.59452,-1.86,0.410996,-2.03546,-1.00368,0.477775,0,-2.99958,-1.86,0.153538,-2.66931,-1.05705,0.0610521,0,-2.7111,-1.86,0.333309,-2.22409,-1.02189,0.345843,0,-2.04949,-1.86,0.510175,-1.10951,-0.848182,0.648962,0,-2.07772,-1.86,0.147963,-1.17542,-0.906492,0.0455229,0,-2.51699,-1.86,0.326897,-1.90463,-0.907133,0.339402,0,-2.83573,-1.86,0.222396,-2.42407,-1.02128,0.166362,0,-2.66984,-1.86,0.516938,-2.15301,-0.984148,0.650865,0,
0.266672,-2.48723,-3.4487,0.286921,-1.85388,-3.56248,0.264892,-2.77637,-1.86,0.433033,-2.31432,-1.04416,0.509217,0,-2.08873,-1.86,0.404879,-1.19795,-0.943189,0.463315,0,-2.50217,-1.86,0.75264,-1.87912,-1.08824,0.995636,0,-2.77853,-1.86,0.60143,-2.31657,-1.05854,0.763496,0,-2.42638,-1.86,0.657743,-1.75763,-1.14012,0.833979,0,-2.09625,-1.86,0.615991,-1.20459,-0.932153,0.817644,0,-2.37138,-1.86,0.782901,-1.68208,-1.09277,1.03816,0,-2.98157,-1.86,0.280682,-2.65831,-0.988099,0.265128,0,-2.32798,-1.86,0.47997,-1.60828,-1.0569,0.576456,0,-2.24907,-1.86,0.284361,-1.46531,-0.971551,0.269401,0,-2.26289,-1.86,0.572108,-1.49188,-0.993005,0.739988,0,-2.20775,-1.86,0.433277,-1.42331,-1.0651,0.500103,0,-2.70629,-1.86,0.219366,-2.20129,-1.07182,0.167482,0,-2.39972,-1.86,0.223786,-1.71802,-1.01498,0.172726,0,-2.54072,-1.86,0.160368,-1.94223,-1.1714,0.0806002,0,-2.55058,-1.86,0.583938,-1.95203,-0.896631,0.770526,0,-2.59452,-1.86,0.410996,-2.02603,-1.06483,0.471597,0,-2.99958,-1.86,0.153538,-2.64422,-1.11956,0.068689,0,-2.7111,-1.86,0.333309,-2.20726,-1.11805,0.341826,0,-2.04949,-1.86,0.510175,-1.12374,-0.915138,0.644717,0,-2.07772,-1.86,0.147963,-1.18652,-0.968925,0.050633,0,-2.51699,-1.86,0.326897,-1.90578,-1.04929,0.333092,0,-2.83573,-1.86,0.222396,-2.4039,-1.07479,0.169401,0,-2.66984,-1.86,0.516938,-2.14146,-1.05209,0.642422,0,
0.300007,-2.46216,-3.44728,0.286834,-1.83884,-3.56176,0.264556,-2.77637,-1.86,0.433033,-2.30908,-1.09583,0.503417,0,-2.08873,-1.86,0.404879,-1.21403,-0.990752,0.460739,0,-2.50217,-1.86,0.75264,-1.88513,-1.16059,0.977229,0,-2.77853,-1.86,0.60143,-2.31181,-1.0916,0.75722,0,-2.42638,-1.86,0.657743,-1.76327,-1.18229,0.825071,0,-2.09625,-1.86,0.615991,-1.22482,-0.989808,0.804797,0,-2.37138,-1.86,0.782901,-1.69012,-1.15201,1.02064,0,-2.98157,-1.86,0.280682,-2.6455,-1.04455,0.264158,0,-2.32798,-1.86,0.47997,-1.62165,-1.12933,0.567165,0,-2.24907,-1.86,0.284361,-1.47722,-1.02343,0.270311,0,-2.26289,-1.86,0.572108,-1.50294,-1.04173,0.730198,0,-2.20775,-1.86,0.433277,-1.42939,-1.10075,0.500621,0,-2.70629,-1.86,0.219366,-2.19716,-1.15539,0.169561,0,-2.39972,-1.86,0.223786,-1.72639,-1.08017,0.175186,0,-2.54072,-1.86,0.160368,-1.94354,-1.21852,0.0842889,0,-2.55058,-1.86,0.583938,-1.95593,-0.959584,0.757831,0,-2.59452,-1.86,0.410996,-2.02686,-1.11241,0.468653,0,-2.99958,-1.86,0.153538,-2.63469,-1.16093,0.0688904,0,-2.7111,-1.86,0.333309,-2.20246,-1.18283,0.342801,0,-2.04949,-1.86,0.510175,-1.1423,-0.963733,0.637896,0,-2.07772,-1.86,0.147963,-1.2018,-1.01205,0.0533717,0,-2.51699,-1.86,0.326897,-1.90828,-1.11891,0.332177,0,-2.83573,-1.86,0.222396,-2.39856,-1.11548,0.172325,0,-2.66984,-1.86,0.516938,-2.13919,-1.15232,0.631209,0,
